1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 4442.3906),(2 11909.144),(3 19479.46),(4 26003.955),(5 31522.514),(6 36857.8),(7 41604.48),(8 46056.93),(9 49638.223),(10 52825.79),(11 55597.242),(12 58833.895),(13 62414.69),(14 64814.332),(15 66280.73),(16 67405.555),(17 68491.73),(18 69044.61),(19 69413.65),(20 70380.21),(21 71356.14),(22 72650.63),(23 74056.82),(24 75754.16),(25 77168.484),(26 78736.53),(27 80201.164),(28 81842.97),(29 82843.59),(30 83482.79),(31 84572.58),(32 85754.266),(33 86896.7),(34 88348.42),(35 89456.22),(36 90563.92),(37 91674.66),(38 92872.32),(39 93962.86),(40 95043.016),(41 95816.97),(42 96616.82),(43 97638.04),(44 98477.98),(45 98907.5),(46 99727.36),(47 100383.63),(48 101268.28),(49 102379.414),(50 103276.44),(51 103722.56),(52 104056.72),(53 104902.26),(54 106148.61),(55 106656),(56 106723.055),(57 107105.51),(58 107155.445),(59 107372.1),(60 107833.734),(61 108209.66),(62 108212.8),(63 108321.38),(64 108584.695),(65 108959.54),(66 109352.65),(67 109462.305),(68 109239.48),(69 109407.72),(70 108972.6),(71 108615.39),(72 108636.195),(73 108720.95),(74 108685.22),(75 108701.62),(76 108965.47),(77 109505.32),(78 109857.805),(79 109879.375),
(1 4237.86),(2 11362.716),(3 18138.096),(4 23695.15),(5 28670.35),(6 33254.215),(7 37518.81),(8 41363.824),(9 44633.734),(10 47628.12),(11 50172.56),(12 52710.3),(13 55019.125),(14 56786.453),(15 58521.402),(16 59913.258),(17 61519.91),(18 62726.008),(19 63695.98),(20 64910.234),(21 65977.68),(22 67536.56),(23 68802.95),(24 70436.49),(25 71979.96),(26 73504.59),(27 74758.82),(28 76076.87),(29 77187.55),(30 78234.23),(31 79380.58),(32 80835.695),(33 81986.46),(34 83359.91),(35 84508.41),(36 85843.21),(37 86437.81),(38 87537.95),(39 88721.05),(40 89865.9),(41 90757.87),(42 91397.84),(43 92016.37),(44 92536.91),(45 92679.09),(46 92585.45),(47 92362.38),(48 92187.47),(49 92414.43),(50 92514.1),(51 92752.73),(52 93975.19),(53 95057.59),(54 96216.05),(55 96848.67),(56 97835.82),(57 98858.1),(58 99429.53),(59 99739.78),(60 100233.25),(61 100263.59),(62 99949.336),(63 100055.07),(64 100346.76),(65 101089.05),(66 101641.82),(67 101844.05),(68 102022.625),(69 102178.016),(70 103136.46),(71 104462.18),(72 105309.05),(73 105664.766),(74 106279.984),(75 105894.02),(76 105888.95),(77 106336.85),(78 106954.25),(79 107304.086),
(1 3960.8435),(2 10506.013),(3 16953.62),(4 22099.586),(5 26591.885),(6 31325.65),(7 35922.25),(8 40139.586),(9 43807.047),(10 47299.31),(11 50432.688),(12 53191.066),(13 56097.11),(14 58239.484),(15 59967.777),(16 61373.387),(17 63033.184),(18 64409.895),(19 65503.027),(20 67355.66),(21 68720.61),(22 70443.42),(23 72155.12),(24 74124.47),(25 75590.37),(26 77133.53),(27 78588),(28 80067.84),(29 80919.31),(30 81848.6),(31 83070.664),(32 84581.914),(33 85409.58),(34 86560.46),(35 87472.94),(36 88444.38),(37 88917.88),(38 89033.516),(39 89088.81),(40 89536.65),(41 90274.56),(42 90938.9),(43 91296.5),(44 91404.36),(45 91727.6),(46 92190.42),(47 93058.18),(48 94173.49),(49 95207.53),(50 96124.69),(51 96537.98),(52 97275.81),(53 97833.164),(54 98319.83),(55 98908.22),(56 99622.47),(57 100637.03),(58 101456.734),(59 101907.445),(60 102446.8),(61 102799.59),(62 102863.36),(63 102882.35),(64 103256.01),(65 103634.16),(66 104246.836),(67 104827.836),(68 105169.84),(69 105757.79),(70 106067.31),(71 106222.03),(72 106558.39),(73 106563.09),(74 106507.78),(75 106428.625),(76 106598.82),(77 107557.11),(78 108392.86),(79 109207.01),
(1 4119.7134),(2 11039.412),(3 17831.004),(4 23634.076),(5 28710.994),(6 33995.766),(7 38768.613),(8 42850.574),(9 46127.44),(10 49111.79),(11 51997.68),(12 55040.03),(13 57946.086),(14 59837.797),(15 61842.574),(16 63640.555),(17 65000.133),(18 66085.12),(19 66754.9),(20 67873.78),(21 69007.336),(22 70191.38),(23 71398.04),(24 72965.73),(25 74150.57),(26 75319.53),(27 76736.94),(28 78354.53),(29 79559.33),(30 80663.41),(31 82071.43),(32 83844.3),(33 85182.09),(34 86363.19),(35 87666.84),(36 88545.79),(37 89008.61),(38 90041.38),(39 90796.25),(40 91553.24),(41 91685.93),(42 91776.29),(43 91609.79),(44 91629.25),(45 92023.31),(46 92934.53),(47 93727.695),(48 94115.34),(49 93996.05),(50 93619.04),(51 93728.31),(52 93936.875),(53 93467.7),(54 93284.99),(55 93626.85),(56 93851.09),(57 94104.12),(58 94214.24),(59 94189.16),(60 94485.41),(61 94581.67),(62 94408.27),(63 94428.914),(64 95217.12),(65 96249.19),(66 97492.14),(67 98212.84),(68 98996.99),(69 100004.15),(70 100839.21),(71 101664.22),(72 102956.625),(73 104024.18),(74 104989.67),(75 106136.65),(76 106741.305),(77 107597.58),(78 108761.69),(79 109801.83),
(1 4188.5034),(2 11179.352),(3 17731.768),(4 23202.393),(5 28138.545),(6 32997.973),(7 37481.348),(8 41379.89),(9 44784.395),(10 48237.74),(11 51274.023),(12 54173.277),(13 57061.69),(14 59133.91),(15 61206.426),(16 63163.285),(17 64739.92),(18 65755.47),(19 66231.625),(20 66655.34),(21 67168.9),(22 68222.97),(23 69340.4),(24 69973.33),(25 70560.61),(26 71327.6),(27 72465.97),(28 73739.67),(29 74598.65),(30 75681.984),(31 77203.81),(32 78576.945),(33 79374.41),(34 79838.42),(35 80390.22),(36 81020.97),(37 81457.54),(38 81446.06),(39 81331.234),(40 81778.15),(41 82182.61),(42 82457.03),(43 82751.87),(44 83559.06),(45 84439.15),(46 85286.08),(47 86091.586),(48 86901.79),(49 87535.62),(50 87878.89),(51 87782.27),(52 87936.83),(53 87539.555),(54 87350.13),(55 87677.62),(56 88401.52),(57 89185.33),(58 89927.23),(59 90369.766),(60 90928.914),(61 91475.94),(62 91660.305),(63 92089.63),(64 92641.07),(65 93381.36),(66 93832.5),(67 94016.055),(68 94544.65),(69 95179.39),(70 95808.7),(71 96061.33),(72 96810.78),(73 97559.03),(74 98336.055),(75 99160.02),(76 99678.4),(77 100203.93),(78 101254.28),(79 101702.76),
(1 3996.8755),(2 10682.595),(3 17087.834),(4 22313.322),(5 27058.03),(6 31693.295),(7 35702.65),(8 39387.684),(9 42631.934),(10 45507.32),(11 47917.758),(12 50317.64),(13 52464.934),(14 53916.313),(15 55675.688),(16 56793.527),(17 57860),(18 58989.883),(19 59935.13),(20 61506.516),(21 62948.46),(22 64232.727),(23 65164.715),(24 66110.11),(25 66569.61),(26 67586.41),(27 69026.48),(28 70377.28),(29 71730.51),(30 73036.16),(31 74324.13),(32 75563.766),(33 76770.05),(34 78263.68),(35 79046.06),(36 79468.16),(37 80263.46),(38 80849.34),(39 81388.375),(40 81420.086),(41 81231.45),(42 81633.54),(43 82241.01),(44 83380.43),(45 84489.305),(46 85448.79),(47 86266.05),(48 87247.445),(49 87964.11),(50 88953.01),(51 89736.21),(52 90258.73),(53 90952.64),(54 91445.57),(55 91778.164),(56 92269.75),(57 92722.234),(58 93102.49),(59 93457.06),(60 93818.72),(61 94294.51),(62 94782.734),(63 95181.37),(64 95008.555),(65 94770.72),(66 94440.92),(67 94090.484),(68 93796.21),(69 93495.234),(70 93241.086),(71 93080.23),(72 93237.48),(73 93391.15),(74 93027.41),(75 92665.47),(76 92166.89),(77 91578.3),(78 91070.516),(79 91169.59),
(1 3979.242),(2 10502.697),(3 16874.355),(4 22260.928),(5 27093.186),(6 31546.1),(7 35525.965),(8 39180.902),(9 42584.934),(10 46098.45),(11 49097.066),(12 51914.98),(13 54637.934),(14 56864.332),(15 58790.742),(16 60274.977),(17 61959.53),(18 63479.234),(19 64629.69),(20 65702.78),(21 66891.086),(22 68318.79),(23 69230.81),(24 69773.6),(25 69981.6),(26 70657.08),(27 71301.63),(28 71736.83),(29 71824.96),(30 72352.06),(31 73265.82),(32 74683.48),(33 76180.52),(34 77422.91),(35 78265.45),(36 78879.42),(37 79450.32),(38 80138.734),(39 81057.59),(40 81815.73),(41 82282.17),(42 83246.61),(43 84114.9),(44 85215.93),(45 86076.85),(46 87051.375),(47 88188.875),(48 89203.336),(49 90100.63),(50 91209.31),(51 92014.164),(52 93146.06),(53 94032.32),(54 94735.35),(55 95222.78),(56 95493.336),(57 95987.31),(58 96561.734),(59 97106.09),(60 97398.41),(61 97577.6),(62 97967.95),(63 98428.72),(64 98444.76),(65 98311.43),(66 98315.82),(67 98325.14),(68 97954.086),(69 97662.4),(70 97100.31),(71 96889.07),(72 96262.016),(73 95362.95),(74 94857.39),(75 94191.85),(76 93472.93),(77 92968.16),(78 92465.36),(79 92282.66),
(1 4050.9092),(2 10779.923),(3 17192.021),(4 22664.436),(5 27656.078),(6 32337.39),(7 36417.25),(8 40386.043),(9 43929.46),(10 47511.734),(11 50693.28),(12 53342.88),(13 55882.445),(14 57806.44),(15 59343.895),(16 60948.39),(17 62391.484),(18 63514.168),(19 64333.586),(20 65918.16),(21 66751.336),(22 68079.46),(23 68851.71),(24 69519.516),(25 69482.58),(26 69738.9),(27 70109.96),(28 70808.05),(29 71094.9),(30 71559.2),(31 72367.305),(32 73281.445),(33 73662.945),(34 73997.79),(35 74043.63),(36 73985.05),(37 74233.484),(38 74517.44),(39 74728.34),(40 75008.28),(41 75688.92),(42 76908.49),(43 77602.46),(44 78435.734),(45 79323.125),(46 80652.36),(47 81854.07),(48 82795.27),(49 83407.02),(50 84007.73),(51 84383.805),(52 85031.09),(53 86161.35),(54 87487.03),(55 88713.33),(56 89819.84),(57 90925.055),(58 91878.734),(59 92709.484),(60 93936.27),(61 94574.59),(62 95174.38),(63 95800.47),(64 96747.9),(65 97239.73),(66 97573.82),(67 97788.016),(68 97677.875),(69 97931.16),(70 98137.95),(71 98682.36),(72 98973.46),(73 98602.47),(74 98429.336),(75 97782.08),(76 97197.01),(77 96734.82),(78 96480.11),(79 96373.96),
(1 3828.0015),(2 10070.696),(3 16014.626),(4 21183.875),(5 25945.172),(6 30417.188),(7 34168.203),(8 37682.563),(9 40642.01),(10 43945.098),(11 47129.574),(12 50031.258),(13 52578.656),(14 54020.86),(15 55287.54),(16 56715.902),(17 58007.508),(18 59147.27),(19 60099.105),(20 61006.082),(21 61958.95),(22 63129.8),(23 64068.164),(24 65087.25),(25 65626.1),(26 66446.76),(27 67128.28),(28 67732.336),(29 68298.97),(30 68872.664),(31 69773.67),(32 70646.15),(33 71499.805),(34 72223.42),(35 72834.586),(36 72836.52),(37 72659.37),(38 72880.69),(39 73163.625),(40 72968.41),(41 72858.39),(42 73075.16),(43 73832.85),(44 74273.92),(45 74595.16),(46 75337.98),(47 76188.41),(48 76955.2),(49 77356.945),(50 77682.83),(51 78097.17),(52 79188.664),(53 80596.875),(54 82227.305),(55 83611.195),(56 84857.93),(57 85925.05),(58 86862.71),(59 87712.43),(60 88510.91),(61 89278.375),(62 90062.41),(63 91095),(64 92021.71),(65 92569.23),(66 92691.16),(67 92816.56),(68 92999.91),(69 93120.41),(70 93124.586),(71 93561.51),(72 93660.61),(73 93211.164),(74 93154.14),(75 92767.65),(76 92469.36),(77 91901.766),(78 91569.664),(79 91443.44),
(1 3951.2874),(2 10405.573),(3 16439.086),(4 21590.346),(5 26161.559),(6 30470.37),(7 34092.652),(8 37142.37),(9 39701.21),(10 42648.984),(11 45740.742),(12 48620.402),(13 51294.598),(14 52607.16),(15 53797.92),(16 55487.566),(17 56768.72),(18 57571.758),(19 58351.63),(20 59275.367),(21 59861.555),(22 60746.773),(23 61454.49),(24 62347.355),(25 63022.547),(26 63993.508),(27 64619.543),(28 66208.59),(29 67319.02),(30 68087.88),(31 68999.06),(32 70397.58),(33 71171.63),(34 72029.055),(35 72853.02),(36 73902.016),(37 74446.625),(38 75075.55),(39 75451.695),(40 75866.84),(41 76413.83),(42 77002.21),(43 77138.39),(44 77547.6),(45 78218.79),(46 79187.96),(47 80069.52),(48 80735.016),(49 80884.09),(50 81054.125),(51 80946.484),(52 81296.29),(53 81910.18),(54 82754),(55 83393.484),(56 83935.766),(57 84041.37),(58 84380.42),(59 84617.805),(60 85348.53),(61 86038.67),(62 86490.05),(63 86680.11),(64 87115.99),(65 87724.484),(66 87794.336),(67 87745.6),(68 87833.734),(69 87802.07),(70 88133.92),(71 88379.016),(72 88842.85),(73 88515.92),(74 88523.77),(75 88351.625),(76 88363.78),(77 88572.625),(78 88742.414),(79 89031.21),
(1 3795.1504),(2 10107.974),(3 16256.361),(4 21590.488),(5 26424.117),(6 31013.412),(7 34959.707),(8 38219.36),(9 41027.633),(10 43962.54),(11 46916.98),(12 49803.973),(13 52584.6),(14 54568.086),(15 56389.152),(16 58102.44),(17 59567.74),(18 61172.25),(19 62412.805),(20 63066.113),(21 63771.32),(22 64522.344),(23 64884.867),(24 65301.285),(25 65727.89),(26 65950.5),(27 65839.32),(28 65951.92),(29 66415.22),(30 66521.5),(31 66987.23),(32 67918.86),(33 68676.65),(34 69157.89),(35 69686.375),(36 70588.48),(37 71405.16),(38 72591.445),(39 73894.46),(40 75088.516),(41 76350.06),(42 77465.07),(43 78489.94),(44 79408.02),(45 80183.58),(46 80887.2),(47 81477.5),(48 81986.82),(49 82709.445),(50 83130.09),(51 83544.93),(52 84181.84),(53 84606.53),(54 85361.5),(55 86017.875),(56 86530.23),(57 86429.08),(58 86159.66),(59 85717.98),(60 85438.9),(61 85487.06),(62 85532.4),(63 85591.41),(64 85771.44),(65 86117.14),(66 86120.35),(67 86162.97),(68 86380.88),(69 86619.03),(70 86431.14),(71 86235.305),(72 86592.33),(73 86528.24),(74 86597.38),(75 87302.695),(76 87869.305),(77 88273.26),(78 88856.97),(79 89355.5),
(1 3827.7153),(2 9989.133),(3 15889.355),(4 20761.367),(5 25203.121),(6 29459.746),(7 32915.164),(8 35985.527),(9 38744.66),(10 41510.434),(11 44106.61),(12 46391.816),(13 48814.234),(14 50599.836),(15 52246.48),(16 53881.61),(17 55251.598),(18 56520.652),(19 57903.598),(20 59063.848),(21 59996.313),(22 60772.41),(23 61285.563),(24 61749.848),(25 62095.344),(26 62823.92),(27 63226.188),(28 63903.63),(29 64665.03),(30 65541.05),(31 66221.29),(32 67346.45),(33 68467.52),(34 69163.625),(35 69969.695),(36 71168.766),(37 71954.93),(38 72576.97),(39 73213.67),(40 73829.21),(41 74632.91),(42 75565.94),(43 76023.9),(44 76731.93),(45 77298.2),(46 77837.43),(47 78404.64),(48 79050.43),(49 79724.66),(50 80280.695),(51 80654.66),(52 81568.35),(53 81944.18),(54 82233.086),(55 82854.67),(56 83698.68),(57 84237.95),(58 83857.22),(59 83981.5),(60 84256.59),(61 84767.46),(62 85352.89),(63 86206.84),(64 87061.15),(65 87472.81),(66 87536.4),(67 87863.39),(68 88212.555),(69 88867.08),(70 88863.66),(71 88905.38),(72 88834.06),(73 88338.52),(74 88289.55),(75 88235.62),(76 88078.266),(77 87867.47),(78 87468.2),(79 87283.52),
(1 3887.9146),(2 9995.268),(3 15557.687),(4 19837.455),(5 23920.197),(6 28046.266),(7 31466.615),(8 34062.9),(9 36542.688),(10 39419.113),(11 41691.47),(12 43608.47),(13 45557.914),(14 47246.465),(15 48681.67),(16 49967.266),(17 50960.39),(18 51909.227),(19 53182.203),(20 54304.348),(21 55508.17),(22 56613.84),(23 57499.496),(24 58551.137),(25 59149.426),(26 59871.29),(27 60413.516),(28 61389.457),(29 62667.082),(30 63835.082),(31 64657.37),(32 65594.555),(33 66255.77),(34 66482.53),(35 66909.5),(36 67954.58),(37 69109.57),(38 70076.86),(39 70843.11),(40 71423.87),(41 71824.15),(42 72488.78),(43 73582.87),(44 74735.055),(45 75766.41),(46 76821.11),(47 77726.11),(48 78175.06),(49 78600.82),(50 79185.75),(51 80065.805),(52 81166.195),(53 81494.414),(54 82198.5),(55 83172.8),(56 83938.74),(57 84286.836),(58 84299.52),(59 84372.96),(60 85068.72),(61 85688.984),(62 86291.52),(63 86947.766),(64 87224.18),(65 87255.195),(66 87187.82),(67 87518.04),(68 87627.06),(69 87675.65),(70 87108),(71 86920.73),(72 86829.62),(73 86601.33),(74 86843.13),(75 86998.32),(76 86771.36),(77 86713.29),(78 86686.54),(79 87204.57),
(1 3807.0132),(2 9992.536),(3 15614.341),(4 19834.252),(5 23802.268),(6 27806.178),(7 31050.56),(8 33978.082),(9 36535.37),(10 39297.445),(11 41824.1),(12 44371.863),(13 47127.75),(14 49340.734),(15 51584.902),(16 53684.863),(17 55235.1),(18 56340.46),(19 57496.61),(20 58549.3),(21 59520.344),(22 60342.387),(23 60996.305),(24 61932),(25 62793.01),(26 63630.656),(27 64405.29),(28 65252.72),(29 66011.3),(30 66827.9),(31 67754.484),(32 69218.94),(33 70529.14),(34 70918.21),(35 70915.75),(36 71427.06),(37 71974.555),(38 72593.99),(39 72725.484),(40 72829.62),(41 73173.03),(42 73810.91),(43 74639.21),(44 75521.9),(45 75936.234),(46 76256.055),(47 76796.73),(48 76957.33),(49 77041.69),(50 77062.11),(51 77066.7),(52 77325.13),(53 77429.71),(54 77577.31),(55 77822.63),(56 77963.79),(57 77955.375),(58 77962.836),(59 78252.664),(60 78913.76),(61 79725.66),(62 80237.26),(63 80669.664),(64 81056.96),(65 81155.234),(66 81385.98),(67 82059.03),(68 82428.625),(69 82458.8),(70 81943.66),(71 81794.95),(72 81721.35),(73 82184.03),(74 82552.516),(75 82535.586),(76 82364.13),(77 82541.23),(78 83107.24),(79 83688.4),
(1 3725.4258),(2 9608.592),(3 15114.537),(4 19238.125),(5 23039.135),(6 26860.97),(7 30111.537),(8 32911.066),(9 35106.246),(10 37603.8),(11 40184.23),(12 42636.44),(13 45150.7),(14 47447.063),(15 49510.63),(16 51362.88),(17 52864.75),(18 54464.17),(19 56179.336),(20 57741.58),(21 59278.953),(22 60824.813),(23 62496.605),(24 63665.37),(25 64532.76),(26 65121.56),(27 65715.945),(28 66585.234),(29 67603.836),(30 68561.09),(31 69366.125),(32 70312.164),(33 70679.92),(34 70824.836),(35 70491.305),(36 70665.68),(37 70690.266),(38 71274.18),(39 71948.5),(40 72228.77),(41 72098.5),(42 72609.375),(43 73523.57),(44 74144.28),(45 74324.625),(46 74867.09),(47 75655.086),(48 76168.266),(49 76523.12),(50 76747.6),(51 76904.484),(52 77149.27),(53 77512.79),(54 78111.91),(55 79139.88),(56 79914.03),(57 80622.336),(58 81503.74),(59 82526.88),(60 83417.13),(61 83864.68),(62 84355.53),(63 84696.71),(64 84902.24),(65 84699.51),(66 84831.414),(67 84939.84),(68 84345.79),(69 83677.2),(70 83408),(71 83765.9),(72 83922.07),(73 84486.22),(74 84746.75),(75 84924.516),(76 84856.734),(77 85242.055),(78 85872.195),(79 86402.17),
(1 3707.0435),(2 9439.817),(3 14424.742),(4 18559.943),(5 22446.672),(6 26194.94),(7 29582.984),(8 32527.598),(9 35098.434),(10 37831.344),(11 40151.145),(12 42319.21),(13 44542.582),(14 46682.656),(15 48728.15),(16 50131.28),(17 51330.41),(18 52558.996),(19 53799.16),(20 55146.438),(21 56588.637),(22 57693.625),(23 58666.895),(24 59444.72),(25 60264.24),(26 60879.348),(27 61674.01),(28 62488.043),(29 63121.23),(30 63483.227),(31 63835.91),(32 64277.305),(33 64430.254),(34 64646.355),(35 64674.438),(36 65278.094),(37 65734.195),(38 66295.16),(39 67116.67),(40 67929.22),(41 68201.02),(42 68849.38),(43 69298.72),(44 69998.06),(45 70498.95),(46 71325.48),(47 72512.97),(48 73477.96),(49 74320.02),(50 74976.914),(51 75930.17),(52 77196.836),(53 77975.94),(54 78847.445),(55 79850.14),(56 80295.125),(57 80487.55),(58 81088.65),(59 81889.16),(60 82344.4),(61 82308.29),(62 82467.81),(63 82883.04),(64 83099.35),(65 83244.914),(66 83440.195),(67 83693.46),(68 83812.1),(69 83703.84),(70 83465.42),(71 83673.17),(72 84011.49),(73 83785.47),(74 83482.13),(75 83466.35),(76 83411.92),(77 83282.1),(78 83412.75),(79 83559.984),
(1 3467.394),(2 9038.042),(3 14069.385),(4 18140.68),(5 22012.438),(6 25734.166),(7 28650.666),(8 30937.742),(9 32909.055),(10 35226.555),(11 37164.86),(12 39033.195),(13 40956.758),(14 42666.477),(15 44328.285),(16 45583.195),(17 47034.234),(18 48285.926),(19 49385.72),(20 50980.19),(21 52260.473),(22 53587.605),(23 54480.72),(24 55447.137),(25 56233.49),(26 57070.816),(27 58035.203),(28 59026.934),(29 59464.066),(30 60113.05),(31 60569.805),(32 61005.96),(33 61014.348),(34 60938.934),(35 60693.773),(36 60835.805),(37 61373.19),(38 61959.49),(39 62805.68),(40 63715.297),(41 64982.04),(42 66442.61),(43 68024.53),(44 69083.87),(45 69964.03),(46 71041.89),(47 72199.31),(48 73038.586),(49 74124.94),(50 74891.16),(51 75198.36),(52 75556.055),(53 76240.055),(54 77539.57),(55 79207.01),(56 80298.96),(57 81266.91),(58 82362.7),(59 83014.68),(60 83321.71),(61 83399.01),(62 83441.19),(63 83278.37),(64 82793.28),(65 82407.81),(66 81986.63),(67 81905.82),(68 81933.88),(69 82143.69),(70 81404.79),(71 81223.64),(72 81099.47),(73 81054.55),(74 81019.31),(75 80798),(76 80390.766),(77 80153.37),(78 80145.87),(79 80004.2),
(1 3584.7825),(2 9185.206),(3 14221.087),(4 18282.19),(5 22071.654),(6 25654.994),(7 28552.805),(8 30821.072),(9 32825.973),(10 35117.4),(11 37183.516),(12 39226.594),(13 41225.82),(14 43000.023),(15 44659.38),(16 46336.94),(17 47966.496),(18 49325.652),(19 50196.043),(20 51363.703),(21 52134.832),(22 53134.73),(23 54070.86),(24 55247.375),(25 55923.926),(26 56533.664),(27 57511.4),(28 58389.14),(29 58950.92),(30 59514.297),(31 60226.117),(32 60828.727),(33 61075.74),(34 61087.53),(35 60922.543),(36 60937.402),(37 61222.21),(38 61666.3),(39 62533.715),(40 63228.703),(41 63939.414),(42 64933.883),(43 66077.74),(44 66672.805),(45 67122.125),(46 67493.56),(47 68100.12),(48 68273.22),(49 68695.32),(50 69017.234),(51 69416.42),(52 69713.71),(53 70239.766),(54 70628.66),(55 71470.41),(56 72173.11),(57 72583.64),(58 73083.81),(59 73566.21),(60 74102.41),(61 74422.9),(62 74653.86),(63 74519.04),(64 74249.07),(65 74233.38),(66 74103.64),(67 74137.07),(68 73854.055),(69 73854.85),(70 73258.05),(71 73023.66),(72 72922.95),(73 72791.914),(74 72515.93),(75 72519.945),(76 72706.34),(77 72640.95),(78 72537.37),(79 72618.7),
