1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 28992.244),(2 99550.23),(3 202556.11),(4 315444.5),(5 417992.84),(6 497675.5),(7 559421.5),(8 601872.2),(9 622622.3),(10 618840.94),(11 610797.44),(12 616394),(13 653801.7),(14 744408.7),(15 868172.3),(16 1003415.94),(17 1147013.8),(18 1263995.9),(19 1363948.1),(20 1443458.4),(21 1494618.6),(22 1535605.9),(23 1573642.4),(24 1612056),(25 1670819),(26 1753821.4),(27 1844442),(28 1928975.4),(29 1978983.6),(30 2035083.9),(31 2083774.1),(32 2128334.8),(33 2166946.8),(34 2214987.5),(35 2249413),(36 2301752.8),(37 2354993.8),(38 2412942.3),(39 2487248.3),(40 2565558.5),(41 2653820.8),(42 2756855.8),(43 2868878.8),(44 2980652.3),(45 3096197.3),(46 3202014.8),(47 3313913),(48 3404006.3),(49 3493942.3),(50 3587363.3),(51 3687546.3),(52 3810916),(53 3945667.3),(54 4073625.3),(55 4220116.5),(56 4368391.5),(57 4519060),(58 4648440),(59 4739646.5),(60 4802733),(61 4857974),(62 4891879.5),(63 4935823),(64 4994372),(65 5084330.5),(66 5187082),(67 5297220.5),(68 5398966.5),(69 5536088.5),(70 5702169.5),(71 5873599.5),(72 6025160),(73 6203137.5),(74 6361962.5),(75 6592976),(76 6857152),(77 7123122),(78 7332974.5),(79 7554365.5),
(1 51404.375),(2 181707.4),(3 358450.2),(4 548844.2),(5 735018.1),(6 891760.7),(7 1005737.9),(8 1089077.8),(9 1145485.3),(10 1187754.3),(11 1249886.6),(12 1356257.3),(13 1519096.3),(14 1754268.8),(15 2014770.8),(16 2302143.3),(17 2580205.5),(18 2804832.8),(19 2983348),(20 3113500),(21 3247515.5),(22 3400155.3),(23 3568291.3),(24 3767578.8),(25 4024072.8),(26 4308655),(27 4612183),(28 4921376),(29 5167574.5),(30 5418400.5),(31 5642947),(32 5844081.5),(33 6027969),(34 6208673.5),(35 6368744),(36 6566863),(37 6766937.5),(38 6952800),(39 7160621.5),(40 7400377.5),(41 7682047),(42 7946797),(43 8232927),(44 8506509),(45 8778213),(46 9024840),(47 9285827),(48 9535107),(49 9782451),(50 10028850),(51 10289395),(52 10558339),(53 10822886),(54 11061042),(55 11274568),(56 11442610),(57 11606230),(58 11724662),(59 11801659),(60 11877205),(61 11961419),(62 12043359),(63 12158723),(64 12275454),(65 12394296),(66 12536751),(67 12668923),(68 12779755),(69 12882936),(70 12998522),(71 13136502),(72 13205397),(73 13312166),(74 13410669),(75 13621707),(76 13868150),(77 14094325),(78 14300166),(79 14526643),
(1 41470.13),(2 143875.38),(3 288559.66),(4 450639.25),(5 613408),(6 767367.56),(7 890537.2),(8 997443.5),(9 1084354),(10 1148399.1),(11 1217220.1),(12 1319144.1),(13 1454228.4),(14 1642103),(15 1869661.4),(16 2125424.5),(17 2383799.3),(18 2630110.8),(19 2829968),(20 2998940.8),(21 3186353.3),(22 3374346.8),(23 3553392.8),(24 3752883.3),(25 3987663.8),(26 4259735.5),(27 4533828),(28 4802605),(29 5034847.5),(30 5264687),(31 5500239.5),(32 5700170),(33 5869695.5),(34 5990838.5),(35 6079687.5),(36 6133652),(37 6193692.5),(38 6279015.5),(39 6407448.5),(40 6604085.5),(41 6823987.5),(42 7065330),(43 7318074.5),(44 7560872.5),(45 7776665.5),(46 7973112.5),(47 8167728.5),(48 8366377.5),(49 8612115),(50 8893671),(51 9203031),(52 9534199),(53 9838842),(54 10172003),(55 10441747),(56 10705729),(57 10979311),(58 11239485),(59 11475693),(60 11692261),(61 11850931),(62 11983856),(63 12096032),(64 12234888),(65 12379904),(66 12556991),(67 12789639),(68 13049021),(69 13321504),(70 13588213),(71 13756551),(72 13889703),(73 13987144),(74 14037277),(75 14073973),(76 14130624),(77 14215640),(78 14290019),(79 14392704),
(1 42502.473),(2 142426.64),(3 280318),(4 428913.34),(5 571695.75),(6 692971.75),(7 788906.7),(8 859655.1),(9 916411.75),(10 960224.56),(11 1023079.3),(12 1124380),(13 1256907.4),(14 1410330.4),(15 1597091.1),(16 1801790.5),(17 2012061.5),(18 2218420),(19 2409543),(20 2589998.8),(21 2794215.3),(22 2993364.5),(23 3193087),(24 3410723),(25 3670687.5),(26 3989411.5),(27 4355452.5),(28 4751178),(29 5162453.5),(30 5580527),(31 6006925.5),(32 6380034.5),(33 6706445.5),(34 6956605.5),(35 7174482),(36 7375922.5),(37 7581858.5),(38 7829116.5),(39 8117530.5),(40 8465300),(41 8815180),(42 9179476),(43 9526286),(44 9832293),(45 10115493),(46 10367786),(47 10572945),(48 10774266),(49 10981131),(50 11166279),(51 11369893),(52 11587132),(53 11808058),(54 12058590),(55 12326512),(56 12624812),(57 12925877),(58 13216162),(59 13449170),(60 13639940),(61 13775803),(62 13877666),(63 13963276),(64 14085744),(65 14252420),(66 14458947),(67 14737959),(68 15076748),(69 15432228),(70 15812021),(71 16148565),(72 16459545),(73 16722539),(74 16953824),(75 17191620),(76 17411670),(77 17630056),(78 17814808),(79 18041962),
(1 52650.086),(2 181099.5),(3 355514.22),(4 553745.2),(5 744766.44),(6 907420.25),(7 1036904.4),(8 1139051.1),(9 1210468.5),(10 1271906),(11 1357144.1),(12 1477004.5),(13 1622999.6),(14 1787998.9),(15 1973972.5),(16 2172957.5),(17 2368593.8),(18 2552086.5),(19 2713522.3),(20 2868091.8),(21 3027378.8),(22 3176021),(23 3339314.3),(24 3505513),(25 3695056.3),(26 3921271.8),(27 4175968.8),(28 4453902),(29 4746913.5),(30 5071231.5),(31 5415790),(32 5739101),(33 6040961.5),(34 6282996.5),(35 6489787),(36 6681537.5),(37 6878621),(38 7110726),(39 7393775.5),(40 7728260.5),(41 8068557),(42 8444876),(43 8786557),(44 9099567),(45 9389073),(46 9670227),(47 9956676),(48 10269331),(49 10602476),(50 10964829),(51 11315043),(52 11680849),(53 12024211),(54 12382279),(55 12735834),(56 13108652),(57 13498068),(58 13873513),(59 14238403),(60 14590449),(61 14944819),(62 15288333),(63 15638319),(64 16030199),(65 16431991),(66 16859022),(67 17375650),(68 17925382),(69 18500782),(70 19082302),(71 19667614),(72 20250320),(73 20809576),(74 21279774),(75 21755082),(76 22220658),(77 22664766),(78 23093652),(79 23545318),
(1 55537.574),(2 193790.78),(3 393496.34),(4 626338.5),(5 864013.6),(6 1061739.6),(7 1211175.8),(8 1322841.4),(9 1414143.8),(10 1497294.8),(11 1612032),(12 1767777.8),(13 1972000),(14 2191803.8),(15 2413198.5),(16 2623821.3),(17 2821785.8),(18 2996946),(19 3140880),(20 3259084.5),(21 3372562.5),(22 3501055.5),(23 3664152.5),(24 3839612),(25 4044234.5),(26 4299511),(27 4577118.5),(28 4884669),(29 5200640),(30 5527001),(31 5865162),(32 6172625),(33 6464626.5),(34 6691735),(35 6881536),(36 7058433),(37 7261622.5),(38 7494791),(39 7791092),(40 8132563),(41 8495354),(42 8876787),(43 9199994),(44 9492579),(45 9738267),(46 9960554),(47 10167406),(48 10385724),(49 10636837),(50 10944579),(51 11268917),(52 11596304),(53 11900672),(54 12196181),(55 12443790),(56 12669789),(57 12860744),(58 13006883),(59 13137680),(60 13252995),(61 13348899),(62 13438160),(63 13530464),(64 13657957),(65 13791550),(66 13958768),(67 14169690),(68 14380931),(69 14611066),(70 14831165),(71 15028139),(72 15219779),(73 15357485),(74 15501771),(75 15637285),(76 15821338),(77 16044934),(78 16298160),(79 16544707),
(1 46259.957),(2 161529.66),(3 336264.3),(4 537909.94),(5 750961.9),(6 936077.4),(7 1107603.8),(8 1250390.9),(9 1384722.1),(10 1518466.6),(11 1682816.9),(12 1873068.5),(13 2127847.5),(14 2390293),(15 2649128),(16 2898246.5),(17 3134512.3),(18 3354980),(19 3566284.5),(20 3780653.8),(21 4014497),(22 4265573.5),(23 4538858),(24 4825213.5),(25 5111946),(26 5418129),(27 5738621),(28 6064619),(29 6400306.5),(30 6762234.5),(31 7112334),(32 7440326),(33 7750960),(34 7993945),(35 8211766),(36 8431023),(37 8669394),(38 8944925),(39 9276609),(40 9618436),(41 9955326),(42 10276939),(43 10542577),(44 10793497),(45 11008340),(46 11201920),(47 11364908),(48 11519185),(49 11690533),(50 11878923),(51 12076746),(52 12274158),(53 12485504),(54 12694895),(55 12890946),(56 13099634),(57 13277792),(58 13440823),(59 13610591),(60 13782134),(61 13960320),(62 14135376),(63 14286372),(64 14448886),(65 14585852),(66 14678619),(67 14765893),(68 14835660),(69 14919070),(70 14995095),(71 15106327),(72 15190240),(73 15256049),(74 15312981),(75 15351499),(76 15381900),(77 15418124),(78 15425166),(79 15428929),
(1 46739.64),(2 166842.2),(3 341185.13),(4 546879.5),(5 766669.3),(6 982018.44),(7 1197201.8),(8 1409340.5),(9 1611801.6),(10 1807461.1),(11 2025504.1),(12 2249684),(13 2530146.8),(14 2822631.5),(15 3123154.8),(16 3412439),(17 3694351.8),(18 3971341),(19 4241284.5),(20 4527679),(21 4825191.5),(22 5119731),(23 5397902),(24 5665205),(25 5914254.5),(26 6147657.5),(27 6357158),(28 6554262),(29 6758040.5),(30 6995587),(31 7271445.5),(32 7563536.5),(33 7861139.5),(34 8119795),(35 8349065),(36 8557200),(37 8780468),(38 9039225),(39 9339403),(40 9701530),(41 10077034),(42 10479135),(43 10844730),(44 11211546),(45 11555214),(46 11885075),(47 12218166),(48 12552484),(49 12909579),(50 13279326),(51 13667621),(52 14023673),(53 14368214),(54 14697853),(55 15025489),(56 15369173),(57 15707355),(58 16043484),(59 16375311),(60 16699312),(61 16992978),(62 17243786),(63 17442402),(64 17586500),(65 17727844),(66 17839972),(67 17935136),(68 18010084),(69 18077316),(70 18148900),(71 18215764),(72 18250362),(73 18287548),(74 18353170),(75 18456524),(76 18573960),(77 18712884),(78 18832602),(79 18915192),
(1 53603.66),(2 191578.27),(3 387225.53),(4 602523.6),(5 817970.56),(6 1001010.94),(7 1168350.9),(8 1307680.8),(9 1436922.1),(10 1560944.1),(11 1701866.8),(12 1859277.3),(13 2057046.4),(14 2270945.8),(15 2498458.3),(16 2732809.8),(17 2965811.3),(18 3220337.5),(19 3486968.3),(20 3785559),(21 4115658),(22 4432991.5),(23 4746927.5),(24 5048904),(25 5325640),(26 5606108),(27 5893135),(28 6185969.5),(29 6490973),(30 6814577),(31 7166600.5),(32 7548864),(33 7912724),(34 8255298),(35 8562797),(36 8845904),(37 9130985),(38 9407702),(39 9705325),(40 10041272),(41 10375666),(42 10731091),(43 11045633),(44 11348781),(45 11614558),(46 11887118),(47 12152864),(48 12383706),(49 12590277),(50 12790776),(51 12986296),(52 13194876),(53 13404697),(54 13618584),(55 13848496),(56 14053197),(57 14240425),(58 14410870),(59 14580380),(60 14705950),(61 14796122),(62 14871471),(63 14916697),(64 14970311),(65 15011624),(66 15051978),(67 15068008),(68 15083233),(69 15075445),(70 15067560),(71 15045160),(72 15021662),(73 15029578),(74 15057263),(75 15101747),(76 15141290),(77 15168806),(78 15190625),(79 15197658),
(1 56227.438),(2 202797.83),(3 416831.56),(4 659888.9),(5 918719.5),(6 1158077.3),(7 1392993),(8 1607911.4),(9 1815761.1),(10 2015787.5),(11 2231082.8),(12 2460947),(13 2720560.5),(14 2983449),(15 3249017.3),(16 3515008.8),(17 3782617.8),(18 4061109.8),(19 4349106),(20 4665917),(21 5017179.5),(22 5374675),(23 5735568.5),(24 6084675),(25 6403746),(26 6716194),(27 7004663),(28 7279498),(29 7556914.5),(30 7841527),(31 8151811.5),(32 8497868),(33 8856097),(34 9205897),(35 9548477),(36 9871951),(37 10194966),(38 10502204),(39 10839299),(40 11223024),(41 11598900),(42 11998082),(43 12375744),(44 12776598),(45 13144360),(46 13515059),(47 13873864),(48 14212039),(49 14533904),(50 14827365),(51 15084821),(52 15335881),(53 15599616),(54 15899778),(55 16219228),(56 16524334),(57 16801404),(58 17048760),(59 17241880),(60 17389554),(61 17506498),(62 17634912),(63 17781378),(64 17960668),(65 18138376),(66 18320010),(67 18473668),(68 18606744),(69 18708444),(70 18772002),(71 18820786),(72 18872886),(73 18928746),(74 18978578),(75 19031806),(76 19029848),(77 19001776),(78 18967256),(79 18933972),
(1 60033.867),(2 214800.23),(3 442523.22),(4 701442.1),(5 978772.9),(6 1247743.5),(7 1501214.3),(8 1722797.3),(9 1937702.1),(10 2151355.8),(11 2394836.8),(12 2659692.8),(13 2970972),(14 3308407.8),(15 3670105),(16 4033073),(17 4389449),(18 4731263),(19 5073556.5),(20 5438086.5),(21 5829487),(22 6225950),(23 6623180.5),(24 7030301),(25 7430023.5),(26 7827364),(27 8209955),(28 8628336),(29 9074424),(30 9534027),(31 10010233),(32 10481605),(33 10963665),(34 11378217),(35 11737718),(36 12065147),(37 12363698),(38 12664076),(39 12976359),(40 13330991),(41 13675432),(42 14034332),(43 14350087),(44 14678184),(45 14967823),(46 15224902),(47 15447829),(48 15647855),(49 15836474),(50 16008919),(51 16175298),(52 16369726),(53 16605606),(54 16846788),(55 17077290),(56 17290828),(57 17479526),(58 17637220),(59 17745862),(60 17825032),(61 17882880),(62 17929488),(63 17977974),(64 18050408),(65 18156208),(66 18270772),(67 18382018),(68 18486016),(69 18562806),(70 18645040),(71 18702478),(72 18751216),(73 18787920),(74 18827996),(75 18871412),(76 18898906),(77 18920132),(78 18957832),(79 19043610),
