1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 189006.17),(2 694817.7),(3 1520395),(4 2622149.3),(5 3983760.3),(6 5554991.5),(7 7326978),(8 9216242),(9 11269429),(10 13534772),(11 16048541),(12 18717142),(13 21503390),(14 24370222),(15 27276902),(16 30294722),(17 33365882),(18 36429376),(19 39412228),(20 42220604),(21 44792144),(22 47208892),(23 49634548),(24 51956640),(25 54160876),(26 56306080),(27 58295890),(28 60074496),(29 61752940),(30 63264068),(31 64539170),(32 65637804),(33 66668308),(34 67483010),(35 68253064),(36 68964560),(37 69707150),(38 70413030),(39 71193680),(40 71942280),(41 72704360),(42 73485020),(43 74441220),(44 75504696),(45 76753710),(46 77946890),(47 79435260),(48 80811930),(49 82237900),(50 83615080),(51 85236104),(52 86908744),(53 88696024),(54 90558020),(55 92444390),(56 94344856),(57 96422950),(58 98695190),(59 101163480),(60 103765250),(61 106535400),(62 109296170),(63 112612856),(64 115893450),(65 119238200),(66 122484260),(67 125988100),(68 129469784),(69 133155350),(70 136947090),(71 140960590),(72 145124800),(73 149238820),(74 153453550),(75 157812080),(76 162124200),(77 166411660),(78 170856320),(79 175222190),
(1 193196.05),(2 720759.9),(3 1540463.3),(4 2637358),(5 3993138),(6 5543646.5),(7 7291692),(8 9238678),(9 11382112),(10 13647878),(11 16104739),(12 18627386),(13 21098194),(14 23552968),(15 26031738),(16 28621312),(17 31192064),(18 33694412),(19 36273520),(20 38793184),(21 41224776),(22 43792860),(23 46290970),(24 48886868),(25 51468530),(26 53811330),(27 56080744),(28 58223124),(29 60069708),(30 61775080),(31 63354924),(32 64762390),(33 66216052),(34 67742270),(35 69304900),(36 71067496),(37 72819320),(38 74716696),(39 76622890),(40 78491944),(41 80310540),(42 82228100),(43 84122630),(44 85924090),(45 87795600),(46 89600140),(47 91504800),(48 93555280),(49 95573330),(50 97408590),(51 99425840),(52 101398130),(53 103472600),(54 105612640),(55 107955416),(56 110260696),(57 112581864),(58 115063040),(59 117617330),(60 120256260),(61 122971416),(62 125663210),(63 128465840),(64 131217410),(65 133940200),(66 136617140),(67 139345000),(68 142094240),(69 144962510),(70 147679760),(71 150556480),(72 153291100),(73 156116940),(74 158884500),(75 161605220),(76 164089650),(77 166372400),(78 168575710),(79 170605490),
(1 228154.61),(2 866941.75),(3 1908454.9),(4 3271299),(5 5003482.5),(6 6956506.5),(7 9204620),(8 11781859),(9 14604357),(10 17659114),(11 20955644),(12 24408976),(13 28091130),(14 31810832),(15 35592908),(16 39651936),(17 43544660),(18 47437652),(19 51296620),(20 54999004),(21 58488224),(22 61817388),(23 64910964),(24 67983280),(25 70988100),(26 73800130),(27 76783720),(28 79695350),(29 82398410),(30 85069750),(31 87706510),(32 90212936),(33 92817270),(34 95444380),(35 97899656),(36 100665784),(37 103247784),(38 105981784),(39 108633770),(40 111505670),(41 114336856),(42 117148230),(43 120105864),(44 123175944),(45 126486200),(46 129941820),(47 133454400),(48 137303730),(49 140970960),(50 144637230),(51 148388110),(52 151952910),(53 155440460),(54 158633420),(55 162128320),(56 165210880),(57 167859620),(58 170497230),(59 173104560),(60 175733100),(61 178234660),(62 180447950),(63 182385400),(64 184211410),(65 185817900),(66 187128850),(67 188154990),(68 189036210),(69 189831980),(70 190346770),(71 190639490),(72 190488450),(73 190234370),(74 189372930),(75 188176500),(76 186609730),(77 184563070),(78 182695170),(79 180726850),
(1 330467),(2 1271396.3),(3 2769746.8),(4 4738358.5),(5 7167683.5),(6 9932770),(7 13044021),(8 16495861),(9 20148868),(10 24001176),(11 28010678),(12 32083150),(13 36285456),(14 40522096),(15 44861772),(16 49363404),(17 53741144),(18 58140020),(19 62517970),(20 66738376),(21 70753820),(22 74437230),(23 77781090),(24 80711120),(25 83486890),(26 86101580),(27 88731760),(28 91123840),(29 93279864),(30 95382710),(31 97380860),(32 99262340),(33 101090530),(34 102762900),(35 104202850),(36 105618050),(37 106797430),(38 107941030),(39 108804060),(40 109424260),(41 109939624),(42 110428490),(43 110989000),(44 111729330),(45 112770110),(46 113961976),(47 115374620),(48 117217700),(49 118988700),(50 121011290),(51 123173140),(52 125602160),(53 128005090),(54 130360250),(55 133057280),(56 135663170),(57 138216670),(58 140567700),(59 142761540),(60 144800590),(61 146671040),(62 148455260),(63 149885780),(64 151273180),(65 152283620),(66 152863000),(67 153225800),(68 153223410),(69 152961860),(70 152212260),(71 150906180),(72 149320000),(73 147324750),(74 144782020),(75 142054540),(76 139188130),(77 136113980),(78 133087970),(79 130052664),
(1 316237.2),(2 1220208.1),(3 2642840.3),(4 4521988.5),(5 6752010),(6 9287946),(7 12111478),(8 15133693),(9 18335764),(10 21696984),(11 25168736),(12 28717688),(13 32301696),(14 35967936),(15 39697340),(16 43464892),(17 47162772),(18 50811290),(19 54493636),(20 57993344),(21 61347876),(22 64499396),(23 67573256),(24 70499440),(25 73265150),(26 75840650),(27 78416690),(28 80865610),(29 83174216),(30 85234680),(31 87246216),(32 89091200),(33 90851064),(34 92446470),(35 93796100),(36 95064290),(37 96191816),(38 97239470),(39 98110216),(40 98746950),(41 99255910),(42 99593310),(43 99870440),(44 100145620),(45 100483850),(46 100868890),(47 101426740),(48 102174536),(49 102816740),(50 103542456),(51 104356050),(52 105402400),(53 106419610),(54 107200520),(55 108281140),(56 109171280),(57 110004920),(58 110708580),(59 111353370),(60 111919870),(61 112503980),(62 113221830),(63 113898830),(64 114680540),(65 115276800),(66 115737760),(67 116121160),(68 116395400),(69 116544390),(70 116486170),(71 116229000),(72 115807160),(73 115089410),(74 114199300),(75 113163544),(76 112017384),(77 110641000),(78 109414190),(79 108032440),
(1 264794.03),(2 1005873.6),(3 2187961),(4 3745289.5),(5 5683203),(6 7969310.5),(7 10573311),(8 13562736),(9 16834412),(10 20383880),(11 24251738),(12 28266924),(13 32511078),(14 36879424),(15 41301584),(16 45788240),(17 50216290),(18 54465984),(19 58828670),(20 63067860),(21 67294030),(22 71352590),(23 75226200),(24 79005010),(25 82546380),(26 85623620),(27 88425490),(28 90948120),(29 93201384),(30 95108310),(31 96814696),(32 98169260),(33 99427390),(34 100522830),(35 101435600),(36 102324460),(37 103099340),(38 103913650),(39 104698430),(40 105649350),(41 106498740),(42 107282380),(43 108183870),(44 109119700),(45 110143820),(46 111118720),(47 112105900),(48 113140530),(49 113954200),(50 114581810),(51 115121944),(52 115686080),(53 116093100),(54 116352410),(55 116299260),(56 115923480),(57 115275140),(58 114579944),(59 113603410),(60 112403120),(61 111134910),(62 109695130),(63 108300630),(64 106759944),(65 105077650),(66 103480520),(67 101950000),(68 100552780),(69 99335700),(70 98221120),(71 97401370),(72 96740880),(73 96215130),(74 95782960),(75 95285300),(76 94837270),(77 94487660),(78 94413260),(79 94443176),
(1 250520.84),(2 947227),(3 2022492.8),(4 3392901.3),(5 5044644.5),(6 6834384),(7 8734158),(8 10791631),(9 12959511),(10 15211349),(11 17530894),(12 19871212),(13 22271410),(14 24661832),(15 26995064),(16 29352864),(17 31609898),(18 33832188),(19 36061920),(20 38080630),(21 40092348),(22 41951700),(23 43740844),(24 45413944),(25 46972796),(26 48264276),(27 49429880),(28 50552684),(29 51519480),(30 52318020),(31 53011900),(32 53559216),(33 54011896),(34 54352270),(35 54592130),(36 54809236),(37 55001856),(38 55185840),(39 55320640),(40 55371070),(41 55308840),(42 55102090),(43 54840110),(44 54460036),(45 54101948),(46 53725310),(47 53397404),(48 53159336),(49 52842140),(50 52602730),(51 52404970),(52 52214440),(53 52095616),(54 51728410),(55 51360484),(56 50922436),(57 50508850),(58 50001252),(59 49452644),(60 48867950),(61 48192812),(62 47513124),(63 46725340),(64 46057404),(65 45347370),(66 44562930),(67 43744444),(68 42880788),(69 42036964),(70 41288250),(71 40588584),(72 39939010),(73 39392090),(74 38857116),(75 38364600),(76 37881020),(77 37472144),(78 37173376),(79 36954788),
(1 307998.47),(2 1185669.4),(3 2582264),(4 4354837.5),(5 6459607),(6 8760558),(7 11227746),(8 13804976),(9 16424386),(10 19025548),(11 21613404),(12 24133216),(13 26665724),(14 29136550),(15 31546208),(16 33961210),(17 36279388),(18 38667388),(19 40915376),(20 43048212),(21 45045896),(22 47016460),(23 48882404),(24 50631320),(25 52262148),(26 53564812),(27 54747116),(28 55900184),(29 56824260),(30 57636890),(31 58387844),(32 58933436),(33 59254190),(34 59356972),(35 59177064),(36 58887340),(37 58385964),(38 57670188),(39 56666772),(40 55573796),(41 54229080),(42 52712812),(43 51138724),(44 49420332),(45 47629540),(46 45832244),(47 44073196),(48 42380056),(49 40697016),(50 39120492),(51 37631870),(52 36200064),(53 34898508),(54 33668930),(55 32681258),(56 31861876),(57 31228790),(58 30749252),(59 30462358),(60 30356916),(61 30320000),(62 30407330),(63 30557514),(64 30839300),(65 31209724),(66 31669128),(67 32241362),(68 32820172),(69 33384696),(70 34001844),(71 34620696),(72 35173260),(73 35674924),(74 36133950),(75 36545364),(76 36933172),(77 37281412),(78 37598824),(79 37901092),
(1 309516.47),(2 1171530.6),(3 2487870),(4 4124067.8),(5 5997894.5),(6 7953577.5),(7 9924140),(8 11891726),(9 13827593),(10 15658515),(11 17415826),(12 19025376),(13 20516676),(14 21825828),(15 23000026),(16 23980210),(17 24833456),(18 25609852),(19 26267024),(20 26890026),(21 27417108),(22 27930782),(23 28384650),(24 28782750),(25 29213808),(26 29634984),(27 29975934),(28 30181000),(29 30360632),(30 30468274),(31 30520508),(32 30511616),(33 30442236),(34 30276404),(35 30035730),(36 29707906),(37 29323632),(38 28868782),(39 28352708),(40 27856418),(41 27379354),(42 26884304),(43 26381334),(44 25857314),(45 25385630),(46 24977754),(47 24651632),(48 24481082),(49 24417016),(50 24433914),(51 24517530),(52 24645052),(53 24831696),(54 24988096),(55 25204058),(56 25353264),(57 25488004),(58 25534298),(59 25535556),(60 25499012),(61 25470046),(62 25482116),(63 25455030),(64 25572362),(65 25797032),(66 26104028),(67 26548592),(68 27020170),(69 27461552),(70 27822532),(71 28150900),(72 28494144),(73 28849002),(74 29213424),(75 29539388),(76 29796244),(77 29947462),(78 30035200),(79 30062818),
(1 324378.13),(2 1232053),(3 2601031),(4 4298343),(5 6196371),(6 8183255),(7 10121668),(8 11952512),(9 13617828),(10 15061461),(11 16284032),(12 17348992),(13 18276424),(14 19003656),(15 19579042),(16 20026904),(17 20457924),(18 20856184),(19 21211100),(20 21576722),(21 21937066),(22 22272344),(23 22603342),(24 22896556),(25 23277586),(26 23636554),(27 23982940),(28 24266780),(29 24503816),(30 24593326),(31 24607962),(32 24572772),(33 24411992),(34 24165486),(35 23857230),(36 23444388),(37 22939058),(38 22386006),(39 21717880),(40 21024402),(41 20280974),(42 19438830),(43 18645940),(44 17915058),(45 17235048),(46 16623979),(47 16095104),(48 15682592),(49 15411860),(50 15293033),(51 15297067),(52 15426436),(53 15689788),(54 15979019),(55 16274012),(56 16528544),(57 16835064),(58 17108204),(59 17350344),(60 17587100),(61 17827832),(62 18094084),(63 18359240),(64 18650812),(65 18911196),(66 19140316),(67 19410116),(68 19647414),(69 19901394),(70 20181482),(71 20523076),(72 20908046),(73 21282686),(74 21625258),(75 21891466),(76 22087048),(77 22159126),(78 22120952),(79 22033994),
(1 347883.25),(2 1297117.6),(3 2722944.5),(4 4460893),(5 6418070.5),(6 8451557),(7 10513131),(8 12550217),(9 14488800),(10 16239774),(11 17754768),(12 18939504),(13 19841882),(14 20386002),(15 20646614),(16 20640444),(17 20417536),(18 20012950),(19 19489238),(20 18870734),(21 18190610),(22 17423938),(23 16601137),(24 15647834),(25 14716018),(26 13802992),(27 12970345),(28 12301705),(29 11825615),(30 11517286),(31 11419543),(32 11492458),(33 11641344),(34 11845203),(35 12061830),(36 12282645),(37 12516348),(38 12764373),(39 13013593),(40 13352113),(41 13663351),(42 14015610),(43 14426797),(44 14853909),(45 15323352),(46 15777260),(47 16195750),(48 16644314),(49 17077752),(50 17499792),(51 17912252),(52 18337286),(53 18792710),(54 19320390),(55 19805072),(56 20338670),(57 20828352),(58 21230996),(59 21517030),(60 21686314),(61 21799092),(62 21843132),(63 21862580),(64 21833948),(65 21750218),(66 21619932),(67 21528810),(68 21452528),(69 21384212),(70 21277418),(71 21180590),(72 21063474),(73 20965026),(74 20894846),(75 20801596),(76 20743120),(77 20666378),(78 20565232),(79 20487288),
