1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 272171.8),(2 851994.7),(3 1557656.6),(4 2310562.8),(5 3142947.3),(6 4133245),(7 5272732),(8 6655798.5),(9 8190741.5),(10 9782965),(11 11278277),(12 12800632),(13 14424717),(14 16117165),(15 17801178),(16 19631762),(17 21568712),(18 24320394),(19 26561064),(20 28983006),(21 31435438),(22 34082300),(23 36754900),(24 40375508),(25 43316628),(26 46425084),(27 49546830),(28 52832364),(29 57241310),(30 60970820),(31 64535250),(32 68239290),(33 73276320),(34 77103510),(35 81068220),(36 86176200),(37 90574150),(38 95273704),(39 100202824),(40 105487770),(41 111621030),(42 119632090),(43 126290090),(44 132729064),(45 138350960),(46 144084530),(47 149616560),(48 155753230),(49 161901810),(50 168783490),(51 176843900),(52 185165380),(53 191039660),(54 196270060),(55 201069390),(56 205293890),(57 208645820),(58 211752830),(59 213984210),(60 216682690),(61 218104140),(62 218561280),(63 217904140),(64 215659730),(65 212466800),(66 208504880),(67 203946610),(68 199087170),(69 193330350),(70 187435400),(71 180742260),(72 173784300),(73 166369600),(74 159371140),(75 153049280),(76 147437870),(77 142499920),(78 137392060),(79 132574210),
(1 277142.16),(2 939239.6),(3 1766674),(4 2711066),(5 3800736.8),(6 5052790.5),(7 6511742.5),(8 8180483),(9 10006022),(10 11895863),(11 13753094),(12 15699232),(13 17864252),(14 20153692),(15 22522618),(16 25017056),(17 27630394),(18 30429076),(19 33185094),(20 36003400),(21 38860748),(22 41784424),(23 44754690),(24 47813416),(25 50773620),(26 53786444),(27 56799700),(28 59894572),(29 63095456),(30 66199000),(31 69328340),(32 72459400),(33 75962264),(34 79204330),(35 82647300),(36 86190390),(37 89851610),(38 93800770),(39 97988070),(40 102340500),(41 106716650),(42 111341820),(43 115929050),(44 120458740),(45 125030020),(46 129912240),(47 134908850),(48 140565650),(49 146455980),(50 153027900),(51 160247950),(52 166965170),(53 171473470),(54 175193520),(55 178080140),(56 180049170),(57 181152050),(58 181531970),(59 181037280),(60 180367520),(61 179425420),(62 178012130),(63 176564270),(64 174397780),(65 171872860),(66 168910110),(67 165565090),(68 161704210),(69 157662370),(70 153788200),(71 150068800),(72 146693070),(73 143445400),(74 141523490),(75 141335070),(76 142643250),(77 144190620),(78 144707630),(79 145826750),
(1 383448.72),(2 1343097.5),(3 2591129.8),(4 4033050.8),(5 5659586.5),(6 7454839.5),(7 9438231),(8 11543352),(9 13682683),(10 15723643),(11 17699902),(12 19708246),(13 21794314),(14 23865666),(15 25897120),(16 27894232),(17 29845824),(18 31758122),(19 33604660),(20 35408844),(21 37220690),(22 39004068),(23 40832630),(24 42751172),(25 44668292),(26 46641200),(27 48672292),(28 50803372),(29 52964468),(30 55187296),(31 57485844),(32 59789184),(33 62182716),(34 64577588),(35 67091916),(36 69694360),(37 72315840),(38 75035200),(39 77745096),(40 80372770),(41 82808330),(42 85228760),(43 87668376),(44 89930330),(45 92152800),(46 94358710),(47 96524290),(48 98653624),(49 100749510),(50 102965430),(51 105317500),(52 107098010),(53 107272650),(54 106679930),(55 105403430),(56 103341210),(57 100512616),(58 97181670),(59 93502870),(60 90242430),(61 87105416),(62 83932216),(63 81073450),(64 78241610),(65 75544670),(66 72820856),(67 70293090),(68 68103784),(69 66541964),(70 65912716),(71 66242380),(72 67299464),(73 68902776),(74 71491760),(75 75101680),(76 79631430),(77 83730856),(78 86652520),(79 89145450),
(1 388731.53),(2 1358451.5),(3 2625828),(4 4096599),(5 5762215),(6 7613806),(7 9627529),(8 11706613),(9 13749627),(10 15776251),(11 17884316),(12 20118414),(13 22481976),(14 24890226),(15 27272620),(16 29584926),(17 31802994),(18 33808916),(19 35560390),(20 37140564),(21 38569324),(22 39870904),(23 41044380),(24 42122096),(25 43107360),(26 44072390),(27 45008460),(28 45941348),(29 46881584),(30 47806920),(31 48770240),(32 49819036),(33 50952560),(34 52260820),(35 53774950),(36 55419920),(37 57208356),(38 59187396),(39 61164216),(40 63210544),(41 65282504),(42 67588744),(43 70117690),(44 72864504),(45 75858230),(46 79066790),(47 82521530),(48 86075770),(49 89310740),(50 92125910),(51 94595880),(52 96599430),(53 98023870),(54 99023144),(55 99718870),(56 99998810),(57 99941290),(58 99672290),(59 99399640),(60 99243624),(61 99180450),(62 99185240),(63 98975330),(64 98696670),(65 98297860),(66 97634760),(67 96835550),(68 96171300),(69 95424984),(70 94978770),(71 94597220),(72 94424200),(73 94605990),(74 94522350),(75 93870520),(76 92969670),(77 91989176),(78 90720184),(79 89333910),
(1 459025),(2 1623004.8),(3 3131336),(4 4869657.5),(5 6771998.5),(6 8838266),(7 11051332),(8 13305852),(9 15481420),(10 17624088),(11 19842010),(12 22138498),(13 24503468),(14 26843654),(15 29031646),(16 31052210),(17 32842988),(18 34324400),(19 35484988),(20 36387108),(21 37077480),(22 37642668),(23 38110600),(24 38533964),(25 38989428),(26 39502172),(27 40028824),(28 40525540),(29 41022476),(30 41549500),(31 42085892),(32 42695548),(33 43413280),(34 44206764),(35 45107748),(36 46088644),(37 47153936),(38 48280184),(39 49352830),(40 50511920),(41 51748976),(42 53292800),(43 55039300),(44 56818932),(45 58708096),(46 60649548),(47 62652590),(48 64669764),(49 66355096),(50 67747490),(51 69007864),(52 70115784),(53 70888504),(54 71542350),(55 72166710),(56 72657530),(57 73051160),(58 73399250),(59 73751140),(60 74203656),(61 74660320),(62 74860950),(63 74712800),(64 74349816),(65 73844380),(66 73098960),(67 72058040),(68 70812700),(69 69462020),(70 68232310),(71 66995804),(72 65814564),(73 64709948),(74 63506176),(75 62187816),(76 61198788),(77 60863420),(78 60776256),(79 60948480),
(1 514951.6),(2 1790241.6),(3 3368794.5),(4 5060533.5),(5 6832011),(6 8719611),(7 10730331),(8 12711633),(9 14498528),(10 16102432),(11 17699116),(12 19292328),(13 20886586),(14 22412916),(15 23815364),(16 25088324),(17 26157904),(18 27037940),(19 27773958),(20 28365910),(21 28866300),(22 29307878),(23 29756900),(24 30243380),(25 30735840),(26 31209044),(27 31688992),(28 32109500),(29 32470618),(30 32769114),(31 32971968),(32 33052916),(33 33060076),(34 33021414),(35 32991194),(36 32933274),(37 32918004),(38 32919332),(39 32937188),(40 33061658),(41 33344208),(42 33706520),(43 33951610),(44 34040148),(45 34032000),(46 33942810),(47 33989076),(48 34270704),(49 34733760),(50 35330750),(51 35992004),(52 36608960),(53 37225396),(54 37932892),(55 38744760),(56 39526320),(57 40275204),(58 40894732),(59 41478230),(60 42185228),(61 42784940),(62 43217836),(63 43546490),(64 43935380),(65 44239176),(66 44244890),(67 43733052),(68 42680624),(69 41436440),(70 40132380),(71 38885704),(72 37688320),(73 36793916),(74 36132320),(75 35740390),(76 35863824),(77 36583532),(78 37725520),(79 39117930),
(1 575557.8),(2 1981300),(3 3671579.8),(4 5411377),(5 7125703),(6 8850151),(7 10512812),(8 11940862),(9 12934209),(10 13609610),(11 14196831),(12 14735657),(13 15225628),(14 15673888),(15 16061129),(16 16372249),(17 16577509),(18 16652319),(19 16656735),(20 16620814),(21 16590076),(22 16632875),(23 16790254),(24 17111666),(25 17578804),(26 18124390),(27 18729246),(28 19346760),(29 19916300),(30 20459486),(31 20950732),(32 21389522),(33 21810500),(34 22259564),(35 22817090),(36 23430930),(37 24123058),(38 24761924),(39 25299554),(40 25681038),(41 25918474),(42 26040324),(43 26089322),(44 26046716),(45 26027028),(46 26069300),(47 26254016),(48 26565046),(49 26946148),(50 27105380),(51 27020444),(52 26961196),(53 27078926),(54 27306750),(55 27622026),(56 28071886),(57 28703256),(58 29522676),(59 30622542),(60 31794524),(61 33008610),(62 34186890),(63 35251256),(64 36248004),(65 37036710),(66 37329920),(67 37017690),(68 36114336),(69 35024816),(70 33897304),(71 32813998),(72 31669452),(73 30587388),(74 29582134),(75 28750762),(76 28379988),(77 28621956),(78 29420270),(79 30636812),
(1 638112.94),(2 2179096.3),(3 3979664.3),(4 5740578.5),(5 7406151),(6 9034383),(7 10565888),(8 11808587),(9 12623134),(10 13108939),(11 13386389),(12 13550142),(13 13641610),(14 13681997),(15 13680107),(16 13597482),(17 13439820),(18 13211383),(19 12922565),(20 12661794),(21 12466349),(22 12424411),(23 12559302),(24 12923869),(25 13455583),(26 14119156),(27 14853854),(28 15626103),(29 16381586),(30 17060086),(31 17642818),(32 18132980),(33 18569894),(34 18943964),(35 19316722),(36 19714906),(37 20149978),(38 20579904),(39 21015378),(40 21449770),(41 21930180),(42 22412242),(43 22915560),(44 23411986),(45 23872322),(46 24194422),(47 24427222),(48 24610876),(49 24797782),(50 24924206),(51 25052776),(52 25167624),(53 25240390),(54 25483082),(55 25923524),(56 26589928),(57 27418080),(58 28391992),(59 29453516),(60 30617128),(61 31572414),(62 32280986),(63 32883388),(64 33587250),(65 34243320),(66 34539344),(67 34397810),(68 33884744),(69 33221784),(70 32494534),(71 31695608),(72 30667576),(73 29496284),(74 28396104),(75 27401098),(76 26638036),(77 26127474),(78 26063890),(79 26344942),
(1 605782.44),(2 2008094.4),(3 3507064.8),(4 4811950.5),(5 5962441.5),(6 7115309),(7 8236044),(8 9124514),(9 9655025),(10 9940181),(11 10162321),(12 10397786),(13 10627337),(14 10842714),(15 10984215),(16 11027355),(17 10946824),(18 10762572),(19 10516170),(20 10278415),(21 10104419),(22 10062600),(23 10190950),(24 10498628),(25 10928251),(26 11423694),(27 11962473),(28 12486767),(29 12973214),(30 13367708),(31 13664222),(32 13884028),(33 14052903),(34 14189984),(35 14300776),(36 14430347),(37 14598609),(38 14782105),(39 14997261),(40 15209481),(41 15441704),(42 15613376),(43 15785484),(44 16017566),(45 16245611),(46 16502581),(47 16833576),(48 17313544),(49 18007282),(50 18700264),(51 19317456),(52 19920306),(53 20599354),(54 21482746),(55 22438136),(56 23363276),(57 24107434),(58 24681506),(59 25178304),(60 25526682),(61 25586346),(62 25481294),(63 25577574),(64 26147664),(65 27086476),(66 27980830),(67 28589456),(68 28966472),(69 29187344),(70 29284508),(71 29122926),(72 28490132),(73 27271370),(74 25960116),(75 24760870),(76 23687842),(77 22912494),(78 22503910),(79 22483716),
(1 585799.4),(2 1866474),(3 3095614.3),(4 4015043.5),(5 4815141.5),(6 5760124.5),(7 6778873),(8 7610976),(9 8177882.5),(10 8609860),(11 9021811),(12 9417959),(13 9763773),(14 10042970),(15 10195578),(16 10219592),(17 10122532),(18 9943599),(19 9732091),(20 9550980),(21 9457547),(22 9473293),(23 9601218),(24 9831340),(25 10113172),(26 10425427),(27 10739465),(28 11039790),(29 11296034),(30 11487521),(31 11637408),(32 11766190),(33 11872677),(34 11979212),(35 12100428),(36 12258789),(37 12461230),(38 12694105),(39 12957545),(40 13184695),(41 13358587),(42 13466249),(43 13559289),(44 13671136),(45 13790715),(46 13990804),(47 14293560),(48 14733978),(49 15227883),(50 15644430),(51 15983452),(52 16372757),(53 16799484),(54 17373528),(55 17961440),(56 18439042),(57 18745910),(58 18999784),(59 19316164),(60 19570150),(61 19648808),(62 19541506),(63 19540764),(64 20044808),(65 20930242),(66 21706752),(67 22058924),(68 22133110),(69 22021340),(70 21897640),(71 21490620),(72 20659014),(73 19624614),(74 18757924),(75 18089574),(76 17668188),(77 17484872),(78 17579896),(79 17897634),
(1 581392.25),(2 1767363),(3 2730188),(4 3247557),(5 3661568.3),(6 4307689.5),(7 5074528),(8 5687567.5),(9 6066935.5),(10 6342137.5),(11 6586382.5),(12 6802469),(13 6974054),(14 7105613),(15 7166356),(16 7134586.5),(17 7040870.5),(18 6928284),(19 6859663),(20 6859089),(21 6945424.5),(22 7105726),(23 7333104),(24 7607073),(25 7865635),(26 8089464.5),(27 8243149),(28 8332404.5),(29 8371354.5),(30 8410551),(31 8483879),(32 8637217),(33 8876415),(34 9189524),(35 9555686),(36 9967429),(37 10438591),(38 10966998),(39 11553308),(40 12091003),(41 12555506),(42 12930982),(43 13201025),(44 13379732),(45 13446529),(46 13421251),(47 13388947),(48 13436873),(49 13694131),(50 14046213),(51 14357973),(52 14593689),(53 14780665),(54 15173638),(55 15701197),(56 16195044),(57 16531249),(58 16777366),(59 17087022),(60 17343796),(61 17184124),(62 16519215),(63 15866935),(64 15755571),(65 16141124),(66 16576312),(67 16693429),(68 16587074),(69 16663829),(70 16898304),(71 17004104),(72 16796838),(73 16459275),(74 16140915),(75 15916056),(76 15790596),(77 15783670),(78 15765348),(79 15834502),
