1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 54196.965),(2 157343.8),(3 303951.1),(4 492627.6),(5 697852.94),(6 906946.8),(7 1141037.9),(8 1349556),(9 1551763),(10 1750384.4),(11 1909052.5),(12 2068275.1),(13 2246448.3),(14 2387252.3),(15 2533609.3),(16 2696354.3),(17 2818623),(18 2999584.3),(19 3204618.8),(20 3392768.8),(21 3515801),(22 3606772),(23 3681909.8),(24 3719721.8),(25 3699996),(26 3713090.8),(27 3691073.3),(28 3652727.8),(29 3644524.8),(30 3630405.3),(31 3618267.3),(32 3621522),(33 3627405.3),(34 3626695.3),(35 3618822),(36 3609028.8),(37 3586093.8),(38 3567894),(39 3545140),(40 3502683.3),(41 3444696.8),(42 3398844.3),(43 3318706.3),(44 3253592.8),(45 3183947),(46 3139679.3),(47 3084348),(48 3043382.8),(49 2999911.8),(50 2922485.3),(51 2898896.3),(52 2867408.8),(53 2847498),(54 2883663.3),(55 2928961.8),(56 3000356.8),(57 3102067.3),(58 3210114),(59 3345710),(60 3507604),(61 3662434.8),(62 3804084.8),(63 3963698.8),(64 4103974),(65 4202071),(66 4246330),(67 4235193),(68 4220296.5),(69 4172332.8),(70 4128712.8),(71 4081712.8),(72 4026084.3),(73 3989617),(74 3988456.3),(75 3988975.3),(76 3989088),(77 3977605),(78 4003217),(79 4031923.3),
(1 35730.867),(2 109003.25),(3 215481.13),(4 340704.25),(5 489472.6),(6 640375.94),(7 808363.4),(8 985189.5),(9 1183556.1),(10 1381439.6),(11 1571717.9),(12 1754697.3),(13 1958342.3),(14 2130220.3),(15 2315124.5),(16 2480524.3),(17 2664725.3),(18 2888510.5),(19 3109352),(20 3379892.8),(21 3585781.5),(22 3774759.3),(23 3976788.8),(24 4183236.8),(25 4383780),(26 4602584.5),(27 4790686.5),(28 4978988),(29 5171433),(30 5308962.5),(31 5408007),(32 5492073),(33 5568875),(34 5634049),(35 5710244),(36 5772038),(37 5849233.5),(38 5920044.5),(39 5985724.5),(40 6056420),(41 6067903),(42 6122930.5),(43 6144305.5),(44 6194866.5),(45 6286816),(46 6364916),(47 6397608),(48 6454075),(49 6543653.5),(50 6614317),(51 6754648),(52 6945486.5),(53 7078230.5),(54 7287246.5),(55 7507972),(56 7740775),(57 7971381),(58 8182488),(59 8401603),(60 8658136),(61 8902226),(62 9103042),(63 9345904),(64 9595366),(65 9803208),(66 9950768),(67 10069317),(68 10162668),(69 10282597),(70 10445373),(71 10547370),(72 10651620),(73 10746186),(74 10864870),(75 11034765),(76 11189261),(77 11401952),(78 11587614),(79 11788131),
(1 27636.893),(2 84572.49),(3 167670.08),(4 268740.25),(5 384926.16),(6 516907.28),(7 655187.44),(8 798321.3),(9 963833.2),(10 1135614.5),(11 1305652.1),(12 1481615),(13 1668296.5),(14 1844683),(15 2022859),(16 2180858.8),(17 2367727),(18 2568618.8),(19 2780412.3),(20 3007001.3),(21 3233638.8),(22 3515410.8),(23 3789497.8),(24 4060862.8),(25 4342013.5),(26 4620897.5),(27 4896379),(28 5140994),(29 5359371),(30 5564347.5),(31 5699850),(32 5824780),(33 5939060.5),(34 6066608.5),(35 6208541.5),(36 6311377.5),(37 6429980.5),(38 6542528),(39 6614918.5),(40 6712861.5),(41 6774871.5),(42 6860533.5),(43 6871848.5),(44 6920862.5),(45 6985602.5),(46 7050672),(47 7121245.5),(48 7238520),(49 7418672.5),(50 7539417.5),(51 7716182),(52 7973280),(53 8206307.5),(54 8528467),(55 8881914),(56 9274965),(57 9692364),(58 10084500),(59 10529997),(60 10955651),(61 11425373),(62 11803541),(63 12206433),(64 12600971),(65 12973581),(66 13293712),(67 13562243),(68 13841069),(69 14110495),(70 14375137),(71 14599709),(72 14822003),(73 15018759),(74 15254363),(75 15470915),(76 15657879),(77 15870029),(78 16079649),(79 16282127),
(1 28401.709),(2 95813.58),(3 206657.66),(4 358076.22),(5 544862.7),(6 744467.25),(7 975313.25),(8 1213710.6),(9 1487592.9),(10 1777724.3),(11 2057867.4),(12 2354611),(13 2644617.8),(14 2934008.5),(15 3221568),(16 3478810.8),(17 3778250.3),(18 4072860.5),(19 4388930.5),(20 4749459),(21 5087750),(22 5435087),(23 5761586.5),(24 6049127),(25 6374295),(26 6701227.5),(27 7029146),(28 7321822),(29 7598386),(30 7903093.5),(31 8120691.5),(32 8318187.5),(33 8504994),(34 8659931),(35 8839780),(36 8957925),(37 9097124),(38 9243012),(39 9355841),(40 9473972),(41 9560791),(42 9616699),(43 9670370),(44 9753052),(45 9922276),(46 10095868),(47 10237676),(48 10434380),(49 10621231),(50 10779896),(51 10932951),(52 11083376),(53 11195647),(54 11379184),(55 11575394),(56 11779291),(57 11962443),(58 12124791),(59 12267128),(60 12354931),(61 12405584),(62 12404785),(63 12401675),(64 12353542),(65 12320004),(66 12242164),(67 12115483),(68 12041819),(69 11964908),(70 11883686),(71 11789180),(72 11689487),(73 11585517),(74 11523391),(75 11456288),(76 11419915),(77 11415849),(78 11420996),(79 11439749),
(1 35504.297),(2 120258.57),(3 247594),(4 419229.53),(5 622088.06),(6 846533),(7 1098591.1),(8 1369681.4),(9 1656460.4),(10 1942680.8),(11 2234760.8),(12 2530843),(13 2825819.8),(14 3117873.5),(15 3421977),(16 3719035.8),(17 4064190.5),(18 4455068),(19 4855306),(20 5312830),(21 5711828.5),(22 6132832),(23 6534176),(24 6912756.5),(25 7312295.5),(26 7755775.5),(27 8172621),(28 8594340),(29 8985858),(30 9377313),(31 9715007),(32 10072823),(33 10387409),(34 10680596),(35 10956455),(36 11177542),(37 11409634),(38 11630026),(39 11811796),(40 11964038),(41 12072399),(42 12129718),(43 12207308),(44 12287075),(45 12404473),(46 12541146),(47 12642660),(48 12766272),(49 12883792),(50 12991732),(51 13068157),(52 13183658),(53 13246115),(54 13341553),(55 13456154),(56 13562188),(57 13661297),(58 13782845),(59 13887015),(60 13918675),(61 13940314),(62 13895001),(63 13866729),(64 13778759),(65 13662132),(66 13516039),(67 13357482),(68 13206921),(69 13058528),(70 12881847),(71 12722041),(72 12546807),(73 12355891),(74 12186128),(75 12028916),(76 11885529),(77 11784537),(78 11677824),(79 11539104),
(1 39625.516),(2 132722.16),(3 266252),(4 441374.6),(5 637897.94),(6 853981.9),(7 1079141.6),(8 1319267.9),(9 1564681.6),(10 1808681.3),(11 2052477.8),(12 2288069.3),(13 2522070),(14 2764498.8),(15 3024308),(16 3307706.5),(17 3605212),(18 3927796),(19 4244172),(20 4567467),(21 4866371),(22 5158167),(23 5415789.5),(24 5647371),(25 5850292.5),(26 6060358.5),(27 6253829),(28 6430185),(29 6591222),(30 6753944),(31 6905815),(32 7060662.5),(33 7208299),(34 7362928),(35 7512203),(36 7634085.5),(37 7745986.5),(38 7864750.5),(39 7955849.5),(40 8075859),(41 8181929.5),(42 8317138.5),(43 8444567),(44 8598371),(45 8798061),(46 8979644),(47 9175239),(48 9367566),(49 9562331),(50 9760826),(51 9979210),(52 10160394),(53 10335271),(54 10478038),(55 10635203),(56 10771113),(57 10921990),(58 11026596),(59 11130938),(60 11196205),(61 11262125),(62 11312474),(63 11351978),(64 11339912),(65 11307544),(66 11251339),(67 11157601),(68 11027859),(69 10876294),(70 10698019),(71 10564893),(72 10425835),(73 10320512),(74 10207246),(75 10115072),(76 10000601),(77 9957177),(78 9894278),(79 9830781),
(1 41359.313),(2 139635.03),(3 287016.66),(4 488087.63),(5 726131.94),(6 995450),(7 1283944),(8 1594058.3),(9 1916905.5),(10 2240028.5),(11 2580779),(12 2925756.3),(13 3272307.8),(14 3624514.5),(15 4004831.5),(16 4388899),(17 4775940),(18 5180883.5),(19 5572887),(20 5987240.5),(21 6362096.5),(22 6722240.5),(23 7097434.5),(24 7444053),(25 7713749.5),(26 7954683),(27 8160991.5),(28 8309525),(29 8443111),(30 8546505),(31 8615703),(32 8655457),(33 8679040),(34 8707583),(35 8755721),(36 8774672),(37 8794190),(38 8847612),(39 8882024),(40 8955137),(41 9030921),(42 9153722),(43 9222607),(44 9317448),(45 9456121),(46 9545599),(47 9692690),(48 9835945),(49 10008146),(50 10199963),(51 10461559),(52 10636661),(53 10770626),(54 10921614),(55 11028043),(56 11108994),(57 11229813),(58 11305426),(59 11360670),(60 11407781),(61 11427614),(62 11470298),(63 11523653),(64 11597089),(65 11664250),(66 11740148),(67 11805759),(68 11838148),(69 11853194),(70 12000094),(71 12053799),(72 12072530),(73 12058656),(74 12058629),(75 12031238),(76 12014767),(77 11994329),(78 11984426),(79 11909550),
(1 31553.596),(2 102275.38),(3 210416),(4 357933.47),(5 529552.1),(6 735152.3),(7 973032.56),(8 1225010.9),(9 1500638.8),(10 1791633.8),(11 2086888.5),(12 2379458.8),(13 2670529.5),(14 2956839.5),(15 3249177.5),(16 3528005),(17 3790381.3),(18 4023568.8),(19 4236070.5),(20 4420390),(21 4591563.5),(22 4753304.5),(23 4884609),(24 5014870.5),(25 5120493.5),(26 5210994),(27 5289413.5),(28 5381894.5),(29 5479061.5),(30 5582837),(31 5675693),(32 5753026),(33 5834354),(34 5951702),(35 6078405.5),(36 6202551.5),(37 6307768.5),(38 6433853),(39 6546537),(40 6681502),(41 6858262),(42 7023285.5),(43 7139444.5),(44 7258804.5),(45 7414441.5),(46 7560802),(47 7675631.5),(48 7801698),(49 7897773.5),(50 7972906.5),(51 8023129),(52 8018275.5),(53 7985614),(54 7960784.5),(55 7920304.5),(56 7895221.5),(57 7857294.5),(58 7814833),(59 7765869),(60 7724756.5),(61 7697252.5),(62 7643569),(63 7603190.5),(64 7572258.5),(65 7590403),(66 7629816),(67 7712120),(68 7775237.5),(69 7868073),(70 8057456),(71 8148787),(72 8270388.5),(73 8374005),(74 8499204),(75 8636077),(76 8761140),(77 8852364),(78 8942004),(79 9000768),
(1 36614.832),(2 120732.13),(3 241213.44),(4 388362.44),(5 560814.4),(6 760530.25),(7 985607.2),(8 1216072.9),(9 1445139),(10 1682784.1),(11 1932036.4),(12 2190875.3),(13 2442881.5),(14 2675825.5),(15 2904351),(16 3130738.8),(17 3347645.8),(18 3546265.8),(19 3716434),(20 3907211.3),(21 4062214),(22 4223506),(23 4360113),(24 4496490.5),(25 4638142.5),(26 4785269.5),(27 4908830),(28 5053092),(29 5188632.5),(30 5314396),(31 5455689.5),(32 5593180),(33 5709063.5),(34 5816629.5),(35 5940052),(36 6072566.5),(37 6178423.5),(38 6320125.5),(39 6447107.5),(40 6582278),(41 6735160.5),(42 6857428),(43 6971109.5),(44 7084057),(45 7198222.5),(46 7294599.5),(47 7385540),(48 7470794),(49 7570936),(50 7664876),(51 7809183.5),(52 7921194.5),(53 7985415.5),(54 8082356),(55 8171213),(56 8260371),(57 8361660),(58 8461628),(59 8550865),(60 8645333),(61 8706813),(62 8736440),(63 8780870),(64 8811496),(65 8856439),(66 8897638),(67 8904357),(68 8926171),(69 8960030),(70 9038600),(71 9089346),(72 9114210),(73 9126249),(74 9158964),(75 9196564),(76 9232566),(77 9270252),(78 9266135),(79 9265246),
(1 34730.2),(2 109551.44),(3 214777.44),(4 344820.16),(5 495863.66),(6 672438.3),(7 863972.56),(8 1063208.8),(9 1272906.9),(10 1496908.3),(11 1712768.9),(12 1935470.3),(13 2129477.3),(14 2299146),(15 2446432.5),(16 2565036),(17 2678020.5),(18 2780037.8),(19 2866182.5),(20 2943422),(21 3009503.8),(22 3064238.3),(23 3119876.3),(24 3166802.3),(25 3239414.3),(26 3310766.8),(27 3386881),(28 3460288.5),(29 3550197.8),(30 3651835.3),(31 3751169),(32 3858274.3),(33 3949823),(34 4024777.3),(35 4105112),(36 4177175.5),(37 4239444.5),(38 4303323.5),(39 4360199),(40 4416368),(41 4473477),(42 4531912),(43 4600549.5),(44 4685199.5),(45 4798430),(46 4882834),(47 4962537),(48 5047562.5),(49 5126098.5),(50 5182026),(51 5257939),(52 5316858),(53 5359701.5),(54 5391328),(55 5457845.5),(56 5512099.5),(57 5567882),(58 5647375),(59 5740063.5),(60 5848583),(61 5962014.5),(62 6061390),(63 6182279.5),(64 6306609.5),(65 6401805),(66 6532537.5),(67 6674843),(68 6859422),(69 7085238),(70 7352050),(71 7595564.5),(72 7837530),(73 8088198),(74 8317874.5),(75 8525012),(76 8735591),(77 8897833),(78 9005785),(79 9095854),
(1 32329.209),(2 99745.4),(3 197702.7),(4 312586.9),(5 449814.6),(6 603982.1),(7 773540.5),(8 956166.4),(9 1147410.1),(10 1342110),(11 1532467.8),(12 1722660.5),(13 1896551.5),(14 2052725.1),(15 2176231.5),(16 2287391.8),(17 2369020),(18 2448199.8),(19 2524968),(20 2596445.8),(21 2640563.3),(22 2688129.5),(23 2714270),(24 2740287.5),(25 2774372.8),(26 2803754.5),(27 2821740.5),(28 2859191),(29 2909149.8),(30 2967138.3),(31 3045602),(32 3129495.8),(33 3211060.3),(34 3301214.8),(35 3406674),(36 3505361.5),(37 3603410.3),(38 3713348.3),(39 3824697.5),(40 3935798),(41 4039730.8),(42 4124545),(43 4200469.5),(44 4299172),(45 4410182.5),(46 4517156),(47 4636386),(48 4761064.5),(49 4880090),(50 4987716.5),(51 5068084),(52 5139312.5),(53 5178397),(54 5223316.5),(55 5277915.5),(56 5305416.5),(57 5321028),(58 5367601.5),(59 5395847.5),(60 5440383.5),(61 5469429.5),(62 5468812),(63 5470705),(64 5477029),(65 5465081),(66 5455486),(67 5444316),(68 5430630.5),(69 5428860),(70 5424810),(71 5439229),(72 5464137.5),(73 5487979),(74 5535082.5),(75 5549453),(76 5576017),(77 5592848),(78 5599211),(79 5606146.5),
