1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11152.798),(2 24175.871),(3 32555.682),(4 39155.016),(5 42652.55),(6 44619.242),(7 45177.82),(8 46454.004),(9 47308.375),(10 48545.77),(11 49024.313),(12 50417.8),(13 50960.258),(14 52404.504),(15 53228.863),(16 53966.137),(17 54442.348),(18 55010.39),(19 55127.332),(20 55864.53),(21 55450.44),(22 56372.875),(23 56388.36),(24 57781.63),(25 58130.953),(26 58577.37),(27 58348.855),(28 58997.426),(29 58913.32),(30 59607.25),(31 59069.57),(32 59635.527),(33 59195.56),(34 59887.855),(35 59619.754),(36 60143.18),(37 60330.652),(38 61212.273),(39 60762.434),(40 61241.027),(41 60777.76),(42 60673.363),(43 60003.586),(44 60441.293),(45 60123.066),(46 61074.535),(47 60803.977),(48 61005.14),(49 59709.934),(50 60267.13),(51 59773.008),(52 60304.914),(53 59658.31),(54 60411.348),(55 60295.13),(56 60376.156),(57 60143.383),(58 61015.66),(59 61266.242),(60 62283.465),(61 62287.863),(62 62522.676),(63 61891.098),(64 62315.66),(65 62034.156),(66 63550.605),(67 63467.902),(68 63926.45),(69 63483.44),(70 63810.965),(71 63336.566),(72 63604.11),(73 63298.305),(74 64183),(75 64874.348),(76 65138.58),(77 64694.574),(78 65072.895),(79 64513.92),
(1 10871.647),(2 23178.2),(3 31205.498),(4 37623.434),(5 41232.316),(6 43613.527),(7 44397.63),(8 45836.703),(9 46411.99),(10 47270.836),(11 47526.02),(12 48415.945),(13 48875.047),(14 50089.66),(15 50340.137),(16 51453.227),(17 52083.93),(18 52667.816),(19 52790.7),(20 53865.195),(21 53420.938),(22 54007.836),(23 53830.637),(24 54855.875),(25 55125.492),(26 55092.23),(27 54511.043),(28 55392.67),(29 55347.39),(30 56214.11),(31 56123.3),(32 57249.176),(33 57102.227),(34 57633.03),(35 57428.605),(36 58336.62),(37 57996.973),(38 58551.355),(39 57944.227),(40 58417.3),(41 58061.92),(42 58736.816),(43 58503.02),(44 59368.406),(45 59489.66),(46 60234.066),(47 59721.57),(48 59809.887),(49 58983.63),(50 59755.883),(51 59858.08),(52 60984.082),(53 60530.477),(54 60569.742),(55 60616.22),(56 61438.723),(57 60959.344),(58 61168.75),(59 61147.473),(60 62491.69),(61 62580.95),(62 62567.21),(63 61633.465),(64 61754.97),(65 61514.453),(66 62378.176),(67 62648.344),(68 62653.324),(69 61965.656),(70 62109.934),(71 61564.848),(72 61856.684),(73 61530.145),(74 62307.99),(75 62606.906),(76 63183.6),(77 62963.707),(78 63658.77),(79 62860.465),
(1 10708.92),(2 22594.625),(3 31188.314),(4 37742.383),(5 40952.215),(6 43310.875),(7 44436.258),(8 45994.11),(9 46274.09),(10 46815.152),(11 47449.07),(12 48698.266),(13 49384.79),(14 50920.305),(15 51148.117),(16 52400.37),(17 53147.492),(18 54033.09),(19 53978.26),(20 54553.355),(21 54202.7),(22 54218.723),(23 53869.656),(24 54620.133),(25 54822.836),(26 55725.39),(27 56088.07),(28 56566.55),(29 56369.227),(30 56921.55),(31 56363.184),(32 57272.27),(33 57088.72),(34 57631.95),(35 57631.402),(36 58274.773),(37 57782.355),(38 58535.28),(39 57884.582),(40 58253.95),(41 57624.92),(42 58043.145),(43 57592.53),(44 58574.81),(45 58829.26),(46 59252.734),(47 58587.7),(48 58922.69),(49 58432.51),(50 59766.297),(51 59858.08),(52 60675.6),(53 59864.11),(54 60464.51),(55 59957.094),(56 60488.836),(57 59717.754),(58 60209.34),(59 59789.43),(60 60806.04),(61 61238.582),(62 62339.016),(63 62015.684),(64 62203.47),(65 61405.15),(66 61539.156),(67 61067.87),(68 60987.285),(69 60115.285),(70 60242.26),(71 59396.258),(72 59538),(73 59070.645),(74 59740.71),(75 59982.96),(76 59878.68),(77 59031.887),(78 59397.438),(79 59062.797),
(1 10455.009),(2 21917.805),(3 29811.395),(4 35909.844),(5 39397.17),(6 41925.973),(7 42740.543),(8 44158.848),(9 44791.4),(10 46464.367),(11 46888.973),(12 48238.14),(13 48474.363),(14 49590.168),(15 50124.938),(16 52027.844),(17 52969.242),(18 54302.6),(19 54874.406),(20 55666.06),(21 55311.11),(22 55579.027),(23 55274.617),(24 55842.137),(25 55845.336),(26 55960.215),(27 55259.996),(28 55555.836),(29 55102.594),(30 55440.89),(31 54993.086),(32 55524),(33 54970.914),(34 55263.59),(35 54986.625),(36 55703.754),(37 55482.484),(38 56074.805),(39 55841.305),(40 56416.926),(41 56487.883),(42 57209.57),(43 56988.133),(44 57566.242),(45 57748.832),(46 58144.875),(47 57930.414),(48 58659.914),(49 58137.473),(50 58964.19),(51 58378.043),(52 58702.99),(53 58237.11),(54 59085.473),(55 59247.938),(56 60033.906),(57 59540.504),(58 59757.273),(59 59432.58),(60 60016.906),(61 60133.504),(62 60102.82),(63 59317.563),(64 59681.62),(65 59710.426),(66 59904.73),(67 58773.496),(68 58386.473),(69 57218.152),(70 56681.21),(71 55564.047),(72 55781.137),(73 55681.02),(74 56274.94),(75 56493.38),(76 56513.535),(77 55750.664),(78 56080.5),(79 55257.883),
(1 10139.449),(2 21227.85),(3 29080.527),(4 35060.156),(5 38296.27),(6 40920.69),(7 41664.113),(8 42926.496),(9 43371.78),(10 44450.98),(11 44329.113),(12 44999.105),(13 45115.914),(14 46064.82),(15 46380.605),(16 47716.035),(17 48660.73),(18 49806.484),(19 49843.965),(20 50987.75),(21 50951.375),(22 51359.45),(23 50910.938),(24 51525.473),(25 52079.348),(26 52555.223),(27 51876.14),(28 52717.313),(29 52568.906),(30 53183.223),(31 52299.465),(32 52509.47),(33 52243.08),(34 52753.137),(35 53227.906),(36 54050.004),(37 53474.117),(38 53556.895),(39 53468.445),(40 54124.438),(41 54281.27),(42 55097.64),(43 54784.2),(44 55410.17),(45 55386.977),(46 55517.254),(47 55345.766),(48 56128.92),(49 55479.152),(50 56401.746),(51 56370.145),(52 57241.066),(53 56194.594),(54 56792.04),(55 56675.508),(56 57884.082),(57 57493.24),(58 57596.867),(59 56631.465),(60 56758.195),(61 56435.137),(62 56406.805),(63 55925.293),(64 56576.27),(65 56075.77),(66 56035.844),(67 55200.906),(68 55484.777),(69 54918.293),(70 55477.61),(71 54529.523),(72 54544.727),(73 53425.145),(74 53389.746),(75 53506.17),(76 53668.184),(77 53030.51),(78 53363.203),(79 53058.914),
(1 9714.281),(2 20401.273),(3 27580.682),(4 33173.957),(5 36313.29),(6 38613.55),(7 39644.42),(8 41166.066),(9 41393.67),(10 42138.957),(11 42014.85),(12 42701.387),(13 42949.27),(14 43721.977),(15 44236.51),(16 44527.637),(17 44527.063),(18 45050.484),(19 45151.617),(20 45787.79),(21 45526.707),(22 46186.047),(23 46091.184),(24 46843.85),(25 48009.344),(26 49321.79),(27 49651.633),(28 50548.605),(29 50028.926),(30 50501.164),(31 49968.64),(32 50544.004),(33 50600.23),(34 51049.18),(35 51022.824),(36 51135.145),(37 51288.13),(38 51749.816),(39 51249.71),(40 51427.613),(41 51202.36),(42 51854.13),(43 51698.86),(44 52753.13),(45 52172.504),(46 51915.71),(47 51659.305),(48 51867.465),(49 51190.66),(50 52399.977),(51 51892.26),(52 52175.273),(53 51597.34),(54 51921.24),(55 51840.33),(56 52641.61),(57 52454.363),(58 52754.758),(59 52614.41),(60 53363.613),(61 53119.797),(62 53441.285),(63 52446.504),(64 52807.63),(65 52439.625),(66 52886.797),(67 52773.22),(68 53355.37),(69 53130.246),(70 53626.94),(71 53167.04),(72 53173.055),(73 52456.105),(74 52850.19),(75 53097.543),(76 53376.617),(77 52629.066),(78 52741.383),(79 52543.117),
(1 9717.566),(2 20297.998),(3 27440.96),(4 32964.105),(5 36147.18),(6 38230.445),(7 38903.94),(8 40145.164),(9 40565.55),(10 41842.902),(11 42517.184),(12 43348.895),(13 44071.836),(14 45270.94),(15 45509.04),(16 46318.637),(17 46604.06),(18 47652.42),(19 48182.234),(20 49154.36),(21 49044.953),(22 49680.117),(23 49455.266),(24 50273.527),(25 50841.38),(26 51501.375),(27 51506.508),(28 52312.145),(29 52696.145),(30 53417.977),(31 52930.605),(32 53460.04),(33 53805.074),(34 55010.902),(35 55031.203),(36 55570.754),(37 55394.04),(38 55136.684),(39 54171.184),(40 54222.816),(41 53559.125),(42 54267.88),(43 54076.895),(44 54693.934),(45 54107.234),(46 54157.777),(47 53655.535),(48 54097.543),(49 53660.047),(50 54017.82),(51 54077.02),(52 54566.516),(53 53911.96),(54 54652.195),(55 55107.617),(56 56142.8),(57 55638.035),(58 55718.844),(59 55465.64),(60 56136.383),(61 55840.973),(62 56476.234),(63 55919.348),(64 55578.023),(65 55022.402),(66 55714.313),(67 55793.047),(68 56195.758),(69 56422.137),(70 57168.383),(71 56758.734),(72 57215.336),(73 55935.16),(74 55900.98),(75 55498.156),(76 55443.367),(77 54929.004),(78 55336.305),(79 54886.457),
(1 9455.251),(2 19585.295),(3 26046.69),(4 31026.758),(5 33750.637),(6 36161.523),(7 37418.84),(8 38876.96),(9 39770.117),(10 41028.113),(11 41616.332),(12 42348.33),(13 42939.23),(14 44000.49),(15 44231.836),(16 45172.555),(17 45434.125),(18 46120.72),(19 46449.516),(20 47137.324),(21 46611.953),(22 47126.496),(23 47176.023),(24 47798.84),(25 48099.125),(26 48459.773),(27 47993.74),(28 47829.598),(29 47672.652),(30 47996.695),(31 47975.152),(32 48526.215),(33 48751.17),(34 50248.332),(35 50442.414),(36 50956.74),(37 50516.594),(38 50405.72),(39 49865.176),(40 50466.29),(41 50071.895),(42 50273.645),(43 49938.87),(44 50993.84),(45 50602.742),(46 50242.65),(47 49826.836),(48 50003.875),(49 49434.203),(50 49891.05),(51 49756.332),(52 50001.19),(53 49311.54),(54 50074.816),(55 50354.223),(56 51819.06),(57 51860.33),(58 52653.42),(59 52320.48),(60 52981.613),(61 52343.71),(62 51852.883),(63 50991.996),(64 50986.65),(65 50666.05),(66 51283.465),(67 51291.063),(68 51941.16),(69 51942.258),(70 52088.004),(71 51471.363),(72 51173.926),(73 49940.105),(74 49804.902),(75 49499.297),(76 49729.69),(77 49422.008),(78 49879.76),(79 49618.285),
(1 9273.061),(2 18947.02),(3 25417.398),(4 30049.639),(5 32573.238),(6 34382.395),(7 35243.305),(8 36672.297),(9 37422.453),(10 38552.91),(11 39523.883),(12 40760.605),(13 40968.1),(14 42186.504),(15 42418.473),(16 42942.11),(17 42711.42),(18 42832.6),(19 42986.598),(20 43759.504),(21 44088.266),(22 44856.57),(23 44585.477),(24 45152.395),(25 46062.676),(26 46672.67),(27 46611.617),(28 46940.77),(29 46406.207),(30 46349.227),(31 46139.43),(32 47073.13),(33 47194.94),(34 47445.758),(35 47223.742),(36 47166.605),(37 47230.945),(38 48084.67),(39 48548.3),(40 49453.223),(41 48872.957),(42 48897.68),(43 48531.05),(44 49311.902),(45 48936.67),(46 48940.316),(47 48755.715),(48 49090.926),(49 48219.3),(50 48495.47),(51 47936.195),(52 48237.3),(53 47805.402),(54 48198.703),(55 48510.61),(56 49656.27),(57 49243.99),(58 49304.195),(59 48672.01),(60 48790.395),(61 48222.05),(62 48675.215),(63 48850.867),(64 49190.926),(65 49035.395),(66 49416.51),(67 48857.93),(68 49068.83),(69 48382.855),(70 49141.53),(71 48858.484),(72 49294.402),(73 48968.004),(74 49274.297),(75 49710.344),(76 50321.125),(77 50281.09),(78 50926.195),(79 50309.793),
(1 8934.567),(2 18295.475),(3 24182.836),(4 28552.162),(5 31296.156),(6 33171.023),(7 34334.89),(8 35706.902),(9 35825.914),(10 37183.03),(11 37609.113),(12 38957.914),(13 39672.895),(14 40674.246),(15 40903.684),(16 41421.16),(17 41232.574),(18 41467.15),(19 40920.2),(20 41183.52),(21 41095.215),(22 41600.35),(23 41380),(24 41973.79),(25 42180.97),(26 42666.793),(27 42844.48),(28 43333.207),(29 42967.65),(30 43501.484),(31 43283.016),(32 44118.07),(33 44245.008),(34 44794.508),(35 44655.547),(36 45216.598),(37 44806.89),(38 45267.113),(39 45460.35),(40 46311.48),(41 46162.72),(42 46969.24),(43 46739.555),(44 47108.586),(45 46537.617),(46 47341.152),(47 47153.773),(48 47658.324),(49 47004.54),(50 47385.695),(51 47258.934),(52 47881.207),(53 47305.367),(54 47476.504),(55 46953.902),(56 47308.07),(57 46675.47),(58 46826.65),(59 46145.836),(60 46926.082),(61 46104.51),(62 46307.563),(63 45826.906),(64 46143.7),(65 45882.113),(66 46185.363),(67 45856.715),(68 46483.105),(69 46385.734),(70 46826.49),(71 45984.953),(72 45882.406),(73 45585.402),(74 45790.69),(75 46266.996),(76 47736.465),(77 47956.65),(78 48652.742),(79 48392.566),
(1 8881.753),(2 18002.695),(3 23503.908),(4 27554.889),(5 29972.076),(6 31818.104),(7 32245.951),(8 33131.11),(9 33224.03),(10 34418.438),(11 34628.45),(12 35579.523),(13 35889.977),(14 36960.832),(15 37610.25),(16 38673.508),(17 38529.258),(18 38862.25),(19 38963.53),(20 39773.2),(21 39854.895),(22 40719.688),(23 40717.64),(24 40972.188),(25 41950.55),(26 42370.793),(27 42246.105),(28 42438.254),(29 41838.523),(30 41806.574),(31 41639.82),(32 42348.887),(33 42477.844),(34 43340.27),(35 43408.88),(36 43426.363),(37 42753.32),(38 42944.37),(39 42681.277),(40 42946.13),(41 42862.3),(42 43117.883),(43 42894.008),(44 43504),(45 43402.61),(46 44250.027),(47 43977.234),(48 44237.074),(49 43940.367),(50 44855.156),(51 44581.45),(52 44926.906),(53 44574.527),(54 45071.3),(55 44598.43),(56 44875.727),(57 44307.64),(58 44392.586),(59 43924.13),(60 44341.816),(61 44189.555),(62 44813.82),(63 44277.953),(64 44454.637),(65 44036.75),(66 44648.297),(67 44672.504),(68 45048.094),(69 45040.754),(70 45799.16),(71 45032.66),(72 45115.93),(73 44495.77),(74 44622.426),(75 45189.984),(76 45867.977),(77 46082.88),(78 47082.816),(79 46804.008),
(1 8665.537),(2 17325.156),(3 23313.32),(4 28076.242),(5 30546.04),(6 32429.252),(7 32719.629),(8 33897.03),(9 34384.67),(10 35409.16),(11 35909.816),(12 37215.77),(13 37753.652),(14 38660.438),(15 38868.047),(16 39478.074),(17 39934.87),(18 41040.46),(19 41298.777),(20 41887.15),(21 41799.836),(22 41994.31),(23 41956.34),(24 42570.26),(25 42470.77),(26 42751.32),(27 42619.902),(28 42882.473),(29 42318.58),(30 42743.734),(31 42209.664),(32 42574.402),(33 42095.797),(34 42974.97),(35 43071.242),(36 43590.945),(37 43367.168),(38 43811.418),(39 43448.566),(40 43704.664),(41 43840.926),(42 44501),(43 44459.695),(44 44775.863),(45 44848.31),(46 45812.71),(47 45258.32),(48 45346.77),(49 45233.285),(50 46814.176),(51 47554.813),(52 48153.434),(53 47378.55),(54 47849.883),(55 47203.31),(56 47023.598),(57 46387.85),(58 46778.305),(59 46612.08),(60 46974.145),(61 46930.77),(62 47221.56),(63 47370.89),(64 47762.94),(65 47449.848),(66 47916.883),(67 47191.684),(68 47009.207),(69 46874.785),(70 47103.27),(71 46041.9),(72 45647.605),(73 44819.94),(74 45413.23),(75 46003.34),(76 46475.695),(77 46508.465),(78 46787.74),(79 45944.06),
(1 8162.251),(2 16541.393),(3 22081.014),(4 26674.828),(5 28867.059),(6 30854.152),(7 31748.154),(8 32863.664),(9 33698.246),(10 34804.473),(11 35545.11),(12 36255.81),(13 36478.887),(14 37113.535),(15 37242.45),(16 37853.297),(17 38175.4),(18 38742.8),(19 38778.33),(20 39432.24),(21 39593.367),(22 40199.816),(23 40138.91),(24 40270.418),(25 40766.85),(26 41337.465),(27 40831.355),(28 41461.07),(29 41644.9),(30 42182.37),(31 41969.176),(32 42483.27),(33 42056.277),(34 42387.242),(35 42218.645),(36 42939.12),(37 43177.133),(38 43586.992),(39 43146.023),(40 43460.934),(41 43296.28),(42 43922.645),(43 43629.797),(44 44256.1),(45 44225.49),(46 44403.56),(47 43981.188),(48 43969.156),(49 43483.785),(50 44366.49),(51 44177.99),(52 44614.492),(53 44275.066),(54 44292.66),(55 43746.78),(56 44044.79),(57 43865.305),(58 44166.297),(59 44135.492),(60 45000.184),(61 44946.098),(62 45240.516),(63 44699.164),(64 44886.24),(65 44546.117),(66 44810.344),(67 44671.656),(68 44880.125),(69 44625.48),(70 44916.555),(71 44312.023),(72 44017.313),(73 43783.547),(74 44410.66),(75 44769.035),(76 44819.945),(77 44562.387),(78 44919.914),(79 44686.63),
(1 8279.599),(2 16645.348),(3 21890.67),(4 26323.611),(5 28199.268),(6 30144.797),(7 31126.34),(8 32449.857),(9 33030.785),(10 34202.617),(11 34793.254),(12 35713.355),(13 36142.86),(14 36847.996),(15 36987.84),(16 37926.984),(17 38545.387),(18 39185.254),(19 39140.055),(20 39533.094),(21 39437.652),(22 40069.605),(23 39970.598),(24 40077.375),(25 40037.17),(26 40676.633),(27 40104),(28 40792.805),(29 40566.723),(30 41546.094),(31 41666.543),(32 42330.43),(33 42116.734),(34 42330.73),(35 41933.36),(36 42169.996),(37 41917.883),(38 43151.78),(39 43370.254),(40 43732.93),(41 42973.7),(42 43327.816),(43 42849.574),(44 42689.52),(45 42489.64),(46 42636.47),(47 42107.64),(48 42398.715),(49 41869.875),(50 42388.594),(51 42313.75),(52 42868.242),(53 42696.16),(54 43171.867),(55 42852.266),(56 43085.63),(57 42775.777),(58 43251.297),(59 43048.63),(60 43448.066),(61 43250.957),(62 43544.93),(63 43259.453),(64 43192.85),(65 42818.88),(66 43065.523),(67 42609.4),(68 42683.43),(69 42358.25),(70 42573.816),(71 41827.996),(72 42264.094),(73 42361.785),(74 43015.957),(75 42556.11),(76 42587.844),(77 42431.254),(78 43048.02),(79 42855.676),
(1 8072.052),(2 16022.141),(3 21540.85),(4 25983.67),(5 28495.762),(6 30509.549),(7 31208.703),(8 32327.89),(9 32711.012),(10 33826.543),(11 34485.918),(12 35914.336),(13 36079.453),(14 36744.977),(15 37240.492),(16 38005.03),(17 37978.543),(18 38646.883),(19 38886.887),(20 39147.95),(21 38655.89),(22 39018.902),(23 39231.035),(24 39367.043),(25 39162.22),(26 39770.684),(27 39583.387),(28 39797.164),(29 39418.7),(30 40070.47),(31 39679.855),(32 40289.863),(33 39995.414),(34 40277.4),(35 39981.242),(36 40338.32),(37 40542.92),(38 41201.45),(39 40672.805),(40 41314.297),(41 40843.16),(42 41326.074),(43 40893.65),(44 40765.496),(45 40457.19),(46 40418.47),(47 39699.523),(48 40076.668),(49 39709.496),(50 40242.727),(51 40267.14),(52 40923.926),(53 41320.98),(54 42407.844),(55 41953.984),(56 42280.098),(57 41903.46),(58 42194.215),(59 41929.547),(60 42030.33),(61 41752.723),(62 42281.38),(63 42208.273),(64 42401.46),(65 41952.11),(66 42179.188),(67 41851.945),(68 42088.563),(69 41808.79),(70 42337.254),(71 42194.67),(72 42204.105),(73 42011.855),(74 42326.465),(75 42023.3),(76 41936.17),(77 41563.996),(78 41829.953),(79 41714.848),
(1 8003.4863),(2 15997.814),(3 21649.205),(4 26139.543),(5 28543.871),(6 30624.723),(7 31654.74),(8 33077.918),(9 33736.52),(10 35136.777),(11 35846.45),(12 36678.887),(13 36905.855),(14 37788.594),(15 38361.887),(16 38835.125),(17 38852.406),(18 39341.83),(19 39605.953),(20 40088.7),(21 39764.46),(22 40157.15),(23 40010.11),(24 40060.414),(25 40130.688),(26 40367.21),(27 40080.28),(28 40287.996),(29 39908.113),(30 40523.324),(31 40146.617),(32 40694.05),(33 40312.703),(34 40894.086),(35 40822.453),(36 40734.344),(37 40437.156),(38 40955.742),(39 41116.234),(40 41697.31),(41 41733.563),(42 41850.984),(43 41340.684),(44 41349.297),(45 40664.277),(46 40693.176),(47 40219.973),(48 40621.395),(49 40596.727),(50 41512.355),(51 41361.277),(52 42119.875),(53 42003.285),(54 42730.54),(55 42085.61),(56 42043.402),(57 41373.02),(58 41493.945),(59 41006.46),(60 41225.543),(61 40544.277),(62 40886.383),(63 40613.94),(64 41028.52),(65 40870.76),(66 40973.3),(67 40342.24),(68 40207.848),(69 39739.574),(70 40528.332),(71 40215.66),(72 40685.39),(73 40210.023),(74 40237.586),(75 40463.195),(76 40938),(77 40675.17),(78 41217.727),(79 41013.03),
(1 7841.451),(2 15959.044),(3 21421.654),(4 25367.07),(5 27428.705),(6 29124.285),(7 29905.936),(8 31195.4),(9 31284.527),(10 32070.926),(11 32066.428),(12 32588.135),(13 32943.867),(14 34068.89),(15 34629.504),(16 35181.34),(17 34953.023),(18 35278.93),(19 35314.258),(20 36028.31),(21 35964.008),(22 36670.113),(23 36495.57),(24 36710.97),(25 37547.48),(26 37872.586),(27 37765.03),(28 37868.957),(29 37142.332),(30 37667.4),(31 37680.01),(32 38214.97),(33 37992.008),(34 38464.457),(35 38148.582),(36 38449.836),(37 38198.203),(38 38852.094),(39 38790.09),(40 39191.875),(41 38691.348),(42 38820.785),(43 38030.59),(44 38246.402),(45 37669.223),(46 37756.88),(47 37048.727),(48 37383.52),(49 37043.56),(50 37973.336),(51 38139.13),(52 38996.27),(53 38898.797),(54 39040.44),(55 38170.797),(56 38369.53),(57 37997.625),(58 38245.95),(59 38437.92),(60 38664.93),(61 38832.008),(62 39340.39),(63 39017.277),(64 39124.043),(65 38882.977),(66 39398.145),(67 38713.93),(68 38470.473),(69 37824),(70 38288.266),(71 37467.934),(72 37566.016),(73 37085.48),(74 37226.563),(75 37104.496),(76 37496.207),(77 37126.508),(78 37384.406),(79 37175.48),
(1 7620.713),(2 15338.861),(3 20720.793),(4 24660.309),(5 26478.35),(6 28105.111),(7 28756.244),(8 29898.082),(9 30400.559),(10 31469.197),(11 31660.012),(12 32391.914),(13 32653.549),(14 33320.152),(15 33454.97),(16 33655.94),(17 33145.527),(18 33535.33),(19 33637.863),(20 34395.105),(21 34392.133),(22 35419.215),(23 35476.387),(24 36117.05),(25 37042.8),(26 37454.08),(27 37056.938),(28 37359.492),(29 36810.883),(30 37319.66),(31 36632.14),(32 37103.344),(33 37027.09),(34 37439.098),(35 37070.53),(36 37658.7),(37 37622.652),(38 38145.066),(39 37747.547),(40 37917.453),(41 37386.7),(42 37642.27),(43 37049.23),(44 37175.523),(45 37025.008),(46 37318.16),(47 36559.547),(48 36844.6),(49 36628.22),(50 37431.793),(51 37584.703),(52 38193.94),(53 38275.42),(54 38715.637),(55 38256.594),(56 38396.21),(57 37923.25),(58 38090.09),(59 37887.566),(60 38188.727),(61 38320.92),(62 38587.844),(63 38472.44),(64 39045.85),(65 39122.69),(66 39528.94),(67 39256.957),(68 39176.113),(69 38811.652),(70 39314.266),(71 38841.79),(72 38906.605),(73 38049.64),(74 38248.305),(75 38154.29),(76 38528.62),(77 38331.6),(78 38860.117),(79 38392.64),
