1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 15859.365),(2 36511.61),(3 51877.508),(4 62901.742),(5 69875.25),(6 75605.08),(7 80089.84),(8 84441.6),(9 87306.91),(10 89517.26),(11 90354.414),(12 92317.74),(13 94718.46),(14 96674.53),(15 97929.89),(16 99227.51),(17 100581.234),(18 100788.81),(19 100438.18),(20 99659.52),(21 98755.13),(22 98569.734),(23 97274.33),(24 95749.84),(25 94561.67),(26 94181.26),(27 93165.91),(28 92462.445),(29 92944.805),(30 94944.55),(31 95931.48),(32 95369.27),(33 93801.5),(34 92585.08),(35 92018.836),(36 92316.54),(37 92693.95),(38 93293.25),(39 94650.27),(40 96367.875),(41 98233.805),(42 99026.89),(43 98913.6),(44 98158),(45 97899.51),(46 97114.23),(47 96383),(48 95607.23),(49 95916.516),(50 96842.8),(51 97565.78),(52 97901.63),(53 98959.67),(54 99787.305),(55 100560.875),(56 101340.695),(57 102501.26),(58 102500.11),(59 101855.49),(60 101547.67),(61 101808.69),(62 101742.78),(63 101713.55),(64 101603.945),(65 100348.84),(66 99349.5),(67 98914.63),(68 98944.37),(69 99470.77),(70 99903.71),(71 99463.66),(72 99388.12),(73 100994.695),(74 101407.875),(75 101310.11),(76 102561.3),(77 102161.26),(78 102144.87),(79 101611.67),
(1 14076.181),(2 32954.996),(3 48442.266),(4 59519.953),(5 66887.88),(6 72978.055),(7 76933.984),(8 80512.1),(9 82058.336),(10 83293.88),(11 84459.336),(12 86410.61),(13 89175.586),(14 91043.836),(15 92597.5),(16 93902.21),(17 94690.56),(18 94619.89),(19 93349.484),(20 91950.62),(21 91303.24),(22 91794.43),(23 90578.586),(24 88912.836),(25 88198.98),(26 88204.47),(27 88239.35),(28 88779.945),(29 89649.23),(30 91481.7),(31 90905.24),(32 89614.67),(33 89744.945),(34 90403.57),(35 90587.73),(36 90351.61),(37 91088.39),(38 92489.34),(39 94234.87),(40 94919.2),(41 96514.62),(42 98607.97),(43 99261.734),(44 99588.29),(45 99481.01),(46 98389.74),(47 97540.195),(48 97653.016),(49 98555.61),(50 100315.15),(51 100368.086),(52 100988.93),(53 101202.34),(54 102333.125),(55 103230.91),(56 102940.31),(57 102097.37),(58 102169.22),(59 102066.266),(60 101440.01),(61 100667.984),(62 98978.08),(63 97321.32),(64 96382.93),(65 95590.09),(66 94493.69),(67 93778.75),(68 93916.75),(69 94300.68),(70 95830.984),(71 96637.164),(72 97369.055),(73 99019.164),(74 99465.85),(75 98237.48),(76 98691.21),(77 98781.86),(78 98980.07),(79 99156.2),
(1 14291.524),(2 32930.555),(3 46207.883),(4 55661.73),(5 62410.918),(6 68637.83),(7 72454.984),(8 76193.35),(9 79222.1),(10 82110.03),(11 84655.25),(12 87131.35),(13 89481.47),(14 91601.89),(15 92720.6),(16 93506.664),(17 94388.43),(18 95693.734),(19 96432.44),(20 96131.28),(21 94410.945),(22 93822.84),(23 91835.305),(24 89774.79),(25 89321.586),(26 88264.195),(27 87559.78),(28 87867.66),(29 88521.77),(30 89968.48),(31 90348.14),(32 90112.484),(33 90656.53),(34 91765.92),(35 92837.195),(36 93513.26),(37 93212.36),(38 92819.53),(39 94030.555),(40 95352.086),(41 96308.805),(42 97100.97),(43 96642.664),(44 96117.48),(45 95909.71),(46 95427.24),(47 94615.04),(48 94786.195),(49 95105.664),(50 95112.05),(51 94149.43),(52 94440.89),(53 95904.64),(54 97011.08),(55 97366.79),(56 96814.53),(57 97055.305),(58 98430.05),(59 98752.61),(60 99023.27),(61 99587.5),(62 98470.836),(63 97245.79),(64 96814.9),(65 95407.54),(66 94888.86),(67 94548.03),(68 94588.27),(69 94887.14),(70 95874.586),(71 95504.34),(72 95791.336),(73 96611.93),(74 98348.33),(75 99147.52),(76 98813.914),(77 98282.52),(78 97996.945),(79 97771.24),
(1 13784.372),(2 32227.266),(3 45439.055),(4 54614.81),(5 61016.03),(6 66429.8),(7 70002.266),(8 73891.914),(9 76390.664),(10 78247.766),(11 80192.32),(12 82883.72),(13 84807.18),(14 86091.45),(15 87390.85),(16 87553.61),(17 87670.63),(18 87855.22),(19 87594.58),(20 88132.7),(21 88600.17),(22 88381.734),(23 86404.88),(24 85951.57),(25 85972.336),(26 85529.25),(27 85192.77),(28 85543.04),(29 85766.22),(30 85706.75),(31 85791.44),(32 85853.73),(33 86674.31),(34 87599.28),(35 89046.42),(36 90049.91),(37 90060.08),(38 89879.3),(39 90391.3),(40 89589.98),(41 89453.766),(42 90005.21),(43 90539.71),(44 91154.59),(45 92152.78),(46 92090.87),(47 91637.81),(48 91877.18),(49 93331.29),(50 94099.82),(51 94411.04),(52 95385.83),(53 96695.19),(54 96840.06),(55 96583.06),(56 95944.734),(57 98126.98),(58 99579.27),(59 99157.33),(60 98970),(61 98601.336),(62 97759.42),(63 96908.52),(64 96139.766),(65 94916.17),(66 93705.41),(67 93399.98),(68 92954.3),(69 92382.59),(70 92136.41),(71 92466.52),(72 92957.32),(73 94207.47),(74 94301.69),(75 95310.61),(76 95083.086),(77 93866.14),(78 93552.98),(79 92929.34),
(1 13463.683),(2 31030.963),(3 44257.6),(4 52639.637),(5 58632.063),(6 63687.246),(7 67553.94),(8 71768.016),(9 74850.41),(10 77214.11),(11 79355.77),(12 80500.84),(13 81425.07),(14 82384),(15 83596.15),(16 83993.37),(17 84991.01),(18 86339.945),(19 86883.74),(20 87688.98),(21 87738.37),(22 86985.72),(23 85500.81),(24 85248.11),(25 85711.85),(26 85496.555),(27 86333.99),(28 87492.48),(29 88341.164),(30 88372.76),(31 88631.31),(32 88429.27),(33 88430.234),(34 88308.8),(35 88215.58),(36 87673.04),(37 87258.39),(38 86870.836),(39 88108.14),(40 88461.055),(41 89354.43),(42 90505.8),(43 90948.81),(44 91210.31),(45 91232.414),(46 90098.65),(47 89954.2),(48 89833.89),(49 90714.055),(50 90159.61),(51 89704.08),(52 90052.33),(53 90786.7),(54 91525.875),(55 91678.98),(56 92241.586),(57 93759.77),(58 94310.53),(59 93749.95),(60 93145.81),(61 92592.05),(62 92258.305),(63 92317.04),(64 91624.33),(65 91108.89),(66 90926.234),(67 91603.26),(68 91672.42),(69 92164.29),(70 92414.414),(71 92960.21),(72 93358.09),(73 93315.95),(74 93758.75),(75 94502.305),(76 94446.31),(77 94076.625),(78 94321.13),(79 94153.53),
(1 12891.271),(2 29741.85),(3 43319.867),(4 52439.91),(5 58363.613),(6 62899.38),(7 66259.71),(8 70124.84),(9 72762.74),(10 74962.1),(11 77634.74),(12 78911.484),(13 79216.73),(14 79033.03),(15 79631.9),(16 80635.336),(17 82135.08),(18 82153.13),(19 81845.34),(20 82750.4),(21 83398.42),(22 82864.125),(23 82089.35),(24 82273.2),(25 82157.9),(26 82413.56),(27 82819.555),(28 83418.375),(29 83822.664),(30 83356.98),(31 83078.5),(32 82119.25),(33 81976),(34 81634.62),(35 81634.71),(36 81363.55),(37 81468.26),(38 82682.555),(39 83991.17),(40 84886.914),(41 85924.92),(42 87308.14),(43 87739.5),(44 88214.37),(45 88692.78),(46 87872),(47 87209.78),(48 87135.03),(49 88545.02),(50 89014.66),(51 89063.92),(52 89729.54),(53 90640.086),(54 90446.9),(55 90076.84),(56 90153.836),(57 90459.24),(58 89706.26),(59 88695.59),(60 88633.1),(61 88336.29),(62 87555.27),(63 87348.13),(64 87069.586),(65 86722.91),(66 86859.59),(67 87293.94),(68 87367.74),(69 88468.086),(70 89438.14),(71 90148.94),(72 90333.13),(73 91300.48),(74 90521.38),(75 89716.98),(76 89135.53),(77 88144.27),(78 87700.945),(79 87961.87),
(1 12446.544),(2 28547.71),(3 40698.953),(4 49314.113),(5 55337.71),(6 59882.098),(7 63515.723),(8 67285.99),(9 69449.625),(10 71682.59),(11 74201.75),(12 75140.16),(13 75542.64),(14 76001.78),(15 76301.164),(16 76324.84),(17 77190.984),(18 77584.91),(19 76865.83),(20 77429.22),(21 77198.195),(22 77298.83),(23 77571.125),(24 78671.56),(25 79601.53),(26 79813.26),(27 79972.31),(28 80159.54),(29 80339.984),(30 80725.01),(31 80749.836),(32 81113.305),(33 82222.66),(34 83259.27),(35 84213.8),(36 84192.61),(37 82722.234),(38 82079.77),(39 81874.83),(40 81942.805),(41 82375.95),(42 82423.41),(43 81680.53),(44 81141.195),(45 80632.79),(46 80811.18),(47 81591.805),(48 82419.016),(49 82756.17),(50 83271.266),(51 83862.1),(52 83921.82),(53 84206.56),(54 84781.68),(55 85769.766),(56 86414.3),(57 87289.38),(58 86818.15),(59 85750.875),(60 84827.695),(61 84092.164),(62 83226.8),(63 83527.86),(64 84218.59),(65 84025.06),(66 83911.79),(67 84560.57),(68 84677.266),(69 85190.71),(70 85816.45),(71 86504.836),(72 86990.98),(73 86723.29),(74 86127.93),(75 85942.66),(76 86030.67),(77 84308.15),(78 83928.67),(79 84003.38),
(1 12255.3),(2 28236.078),(3 40331.98),(4 48876.99),(5 55167.934),(6 59847.918),(7 63102.316),(8 67053.05),(9 69033.04),(10 70532.76),(11 72504.945),(12 74088.78),(13 74401.76),(14 74844.22),(15 75398.04),(16 76265.13),(17 77619.22),(18 77651.69),(19 77710.766),(20 79442.13),(21 80481.46),(22 80641.516),(23 81391.33),(24 82503.49),(25 83606.59),(26 83946.13),(27 84134.74),(28 84406.43),(29 85024.625),(30 84714.66),(31 83969.84),(32 83753.516),(33 84662.16),(34 84901.83),(35 84828.195),(36 84469.19),(37 83497.43),(38 82931.91),(39 82497.49),(40 82545.016),(41 82466.82),(42 82730.54),(43 82070.99),(44 81592.62),(45 81456.43),(46 81026.98),(47 81532.016),(48 82932.3),(49 82621.98),(50 82622.84),(51 83961.97),(52 84389.35),(53 83251.72),(54 82297.734),(55 82228.8),(56 82668.3),(57 82723.984),(58 83034.6),(59 83162.266),(60 82820.69),(61 82341.65),(62 81686.945),(63 81520.8),(64 81365.35),(65 81886.22),(66 82410.45),(67 82691.48),(68 82271.05),(69 82722.086),(70 84195.47),(71 84563.47),(72 84177.54),(73 84624.016),(74 84315.664),(75 84688.984),(76 85552.23),(77 85145.45),(78 84904.79),(79 84520.086),
(1 12271.888),(2 28339.691),(3 41185.773),(4 50423.977),(5 56346.457),(6 60965.52),(7 63665.563),(8 66397.24),(9 68063.21),(10 70034.2),(11 73193.95),(12 75486.96),(13 76823.19),(14 78536.04),(15 79054.52),(16 79198.086),(17 79656.28),(18 79254.13),(19 79068.11),(20 79963.305),(21 80782.3),(22 81560.49),(23 82232.84),(24 82371.72),(25 82259.96),(26 82716.36),(27 83279.15),(28 83222.59),(29 83474.625),(30 83081.59),(31 83100.28),(32 82634.29),(33 82539.086),(34 81634.39),(35 81143.87),(36 80300.54),(37 78863.5),(38 78189.89),(39 78423.02),(40 77377.836),(41 76581.61),(42 76379.01),(43 75871.79),(44 75344.53),(45 75167.984),(46 74733.42),(47 75519.98),(48 76790.13),(49 77811.26),(50 78706.07),(51 78996.625),(52 79367.83),(53 79273.945),(54 79320.625),(55 79803.02),(56 80174.41),(57 79868.39),(58 79925.49),(59 80189.77),(60 80737),(61 80897.06),(62 80922.25),(63 80958.234),(64 81558.69),(65 81909.016),(66 81540.305),(67 80965.15),(68 80036.98),(69 79671.68),(70 79707.945),(71 78355.07),(72 76798.35),(73 76550.164),(74 76781.97),(75 77083.586),(76 78513.02),(77 78466.74),(78 78566.55),(79 79269.49),
(1 11866.676),(2 27519.281),(3 40808.742),(4 49722.85),(5 55489.297),(6 60192.043),(7 63078.45),(8 65945.016),(9 67579.44),(10 69186.586),(11 72137.625),(12 74231.99),(13 75287.59),(14 76302.06),(15 76584.3),(16 77030.086),(17 78047.37),(18 78263.84),(19 78597.4),(20 79617.75),(21 78647.02),(22 77642.03),(23 77607.234),(24 78509.46),(25 79456.97),(26 79907.95),(27 80780.26),(28 81242.164),(29 80760.28),(30 80556.67),(31 80560),(32 80067.336),(33 79114.086),(34 78073.77),(35 77056.97),(36 76605.87),(37 76564.55),(38 76480.79),(39 76703.82),(40 76831.87),(41 77032.195),(42 76639.164),(43 76214.484),(44 76340.62),(45 76365.914),(46 76652.45),(47 77615.836),(48 79315.78),(49 80728.63),(50 82067.76),(51 83045.66),(52 83464.93),(53 84071.4),(54 84127.78),(55 83743.26),(56 83227.8),(57 82182.26),(58 82103.82),(59 82277.95),(60 81869.19),(61 81061.49),(62 80334.81),(63 79824.4),(64 80263.68),(65 80139.94),(66 79396.55),(67 78751.78),(68 78838.69),(69 79311.2),(70 79174.89),(71 78688.57),(72 78396.81),(73 78672.125),(74 79155.57),(75 79444.836),(76 80651.52),(77 80529.6),(78 80753.49),(79 81113.42),
(1 11417.224),(2 25947.201),(3 37486.465),(4 45355.43),(5 50649.82),(6 55103.95),(7 57777.137),(8 60644.473),(9 62180.78),(10 63408.684),(11 65460.547),(12 66975.47),(13 68127.53),(14 69501.16),(15 70061.08),(16 70961.305),(17 71918.89),(18 72386.27),(19 72856.23),(20 73780.016),(21 73906.49),(22 73782.93),(23 72998.11),(24 72795.88),(25 73052.94),(26 73996.3),(27 74778.96),(28 75411.17),(29 75380.15),(30 74942.93),(31 75102.31),(32 75367.63),(33 75927.32),(34 75228.414),(35 74765.8),(36 74796.15),(37 74605.695),(38 74793.805),(39 75463.65),(40 75300.195),(41 74775.61),(42 74521.35),(43 74556.05),(44 75179.516),(45 75732.02),(46 75689.44),(47 75748.75),(48 77061.42),(49 78256),(50 79110.516),(51 77871.375),(52 76678.664),(53 76312.28),(54 76548.41),(55 77615.82),(56 77895.66),(57 78415.08),(58 78603.7),(59 78562.945),(60 78303.67),(61 78189.67),(62 78158.58),(63 78615.18),(64 79477.92),(65 80041.73),(66 80738.26),(67 80695.914),(68 81044.6),(69 81873.63),(70 82724.43),(71 82866.336),(72 82927.04),(73 83464.89),(74 83712.23),(75 83770.65),(76 84112.01),(77 83681.914),(78 83314.984),(79 82963.375),
(1 11083.85),(2 24863.299),(3 35073.48),(4 42334.574),(5 47708.39),(6 51125.355),(7 53540.555),(8 56588.4),(9 58847.914),(10 61372.773),(11 63373.68),(12 64231.004),(13 64486.035),(14 65455.46),(15 66326.41),(16 67370.04),(17 68232.875),(18 68380.94),(19 67944.1),(20 67511.67),(21 67058.24),(22 66859.414),(23 67692.66),(24 69158.97),(25 70575.805),(26 72093.13),(27 73473.24),(28 74030.69),(29 73374.8),(30 71787.2),(31 70820.45),(32 70288.83),(33 70828.805),(34 70442.055),(35 69980.68),(36 70116.164),(37 70294.19),(38 71696.53),(39 72714.24),(40 73345.41),(41 74199.22),(42 75257.66),(43 75187.14),(44 74655.01),(45 75022.76),(46 74675.24),(47 74579.57),(48 75042.77),(49 74546.38),(50 74137.08),(51 74143.734),(52 74062.82),(53 74230.836),(54 74425.57),(55 74400.17),(56 74996.21),(57 75872.05),(58 77240.414),(59 77848.4),(60 77840.305),(61 77524.49),(62 77524.836),(63 77666.734),(64 77843.15),(65 78323.234),(66 78419.8),(67 78895.54),(68 78743.65),(69 79231.414),(70 79668.84),(71 79551.555),(72 78996.766),(73 78619.38),(74 77403.59),(75 76863.41),(76 76794.65),(77 76651.81),(78 76833.336),(79 76416.01),
(1 11114.987),(2 24454.549),(3 34370.52),(4 41230.96),(5 46015.355),(6 49488.625),(7 51508.508),(8 55090.914),(9 57599.914),(10 59977.945),(11 62142.67),(12 62941.664),(13 62611.313),(14 62877.91),(15 63035.008),(16 62914.055),(17 63066.508),(18 63303.895),(19 63181.75),(20 63474.86),(21 64085.293),(22 64887.664),(23 66002.46),(24 66465.734),(25 67512.96),(26 69173.586),(27 70373.055),(28 71572.734),(29 72404.87),(30 71729.625),(31 71303.695),(32 71074.484),(33 71005.62),(34 70210.36),(35 69480.914),(36 69632.125),(37 70048.45),(38 70037.96),(39 70935.516),(40 71592.45),(41 71787.38),(42 71833.84),(43 71826.414),(44 71990.57),(45 72268.66),(46 71968.914),(47 72317.016),(48 73075.8),(49 73746.125),(50 74053.09),(51 74353.1),(52 74632.57),(53 75279.36),(54 75905.516),(55 76664.664),(56 76516.34),(57 76989.57),(58 77569.06),(59 76848.07),(60 76418.125),(61 76198.18),(62 75993.37),(63 75751.67),(64 75993.09),(65 76343.24),(66 77105.71),(67 77784),(68 78290.62),(69 78923.836),(70 78970.266),(71 77535.01),(72 76780.71),(73 77836.9),(74 78112.12),(75 78112.79),(76 77971.16),(77 77731.9),(78 78160.03),(79 78416.48),
(1 10976.766),(2 24314.807),(3 33774.586),(4 40566.42),(5 45283.715),(6 49105.28),(7 51394.12),(8 53723.43),(9 55695.543),(10 57627.816),(11 59614.59),(12 60878.59),(13 61072.176),(14 62308.484),(15 63049.965),(16 63690.137),(17 64261.223),(18 63891.12),(19 64118.137),(20 64323.383),(21 64453.715),(22 64712.336),(23 65633.836),(24 66688.97),(25 68219.26),(26 69752.1),(27 70773.57),(28 70571.3),(29 70428.984),(30 70008.086),(31 69447.61),(32 69443.266),(33 69134.19),(34 68406.266),(35 67672.09),(36 67354.03),(37 67276.47),(38 66994.695),(39 68014.52),(40 68758.82),(41 69058.39),(42 69716.3),(43 70172.4),(44 70239.85),(45 70148.41),(46 70150.97),(47 70913.45),(48 71443.945),(49 71578.54),(50 72085.484),(51 72525.32),(52 72668.414),(53 72521.914),(54 72048.414),(55 72148.266),(56 72010.69),(57 73083.88),(58 73298.23),(59 72760),(60 72638.195),(61 73023.85),(62 73576.26),(63 73432.57),(64 73553.44),(65 73000.44),(66 72395.86),(67 73189.14),(68 73485.42),(69 73815.33),(70 73986.05),(71 73691.29),(72 73965.28),(73 73500.46),(74 73365.78),(75 73448.08),(76 73188.97),(77 72187.39),(78 71382.18),(79 71170.22),
(1 10935.248),(2 24235.906),(3 33677.17),(4 40127.316),(5 44560.25),(6 48080.332),(7 50656.906),(8 54187.25),(9 55908.77),(10 57273.836),(11 58430.945),(12 59483.3),(13 60127.965),(14 61099.74),(15 61781.355),(16 62519.26),(17 62838.688),(18 63000.46),(19 63841.336),(20 63935.605),(21 63649),(22 63965.113),(23 64971.52),(24 65738.85),(25 66781),(26 67397.93),(27 67528.33),(28 66977.55),(29 66796.266),(30 67198.19),(31 67271.836),(32 68055.055),(33 68380.61),(34 67156.695),(35 66111.44),(36 65712.32),(37 64990.727),(38 64744.957),(39 64431.527),(40 63929.555),(41 64212.586),(42 65094.797),(43 65283.64),(44 65572.82),(45 66133.24),(46 66971.375),(47 67505.18),(48 67650.56),(49 67209.69),(50 67429.24),(51 67855.79),(52 67231.05),(53 66745.84),(54 67322.53),(55 67975.67),(56 68916.19),(57 69412.695),(58 69850.99),(59 70351.82),(60 71463.24),(61 72123.7),(62 71859.766),(63 71500.47),(64 71122.13),(65 70409.65),(66 70073.28),(67 70695.04),(68 70661.13),(69 70841.39),(70 70713.484),(71 70322.9),(72 70950.97),(73 71206.68),(74 70816.43),(75 70196.34),(76 70133.336),(77 69605.92),(78 69776.664),(79 69348.69),
(1 10586.098),(2 23535.912),(3 33005.98),(4 39912.164),(5 44801.85),(6 48110.336),(7 50586.508),(8 53715.07),(9 55625.01),(10 57005.99),(11 58221.992),(12 59165.426),(13 59373.254),(14 60208.52),(15 60641.727),(16 61099.78),(17 61425.746),(18 62168.055),(19 63187.934),(20 63474.598),(21 63421.24),(22 63528.77),(23 63079.207),(24 63067.254),(25 63375.633),(26 63366.543),(27 62465.977),(28 61997.965),(29 62018.934),(30 62428.97),(31 62812.24),(32 63499.105),(33 63598.395),(34 63337.313),(35 63506.39),(36 63867.457),(37 64099.125),(38 64331.52),(39 63907.797),(40 62410.97),(41 61475.195),(42 61660.01),(43 62018.53),(44 62172.63),(45 62947.746),(46 63727.113),(47 64716.758),(48 65159.043),(49 65109.066),(50 65754.53),(51 65605.914),(52 65465.934),(53 64902.58),(54 65025.01),(55 65065.793),(56 65085.645),(57 65313.645),(58 66078.25),(59 66891.72),(60 67502.086),(61 67360.06),(62 66961.12),(63 66794.55),(64 67061.055),(65 67150.164),(66 67800.55),(67 69173.26),(68 70027.21),(69 70231.31),(70 70651.81),(71 70499),(72 70183.99),(73 70638.04),(74 70650.59),(75 70303.52),(76 70312.766),(77 69576.58),(78 69278.914),(79 69268.41),
(1 10465.596),(2 22822.367),(3 31808.39),(4 38198.84),(5 42939.715),(6 46966.99),(7 50030.594),(8 52997.406),(9 55139.61),(10 56601.387),(11 57693.258),(12 58048.504),(13 58458.22),(14 59304.938),(15 60131.54),(16 60881.277),(17 61313.953),(18 61633.402),(19 62085.71),(20 61387.098),(21 60658.1),(22 60673.887),(23 61174.45),(24 62017.125),(25 63163.742),(26 63349.258),(27 63015.83),(28 63195.77),(29 63778.11),(30 63816.582),(31 64007.918),(32 63501.598),(33 62831.875),(34 62079.863),(35 62515.918),(36 62971.184),(37 62417.67),(38 61596.707),(39 61216.1),(40 61137.34),(41 61163.047),(42 61113.805),(43 60506.742),(44 60059.78),(45 59531.83),(46 59611.45),(47 60031.598),(48 60452.938),(49 60931.95),(50 62155.316),(51 63465.66),(52 64023.973),(53 64085.766),(54 64485),(55 65093.695),(56 65669.73),(57 65831.38),(58 64936.867),(59 64365.113),(60 64371.477),(61 64507.06),(62 64363.32),(63 64689.27),(64 64778.758),(65 63765.418),(66 63861.78),(67 65088.55),(68 65298.023),(69 64930.156),(70 65094.875),(71 64968.9),(72 64304.9),(73 64323.68),(74 64369.047),(75 64171.67),(76 65105.79),(77 65222.355),(78 65256.027),(79 65889.4),
(1 10371.22),(2 22800.697),(3 31166.94),(4 36827.035),(5 41393.574),(6 44843.26),(7 46838.51),(8 49545.836),(9 51421.223),(10 52778.234),(11 54106.406),(12 54643.887),(13 55404.47),(14 56521.668),(15 57709.74),(16 58922.336),(17 59848.26),(18 60021.633),(19 60119.58),(20 60143.145),(21 60820.004),(22 61148.246),(23 60575.59),(24 60810.855),(25 61238.89),(26 61119.688),(27 61275.152),(28 61605.313),(29 62077.633),(30 61850.484),(31 61688.047),(32 61330.074),(33 60810.88),(34 60179.527),(35 60138.656),(36 60097.953),(37 59699.85),(38 59268.11),(39 58877.496),(40 58470.527),(41 58564.023),(42 58712.953),(43 58586.285),(44 58795.79),(45 59092.73),(46 59318.645),(47 59769.605),(48 60225.89),(49 60636.418),(50 61541.184),(51 62569.027),(52 63530.793),(53 64332.594),(54 64906.098),(55 65552.516),(56 65617.85),(57 65971.42),(58 66537.18),(59 66629.84),(60 66582.67),(61 66350.61),(62 66767.97),(63 67043.08),(64 66991.7),(65 65255.22),(66 65292.453),(67 65345.633),(68 65014.09),(69 64637.098),(70 64886.793),(71 65340.41),(72 65734.945),(73 66047.14),(74 65671.65),(75 65027.4),(76 65097.047),(77 64677.555),(78 64093.063),(79 63894.047),
(1 10019.45),(2 21945.115),(3 30815.633),(4 37016.668),(5 41294.31),(6 43890.844),(7 45188.29),(8 48350.55),(9 50194.586),(10 51883.598),(11 53280.41),(12 53753.83),(13 54407.625),(14 55571.64),(15 55956.97),(16 56583.242),(17 57149.043),(18 57274.83),(19 56673.598),(20 56158.91),(21 56339.426),(22 56789.76),(23 56715.055),(24 56608.85),(25 57165.016),(26 57837.582),(27 57811.438),(28 57202.695),(29 56729.004),(30 57562.477),(31 58288.375),(32 57989.383),(33 57320.973),(34 56786.098),(35 56967.28),(36 56994.945),(37 56876.824),(38 56766.96),(39 57332.258),(40 57530.63),(41 57368.574),(42 57236.363),(43 57135.785),(44 57537.707),(45 58873.72),(46 60373.305),(47 61690.09),(48 62706.758),(49 62133.324),(50 62076.484),(51 62162.07),(52 62237.203),(53 62839.48),(54 63395.71),(55 64001.36),(56 63778.344),(57 63296.83),(58 63040.39),(59 62926.176),(60 63457.637),(61 64020.88),(62 64163.004),(63 64142.785),(64 64077.09),(65 63323.695),(66 63380.99),(67 63108.797),(68 62325),(69 62183.625),(70 62566.91),(71 62709.742),(72 62679.973),(73 62835.77),(74 62030.613),(75 61509.027),(76 61853.582),(77 62136.324),(78 62175.598),(79 62209.063),
