1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 69360.586),(2 183050.13),(3 336733.1),(4 568450.1),(5 776164.56),(6 973994.75),(7 1218872),(8 1433168.1),(9 1656191),(10 1944122.1),(11 2246288),(12 2522368),(13 2880055),(14 3240451),(15 3591594.8),(16 4011318.8),(17 4463330),(18 4918512),(19 5461522.5),(20 6052061.5),(21 6587930),(22 7166138.5),(23 7777201.5),(24 8342812.5),(25 8941915),(26 9578561),(27 10152395),(28 10998541),(29 11889043),(30 12665373),(31 13547091),(32 14424483),(33 15212440),(34 16050939),(35 16938930),(36 17839150),(37 18800458),(38 19872738),(39 20917418),(40 22074658),(41 23370066),(42 24595534),(43 25954824),(44 27271248),(45 28529976),(46 29987974),(47 31701688),(48 33368594),(49 35082124),(50 36885596),(51 38636196),(52 40444668),(53 42468292),(54 44388220),(55 46441820),(56 48790452),(57 51012336),(58 53306656),(59 55515884),(60 57597696),(61 59575810),(62 61499932),(63 63055628),(64 64721828),(65 66414332),(66 67814500),(67 69262550),(68 70720260),(69 71845840),(70 72942330),(71 74090296),(72 74931910),(73 75912930),(74 76810296),(75 77452370),(76 78176610),(77 78968260),(78 79519230),(79 80195610),
(1 88181.164),(2 279606.75),(3 572168.6),(4 985998.9),(5 1470642.3),(6 2022156.3),(7 2685646.8),(8 3405987.3),(9 4169241.5),(10 5031297.5),(11 5959181),(12 6895449),(13 7951152),(14 9073294),(15 10257238),(16 11543826),(17 12980456),(18 14445440),(19 15999933),(20 17603278),(21 19120748),(22 20681492),(23 22321924),(24 23872512),(25 25482140),(26 27161286),(27 28812244),(28 30729932),(29 32745076),(30 34694636),(31 36827340),(32 39048948),(33 41070252),(34 43038868),(35 45082010),(36 47120356),(37 49227030),(38 51262944),(39 53217400),(40 55299904),(41 57503372),(42 59608364),(43 61927416),(44 64190016),(45 66287864),(46 68480490),(47 70854970),(48 73137304),(49 75596240),(50 78105030),(51 80734650),(52 83458230),(53 86252560),(54 88929420),(55 91913680),(56 94983336),(57 97896936),(58 100832240),(59 103756970),(60 106240910),(61 108708560),(62 111037270),(63 113037260),(64 115026430),(65 116997060),(66 118725840),(67 120653200),(68 122432300),(69 123873330),(70 125387580),(71 126877800),(72 127966570),(73 129171930),(74 130135144),(75 130946060),(76 131850410),(77 132767620),(78 133573950),(79 134555550),
(1 92719.22),(2 324838.53),(3 690298.75),(4 1197550.1),(5 1800981),(6 2492601.3),(7 3267769),(8 4088964),(9 4950788),(10 5904685.5),(11 6941762),(12 8039974),(13 9198183),(14 10384425),(15 11618216),(16 12999692),(17 14479569),(18 15995621),(19 17549890),(20 19068096),(21 20535066),(22 22062272),(23 23614854),(24 25130960),(25 26636682),(26 28043362),(27 29423158),(28 30919542),(29 32410474),(30 33882908),(31 35441932),(32 37045028),(33 38580876),(34 40018270),(35 41382310),(36 42705036),(37 43988810),(38 45210464),(39 46376268),(40 47571788),(41 48831660),(42 50037984),(43 51332800),(44 52504020),(45 53655200),(46 54879516),(47 56150644),(48 57431332),(49 58885630),(50 60510076),(51 62159796),(52 63855532),(53 65555876),(54 67106964),(55 68799464),(56 70492344),(57 71939790),(58 73265090),(59 74606840),(60 75736950),(61 76935430),(62 78122590),(63 79224430),(64 80299830),(65 81307070),(66 82195510),(67 83010280),(68 83669784),(69 84106856),(70 84541180),(71 84865096),(72 84789790),(73 84758056),(74 84485850),(75 84096136),(76 83822776),(77 83474520),(78 83097190),(79 82865480),
(1 105937.375),(2 385983.84),(3 818297.75),(4 1391292.6),(5 2082298.6),(6 2881963),(7 3780069.8),(8 4763384),(9 5814280),(10 6951416.5),(11 8166017),(12 9449794),(13 10808364),(14 12215188),(15 13636773),(16 15063154),(17 16560900),(18 18060600),(19 19583416),(20 20985196),(21 22279784),(22 23554724),(23 24783296),(24 25959762),(25 27091016),(26 28115222),(27 29105398),(28 30221774),(29 31306920),(30 32384576),(31 33413962),(32 34397390),(33 35402148),(34 36348756),(35 37261280),(36 38211772),(37 39162340),(38 40060796),(39 40972460),(40 41853816),(41 42741944),(42 43643364),(43 44477736),(44 45219010),(45 46034224),(46 46814000),(47 47598628),(48 48381040),(49 49132984),(50 49918116),(51 50685230),(52 51451144),(53 52183756),(54 52916616),(55 53639790),(56 54315670),(57 54938864),(58 55628644),(59 56323440),(60 56969060),(61 57587790),(62 58119564),(63 58614830),(64 59108880),(65 59557464),(66 60005076),(67 60373320),(68 60633068),(69 60903440),(70 61140196),(71 61296788),(72 61359176),(73 61408804),(74 61361700),(75 61418440),(76 61503990),(77 61562196),(78 61674616),(79 61721490),
(1 111488.16),(2 412074.6),(3 879445.4),(4 1496439.3),(5 2241797.5),(6 3091113),(7 4027583.3),(8 5038576),(9 6135592.5),(10 7301199.5),(11 8506582),(12 9772848),(13 11093199),(14 12444352),(15 13830180),(16 15238039),(17 16675479),(18 18132478),(19 19609050),(20 21005342),(21 22363822),(22 23691838),(23 24937704),(24 26139874),(25 27323078),(26 28398522),(27 29442668),(28 30460936),(29 31458414),(30 32453146),(31 33431482),(32 34413028),(33 35420690),(34 36354988),(35 37251868),(36 38164050),(37 39035228),(38 39838584),(39 40637172),(40 41438520),(41 42229360),(42 42978990),(43 43674796),(44 44377124),(45 45061876),(46 45673824),(47 46274810),(48 46811332),(49 47345364),(50 47829844),(51 48260050),(52 48640170),(53 48978036),(54 49289136),(55 49540828),(56 49736668),(57 49794444),(58 49691496),(59 49577956),(60 49461570),(61 49315856),(62 49079016),(63 48776230),(64 48416430),(65 47991428),(66 47499090),(67 46952150),(68 46396630),(69 45889756),(70 45395820),(71 44935336),(72 44440976),(73 43990588),(74 43523920),(75 43113252),(76 42722936),(77 42386756),(78 42125584),(79 41892684),
(1 91671.56),(2 337183.75),(3 704102.3),(4 1165960.3),(5 1689879),(6 2251947.3),(7 2856749.3),(8 3512756),(9 4245745.5),(10 5073468.5),(11 5951151),(12 6863261.5),(13 7849683),(14 8866491),(15 9955531),(16 11060441),(17 12153978),(18 13304229),(19 14554608),(20 15817501),(21 17179308),(22 18658936),(23 20163020),(24 21674570),(25 23244514),(26 24798006),(27 26348624),(28 27899156),(29 29438496),(30 31048470),(31 32610016),(32 34125470),(33 35606740),(34 36945460),(35 38150804),(36 39299576),(37 40348490),(38 41213560),(39 42009988),(40 42813590),(41 43612010),(42 44358800),(43 45078304),(44 45723700),(45 46276276),(46 46850772),(47 47396276),(48 47900056),(49 48373004),(50 48697496),(51 48924030),(52 49067704),(53 49156844),(54 49217096),(55 49319796),(56 49331016),(57 49162810),(58 48827564),(59 48495564),(60 48185176),(61 47927956),(62 47533988),(63 47060600),(64 46387068),(65 45532000),(66 44530284),(67 43356150),(68 42036304),(69 40697084),(70 39361836),(71 38050572),(72 36789228),(73 35561260),(74 34362616),(75 33221926),(76 32163380),(77 31142538),(78 30255860),(79 29518346),
(1 112786.414),(2 426032.8),(3 903973.3),(4 1521031.8),(5 2257567.5),(6 3086531.8),(7 4008678.3),(8 5000802.5),(9 6075061.5),(10 7210933.5),(11 8384661),(12 9596222),(13 10840070),(14 12042228),(15 13277508),(16 14489429),(17 15619463),(18 16688022),(19 17658804),(20 18504022),(21 19254718),(22 19909400),(23 20434954),(24 20871734),(25 21218258),(26 21476594),(27 21664416),(28 21823126),(29 21943638),(30 22025150),(31 22018260),(32 21915298),(33 21758068),(34 21562038),(35 21377806),(36 21269518),(37 21166770),(38 21000386),(39 20802730),(40 20635370),(41 20490856),(42 20403142),(43 20346942),(44 20357608),(45 20399714),(46 20480984),(47 20631908),(48 20824010),(49 21055150),(50 21314702),(51 21634948),(52 21974708),(53 22326498),(54 22669582),(55 23004696),(56 23322494),(57 23601432),(58 23814302),(59 23987968),(60 24124340),(61 24209824),(62 24213340),(63 24149600),(64 24002116),(65 23792714),(66 23496046),(67 23170112),(68 22769014),(69 22348018),(70 21876184),(71 21383478),(72 20890018),(73 20412366),(74 19948936),(75 19516636),(76 19127868),(77 18808416),(78 18561026),(79 18388098),
(1 99625.336),(2 373378.5),(3 800841.06),(4 1370336.6),(5 2059260),(6 2831671.3),(7 3694148),(8 4627051.5),(9 5622856),(10 6670521.5),(11 7749905),(12 8834946),(13 9897970),(14 10948285),(15 11945845),(16 12875393),(17 13756034),(18 14546485),(19 15263595),(20 15898012),(21 16441846),(22 16870268),(23 17181206),(24 17389052),(25 17526408),(26 17588576),(27 17618850),(28 17596654),(29 17542878),(30 17451050),(31 17316708),(32 17124024),(33 16913228),(34 16701278),(35 16508047),(36 16335095),(37 16179054),(38 16008285),(39 15859802),(40 15728585),(41 15620355),(42 15531217),(43 15489329),(44 15436862),(45 15386127),(46 15343220),(47 15297962),(48 15255690),(49 15218593),(50 15190014),(51 15182658),(52 15194669),(53 15211354),(54 15227452),(55 15240836),(56 15252403),(57 15288721),(58 15307708),(59 15334717),(60 15360044),(61 15347315),(62 15298382),(63 15225165),(64 15099887),(65 14974722),(66 14847298),(67 14707089),(68 14550548),(69 14336358),(70 14107098),(71 13901922),(72 13766054),(73 13626199),(74 13486499),(75 13392822),(76 13354891),(77 13365202),(78 13417023),(79 13511881),
(1 131143.42),(2 501944.13),(3 1103256.5),(4 1927983.3),(5 2975393),(6 4251400),(7 5748411.5),(8 7450510.5),(9 9297547),(10 11277182),(11 13391797),(12 15529978),(13 17692112),(14 19830166),(15 21826488),(16 23562794),(17 25105456),(18 26409330),(19 27523502),(20 28422600),(21 29113584),(22 29626360),(23 29974294),(24 30163552),(25 30254272),(26 30293678),(27 30265448),(28 30097020),(29 29887196),(30 29623530),(31 29292936),(32 28921986),(33 28531110),(34 28092946),(35 27644128),(36 27163692),(37 26717792),(38 26336466),(39 25964744),(40 25630908),(41 25315814),(42 25020036),(43 24743564),(44 24461936),(45 24289920),(46 24166566),(47 24086708),(48 24028728),(49 23968342),(50 23895410),(51 23820844),(52 23730672),(53 23634426),(54 23494686),(55 23345710),(56 23191898),(57 23015250),(58 22849220),(59 22684060),(60 22515772),(61 22340990),(62 22163208),(63 21972958),(64 21748258),(65 21585636),(66 21437736),(67 21242750),(68 21008486),(69 20706194),(70 20453812),(71 20185952),(72 19938434),(73 19702254),(74 19463180),(75 19221986),(76 19016740),(77 18855382),(78 18716508),(79 18621868),
(1 119633.164),(2 454734.88),(3 978340.7),(4 1682216.3),(5 2564979.8),(6 3610674.3),(7 4814333.5),(8 6124093),(9 7509373.5),(10 8941103),(11 10405810),(12 11821497),(13 13147632),(14 14351602),(15 15399591),(16 16194793),(17 16786580),(18 17177372),(19 17467774),(20 17651734),(21 17749216),(22 17802952),(23 17823652),(24 17793960),(25 17772444),(26 17763328),(27 17763832),(28 17773866),(29 17795952),(30 17796890),(31 17774778),(32 17730378),(33 17687588),(34 17614264),(35 17516220),(36 17401966),(37 17293408),(38 17188660),(39 17089704),(40 17020008),(41 17003766),(42 17041610),(43 17114530),(44 17272310),(45 17500040),(46 17768576),(47 18072682),(48 18413710),(49 18820662),(50 19221626),(51 19645344),(52 20074440),(53 20491802),(54 20827774),(55 21094434),(56 21319124),(57 21471490),(58 21524760),(59 21511668),(60 21464552),(61 21365046),(62 21210184),(63 21015032),(64 20765644),(65 20484792),(66 20181184),(67 19857604),(68 19550140),(69 19239902),(70 18945110),(71 18639830),(72 18347740),(73 18084366),(74 17844146),(75 17667610),(76 17530794),(77 17418628),(78 17311820),(79 17248544),
(1 137865.33),(2 525163.2),(3 1131045.1),(4 1928185.1),(5 2893815),(6 3997378),(7 5209599.5),(8 6478518),(9 7750556),(10 8983260),(11 10173179),(12 11254919),(13 12196113),(14 12995870),(15 13622022),(16 14074251),(17 14388218),(18 14553412),(19 14607889),(20 14586617),(21 14465172),(22 14292395),(23 14091680),(24 13838952),(25 13564604),(26 13298253),(27 13041309),(28 12804013),(29 12590340),(30 12352568),(31 12128148),(32 11905500),(33 11685263),(34 11484424),(35 11306181),(36 11128084),(37 11007842),(38 10946111),(39 10963197),(40 11066031),(41 11204947),(42 11385643),(43 11649163),(44 11995443),(45 12436609),(46 12922091),(47 13415251),(48 13920370),(49 14427592),(50 14927381),(51 15424764),(52 15901267),(53 16323669),(54 16634729),(55 16864018),(56 17015812),(57 17142020),(58 17230120),(59 17272572),(60 17301200),(61 17277190),(62 17204752),(63 17120406),(64 17050014),(65 16935510),(66 16783240),(67 16599168),(68 16403219),(69 16205886),(70 16033967),(71 15896136),(72 15753464),(73 15627675),(74 15530056),(75 15469406),(76 15439555),(77 15447144),(78 15472768),(79 15533219),
