1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 19107.299),(2 41753.496),(3 56417.07),(4 63773.89),(5 68433.62),(6 72495.35),(7 75317.23),(8 75215.36),(9 73378.51),(10 73245.734),(11 74219.39),(12 73860.86),(13 72828.695),(14 71707.46),(15 70937.88),(16 72381.42),(17 75635.46),(18 78429.32),(19 79085.914),(20 77511.35),(21 74495.11),(22 73627.2),(23 74162.61),(24 74968.95),(25 75099.09),(26 75860.62),(27 76049.11),(28 76594.43),(29 77917.04),(30 80443.14),(31 80843.46),(32 80678.01),(33 80398.3),(34 79798.36),(35 79887.305),(36 78879.73),(37 76606.83),(38 73637.18),(39 70995.445),(40 69525.63),(41 69671.74),(42 70485.4),(43 70120.42),(44 70428.73),(45 71060.05),(46 71580.1),(47 71647.984),(48 70372.77),(49 69483.195),(50 69160.875),(51 68890.64),(52 68114.805),(53 68636.72),(54 69873.14),(55 70343.23),(56 70666.35),(57 70622.28),(58 70698.27),(59 71431.76),(60 72414.22),(61 73326.94),(62 73912.46),(63 74286.41),(64 74314.195),(65 73398.46),(66 72627.37),(67 73011.02),(68 74221.11),(69 75882.74),(70 76434.03),(71 76462.586),(72 76590.88),(73 77516.86),(74 78369.21),(75 78795.03),(76 78246.11),(77 78708.16),(78 77589.54),(79 76258.83),
(1 18380.633),(2 39995.24),(3 54002.973),(4 60925.12),(5 64451.824),(6 68192.22),(7 69822.97),(8 68685.73),(9 67760.445),(10 68629.86),(11 69341.555),(12 69236.586),(13 68788.766),(14 68996.086),(15 69989.5),(16 71070.164),(17 72664.516),(18 74022.26),(19 73393.22),(20 71872.64),(21 70415.53),(22 69998.266),(23 69442.16),(24 69464.555),(25 69943.29),(26 70837.41),(27 70666.45),(28 71161.83),(29 72610.336),(30 74176.84),(31 74162.79),(32 73560.93),(33 73219.945),(34 73750.28),(35 74096.14),(36 73250.67),(37 71202.555),(38 68423.8),(39 65039.203),(40 63660.664),(41 65234.824),(42 67321.09),(43 67741.02),(44 68626.164),(45 68854.5),(46 69491.875),(47 69877.5),(48 68944.23),(49 68513.35),(50 69107.69),(51 68504.586),(52 67937.05),(53 67903.19),(54 67337.266),(55 66908.98),(56 66731.29),(57 66732.805),(58 67043.93),(59 67051.836),(60 66862.42),(61 68135.9),(62 69552.99),(63 70717.625),(64 70828.81),(65 69872.82),(66 69230.86),(67 70431.695),(68 71561.57),(69 72620.37),(70 73301.375),(71 73167.72),(72 72857.38),(73 73981.9),(74 74966.91),(75 75919.875),(76 75653.03),(77 75707.586),(78 75051.16),(79 73506.92),
(1 17967.348),(2 38800.16),(3 53241.855),(4 59754.094),(5 63350.824),(6 67486.75),(7 69699.68),(8 69630.65),(9 68610.06),(10 68255.11),(11 67911.81),(12 67034.58),(13 67058.28),(14 69750.625),(15 71858.484),(16 72206.62),(17 73124.84),(18 73876.71),(19 72221.71),(20 69814.086),(21 67489.28),(22 66857.11),(23 66235.66),(24 66141.18),(25 66127.27),(26 65924.18),(27 65472.27),(28 66899.11),(29 68203.805),(30 68356.93),(31 67195.76),(32 66896.77),(33 68419.78),(34 70876.73),(35 71195.63),(36 70178.81),(37 68704.15),(38 67564.69),(39 65977.33),(40 65399.652),(41 65666.82),(42 65899.2),(43 66570.91),(44 68144.9),(45 68104.305),(46 67773.06),(47 68055.23),(48 68074.94),(49 68772.4),(50 69923.14),(51 69028.53),(52 67583.18),(53 66423.35),(54 65719.29),(55 65828.33),(56 66004.11),(57 65189.047),(58 64016.113),(59 63972.777),(60 64899.188),(61 65852.62),(62 66978.336),(63 67764.01),(64 67978.45),(65 67669.8),(66 68138.99),(67 69310.56),(68 69564.53),(69 70873.22),(70 71962.63),(71 72433.555),(72 72221.1),(73 71913.87),(74 72807.19),(75 73642.45),(76 74031.65),(77 73603.805),(78 72960.73),(79 72333.89),
(1 17473.113),(2 37744.68),(3 52495.32),(4 58751.67),(5 61911.273),(6 65880.56),(7 69062.34),(8 69281.58),(9 67898.15),(10 66609.71),(11 65005.875),(12 63820.223),(13 65201.703),(14 68437.59),(15 70004.4),(16 70229.805),(17 70956.586),(18 71551.54),(19 69399.39),(20 66536.35),(21 64292.375),(22 63274.336),(23 62820.063),(24 62957.246),(25 63808.87),(26 64247.207),(27 65251.227),(28 65948.16),(29 65444.21),(30 64673.867),(31 63655.637),(32 63974.348),(33 65203.07),(34 66832.85),(35 68657.984),(36 68332.375),(37 66953.55),(38 65363.566),(39 65043.336),(40 65758.64),(41 66238.58),(42 66058.91),(43 65681.5),(44 65783.516),(45 66001.56),(46 66191.62),(47 66479.62),(48 65926.06),(49 65741.98),(50 65639.91),(51 64828.273),(52 63778.367),(53 63562.387),(54 63839.688),(55 63862.06),(56 63059.637),(57 62634),(58 63751.176),(59 64875.69),(60 64032.938),(61 63074.64),(62 63491.543),(63 64112.01),(64 64648.008),(65 64738.953),(66 65526.445),(67 66486.77),(68 67630.49),(69 69754.41),(70 71380.83),(71 71509.96),(72 70050.13),(73 69373.52),(74 69911.414),(75 69241.45),(76 68303.66),(77 67053.82),(78 67002.53),(79 67714.52),
(1 17409.059),(2 37259.98),(3 50630.816),(4 55679.465),(5 58839.066),(6 62050.832),(7 64970.074),(8 65613.94),(9 65996.09),(10 65889.44),(11 64755.508),(12 63516.492),(13 64098.03),(14 66636.06),(15 68209.34),(16 68183.91),(17 69083.8),(18 69419.336),(19 67083.5),(20 64271.145),(21 64250.094),(22 65103.477),(23 65600.97),(24 66763.234),(25 68218.055),(26 68334.664),(27 68890.33),(28 67231.16),(29 64896.945),(30 64045.47),(31 63441.926),(32 64169.12),(33 64453.105),(34 64990.797),(35 67017.94),(36 67565.484),(37 67155.46),(38 66203.29),(39 65528.3),(40 65195.926),(41 66221.74),(42 67140.664),(43 66354.586),(44 65228.797),(45 65025.305),(46 65335.55),(47 65131.85),(48 64934.777),(49 64741.582),(50 64255.824),(51 64035.668),(52 64084.53),(53 65086.2),(54 65086.52),(55 63590.12),(56 62264.066),(57 63766.934),(58 65824.93),(59 65852.38),(60 63626.37),(61 61943.69),(62 62578.223),(63 63214.67),(64 62607.13),(65 62023.367),(66 63555.324),(67 66008.12),(68 67598.87),(69 69038.46),(70 70240.52),(71 70796.25),(72 70986.98),(73 70739.6),(74 70084.164),(75 68792.664),(76 67382.74),(77 66194.8),(78 66129.62),(79 66650.68),
(1 16957.584),(2 35480.098),(3 47129.61),(4 51420.402),(5 54553.04),(6 57213.293),(7 59680.613),(8 61143.81),(9 61857.535),(10 62693.855),(11 62073.49),(12 60118.492),(13 60118.67),(14 62749.234),(15 64024.027),(16 63681.938),(17 64560.66),(18 63995.906),(19 63307.67),(20 61998.22),(21 62065.152),(22 62715.793),(23 62830.07),(24 63711.945),(25 65144.56),(26 64585.383),(27 63671.586),(28 61725.176),(29 59992.336),(30 60447.824),(31 60806.02),(32 61005.363),(33 60706.297),(34 61379.21),(35 62989.2),(36 62769.086),(37 62169.3),(38 61526.305),(39 61041.32),(40 61501.613),(41 62229.734),(42 62901.14),(43 62627.2),(44 61685.605),(45 61175.375),(46 60765.066),(47 60205.277),(48 60394.887),(49 59979.195),(50 59934.33),(51 60405.066),(52 60074.293),(53 60063.227),(54 59072.22),(55 58478.8),(56 59172.684),(57 60976.543),(58 61949.938),(59 61582.9),(60 59508.926),(61 58564.26),(62 59630.633),(63 59504.273),(64 58282.64),(65 57921.254),(66 60072.39),(67 62328.5),(68 63752.914),(69 65236.53),(70 66207.57),(71 67047.31),(72 66822.586),(73 65701.28),(74 64750.293),(75 63384.914),(76 62203.63),(77 61176.223),(78 60943.484),(79 60652.92),
(1 16124.216),(2 32675.846),(3 42551.402),(4 46700.82),(5 49294.58),(6 52093.31),(7 55803.08),(8 57435.703),(9 58775.215),(10 60702.234),(11 60973.01),(12 59948.914),(13 59659.945),(14 61175.45),(15 62155.824),(16 62425.26),(17 63380.785),(18 62764.875),(19 62501.133),(20 61134.156),(21 60213.47),(22 59787.547),(23 59721.598),(24 60877.387),(25 61923.52),(26 61814.445),(27 61284.563),(28 59676.824),(29 58725.08),(30 60362.707),(31 61274.055),(32 61210.43),(33 60243.73),(34 60663.383),(35 61624.44),(36 59546.492),(37 57662.477),(38 57197.1),(39 57478.92),(40 58939.82),(41 59422.797),(42 59887.59),(43 60001.676),(44 60086.633),(45 60878.16),(46 61293.8),(47 60744.65),(48 61060.17),(49 60206.563),(50 59475.94),(51 58578.004),(52 57851.926),(53 57875.316),(54 57465.67),(55 58008.543),(56 58970.22),(57 59786.664),(58 60013.27),(59 59955.813),(60 59261.336),(61 59533.094),(62 59505.92),(63 58374.746),(64 57525.895),(65 58340.676),(66 60304.367),(67 61888.824),(68 63408.3),(69 64520.63),(70 65316.934),(71 65505.656),(72 65049.81),(73 63983.387),(74 63452.88),(75 62543.016),(76 61165.52),(77 60487.53),(78 60582.65),(79 61083.48),
(1 15483.153),(2 31129.01),(3 41156.598),(4 45914.098),(5 48470.86),(6 51704.203),(7 55266.332),(8 56773.336),(9 58460.95),(10 60094.734),(11 60609.914),(12 60705.35),(13 60638.492),(14 60721.727),(15 60635.902),(16 60504.73),(17 60818.953),(18 60122.676),(19 59313.547),(20 59149.918),(21 59698.133),(22 59598.72),(23 59032.85),(24 58452.824),(25 58422.133),(26 58883.223),(27 58969.992),(28 58243.05),(29 58723.76),(30 59754.414),(31 59639.92),(32 58746.098),(33 57695.043),(34 57463.76),(35 56776.258),(36 55312.35),(37 54689.09),(38 55071.555),(39 55661.19),(40 56659.426),(41 56711.6),(42 56849.945),(43 57605.414),(44 58446.9),(45 59025.945),(46 58194.043),(47 56641.67),(48 56590.73),(49 56649.14),(50 56317.926),(51 55363.05),(52 55147.582),(53 55940.906),(54 57049.57),(55 57870.54),(56 58160.953),(57 58524.184),(58 58485.645),(59 58304.637),(60 58136.914),(61 58309.375),(62 57984.973),(63 57597.73),(64 57972.2),(65 59427.805),(66 60684.582),(67 61201.586),(68 62489.406),(69 62891.332),(70 62566.47),(71 62484.61),(72 61905.066),(73 61548.4),(74 61710.223),(75 61074.703),(76 59369.8),(77 58628.734),(78 58537.156),(79 59691.977),
(1 15886.885),(2 31486.713),(3 41666.05),(4 46520.69),(5 49316.133),(6 52214.32),(7 55423.945),(8 57197.227),(9 58281.125),(10 58653.977),(11 58972.848),(12 58857.324),(13 59257.395),(14 59040.516),(15 58131.098),(16 57281.727),(17 57624.367),(18 57507.164),(19 57405.59),(20 58061.313),(21 59118.133),(22 59194.367),(23 59416.12),(24 59201.793),(25 58327.56),(26 58286.625),(27 57754.75),(28 57353.17),(29 57975.26),(30 58298.805),(31 57529.273),(32 56853.39),(33 56107.418),(34 56218.14),(35 56237.605),(36 55642.805),(37 56114.703),(38 56568.953),(39 56471.086),(40 56221.434),(41 55870.316),(42 55650.574),(43 55668.504),(44 56869.383),(45 57600.973),(46 56391.17),(47 55225.715),(48 54626.91),(49 53908.703),(50 53017.26),(51 51639.254),(52 51587.957),(53 52726.492),(54 53963.7),(55 53647.15),(56 53292.707),(57 54536.965),(58 54927.664),(59 55186.434),(60 55286.016),(61 55317.887),(62 55865.418),(63 57315.383),(64 57870.426),(65 59033.926),(66 59558.8),(67 59327.426),(68 60350.902),(69 60502.79),(70 59711.125),(71 59129.695),(72 58542.55),(73 58081.547),(74 57954.69),(75 57852.83),(76 57124.742),(77 57153.176),(78 56950.582),(79 57357.715),
(1 15213.034),(2 30326.855),(3 39654.203),(4 44555.844),(5 47810.867),(6 50958.883),(7 53729.766),(8 55218.773),(9 56381.563),(10 56926.87),(11 56641.96),(12 55778.004),(13 56744.992),(14 57264.355),(15 56161.86),(16 55922.86),(17 56084.844),(18 56340.98),(19 56154.848),(20 55717.855),(21 56503.066),(22 57253.215),(23 57909.582),(24 56897.777),(25 55050.086),(26 54582.676),(27 54261.77),(28 54169.668),(29 54215.19),(30 53329.992),(31 52753.695),(32 53537.082),(33 53728.73),(34 53792.348),(35 53810.063),(36 53243.586),(37 52940.445),(38 53429.926),(39 53072.313),(40 52944.93),(41 53030.58),(42 53297.723),(43 53388.266),(44 53831.816),(45 53482.08),(46 51966.54),(47 51402.4),(48 51166.85),(49 50425.914),(50 50136.402),(51 49712.95),(52 49415.58),(53 49930.375),(54 51027.387),(55 51965.086),(56 52826.09),(57 53206.43),(58 53300.473),(59 53757.2),(60 53142.523),(61 52923.305),(62 54079.17),(63 55186.57),(64 55117.156),(65 55476.38),(66 56006.15),(67 56557.473),(68 58202.508),(69 58753.664),(70 57989.516),(71 57451.23),(72 56334.824),(73 55357.14),(74 55334.457),(75 55673.707),(76 54409.785),(77 53710.246),(78 53974.004),(79 54635.94),
(1 14660.461),(2 29373.365),(3 38267.32),(4 43271.03),(5 46833.805),(6 49375.586),(7 51192.324),(8 52202.39),(9 53287.008),(10 53440.867),(11 53016.06),(12 52136.06),(13 52938.203),(14 53340.1),(15 52718.47),(16 52883.117),(17 52476.07),(18 52207.605),(19 51406.22),(20 50771.016),(21 50738.61),(22 51786.586),(23 52678.66),(24 51463.457),(25 49887.77),(26 49040.914),(27 48724.79),(28 49447.63),(29 49859.758),(30 49927.055),(31 49851.387),(32 50440.406),(33 51195.508),(34 50689.87),(35 50757.992),(36 51549.316),(37 52022.094),(38 51856.254),(39 51201.746),(40 51219.87),(41 50920.1),(42 51165.402),(43 50888.906),(44 50522.535),(45 50457.266),(46 49915.844),(47 49658.188),(48 49818.652),(49 48765.008),(50 48383.8),(51 48365.125),(52 48305.14),(53 48605.715),(54 49060.46),(55 49514.188),(56 50331.004),(57 50864.51),(58 50642.703),(59 50523.86),(60 49994.395),(61 49158.316),(62 49254.28),(63 49808.316),(64 49920.434),(65 50134.31),(66 50235.836),(67 50722.035),(68 52053.953),(69 51763.863),(70 51170.434),(71 50785.945),(72 50400.875),(73 50388.69),(74 50860.242),(75 50979.13),(76 49674.03),(77 48916.11),(78 49215.17),(79 49463.97),
(1 14753.614),(2 29211.867),(3 37858.316),(4 42287.38),(5 44653.035),(6 46954.617),(7 48787.816),(8 49772.273),(9 49984.215),(10 49733.773),(11 48972.56),(12 48478.74),(13 49455.926),(14 49431.605),(15 49523.2),(16 50343.57),(17 51148.027),(18 50632.1),(19 49490.027),(20 49388.234),(21 49011.12),(22 49293.676),(23 49118.65),(24 47311.6),(25 45816.15),(26 45258.383),(27 45726.9),(28 46974.23),(29 47230.695),(30 47358.09),(31 47908.832),(32 48520.31),(33 48226.18),(34 47489.426),(35 47997.633),(36 49563.527),(37 50552.266),(38 50271.25),(39 49991.324),(40 50297.977),(41 50244.2),(42 49631.62),(43 47919.176),(44 47208.883),(45 47955.875),(46 49130.152),(47 48802.453),(48 48891.555),(49 48246.492),(50 48750.926),(51 49611.793),(52 50019.887),(53 49359.074),(54 48021.734),(55 47811.44),(56 48483.453),(57 49143.168),(58 49727.848),(59 50520.305),(60 50192.957),(61 49113.582),(62 49038.063),(63 48631.35),(64 47503.605),(65 47216.332),(66 47482.6),(67 47727.39),(68 47787.73),(69 46624.566),(70 46181.242),(71 46450.137),(72 47049.27),(73 47572.31),(74 48148.91),(75 48693.1),(76 48351.195),(77 47995.027),(78 47529.1),(79 47508.477),
(1 13669.241),(2 26744.035),(3 34273.605),(4 38234.715),(5 40204.055),(6 42023.305),(7 43749.195),(8 44691.98),(9 44523.88),(10 44127.215),(11 44297.51),(12 44578.633),(13 45556.8),(14 45824.434),(15 45555.22),(16 46023.47),(17 46824.645),(18 45741.33),(19 45033.758),(20 44805.04),(21 44531.766),(22 44787.04),(23 44348.62),(24 42877.29),(25 42085.18),(26 42334.7),(27 42907.906),(28 43453.496),(29 44205.832),(30 44508.1),(31 44284.746),(32 43769.664),(33 42491.863),(34 41615.56),(35 42166.367),(36 43087.348),(37 43461.82),(38 42894.703),(39 42871.383),(40 43942.117),(41 44918.746),(42 44442.844),(43 43241.246),(44 42883.465),(45 43931.984),(46 45806.71),(47 45589.117),(48 45353.984),(49 45032.59),(50 45156.496),(51 46082.71),(52 46822.29),(53 46595.31),(54 44687.813),(55 43569.816),(56 43288.83),(57 43520.363),(58 44100.164),(59 44912.17),(60 45165.332),(61 44931.96),(62 44651.254),(63 43637.805),(64 42332.7),(65 41558.727),(66 41517.95),(67 42556.023),(68 42555.535),(69 41465.38),(70 40709.3),(71 40483.26),(72 41201.12),(73 42858.742),(74 43664.316),(75 44097.83),(76 44077.93),(77 44464.457),(78 44739.336),(79 44295.07),
(1 13076.658),(2 25509.94),(3 31770.06),(4 34960.098),(5 37441.43),(6 39472.12),(7 40643.965),(8 41159.742),(9 41202.76),(10 40776.867),(11 41338.137),(12 42010.684),(13 42537.395),(14 43024.727),(15 43262.863),(16 44226.895),(17 44295.875),(18 43324.645),(19 43504.75),(20 43628.594),(21 43487.895),(22 43114.68),(23 42887.242),(24 42041.742),(25 40807.5),(26 41028.23),(27 41682.543),(28 42236.082),(29 42617.215),(30 42647.027),(31 42342.33),(32 42056.016),(33 41383.895),(34 40815.977),(35 40977.254),(36 42208.152),(37 42696.098),(38 41556.65),(39 41082.215),(40 41672.184),(41 42032.7),(42 41481.176),(43 41355.02),(44 41076.215),(45 41352.793),(46 41887.906),(47 41552.656),(48 41495.703),(49 41841.83),(50 42174.67),(51 42693.53),(52 43580.68),(53 44268.4),(54 43021.69),(55 41426.06),(56 41078.992),(57 41169.92),(58 41129.734),(59 41407.617),(60 41837.566),(61 41611.57),(62 41037.77),(63 40883.51),(64 40510.375),(65 39976.555),(66 39728.344),(67 40306.566),(68 40260.152),(69 39875.74),(70 39191.008),(71 39052.527),(72 39447.41),(73 40890.81),(74 41729.03),(75 42055.367),(76 42389.875),(77 42863.715),(78 42595.84),(79 42483.05),
(1 12793.312),(2 24791.604),(3 30526.338),(4 33125.72),(5 35520.207),(6 37821.637),(7 39138.383),(8 39960.11),(9 40973.348),(10 40860.797),(11 40943.824),(12 40887.836),(13 41649.574),(14 41949.418),(15 42113.22),(16 43148.59),(17 43086.184),(18 42654.594),(19 43281.313),(20 42909.473),(21 42998.254),(22 42657.97),(23 42798.453),(24 42741.332),(25 41496.94),(26 40951.613),(27 41533.387),(28 42190.965),(29 42099.69),(30 41190.64),(31 40095.69),(32 40099.26),(33 40581.152),(34 41106.23),(35 40902.906),(36 41207.15),(37 41637.04),(38 41922.45),(39 41822.15),(40 41370.6),(41 41086.52),(42 41109.227),(43 41808.56),(44 42095.195),(45 41747.27),(46 40601.58),(47 39707.984),(48 39891.336),(49 40302.266),(50 40619.74),(51 40332.86),(52 41030.742),(53 41912.918),(54 41914.457),(55 41476.223),(56 40781.35),(57 40188.203),(58 40435.332),(59 40495.273),(60 40051.54),(61 40043.086),(62 40612.973),(63 41217.79),(64 41225.344),(65 41563.79),(66 41477.566),(67 41054.62),(68 40202.047),(69 40211.887),(70 40335.258),(71 40267.31),(72 40298.39),(73 40608.473),(74 41634.324),(75 42087.613),(76 42452.45),(77 42753.914),(78 42710.6),(79 42663.266),
(1 12855.422),(2 24637.422),(3 30149.984),(4 32628.66),(5 34589.65),(6 37097.99),(7 39264.53),(8 40208.438),(9 40593.867),(10 40743.977),(11 41122.895),(12 40874.19),(13 40629.73),(14 40644.027),(15 40957.742),(16 42233.19),(17 41990.38),(18 41551.55),(19 42240.9),(20 42108.207),(21 42106.652),(22 41724.035),(23 41631.785),(24 41662.81),(25 41018.03),(26 40350.145),(27 40817.89),(28 41130.484),(29 40993.305),(30 40067.305),(31 38744.52),(32 38988.945),(33 40121.664),(34 40799.54),(35 39985.19),(36 39899.047),(37 40932.375),(38 42010.19),(39 42262.85),(40 41565.914),(41 40406.27),(42 40457.31),(43 40894.426),(44 40950.418),(45 39899.86),(46 38811.043),(47 38296.09),(48 38064.37),(49 37948.727),(50 38167.555),(51 38973.586),(52 39568.355),(53 39848.105),(54 39771.457),(55 39242.42),(56 38444.363),(57 37854.95),(58 38153.87),(59 38506.99),(60 38169.32),(61 38647.76),(62 39415.375),(63 39503.03),(64 39297.184),(65 39296.633),(66 39014.582),(67 38772.434),(68 37990.67),(69 37804.19),(70 37365.953),(71 37384.223),(72 37926.035),(73 38729.867),(74 39169.324),(75 38928.49),(76 38610.586),(77 39355.094),(78 39680.836),(79 39603.863),
(1 12315.799),(2 23639.186),(3 28790.467),(4 31655.357),(5 34293.47),(6 36722.656),(7 38873.69),(8 39463.992),(9 40014.234),(10 40510.527),(11 40441.473),(12 39861.215),(13 40389.945),(14 41445.53),(15 42416.008),(16 43134.21),(17 42477.977),(18 42376.465),(19 42475.242),(20 42018.418),(21 42389.184),(22 41767.164),(23 41661.406),(24 42027.496),(25 41223.23),(26 40257.64),(27 39294.902),(28 39004.85),(29 38814.113),(30 38773.84),(31 38357.844),(32 38632.133),(33 39197.89),(34 39614.668),(35 39425.926),(36 39881.14),(37 40590.543),(38 41172.43),(39 41026.31),(40 40538.285),(41 39940.848),(42 40223.164),(43 40692.574),(44 40935.207),(45 40645.74),(46 40137.477),(47 39121.332),(48 38689.17),(49 38361.145),(50 39134.152),(51 40277.176),(52 40408.348),(53 40014.49),(54 40036.47),(55 39635.813),(56 38420.355),(57 37320.707),(58 37747.816),(59 38646.555),(60 38804.21),(61 39520.223),(62 39584.207),(63 39269.49),(64 38539.67),(65 37835.5),(66 37610.74),(67 37887.4),(68 37679.137),(69 37206.016),(70 36607.348),(71 37363.14),(72 38300.36),(73 38963.977),(74 38915.355),(75 38265.93),(76 37826.242),(77 38060.35),(78 38757.06),(79 38496.008),
(1 11784.846),(2 22582.463),(3 28291.459),(4 31531.934),(5 34298.594),(6 36409.047),(7 38324.043),(8 39342.16),(9 40027.117),(10 40326.785),(11 39812.5),(12 39486.11),(13 40292.395),(14 41736.688),(15 42489.95),(16 42431.098),(17 41981.54),(18 41578.254),(19 41382.785),(20 40978.246),(21 41107.414),(22 40477.074),(23 40147.715),(24 40156.426),(25 39690.156),(26 38667.63),(27 37501.21),(28 37254.613),(29 37569.566),(30 37946.832),(31 37922.42),(32 38471.71),(33 38311.19),(34 38137.32),(35 37607.35),(36 37376.344),(37 37541.418),(38 37964.375),(39 38273.523),(40 38375.31),(41 38594.19),(42 39151.285),(43 38820.2),(44 38059.418),(45 37770.45),(46 37925.715),(47 37161.176),(48 36851.766),(49 37218.035),(50 37749.05),(51 38124.04),(52 37695.992),(53 37207.043),(54 37469.492),(55 37317.242),(56 36220.02),(57 35393.336),(58 35557.652),(59 35965.273),(60 36351.95),(61 36714.91),(62 36247.492),(63 35978),(64 35747.16),(65 35248.387),(66 35008.105),(67 35652.418),(68 35950),(69 35804.066),(70 35420.867),(71 36221.824),(72 37590.16),(73 38753.55),(74 39093.184),(75 38617.293),(76 38202.83),(77 37936.56),(78 37764.414),(79 37599.313),
