1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 72349.44),(2 118048.28),(3 119434.836),(4 141375.52),(5 159340.5),(6 164600.73),(7 171472.97),(8 165880.78),(9 168472.47),(10 176817.67),(11 178196.05),(12 180120.22),(13 180809.47),(14 184099.67),(15 195843.05),(16 200558.7),(17 195716.13),(18 196148.34),(19 201031.31),(20 211341.88),(21 211819.7),(22 204938.17),(23 208259.64),(24 216844.02),(25 222401.6),(26 224851.55),(27 228113.88),(28 231537.66),(29 233781.13),(30 239031.95),(31 248283.1),(32 257284.13),(33 253526.27),(34 253417.55),(35 259161.31),(36 261078.3),(37 260253.38),(38 267403.34),(39 270494.94),(40 266227.9),(41 263694.56),(42 264736.78),(43 270565.47),(44 275863.6),(45 275296.66),(46 279957.4),(47 284864.88),(48 289640.53),(49 279197.97),(50 282148.63),(51 281656.78),(52 277796.25),(53 273199.94),(54 275816.38),(55 278039.97),(56 275013.88),(57 273549.4),(58 263491.63),(59 261838.7),(60 267897.44),(61 270055.8),(62 273530.44),(63 277725.97),(64 272460.38),(65 276091.78),(66 269691.78),(67 264287.5),(68 265245.56),(69 257146.1),(70 257537.08),(71 261674.78),(72 262214.94),(73 257863.44),(74 258134.92),(75 261018.16),(76 253643.5),(77 248897.13),(78 246359.19),(79 245313.72),
(1 75259.1),(2 121107.914),(3 117341.26),(4 131185.31),(5 143716.86),(6 150269.58),(7 157693.4),(8 155789.63),(9 162158.34),(10 170566.8),(11 171986.2),(12 172017.9),(13 168665.95),(14 170365.45),(15 181543.23),(16 185648.63),(17 183112.61),(18 183536.39),(19 188711.22),(20 197635.44),(21 201130.9),(22 193330.8),(23 195877.77),(24 206597.6),(25 211999.73),(26 216752.44),(27 218754.02),(28 220043.44),(29 223264.44),(30 226186.56),(31 237911.22),(32 243059.83),(33 244694.66),(34 246108.63),(35 246991.34),(36 251924.34),(37 252550),(38 260869.02),(39 264828.97),(40 255726.83),(41 254842.17),(42 254440.63),(43 257546.83),(44 265154.25),(45 265616.25),(46 272091.03),(47 275942.56),(48 276561.56),(49 268342.8),(50 267506.4),(51 270012.13),(52 270501.78),(53 263941.4),(54 261634.83),(55 266834.03),(56 271721.28),(57 269077.2),(58 258209.78),(59 258531.9),(60 268960.06),(61 271600.84),(62 264485.88),(63 271141.75),(64 265443.63),(65 265045.7),(66 259646.48),(67 253838.22),(68 256988.67),(69 250982.84),(70 253500.38),(71 254453.8),(72 253575.89),(73 250549.56),(74 248590.61),(75 251731.7),(76 249454.4),(77 246939.55),(78 243708.22),(79 245410.3),
(1 75424.51),(2 120620.82),(3 114601.8),(4 126793.83),(5 138013.53),(6 145022.3),(7 155521.5),(8 155987.94),(9 157376.06),(10 161452.64),(11 164117.53),(12 164419.17),(13 163136.48),(14 164995.58),(15 174186.6),(16 178406.23),(17 180685.27),(18 180624.17),(19 179967.81),(20 189064.95),(21 188926.9),(22 185973.11),(23 187320.48),(24 193208.92),(25 198006.23),(26 200691.02),(27 202376.48),(28 202833.77),(29 209122.13),(30 215986.98),(31 223516.11),(32 233264.56),(33 236057.44),(34 237896.56),(35 243109.03),(36 245671.17),(37 245376.14),(38 247530.92),(39 254677.47),(40 250657.94),(41 244303.4),(42 247889.02),(43 249013.17),(44 250822.89),(45 252045.92),(46 252527.05),(47 262492.03),(48 266672.03),(49 255096),(50 253226.6),(51 256701.14),(52 260272.5),(53 255578.61),(54 247167.22),(55 248981.05),(56 251218.61),(57 251486.84),(58 240200.73),(59 240894.11),(60 249811.56),(61 257453.95),(62 250823.11),(63 249462.69),(64 247087.16),(65 251201.88),(66 245525.75),(67 239362.98),(68 244085.11),(69 238535.64),(70 240279.98),(71 245044.34),(72 242839.72),(73 243435.63),(74 241734.77),(75 241403.89),(76 241245.7),(77 241837.1),(78 239282.56),(79 239635.88),
(1 72252.695),(2 114218.414),(3 106972.125),(4 122596.82),(5 132941.08),(6 136515.1),(7 149536.08),(8 153922.1),(9 153531.94),(10 156712.3),(11 160298.83),(12 160580.83),(13 157090.66),(14 158543.06),(15 167592.77),(16 170776.23),(17 173787.45),(18 175896),(19 173729.39),(20 180557.98),(21 182457.8),(22 179340.06),(23 179200.17),(24 183631.5),(25 192880.02),(26 201103.86),(27 199154.58),(28 200195.28),(29 205088.6),(30 214981.16),(31 222741.23),(32 226507.8),(33 229745.02),(34 228056.69),(35 235749.36),(36 240055.4),(37 236917.02),(38 242616.98),(39 245768.3),(40 243053.56),(41 234425.48),(42 235232.02),(43 240403.8),(44 237250.52),(45 237391.75),(46 237557.88),(47 247366.34),(48 253428.73),(49 244901.7),(50 246383.84),(51 246164.2),(52 246242.45),(53 247747.48),(54 239069.31),(55 240968.47),(56 246773.16),(57 247137.27),(58 241629.34),(59 240480.8),(60 245923.61),(61 254725.13),(62 255635.83),(63 253533.8),(64 244091.1),(65 251580.52),(66 247509.58),(67 238474.58),(68 243096.98),(69 235179.25),(70 231418.8),(71 233420.81),(72 231987.1),(73 233054.23),(74 233714.66),(75 230520.17),(76 224433.72),(77 227673.77),(78 226222.39),(79 227045.75),
(1 70212.89),(2 111604.8),(3 108548.11),(4 123989.234),(5 131179.6),(6 131500.36),(7 145693.92),(8 153860.33),(9 153002.73),(10 154843.05),(11 159428.1),(12 160788.39),(13 157957.05),(14 157018.55),(15 161446.08),(16 161320.13),(17 162639.3),(18 165604.4),(19 167622.88),(20 172200.11),(21 172938.58),(22 171765.08),(23 173174.72),(24 175465.78),(25 184201.67),(26 191861.98),(27 192304.94),(28 192582.14),(29 198026.14),(30 203843.06),(31 213967.78),(32 218828.6),(33 218147.67),(34 219180.89),(35 218435.19),(36 220114.13),(37 218401.22),(38 223264.8),(39 227091.94),(40 223807.95),(41 222542.38),(42 224677.33),(43 229790.61),(44 231569.75),(45 226906.34),(46 230026.02),(47 237608.22),(48 241156.39),(49 237852.78),(50 235946.14),(51 232881.81),(52 236462.4),(53 238218.52),(54 231190.75),(55 228403.39),(56 234323.28),(57 234931.81),(58 226000.13),(59 226257.89),(60 227737.6),(61 234104.47),(62 239726.58),(63 240031.27),(64 232689),(65 233626.92),(66 235073.4),(67 225234.4),(68 228411.63),(69 222623.58),(70 215484.88),(71 212075),(72 210823.72),(73 210038.38),(74 212943.88),(75 213282.33),(76 209411.45),(77 213368.52),(78 212736.45),(79 211327.14),
(1 65123.875),(2 98763.836),(3 97446.42),(4 116519.65),(5 119179.445),(6 117741.48),(7 131405.72),(8 137400.34),(9 140319.22),(10 142540.84),(11 142609.67),(12 142874.9),(13 141311.53),(14 139973.1),(15 143849.75),(16 144787.33),(17 147002.31),(18 149378.25),(19 148847.73),(20 152884.72),(21 155654.5),(22 156264.03),(23 161395.3),(24 162801.6),(25 165926.19),(26 170464.5),(27 173077.7),(28 176959.22),(29 179809.25),(30 184981.6),(31 192171.92),(32 198657.9),(33 202564.61),(34 203286.33),(35 206698.55),(36 206209.95),(37 207046.08),(38 211763.52),(39 212673.44),(40 212178.25),(41 209728.48),(42 210265.78),(43 217678.61),(44 222893.56),(45 225472.53),(46 222268),(47 229889.61),(48 230391.3),(49 227342.7),(50 227831.36),(51 220983.75),(52 221472.97),(53 222468.58),(54 214558.67),(55 214176.73),(56 217564.88),(57 220771.9),(58 215850.47),(59 215316.14),(60 219050.88),(61 221033.92),(62 222660.83),(63 225502.88),(64 219639.75),(65 217641.13),(66 216160.19),(67 208199.05),(68 213084.67),(69 209983.1),(70 205902.05),(71 202079.02),(72 199519.92),(73 199276.13),(74 199223.84),(75 201475.88),(76 199207.39),(77 201562.73),(78 202422.63),(79 200693.22),
(1 61670.496),(2 91227.12),(3 90238.805),(4 111642.32),(5 113830.734),(6 112123.02),(7 127607),(8 132424.22),(9 132681.84),(10 137407.97),(11 139327.39),(12 138711.69),(13 138732.02),(14 139427.45),(15 142984.42),(16 143347.02),(17 146539.69),(18 149785.03),(19 152326.27),(20 159542.31),(21 159287.1),(22 163113.75),(23 166796.02),(24 166611.33),(25 168547.84),(26 171410.66),(27 172073.8),(28 175180.1),(29 178659.92),(30 181541.47),(31 188371.95),(32 191035.4),(33 190919.48),(34 192344.58),(35 195285.55),(36 196215.86),(37 195495.63),(38 195848),(39 197860.47),(40 197084.23),(41 198659.95),(42 198683.31),(43 203854.77),(44 207348.28),(45 205215.95),(46 204270.17),(47 202229.5),(48 205995.61),(49 200859.1),(50 198055.72),(51 193825.53),(52 190806.02),(53 195402.22),(54 188623.1),(55 191320.08),(56 193566.83),(57 190360.67),(58 189810.31),(59 193751.94),(60 196618),(61 198824.28),(62 198904.8),(63 204745.55),(64 200907.78),(65 198086.94),(66 197412.42),(67 189285.13),(68 192976.81),(69 192359.88),(70 189905.17),(71 188948.5),(72 189536.16),(73 189665.9),(74 185599.17),(75 187362.69),(76 184991.02),(77 186278.02),(78 184700.98),(79 181283.95),
(1 59867.656),(2 87646.195),(3 84208.36),(4 105172.24),(5 110149.76),(6 108484.805),(7 121207.13),(8 124509.83),(9 126970.24),(10 134460.88),(11 137346.22),(12 134252),(13 134415.22),(14 136484.06),(15 137405.67),(16 136615.11),(17 140456.66),(18 145393.92),(19 145352.13),(20 148029.44),(21 150290.78),(22 150737.72),(23 157456.25),(24 157931.16),(25 158871.06),(26 160441.2),(27 158112.22),(28 163286.44),(29 169210.92),(30 174013.63),(31 179301.92),(32 184655.47),(33 184016.22),(34 187826.55),(35 189391.67),(36 191685.97),(37 193822.67),(38 198401.89),(39 195034.44),(40 196098.56),(41 197830.63),(42 197332.39),(43 198888.63),(44 203994.88),(45 200938.72),(46 201742.7),(47 203260.45),(48 203026.36),(49 200346.28),(50 195181.38),(51 193711.56),(52 191480.56),(53 191514.2),(54 188894.45),(55 192796.2),(56 195978.56),(57 193341.88),(58 192046.56),(59 196811.53),(60 198822.92),(61 198338.73),(62 194916.27),(63 197275.75),(64 196642.84),(65 191962.1),(66 193766.81),(67 185921.11),(68 188809.63),(69 190309.2),(70 186268.08),(71 183825.92),(72 183812.25),(73 181980.88),(74 177686.03),(75 174103.7),(76 174344.19),(77 174587.45),(78 170693.22),(79 166166.81),
(1 59658.234),(2 89328.46),(3 85213.21),(4 104945),(5 112341.37),(6 111047.49),(7 123126.164),(8 126286.04),(9 129285.086),(10 139347.13),(11 142852.27),(12 137630.66),(13 137222.78),(14 139797.86),(15 139625.39),(16 136443.7),(17 138392.83),(18 139957.5),(19 139162.5),(20 142634.13),(21 142442.08),(22 144585.66),(23 148664.83),(24 147680.6),(25 146816.52),(26 147077.17),(27 148536.23),(28 150555.44),(29 152645.33),(30 156119.67),(31 162761.78),(32 165846.97),(33 166566.86),(34 168269.77),(35 168544.72),(36 173449.19),(37 175598.02),(38 177310.67),(39 179565.36),(40 179571.14),(41 181743.83),(42 177738.19),(43 178512.66),(44 182924.1),(45 183940.97),(46 180140.28),(47 185871.9),(48 186275.66),(49 186012.28),(50 185727.8),(51 183023.8),(52 186945.47),(53 188250.52),(54 181985.9),(55 183300.98),(56 189266.25),(57 186905.28),(58 182086.33),(59 190211.13),(60 192161.83),(61 192195.78),(62 190273.89),(63 192145.55),(64 193746.45),(65 190684.56),(66 190878.11),(67 185651.98),(68 183977.81),(69 183925.16),(70 184539.94),(71 183097.88),(72 180243.67),(73 182026.22),(74 179000.39),(75 175914.11),(76 176547.39),(77 178286.39),(78 172881.08),(79 169012.78),
(1 61657.02),(2 92353.3),(3 86228.96),(4 102724.79),(5 112332.15),(6 113491.695),(7 127716.11),(8 131098.77),(9 129952.88),(10 140874.05),(11 145634.97),(12 136284.97),(13 134492.42),(14 140196.8),(15 139269.66),(16 133546.58),(17 135685.22),(18 137934),(19 136492.17),(20 137370.53),(21 139820.69),(22 141403.19),(23 143359.84),(24 144908.53),(25 147863.55),(26 149124.64),(27 148561.42),(28 153248.47),(29 153696.23),(30 154394.1),(31 161872.34),(32 168405.47),(33 167321.05),(34 171177.19),(35 176477.69),(36 177370.61),(37 181747.45),(38 180991.48),(39 178718.84),(40 178708.55),(41 180154.3),(42 178102.06),(43 179271.69),(44 182989.53),(45 183258.88),(46 179133.4),(47 181876.66),(48 189277.94),(49 181919.47),(50 178798.34),(51 178122.3),(52 183451.06),(53 182751.78),(54 182258.17),(55 183136.69),(56 187302.08),(57 185611.4),(58 180884.6),(59 187517.77),(60 192246.97),(61 191749.31),(62 187479.94),(63 188473.5),(64 187190.05),(65 184804.69),(66 184365.56),(67 180037.55),(68 176400.34),(69 175092.81),(70 173994.88),(71 175300.72),(72 170670.08),(73 171453.7),(74 171727.1),(75 166651.05),(76 166674.2),(77 171801.03),(78 167158.06),(79 164726.16),
(1 59282.31),(2 88839.35),(3 83373.625),(4 96781.55),(5 103555.35),(6 107647.55),(7 124426.91),(8 127749.016),(9 125498.54),(10 136622.5),(11 143161.89),(12 134402.11),(13 130344.96),(14 135574.4),(15 135474.98),(16 129836.24),(17 129671.93),(18 131166.88),(19 131273.66),(20 131953.98),(21 131795.23),(22 133083.2),(23 136131.25),(24 137978.02),(25 142099.28),(26 145299.67),(27 144341.47),(28 148358.19),(29 148425.16),(30 148904.64),(31 155378.13),(32 160444.3),(33 156800.14),(34 160037.4),(35 162252.48),(36 164539.67),(37 170418.75),(38 170530.84),(39 165124.28),(40 166894.5),(41 169485.08),(42 166568.66),(43 168918.84),(44 175699.56),(45 172953.23),(46 167641.06),(47 169906.45),(48 174810.6),(49 172998.17),(50 169602.56),(51 173002.67),(52 178188.4),(53 178109.28),(54 179367.98),(55 180206.4),(56 178837.55),(57 177503.56),(58 176698.02),(59 181477.25),(60 189207.45),(61 185099.5),(62 180218.56),(63 181534.36),(64 179671.64),(65 175508.75),(66 174975.45),(67 172144.44),(68 168923.92),(69 168852.31),(70 163033.39),(71 164178.3),(72 161008.95),(73 159622.19),(74 161956.36),(75 159170.9),(76 158431.64),(77 162789.1),(78 157540.94),(79 156667.4),
(1 59803.848),(2 89517.7),(3 86874.94),(4 98271.375),(5 103019.92),(6 105677.74),(7 120782.34),(8 123297.836),(9 118538.08),(10 127323.375),(11 132574.55),(12 126502.195),(13 122969.72),(14 127152.43),(15 128644.4),(16 122572.59),(17 122204.55),(18 124215.69),(19 125284.016),(20 129494.36),(21 129688.805),(22 131438.13),(23 136220.55),(24 138985.2),(25 143269.45),(26 143242.02),(27 142168.36),(28 146473.5),(29 146955.95),(30 147743.94),(31 152318.58),(32 156254.81),(33 155248.95),(34 155201.47),(35 159713.97),(36 166076.89),(37 169681.95),(38 171628.84),(39 165837.8),(40 164542.48),(41 168461.6),(42 165044.39),(43 167549.69),(44 176531.4),(45 175288.7),(46 164679),(47 168160.86),(48 170243.63),(49 166850.56),(50 165765.98),(51 162350),(52 171005.95),(53 170686.48),(54 168827.47),(55 169469.45),(56 169968.58),(57 166883),(58 166542.56),(59 171068.53),(60 175640.88),(61 176242.11),(62 171526.6),(63 170755.3),(64 170515.17),(65 167614.02),(66 168389.05),(67 167117.69),(68 162543.11),(69 162982.02),(70 157871.98),(71 157386.39),(72 155395.44),(73 152279.39),(74 155864.84),(75 153031.33),(76 158053.3),(77 162365.97),(78 157999.83),(79 155004.03),
(1 60337.12),(2 88565.1),(3 84626.67),(4 95991.66),(5 100541),(6 102625.625),(7 115160.52),(8 120789.945),(9 118889.56),(10 124979.75),(11 128946.99),(12 123938.97),(13 121172.81),(14 124112.37),(15 126639.414),(16 123078.87),(17 123384.086),(18 126618.32),(19 129352.52),(20 132004.38),(21 133610.2),(22 133490.11),(23 138367.36),(24 141993.89),(25 146155.34),(26 146337.23),(27 141581.75),(28 144533.39),(29 145698.67),(30 144389.78),(31 148712.7),(32 149758.67),(33 148228.89),(34 148382.45),(35 153239.72),(36 156841.11),(37 167666),(38 165567.52),(39 164419.73),(40 163805.34),(41 167128.02),(42 165737.69),(43 167197.33),(44 173657.5),(45 170701.13),(46 165183.89),(47 166534.86),(48 171318.92),(49 168490.4),(50 167372.84),(51 165319.9),(52 169907.11),(53 173168.44),(54 168879.14),(55 169218.69),(56 169828.86),(57 166510.61),(58 164897.64),(59 168693.6),(60 171771.73),(61 174412.4),(62 172007.83),(63 167792.16),(64 167084.44),(65 163007.42),(66 166604),(67 169265.88),(68 165576.55),(69 164462.27),(70 161780.5),(71 160537.63),(72 158354.84),(73 154121.94),(74 154970.34),(75 152561.16),(76 159706.58),(77 162751.44),(78 158205.44),(79 156030.11),
(1 55244.953),(2 79933.18),(3 77478.66),(4 91633.21),(5 97038.54),(6 98008.87),(7 108265.695),(8 112489.73),(9 111355.35),(10 115200.53),(11 118373.23),(12 118839.16),(13 118496.24),(14 118548.02),(15 118730.76),(16 117846.914),(17 119075.18),(18 120839.8),(19 121629.54),(20 126035.05),(21 128408.734),(22 130031.664),(23 133468.52),(24 135883.7),(25 140087.97),(26 141451.31),(27 136853.42),(28 140991.81),(29 144709.19),(30 140949.47),(31 145232.39),(32 148506.66),(33 143428.83),(34 144230.78),(35 147365.39),(36 147549.36),(37 151342.5),(38 157370.98),(39 155764.53),(40 155636.05),(41 157393.08),(42 155779.69),(43 157842.23),(44 159822.88),(45 160413.36),(46 154372.36),(47 159333.52),(48 159908.02),(49 158382.1),(50 154129.69),(51 160062.55),(52 159936.83),(53 158200.67),(54 160485.16),(55 159542.95),(56 161547.52),(57 158106.19),(58 161369.61),(59 164583.55),(60 165569.95),(61 168874),(62 165617.17),(63 163954.77),(64 163326.4),(65 159664.89),(66 158815.19),(67 162439.9),(68 160014.31),(69 156910.67),(70 155332.34),(71 153645.22),(72 151896.98),(73 148427.64),(74 148715.63),(75 148178.63),(76 153290.31),(77 155318.42),(78 150224.39),(79 149527.06),
(1 52766.895),(2 74795.234),(3 76989.56),(4 91560.15),(5 96880.44),(6 99308.61),(7 109398.336),(8 114331.89),(9 114078.2),(10 119720.47),(11 119339.04),(12 118998.65),(13 120777.57),(14 118562.79),(15 117893.55),(16 117032.89),(17 118376.16),(18 120123.7),(19 118983.96),(20 122353.586),(21 126229.586),(22 128287.15),(23 129413.44),(24 134055.33),(25 138945.27),(26 138726.08),(27 137186.61),(28 141095.66),(29 143813.2),(30 140596.69),(31 142322.06),(32 146240.36),(33 145682.27),(34 146850.31),(35 150669.02),(36 150625.06),(37 152015.9),(38 157138.31),(39 154517.31),(40 157638.88),(41 158816.02),(42 159608.53),(43 158436.94),(44 159554.44),(45 158747.98),(46 153130.08),(47 157774.4),(48 159074.56),(49 157681.38),(50 153535.86),(51 157924.78),(52 158633.33),(53 156627.56),(54 162462.77),(55 165887.47),(56 163040.06),(57 159467.81),(58 163391.83),(59 164080.3),(60 164263.63),(61 164939.7),(62 160775.06),(63 155778.6),(64 153603.13),(65 150537.25),(66 148326.6),(67 150879.36),(68 149546.56),(69 148146.2),(70 144479.16),(71 142718.88),(72 141571.02),(73 136663.06),(74 138629.84),(75 138660.95),(76 145057.06),(77 150312.38),(78 143236.63),(79 140952.66),
(1 49645.344),(2 69215.39),(3 74298.22),(4 88279.266),(5 93610.766),(6 95088.91),(7 102798.38),(8 107183.61),(9 107706.67),(10 112243.44),(11 111741.8),(12 110583.61),(13 114019.85),(14 114416.76),(15 110851.03),(16 109978.91),(17 114198.23),(18 116341.81),(19 114014.12),(20 116729.21),(21 120512.08),(22 122527.09),(23 124265.25),(24 124869.26),(25 126738.52),(26 130077.48),(27 129726.35),(28 132330.84),(29 133777.58),(30 133155.95),(31 133712.9),(32 138457.17),(33 136806.58),(34 136709.25),(35 140617.03),(36 139508.45),(37 140364.56),(38 141963.58),(39 145127.19),(40 145259.5),(41 147931.94),(42 146236.39),(43 147807.6),(44 146668.89),(45 143931.58),(46 142206.48),(47 146617.73),(48 148751.16),(49 148506.53),(50 144086.45),(51 147148.22),(52 147345.05),(53 145703.88),(54 149679.25),(55 151112.06),(56 150689.23),(57 144396.38),(58 150008.89),(59 154328.8),(60 153349.92),(61 152895.39),(62 151609.69),(63 151224.23),(64 148288.83),(65 144773.22),(66 143555.86),(67 142908.33),(68 142072.31),(69 143478.16),(70 139314.53),(71 135834.9),(72 136219.55),(73 132843.02),(74 133830.94),(75 134221.73),(76 138007.08),(77 141202.16),(78 137669.19),(79 133959.48),
(1 51212.91),(2 68649.59),(3 71202.19),(4 86337.83),(5 92995.05),(6 92715.125),(7 98729.266),(8 103967.46),(9 105486.4),(10 110604.16),(11 107374.43),(12 105058.03),(13 108482.24),(14 108155.33),(15 106343.53),(16 105349.97),(17 106133.62),(18 109406.34),(19 111143.55),(20 111762.375),(21 116269.55),(22 119623.37),(23 119672.51),(24 120253.07),(25 122675.98),(26 124200.35),(27 125190.05),(28 127237.49),(29 129707.516),(30 128878.35),(31 131630.48),(32 134829.75),(33 132572.8),(34 131127.58),(35 133142.7),(36 134098.39),(37 134360.03),(38 134446.25),(39 134672.47),(40 138835.48),(41 139702.61),(42 138384.28),(43 139663.73),(44 140138.6),(45 136890.06),(46 136559.16),(47 140393.9),(48 139496.73),(49 137461.73),(50 132375),(51 136735.27),(52 139985.1),(53 138915.8),(54 141446.52),(55 140610.2),(56 140955.03),(57 135779.48),(58 136997.58),(59 144166.45),(60 145198.47),(61 141848),(62 141658.08),(63 143209.78),(64 142008.63),(65 138111.5),(66 135925.31),(67 137254.72),(68 135194.88),(69 137543.44),(70 134718.31),(71 129106.69),(72 127174.92),(73 122328.18),(74 122254.766),(75 123086.37),(76 128007.984),(77 131397.31),(78 126652.664),(79 125950.34),
(1 49869.52),(2 68194.82),(3 70530.555),(4 84088.43),(5 90310.72),(6 91660.25),(7 97276.54),(8 100024.68),(9 100024.734),(10 106957.875),(11 105636.195),(12 101605.53),(13 103894.63),(14 105508.74),(15 105140.016),(16 102794.83),(17 103890.28),(18 107156.76),(19 109945.92),(20 111850.305),(21 114392.16),(22 116613.82),(23 117072.29),(24 116130.305),(25 115485.97),(26 118436.52),(27 121481.71),(28 122528.65),(29 123069.59),(30 123691.56),(31 125372.2),(32 128848.94),(33 126675.56),(34 126680.164),(35 128544.67),(36 127724.18),(37 129327.62),(38 131919.6),(39 130934.81),(40 133245.98),(41 133668.86),(42 133382.97),(43 131945.23),(44 134402.75),(45 134575.44),(46 133320.13),(47 137440.36),(48 138393.56),(49 135874.19),(50 133600.06),(51 136006.2),(52 137334.97),(53 137747.78),(54 141082.7),(55 138975.92),(56 139489.52),(57 135526.94),(58 137306.7),(59 138816.69),(60 144785.08),(61 141827.8),(62 138903.14),(63 139279.08),(64 141390.16),(65 139860.66),(66 133344.34),(67 134594.92),(68 132519.64),(69 134208.66),(70 133383.97),(71 129173.57),(72 128543.55),(73 123027.914),(74 120900.46),(75 122446.125),(76 126026.76),(77 127733.33),(78 122364.6),(79 121035.23),
(1 48107.62),(2 66169.46),(3 70351.38),(4 81393.99),(5 85765.15),(6 90218.36),(7 96877.945),(8 97744.84),(9 96990.87),(10 104022.086),(11 105343.805),(12 102123.08),(13 102720.414),(14 105725.766),(15 106763.805),(16 104537.016),(17 103812.4),(18 105455.47),(19 108950.89),(20 111409.83),(21 111375.34),(22 112468.28),(23 113658.266),(24 116397.36),(25 113634.055),(26 112692.195),(27 117204.64),(28 117366.87),(29 117453.9),(30 119248.97),(31 119744.63),(32 122023.29),(33 120949.13),(34 121292.89),(35 123890.586),(36 122490.164),(37 124210.54),(38 127781.5),(39 129451.734),(40 128800.78),(41 131234.7),(42 129254.1),(43 128048.22),(44 129748.734),(45 131866.44),(46 130480.98),(47 131658.52),(48 136238.94),(49 131109.22),(50 128256.51),(51 131491.55),(52 135998.19),(53 135267.19),(54 138624.25),(55 136551.86),(56 136485.22),(57 135866.16),(58 136137.23),(59 137019.67),(60 140875.67),(61 140900.22),(62 138393.52),(63 136804.22),(64 137360.61),(65 138377.27),(66 133091.7),(67 135246.06),(68 133096.92),(69 132579.77),(70 131776.2),(71 127647.766),(72 126651.07),(73 123735.02),(74 121384.5),(75 122979.195),(76 127917.414),(77 129132.88),(78 124924.195),(79 121950.52),
