1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 254936.38),(2 550396.06),(3 815331.5),(4 1280892.6),(5 1691340),(6 2086037.9),(7 2592260),(8 3079869.3),(9 3596206.8),(10 4163355),(11 4622374),(12 5071284.5),(13 5843417.5),(14 6491488),(15 7106705.5),(16 7980332),(17 8638934),(18 9232326),(19 10138385),(20 10843842),(21 11458765),(22 12096271),(23 12539795),(24 13024437),(25 13557877),(26 14149283),(27 14659564),(28 14959829),(29 15268008),(30 15649663),(31 16108261),(32 16721744),(33 17209806),(34 17732684),(35 18318342),(36 18848568),(37 19311378),(38 19860826),(39 20322674),(40 20692502),(41 21773526),(42 22280630),(43 22655810),(44 23279504),(45 23687622),(46 24070000),(47 24290054),(48 24465042),(49 24662226),(50 24921318),(51 25368166),(52 25738486),(53 26327846),(54 27062422),(55 27630728),(56 28471480),(57 29481958),(58 30265014),(59 31355234),(60 32592874),(61 33505758),(62 34524684),(63 36535950),(64 37890452),(65 39079092),(66 40202852),(67 41253588),(68 42266028),(69 42950140),(70 43790820),(71 44642052),(72 44801876),(73 45368068),(74 45859796),(75 46230028),(76 46576276),(77 46869732),(78 46702944),(79 46561936),
(1 316257.94),(2 660018.06),(3 1047815.1),(4 1745492),(5 2370801.5),(6 3000297.8),(7 3739928.8),(8 4406112.5),(9 5129041.5),(10 5931376),(11 6688494.5),(12 7346653),(13 8311041),(14 9108077),(15 9746962),(16 10632722),(17 11259420),(18 11960043),(19 12953682),(20 13749755),(21 14526886),(22 15440635),(23 16242048),(24 16995578),(25 17745182),(26 18585286),(27 19349352),(28 19900040),(29 20430250),(30 20983880),(31 21259028),(32 21553452),(33 21873556),(34 22062978),(35 22295536),(36 22393684),(37 22307032),(38 22235468),(39 22059854),(40 21780518),(41 21954934),(42 21755404),(43 21517276),(44 21266892),(45 20954460),(46 20614384),(47 20320930),(48 20182008),(49 20131828),(50 20242346),(51 20691038),(52 21211572),(53 21980836),(54 22935452),(55 23800406),(56 24863852),(57 26056538),(58 27129120),(59 28446020),(60 29972484),(61 31259702),(62 32215686),(63 33534148),(64 34532930),(65 35472970),(66 36533324),(67 37406950),(68 38216500),(69 39064544),(70 39887660),(71 40678132),(72 41336664),(73 41965816),(74 42479864),(75 42772040),(76 43032200),(77 43238876),(78 42969460),(79 42665416),
(1 341913.63),(2 723235.94),(3 1115416),(4 1721970.1),(5 2312157),(6 2895458),(7 3533752.8),(8 4098828),(9 4737940.5),(10 5518504),(11 6241556),(12 6864945.5),(13 7687016),(14 8412924),(15 9013923),(16 9724894),(17 10290784),(18 10899851),(19 11723679),(20 12420337),(21 13076207),(22 13863611),(23 14513657),(24 15113691),(25 15726235),(26 16421899),(27 17005900),(28 17523290),(29 18131312),(30 18626586),(31 18619880),(32 18609046),(33 18723294),(34 18665006),(35 18642930),(36 18556432),(37 18375034),(38 18063714),(39 17806616),(40 17462594),(41 17101142),(42 16804232),(43 16457660),(44 16123869),(45 15735243),(46 15309089),(47 14958331),(48 14620945),(49 14260828),(50 13873080),(51 13661237),(52 13643208),(53 13921767),(54 14347120),(55 14698347),(56 15226613),(57 15917152),(58 16509713),(59 17362420),(60 18442970),(61 19343350),(62 20209790),(63 21197896),(64 22040414),(65 22826498),(66 24062362),(67 24930896),(68 25616502),(69 26218950),(70 26901686),(71 27545072),(72 28591800),(73 29280312),(74 29913304),(75 30256058),(76 30574426),(77 30893152),(78 30992742),(79 31155728),
(1 309520.5),(2 662189),(3 1023932.7),(4 1582674.6),(5 2097927.3),(6 2647736.3),(7 3278314.3),(8 3830783),(9 4405947.5),(10 5046098.5),(11 5606349.5),(12 6119130),(13 6856974),(14 7404640),(15 7918272),(16 8590996),(17 9094028),(18 9588413),(19 10193004),(20 10737539),(21 11242757),(22 11629012),(23 12051114),(24 12454464),(25 12813868),(26 13256010),(27 13627125),(28 14066563),(29 14753388),(30 15232619),(31 15690044),(32 16352578),(33 16868074),(34 17278200),(35 17785608),(36 18177298),(37 18430256),(38 18740680),(39 19003944),(40 19153112),(41 19121560),(42 19213992),(43 19274072),(44 18946292),(45 18875814),(46 18799008),(47 18684304),(48 18718410),(49 18693212),(50 18490814),(51 18364514),(52 18293608),(53 18130264),(54 17987670),(55 17878984),(56 17844628),(57 17911912),(58 17924548),(59 17968672),(60 18108508),(61 18126496),(62 18216952),(63 18590314),(64 18685872),(65 18906300),(66 19274292),(67 19487416),(68 19627788),(69 19773282),(70 19875580),(71 20016228),(72 19916398),(73 19973096),(74 20067346),(75 20211502),(76 20442948),(77 20593610),(78 20670300),(79 20813180),
(1 337625.38),(2 720908),(3 1135433.5),(4 1854146.8),(5 2511448.3),(6 3271508),(7 4253881.5),(8 5092023.5),(9 6026500.5),(10 7034894.5),(11 7898214),(12 8753991),(13 10007071),(14 10942392),(15 11841488),(16 13080858),(17 14024983),(18 14880000),(19 15900396),(20 16776647),(21 17587328),(22 18169466),(23 18776942),(24 19357682),(25 19766174),(26 20168194),(27 20523956),(28 20713922),(29 21009398),(30 21251520),(31 21469752),(32 21857986),(33 22132392),(34 22283050),(35 22491058),(36 22601088),(37 22568796),(38 22687738),(39 22663088),(40 22600932),(41 22369542),(42 22194446),(43 22055508),(44 21710382),(45 21474852),(46 21279858),(47 21267000),(48 21283998),(49 21356430),(50 21489412),(51 21733880),(52 21937752),(53 22077592),(54 22312424),(55 22544852),(56 22828382),(57 23249896),(58 23608768),(59 24025640),(60 24565032),(61 24987342),(62 25369314),(63 26054208),(64 26457484),(65 26863544),(66 27491698),(67 27908200),(68 28123538),(69 28581208),(70 28792536),(71 29011358),(72 29492236),(73 29747874),(74 30018776),(75 30530874),(76 31254028),(77 31748864),(78 32272622),(79 32896354),
(1 333782.13),(2 713497),(3 1153822.4),(4 1951448),(5 2623626),(6 3337704.5),(7 4155332),(8 4907139.5),(9 5677843.5),(10 6410155),(11 6970715),(12 7543457.5),(13 8344200),(14 8900242),(15 9395016),(16 10118294),(17 10593018),(18 10947580),(19 11461954),(20 11859434),(21 12222946),(22 12549790),(23 12796724),(24 13009518),(25 13184331),(26 13411294),(27 13555587),(28 13802517),(29 14133421),(30 14336291),(31 14737162),(32 15293555),(33 15658062),(34 15950374),(35 16357613),(36 16726379),(37 17002736),(38 17342928),(39 17659746),(40 17927190),(41 17726672),(42 17797764),(43 17884580),(44 17547160),(45 17382772),(46 17246176),(47 17165096),(48 17056382),(49 16942596),(50 16779574),(51 16726480),(52 16594203),(53 16483298),(54 16559798),(55 16536426),(56 16530733),(57 16664973),(58 16706349),(59 16890140),(60 17119082),(61 17184938),(62 17351542),(63 17637302),(64 17761764),(65 18027922),(66 18500864),(67 18775360),(68 19030276),(69 19380912),(70 19620446),(71 19858142),(72 20397252),(73 20678268),(74 20938268),(75 21314212),(76 21850028),(77 22229744),(78 22765492),(79 23453684),
(1 311468.2),(2 664054.56),(3 1092266.8),(4 1821286.8),(5 2433474.5),(6 3075931),(7 3750265.8),(8 4340527),(9 4915596.5),(10 5464916.5),(11 5896323),(12 6305893),(13 6823723),(14 7245455),(15 7599021.5),(16 8029072),(17 8402688),(18 8743127),(19 9122039),(20 9496070),(21 9847682),(22 10135454),(23 10372389),(24 10566107),(25 10678938),(26 10804455),(27 10877051),(28 11009408),(29 11165669),(30 11225025),(31 11202122),(32 11221141),(33 11197964),(34 11322066),(35 11566606),(36 11677321),(37 11778927),(38 11991462),(39 12188521),(40 12372289),(41 12497022),(42 12721028),(43 12943180),(44 12987532),(45 13171962),(46 13388325),(47 13812268),(48 14082697),(49 14320225),(50 14545513),(51 14857706),(52 15102411),(53 15297569),(54 15591857),(55 15795541),(56 16068988),(57 16508041),(58 16760700),(59 17155662),(60 17639108),(61 17984284),(62 18342696),(63 18637282),(64 18904366),(65 19269566),(66 19585180),(67 19881440),(68 20122546),(69 20455542),(70 20686454),(71 20908310),(72 21020096),(73 21181058),(74 21350772),(75 21511886),(76 21790114),(77 21973006),(78 22178524),(79 22446846),
(1 273114.9),(2 586473.4),(3 891934.94),(4 1358241.4),(5 1752498.4),(6 2223392.3),(7 2752803.8),(8 3175265.8),(9 3681712.8),(10 4230715.5),(11 4665447),(12 5047553),(13 5731478.5),(14 6200379),(15 6607115.5),(16 7009967.5),(17 7401088.5),(18 7766735),(19 8197428.5),(20 8517821),(21 8839182),(22 9171484),(23 9429028),(24 9675285),(25 9869749),(26 10071755),(27 10236051),(28 10368515),(29 10548055),(30 10666917),(31 10676532),(32 10731231),(33 10766967),(34 10728352),(35 10711236),(36 10657517),(37 10636250),(38 10731350),(39 10770182),(40 10797472),(41 10853429),(42 10898379),(43 10943892),(44 10852713),(45 10816282),(46 10776431),(47 10765908),(48 10768874),(49 10776109),(50 10776869),(51 10798869),(52 10800894),(53 10888245),(54 11050455),(55 11099079),(56 11142786),(57 11249323),(58 11310532),(59 11237363),(60 11172022),(61 11093197),(62 11047313),(63 11159996),(64 11124434),(65 11183165),(66 11376366),(67 11477969),(68 11624215),(69 11711092),(70 11869189),(71 12028523),(72 12233108),(73 12418006),(74 12597028),(75 12792288),(76 13088458),(77 13311125),(78 13515577),(79 13861611),
(1 281147.3),(2 607499.3),(3 917732.25),(4 1324971.6),(5 1633163.9),(6 1999314.6),(7 2416403),(8 2763552),(9 3195794),(10 3686100.3),(11 4051262),(12 4382717.5),(13 5084679),(14 5479849.5),(15 5834829),(16 6363248.5),(17 6771752.5),(18 7158979.5),(19 7643484),(20 7966702),(21 8272902.5),(22 8590927),(23 8880369),(24 9167063),(25 9424408),(26 9706875),(27 9956779),(28 10194349),(29 10491622),(30 10720883),(31 10917019),(32 11257832),(33 11545613),(34 11645898),(35 11758815),(36 11905633),(37 12001997),(38 12065547),(39 12196463),(40 12270280),(41 12292184),(42 12410576),(43 12506254),(44 12430246),(45 12420303),(46 12403089),(47 12395616),(48 12360650),(49 12325084),(50 12294667),(51 12273656),(52 12234660),(53 12192580),(54 12198654),(55 12194811),(56 12186313),(57 12210530),(58 12230222),(59 12265222),(60 12365814),(61 12442487),(62 12520964),(63 12673143),(64 12734335),(65 12817629),(66 13125275),(67 13263247),(68 13428557),(69 13768386),(70 14008632),(71 14246208),(72 14602967),(73 14887857),(74 15158288),(75 15394429),(76 15704102),(77 15957655),(78 16141193),(79 16383678),
(1 294240.9),(2 631460.1),(3 958864.44),(4 1379053.4),(5 1723373.8),(6 2077400.5),(7 2453071.3),(8 2778214.3),(9 3077566),(10 3396153),(11 3655698),(12 3877067.5),(13 4194112),(14 4423400),(15 4623190.5),(16 4923726),(17 5176623),(18 5378710.5),(19 5706228.5),(20 5955040.5),(21 6193629),(22 6465142),(23 6720610.5),(24 6949075.5),(25 7152527.5),(26 7420818.5),(27 7634026.5),(28 7810115.5),(29 8009295),(30 8165608),(31 8201886),(32 8295914.5),(33 8384778.5),(34 8432336),(35 8548150),(36 8645157),(37 8738297),(38 8993657),(39 9147813),(40 9267986),(41 9323720),(42 9399019),(43 9447726),(44 9354963),(45 9281499),(46 9195926),(47 9076468),(48 8986496),(49 8900708),(50 8806412),(51 8701202),(52 8622145),(53 8578919),(54 8574332),(55 8581508),(56 8572118),(57 8640687),(58 8701022),(59 8765583),(60 8898366),(61 8970924),(62 9035226),(63 9136925),(64 9211861),(65 9299524),(66 9402780),(67 9507716),(68 9633785),(69 9789740),(70 9901305),(71 10000115),(72 10237464),(73 10316635),(74 10387844),(75 10497438),(76 10667323),(77 10763500),(78 10904501),(79 11100961),
(1 281954.6),(2 611632.94),(3 948750),(4 1368056.5),(5 1710382.9),(6 2106722),(7 2550694.5),(8 2907633),(9 3270344.8),(10 3697025.3),(11 4045340.8),(12 4382564.5),(13 4918205.5),(14 5273461.5),(15 5617958),(16 6094884),(17 6461452.5),(18 6804391.5),(19 7188822),(20 7535978.5),(21 7875226),(22 8041097.5),(23 8275603),(24 8493546),(25 8644097),(26 8783418),(27 8903354),(28 9006820),(29 9096795),(30 9134592),(31 9186310),(32 9292816),(33 9318013),(34 9299561),(35 9313112),(36 9307618),(37 9288824),(38 9356913),(39 9385704),(40 9419287),(41 9408697),(42 9418295),(43 9462597),(44 9571287),(45 9615562),(46 9672239),(47 9696573),(48 9758292),(49 9830359),(50 9888913),(51 9966120),(52 10014510),(53 10028083),(54 10076516),(55 10104850),(56 10133282),(57 10244655),(58 10301079),(59 10350343),(60 10427629),(61 10439727),(62 10438872),(63 10464271),(64 10469138),(65 10467770),(66 10538664),(67 10588796),(68 10634984),(69 10692417),(70 10754278),(71 10824852),(72 10901741),(73 10932243),(74 10961854),(75 10996307),(76 11070106),(77 11128515),(78 11201086),(79 11331855),
