1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 937675.8),(2 2782657.8),(3 5281310.5),(4 8314009.5),(5 11209989),(6 13452648),(7 15529197),(8 17336552),(9 18786194),(10 19604090),(11 20062642),(12 20240030),(13 19904744),(14 19270646),(15 18455626),(16 17578426),(17 16651984),(18 15647480),(19 14804035),(20 14093137),(21 13873875),(22 13670284),(23 13961765),(24 14354680),(25 14380597),(26 14530096),(27 14719739),(28 15214777),(29 15606221),(30 15954779),(31 15941252),(32 15646732),(33 15199203),(34 14241017),(35 13102152),(36 12066355),(37 11371581),(38 10718094),(39 10282987),(40 9787121),(41 9275332),(42 8819897),(43 8602854),(44 8687049),(45 8926673),(46 9256353),(47 9771103),(48 10314099),(49 10818155),(50 11138837),(51 11224732),(52 11084370),(53 10758219),(54 10188361),(55 9565688),(56 9010492),(57 8599124),(58 8181196),(59 7814014),(60 7516042.5),(61 7297064),(62 7156885.5),(63 7203082.5),(64 7376068),(65 7649284),(66 7816595.5),(67 7898716),(68 7821515.5),(69 7735976),(70 7686212),(71 7713862.5),(72 7790782.5),(73 7881603.5),(74 7997510),(75 8119367.5),(76 8230346.5),(77 8238157.5),(78 8328942.5),(79 8423533),
(1 753679),(2 2318115),(3 4417533),(4 7180358.5),(5 10014077),(6 12554506),(7 15151869),(8 17848604),(9 19780746),(10 20805740),(11 21544620),(12 21327382),(13 20608608),(14 19841164),(15 18872358),(16 17766282),(17 16102619),(18 14435312),(19 12812603),(20 11543579),(21 10978579),(22 11136395),(23 12475598),(24 14372189),(25 16463344),(26 18594028),(27 20861624),(28 23008884),(29 24477296),(30 25306074),(31 25379948),(32 24787628),(33 23445610),(34 21416106),(35 18804986),(36 16217438),(37 13827373),(38 11749795),(39 10165742),(40 9133092),(41 8684802),(42 8891106),(43 9923861),(44 11180149),(45 12628381),(46 13642512),(47 14521827),(48 14993350),(49 14960894),(50 14650669),(51 13927085),(52 13021208),(53 12045439),(54 11047173),(55 10178618),(56 9600047),(57 9297429),(58 9104520),(59 9071144),(60 9207061),(61 9377630),(62 9645706),(63 9918293),(64 10099098),(65 10197849),(66 10090632),(67 9934026),(68 9734018),(69 9563262),(70 9471526),(71 9412932),(72 9391146),(73 9399993),(74 9390789),(75 9410467),(76 9466927),(77 9498605),(78 9573203),(79 9622104),
(1 796571),(2 2359677.8),(3 4412136),(4 6950428),(5 9001049),(6 10472115),(7 11870307),(8 13089576),(9 14422029),(10 15311821),(11 16075928),(12 16261547),(13 16409088),(14 16517893),(15 16982176),(16 17640418),(17 18290150),(18 18750206),(19 19229518),(20 19632276),(21 19593738),(22 19537320),(23 19379694),(24 19565452),(25 19577196),(26 19922470),(27 20742610),(28 21818346),(29 22946070),(30 23730688),(31 24497174),(32 24881018),(33 24934758),(34 23921162),(35 22034800),(36 19843620),(37 17126284),(38 14801920),(39 12799353),(40 11375408),(41 10451588),(42 10154808),(43 10431411),(44 11088773),(45 11755549),(46 12436839),(47 13095913),(48 13501005),(49 13556357),(50 13236381),(51 12750539),(52 12163973),(53 11400593),(54 10551797),(55 9715332),(56 9051557),(57 8510408),(58 8283000),(59 8331336),(60 8666339),(61 9170356),(62 9673840),(63 10086609),(64 10300921),(65 10415968),(66 10503757),(67 10658505),(68 10845154),(69 11048791),(70 11167797),(71 11292484),(72 11391237),(73 11466183),(74 11547752),(75 11598745),(76 11589648),(77 11580576),(78 11593803),(79 11618113),
(1 1159345.1),(2 3261959),(3 5786495),(4 7938370),(5 8941794),(6 9277029),(7 9681769),(8 10435244),(9 12128384),(10 13535842),(11 14815132),(12 15053150),(13 14394661),(14 13643963),(15 13063164),(16 13132593),(17 14100762),(18 15308793),(19 16648562),(20 17294338),(21 17017262),(22 16282308),(23 15564841),(24 15526144),(25 15995925),(26 16687332),(27 17473074),(28 18145668),(29 18403264),(30 18608524),(31 18820302),(32 19085720),(33 19387730),(34 19071464),(35 18196120),(36 16973944),(37 15391833),(38 13981954),(39 12718147),(40 11761825),(41 11002473),(42 10514617),(43 10375112),(44 10569573),(45 10995983),(46 11518775),(47 12068314),(48 12373292),(49 12289399),(50 12001476),(51 11605375),(52 11250836),(53 10828863),(54 10378068),(55 9964997),(56 9576987),(57 9194318),(58 8983701),(59 8902021),(60 8928629),(61 9006782),(62 8984230),(63 8932386),(64 8855639),(65 8729263),(66 8660073),(67 8614139),(68 8620564),(69 8643877),(70 8687225),(71 8755308),(72 8790824),(73 8815156),(74 8859982),(75 8897602),(76 8898369),(77 8877115),(78 8859372),(79 8848334),
(1 1005285.06),(2 2751005),(3 4796681.5),(4 6611360.5),(5 7503616),(6 8038691),(7 8652371),(8 9441696),(9 10583686),(10 11499119),(11 12355293),(12 12700957),(13 12532730),(14 12135183),(15 11669599),(16 11740355),(17 12396671),(18 13141654),(19 13864874),(20 14149744),(21 13992829),(22 13485412),(23 13029315),(24 13039823),(25 13584653),(26 14234383),(27 15165631),(28 15936576),(29 16330307),(30 16413191),(31 16339276),(32 16334557),(33 16304468),(34 15954580),(35 15315270),(36 14501293),(37 13376820),(38 12020690),(39 10780308),(40 9919231),(41 9554263),(42 9378124),(43 9532247),(44 9881442),(45 10365693),(46 10535767),(47 10683527),(48 10662180),(49 10474963),(50 10226165),(51 9917178),(52 9626083),(53 9241200),(54 8915279),(55 8708148),(56 8583705),(57 8446975),(58 8414813),(59 8455162),(60 8488354),(61 8522179),(62 8411350),(63 8317038.5),(64 8211777.5),(65 8088862.5),(66 8015872.5),(67 7945718),(68 7862077),(69 7725719.5),(70 7643169.5),(71 7634228.5),(72 7637681.5),(73 7582943.5),(74 7529355),(75 7497748.5),(76 7492658),(77 7474350),(78 7482056.5),(79 7487455.5),
(1 937569.3),(2 2384392.3),(3 3999680),(4 5472717.5),(5 6733418.5),(6 7821357),(7 8882974),(8 9803450),(9 10393586),(10 10940205),(11 11610893),(12 12107634),(13 12242846),(14 12048894),(15 11845213),(16 11972067),(17 12198886),(18 12391439),(19 12518278),(20 12463008),(21 12076028),(22 11640005),(23 11384045),(24 11459907),(25 11892830),(26 12383696),(27 13095482),(28 13676509),(29 14157782),(30 14296291),(31 14348280),(32 14272214),(33 13955435),(34 13205458),(35 12346662),(36 11531312),(37 10657131),(38 9636786),(39 8479032),(40 7572365.5),(41 6975437),(42 6784078.5),(43 6975338.5),(44 7364721.5),(45 7879374.5),(46 8167301),(47 8497776),(48 8713099),(49 8870150),(50 8905102),(51 8974501),(52 8975413),(53 8890759),(54 8818334),(55 8647555),(56 8392939),(57 8045981),(58 7873095),(59 7838229.5),(60 7866392),(61 7902133.5),(62 7884393),(63 7883686.5),(64 7876949.5),(65 7785221),(66 7688788),(67 7622777.5),(68 7599446.5),(69 7521853),(70 7384261.5),(71 7290685),(72 7235392),(73 7188609.5),(74 7152822.5),(75 7130942.5),(76 7104618.5),(77 7044630.5),(78 6988045),(79 6947677),
(1 823249.4),(2 2053650.3),(3 3374047.5),(4 4594344.5),(5 5636424),(6 6397285),(7 7137830),(8 7762066),(9 8336311),(10 8741402),(11 9093053),(12 9273323),(13 9305240),(14 9180314),(15 9078966),(16 9159257),(17 9363748),(18 9613063),(19 9965372),(20 10029459),(21 9641238),(22 9153065),(23 8773577),(24 8709710),(25 8864516),(26 9163129),(27 9587866),(28 9856817),(29 9938375),(30 9816530),(31 9659214),(32 9439221),(33 9125799),(34 8686034),(35 8255593),(36 7825073),(37 7276601),(38 6634610.5),(39 5913298),(40 5364673),(41 5096700.5),(42 5092180),(43 5349979.5),(44 5742104),(45 6121261),(46 6410375),(47 6779784),(48 7033291.5),(49 7029279.5),(50 6921079.5),(51 6921061.5),(52 6927990),(53 6791272),(54 6677941),(55 6570978),(56 6443858),(57 6251907.5),(58 6146399.5),(59 6090913),(60 6034098),(61 6037427.5),(62 5967248),(63 5923240),(64 5884729),(65 5812378),(66 5703965),(67 5616152.5),(68 5533503.5),(69 5413657),(70 5348754),(71 5338312.5),(72 5312315.5),(73 5214302),(74 5179865),(75 5152556.5),(76 5132619.5),(77 5140654),(78 5151662.5),(79 5183449),
(1 840929.9),(2 1934448.3),(3 3069137),(4 4255033.5),(5 5554427.5),(6 6339942),(7 7007783),(8 7619972.5),(9 8102233),(10 8293622),(11 8475861),(12 8631196),(13 8521876),(14 8170338),(15 7840147),(16 7691270.5),(17 7582422),(18 7606914),(19 7684480),(20 7692999.5),(21 7620365.5),(22 7503230),(23 7427064),(24 7466425.5),(25 7673811),(26 7951743.5),(27 8350404.5),(28 8630614),(29 8634711),(30 8477622),(31 8320064),(32 8099365.5),(33 7755627.5),(34 7214335),(35 6676046),(36 6151434.5),(37 5614665.5),(38 5066594),(39 4522475.5),(40 4173384.3),(41 4091377.3),(42 4209183),(43 4505167.5),(44 4917792),(45 5316660.5),(46 5606410.5),(47 5948666.5),(48 6281365.5),(49 6501305.5),(50 6424121),(51 6378198.5),(52 6360557.5),(53 6278550.5),(54 6210483),(55 6160865.5),(56 6082624),(57 5939012.5),(58 5773798.5),(59 5647093),(60 5509417),(61 5405248),(62 5326773.5),(63 5322623.5),(64 5331630),(65 5324158.5),(66 5227336),(67 5131179),(68 5062039),(69 5023985.5),(70 4949689.5),(71 4955630.5),(72 5018747),(73 5039513.5),(74 5075036.5),(75 5092847.5),(76 5085565.5),(77 5111875),(78 5103260.5),(79 5095921),
(1 785296.9),(2 1698394),(3 2680662.5),(4 3568054.8),(5 4770464.5),(6 5617197),(7 6351401),(8 6899684.5),(9 7294938),(10 7510239),(11 7630138.5),(12 7626047),(13 7519027),(14 7249519),(15 6957105),(16 6793280),(17 6585801),(18 6424252),(19 6354964.5),(20 6336292.5),(21 6340332.5),(22 6358580),(23 6405869),(24 6459421),(25 6631323.5),(26 6833510.5),(27 7067892.5),(28 7244052),(29 7300820.5),(30 7163103),(31 6965460),(32 6734226.5),(33 6510984),(34 6068731.5),(35 5633140.5),(36 5263576),(37 4840795),(38 4341525),(39 3907419.8),(40 3659168),(41 3596494.8),(42 3520639.3),(43 3600165.3),(44 3885088),(45 4214810.5),(46 4375614),(47 4592458),(48 4852037),(49 5209870),(50 5353057),(51 5501449.5),(52 5631734.5),(53 5651125.5),(54 5737215),(55 5807866),(56 5763113),(57 5598598),(58 5383234.5),(59 5176305),(60 4934180.5),(61 4670642),(62 4484065),(63 4421792),(64 4386079),(65 4286615),(66 4114729),(67 4013946),(68 3975320),(69 3972416.5),(70 3938942.8),(71 3983576.5),(72 4080634),(73 4140354),(74 4206918.5),(75 4284225.5),(76 4344888.5),(77 4385564.5),(78 4369276.5),(79 4364141.5),
(1 832682.7),(2 1591971.6),(3 2353763),(4 3103953),(5 4077515.5),(6 4716096.5),(7 5239216),(8 5546007),(9 5797919),(10 5887333.5),(11 5900763),(12 5714870.5),(13 5619033),(14 5470534),(15 5390975),(16 5342937),(17 5238487),(18 5184854.5),(19 5180133),(20 5119902),(21 5225800.5),(22 5228998.5),(23 5245698.5),(24 5260264.5),(25 5292046),(26 5326895),(27 5436101.5),(28 5575505.5),(29 5629747),(30 5609038),(31 5559950),(32 5454725.5),(33 5282173.5),(34 5014638),(35 4668228.5),(36 4321080.5),(37 3990420),(38 3740107.5),(39 3571291.3),(40 3458662.3),(41 3490649),(42 3577793.5),(43 3800421.3),(44 4101145.3),(45 4265839),(46 4407287),(47 4602974),(48 4763434.5),(49 4851892),(50 4846466),(51 4809609),(52 4695735),(53 4480720),(54 4449249.5),(55 4501158),(56 4553428),(57 4548008),(58 4507431.5),(59 4430271.5),(60 4258596.5),(61 4014356.5),(62 3847005.8),(63 3737849),(64 3628921.8),(65 3476924.8),(66 3302186.3),(67 3181854.3),(68 3113309),(69 3093123),(70 3090090.3),(71 3149435.3),(72 3254362.3),(73 3332941.3),(74 3403610.8),(75 3471433.3),(76 3507241.3),(77 3515663.3),(78 3520429.8),(79 3527797.3),
(1 892572.1),(2 1548811.8),(3 2286074.5),(4 3258838.5),(5 3987115.3),(6 4698298.5),(7 5304076),(8 5413694.5),(9 5665487.5),(10 5578348.5),(11 5412729.5),(12 5123536),(13 4826874.5),(14 4516473),(15 4279167.5),(16 4065884.3),(17 4226541),(18 4148816.5),(19 4180613.3),(20 4367680),(21 4636935.5),(22 4706634.5),(23 4866630),(24 5019969.5),(25 5033706.5),(26 5018931),(27 5044562),(28 5056542.5),(29 5003525.5),(30 4884593.5),(31 4792484),(32 4720468),(33 4479221.5),(34 4247574),(35 3950445.8),(36 3648659.8),(37 3204257.3),(38 2977094.8),(39 2949586.3),(40 3006079.3),(41 2933924.8),(42 3043221.8),(43 3345248.3),(44 3704844.3),(45 3905617),(46 4089646.5),(47 4346320.5),(48 4518696.5),(49 4467803.5),(50 4388921),(51 4360789),(52 4311897),(53 4157243.8),(54 4094403.8),(55 4084853.8),(56 4070728.5),(57 3959333.8),(58 3863689.8),(59 3738082),(60 3542192.3),(61 3298383),(62 3183953.5),(63 3135918),(64 3106282),(65 3052101.3),(66 2976826),(67 2931867),(68 2904486),(69 2890027.3),(70 2934885.3),(71 3008844.8),(72 3079674),(73 3108835),(74 3128250.8),(75 3147692.3),(76 3160077.3),(77 3147403.3),(78 3123081.3),(79 3099456.8),
