1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 56858.176),(2 162035.13),(3 216122.2),(4 220472.14),(5 234726.89),(6 266265.25),(7 288467.1),(8 288360.25),(9 284692.3),(10 295228.3),(11 311599.1),(12 319536.66),(13 326846.38),(14 335933.16),(15 340347.22),(16 339120.78),(17 336748.7),(18 340961.78),(19 346516.5),(20 353851.72),(21 363922.9),(22 362808.5),(23 353870.72),(24 350883.16),(25 357901.25),(26 362709.25),(27 361789.7),(28 363062.7),(29 369539.6),(30 372407.63),(31 370776.16),(32 375636.1),(33 387057.1),(34 392834.84),(35 389379.1),(36 386587.1),(37 392203.03),(38 401794.7),(39 403768.9),(40 397002.22),(41 391257),(42 393186.06),(43 402510.9),(44 407310.28),(45 404282.9),(46 404330.7),(47 410027.25),(48 414682.16),(49 414961.63),(50 412518.3),(51 412896.6),(52 416657.88),(53 417487.3),(54 418147.03),(55 420571.3),(56 422637.2),(57 429407.2),(58 436668.7),(59 432434),(60 431470.6),(61 443196),(62 450163.06),(63 449565.2),(64 448974.13),(65 439920.9),(66 427458.47),(67 426302.25),(68 431525.25),(69 434800.3),(70 438241.5),(71 437140.53),(72 437880.97),(73 441996.78),(74 437844.88),(75 429234.66),(76 420053.4),(77 415957.03),(78 421827.63),(79 424631.1),
(1 51577.344),(2 150074.97),(3 209426.84),(4 222876.23),(5 236631.55),(6 261078.28),(7 274955.72),(8 265931.5),(9 258170.64),(10 269375.8),(11 282578.3),(12 286231.78),(13 287575.97),(14 298738.06),(15 311389.47),(16 310346.8),(17 305510.03),(18 304373.4),(19 307412.5),(20 308783.13),(21 309871.94),(22 310000.13),(23 308795),(24 305400.06),(25 303456.6),(26 304185.7),(27 304327.4),(28 305524.5),(29 309736.7),(30 315128.7),(31 317407.3),(32 317990.7),(33 319197.34),(34 317960.1),(35 315765.94),(36 322340.22),(37 337183.16),(38 349024.6),(39 352281.53),(40 351170.63),(41 351579.16),(42 356392.03),(43 359338.06),(44 357162.9),(45 356285),(46 359616),(47 362549.75),(48 362560.8),(49 359703.6),(50 360386.06),(51 365675.56),(52 368672.47),(53 365286.03),(54 362473.63),(55 368016.28),(56 372560.28),(57 369430.3),(58 365763.2),(59 363692.53),(60 362628.44),(61 360612.84),(62 360874.28),(63 361730.2),(64 359132.1),(65 356206.94),(66 356290.1),(67 356328.47),(68 359445.97),(69 360017.97),(70 353928),(71 345369.4),(72 343450.72),(73 349915.97),(74 342882.53),(75 335126.66),(76 332629.56),(77 333865.47),(78 344473.13),(79 349613.06),
(1 48796.83),(2 138222.67),(3 187066.22),(4 198250.52),(5 215370),(6 236267.27),(7 243743.36),(8 242611.75),(9 246172.3),(10 256114.56),(11 268494.47),(12 276839.34),(13 278935.94),(14 284649.44),(15 293314.88),(16 294109.94),(17 283309.9),(18 278076.88),(19 281609.72),(20 283630.2),(21 286744.84),(22 292277.6),(23 295400.9),(24 293301.53),(25 289965.88),(26 290487.56),(27 291738),(28 290953.97),(29 295544.16),(30 303291.97),(31 310759.94),(32 315012.2),(33 313156.75),(34 311679.94),(35 317134.6),(36 323236.5),(37 324668.7),(38 323883.34),(39 326887.72),(40 328005.16),(41 325752.5),(42 329749.6),(43 337093.44),(44 340289.8),(45 344436.94),(46 352634.53),(47 358658.63),(48 358881.66),(49 359693.13),(50 363291.4),(51 369749.34),(52 374501.1),(53 371598.34),(54 366213.53),(55 367160.53),(56 368575.34),(57 366783.2),(58 361630.25),(59 359514.53),(60 365754),(61 370699.03),(62 368940.94),(63 367683.13),(64 368843.34),(65 373085.16),(66 377205.7),(67 374993.94),(68 368891.94),(69 367875.9),(70 373788.06),(71 377295.6),(72 382441.38),(73 376701.22),(74 370375.84),(75 370497.34),(76 364946.47),(77 363948.38),(78 367874.06),(79 373528.06),
(1 47531.426),(2 129021.875),(3 167996.38),(4 177544.22),(5 199025.28),(6 222756.83),(7 232350.72),(8 236073.47),(9 245583.95),(10 255762.45),(11 258817.55),(12 259647.22),(13 268878.63),(14 280127.4),(15 282843.1),(16 275952.03),(17 271568.66),(18 272714.28),(19 271946.84),(20 269360.22),(21 272159.56),(22 275242.03),(23 274349.84),(24 270756.5),(25 267787.78),(26 271882.25),(27 278827.16),(28 282766.66),(29 285287.97),(30 290466.44),(31 294948.5),(32 295868.13),(33 297939.84),(34 301949.34),(35 308075.75),(36 313054.56),(37 318339.1),(38 324915.72),(39 327915.78),(40 325103.78),(41 321959.47),(42 324647.28),(43 328120.72),(44 330604.1),(45 333636.56),(46 332071.13),(47 334575.97),(48 343459.5),(49 351181.56),(50 351789.38),(51 351493.44),(52 354143.7),(53 355749.94),(54 357698.03),(55 360250.06),(56 362658.9),(57 366140.56),(58 365736.7),(59 360295),(60 358136.25),(61 363506.66),(62 370815.1),(63 372857.13),(64 372246.75),(65 373061.97),(66 376738.7),(67 380103.53),(68 377428.75),(69 374106.28),(70 370850.28),(71 371054.4),(72 371608.9),(73 359478.25),(74 349485.8),(75 350436.03),(76 354940.9),(77 360067.44),(78 358229.44),(79 356686.7),
(1 51376.082),(2 136012.83),(3 173525.28),(4 177826.17),(5 194199.3),(6 216266.05),(7 224435.69),(8 226624.22),(9 236288.27),(10 250612.53),(11 256149.86),(12 255149.03),(13 260855.33),(14 274039.38),(15 279732.8),(16 277768.13),(17 282124.34),(18 290461.2),(19 295617.75),(20 292096.56),(21 293400.47),(22 299939.94),(23 300637.9),(24 295462.34),(25 291977.63),(26 294143.34),(27 294790.47),(28 292464.94),(29 291529.13),(30 295288.56),(31 299926),(32 304441.75),(33 311110.34),(34 312480),(35 313759.56),(36 318674.6),(37 323952.06),(38 328950.8),(39 334411.2),(40 334293.34),(41 329942.34),(42 331724.34),(43 339018.75),(44 342564.72),(45 345073.47),(46 351827.4),(47 360015.34),(48 366868.63),(49 371813.88),(50 370409.25),(51 364701.13),(52 360853.47),(53 356789.84),(54 354698.66),(55 354427.34),(56 353068.97),(57 348024.28),(58 342186.56),(59 344451.84),(60 348608.5),(61 346540.75),(62 344950.34),(63 347179.44),(64 348278.1),(65 348193.53),(66 347685.44),(67 345720.2),(68 342920.9),(69 334690.66),(70 329214.06),(71 331312.16),(72 338757.4),(73 342106.44),(74 343748.44),(75 349922.7),(76 359614.38),(77 365113.7),(78 362632.28),(79 359651.06),
(1 51204.06),(2 136094.84),(3 169010.39),(4 173650.75),(5 195581.31),(6 214579.48),(7 210956.39),(8 207355.75),(9 221364.08),(10 237834.44),(11 241857.8),(12 239389.44),(13 246498.39),(14 260973.44),(15 264386.13),(16 262898.53),(17 265947.1),(18 272843.2),(19 273879.72),(20 273051.88),(21 278254.4),(22 288417.97),(23 294148.78),(24 297213.13),(25 297381.63),(26 295149.34),(27 295006.1),(28 302016.72),(29 304232.9),(30 300509.03),(31 299908.1),(32 303902.63),(33 309041.88),(34 311891.13),(35 316859.1),(36 327663.3),(37 335205.8),(38 334476.25),(39 332172.06),(40 330665.16),(41 326563.88),(42 322530.28),(43 325746.2),(44 333580.78),(45 335067.56),(46 336100.25),(47 337847.13),(48 335268.78),(49 330340.16),(50 329770.06),(51 334027.8),(52 337030.78),(53 339610.38),(54 345803.56),(55 352569.94),(56 354281.2),(57 355170.8),(58 353986.75),(59 352203.34),(60 353604.03),(61 351663.72),(62 346148.4),(63 349024.06),(64 355751.56),(65 355042.66),(66 349812.5),(67 349432.13),(68 354940.06),(69 355598.3),(70 356129),(71 358952.2),(72 361908.88),(73 352343.3),(74 348447.5),(75 357081.75),(76 363443.34),(77 360979.25),(78 356004.1),(79 348823.22),
(1 53785.035),(2 140937.8),(3 170750.8),(4 166846.39),(5 182673.9),(6 202668.45),(7 201565.98),(8 198940.73),(9 210916.1),(10 223132.2),(11 225067.6),(12 228955.89),(13 239598.2),(14 248316.73),(15 248353.66),(16 242853.08),(17 244906.72),(18 253637.13),(19 258561.8),(20 260370.25),(21 263497.94),(22 270951.28),(23 275116.97),(24 273396.1),(25 276583.8),(26 282712.44),(27 282739.8),(28 283529.44),(29 285027.1),(30 280187.3),(31 272871.7),(32 268703.25),(33 267570.13),(34 271151.94),(35 278809.94),(36 287911.53),(37 288590.16),(38 286630.25),(39 285990.13),(40 283741.97),(41 277061.75),(42 275746.03),(43 283547.63),(44 289732.5),(45 293271.3),(46 295911.3),(47 297575.5),(48 294789.28),(49 293629.78),(50 296031.53),(51 296450.6),(52 294640.88),(53 297239.6),(54 307421.28),(55 313612.22),(56 306915.5),(57 299289.7),(58 299284.38),(59 301362.97),(60 299641.44),(61 298338.56),(62 302783),(63 309388.2),(64 311135.1),(65 310275.63),(66 314149),(67 318021.94),(68 313204.63),(69 309571.8),(70 312969.06),(71 320709.3),(72 323586.1),(73 318759.7),(74 315230.94),(75 316079),(76 314625.94),(77 312401.6),(78 311002.8),(79 312182.63),
(1 49974.637),(2 125856.52),(3 147701.73),(4 144593.11),(5 158374.05),(6 175083.2),(7 175247.86),(8 176111.86),(9 189701.48),(10 203209.9),(11 203168.6),(12 201097.97),(13 210740.33),(14 222521.86),(15 224433.83),(16 224081.69),(17 226339.19),(18 228525.83),(19 231183.6),(20 236202.77),(21 239720.58),(22 239685.4),(23 241400.22),(24 245131.05),(25 246588.19),(26 246199.28),(27 244874.92),(28 246772.05),(29 248084.58),(30 246567.28),(31 249388.63),(32 257602.05),(33 258408.13),(34 256045.33),(35 259646.63),(36 262007.1),(37 261990.53),(38 264893.34),(39 265524.03),(40 265073.25),(41 262751.47),(42 261987),(43 261602.77),(44 263106.38),(45 263402.06),(46 263320.8),(47 262420.84),(48 260803.08),(49 260540.72),(50 265053.38),(51 270893.7),(52 274443.34),(53 276334.38),(54 281653.25),(55 284683.53),(56 281128.84),(57 279858.9),(58 283010),(59 288095.7),(60 289109.84),(61 284432.44),(62 287763.63),(63 291997.8),(64 291022.2),(65 291948.8),(66 291429.44),(67 290303.03),(68 291722.16),(69 293341.75),(70 294346.94),(71 297549),(72 297032.56),(73 294182.97),(74 295168.56),(75 298551.72),(76 301471.84),(77 297220.8),(78 291783.94),(79 290307.8),
(1 47627.82),(2 118674.12),(3 136819.81),(4 134516.1),(5 150971.8),(6 166611.28),(7 170469.33),(8 174856.86),(9 183596.72),(10 192344.98),(11 194828.05),(12 197625.14),(13 203543.05),(14 211103.95),(15 211046.73),(16 210379.63),(17 215122.05),(18 216110.61),(19 214040.05),(20 220572),(21 229426.08),(22 229381.39),(23 229051.11),(24 230538.98),(25 231763.69),(26 233863.83),(27 239847.17),(28 247097.92),(29 247819.11),(30 241208),(31 238577.6),(32 242774.02),(33 245883.66),(34 246622.55),(35 246857.1),(36 246086.02),(37 242095.53),(38 242935.05),(39 247158.2),(40 247954.77),(41 250412.92),(42 254694.66),(43 256291.08),(44 257088.14),(45 256529.75),(46 257435.4),(47 262986.34),(48 266331.06),(49 265378.16),(50 264382.6),(51 266739.06),(52 268581.3),(53 265279.97),(54 264180.06),(55 268230.63),(56 267295.5),(57 268732.06),(58 274367.34),(59 274906.3),(60 273611.9),(61 272848.94),(62 272289.56),(63 274976),(64 278820.88),(65 278928),(66 279880.22),(67 283352.47),(68 284689.53),(69 286850.1),(70 292730.34),(71 295209),(72 289492.22),(73 283930.9),(74 289030.03),(75 286362.16),(76 278200.56),(77 276397.13),(78 279043.72),(79 283118.7),
(1 46018.777),(2 115812.664),(3 137182.11),(4 135480.39),(5 151653.56),(6 167451.75),(7 166712.38),(8 167404.73),(9 179549.23),(10 190483.69),(11 195249.11),(12 201841.23),(13 206695.28),(14 207898.55),(15 209397.55),(16 212106.6),(17 212157.75),(18 211728.8),(19 214342.73),(20 217941.31),(21 220489.4),(22 217550.63),(23 217405.22),(24 223198.3),(25 226221.16),(26 226766.11),(27 229042.63),(28 234735.94),(29 239563.81),(30 238336.3),(31 237305.56),(32 236770.78),(33 236695.27),(34 242419.06),(35 248792.33),(36 247565.4),(37 242638.14),(38 241691.22),(39 241677.61),(40 241175.28),(41 242536.25),(42 243537.08),(43 244290.3),(44 247966.97),(45 249198.55),(46 249703.13),(47 252600.11),(48 253303.23),(49 252337.33),(50 253190.64),(51 256355.08),(52 258762.3),(53 259342.6),(54 261100.72),(55 263929.63),(56 261265.22),(57 265625.1),(58 274892.25),(59 278013.53),(60 273779.13),(61 273899.63),(62 276371.88),(63 276001.1),(64 275117.66),(65 279004.97),(66 286948.94),(67 288174.38),(68 283111.47),(69 285484.8),(70 291024.5),(71 293240.88),(72 291540.03),(73 290747.56),(74 293829.13),(75 290546.63),(76 285051.88),(77 286002.3),(78 291041.66),(79 297346.56),
(1 46344.3),(2 114100.23),(3 131272.4),(4 130785.266),(5 150493.97),(6 165087.22),(7 160239.3),(8 163154.22),(9 179370.2),(10 186663.1),(11 183414.3),(12 187236.9),(13 194256),(14 193297.19),(15 192296.67),(16 193127.98),(17 190506.92),(18 188871.25),(19 192719.42),(20 198042.22),(21 201727.66),(22 200583.39),(23 199059.27),(24 199359.13),(25 201616.67),(26 205608.44),(27 207632.36),(28 210661.33),(29 215174.84),(30 218319.66),(31 219522.39),(32 222671.9),(33 226393.39),(34 228984.44),(35 231246.97),(36 229416.39),(37 226522.13),(38 229861.98),(39 236640.11),(40 240408.73),(41 242609.5),(42 250697.33),(43 256530.69),(44 255585.72),(45 256529.89),(46 261265.3),(47 267190.03),(48 269658.56),(49 269843.78),(50 271295.75),(51 271247.72),(52 270807.13),(53 268650.16),(54 269920.8),(55 273642.88),(56 277360.25),(57 281823.22),(58 285683.5),(59 286084.9),(60 285166.06),(61 284017.25),(62 285708.63),(63 284894.28),(64 283490.13),(65 285904.88),(66 285927.63),(67 290045.72),(68 289639.28),(69 285871.4),(70 286423.13),(71 284831.34),(72 282942.2),(73 282470.2),(74 281822.3),(75 280759.97),(76 278288.72),(77 280256.25),(78 281160.66),(79 281170.63),
(1 43584.55),(2 107112.7),(3 123058.39),(4 123548.61),(5 141169.27),(6 156629.13),(7 155729.9),(8 154581.39),(9 164184.8),(10 172424.23),(11 172403.11),(12 175427.05),(13 180333.83),(14 184582.34),(15 185662.44),(16 186061.44),(17 188855.33),(18 189390.22),(19 190835.73),(20 194772.22),(21 199419.89),(22 200461.94),(23 198427.78),(24 196020.27),(25 196015.45),(26 201928.1),(27 208027.72),(28 211894.44),(29 219846.7),(30 227485.67),(31 225432.06),(32 222082.22),(33 224869.6),(34 228087.61),(35 229581.88),(36 230803.05),(37 232763.8),(38 229408.3),(39 228435.13),(40 228715.6),(41 229089.02),(42 227347.33),(43 225930.95),(44 229811.3),(45 231691.33),(46 232216.61),(47 239069.34),(48 239189.5),(49 236629.38),(50 238404.89),(51 239164.3),(52 236124.1),(53 234880.61),(54 238713.6),(55 243772.78),(56 245596.8),(57 243651.72),(58 244772.67),(59 250202.61),(60 251964.34),(61 249986.45),(62 249061.9),(63 252526.56),(64 254744.9),(65 257629.63),(66 266770.25),(67 268383.88),(68 264265.03),(69 263998.2),(70 264159.72),(71 260949.77),(72 261970.11),(73 267558.7),(74 269997.25),(75 263412.72),(76 264211.47),(77 266140.1),(78 263744.7),(79 259806.06),
(1 42411.52),(2 103869.69),(3 118617.86),(4 120395.85),(5 139168.9),(6 151594.42),(7 151144.64),(8 153527.47),(9 163874.98),(10 168901.48),(11 169821.89),(12 174959.84),(13 183157.38),(14 187329.39),(15 189795.4),(16 192986.61),(17 194835.58),(18 197559.72),(19 201342.77),(20 201543.5),(21 197812.13),(22 198109.1),(23 202147.08),(24 207231.66),(25 210480.2),(26 212484.3),(27 211582.78),(28 213027.89),(29 215470.53),(30 218681.64),(31 222883.4),(32 224058.78),(33 224161.05),(34 221549.2),(35 221121.2),(36 222635.8),(37 220638.02),(38 212926.44),(39 212294.48),(40 217717.45),(41 225276.3),(42 230598.72),(43 229873.39),(44 226341.52),(45 224439.66),(46 226310.66),(47 226464.42),(48 227427.11),(49 229053.05),(50 229316.9),(51 230206.28),(52 232454.69),(53 232468.2),(54 235190.02),(55 244841.47),(56 249208.84),(57 247819.11),(58 249435.23),(59 254049.5),(60 255593.83),(61 254064.44),(62 255583.38),(63 255432.17),(64 253145.63),(65 258044.77),(66 262351.9),(67 258497.77),(68 255030.95),(69 258964.72),(70 260801.11),(71 259555.03),(72 262459.78),(73 263067.4),(74 263072.4),(75 261079.02),(76 261412.73),(77 261337.05),(78 265622.4),(79 265541.1),
(1 39054.773),(2 94572),(3 108730.53),(4 113727.98),(5 131470.36),(6 141660.67),(7 145534.11),(8 155647.98),(9 165670.64),(10 169049.94),(11 173423.4),(12 178992.45),(13 184262.81),(14 187976.8),(15 187986.14),(16 187156.44),(17 189890.58),(18 189452.08),(19 187403.75),(20 186238.66),(21 183861.86),(22 181312.25),(23 184496.25),(24 187100.25),(25 189593.8),(26 193061.86),(27 197801.06),(28 200333.63),(29 202227.69),(30 205989.77),(31 210440.6),(32 213254.73),(33 213061.66),(34 207972.98),(35 207312.42),(36 214098.31),(37 212834.34),(38 211655.48),(39 218451.06),(40 222807.13),(41 224682.81),(42 227958.69),(43 229229.34),(44 230542.42),(45 230814.53),(46 233943.88),(47 235920.1),(48 235464.55),(49 233955.75),(50 233731.64),(51 235405.28),(52 234417.86),(53 233016.45),(54 235824.39),(55 240587.45),(56 245709.42),(57 246769.2),(58 247065.86),(59 246160.72),(60 245644.23),(61 247296.77),(62 248814.98),(63 251486.5),(64 252687.1),(65 251119.63),(66 250024.38),(67 248622.39),(68 245384.44),(69 244341.19),(70 247467.72),(71 248910.5),(72 253767.47),(73 260085.98),(74 266384.75),(75 268049.78),(76 266961.53),(77 266155.1),(78 265613.4),(79 265301.63),
(1 37592.027),(2 88626.92),(3 105146.04),(4 115291.43),(5 133237.58),(6 141475.16),(7 142897.8),(8 149909.63),(9 159689.66),(10 164014.14),(11 166054.7),(12 171393.55),(13 178441.84),(14 180762.25),(15 178581.39),(16 181957.19),(17 187291),(18 184518.39),(19 182623.94),(20 184436.05),(21 183843.8),(22 183226.58),(23 185980.48),(24 191372.53),(25 192093),(26 194072.45),(27 198437.53),(28 202918.75),(29 206017.8),(30 207674.16),(31 207224.13),(32 206339.48),(33 204456.86),(34 201611.61),(35 201554.52),(36 204460.02),(37 204703.69),(38 204499.34),(39 207120.55),(40 212904.06),(41 216274.42),(42 221309.14),(43 225076.48),(44 227747.16),(45 228879.89),(46 230410.52),(47 233209.84),(48 236360.94),(49 236520.75),(50 232908.06),(51 228575.86),(52 228744.2),(53 229366.63),(54 229187.6),(55 233531.52),(56 236660.08),(57 231518.53),(58 225989.06),(59 224413.22),(60 225484.95),(61 225358.08),(62 226945.55),(63 229471.22),(64 231685.92),(65 230318.86),(66 226058.16),(67 222301.63),(68 225385.06),(69 229001.88),(70 224768.6),(71 225616.19),(72 230996.52),(73 233515.92),(74 230885.92),(75 228763.52),(76 229644.25),(77 225754.06),(78 224114.4),(79 227492.94),
(1 39008.28),(2 88951.35),(3 98701.17),(4 108115.51),(5 125215.72),(6 132272.63),(7 138002.1),(8 150375.38),(9 153260.98),(10 149419.64),(11 154461.19),(12 162830.9),(13 164463.13),(14 167039.88),(15 167962.05),(16 166762.64),(17 168733.06),(18 173283.95),(19 169389.55),(20 166737.1),(21 168028.69),(22 168846.73),(23 171780.64),(24 178028.19),(25 182876.81),(26 185091.27),(27 192195.11),(28 191876.77),(29 187130.33),(30 189241.75),(31 192584.73),(32 194215.27),(33 194753.31),(34 194287.67),(35 197786.63),(36 204097.81),(37 204107.95),(38 206137.72),(39 208764.22),(40 208057.58),(41 208057.05),(42 205977.44),(43 201291.39),(44 199708.27),(45 201026.1),(46 203509.22),(47 208044.13),(48 210775.45),(49 210090.13),(50 209302.64),(51 210620.33),(52 210709.53),(53 209402.34),(54 211327.3),(55 215376.4),(56 213109.05),(57 208295.61),(58 208059.58),(59 209559.31),(60 209439.52),(61 209861.86),(62 213081.45),(63 211618.34),(64 210074.77),(65 214593.66),(66 213050.34),(67 211684.56),(68 213401.58),(69 214473.81),(70 213997.75),(71 213941.52),(72 212926.22),(73 211871.75),(74 213118.98),(75 213666.36),(76 212128.77),(77 211629.13),(78 211684.78),(79 216917.42),
(1 39970.41),(2 87390.15),(3 92392.78),(4 102006.48),(5 119835.53),(6 127261.59),(7 133062.39),(8 140150.45),(9 144667.95),(10 146907.63),(11 148630.77),(12 151170.8),(13 157359.31),(14 160710.95),(15 162107.3),(16 165757.84),(17 167113.64),(18 168941.86),(19 170600.25),(20 168688.16),(21 169451.31),(22 172943.1),(23 174305.55),(24 178641.13),(25 186100.28),(26 190725.58),(27 191866.72),(28 191052.45),(29 189850.98),(30 189835.28),(31 189968.75),(32 185012.28),(33 184997.28),(34 188889.55),(35 190530.81),(36 189870.67),(37 192602.67),(38 191667.75),(39 192315.9),(40 195602.58),(41 196477.77),(42 193768.13),(43 196067.47),(44 200457.47),(45 197487.36),(46 195981.64),(47 199166.84),(48 202008.58),(49 202193.78),(50 200513.58),(51 202964.47),(52 205773.83),(53 205517.25),(54 206987.11),(55 209413.72),(56 207455.25),(57 208622.94),(58 212472.72),(59 210086.5),(60 209055.64),(61 207564.44),(62 202804.02),(63 203630.05),(64 206806.17),(65 206521.39),(66 206094.13),(67 207355.63),(68 210479.7),(69 213009.42),(70 214539.31),(71 214447.64),(72 215916.98),(73 214659.2),(74 211340.84),(75 211236.47),(76 211215.72),(77 209497.86),(78 211111.61),(79 209640.13),
(1 39967.53),(2 88839.414),(3 97097.56),(4 109125.51),(5 128040.24),(6 133308.7),(7 137011.69),(8 147848.5),(9 153380.73),(10 152526.2),(11 158943.3),(12 169091.17),(13 169220.58),(14 165178.03),(15 166588.25),(16 170425.27),(17 170144.92),(18 167393.25),(19 166250.02),(20 165460.36),(21 163188.61),(22 166888),(23 170816.73),(24 172547.11),(25 175280.8),(26 177190),(27 176953.78),(28 174624.67),(29 173553.63),(30 176529.08),(31 180900.36),(32 182238.9),(33 185045.28),(34 189086.45),(35 189745),(36 186241.72),(37 187841.22),(38 190704.73),(39 187856.02),(40 188482.11),(41 191512.92),(42 191226.97),(43 192608.55),(44 195522.36),(45 195645.42),(46 198962.67),(47 201638.17),(48 202176.92),(49 200469.92),(50 198246.28),(51 197743.7),(52 200367.28),(53 200954.45),(54 200400.22),(55 200209.53),(56 199377.47),(57 200373.83),(58 204151.28),(59 209088.7),(60 210829.98),(61 209677.1),(62 207607.19),(63 211119.2),(64 214190.67),(65 211981.2),(66 210676.84),(67 211977.55),(68 214556.81),(69 214371.98),(70 210733.22),(71 210127.63),(72 209383.08),(73 207245.8),(74 204041.48),(75 202723.13),(76 202947.13),(77 206085.13),(78 208558.34),(79 208695.33),
(1 36323.164),(2 80592.7),(3 89821.18),(4 99731.77),(5 113947.51),(6 117759.88),(7 122020.37),(8 131272.9),(9 133655.7),(10 130780.59),(11 134615.53),(12 142972.3),(13 144487.3),(14 144278.98),(15 145143.86),(16 146349.98),(17 150017.55),(18 149245.06),(19 147325.06),(20 148728.53),(21 149612.6),(22 153895.95),(23 159056.81),(24 161370.25),(25 164846.86),(26 172800.08),(27 171982.81),(28 169177.1),(29 170899.36),(30 170389.98),(31 171389.4),(32 173833.45),(33 175170.36),(34 176754.08),(35 180186.88),(36 178452.81),(37 177902.17),(38 180105.72),(39 179666.08),(40 178019.22),(41 177846.44),(42 179660.03),(43 182513.05),(44 181829.25),(45 183276.64),(46 185900.44),(47 185455.06),(48 185757.67),(49 186756.19),(50 188432.02),(51 187138.17),(52 185520.98),(53 185393.77),(54 185576.48),(55 185492.67),(56 187833.56),(57 188999.38),(58 190000.52),(59 189298.06),(60 188760.63),(61 190496.39),(62 190033.13),(63 188542.98),(64 187501.27),(65 189211.72),(66 188329.56),(67 189401.5),(68 190552.95),(69 188798.94),(70 189668.92),(71 186527.48),(72 185216.48),(73 183994.84),(74 182987.92),(75 180311.69),(76 182132.92),(77 185021.27),(78 188056.66),(79 191416.7),
