1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1926.7114),(2 4007.4517),(3 4800.3823),(4 5123.406),(5 5240.439),(6 5439.8735),(7 5804.5576),(8 5954.092),(9 5980.3975),(10 6064.841),(11 6032.933),(12 6086.0996),(13 6228.034),(14 6359.445),(15 6422.301),(16 6457.751),(17 6411.8066),(18 6315.466),(19 6398.7456),(20 6443.6377),(21 6396.253),(22 6346.478),(23 6329.5664),(24 6291.8184),(25 6274.341),(26 6279.6777),(27 6289.185),(28 6422.335),(29 6457.882),(30 6425.51),(31 6421.0674),(32 6507.763),(33 6549.242),(34 6578.9907),(35 6736.033),(36 6703.4565),(37 6591.4365),(38 6623.6196),(39 6713.263),(40 6815.5415),(41 6856.0454),(42 6803.1416),(43 6906.401),(44 6938.779),(45 7013.079),(46 6978.879),(47 6973.364),(48 6970.292),(49 6997.3906),(50 7032.051),(51 7063.1084),(52 7042.76),(53 7007.6),(54 6929.28),(55 7040.768),(56 7142.961),(57 7225.9595),(58 7202.261),(59 7117.049),(60 7075.737),(61 7056.05),(62 7025.971),(63 6974.7134),(64 6983.6455),(65 7088.1836),(66 7117.3994),(67 7174.132),(68 7227.3433),(69 7207.621),(70 7226.699),(71 7238.7837),(72 7190.701),(73 7098.408),(74 7031.4214),(75 7128.228),(76 7098.913),(77 7127.386),(78 7118.0884),(79 7127.4067),
(1 1895.473),(2 3843.7776),(3 4530.8154),(4 4827.6),(5 5040.597),(6 5313.722),(7 5603.2056),(8 5705.42),(9 5769.7563),(10 5914.9473),(11 5957.6226),(12 5924.978),(13 5947.3037),(14 6015.797),(15 6104.909),(16 6132.812),(17 6156.2974),(18 6202.4263),(19 6278.914),(20 6289.1455),(21 6318.919),(22 6275.9116),(23 6235.2153),(24 6265.456),(25 6320.6836),(26 6374.2314),(27 6411.9214),(28 6511.6597),(29 6524.7964),(30 6494.139),(31 6555.8013),(32 6497.5645),(33 6409.6523),(34 6325.7363),(35 6375.567),(36 6475.5786),(37 6374.2246),(38 6289.252),(39 6398.7163),(40 6427.9893),(41 6318.1543),(42 6256.678),(43 6428.321),(44 6480.915),(45 6467.109),(46 6366.4233),(47 6375.451),(48 6430.527),(49 6376.891),(50 6366.858),(51 6462.143),(52 6496.554),(53 6482.5503),(54 6509.607),(55 6601.331),(56 6704.574),(57 6762.9004),(58 6720.3726),(59 6761.0615),(60 6768.325),(61 6747.346),(62 6722.2573),(63 6801.7583),(64 6814.399),(65 6841.524),(66 6852.458),(67 6931.274),(68 6922.8438),(69 6973.814),(70 7048.3525),(71 7163.8228),(72 7137.3975),(73 7121.9785),(74 7139.1133),(75 7266.3853),(76 7257.7),(77 7227.5684),(78 7138.38),(79 7025.343),
(1 1892.6499),(2 3839.6746),(3 4469.254),(4 4710.344),(5 4885.7725),(6 5211.2305),(7 5468.178),(8 5468.159),(9 5531.467),(10 5586.2407),(11 5583.451),(12 5611.8003),(13 5803.751),(14 5903.5366),(15 5885.3135),(16 5860.923),(17 5856.4175),(18 5854.448),(19 5884.6636),(20 5962.0815),(21 6002.8164),(22 5936.8096),(23 5847.915),(24 5863.5557),(25 6000.021),(26 5987.733),(27 6005.519),(28 6127.3896),(29 6227.805),(30 6268.3047),(31 6256.439),(32 6204.0737),(33 6188),(34 6215.9795),(35 6277.4653),(36 6276.331),(37 6215.6353),(38 6251.2017),(39 6335.8345),(40 6403.5483),(41 6381.6587),(42 6374.8335),(43 6458.5806),(44 6488.91),(45 6504.9126),(46 6402.4653),(47 6460.7017),(48 6492.27),(49 6498.5864),(50 6543.4795),(51 6624.425),(52 6635.151),(53 6590.387),(54 6611.903),(55 6751.9053),(56 6844.2036),(57 6782.2637),(58 6687.8247),(59 6649.924),(60 6660.17),(61 6717.683),(62 6755.667),(63 6703.191),(64 6642.2354),(65 6606.0146),(66 6660.1724),(67 6759.6978),(68 6677.025),(69 6639.0435),(70 6676.664),(71 6779.0024),(72 6727.077),(73 6737.919),(74 6727.5054),(75 6877.407),(76 6945.4355),(77 6901.31),(78 6894.3457),(79 6911.9194),
(1 1784.4703),(2 3704.8325),(3 4405.4595),(4 4633.916),(5 4758.6904),(6 5090.613),(7 5351.92),(8 5435.1113),(9 5540.5435),(10 5678.135),(11 5707.2056),(12 5842.0054),(13 6025.3735),(14 6142.756),(15 6118.1055),(16 6170.8877),(17 6259.2314),(18 6317.43),(19 6308.742),(20 6255.146),(21 6299.088),(22 6305.33),(23 6309.8877),(24 6260.7773),(25 6295.76),(26 6322.2817),(27 6300.7495),(28 6306.411),(29 6334.7715),(30 6318.909),(31 6368.3604),(32 6375.344),(33 6308.115),(34 6295.43),(35 6447.866),(36 6469.9404),(37 6352.3765),(38 6267.436),(39 6279.254),(40 6310.8086),(41 6320.684),(42 6291.8447),(43 6386.704),(44 6479.113),(45 6420.563),(46 6363.209),(47 6412.2935),(48 6402.9585),(49 6385.564),(50 6384.873),(51 6489.555),(52 6373.4966),(53 6260.9043),(54 6310.9155),(55 6470.39),(56 6524.6343),(57 6475.4204),(58 6393.1846),(59 6448.0117),(60 6493.724),(61 6526.968),(62 6556.331),(63 6564.4185),(64 6621.5195),(65 6649.671),(66 6605.7104),(67 6662.9585),(68 6643.61),(69 6626.498),(70 6639.754),(71 6689.2954),(72 6663.695),(73 6681.208),(74 6745.1455),(75 6777.5034),(76 6722.189),(77 6686.6655),(78 6714.7407),(79 6766.834),
(1 1743.268),(2 3520.218),(3 4109.7954),(4 4324.9663),(5 4520.913),(6 4786.845),(7 4996.143),(8 5009.717),(9 5056.016),(10 5199.362),(11 5228.0547),(12 5210.4556),(13 5319.0605),(14 5383.126),(15 5417.4604),(16 5371.455),(17 5402.923),(18 5565.181),(19 5599.8945),(20 5551.869),(21 5621.0264),(22 5645.786),(23 5608.2266),(24 5561.43),(25 5617.0034),(26 5689.115),(27 5741.636),(28 5709.653),(29 5705.9478),(30 5857.075),(31 5914.3496),(32 5888.917),(33 5907.2783),(34 5907.612),(35 5931.574),(36 6009.54),(37 6047.26),(38 6056.1396),(39 5996.8115),(40 5883.522),(41 5860.7993),(42 5881.1436),(43 5953.3594),(44 5972.1733),(45 5951.5713),(46 5939.224),(47 6095.0444),(48 6045.642),(49 5976.0728),(50 6002.8315),(51 6028.6846),(52 5998.255),(53 6034.1216),(54 6088.839),(55 6210.7363),(56 6213.885),(57 6142.145),(58 6009.316),(59 6019.0703),(60 6056.0806),(61 6136.964),(62 6186.95),(63 6199.185),(64 6124.6953),(65 6124.0693),(66 6092.459),(67 6130.626),(68 6058.093),(69 6036.239),(70 6124.5596),(71 6006.0146),(72 5938.8403),(73 5974.0317),(74 6000.7593),(75 6010.7456),(76 6047.8633),(77 6054.535),(78 6065.0054),(79 6171.619),
(1 1757.038),(2 3526.377),(3 4074.681),(4 4287.243),(5 4448.5415),(6 4716.841),(7 4966.763),(8 4999.902),(9 5112.956),(10 5252.844),(11 5297.942),(12 5292.823),(13 5445.3804),(14 5517.4736),(15 5512.3325),(16 5585.628),(17 5632.845),(18 5662.601),(19 5691.0977),(20 5710.438),(21 5730.884),(22 5746.248),(23 5716.5596),(24 5707.6978),(25 5767.3955),(26 5845.9854),(27 5842.5205),(28 5739.3228),(29 5807.9385),(30 5881.224),(31 5966.8555),(32 5960.471),(33 5958.036),(34 5999.9116),(35 5994.371),(36 5988.375),(37 6014.498),(38 6059.709),(39 6131.677),(40 6118.761),(41 6111.501),(42 6178.6396),(43 6231.212),(44 6156.3213),(45 6105.6367),(46 6087.725),(47 6105.738),(48 6041.18),(49 6039.8384),(50 6071.836),(51 6114.526),(52 6045.1978),(53 6012.4336),(54 6020.9834),(55 6033.863),(56 6068.695),(57 6081.1865),(58 6080.9517),(59 6083.657),(60 6150.5693),(61 6152.52),(62 6178.769),(63 6151.617),(64 6174.265),(65 6174.0557),(66 6185.1587),(67 6217.106),(68 6192.433),(69 6288.605),(70 6301.9688),(71 6286.919),(72 6275.326),(73 6340.115),(74 6381.1387),(75 6413.4365),(76 6480.061),(77 6498.9854),(78 6518.473),(79 6539.635),
(1 1713.8801),(2 3507.6992),(3 4153.3965),(4 4359.7354),(5 4519.3296),(6 4793.3936),(7 4932.7866),(8 4887.9653),(9 4977.408),(10 5101.8584),(11 5152.336),(12 5192.1577),(13 5309.0396),(14 5339.6475),(15 5293.33),(16 5368.0146),(17 5484.0977),(18 5609.989),(19 5619.9883),(20 5595.3853),(21 5632.6987),(22 5685.7666),(23 5676.901),(24 5685.012),(25 5680.2065),(26 5728.868),(27 5687.502),(28 5647.8823),(29 5699.9507),(30 5715.467),(31 5738.0166),(32 5729.7236),(33 5738.997),(34 5787.6055),(35 5867.1597),(36 5794.9805),(37 5805.15),(38 5836.2085),(39 5802.6025),(40 5748.781),(41 5749.8047),(42 5763.555),(43 5811.835),(44 5761.238),(45 5734.861),(46 5805.5825),(47 5804.4585),(48 5774.713),(49 5780.6406),(50 5775.753),(51 5753.9946),(52 5649.4844),(53 5712.9863),(54 5807.793),(55 5824.137),(56 5777.1846),(57 5831.285),(58 5843.2056),(59 5822.9478),(60 5833.956),(61 5786.285),(62 5784.565),(63 5787.5913),(64 5809.46),(65 5839.94),(66 5861.058),(67 5857.3516),(68 5860.316),(69 5970.709),(70 5987.735),(71 6004.727),(72 5950.647),(73 5987.004),(74 5976.5674),(75 5956.809),(76 5975.086),(77 6034.2764),(78 6023.477),(79 6077.7563),
(1 1658.5029),(2 3320.5032),(3 3868.5625),(4 4114.9385),(5 4295.6963),(6 4582.094),(7 4756.2505),(8 4739.585),(9 4795.628),(10 4909.043),(11 4957.148),(12 4995.222),(13 5064.015),(14 5056.1504),(15 5120.0674),(16 5188.409),(17 5242.9087),(18 5246.584),(19 5261.015),(20 5175.782),(21 5285.7925),(22 5427.622),(23 5437.883),(24 5358.622),(25 5351.3154),(26 5415.3057),(27 5476.6313),(28 5497.389),(29 5583.9956),(30 5620.477),(31 5583.7935),(32 5510.547),(33 5487.678),(34 5509.019),(35 5561.909),(36 5569.363),(37 5594.419),(38 5628.513),(39 5679.3086),(40 5750.5405),(41 5795.192),(42 5813.994),(43 5843.3667),(44 5753.918),(45 5829.3433),(46 5851.71),(47 5892.2773),(48 5806.41),(49 5772.8975),(50 5792.0815),(51 5772.0493),(52 5722.026),(53 5764.5215),(54 5819.678),(55 5843.7637),(56 5790.673),(57 5741.3145),(58 5653.6514),(59 5673.249),(60 5711.7124),(61 5700.689),(62 5769.438),(63 5790.838),(64 5810.757),(65 5817.562),(66 5836.8706),(67 5795.206),(68 5750.106),(69 5795.1333),(70 5896.8247),(71 5957.707),(72 5983.2505),(73 5975.061),(74 5983.164),(75 6002.1177),(76 6040.371),(77 6070.276),(78 6039.8184),(79 6052.467),
(1 1706.6036),(2 3395.0903),(3 3796.3728),(4 4020.144),(5 4250.9146),(6 4529.623),(7 4741.2646),(8 4677.901),(9 4693.2134),(10 4794.582),(11 4884.817),(12 4915.41),(13 5042.903),(14 5033.0313),(15 5063.352),(16 5184.0845),(17 5295.5117),(18 5383.2935),(19 5313.098),(20 5161.215),(21 5235.5513),(22 5280.8286),(23 5261.256),(24 5208.9814),(25 5140.491),(26 5235.379),(27 5299.987),(28 5237.523),(29 5270.657),(30 5282.8433),(31 5213.303),(32 5265.2695),(33 5271.3022),(34 5266.2354),(35 5355.5767),(36 5350.143),(37 5424.8213),(38 5468.9917),(39 5500.6455),(40 5544.256),(41 5591.0815),(42 5553.936),(43 5534.8853),(44 5465.498),(45 5538.4785),(46 5648.1436),(47 5684.108),(48 5584.872),(49 5590.421),(50 5619.474),(51 5668.185),(52 5651.9204),(53 5665.502),(54 5637.307),(55 5637.557),(56 5636.2607),(57 5589.813),(58 5553.6563),(59 5574.319),(60 5617.006),(61 5696.506),(62 5735.871),(63 5719.085),(64 5747.357),(65 5828.6543),(66 5857.733),(67 5876.5034),(68 5744.545),(69 5808.036),(70 5876.881),(71 5889.7705),(72 5911.453),(73 5923.2607),(74 5959.008),(75 5985.5303),(76 5969.198),(77 5970.4165),(78 5954.503),(79 5952.6514),
(1 1605.3085),(2 3171.3337),(3 3577.6294),(4 3746.725),(5 3931.7417),(6 4174.961),(7 4329.1064),(8 4251.1274),(9 4414.6265),(10 4516.995),(11 4526.0615),(12 4481.609),(13 4560.904),(14 4530.9595),(15 4621.3965),(16 4640.994),(17 4704.559),(18 4770.283),(19 4789.421),(20 4735.661),(21 4808.152),(22 4843.0786),(23 4829.1094),(24 4801.6885),(25 4821.66),(26 4910.7783),(27 4939.127),(28 4900.1987),(29 4964.587),(30 5033.423),(31 5036.315),(32 4992.8516),(33 4978.9316),(34 4963.999),(35 4979.4575),(36 5012.443),(37 5134.709),(38 5160.983),(39 5113.545),(40 5118.061),(41 5166.929),(42 5160.678),(43 5187.428),(44 5191.833),(45 5259.4497),(46 5319.164),(47 5385.33),(48 5389.738),(49 5409.9165),(50 5409.602),(51 5381.2124),(52 5325.436),(53 5408.737),(54 5381.4727),(55 5407.666),(56 5382.1274),(57 5353.022),(58 5297.4194),(59 5247.241),(60 5283.5073),(61 5296.7715),(62 5328.9243),(63 5388.6885),(64 5360.8906),(65 5373.0967),(66 5400.344),(67 5396.252),(68 5355.134),(69 5324.495),(70 5331.838),(71 5318.2266),(72 5337.737),(73 5407.9854),(74 5469.343),(75 5490.714),(76 5495.5),(77 5496.2114),(78 5457.27),(79 5463.455),
(1 1557.5016),(2 3007.0479),(3 3502.3638),(4 3757.2195),(5 3920.6943),(6 4231.231),(7 4381.6025),(8 4389.045),(9 4517.847),(10 4614.049),(11 4624.351),(12 4671.799),(13 4746.5063),(14 4751.115),(15 4850.5444),(16 4838.808),(17 4925.945),(18 5005.844),(19 5012.968),(20 4979.217),(21 4977.557),(22 4962.747),(23 4946.0215),(24 4925.3735),(25 4864.3135),(26 4942.155),(27 4950.951),(28 4928.296),(29 5071.9243),(30 5217.4346),(31 5299.2935),(32 5149.9077),(33 5155.419),(34 5184.869),(35 5165.134),(36 5182.0137),(37 5289.8613),(38 5267.336),(39 5212.9146),(40 5274.5894),(41 5348.3115),(42 5331.102),(43 5308.0947),(44 5308.3623),(45 5427.524),(46 5463.5933),(47 5412.9673),(48 5371.033),(49 5377.6655),(50 5470.5977),(51 5480.1274),(52 5461.1343),(53 5416.7803),(54 5386.9995),(55 5484.7754),(56 5510.77),(57 5582.518),(58 5531.1836),(59 5517.505),(60 5558.686),(61 5622.0337),(62 5672.225),(63 5662.8433),(64 5641.102),(65 5617.8843),(66 5569.2505),(67 5604.4917),(68 5525.2505),(69 5513.8687),(70 5617.02),(71 5663.4277),(72 5643.9355),(73 5681.5903),(74 5701.372),(75 5653.667),(76 5541.7563),(77 5534.016),(78 5489.6587),(79 5505.801),
(1 1561.6401),(2 3031.846),(3 3485.1763),(4 3679.665),(5 3864.8877),(6 4075.9307),(7 4169.939),(8 4185.6543),(9 4307.2295),(10 4374.1543),(11 4432.8975),(12 4518.919),(13 4553.843),(14 4524.763),(15 4647.6226),(16 4715.234),(17 4792.9946),(18 4798.0728),(19 4795.0547),(20 4731.381),(21 4693.089),(22 4718.837),(23 4723.668),(24 4693.6523),(25 4763.9893),(26 4749.812),(27 4789.436),(28 4812.3403),(29 4874.1865),(30 4920.2705),(31 4961.675),(32 4902.934),(33 4872.2305),(34 4869.2236),(35 4940.7715),(36 5044.7153),(37 5128.666),(38 5129.5986),(39 5082.4917),(40 5111.605),(41 5163.6895),(42 5119.9863),(43 5133.462),(44 5137.0635),(45 5212.5547),(46 5260.081),(47 5346.364),(48 5333.455),(49 5311.343),(50 5324.912),(51 5316.9985),(52 5318.0605),(53 5376.8936),(54 5341.773),(55 5385.0205),(56 5414.9497),(57 5387.928),(58 5343.369),(59 5306.2505),(60 5286.974),(61 5292.112),(62 5240.103),(63 5243.4663),(64 5281.505),(65 5305.7407),(66 5280.2026),(67 5258.1655),(68 5218.742),(69 5201.1357),(70 5171.37),(71 5183.108),(72 5236.219),(73 5293.081),(74 5320.172),(75 5351.831),(76 5313.76),(77 5326.121),(78 5329.5156),(79 5388.0884),
(1 1501.5782),(2 2874.661),(3 3281.0464),(4 3474.3298),(5 3737.067),(6 3957.6807),(7 4094.5918),(8 4111.6606),(9 4281.9976),(10 4428.536),(11 4442.6113),(12 4493.2866),(13 4535.575),(14 4537.45),(15 4565.481),(16 4505.4297),(17 4560.349),(18 4611.3774),(19 4610.648),(20 4540.4556),(21 4603.931),(22 4642.4204),(23 4609.0566),(24 4588.0195),(25 4651.5444),(26 4657.162),(27 4708.5137),(28 4691.591),(29 4779.3994),(30 4834.9956),(31 4832.4443),(32 4839.671),(33 4895.387),(34 4883.1743),(35 4870.7173),(36 4907.61),(37 5003.779),(38 4990.0757),(39 4967.1177),(40 4937.622),(41 4910.8354),(42 4846.375),(43 4841.321),(44 4870.631),(45 4965.5796),(46 4941.1904),(47 4924.997),(48 4913.1787),(49 4938.503),(50 4932.18),(51 5024.9097),(52 5048.44),(53 5143.275),(54 5185.923),(55 5224.4873),(56 5191.6733),(57 5195.528),(58 5168.381),(59 5190.609),(60 5137.163),(61 5096.287),(62 5054.861),(63 5051.366),(64 5082.2373),(65 5114.2476),(66 5088.2505),(67 5116.9126),(68 5119.08),(69 5111.933),(70 5084.6206),(71 5090.4766),(72 5047.7017),(73 4992.269),(74 5054.315),(75 5094.9165),(76 5023.3037),(77 5031.036),(78 5016.186),(79 5001.004),
(1 1465.8694),(2 2790.6992),(3 3232.7925),(4 3445.5088),(5 3710.6204),(6 3967.4492),(7 4095.426),(8 4091.0166),(9 4167.292),(10 4268.284),(11 4383.774),(12 4463.795),(13 4574.232),(14 4564.815),(15 4604.989),(16 4584.6997),(17 4685.4355),(18 4760.0664),(19 4747.8257),(20 4691.0845),(21 4725.1123),(22 4751.404),(23 4757.1606),(24 4726.718),(25 4647.0015),(26 4674.1167),(27 4700.664),(28 4719.872),(29 4794.3433),(30 4803.657),(31 4815.7793),(32 4783.9985),(33 4798.3916),(34 4772.5176),(35 4775.35),(36 4775.4863),(37 4836.2944),(38 4913.1323),(39 4914.749),(40 4983.8057),(41 5035.4414),(42 5004.7134),(43 4970.7817),(44 5017.8),(45 5088.092),(46 5114.35),(47 5090.636),(48 5064.0356),(49 5063.7954),(50 5053.5073),(51 5162.395),(52 5132.3633),(53 5081.5996),(54 5067.9346),(55 5123.2617),(56 5099.765),(57 5080.2407),(58 5079.154),(59 5085.8975),(60 5034.3867),(61 4985.6387),(62 4983.5273),(63 4988.9756),(64 5026.4194),(65 5006.062),(66 4987.2476),(67 4908.5156),(68 4896.5845),(69 4955.8286),(70 4952.982),(71 4962.705),(72 4931.4917),(73 4877.8223),(74 4854.9287),(75 4900.9688),(76 4912.2827),(77 4970.591),(78 5040.0444),(79 5023.467),
(1 1401.8594),(2 2663.8264),(3 3091.2544),(4 3322.6394),(5 3534.9434),(6 3794.89),(7 3979.6357),(8 3999.264),(9 4016.7937),(10 4031.41),(11 4119.627),(12 4253.7637),(13 4331.9824),(14 4325.371),(15 4340.5923),(16 4346.171),(17 4412.939),(18 4371.587),(19 4274.7085),(20 4282.952),(21 4344.759),(22 4374.5425),(23 4398.9785),(24 4405.818),(25 4442.4775),(26 4544.329),(27 4534.885),(28 4581.608),(29 4575.447),(30 4524.1577),(31 4578.3594),(32 4560.4395),(33 4582.5977),(34 4560.449),(35 4555.729),(36 4663.2637),(37 4765.576),(38 4801.599),(39 4812.1045),(40 4786.308),(41 4815.4414),(42 4773.3833),(43 4704.3687),(44 4765.276),(45 4877.026),(46 4923.991),(47 4958.5684),(48 4933.4927),(49 4927.5737),(50 4978.42),(51 5054.679),(52 5048.157),(53 4982.716),(54 4924.581),(55 5024.351),(56 4994.1396),(57 4928.47),(58 4858.8384),(59 4882.7393),(60 4907.752),(61 4870.889),(62 4853.79),(63 4824.1973),(64 4801.0205),(65 4809.516),(66 4789.8086),(67 4786.7866),(68 4769.116),(69 4795.4404),(70 4737.1284),(71 4766.1406),(72 4771.69),(73 4768.773),(74 4740.359),(75 4767.597),(76 4797.497),(77 4825.1807),(78 4827.0073),(79 4871.959),
(1 1408.2628),(2 2632.3442),(3 3018.3225),(4 3224.4165),(5 3436.608),(6 3710.0237),(7 3879.5032),(8 3884.5442),(9 3987.044),(10 4030.4004),(11 4051.5469),(12 4162.3857),(13 4186.994),(14 4177.1504),(15 4216.474),(16 4267.983),(17 4344.617),(18 4347.6616),(19 4301.825),(20 4328.979),(21 4378.3853),(22 4411.777),(23 4439.1455),(24 4442.2134),(25 4464.6064),(26 4472.9556),(27 4436.707),(28 4389.2114),(29 4407.0225),(30 4455.935),(31 4526.289),(32 4524.404),(33 4525.9907),(34 4519.1533),(35 4521.8525),(36 4547.4487),(37 4561.4526),(38 4548.3774),(39 4596.2344),(40 4657.864),(41 4671.961),(42 4672.9414),(43 4617.354),(44 4625.168),(45 4690.7056),(46 4668.3853),(47 4734.7686),(48 4721.3267),(49 4673.057),(50 4739.7695),(51 4824.8613),(52 4806.153),(53 4781.8286),(54 4826.439),(55 4845.631),(56 4769.3164),(57 4752.768),(58 4711.02),(59 4771.47),(60 4758.8003),(61 4766.548),(62 4805.173),(63 4779.819),(64 4776.268),(65 4870.0186),(66 4824.1787),(67 4789.4995),(68 4734.5107),(69 4732.7246),(70 4749.2407),(71 4741.486),(72 4703.1357),(73 4703.048),(74 4682.067),(75 4705.904),(76 4751.8867),(77 4731.213),(78 4666.486),(79 4649.333),
(1 1360.0803),(2 2616.158),(3 2960.9749),(4 3139.976),(5 3394.2666),(6 3649.1506),(7 3778.4497),(8 3818.1704),(9 3947.3113),(10 3983.0474),(11 4026.2485),(12 4152.827),(13 4230.9277),(14 4255.759),(15 4324.309),(16 4397.2373),(17 4430.077),(18 4406.7593),(19 4351.955),(20 4381.3037),(21 4407.1865),(22 4402.0107),(23 4406.5283),(24 4392.462),(25 4335.1963),(26 4355.686),(27 4436.212),(28 4440.9653),(29 4482.9614),(30 4485.856),(31 4522.5894),(32 4498.2124),(33 4476.0996),(34 4461.482),(35 4558.7153),(36 4572.7144),(37 4545.8774),(38 4546.168),(39 4582.449),(40 4633.254),(41 4664.23),(42 4641.212),(43 4627.423),(44 4655.76),(45 4686.4507),(46 4716.859),(47 4727.3657),(48 4701.554),(49 4674.461),(50 4646.49),(51 4678.8438),(52 4654.6816),(53 4686.7144),(54 4754.9287),(55 4847.123),(56 4824.199),(57 4801.6924),(58 4787.855),(59 4843.212),(60 4808.662),(61 4788.951),(62 4739.2227),(63 4681.692),(64 4694.3774),(65 4715.6963),(66 4700.946),(67 4673.154),(68 4596.9253),(69 4622.2373),(70 4597.817),(71 4580.672),(72 4592.834),(73 4659.8374),(74 4602.9116),(75 4577.16),(76 4562.0557),(77 4561.869),(78 4569.225),(79 4601.298),
