1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 31953.453),(2 102855.34),(3 208263.19),(4 328566.13),(5 469344.22),(6 621635.44),(7 790957),(8 965834.3),(9 1150776.1),(10 1337827.8),(11 1511710.5),(12 1680640.6),(13 1865098.4),(14 2049223.1),(15 2260381.3),(16 2492136),(17 2730095.8),(18 2945745),(19 3153133),(20 3350129),(21 3544934.8),(22 3705802),(23 3828374),(24 3945928.3),(25 4091364),(26 4253865.5),(27 4420960),(28 4596637.5),(29 4750578.5),(30 4906320),(31 5034238.5),(32 5164523.5),(33 5308460),(34 5444452.5),(35 5579169.5),(36 5728724),(37 5836862.5),(38 5936958),(39 6026192),(40 6143760.5),(41 6273521.5),(42 6415392.5),(43 6546214),(44 6692840.5),(45 6789134),(46 6873361.5),(47 6916250),(48 6931606),(49 6869204),(50 6812175.5),(51 6734166.5),(52 6708788),(53 6691794),(54 6719032.5),(55 6753809.5),(56 6829940),(57 6887100),(58 6892906.5),(59 6842451.5),(60 6803296.5),(61 6743338.5),(62 6695242),(63 6627546.5),(64 6563672.5),(65 6496250.5),(66 6476334.5),(67 6462021.5),(68 6476278),(69 6493182.5),(70 6531430.5),(71 6526490.5),(72 6534678.5),(73 6522173.5),(74 6513948),(75 6468324.5),(76 6405111.5),(77 6338746),(78 6326030.5),(79 6338556),
(1 26079.521),(2 88996.19),(3 184572.1),(4 296448.84),(5 430369.4),(6 582167.44),(7 748356.4),(8 938385.6),(9 1142651.5),(10 1363269.3),(11 1577527.3),(12 1796979.3),(13 2032239.3),(14 2282146.5),(15 2553823.3),(16 2865370),(17 3169196.5),(18 3479025.5),(19 3796196),(20 4122568),(21 4430253),(22 4745004),(23 5026751),(24 5332061),(25 5676120),(26 6033147.5),(27 6404455),(28 6786988),(29 7178929),(30 7569562.5),(31 7942846.5),(32 8320046.5),(33 8727205),(34 9103510),(35 9488769),(36 9926338),(37 10333679),(38 10738290),(39 11113939),(40 11553874),(41 11989784),(42 12486470),(43 12904798),(44 13307243),(45 13575275),(46 13841163),(47 14145669),(48 14443286),(49 14658680),(50 14882939),(51 15066218),(52 15253624),(53 15399642),(54 15434829),(55 15390539),(56 15321021),(57 15178877),(58 14963096),(59 14676104),(60 14387066),(61 14054533),(62 13712067),(63 13330965),(64 12937094),(65 12555734),(66 12195228),(67 11857088),(68 11480936),(69 11106852),(70 10738358),(71 10399252),(72 10108170),(73 9879728),(74 9685820),(75 9573626),(76 9529668),(77 9580158),(78 9751344),(79 9995643),
(1 19821.61),(2 65434.047),(3 134264.61),(4 216918.38),(5 319324.53),(6 436837.6),(7 572221.7),(8 720799),(9 879013.8),(10 1059173.4),(11 1240698.6),(12 1424183.9),(13 1627605),(14 1837964.1),(15 2075213.4),(16 2333657.8),(17 2579377.3),(18 2829412.8),(19 3096063.3),(20 3372655),(21 3676840.8),(22 3997027.3),(23 4310231.5),(24 4624793.5),(25 4964952.5),(26 5324778),(27 5669944),(28 6003284.5),(29 6322707.5),(30 6609346.5),(31 6877573.5),(32 7129797.5),(33 7353508),(34 7540377.5),(35 7679700.5),(36 7793388),(37 7879609.5),(38 7941630),(39 7990715.5),(40 8028653.5),(41 8060637.5),(42 8087545.5),(43 8058202.5),(44 8010908),(45 7932748),(46 7848278),(47 7749923.5),(48 7625222.5),(49 7486644),(50 7367469.5),(51 7218474.5),(52 7062591.5),(53 6882914),(54 6702573.5),(55 6518534.5),(56 6340342),(57 6143456),(58 5949296),(59 5753412),(60 5579115.5),(61 5403872.5),(62 5237466.5),(63 5050344),(64 4886116.5),(65 4757232),(66 4648567.5),(67 4569529.5),(68 4507080.5),(69 4468370.5),(70 4444846.5),(71 4432085.5),(72 4447027.5),(73 4472450.5),(74 4531507.5),(75 4626791.5),(76 4723604.5),(77 4859010.5),(78 5055890),(79 5297810.5),
(1 21957.955),(2 74712.336),(3 156585.75),(4 255233.89),(5 382130.28),(6 523073.06),(7 680902.25),(8 856209.44),(9 1038621.7),(10 1235229.3),(11 1438409.8),(12 1644990),(13 1866263.8),(14 2092180.9),(15 2334350.8),(16 2590320),(17 2842599.8),(18 3090969.8),(19 3357775),(20 3620763.5),(21 3866702.3),(22 4094888.5),(23 4322731.5),(24 4564010),(25 4825201),(26 5083424),(27 5330503),(28 5575006),(29 5801085.5),(30 5988809.5),(31 6168069),(32 6334630),(33 6485205.5),(34 6641273),(35 6798082),(36 6976543),(37 7125557.5),(38 7240586),(39 7333070),(40 7397103),(41 7427876),(42 7457637.5),(43 7489565.5),(44 7511243.5),(45 7532410.5),(46 7551635.5),(47 7595706.5),(48 7632844.5),(49 7655030),(50 7647316.5),(51 7600791),(52 7568561),(53 7519004.5),(54 7451371),(55 7365957.5),(56 7290429.5),(57 7176003),(58 7072019),(59 6984663),(60 6909704),(61 6850140),(62 6819129.5),(63 6792859.5),(64 6817484.5),(65 6873023),(66 6943074.5),(67 7078193),(68 7263926.5),(69 7441794),(70 7599093.5),(71 7786474),(72 8002590),(73 8200996.5),(74 8421609),(75 8649403),(76 8870880),(77 9096379),(78 9325599),(79 9535122),
(1 20752.115),(2 68295.945),(3 139812.06),(4 223775.19),(5 328404.13),(6 444481.72),(7 580043.75),(8 724026.75),(9 875125.56),(10 1038952.06),(11 1214264.4),(12 1401145.1),(13 1605465.3),(14 1813806),(15 2023065.1),(16 2229018.3),(17 2449915),(18 2670028.3),(19 2888689.8),(20 3095713.5),(21 3285354.3),(22 3467185),(23 3639725.8),(24 3814561.5),(25 3964798.5),(26 4130150.3),(27 4280949),(28 4386120.5),(29 4440606),(30 4491803.5),(31 4536441),(32 4571292),(33 4588276.5),(34 4601954),(35 4621607.5),(36 4656653),(37 4687743.5),(38 4711372.5),(39 4709506),(40 4712945.5),(41 4717270),(42 4739528.5),(43 4772695.5),(44 4804339.5),(45 4809619.5),(46 4824168.5),(47 4887822),(48 4975815.5),(49 5087102),(50 5233896.5),(51 5358120.5),(52 5497114),(53 5626952.5),(54 5752066),(55 5874576),(56 6046583.5),(57 6221210),(58 6394238),(59 6543994),(60 6702407.5),(61 6838998),(62 6980827),(63 7083384),(64 7203174),(65 7297016.5),(66 7405236.5),(67 7568592.5),(68 7761752.5),(69 7920540.5),(70 8057700.5),(71 8192376.5),(72 8325693),(73 8432955),(74 8542860),(75 8628543),(76 8708983),(77 8777453),(78 8806967),(79 8824809),
(1 21361.219),(2 67026.9),(3 138521.03),(4 226882.66),(5 341095.53),(6 465038.34),(7 615880.3),(8 778975.5),(9 967881.2),(10 1165096),(11 1379535.3),(12 1591653),(13 1806292.4),(14 2030617),(15 2278402.5),(16 2543451.5),(17 2802801.5),(18 3065043.3),(19 3312268.5),(20 3570831.5),(21 3831671.3),(22 4095235.3),(23 4344220),(24 4635967),(25 4923812.5),(26 5191429.5),(27 5418915),(28 5629398),(29 5778000),(30 5906648.5),(31 6024045),(32 6135373),(33 6233111),(34 6337698.5),(35 6425850),(36 6543364),(37 6640685.5),(38 6727268),(39 6770238.5),(40 6817636),(41 6840237),(42 6845736),(43 6787933.5),(44 6700662),(45 6565333),(46 6420076),(47 6258268),(48 6108387),(49 5962323.5),(50 5851949),(51 5739466.5),(52 5654173),(53 5599477),(54 5576277.5),(55 5581049.5),(56 5653495.5),(57 5734685),(58 5791060.5),(59 5802496),(60 5832906.5),(61 5834453),(62 5859115),(63 5876801.5),(64 5891020.5),(65 5901461),(66 5941111),(67 5977926),(68 6041572),(69 6081505),(70 6112930.5),(71 6138401.5),(72 6186540),(73 6209810.5),(74 6251788),(75 6284695),(76 6319697.5),(77 6304227),(78 6293041.5),(79 6265166),
(1 16695.043),(2 55230.5),(3 118167.22),(4 201183.16),(5 309423.38),(6 441110.63),(7 598986.4),(8 782281.56),(9 977759.25),(10 1180675.8),(11 1393541.9),(12 1612641.1),(13 1842952.9),(14 2080827.8),(15 2338322.3),(16 2601587.8),(17 2872223.8),(18 3138893.3),(19 3396198.8),(20 3651156.5),(21 3918797.5),(22 4164233.3),(23 4402493),(24 4632311.5),(25 4852229),(26 5045147),(27 5218287),(28 5367391),(29 5485425),(30 5587499.5),(31 5677962),(32 5743879),(33 5796296),(34 5820058),(35 5834339),(36 5823268.5),(37 5802167),(38 5779092.5),(39 5747993),(40 5700433),(41 5664448.5),(42 5609823.5),(43 5555814),(44 5499600),(45 5443371.5),(46 5390571),(47 5347444.5),(48 5312152.5),(49 5297825),(50 5285281),(51 5286362.5),(52 5287986.5),(53 5319626),(54 5364411.5),(55 5413123.5),(56 5479363),(57 5576056.5),(58 5646750),(59 5694282.5),(60 5738155),(61 5771704),(62 5826220.5),(63 5878048),(64 5944404.5),(65 6005421.5),(66 6077858.5),(67 6159402.5),(68 6238503),(69 6311337),(70 6387333),(71 6450436.5),(72 6523311),(73 6593237.5),(74 6665398),(75 6724477),(76 6755773.5),(77 6791612.5),(78 6811242.5),(79 6815141),
(1 20416.117),(2 69732.71),(3 147221.3),(4 244792.3),(5 362940.13),(6 492240.13),(7 638517.06),(8 792338.4),(9 960319.8),(10 1137250.1),(11 1320855.8),(12 1501174.4),(13 1686795.3),(14 1879237.1),(15 2073019.3),(16 2257365),(17 2426539.8),(18 2580942.8),(19 2736223.3),(20 2870560.8),(21 2991675),(22 3087455),(23 3167529),(24 3226470.8),(25 3278770.8),(26 3325640.5),(27 3368726.3),(28 3411159.5),(29 3451146.3),(30 3485900.8),(31 3520524),(32 3540701.8),(33 3563621.5),(34 3585008.5),(35 3604458.8),(36 3592841.5),(37 3603525.8),(38 3613803),(39 3633242.3),(40 3641223),(41 3667565.8),(42 3707737.3),(43 3769025),(44 3851731.3),(45 3950837.3),(46 4048279.5),(47 4137615.8),(48 4220163),(49 4296427),(50 4355173.5),(51 4405609.5),(52 4442404),(53 4487058.5),(54 4527223.5),(55 4556526.5),(56 4590520.5),(57 4632987.5),(58 4677782.5),(59 4718025.5),(60 4767160),(61 4815563.5),(62 4883549),(63 4956962.5),(64 5029770.5),(65 5106241),(66 5179189.5),(67 5258344.5),(68 5337667),(69 5417533),(70 5505280.5),(71 5596816),(72 5684561),(73 5765297),(74 5851737),(75 5932688.5),(76 6001095.5),(77 6065047.5),(78 6128525),(79 6192497.5),
(1 23657.775),(2 81692.53),(3 173686.63),(4 287386.84),(5 427219.2),(6 589593.9),(7 775565.9),(8 977734.5),(9 1201290.1),(10 1437357.1),(11 1682281.8),(12 1931129.4),(13 2194700.3),(14 2459808.5),(15 2720567.5),(16 2959756.5),(17 3174857.5),(18 3358680.5),(19 3522956.3),(20 3656400),(21 3767141.8),(22 3843698),(23 3890077.3),(24 3917349),(25 3936931.3),(26 3955446),(27 3956623.5),(28 3965748.8),(29 3983179.8),(30 3996710),(31 3995000.5),(32 3993886),(33 3993904.5),(34 3998566.5),(35 3999353),(36 4002239.5),(37 4005981.3),(38 4019129),(39 4052747.3),(40 4078267.8),(41 4104459.3),(42 4137722),(43 4182905.5),(44 4235546.5),(45 4278001),(46 4336552.5),(47 4381396),(48 4437749.5),(49 4489763.5),(50 4540041),(51 4568399),(52 4608508.5),(53 4623423.5),(54 4645057.5),(55 4660520.5),(56 4680271),(57 4674267.5),(58 4637085),(59 4571989.5),(60 4490622),(61 4411700),(62 4338942),(63 4281896.5),(64 4219618.5),(65 4166598.5),(66 4125681.5),(67 4098651.3),(68 4100435.8),(69 4120360),(70 4153342),(71 4195859),(72 4245895.5),(73 4300403),(74 4364652),(75 4425272),(76 4493424),(77 4575985),(78 4621667),(79 4705048),
(1 26908.152),(2 95194.984),(3 204023.94),(4 342582.56),(5 516171.22),(6 721067.6),(7 957796.44),(8 1216096),(9 1497025),(10 1789972.9),(11 2088902),(12 2386437.8),(13 2684327),(14 2977527.8),(15 3258718),(16 3507700),(17 3736115.5),(18 3917110.8),(19 4078054.8),(20 4194558),(21 4286638),(22 4347846),(23 4389231),(24 4398547.5),(25 4399154),(26 4383685),(27 4360756),(28 4323840),(29 4287740),(30 4233866.5),(31 4174622.3),(32 4101212.5),(33 4027120),(34 3953905.3),(35 3887620.5),(36 3818179.5),(37 3762094.8),(38 3708458),(39 3681237),(40 3669437.5),(41 3666530.5),(42 3667837),(43 3668272),(44 3673448.3),(45 3687681),(46 3705971),(47 3727899),(48 3761136.5),(49 3807288.5),(50 3857154.8),(51 3908430.3),(52 3973389.3),(53 4028777),(54 4101252.5),(55 4185889.8),(56 4290858),(57 4379141),(58 4447926),(59 4500142.5),(60 4535840),(61 4566547),(62 4597216.5),(63 4636052),(64 4682227.5),(65 4732217),(66 4786666),(67 4866614.5),(68 4966940.5),(69 5064986.5),(70 5163042.5),(71 5265109),(72 5370035.5),(73 5472874.5),(74 5561507.5),(75 5639314),(76 5687478),(77 5686480.5),(78 5668774),(79 5664621.5),
(1 31150.875),(2 113506.984),(3 246002.7),(4 418627.4),(5 637712.9),(6 894186.94),(7 1188800.8),(8 1499480),(9 1821785.1),(10 2140139.3),(11 2459642.8),(12 2764918.5),(13 3061176),(14 3341950.5),(15 3599500),(16 3821819.8),(17 4014054.5),(18 4160528),(19 4270661.5),(20 4337361),(21 4378159),(22 4389284.5),(23 4381325.5),(24 4363796.5),(25 4336682.5),(26 4301077.5),(27 4273844.5),(28 4239864.5),(29 4211111.5),(30 4173314.8),(31 4132581.8),(32 4056346),(33 3987778),(34 3915431),(35 3856644.8),(36 3793817.3),(37 3726744.5),(38 3646035.5),(39 3570125),(40 3496706.8),(41 3430442.8),(42 3363943.5),(43 3306231),(44 3245878.5),(45 3189174.8),(46 3146770),(47 3114718),(48 3089972.3),(49 3068450.8),(50 3059279),(51 3060964),(52 3081017),(53 3118491.5),(54 3183860.8),(55 3257737.5),(56 3349717.3),(57 3436902.8),(58 3511432),(59 3565631),(60 3622234),(61 3674161.5),(62 3732044.3),(63 3786225.8),(64 3855331.5),(65 3935886),(66 4025583.5),(67 4117040),(68 4217192),(69 4314012),(70 4418043.5),(71 4505045),(72 4588836),(73 4656171.5),(74 4709131.5),(75 4767493),(76 4787745.5),(77 4767498.5),(78 4724749.5),(79 4658431.5),
