1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8721.153),(2 18070.88),(3 23093.488),(4 25930.156),(5 27116.541),(6 28420.59),(7 30274.146),(8 32954.81),(9 34643.47),(10 35942.855),(11 36148.62),(12 36071.355),(13 36131.594),(14 37288.566),(15 37349.777),(16 37454.313),(17 36533.426),(18 36822.586),(19 36471.184),(20 36832.816),(21 37002.406),(22 37489.348),(23 37027.637),(24 37178.492),(25 36822.715),(26 37561.94),(27 37244.082),(28 37142.31),(29 36585.72),(30 36759.7),(31 36179.625),(32 36175.4),(33 35765.027),(34 36158.34),(35 35892.555),(36 36309.023),(37 35738.79),(38 35602.254),(39 34921.156),(40 35305.242),(41 35264.73),(42 35973.223),(43 36309.92),(44 36790.063),(45 36940.35),(46 37673.137),(47 37696.742),(48 37889.24),(49 37904.04),(50 37565.21),(51 37706.453),(52 37612.926),(53 38298.4),(54 37989.492),(55 38437.23),(56 38672.17),(57 39596.01),(58 38932.95),(59 38783.434),(60 38708.516),(61 39450.63),(62 39042.926),(63 38604.49),(64 37930.063),(65 37985.88),(66 37666.6),(67 37723.086),(68 37594.2),(69 38186.39),(70 38658.42),(71 39346.246),(72 38931.508),(73 39172.965),(74 38522.113),(75 38707.77),(76 38623.574),(77 39424.92),(78 38858.496),(79 39043.61),
(1 8708.251),(2 17892.395),(3 23109.6),(4 25695.242),(5 26689.492),(6 28063.771),(7 30209.41),(8 32752.4),(9 34493.926),(10 35194.72),(11 34848.21),(12 34642.098),(13 34699.332),(14 35649.63),(15 35806.86),(16 36255.055),(17 35602.19),(18 36019.617),(19 36052.656),(20 36423.31),(21 35915.008),(22 36688.246),(23 37039.516),(24 37667.586),(25 37465.875),(26 37967.043),(27 37790.85),(28 38326.59),(29 38347.87),(30 38620.703),(31 38483.91),(32 38649.58),(33 38434.875),(34 38413.656),(35 38081.547),(36 38443.34),(37 37852.875),(38 37889.555),(39 37461.55),(40 37969.813),(41 37536.547),(42 37967.77),(43 38246.633),(44 38256.77),(45 37933.26),(46 38898.64),(47 38710.1),(48 38731.617),(49 39199.984),(50 38465.227),(51 38052.934),(52 37470.406),(53 37484.22),(54 37400.605),(55 37770.94),(56 37686.34),(57 38364.668),(58 38144.605),(59 37954.754),(60 37564.66),(61 37881.625),(62 37693.34),(63 37829.98),(64 37600.453),(65 37564.19),(66 37629.117),(67 37928.016),(68 37973.68),(69 38094.457),(70 37881.594),(71 38214.84),(72 37868.504),(73 38049.313),(74 37733.754),(75 38309.207),(76 38443.69),(77 39203.83),(78 38827.75),(79 39204.445),
(1 8812.317),(2 18441.729),(3 23601),(4 25736.842),(5 26473.428),(6 28090.094),(7 29792.56),(8 31806.078),(9 33057.977),(10 33897.047),(11 34128.508),(12 34380.477),(13 34463.004),(14 35112.734),(15 34756.254),(16 34741),(17 34271.695),(18 35000.293),(19 34891.473),(20 35444.027),(21 35584.586),(22 36565.867),(23 36955.86),(24 37947.305),(25 38356.426),(26 38866.395),(27 38688.66),(28 39687.918),(29 39417.844),(30 39455.035),(31 39075.1),(32 39363.875),(33 38940.332),(34 39312.184),(35 38906.684),(36 39077.402),(37 38467.418),(38 38396.395),(39 38058.504),(40 38497.92),(41 37789.164),(42 37662.754),(43 37856.773),(44 38386.855),(45 38114.707),(46 38941.727),(47 39334.395),(48 39817.684),(49 39885.863),(50 39614.723),(51 39133.168),(52 38506.684),(53 38446.637),(54 38322.367),(55 38732.402),(56 38764.34),(57 39053.305),(58 38728.984),(59 39005.508),(60 38784.664),(61 38781.848),(62 38482.945),(63 38347.258),(64 37966.56),(65 38055.938),(66 37344.06),(67 37223.082),(68 37237.508),(69 37465.543),(70 37546.258),(71 37919.18),(72 37354.91),(73 37497.863),(74 36998.484),(75 37826.16),(76 37834.656),(77 38578.438),(78 38415.406),(79 38988.58),
(1 8347.508),(2 17307.447),(3 22203.348),(4 24492.748),(5 25274.676),(6 26953.498),(7 28758.322),(8 30974.865),(9 31690.254),(10 31850.111),(11 31698.242),(12 31983.088),(13 32358.992),(14 33244.1),(15 33236.004),(16 33385.21),(17 32913.605),(18 33275.285),(19 33118.902),(20 33670.816),(21 33884.62),(22 34682.87),(23 35000.133),(24 35651.99),(25 35592.508),(26 35847.625),(27 35660.773),(28 36145.227),(29 36184.254),(30 36243.25),(31 35769.184),(32 35724.453),(33 35396.047),(34 35299.332),(35 35054.656),(36 35519.227),(37 35190.695),(38 35495.625),(39 35147.355),(40 35815.547),(41 35331.617),(42 35185.105),(43 35456.56),(44 35629.54),(45 35406.293),(46 35631.293),(47 35750.574),(48 35847.305),(49 36138.324),(50 36002.58),(51 35952.67),(52 35529.125),(53 35432.52),(54 35117.85),(55 34956.69),(56 34337.418),(57 34300.48),(58 34039.813),(59 34429.293),(60 34267.957),(61 34503.918),(62 34164.992),(63 34515.215),(64 34180.297),(65 34632.65),(66 34371.203),(67 34795.99),(68 35060.62),(69 35702.33),(70 35726.594),(71 35936.69),(72 35393.04),(73 35939.13),(74 35853.625),(75 36518.594),(76 36396.914),(77 37163.703),(78 36777.95),(79 37288.42),
(1 8302.696),(2 17248.908),(3 22109.633),(4 24524.104),(5 25371.818),(6 26878.992),(7 28698.19),(8 30990.086),(9 32067.271),(10 32733.066),(11 32548.111),(12 32671.33),(13 32877.723),(14 33460.13),(15 33027.984),(16 32800.805),(17 32186.074),(18 33358.832),(19 33475.855),(20 34260.03),(21 34199.91),(22 34991.633),(23 35140.05),(24 35437.07),(25 35301.223),(26 35350.543),(27 34717.258),(28 34998.277),(29 34924.957),(30 35110.793),(31 34921.695),(32 35163.785),(33 35258.957),(34 35622.05),(35 35708.145),(36 36285.938),(37 36073.01),(38 36708.4),(39 36501.918),(40 36958.67),(41 36614.4),(42 37155.063),(43 36895.402),(44 37563.734),(45 37909.188),(46 38684.08),(47 38393.016),(48 38627.152),(49 38841.94),(50 38542.676),(51 38544.33),(52 37535.1),(53 37148.625),(54 36484.918),(55 36235.164),(56 35416.11),(57 35095.457),(58 34439.645),(59 34657.508),(60 34851.75),(61 35126.96),(62 35083.938),(63 35296.063),(64 35325.484),(65 35501.875),(66 35010.36),(67 35618.434),(68 35908.117),(69 36429.777),(70 36230.523),(71 36649.04),(72 35888.344),(73 35769.742),(74 35148.043),(75 35363.293),(76 34987.426),(77 35719.6),(78 35113.08),(79 35427.44),
(1 7735.1836),(2 15723.735),(3 20159.143),(4 22564.832),(5 23696.27),(6 24949.025),(7 26837.182),(8 29024.78),(9 29990.715),(10 30271.744),(11 30070.361),(12 30437.525),(13 30510.424),(14 30801.182),(15 30856.451),(16 31337.166),(17 31242.475),(18 32372.744),(19 32152.352),(20 32342.18),(21 31922.832),(22 32848.574),(23 33077.094),(24 33130.367),(25 32705.27),(26 33068.156),(27 32927.24),(28 33301.926),(29 32857.574),(30 32894.57),(31 32667.018),(32 32843.766),(33 32712.201),(34 32845.285),(35 32605.123),(36 32946.023),(37 32611.436),(38 32673.729),(39 32529.889),(40 33129.426),(41 33016.88),(42 33111.094),(43 33485.254),(44 34187.348),(45 34111.094),(46 34436.56),(47 33978.023),(48 34345.387),(49 34511.504),(50 34162.582),(51 34188.598),(52 33777.953),(53 33910.15),(54 33836.574),(55 34217.926),(56 33944.59),(57 34300.188),(58 33958.43),(59 34082.984),(60 34094.44),(61 34275.793),(62 33686.973),(63 33778.06),(64 33543.387),(65 33906.098),(66 33798.03),(67 33994.152),(68 34199.203),(69 34639.746),(70 33861.53),(71 33773.227),(72 33251.617),(73 33775),(74 33628.11),(75 33798.926),(76 33026.688),(77 33530.688),(78 33282.953),(79 33720.336),
(1 7678.9834),(2 15728.776),(3 20038.566),(4 22157.307),(5 22737.307),(6 23690.854),(7 25381.059),(8 27389.076),(9 28325.668),(10 29025.09),(11 28804.787),(12 28997.459),(13 29427.879),(14 30110),(15 30038.406),(16 30333.395),(17 30076.076),(18 30658.191),(19 30713.287),(20 31193.084),(21 31121.42),(22 32056.186),(23 32145.486),(24 32373.621),(25 32062.975),(26 32498.373),(27 32586),(28 33293.977),(29 33098.22),(30 33081.9),(31 32760.803),(32 32972.773),(33 32678.219),(34 32722.66),(35 32212.398),(36 32544.01),(37 32302.332),(38 32633.803),(39 32107.264),(40 32265.885),(41 31906.996),(42 31919.156),(43 31980.578),(44 32294.363),(45 32428.584),(46 33168.953),(47 33358.64),(48 33701.55),(49 33706.242),(50 33291.12),(51 33345.527),(52 33333.168),(53 33621.98),(54 33536.227),(55 34022.89),(56 33769.637),(57 33749.414),(58 33623.656),(59 33583.54),(60 33576.66),(61 33716.047),(62 33583.02),(63 33712.285),(64 33362.582),(65 33833.293),(66 33055.62),(67 32666.594),(68 32704.057),(69 32850.895),(70 32329.771),(71 32731.666),(72 32212.98),(73 32697.318),(74 32378.871),(75 32314.277),(76 31569.084),(77 31928.209),(78 31726.477),(79 31982.74),
(1 7554.819),(2 15232.6875),(3 19312.12),(4 21521.943),(5 22520.445),(6 24035.934),(7 25886.898),(8 27929.744),(9 28461.422),(10 28675.49),(11 28507.143),(12 29029.365),(13 29319.516),(14 29977.367),(15 29652.623),(16 29836.395),(17 29440.006),(18 30642.758),(19 30549.633),(20 30885.094),(21 30947.492),(22 31776.775),(23 31945.908),(24 32423.822),(25 31887.299),(26 31983.768),(27 31889.652),(28 32474.615),(29 32580.861),(30 32995.19),(31 32882.87),(32 33047.35),(33 32476.54),(34 32534.227),(35 31815.088),(36 32259.385),(37 32014.113),(38 31930.865),(39 31246.574),(40 31442.635),(41 31098.367),(42 31162.87),(43 31494.521),(44 32398.367),(45 32409.21),(46 32885.316),(47 33247.74),(48 33450.527),(49 33421.51),(50 33116.99),(51 33471.53),(52 33494.348),(53 33525.61),(54 33490.02),(55 33707.234),(56 33418.316),(57 33957.582),(58 33924.1),(59 33973.05),(60 33398.793),(61 33500.598),(62 33065.754),(63 33200.285),(64 33162.1),(65 33393.09),(66 33315.535),(67 33519.97),(68 33283.277),(69 33417.145),(70 33138.773),(71 33942.605),(72 33470.074),(73 33502.477),(74 32880.47),(75 32687.955),(76 32474.758),(77 32886.664),(78 32765.238),(79 33276.844),
(1 7130.182),(2 14363.808),(3 18056.953),(4 19962.443),(5 20622.277),(6 21970.482),(7 23933.834),(8 26113.596),(9 26690.832),(10 26881.227),(11 26947.607),(12 27561.451),(13 28127.676),(14 29266.758),(15 29313.377),(16 29342.922),(17 28588.314),(18 29299.248),(19 28648.193),(20 28801.408),(21 29139.79),(22 29994.418),(23 30215.287),(24 30687.547),(25 30338.7),(26 30570.66),(27 30436.07),(28 31020.91),(29 31080.035),(30 31385.627),(31 31079.982),(32 31494.545),(33 31053.256),(34 31396.322),(35 30968.89),(36 31373.488),(37 31096.209),(38 31475.365),(39 30973.146),(40 30856.707),(41 30276.457),(42 30021.95),(43 30206.264),(44 30235.344),(45 30332.768),(46 30314.125),(47 30032.637),(48 30009.484),(49 29803.703),(50 29323.506),(51 29430.229),(52 29106.258),(53 28811.918),(54 28837.96),(55 29347.195),(56 29612.773),(57 30161.83),(58 30182.99),(59 30580.688),(60 30252.467),(61 30475.838),(62 30654.82),(63 31467.656),(64 31520.434),(65 31757.398),(66 31575.625),(67 31751.82),(68 31724.193),(69 32010.395),(70 31717.188),(71 32223.994),(72 31852.498),(73 31817.313),(74 31382.26),(75 31204.879),(76 30665.34),(77 31165.328),(78 31036.057),(79 31482.594),
(1 7131.871),(2 14332.704),(3 18247.377),(4 20478.477),(5 21232.871),(6 22535.887),(7 24381.953),(8 26177.121),(9 26698.559),(10 26957.777),(11 26810.135),(12 27106.688),(13 27408.326),(14 28366.229),(15 28193.4),(16 28363.658),(17 27777.615),(18 28131.264),(19 27490.65),(20 27582.34),(21 27491.162),(22 28175.113),(23 28351.225),(24 28838.285),(25 28567.629),(26 28666.275),(27 28516.135),(28 29027.945),(29 29064.402),(30 29354.338),(31 29072.021),(32 29521.912),(33 29686.809),(34 30313.055),(35 30011.902),(36 30210.838),(37 29469.055),(38 29481.84),(39 29431.81),(40 29708.564),(41 29351.078),(42 29649.955),(43 29708.385),(44 29739.047),(45 29476.098),(46 29792.217),(47 29622.94),(48 29502.19),(49 29765.963),(50 29733.576),(51 29955.504),(52 29749.945),(53 29762.33),(54 29450.31),(55 29681.275),(56 29908.637),(57 30184.055),(58 29927.152),(59 30104.17),(60 30206.578),(61 31054.867),(62 31321.523),(63 31935.01),(64 31942.477),(65 32480.252),(66 32310.209),(67 32133.527),(68 32096.555),(69 32209.922),(70 31664.31),(71 32226.027),(72 31953.385),(73 32069.992),(74 31376.43),(75 31591.217),(76 31265.828),(77 31452.172),(78 31450.43),(79 31920.35),
(1 6960.436),(2 14057.145),(3 17789.531),(4 19812.436),(5 20822.977),(6 22487.701),(7 24537.254),(8 26439.055),(9 26786.46),(10 27081.402),(11 26989.754),(12 27179.543),(13 27253.594),(14 27822.916),(15 27521.307),(16 27663.469),(17 27176.71),(18 27832.127),(19 27421.752),(20 27526.521),(21 27131.164),(22 27710.996),(23 27676.424),(24 27463.484),(25 27038.645),(26 27297.553),(27 26917.984),(28 27351.5),(29 27619.375),(30 27941.744),(31 27635.064),(32 27734.531),(33 27809.416),(34 27995.045),(35 28109.127),(36 28844.71),(37 28611.979),(38 28865.666),(39 28952.086),(40 29736.58),(41 29774.28),(42 30177.492),(43 30531.516),(44 30850.158),(45 30903.521),(46 31271.664),(47 30933.166),(48 31021.785),(49 31306.082),(50 31173.824),(51 31035.232),(52 30654.416),(53 30619.752),(54 30224.297),(55 30110.986),(56 29944.293),(57 30030.895),(58 29879.977),(59 30185.32),(60 30337.123),(61 30332.69),(62 30141.443),(63 30313.465),(64 29836.422),(65 29687.16),(66 29298.43),(67 29554.666),(68 29180.803),(69 29559.059),(70 29610.498),(71 30279.482),(72 30057.29),(73 30127.785),(74 30158.451),(75 30749.484),(76 30551.11),(77 30988.693),(78 30933.664),(79 31527.928),
(1 6699.1006),(2 13289.169),(3 16621),(4 18398.563),(5 19212.908),(6 20444.914),(7 21898.291),(8 23478.04),(9 23716.184),(10 24094.145),(11 24527.232),(12 25263.805),(13 25504.65),(14 25986.58),(15 25942.334),(16 26333.324),(17 26138.594),(18 27003.852),(19 26577.889),(20 26534.14),(21 26496.902),(22 27176.656),(23 26990.268),(24 27326.291),(25 27157.797),(26 27195.385),(27 26670.672),(28 26921.676),(29 26809.45),(30 27253.77),(31 27019.37),(32 27345.238),(33 27069.227),(34 27142.58),(35 27147.162),(36 27894.203),(37 27426.396),(38 27380.26),(39 26962.99),(40 27264.014),(41 26893.984),(42 26937.133),(43 27255.648),(44 27306.49),(45 27427.791),(46 28166.203),(47 28178.23),(48 28222.277),(49 28466.936),(50 28415.525),(51 28591.117),(52 28259.305),(53 28454.754),(54 28053.098),(55 28331.465),(56 28224.152),(57 28430.979),(58 28471.188),(59 28944.781),(60 29362.498),(61 29677.693),(62 29422.508),(63 29742.957),(64 29336.164),(65 29134.951),(66 28725.004),(67 28682.537),(68 28561.762),(69 29257.637),(70 29282.738),(71 29844.072),(72 29497.803),(73 29779.664),(74 29759.018),(75 30165.295),(76 30010.232),(77 30157.033),(78 29568.73),(79 29781.652),
(1 6552.534),(2 12856.696),(3 15952.386),(4 17665.89),(5 18714.898),(6 19786.896),(7 20971.787),(8 22251.742),(9 22614.309),(10 23077.148),(11 23357.33),(12 24152.75),(13 24272.467),(14 24796.455),(15 24314.504),(16 24519.598),(17 24249.592),(18 25139.887),(19 24894.947),(20 25170.205),(21 25258.389),(22 25704.125),(23 25658.352),(24 26240.959),(25 25974.69),(26 25919.71),(27 25296.46),(28 25473.53),(29 25553.074),(30 25836.42),(31 25988.64),(32 26412.277),(33 26147.404),(34 26580.209),(35 26495.766),(36 26957.135),(37 26528.383),(38 26373.3),(39 25969.03),(40 26374.357),(41 26351.805),(42 26690.441),(43 26856.46),(44 27128.305),(45 26911.242),(46 27461.912),(47 27247.686),(48 27103.633),(49 27323.959),(50 27031.748),(51 26729.848),(52 26713.266),(53 27067.45),(54 26903.695),(55 27313.166),(56 27209.752),(57 27407.309),(58 27209.701),(59 27708.447),(60 27627.563),(61 27757.367),(62 27385.596),(63 27268.713),(64 27022.102),(65 27351.893),(66 27109.266),(67 27173.023),(68 27027.467),(69 27740.018),(70 27864.732),(71 28439.867),(72 27918.43),(73 28222.984),(74 27701.34),(75 27910.453),(76 27620.916),(77 28023.463),(78 27562.783),(79 27560.111),
(1 6294.4043),(2 12045.612),(3 15094.724),(4 16992.982),(5 18038.3),(6 19463.37),(7 20572.977),(8 21900.11),(9 22543.117),(10 23134.541),(11 23146.918),(12 23352.438),(13 23183.814),(14 23377.16),(15 23007.479),(16 23238.822),(17 22903.402),(18 23640.541),(19 23326.65),(20 23702.537),(21 23925.34),(22 24500.357),(23 24058.043),(24 24262.803),(25 24291.178),(26 24561.79),(27 24238.271),(28 24560.783),(29 24570.895),(30 24421.41),(31 24144.238),(32 24845.943),(33 24986.113),(34 25430.47),(35 25565.002),(36 26081.014),(37 25628.441),(38 25590.145),(39 25683.654),(40 26406.746),(41 26202.623),(42 26428.664),(43 26720.09),(44 26755.66),(45 26321.666),(46 26934.625),(47 26763.867),(48 26894.447),(49 27038.275),(50 26924.93),(51 26651.178),(52 26300.701),(53 26566.377),(54 26145.932),(55 26169.984),(56 25893.418),(57 26303.16),(58 26423.615),(59 26729.266),(60 26541.543),(61 26545.201),(62 26074.424),(63 26165.66),(64 26182.205),(65 26540.781),(66 26157.885),(67 26120.691),(68 25845.455),(69 26128.664),(70 26073.574),(71 26644.113),(72 26136.371),(73 26503.107),(74 26200.328),(75 26222.092),(76 25930.678),(77 26520.19),(78 26374.594),(79 26859.066),
(1 6433.948),(2 12623.781),(3 15767.651),(4 17752.959),(5 19020.873),(6 20471.486),(7 21581.852),(8 22891.01),(9 23535.88),(10 24003.158),(11 23986),(12 24142.37),(13 24154.504),(14 24337.45),(15 24106.092),(16 24229.918),(17 23578.3),(18 23994.58),(19 23570.492),(20 23896.166),(21 23952.676),(22 24646.008),(23 24530.766),(24 24811.188),(25 24653.47),(26 25057.375),(27 24902.738),(28 25415.188),(29 25195.178),(30 25156.781),(31 24965.46),(32 25423.488),(33 25479.59),(34 25925.598),(35 26116.406),(36 26513.201),(37 25731.773),(38 25546.262),(39 25475.416),(40 25977.092),(41 25514.023),(42 25497.086),(43 25693.947),(44 26019.621),(45 25844.771),(46 26221.465),(47 25937.496),(48 26066.014),(49 26269.11),(50 25832.77),(51 25981.313),(52 25613.904),(53 25482.418),(54 25079.686),(55 25223.896),(56 25248.625),(57 25690.908),(58 25892.447),(59 26336.012),(60 26525.535),(61 27042.424),(62 27188.53),(63 27699.785),(64 27806.855),(65 28030.959),(66 28080.273),(67 28157.86),(68 27748.705),(69 28015.184),(70 27685.15),(71 27800.932),(72 27292.72),(73 27434.648),(74 27207.078),(75 27560.848),(76 27362.055),(77 27519.098),(78 27110.814),(79 27255.787),
(1 6086.401),(2 11566.527),(3 14298.183),(4 15861.389),(5 16967.857),(6 18309.086),(7 19496.098),(8 20764.271),(9 21048.617),(10 21520.168),(11 21537.299),(12 21669.063),(13 21701.566),(14 21734.93),(15 21539.152),(16 21598.553),(17 21247.348),(18 21720.555),(19 21628.348),(20 22142.762),(21 22396.86),(22 23031.121),(23 23263.62),(24 23763.588),(25 23581.115),(26 23778.852),(27 23366.158),(28 23431.012),(29 22943.99),(30 22938.375),(31 22627.39),(32 22768.572),(33 22682.05),(34 22882.697),(35 22900.66),(36 23078.82),(37 22521.635),(38 22852.713),(39 22739.95),(40 22812.877),(41 22401.135),(42 22689.572),(43 22888.07),(44 23204.15),(45 23230.46),(46 23899.723),(47 24043.465),(48 24304.217),(49 24861.295),(50 24649.42),(51 24743.148),(52 24762.28),(53 24913.236),(54 24393.568),(55 24114.227),(56 23890.883),(57 24025.123),(58 23776.158),(59 24117.744),(60 24138.795),(61 24336.197),(62 24337.252),(63 24689.186),(64 24716.838),(65 24870.121),(66 24714.541),(67 25014.39),(68 24910.863),(69 25096.934),(70 24806.703),(71 24682.363),(72 24112.512),(73 23951.465),(74 23647.908),(75 23990.982),(76 23575.521),(77 23924.29),(78 23815.178),(79 24102.727),
(1 5843.853),(2 11378.285),(3 14236.468),(4 15889.67),(5 16847.012),(6 18227.758),(7 19629.986),(8 21247.244),(9 21744.73),(10 22055.963),(11 22103.865),(12 22435.4),(13 22652.018),(14 23256.795),(15 22789.004),(16 22790.313),(17 22483.473),(18 23235.11),(19 22861.287),(20 23271.13),(21 23003.969),(22 23158.598),(23 23051.955),(24 23478.277),(25 23515.738),(26 23647.29),(27 23717.77),(28 23986.664),(29 23708.213),(30 24120.434),(31 23882.844),(32 24329.6),(33 24290.111),(34 24461.197),(35 24241.494),(36 24251.645),(37 23535.773),(38 23737.822),(39 23760.783),(40 24100.336),(41 23724.186),(42 23809.232),(43 23941.334),(44 24253.3),(45 24026.377),(46 24235.25),(47 24296.713),(48 24651.707),(49 25076.902),(50 24758.076),(51 24651.564),(52 24624.727),(53 24803.203),(54 24297.764),(55 23881.762),(56 23492.527),(57 23429.318),(58 23234.193),(59 23519.34),(60 23297.604),(61 23455.51),(62 23340.428),(63 23474.62),(64 23454.037),(65 23959.504),(66 23778.637),(67 23874.477),(68 23825.15),(69 24048.379),(70 23812.537),(71 23877.035),(72 23256.924),(73 23292.998),(74 22829.803),(75 22845.71),(76 22859.645),(77 23484.236),(78 23464.465),(79 23465.46),
(1 5727.987),(2 11105.804),(3 13815.991),(4 15420.758),(5 16263.863),(6 17435.414),(7 18822.572),(8 20150.33),(9 20525.307),(10 20912.217),(11 21042.21),(12 21559.33),(13 21546.252),(14 21878.752),(15 21510.959),(16 21543.623),(17 21262.617),(18 21752.648),(19 21658.076),(20 22239.49),(21 22330.873),(22 22721.156),(23 22613.904),(24 22608.346),(25 22294.111),(26 22504.73),(27 22526.03),(28 22832.396),(29 22645.846),(30 22718.965),(31 22284.396),(32 22347.633),(33 22180.693),(34 22575.295),(35 22564.105),(36 22804.387),(37 22385.848),(38 22717.764),(39 22891.848),(40 23188.531),(41 23090.771),(42 23435.492),(43 23439.629),(44 23495.291),(45 23180.676),(46 23062.945),(47 22507.996),(48 22409.291),(49 22451.943),(50 22196.676),(51 22210.24),(52 22139.547),(53 22455.072),(54 22399.598),(55 22669.97),(56 22653.6),(57 22888.953),(58 22890.957),(59 23086.418),(60 22748.264),(61 22898.29),(62 22634.262),(63 22857.932),(64 22649.691),(65 22697.479),(66 22694.621),(67 23090.143),(68 23175.531),(69 23406.43),(70 23249.762),(71 23559.398),(72 23322.393),(73 23611.564),(74 23297.623),(75 23473.117),(76 23362.309),(77 23638.918),(78 23466.248),(79 23610.637),
