1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 7036.35),(2 12538.928),(3 17888.273),(4 18637.424),(5 20905.318),(6 20203.154),(7 21841.436),(8 21693.9),(9 23801.746),(10 23641.502),(11 25017.781),(12 23933.203),(13 25524.043),(14 24935.5),(15 27093.006),(16 26151.9),(17 27357.65),(18 26997.965),(19 28958.18),(20 28421.662),(21 30299.387),(22 29674.12),(23 31388.145),(24 30638.516),(25 32087.367),(26 31278.875),(27 33295.176),(28 33112.035),(29 35440.227),(30 35442.79),(31 37841.95),(32 38775.902),(33 41530.184),(34 41598.87),(35 44330.223),(36 44829.793),(37 47859.51),(38 48434.074),(39 51316.105),(40 52277.117),(41 54715.25),(42 55325.27),(43 58300.086),(44 59176.48),(45 62346.625),(46 63239.133),(47 66403.86),(48 67233.17),(49 70146.58),(50 71416.93),(51 74744.71),(52 74963.35),(53 77567.336),(54 78423.71),(55 81212.38),(56 81835.68),(57 84797.16),(58 85366.95),(59 88410.19),(60 88757.22),(61 91011.23),(62 90994.92),(63 93125.86),(64 93016.92),(65 94556.66),(66 93954.17),(67 94967.42),(68 93330.234),(69 93986.57),(70 92491.42),(71 93046.74),(72 91047.94),(73 91146.04),(74 88740.05),(75 88602.45),(76 86378.68),(77 86362.73),(78 84565.38),(79 84733.5),
(1 7083.4434),(2 12256.817),(3 17487.898),(4 18299.494),(5 20553.248),(6 20012.148),(7 21907.83),(8 21191.209),(9 22978.37),(10 22669.613),(11 24395.121),(12 23500.994),(13 25271.3),(14 24638.97),(15 26832.871),(16 25728.357),(17 26882.576),(18 26596.262),(19 28199.7),(20 27688.781),(21 29378.027),(22 28926.938),(23 30915.205),(24 30341.857),(25 32033.516),(26 30966.855),(27 32582.889),(28 32824.824),(29 34990.84),(30 34817.945),(31 37048.777),(32 37293.34),(33 39389.3),(34 39015.254),(35 41630.348),(36 41656.6),(37 43892.94),(38 43776.12),(39 46032.176),(40 47046.81),(41 49734.89),(42 50771.15),(43 54043.906),(44 54343.215),(45 56515.92),(46 56928.324),(47 59911.37),(48 61266.06),(49 64455.438),(50 65301.92),(51 68514.83),(52 69531.336),(53 72585.68),(54 73188.34),(55 75955.22),(56 76321.09),(57 79018.3),(58 79578.68),(59 82356.73),(60 82879.92),(61 84879.69),(62 84784.94),(63 86655.11),(64 86116.98),(65 87484.82),(66 87081.32),(67 87611.81),(68 85964.84),(69 86665.23),(70 84966.4),(71 85525.54),(72 83956.32),(73 84029.62),(74 81943.9),(75 82001.9),(76 80088.08),(77 80131.2),(78 78419.01),(79 78139.44),
(1 7108.172),(2 12344.364),(3 17316.438),(4 18011.44),(5 20107.11),(6 19548.346),(7 21433.336),(8 21195.346),(9 23551.25),(10 23055.742),(11 24195.582),(12 23171.752),(13 24813.594),(14 24269.324),(15 26761),(16 26154.563),(17 27535.84),(18 27098.225),(19 29059.303),(20 28551.623),(21 29928.467),(22 29463.29),(23 31362.31),(24 30885.871),(25 32429.318),(26 31647.508),(27 33240.78),(28 33356.32),(29 35444.64),(30 35384.184),(31 37620.996),(32 37975.13),(33 39834.883),(34 39287.703),(35 41687.574),(36 41855.813),(37 44088.586),(38 44128.477),(39 47345.8),(40 48234.797),(41 50663.637),(42 51026.31),(43 54222.28),(44 54999.902),(45 57792.746),(46 58871.69),(47 61862.082),(48 63088.945),(49 66390.36),(50 67333.49),(51 70421.414),(52 71238.805),(53 74275.625),(54 75159.65),(55 77804.68),(56 78609.64),(57 81924.05),(58 82485.375),(59 84801.81),(60 84778.63),(61 86372.58),(62 86107.805),(63 88078.01),(64 87682.664),(65 88546.945),(66 88025.43),(67 88736.766),(68 87362.836),(69 88620.266),(70 87564.81),(71 87861.9),(72 85984.72),(73 86485.34),(74 84446.87),(75 84454.945),(76 82500.414),(77 82536.234),(78 80505.64),(79 80288.06),
(1 6968.048),(2 11799.468),(3 16667.535),(4 17116.951),(5 19173.113),(6 18804.027),(7 20539.918),(8 19962.004),(9 22004.004),(10 21352.84),(11 22732.346),(12 21806.33),(13 23864.754),(14 23520.225),(15 25741.78),(16 24995.467),(17 26714.676),(18 26353.998),(19 28334.125),(20 27265.225),(21 28656.854),(22 28456.512),(23 30418.861),(24 29797.826),(25 31614.768),(26 31180.47),(27 33308.24),(28 33198.477),(29 35437.965),(30 35461.74),(31 37806.14),(32 38273.426),(33 40436.746),(34 40612.633),(35 42815.387),(36 43212.44),(37 45639.21),(38 45487.563),(39 47959.13),(40 48982.742),(41 52313.51),(42 53106.79),(43 56146.76),(44 56669.75),(45 59845.984),(46 61355.66),(47 65027.723),(48 65977.04),(49 69250.11),(50 69685.29),(51 72786.94),(52 73142.516),(53 76352.92),(54 77235.336),(55 79561.19),(56 80649.6),(57 83749.8),(58 84374.17),(59 87325.67),(60 87603.234),(61 89422.586),(62 89435.44),(63 91831.66),(64 91508.95),(65 92922.25),(66 91670.875),(67 92422.67),(68 90727.09),(69 91151.61),(70 89248.8),(71 89774.984),(72 87427.26),(73 87996.98),(74 85877.27),(75 86120.73),(76 83954.13),(77 83969.24),(78 81934.19),(79 81231.375),
(1 6682.514),(2 11188.103),(3 15948.374),(4 16644.816),(5 18539.613),(6 18171.281),(7 19909.402),(8 19538.633),(9 21516.85),(10 20852.72),(11 22311.799),(12 21482.34),(13 23417.248),(14 23133.09),(15 25386.498),(16 24636.152),(17 26026.787),(18 25827.848),(19 27648.148),(20 26835.729),(21 28459.93),(22 28249.54),(23 29865.092),(24 29137.867),(25 30762.336),(26 30148.105),(27 32142.607),(28 32100.176),(29 34020.566),(30 34216.02),(31 36981.59),(32 38113.047),(33 40116.934),(34 40626.39),(35 43360.688),(36 43908.918),(37 46338.63),(38 46582.64),(39 49225.72),(40 50101.23),(41 53315.26),(42 54288.043),(43 57362.848),(44 58625.77),(45 61774.957),(46 63051.926),(47 66647.72),(48 68191.734),(49 71495.47),(50 71922.15),(51 75089.53),(52 75560.25),(53 78071.484),(54 78530.5),(55 80783.39),(56 80423.12),(57 82483.164),(58 82692.02),(59 84905.04),(60 84484.47),(61 86234.44),(62 85873.9),(63 88059.33),(64 87589.44),(65 88574.49),(66 87234.625),(67 87961.805),(68 86229.81),(69 86816.42),(70 84884.1),(71 85195.44),(72 82610),(73 82768.195),(74 80398.375),(75 80596.27),(76 78189.086),(77 78182.89),(78 76095.57),(79 76386.01),
(1 6494.469),(2 10950.599),(3 15716.672),(4 16087.112),(5 18073.127),(6 17910.932),(7 19539.97),(8 19005.973),(9 20717.686),(10 19982.053),(11 21273.12),(12 20595.049),(13 22427.5),(14 22180.836),(15 24127.766),(16 23511.635),(17 25188.602),(18 24709.977),(19 26389.31),(20 25438.865),(21 27030.271),(22 26600.023),(23 28498.83),(24 28036.912),(25 29853.959),(26 29411.836),(27 31455.455),(28 31103.703),(29 32736.521),(30 32272.555),(31 34946.164),(32 35664.03),(33 38008.156),(34 37907.586),(35 40189.223),(36 41076.28),(37 43690.707),(38 43798.363),(39 45955.215),(40 46618.516),(41 49726.598),(42 50250.26),(43 52853.62),(44 53493.895),(45 56531.2),(46 58128.844),(47 61471.316),(48 62572.574),(49 66207.555),(50 66994.04),(51 69992.86),(52 70840.37),(53 74099.77),(54 74027.88),(55 76287.914),(56 76209.266),(57 78539.63),(58 78738.805),(59 80922.61),(60 81021.24),(61 83449.12),(62 82684.49),(63 83998.76),(64 82837.78),(65 83866.08),(66 83065.85),(67 84217.57),(68 82367.32),(69 83176.09),(70 81054.48),(71 81101.44),(72 78420.336),(73 78314.875),(74 75425.945),(75 75633.57),(76 73679.125),(77 74006.99),(78 71715.86),(79 71890.695),
(1 6322.391),(2 10655.13),(3 15336.634),(4 15601.413),(5 17590.615),(6 17503.113),(7 19441.686),(8 19075.818),(9 21155.918),(10 20906.717),(11 22528.55),(12 21897.79),(13 23626.016),(14 23243.986),(15 25532.492),(16 24674.453),(17 26247.154),(18 25904.21),(19 27820.568),(20 27012.566),(21 28704.826),(22 28450.828),(23 30539.58),(24 29679.62),(25 31252.998),(26 30733.121),(27 33281.6),(28 32599.857),(29 34264.402),(30 33866.69),(31 36543.242),(32 36693.35),(33 38865.004),(34 39368.758),(35 42382.63),(36 42358.93),(37 44669.99),(38 45429.434),(39 48160.33),(40 48418.375),(41 51106.97),(42 51800.688),(43 55292.777),(44 56903.965),(45 60641.848),(46 62117.996),(47 65840.516),(48 67398.81),(49 70739.17),(50 71486.14),(51 74528.945),(52 74844.41),(53 77421.34),(54 77938.52),(55 81105.54),(56 81689.97),(57 84289.28),(58 84655.11),(59 87160.41),(60 86951.34),(61 88835.97),(62 88482.05),(63 90059.664),(64 88750.59),(65 89908.19),(66 88675.305),(67 89026.21),(68 87071.664),(69 87544.59),(70 85021.336),(71 84903.05),(72 82316.71),(73 82482.83),(74 80218.12),(75 80523.016),(76 78033.05),(77 77844),(78 75824.09),(79 76140.875),
(1 6396.2715),(2 10708.153),(3 15058.551),(4 15154.088),(5 17114.027),(6 16786.205),(7 18698.494),(8 18406.44),(9 20189.893),(10 19586.465),(11 21235.182),(12 20643.404),(13 22301.674),(14 21732.55),(15 23408.273),(16 22178.879),(17 23440.566),(18 23182.969),(19 25014.854),(20 24376.313),(21 26156.867),(22 25734.37),(23 27680.697),(24 27238.014),(25 28782.324),(26 28091.695),(27 30276.592),(28 29884.688),(29 31453.188),(30 31075.625),(31 34091.28),(32 34811.29),(33 36703.88),(34 36877.67),(35 39944.61),(36 40186.01),(37 42543.38),(38 42737.12),(39 45840.438),(40 46612.918),(41 49300.156),(42 50012.523),(43 53394.418),(44 54373.957),(45 57806.15),(46 58993.754),(47 62307.184),(48 63425.53),(49 66388.94),(50 66857.75),(51 69859.21),(52 70400.82),(53 73232.06),(54 73293.49),(55 75523.7),(56 75358.2),(57 77518.53),(58 77946.05),(59 80577.1),(60 80758.875),(61 82504.76),(62 81892.29),(63 83537.01),(64 82213.5),(65 83595.22),(66 82747.445),(67 83445.7),(68 81704.33),(69 82412.24),(70 80572.76),(71 80615.04),(72 78260.08),(73 78072.35),(74 75551.16),(75 75867.02),(76 73980.08),(77 74009.54),(78 72139.59),(79 72250.27),
(1 6417.449),(2 10726.724),(3 14846.358),(4 15211.249),(5 17223.145),(6 17038.56),(7 18883.756),(8 18414.682),(9 20245.469),(10 19636.96),(11 20859.557),(12 20012.13),(13 21452.803),(14 21317.361),(15 23256.873),(16 22493.283),(17 23788.135),(18 23497.352),(19 25258.578),(20 24641.418),(21 26245.816),(22 25893.723),(23 27670.861),(24 27053.568),(25 28321.66),(26 27724.793),(27 29864.582),(28 29652.217),(29 31300.393),(30 30926.79),(31 33275.258),(32 33863.445),(33 35854.707),(34 35882.074),(35 38545.78),(36 39015.563),(37 42216.95),(38 42594.38),(39 45545.03),(40 46156.387),(41 48736.645),(42 49507.645),(43 52775.754),(44 53774.504),(45 57090.52),(46 58181.97),(47 60981.094),(48 61537.063),(49 64343),(50 64982.547),(51 67992.33),(52 68794.58),(53 71239.375),(54 71499.695),(55 73583.125),(56 73882.73),(57 76283.11),(58 76041.56),(59 77978.51),(60 77401.52),(61 78944.03),(62 78480.01),(63 79549.28),(64 78459.88),(65 79416.89),(66 78235.16),(67 78527.375),(68 76900.14),(69 77232.29),(70 75138.9),(71 75255.76),(72 73150.29),(73 72906.31),(74 70826.484),(75 71241.586),(76 69487.52),(77 69633.03),(78 67784.1),(79 68510.06),
(1 6121.8164),(2 10280.542),(3 14181.354),(4 14599.292),(5 16480.758),(6 16214.873),(7 17850.012),(8 17422.936),(9 19232.922),(10 18674.922),(11 20096.629),(12 19537.57),(13 20841.344),(14 20718.428),(15 22879.225),(16 22186.826),(17 23582.363),(18 23357.838),(19 25246.885),(20 24884.02),(21 26647.613),(22 26446.412),(23 28370.182),(24 27936.602),(25 28699.99),(26 28054.299),(27 30059.477),(28 29893.695),(29 31711.734),(30 31805.46),(31 34436.76),(32 35191.99),(33 37401.227),(34 37882.25),(35 40406.848),(36 41014.28),(37 43754.24),(38 44064.918),(39 46803.31),(40 47723.367),(41 50431.25),(42 51607.21),(43 54842.08),(44 55849.547),(45 59113.76),(46 60409.445),(47 63379.266),(48 64728.45),(49 67774.12),(50 68595.38),(51 71114.54),(52 71588.03),(53 74467.23),(54 75257.22),(55 77573.46),(56 77921.44),(57 79555.26),(58 79326.66),(59 81368.81),(60 81346.54),(61 82671.17),(62 82409.39),(63 83464.79),(64 82151.13),(65 82674.16),(66 81497.39),(67 81633.3),(68 79828.9),(69 79853.55),(70 77752.88),(71 77228.23),(72 74904.11),(73 74890.375),(74 73051.58),(75 73299.73),(76 71981.875),(77 71869.375),(78 70211.62),(79 70366.93),
(1 6043.051),(2 9818.501),(3 13468.14),(4 13703.374),(5 15804.213),(6 15371.561),(7 16968.154),(8 16527.434),(9 18105.945),(10 17654.945),(11 19447.568),(12 18815.264),(13 20213.697),(14 19813.334),(15 21803.777),(16 21253.475),(17 22960.432),(18 22257.172),(19 24000.498),(20 23580.465),(21 25518.662),(22 25033.354),(23 26826.842),(24 26493.379),(25 27669.598),(26 26756.3),(27 28596.771),(28 28646.096),(29 30837.473),(30 31118.281),(31 33595.332),(32 33488.84),(33 35206.242),(34 34980.527),(35 37443.582),(36 37896.902),(37 40628.918),(38 40611.145),(39 42858.652),(40 42914.51),(41 45677.094),(42 46527.703),(43 49361.316),(44 50022.207),(45 53049.227),(46 53918.18),(47 57344.887),(48 58497.863),(49 61472.016),(50 61468.34),(51 64236.1),(52 64353.28),(53 66768.914),(54 67332.53),(55 70045.77),(56 70164),(57 72195.04),(58 72426.164),(59 74804.32),(60 74699.55),(61 76355.72),(62 75917.37),(63 77177.32),(64 76272.97),(65 77714.945),(66 76803.234),(67 77625.11),(68 76117.06),(69 76760.29),(70 74562.125),(71 74247.45),(72 71965.8),(73 71940.44),(74 70213.32),(75 70920.234),(76 68980.16),(77 69402.02),(78 67617.91),(79 67553.78),
(1 6026.069),(2 9652.489),(3 13174.256),(4 13309.436),(5 15382.283),(6 14877.717),(7 16542.596),(8 16062.105),(9 17715.088),(10 17154.225),(11 18772.275),(12 18400.955),(13 20088.195),(14 19936.037),(15 21789.969),(16 20827.121),(17 22574.928),(18 22375.592),(19 23920.818),(20 23592.582),(21 25350.803),(22 25273.01),(23 27280.367),(24 26826.29),(25 27699.227),(26 27159.547),(27 29248.246),(28 29031.695),(29 31115.47),(30 31218.385),(31 33277.836),(32 33684.465),(33 35762.22),(34 35397.934),(35 37896.047),(36 38568.703),(37 41162.473),(38 41250.38),(39 44191.563),(40 45196.965),(41 47945.098),(42 48554.676),(43 51288.418),(44 52107.33),(45 54833.477),(46 55749.305),(47 59036.816),(48 59958.266),(49 62846.93),(50 63666.41),(51 66312.1),(52 66766.93),(53 69295.34),(54 69977.734),(55 72426.98),(56 72333.62),(57 74249.125),(58 74014.52),(59 75891.54),(60 75765.41),(61 76905.414),(62 75882.46),(63 76884.19),(64 75975.33),(65 76810.78),(66 75975.3),(67 76382.195),(68 74438.46),(69 74803.25),(70 72690.836),(71 72465.62),(72 70081.86),(73 69708.23),(74 67192.02),(75 67376.42),(76 64938.977),(77 64537.215),(78 62179.66),(79 62301.66),
(1 5964.702),(2 9388.376),(3 13078.333),(4 13118.306),(5 15355.424),(6 14786.966),(7 16350.927),(8 15892.89),(9 17403.303),(10 16736.035),(11 18580.26),(12 18230.033),(13 19908.053),(14 19365.826),(15 20983.951),(16 20323.418),(17 21805.896),(18 21160.38),(19 22375.965),(20 21894.326),(21 23637.918),(22 23128.65),(23 24905.635),(24 24164.836),(25 25530.566),(26 24734.57),(27 26750.82),(28 26408.15),(29 28559.592),(30 28039.79),(31 29821.309),(32 29755.432),(33 31505.438),(34 31140.336),(35 33350.35),(36 33309.74),(37 35191.184),(38 35319.64),(39 37820.914),(40 38025.605),(41 40326.96),(42 40652.336),(43 43287.184),(44 43928.563),(45 46788.5),(46 47685.336),(47 50338.18),(48 50686.44),(49 53343.043),(50 53262.44),(51 55546.56),(52 55635.254),(53 57993.105),(54 58274.24),(55 60738.42),(56 60213.99),(57 61817.957),(58 61809),(59 63728.125),(60 63180.875),(61 64548.742),(62 63736.914),(63 64461.043),(64 62967.656),(65 64232.59),(66 63316.62),(67 64055.004),(68 62333.26),(69 62564.79),(70 60389.406),(71 60933.063),(72 59032.5),(73 59322.527),(74 57354.9),(75 57765.438),(76 55604.79),(77 56069.64),(78 54445.344),(79 55110.754),
(1 5836.573),(2 9604.561),(3 13202.837),(4 13230.056),(5 14855.561),(6 14247.521),(7 15897.799),(8 15504.317),(9 17061.709),(10 16597.48),(11 18056.178),(12 17606.283),(13 18981.87),(14 18345.236),(15 19756.693),(16 19118.088),(17 20503.361),(18 20027.271),(19 21484.441),(20 21185.826),(21 22997.875),(22 22593.87),(23 24267.102),(24 23583.537),(25 24766.379),(26 24017.049),(27 26085.639),(28 26185.62),(29 28649.063),(30 28710.053),(31 30706.336),(32 31196.43),(33 33539.594),(34 33515.023),(35 35687.418),(36 36213.473),(37 38746.402),(38 39236.41),(39 41787.996),(40 42310.242),(41 45015.57),(42 45451.117),(43 47892.453),(44 48544.21),(45 51239.582),(46 52235.51),(47 55421.277),(48 56171.066),(49 58554.605),(50 58649.977),(51 60933.64),(52 61054.176),(53 63052.844),(54 63348.555),(55 65439.164),(56 65071.61),(57 66732),(58 66718.38),(59 68465.695),(60 67711.05),(61 68745.82),(62 67608.484),(63 68528.3),(64 67468.086),(65 68227.86),(66 66878.555),(67 67376.25),(68 65818.33),(69 66100.09),(70 64149.74),(71 64389.156),(72 62117.32),(73 61832.418),(74 59726.195),(75 59796.906),(76 57626.04),(77 58311.496),(78 56653.25),(79 57012.195),
(1 5680.9517),(2 9112.162),(3 12600.321),(4 12376.064),(5 14215.746),(6 13773.455),(7 15312.729),(8 14898.686),(9 16508.176),(10 16014.316),(11 17490.701),(12 16994.277),(13 18471.598),(14 17682.594),(15 19027.053),(16 18292.447),(17 19911.129),(18 19491.984),(19 20566.055),(20 20195.094),(21 21819.799),(22 21298.96),(23 22813.307),(24 22221.91),(25 23522.299),(26 22476.834),(27 24307.564),(28 24615.406),(29 26402.215),(30 26156.824),(31 28183.318),(32 28137.273),(33 29979.17),(34 30080.063),(35 32531.84),(36 32360.652),(37 34392.164),(38 34649.844),(39 36592.19),(40 37293.063),(41 39838.35),(42 40413.03),(43 43046.55),(44 43532.34),(45 46418.324),(46 47430.086),(47 50025.44),(48 50646.65),(49 53151.49),(50 53339.973),(51 55703.043),(52 55776.707),(53 57730.992),(54 58113.027),(55 60372.33),(56 60198.348),(57 61955.637),(58 61878.473),(59 63470.676),(60 63061.168),(61 64656.293),(62 64088.797),(63 64719.14),(64 63666.984),(65 64598.473),(66 63543.914),(67 63982.41),(68 62628.27),(69 62977.168),(70 61083.33),(71 61345.793),(72 59632.76),(73 59589.176),(74 57567.117),(75 57925.16),(76 55948.9),(77 56493.82),(78 55384.25),(79 55863.227),
(1 5719.3296),(2 9311.208),(3 12637.715),(4 12388.749),(5 14287.462),(6 13860.046),(7 15299.677),(8 15099.821),(9 16707.97),(10 16093.887),(11 17349.92),(12 17061.78),(13 18709.121),(14 17779.418),(15 19176.73),(16 18431.29),(17 20034.99),(18 19405.139),(19 20849.309),(20 20445.807),(21 22086.457),(22 21581.518),(23 22962.428),(24 22570.16),(25 24093.268),(26 23626.377),(27 25542.646),(28 25558.701),(29 27649.832),(30 27722.627),(31 29844.799),(32 29907.713),(33 31914.316),(34 32199.473),(35 34569.094),(36 34754.88),(37 37087.402),(38 37409.38),(39 39718.375),(40 40568.496),(41 42849.84),(42 43457.848),(43 46253.258),(44 47198.242),(45 50280.164),(46 51326.203),(47 54396.9),(48 55471.484),(49 58518.66),(50 58891.773),(51 61400.266),(52 62301.02),(53 64629.797),(54 64950.38),(55 66818.42),(56 66444.08),(57 68370.414),(58 68567.984),(59 70767.31),(60 70681.82),(61 71927.6),(62 71266.266),(63 71962.39),(64 70945.09),(65 72060.375),(66 71028.414),(67 71271.28),(68 69570.086),(69 69586.13),(70 67609.28),(71 67762.4),(72 65643.51),(73 65291.035),(74 62952.242),(75 62827.426),(76 60606.504),(77 60989.965),(78 59473.742),(79 59767.473),
(1 5472.923),(2 8874.474),(3 12074.513),(4 11850.349),(5 13549.893),(6 13479.735),(7 15097.249),(8 14629.879),(9 16129.311),(10 15522.476),(11 16796.398),(12 16410.986),(13 17976.254),(14 17315.13),(15 18690.068),(16 17941.117),(17 19230.56),(18 18727.42),(19 20043.291),(20 19525.996),(21 20945.963),(22 20300.318),(23 21750.408),(24 21290.264),(25 22641.736),(26 22156.08),(27 23852.248),(28 23792.645),(29 25480.225),(30 25570.393),(31 27311.004),(32 27564.148),(33 29395.066),(34 29627.201),(35 31637.604),(36 31769.121),(37 34264.98),(38 34528.19),(39 37113.93),(40 38132.008),(41 40422.348),(42 40839.586),(43 43451.91),(44 44249.313),(45 47179.324),(46 48023.316),(47 50779.953),(48 51783.703),(49 55059.934),(50 55768.918),(51 58060.707),(52 58410.332),(53 60594.184),(54 60802.332),(55 62978.26),(56 63279.598),(57 64952.26),(58 65051.887),(59 66749.74),(60 66248.945),(61 67779.586),(62 66884.43),(63 67884.586),(64 66882.836),(65 67863.71),(66 66859.19),(67 67618.39),(68 65909.516),(69 65829.945),(70 63825.28),(71 63802.152),(72 61251.547),(73 60995.36),(74 58733.207),(75 58784),(76 56661.066),(77 56727.902),(78 54956.645),(79 55260.688),
(1 5405.776),(2 8606.741),(3 11662.926),(4 11508.371),(5 13220.962),(6 12988.82),(7 14696.32),(8 14180.274),(9 15623.661),(10 14960.119),(11 16267.916),(12 15683.373),(13 17158.83),(14 16413.875),(15 17909.4),(16 17268.158),(17 18737.248),(18 18366.873),(19 19815.05),(20 19208.154),(21 20750.38),(22 20216.248),(23 21498.902),(24 20779.236),(25 22236.695),(26 21755.896),(27 23327.012),(28 23076.709),(29 25152.922),(30 25133.742),(31 26910.678),(32 27055.508),(33 29135.852),(34 29369.246),(35 31480.955),(36 31638.688),(37 34046.855),(38 34358.35),(39 36769.594),(40 37652.324),(41 40501.152),(42 41188.95),(43 43916.336),(44 44794.383),(45 47958.17),(46 49031.664),(47 51739.887),(48 52642.68),(49 55619.99),(50 56292.434),(51 59267.016),(52 59780.605),(53 62283.703),(54 62594.855),(55 64667.72),(56 64624.29),(57 66269.516),(58 66164.375),(59 68031.57),(60 67293.9),(61 68496.945),(62 67271.61),(63 68031.65),(64 66501.01),(65 67262.69),(66 66078.625),(67 66175.2),(68 64243.402),(69 64418.984),(70 61796.418),(71 61667.31),(72 58796.926),(73 58208.277),(74 55959.27),(75 55877.055),(76 53245.684),(77 53256.176),(78 51520.484),(79 52155.125),
