1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 49284.375),(2 96458.09),(3 132861.31),(4 227479.48),(5 309642.72),(6 377947.75),(7 518514.66),(8 634658.44),(9 740504.3),(10 916718.75),(11 1077618.6),(12 1240973.4),(13 1476701.6),(14 1686267),(15 1898103.4),(16 2183160.8),(17 2438757),(18 2681936.3),(19 3010952),(20 3309466.8),(21 3612522),(22 4013639.3),(23 4394207.5),(24 4772670.5),(25 5224009),(26 5650327.5),(27 6083523.5),(28 6580456),(29 7037840),(30 7476033.5),(31 7971717.5),(32 8436084),(33 8886724),(34 9418528),(35 9931347),(36 10414029),(37 10998777),(38 11540769),(39 12068421),(40 12650871),(41 13201667),(42 13691785),(43 14218903),(44 14689253),(45 15110588),(46 15751609),(47 16438333),(48 16916222),(49 17529914),(50 18037394),(51 18437626),(52 18942094),(53 19417150),(54 19759846),(55 20191452),(56 20575248),(57 20833854),(58 21150550),(59 21478314),(60 21682490),(61 22000558),(62 22289290),(63 22411046),(64 22662104),(65 22884266),(66 22993544),(67 23191722),(68 23357574),(69 23438896),(70 23538610),(71 23694266),(72 23763792),(73 23940630),(74 24166198),(75 24318738),(76 24584320),(77 24890186),(78 25021002),(79 25287542),
(1 35751.457),(2 83346.375),(3 140755.52),(4 250311.6),(5 358935.44),(6 469688.9),(7 628364.9),(8 775681.3),(9 919243.8),(10 1108643),(11 1293192.1),(12 1474685.3),(13 1698126),(14 1909665.3),(15 2118847),(16 2361316),(17 2597508),(18 2838928.5),(19 3110181.5),(20 3394588),(21 3667226),(22 3975999.5),(23 4288972),(24 4592569.5),(25 4929355.5),(26 5269605),(27 5598763),(28 5957063),(29 6306319),(30 6658347),(31 7030253.5),(32 7420512),(33 7798925),(34 8239523),(35 8699494),(36 9147213),(37 9634980),(38 10139414),(39 10629040),(40 11156062),(41 11665067),(42 12126443),(43 12610521),(44 13096280),(45 13529211),(46 14093986),(47 14655069),(48 15071306),(49 15561590),(50 16086064),(51 16523456),(52 17013548),(53 17520842),(54 17959622),(55 18422402),(56 18899566),(57 19299044),(58 19766830),(59 20246780),(60 20648026),(61 21087126),(62 21558660),(63 21936720),(64 22354616),(65 22776940),(66 23126928),(67 23509010),(68 23940934),(69 24303804),(70 24693012),(71 25162902),(72 25562406),(73 26014980),(74 26516906),(75 26912182),(76 27364236),(77 27865172),(78 28241216),(79 28640420),
(1 23609.172),(2 66582.49),(3 127643.29),(4 219480.45),(5 318884.72),(6 420520.75),(7 540365.06),(8 654922.6),(9 765589.06),(10 895565.2),(11 1021129.2),(12 1146734.5),(13 1293797.6),(14 1439752.4),(15 1597672.4),(16 1779012.1),(17 1951719.5),(18 2139183.3),(19 2350228.5),(20 2565115.8),(21 2786699.3),(22 3035956),(23 3295062.8),(24 3559192.8),(25 3841418.3),(26 4128093),(27 4417784),(28 4722018.5),(29 5008726.5),(30 5298697.5),(31 5600324),(32 5879081.5),(33 6159193.5),(34 6473101.5),(35 6779216.5),(36 7070201.5),(37 7379680),(38 7678425.5),(39 7978169.5),(40 8303528),(41 8597901),(42 8877787),(43 9179567),(44 9450736),(45 9701259),(46 9982118),(47 10281713),(48 10529101),(49 10835989),(50 11144792),(51 11420856),(52 11743271),(53 12083821),(54 12402888),(55 12737479),(56 13068989),(57 13364552),(58 13694304),(59 14010507),(60 14269133),(61 14562107),(62 14868800),(63 15132840),(64 15421489),(65 15712712),(66 15989675),(67 16312488),(68 16661632),(69 16984992),(70 17338232),(71 17714734),(72 18044224),(73 18417696),(74 18811330),(75 19171682),(76 19565630),(77 20047254),(78 20497874),(79 20974200),
(1 22385.455),(2 74730.29),(3 155227.97),(4 265803.53),(5 393540.28),(6 537042.06),(7 702917.25),(8 877369.7),(9 1069072.1),(10 1284249.5),(11 1514114.8),(12 1756719.8),(13 2021770.6),(14 2296471.5),(15 2587018.8),(16 2890825.3),(17 3209125.8),(18 3543151),(19 3890680.5),(20 4248892),(21 4610322),(22 4997286),(23 5393454),(24 5806826),(25 6246770),(26 6694608.5),(27 7144829.5),(28 7620345),(29 8082770),(30 8558790),(31 9045150),(32 9517199),(33 10003450),(34 10506228),(35 10990970),(36 11455324),(37 11938080),(38 12394970),(39 12845160),(40 13291522),(41 13722770),(42 14154521),(43 14607602),(44 15033088),(45 15466171),(46 15880146),(47 16281369),(48 16682686),(49 17104600),(50 17500618),(51 17858284),(52 18221256),(53 18567978),(54 18900974),(55 19203960),(56 19477272),(57 19745916),(58 20033666),(59 20323456),(60 20586966),(61 20866158),(62 21130910),(63 21384060),(64 21617690),(65 21812608),(66 21997086),(67 22198932),(68 22379848),(69 22554994),(70 22722424),(71 22888750),(72 23060834),(73 23248480),(74 23385750),(75 23513388),(76 23652288),(77 23790756),(78 23940124),(79 24084196),
(1 24312.244),(2 85757.84),(3 183882.64),(4 317029.97),(5 476694.47),(6 658428.3),(7 869831.4),(8 1104392.8),(9 1359823),(10 1650115.6),(11 1971873.6),(12 2310875.5),(13 2668033.5),(14 3043356),(15 3435743.8),(16 3841195),(17 4263973),(18 4708653),(19 5167312.5),(20 5650974.5),(21 6144083),(22 6649760),(23 7170733),(24 7696577.5),(25 8256337.5),(26 8842569),(27 9436349),(28 10018823),(29 10624890),(30 11218276),(31 11799847),(32 12352193),(33 12880992),(34 13421172),(35 13951904),(36 14437844),(37 14928143),(38 15404669),(39 15856150),(40 16292369),(41 16731130),(42 17156026),(43 17600968),(44 18032434),(45 18464506),(46 18917426),(47 19393300),(48 19802728),(49 20219628),(50 20606430),(51 20985724),(52 21381288),(53 21788804),(54 22195728),(55 22580096),(56 22934110),(57 23309948),(58 23699902),(59 24107808),(60 24480280),(61 24858014),(62 25212626),(63 25584928),(64 25906764),(65 26213090),(66 26491470),(67 26732834),(68 26910984),(69 27058286),(70 27166452),(71 27271400),(72 27341890),(73 27381912),(74 27349894),(75 27298354),(76 27248466),(77 27187752),(78 27113646),(79 27036654),
(1 21487.043),(2 77259.734),(3 169128.97),(4 292850.16),(5 445633.56),(6 629177.6),(7 849436.6),(8 1094969.8),(9 1372659.3),(10 1684944),(11 2028960.8),(12 2403887.3),(13 2805411.5),(14 3228579.5),(15 3675606.8),(16 4128236.8),(17 4598998.5),(18 5088734),(19 5589562.5),(20 6089294),(21 6610740),(22 7120954.5),(23 7631624),(24 8138277),(25 8663458),(26 9184642),(27 9705180),(28 10201017),(29 10687254),(30 11152650),(31 11601174),(32 12015440),(33 12392125),(34 12743403),(35 13050906),(36 13310003),(37 13576131),(38 13814019),(39 14037277),(40 14253672),(41 14435712),(42 14601341),(43 14781310),(44 14946562),(45 15114774),(46 15302794),(47 15508381),(48 15640630),(49 15783635),(50 15922762),(51 16085139),(52 16240221),(53 16406186),(54 16592672),(55 16773981),(56 16968500),(57 17199908),(58 17435928),(59 17689198),(60 17942566),(61 18209248),(62 18465418),(63 18744612),(64 19019540),(65 19307572),(66 19579984),(67 19845664),(68 20081354),(69 20313072),(70 20525074),(71 20722516),(72 20889502),(73 21040028),(74 21154328),(75 21275266),(76 21385460),(77 21491716),(78 21583960),(79 21672454),
(1 22654.986),(2 81282.04),(3 175729.14),(4 305639.44),(5 465598.06),(6 657498.6),(7 887417.3),(8 1144673.5),(9 1437435.5),(10 1772147.3),(11 2142070.5),(12 2549340.5),(13 2989365.5),(14 3459570.5),(15 3955473.8),(16 4466127.5),(17 5000632),(18 5566694),(19 6156623.5),(20 6769335),(21 7400376.5),(22 8028166),(23 8673731),(24 9297593),(25 9956724),(26 10632087),(27 11292495),(28 11942897),(29 12616955),(30 13278455),(31 13935372),(32 14575536),(33 15202453),(34 15835082),(35 16460935),(36 17037758),(37 17634880),(38 18227594),(39 18782520),(40 19326554),(41 19839572),(42 20317006),(43 20801218),(44 21271776),(45 21709544),(46 22153558),(47 22592558),(48 22988860),(49 23348280),(50 23661112),(51 23943934),(52 24197064),(53 24416164),(54 24616690),(55 24767882),(56 24862934),(57 24956128),(58 25020488),(59 25055550),(60 25035020),(61 24993602),(62 24942052),(63 24886496),(64 24812388),(65 24695036),(66 24537188),(67 24366844),(68 24172962),(69 23984300),(70 23779708),(71 23550940),(72 23304438),(73 23055348),(74 22800790),(75 22538824),(76 22263764),(77 22020308),(78 21790956),(79 21567516),
(1 27766.805),(2 103800.016),(3 227026.61),(4 396404.78),(5 608084.3),(6 860336.06),(7 1157333.9),(8 1494117.6),(9 1869958.8),(10 2281294.5),(11 2728116.8),(12 3207893.8),(13 3718504.5),(14 4271471.5),(15 4860413),(16 5462635.5),(17 6098822),(18 6750734),(19 7415499.5),(20 8095069.5),(21 8775002),(22 9457377),(23 10149904),(24 10820714),(25 11506640),(26 12193743),(27 12874730),(28 13547891),(29 14221878),(30 14867535),(31 15498571),(32 16091482),(33 16646129),(34 17137334),(35 17594364),(36 17997334),(37 18371486),(38 18680712),(39 18945088),(40 19154524),(41 19317146),(42 19406844),(43 19464306),(44 19471540),(45 19454706),(46 19411234),(47 19344810),(48 19215486),(49 19050214),(50 18847036),(51 18614930),(52 18346230),(53 18060620),(54 17771504),(55 17484928),(56 17186754),(57 16892590),(58 16600770),(59 16309728),(60 16030793),(61 15753218),(62 15492169),(63 15256516),(64 15038450),(65 14844382),(66 14659642),(67 14481131),(68 14329261),(69 14224970),(70 14131360),(71 14057485),(72 14006212),(73 13990669),(74 13993517),(75 14006010),(76 14023084),(77 14049605),(78 14078911),(79 14118737),
(1 21144.041),(2 77800.65),(3 169021.88),(4 292883.4),(5 451374.88),(6 642191.06),(7 868895.5),(8 1129786),(9 1422156.4),(10 1743486.4),(11 2098255.3),(12 2480890.5),(13 2890987.3),(14 3317764.8),(15 3762668.5),(16 4223461.5),(17 4701337.5),(18 5190799.5),(19 5682086),(20 6157350),(21 6632520.5),(22 7084421),(23 7516129.5),(24 7916647.5),(25 8297135),(26 8653775),(27 8988843),(28 9296053),(29 9573364),(30 9809190),(31 10001836),(32 10158351),(33 10278003),(34 10360225),(35 10395691),(36 10391636),(37 10350795),(38 10261734),(39 10127903),(40 9962181),(41 9776955),(42 9564300),(43 9333705),(44 9097342),(45 8866814),(46 8634628),(47 8420462),(48 8206401),(49 8003862.5),(50 7813504.5),(51 7635147),(52 7476387),(53 7338612.5),(54 7226900),(55 7148555.5),(56 7092747),(57 7059330),(58 7063370.5),(59 7107224.5),(60 7194538),(61 7307955),(62 7437136),(63 7587831),(64 7765246),(65 7961978.5),(66 8160855.5),(67 8385761),(68 8620875),(69 8870426),(70 9123486),(71 9382475),(72 9644962),(73 9917688),(74 10183834),(75 10462605),(76 10732256),(77 11000857),(78 11269810),(79 11534398),
(1 23345.504),(2 87005.42),(3 189251.64),(4 326576.2),(5 494764.13),(6 692401.44),(7 916737.44),(8 1163732.3),(9 1433181.9),(10 1719717.5),(11 2025730.5),(12 2348957),(13 2677757.5),(14 3011762.8),(15 3345700.5),(16 3681999),(17 4026040.5),(18 4366509),(19 4711019.5),(20 5047255),(21 5374072),(22 5682019),(23 5974362),(24 6240522.5),(25 6497170.5),(26 6749783),(27 6998762),(28 7225410),(29 7440990),(30 7627308.5),(31 7787397.5),(32 7936381.5),(33 8068890),(34 8177285.5),(35 8277730),(36 8341308.5),(37 8388947),(38 8420101),(39 8432524),(40 8431269),(41 8416164),(42 8389749),(43 8364521),(44 8335869.5),(45 8304368),(46 8276860.5),(47 8258392),(48 8251683.5),(49 8248368),(50 8247697),(51 8248947.5),(52 8254610.5),(53 8266311),(54 8284527),(55 8316101.5),(56 8351507.5),(57 8395358),(58 8443551),(59 8497578),(60 8560747),(61 8624707),(62 8674248),(63 8718727),(64 8760660),(65 8818455),(66 8869902),(67 8909854),(68 8948462),(69 8984838),(70 9014444),(71 9043022),(72 9064675),(73 9080359),(74 9087225),(75 9083235),(76 9049057),(77 9006168),(78 8955772),(79 8901054),
(1 30438.379),(2 114637.27),(3 251475.77),(4 436149.53),(5 663358.5),(6 932742.4),(7 1239579.1),(8 1575418.1),(9 1937795.3),(10 2325154),(11 2729294),(12 3133666.8),(13 3542123.3),(14 3946531.3),(15 4339480),(16 4709940),(17 5062327),(18 5386120),(19 5691216),(20 5971379.5),(21 6218692),(22 6426350.5),(23 6600590),(24 6733097.5),(25 6835000),(26 6904425.5),(27 6946310.5),(28 6952391),(29 6930731.5),(30 6881066),(31 6799418.5),(32 6700003.5),(33 6591611.5),(34 6472194),(35 6358994),(36 6243795),(37 6133157),(38 6034326),(39 5935818.5),(40 5855268.5),(41 5765498.5),(42 5688286.5),(43 5615626),(44 5551458),(45 5488187.5),(46 5442319),(47 5406871.5),(48 5376975.5),(49 5359725.5),(50 5346812),(51 5340094.5),(52 5335600),(53 5333388.5),(54 5345220),(55 5359615),(56 5376554.5),(57 5395491),(58 5421559.5),(59 5450966.5),(60 5496438.5),(61 5550232.5),(62 5608585.5),(63 5671093.5),(64 5735725),(65 5816923),(66 5908905.5),(67 6012094),(68 6123663),(69 6260418.5),(70 6416253),(71 6592217.5),(72 6765975.5),(73 6949364.5),(74 7119333),(75 7295212),(76 7459666),(77 7618826.5),(78 7765347),(79 7896817),
