1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 2286725.3),(2 6944110),(3 12544515),(4 18459914),(5 24511160),(6 30574794),(7 36248056),(8 41296976),(9 46206064),(10 51096316),(11 56368308),(12 62024572),(13 67554790),(14 72862120),(15 77929144),(16 82778760),(17 87102776),(18 91096610),(19 95376580),(20 100052520),(21 104662330),(22 109333920),(23 114443590),(24 118816030),(25 122309800),(26 124829530),(27 126040936),(28 126312216),(29 126007736),(30 125930200),(31 126528744),(32 128156120),(33 130183740),(34 131753700),(35 133323880),(36 134885490),(37 136330720),(38 137348060),(39 137983550),(40 138124240),(41 137678900),(42 136559100),(43 135241680),(44 133728640),(45 131969920),(46 129844824),(47 127659224),(48 125323370),(49 122913000),(50 120274710),(51 117665250),(52 115319720),(53 112835064),(54 110789320),(55 109160344),(56 107849860),(57 106611750),(58 105324030),(59 103772070),(60 101864664),(61 99830460),(62 98056920),(63 97003610),(64 96369176),(65 96087970),(66 96673250),(67 97548890),(68 98564190),(69 99092250),(70 99248584),(71 99369920),(72 99727176),(73 100521880),(74 101790270),(75 103793600),(76 106474984),(77 109275240),(78 111806360),(79 114307300),
(1 2943901.3),(2 9449874),(3 17606336),(4 26732458),(5 36149804),(6 45552824),(7 54348812),(8 62295988),(9 69624610),(10 76520580),(11 83036080),(12 89657320),(13 95480340),(14 100227096),(15 104285096),(16 107929220),(17 110970320),(18 113301500),(19 114961020),(20 116404750),(21 117571980),(22 118425110),(23 118874560),(24 118461544),(25 117140970),(26 114848490),(27 111944470),(28 108815630),(29 105946984),(30 103956710),(31 102814230),(32 102466350),(33 102735336),(34 102742380),(35 102894370),(36 103171880),(37 103496790),(38 103323960),(39 103100456),(40 102876920),(41 102656080),(42 102363416),(43 102220700),(44 102341210),(45 102642090),(46 103243350),(47 104179496),(48 105059220),(49 105967550),(50 107016180),(51 108021016),(52 108469940),(53 108169580),(54 107390380),(55 106085080),(56 104077670),(57 101137910),(58 97334536),(59 92821880),(60 88237900),(61 83980664),(62 79996910),(63 76821120),(64 74145304),(65 72126296),(66 70546536),(67 69201490),(68 68067330),(69 67150120),(70 66636840),(71 66718540),(72 67527496),(73 68682700),(74 70202900),(75 72071510),(76 74241140),(77 76295496),(78 78206296),(79 79945430),
(1 4151957.3),(2 14063744),(3 27023410),(4 41097628),(5 54419380),(6 66195668),(7 75593060),(8 82928664),(9 89020296),(10 94405656),(11 99711170),(12 105026870),(13 110058856),(14 114736440),(15 118815520),(16 122502620),(17 125901960),(18 129155610),(19 132113290),(20 134551860),(21 135809780),(22 135418220),(23 133072960),(24 128333096),(25 121351550),(26 112808450),(27 103725736),(28 95273830),(29 88366410),(30 83373220),(31 80445890),(32 79357560),(33 79582376),(34 80432584),(35 81610760),(36 82931070),(37 84193490),(38 85109130),(39 85799810),(40 86477370),(41 86946440),(42 87422720),(43 88178470),(44 89270376),(45 90644150),(46 92503100),(47 95045190),(48 98459650),(49 102380790),(50 106234650),(51 109670696),(52 111898390),(53 112987210),(54 112956010),(55 111848060),(56 109507496),(57 106021430),(58 101732680),(59 97130456),(60 92834880),(61 89228260),(62 86448650),(63 84710950),(64 84027770),(65 83969110),(66 84594296),(67 85494060),(68 86370980),(69 86989030),(70 87072420),(71 86687816),(72 86200150),(73 85667944),(74 85368890),(75 85414200),(76 85872460),(77 86713750),(78 87754430),(79 88789770),
(1 3818247.5),(2 12649668),(3 23429112),(4 34109668),(5 43511664),(6 50889250),(7 55995812),(8 58949624),(9 60759580),(10 62572290),(11 65102650),(12 68069176),(13 70927610),(14 73233464),(15 74652860),(16 75419816),(17 76067180),(18 77040024),(19 78345000),(20 79834056),(21 81389820),(22 82393370),(23 82310296),(24 80782630),(25 77821340),(26 73845660),(27 69453220),(28 65537040),(29 62565250),(30 60788590),(31 60113308),(32 60213056),(33 60784056),(34 61212436),(35 61335250),(36 61271004),(37 61260892),(38 61357120),(39 61920704),(40 63086828),(41 64642870),(42 66374556),(43 68392340),(44 70493400),(45 72373280),(46 73947960),(47 75214580),(48 76477320),(49 77714230),(50 78707420),(51 79079140),(52 78666210),(53 77787210),(54 76738130),(55 75631760),(56 74495600),(57 73289210),(58 71905496),(59 70480840),(60 69093060),(61 68165010),(62 67470790),(63 66898132),(64 66220564),(65 65414748),(66 64465984),(67 63351416),(68 62009984),(69 60481080),(70 58880884),(71 57526676),(72 56575956),(73 56162736),(74 56186790),(75 56721776),(76 57828420),(77 59372470),(78 61236600),(79 63163876),
(1 4285734),(2 14200893),(3 26098168),(4 37533496),(5 47025180),(6 53844188),(7 57720628),(8 58882710),(9 58296204),(10 57153732),(11 56223616),(12 55852124),(13 56123456),(14 56732060),(15 57495170),(16 58448680),(17 59700070),(18 61424624),(19 63550416),(20 65808756),(21 67816720),(22 69224300),(23 69625310),(24 68680060),(25 66484484),(26 63914556),(27 61553576),(28 59949530),(29 59522172),(30 60047850),(31 60989010),(32 61616484),(33 61697604),(34 61192316),(35 60105228),(36 58647950),(37 56954828),(38 55357692),(39 54344060),(40 54121484),(41 54877580),(42 56338920),(43 58310810),(44 60472156),(45 62582810),(46 64154600),(47 64935844),(48 65046852),(49 64609070),(50 63865140),(51 63015972),(52 61908028),(53 60873150),(54 60524650),(55 60740890),(56 61254504),(57 61895256),(58 62477416),(59 62826940),(60 63042820),(61 63518160),(62 64342068),(63 65502220),(64 66649344),(65 67400800),(66 67904200),(67 67904090),(68 67392504),(69 66574930),(70 65523964),(71 64488228),(72 63666304),(73 63110736),(74 62845708),(75 63059700),(76 63804030),(77 64894092),(78 66217064),(79 67516510),
(1 4505541),(2 14692986),(3 26649580),(4 37649976),(5 45814010),(6 50739976),(7 53103530),(8 53733548),(9 53232264),(10 52394270),(11 51650310),(12 51386500),(13 51889900),(14 53105964),(15 54513350),(16 55810120),(17 56743956),(18 57383616),(19 58275030),(20 59874624),(21 61673812),(22 63386516),(23 64658110),(24 64878550),(25 64210344),(26 63070412),(27 61821364),(28 61018856),(29 60865268),(30 61085812),(31 61585624),(32 62330376),(33 63336936),(34 64326804),(35 64957600),(36 65061324),(37 64385524),(38 62971212),(39 61257064),(40 59596456),(41 58580010),(42 58179170),(43 58077036),(44 58176012),(45 58177960),(46 57917452),(47 57255550),(48 56400852),(49 55604630),(50 55099110),(51 54924436),(52 54998508),(53 55578170),(54 56531788),(55 57331110),(56 57730330),(57 57491464),(58 56628108),(59 55053990),(60 53290690),(61 52019950),(62 51674316),(63 52448852),(64 54084390),(65 56122324),(66 58038464),(67 59303308),(68 59521420),(69 58882110),(70 57442324),(71 55668884),(72 53927796),(73 52349776),(74 50955576),(75 49922810),(76 49550264),(77 49962196),(78 51192280),(79 52827496),
(1 4066325.3),(2 12938654),(3 22833240),(4 31607992),(5 38151124),(6 42170468),(7 44386320),(8 45600496),(9 46114710),(10 46443576),(11 46750640),(12 46985388),(13 47157500),(14 47210430),(15 46913640),(16 46177770),(17 45286684),(18 44652692),(19 44688556),(20 45610690),(21 47296836),(22 49434810),(23 51392296),(24 52615964),(25 53141440),(26 53114308),(27 52630696),(28 51847160),(29 50824892),(30 49648910),(31 48402116),(32 47407068),(33 46780040),(34 46433280),(35 46199280),(36 45810960),(37 45258440),(38 44738670),(39 44529910),(40 44802372),(41 45406040),(42 46189508),(43 46974664),(44 47544936),(45 47867576),(46 47756744),(47 47085460),(48 46267580),(49 45869932),(50 46122800),(51 47065544),(52 48280932),(53 49438948),(54 50411830),(55 51001960),(56 50997116),(57 50442276),(58 49174830),(59 47233050),(60 45069500),(61 43366164),(62 42504760),(63 42653870),(64 43594496),(65 45014244),(66 46380508),(67 47332932),(68 47618224),(69 47148760),(70 45988420),(71 44270250),(72 42434000),(73 41105172),(74 40692784),(75 41220316),(76 42382320),(77 43838148),(78 45085788),(79 45996464),
(1 3594905.8),(2 10864162),(3 17941368),(4 23248110),(5 26825676),(6 28981542),(7 30371420),(8 31461044),(9 32339688),(10 32941628),(11 33576304),(12 34233484),(13 34863544),(14 35411036),(15 35719500),(16 35476332),(17 34612956),(18 33556536),(19 32665198),(20 32219370),(21 32324480),(22 32738316),(23 33163858),(24 33517462),(25 33773320),(26 34039816),(27 34350580),(28 34579930),(29 34503356),(30 34137092),(31 33905120),(32 34150104),(33 34868796),(34 35905548),(35 36957816),(36 37825584),(37 38393868),(38 38448836),(39 37963630),(40 37304330),(41 36546430),(42 36140400),(43 36329584),(44 36759892),(45 37001692),(46 36974064),(47 36704784),(48 36526000),(49 36724584),(50 37480844),(51 38447260),(52 39327230),(53 39883750),(54 40216120),(55 40245356),(56 39958460),(57 39427236),(58 38665030),(59 37771830),(60 36790870),(61 35972750),(62 35314070),(63 34942290),(64 34834076),(65 34975980),(66 35279604),(67 35334780),(68 34763612),(69 33797500),(70 32682958),(71 31567864),(72 30629380),(73 30134334),(74 30447370),(75 31665654),(76 33495160),(77 35543780),(78 37356280),(79 38774108),
(1 3420578.5),(2 9923119),(3 15906754),(4 20262290),(5 23303754),(6 25496794),(7 27216094),(8 28450688),(9 29269280),(10 29923536),(11 30414704),(12 30578020),(13 30462738),(14 30321178),(15 30195688),(16 29974968),(17 29559174),(18 29088194),(19 28949256),(20 29451784),(21 30365452),(22 31308272),(23 32107216),(24 32475008),(25 32656320),(26 32727808),(27 32846096),(28 32961528),(29 32971422),(30 32891652),(31 32864192),(32 33158924),(33 34069236),(34 35355170),(35 36534160),(36 37293576),(37 37520656),(38 37411948),(39 37060470),(40 36322784),(41 35296050),(42 34249070),(43 33272816),(44 32465992),(45 31866768),(46 31800990),(47 32253606),(48 32983774),(49 33848830),(50 34865390),(51 35983136),(52 36920148),(53 37486050),(54 37739910),(55 37618950),(56 37229372),(57 36585630),(58 35604436),(59 34370964),(60 33155566),(61 32288602),(62 31923298),(63 31943070),(64 32195690),(65 32587734),(66 33071600),(67 33328622),(68 33189000),(69 32866800),(70 32495880),(71 32153810),(72 31759348),(73 31373254),(74 31181006),(75 31502814),(76 32160918),(77 32769002),(78 33026288),(79 32947892),
(1 3424159.5),(2 9596821),(3 14948716),(4 18661108),(5 21383256),(6 23498650),(7 25021106),(8 25785486),(9 26079416),(10 26191972),(11 26222146),(12 25896088),(13 25430262),(14 25117764),(15 25132768),(16 25411132),(17 25636104),(18 25632280),(19 25736932),(20 26192894),(21 26747962),(22 26975338),(23 26859622),(24 26579260),(25 26425184),(26 26371982),(27 26594088),(28 27158806),(29 28053766),(30 28999886),(31 29792384),(32 30406372),(33 30899826),(34 31334130),(35 31538968),(36 31411036),(37 30895932),(38 30191908),(39 29348964),(40 28398492),(41 27402520),(42 26580566),(43 26066882),(44 25890170),(45 26245294),(46 27009288),(47 27801234),(48 28386236),(49 28606128),(50 28804646),(51 29000150),(52 29096260),(53 29111476),(54 29190872),(55 29110710),(56 28949310),(57 28816992),(58 28824118),(59 28884380),(60 28803876),(61 28489638),(62 28021728),(63 27612544),(64 27374400),(65 27426184),(66 27757468),(67 28156360),(68 28260512),(69 27870624),(70 27412612),(71 27245226),(72 27245412),(73 27344030),(74 27521366),(75 27699032),(76 27723728),(77 27472480),(78 26911416),(79 26264408),
(1 3603752.3),(2 9821495),(3 14585809),(4 17516276),(5 19830776),(6 21781404),(7 22974238),(8 23459290),(9 23417144),(10 23269200),(11 23323418),(12 23394242),(13 23393388),(14 23445892),(15 23675354),(16 24128122),(17 24559280),(18 24774720),(19 24759740),(20 24667204),(21 24421196),(22 24145280),(23 24000608),(24 23998170),(25 24178090),(26 24421486),(27 24766832),(28 25153476),(29 25735632),(30 26718632),(31 27761494),(32 28334328),(33 28230166),(34 27810868),(35 27456016),(36 27040530),(37 26267930),(38 25419602),(39 24947010),(40 24434126),(41 23479790),(42 22506090),(43 22163132),(44 22612066),(45 23524104),(46 24512538),(47 25251218),(48 25675416),(49 25977796),(50 26197828),(51 26339746),(52 26435574),(53 26557400),(54 26725470),(55 26547034),(56 26155292),(57 25913520),(58 25857320),(59 25814080),(60 25646228),(61 25485116),(62 25408392),(63 25319232),(64 25293956),(65 25312690),(66 25449808),(67 25646248),(68 25845248),(69 25824368),(70 25597394),(71 25533008),(72 25450426),(73 25016488),(74 24365320),(75 23548680),(76 22795058),(77 22310962),(78 22194224),(79 22426288),
