1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,512.5,513.5,514.5,515.5,516.5,517.5,518.5,519.5,520.5,521.5,522.5,523.5,524.5,525.5,526.5,527.5,528.5,529.5,530.5,531.5,532.5,533.5,534.5,535.5,536.5,537.5,538.5,539.5,540.5,541.5,542.5,543.5,544.5,545.5,546.5,547.5,548.5,549.5,550.5,551.5,552.5,553.5,554.5,555.5,556.5,557.5,558.5,559.5,560.5,561.5,562.5,563.5,564.5,565.5,566.5,567.5,568.5,569.5,570.5,571.5,572.5,573.5,574.5,575.5,576.5,577.5,578.5,579.5,580.5,581.5,582.5,583.5,584.5,585.5,586.5,587.5,588.5,589.5,590.5,591.5,592.5,593.5,594.5,595.5,596.5,597.5,598.5,599.5,600.5,601.5,602.5,603.5,604.5,605.5,606.5,607.5,608.5,609.5,610.5,611.5,612.5,613.5,614.5,615.5,616.5,617.5,618.5,619.5,620.5,621.5,622.5,623.5,624.5,625.5,626.5,627.5,628.5,629.5,630.5,631.5,632.5,633.5,634.5,635.5,636.5,637.5,638.5,639.5,
(1 119467670),(2 296401500),(3 473084060),(4 612763260),(5 659168500),(6 721672500),(7 809286460),(8 931162700),(9 1048296640),(10 1159559300),(11 1199090300),(12 1171195600),(13 1132045300),(14 1077280800),(15 1067867840),(16 1040922940),(17 1021419700),(18 987962100),(19 948316500),(20 963620160),(21 972183900),(22 1017623550),(23 1065721540),(24 1074092200),(25 1074152100),(26 1018489150),(27 962340800),(28 951177700),(29 976356160),(30 1005369660),(31 1013963500),(32 960669250),(33 872521400),(34 851459400),(35 862708200),(36 931130700),(37 1036048830),(38 1072541440),(39 1069157570),(40 1037957900),(41 1035873800),(42 1079701100),(43 1187577900),(44 1281914800),(45 1276139400),(46 1255028600),(47 1161280500),(48 1079282700),(49 1034422600),(50 1015816400),(51 993924100),(52 928193600),(53 876319200),(54 805511740),(55 792316100),(56 843595000),(57 908461900),(58 1030699800),(59 1103443100),(60 1136161400),(61 1137284500),(62 1094861700),(63 1095827100),(64 1053140000),(65 1051742000),(66 1035738900),(67 1003401200),(68 1008541500),(69 1064329660),(70 1194039600),(71 1309713200),(72 1395872500),(73 1380881700),(74 1334224300),(75 1301147100),(76 1259141100),(77 1230045600),(78 1200388000),(79 1162787200),
(1 56375270),(2 161782510),(3 288252260),(4 413906270),(5 516889950),(6 610548030),(7 685467100),(8 742672200),(9 773358460),(10 781253300),(11 750000500),(12 705592200),(13 666511360),(14 628197800),(15 607134200),(16 583593200),(17 568927800),(18 557059100),(19 552982850),(20 574248900),(21 602801660),(22 633795800),(23 679870660),(24 704141200),(25 714422400),(26 701130600),(27 676643000),(28 638949060),(29 617476500),(30 598807940),(31 574335360),(32 535578460),(33 499623100),(34 489782980),(35 497736600),(36 528996800),(37 574898370),(38 609914000),(39 639540540),(40 667086460),(41 702780400),(42 748967550),(43 797509440),(44 835575200),(45 854993600),(46 863142900),(47 855550300),(48 845675000),(49 831213300),(50 795211840),(51 747079300),(52 681144400),(53 626444900),(54 576344960),(55 567754900),(56 611037060),(57 656054300),(58 727601000),(59 779565440),(60 811109100),(61 826012860),(62 814827650),(63 799525000),(64 760774000),(65 719409860),(66 674520200),(67 632484100),(68 627119300),(69 663020700),(70 718902340),(71 785528500),(72 845267500),(73 879267140),(74 903492740),(75 916086100),(76 908762800),(77 888109950),(78 841961800),(79 783469440),
(1 54241188),(2 173249600),(3 315343200),(4 443984300),(5 535892500),(6 573737000),(7 558399550),(8 519346080),(9 463213700),(10 419246080),(11 380717660),(12 359113630),(13 368382460),(14 400489120),(15 453579870),(16 497462940),(17 518013860),(18 516709280),(19 500004700),(20 486510460),(21 476109300),(22 471242750),(23 490824540),(24 517205500),(25 550183360),(26 578520000),(27 598981060),(28 601078000),(29 603663800),(30 593288100),(31 562393100),(32 509186660),(33 447893920),(34 397684600),(35 365205470),(36 360239200),(37 385797900),(38 426850800),(39 470923520),(40 507308770),(41 531476830),(42 550973400),(43 558837100),(44 556035900),(45 547030850),(46 533645700),(47 524848220),(48 529364380),(49 544199900),(50 550350340),(51 548341950),(52 517792670),(53 473307230),(54 424844800),(55 398267940),(56 403519200),(57 438526460),(58 505015300),(59 580128060),(60 645205800),(61 688378400),(62 694595500),(63 671648300),(64 626762430),(65 579834940),(66 524418050),(67 466169100),(68 435804400),(69 441093730),(70 479985000),(71 540068500),(72 595447600),(73 634236600),(74 656731840),(75 661837250),(76 643807400),(77 618544800),(78 585063100),(79 548112700),
(1 48429024),(2 153590180),(3 272780400),(4 372049700),(5 435575680),(6 459829100),(7 447720160),(8 409670600),(9 353332380),(10 294909760),(11 249131120),(12 222151490),(13 224514500),(14 250630510),(15 302808960),(16 359765570),(17 399925900),(18 416697570),(19 405958600),(20 381436300),(21 346687170),(22 314424500),(23 289955100),(24 281664060),(25 291668500),(26 315679230),(27 351995550),(28 391886200),(29 422339460),(30 432058140),(31 414868400),(32 377872260),(33 329949980),(34 288250600),(35 260714560),(36 252357860),(37 264992880),(38 288980000),(39 324648160),(40 367726080),(41 408730940),(42 436421250),(43 442197500),(44 423666140),(45 387704480),(46 349974800),(47 311679600),(48 283350940),(49 275910000),(50 289311360),(51 322545500),(52 355420300),(53 380104130),(54 387500450),(55 380974400),(56 369313660),(57 350990720),(58 347282140),(59 362772260),(60 391802370),(61 418342850),(62 425774000),(63 410911900),(64 382411300),(65 356018300),(66 330734300),(67 309186700),(68 297837200),(69 294409500),(70 299865800),(71 315108400),(72 344029100),(73 385265000),(74 421891970),(75 446708130),(76 451108220),(77 442007100),(78 422479840),(79 387201500),
(1 38837396),(2 119241464),(3 199236100),(4 250982460),(5 270550080),(6 266961780),(7 254539360),(8 246533060),(9 243374750),(10 239342380),(11 234555600),(12 221986560),(13 206182140),(14 197769970),(15 203339820),(16 220324660),(17 234354930),(18 241602670),(19 234493800),(20 224562500),(21 211539950),(22 201970540),(23 201009000),(24 206098830),(25 215599600),(26 225904380),(27 239898050),(28 254660080),(29 271559780),(30 275631420),(31 259445200),(32 231409060),(33 206862030),(34 199682620),(35 209862860),(36 229470990),(37 249580400),(38 264068620),(39 274476100),(40 282549540),(41 290601660),(42 297287420),(43 300456900),(44 293777100),(45 276526370),(46 253915500),(47 231719220),(48 212373090),(49 201658780),(50 203963700),(51 219506580),(52 243440220),(53 273156740),(54 295366080),(55 304823780),(56 300669200),(57 279874850),(58 267093490),(59 269164300),(60 293865380),(61 326567800),(62 349324400),(63 349283620),(64 327329180),(65 291622850),(66 256877710),(67 234025120),(68 228528370),(69 230003730),(70 229830340),(71 224767700),(72 221365500),(73 231424720),(74 257081970),(75 292787550),(76 325287140),(77 346329920),(78 351051600),(79 339980670),
(1 32079420),(2 93951380),(3 147971300),(4 176882560),(5 184330540),(6 182558450),(7 177061730),(8 169840690),(9 158472620),(10 150286460),(11 138054050),(12 123183660),(13 116137470),(14 123433390),(15 142792160),(16 167309860),(17 183809760),(18 184942400),(19 172095980),(20 156617120),(21 145210500),(22 139447000),(23 135732400),(24 133865190),(25 133617050),(26 132775910),(27 134690700),(28 142521630),(29 160150140),(30 176657380),(31 179690910),(32 168543460),(33 153747460),(34 147212080),(35 150326610),(36 159020930),(37 168142670),(38 176280600),(39 178392350),(40 171852140),(41 161995550),(42 158459440),(43 162189260),(44 167594510),(45 164361570),(46 153330340),(47 139945650),(48 130444350),(49 128299250),(50 134492930),(51 147051570),(52 156828720),(53 163872820),(54 164301220),(55 168599550),(56 176372780),(57 180440530),(58 176025550),(59 164411900),(60 158449120),(61 166656700),(62 183838750),(63 202391140),(64 213969250),(65 214979790),(66 201953490),(67 181304430),(68 167784290),(69 171692740),(70 185975520),(71 193635620),(72 180538080),(73 158806420),(74 146768510),(75 154154030),(76 180494340),(77 210822670),(78 228901340),(79 233512480),
(1 21171924),(2 56603012),(3 83738760),(4 98486270),(5 105984570),(6 107897100),(7 104319410),(8 97251464),(9 86851640),(10 78794376),(11 71503544),(12 69094200),(13 73875480),(14 86710320),(15 98854390),(16 105657910),(17 106445140),(18 102977720),(19 96094344),(20 88760800),(21 83365590),(22 79186080),(23 77715540),(24 78221940),(25 79465976),(26 82193290),(27 89487880),(28 96723550),(29 102586620),(30 104039384),(31 100929350),(32 96022390),(33 92918230),(34 93564216),(35 92632360),(36 89969544),(37 88862344),(38 90992560),(39 95229580),(40 98200180),(41 97255780),(42 96002616),(43 96302880),(44 96263070),(45 94240670),(46 91278296),(47 87096220),(48 81012780),(49 77451464),(50 79607890),(51 87920140),(52 97714700),(53 108927864),(54 117711840),(55 118014210),(56 111158540),(57 98867896),(58 88515270),(59 84254170),(60 86983224),(61 93532456),(62 99533070),(63 106200360),(64 117490390),(65 126600250),(66 128514440),(67 121988270),(68 115257100),(69 104416260),(70 96374390),(71 95818710),(72 103022200),(73 113658330),(74 120855020),(75 126109010),(76 132557460),(77 140706670),(78 143451250),(79 137613920),
(1 22865760),(2 60922580),(3 87187016),(4 96605610),(5 96541110),(6 90396290),(7 83576410),(8 81307540),(9 78617680),(10 74378070),(11 68951410),(12 68034290),(13 72968160),(14 83710800),(15 94492420),(16 99065140),(17 98276200),(18 93860536),(19 89011940),(20 85934664),(21 83472410),(22 80572490),(23 79190190),(24 76903496),(25 72943280),(26 72160470),(27 78001784),(28 85913350),(29 91608800),(30 91651460),(31 85324120),(32 77086330),(33 70345230),(34 68263700),(35 68901336),(36 70539170),(37 73635270),(38 77814344),(39 83636440),(40 86779670),(41 85289960),(42 80673040),(43 76228120),(44 74497624),(45 75336590),(46 78717256),(47 82321630),(48 79626800),(49 76627770),(50 79651736),(51 88459800),(52 95908690),(53 99070700),(54 98940660),(55 96194440),(56 91812300),(57 86428160),(58 82980230),(59 80522030),(60 82820950),(61 86471016),(62 88660640),(63 89492824),(64 93836560),(65 98767620),(66 99397960),(67 93235640),(68 88213830),(69 85584040),(70 85389600),(71 86970360),(72 89873880),(73 92494630),(74 90981770),(75 86927270),(76 86159390),(77 92365620),(78 99960936),(79 101351680),
(1 21830412),(2 58696532),(3 86236460),(4 98617990),(5 98444216),(6 89204250),(7 78178340),(8 68800360),(9 64143692),(10 62984416),(11 61521670),(12 61027720),(13 65736772),(14 74148640),(15 81577176),(16 83401816),(17 78783144),(18 69891900),(19 61940964),(20 57502140),(21 58229084),(22 65253920),(23 73041040),(24 75901450),(25 72940730),(26 67799810),(27 63305200),(28 62974750),(29 66746060),(30 70911410),(31 70674770),(32 65186160),(33 58441804),(34 56374948),(35 58489520),(36 64018550),(37 69972150),(38 73697070),(39 74378170),(40 72666590),(41 70847420),(42 67449380),(43 64990450),(44 63577870),(45 64373216),(46 66141116),(47 68375320),(48 67910460),(49 64651820),(50 65751220),(51 72748690),(52 77808540),(53 76146960),(54 71548344),(55 68161640),(56 67710650),(57 68404180),(58 69722350),(59 71388490),(60 71833896),(61 69676860),(62 66629264),(63 67956550),(64 76757260),(65 84237896),(66 81001010),(67 69094750),(68 61631636),(69 64403012),(70 71703736),(71 79571050),(72 84135256),(73 83543360),(74 77318580),(75 69869650),(76 65802896),(77 66413416),(78 69253576),(79 70406490),
(1 22418650),(2 58337900),(3 82673590),(4 89290000),(5 80766264),(6 63485460),(7 52073664),(8 52432692),(9 62745210),(10 71630190),(11 70120460),(12 61147292),(13 52955984),(14 51561204),(15 58592492),(16 69702690),(17 78035230),(18 75363110),(19 62294970),(20 49542810),(21 45586452),(22 52830164),(23 64871304),(24 74063304),(25 74656930),(26 65628444),(27 56163548),(28 53566644),(29 57045650),(30 62293140),(31 65511570),(32 63461490),(33 54235412),(34 45607344),(35 44405036),(36 52440960),(37 63196920),(38 72704160),(39 72738460),(40 66443876),(41 56801170),(42 50577036),(43 50473550),(44 53034228),(45 57925284),(46 60241180),(47 59715692),(48 58224780),(49 57297028),(50 59150372),(51 63847124),(52 66405950),(53 66357740),(54 63539564),(55 57949084),(56 53389384),(57 52589960),(58 57143216),(59 62769790),(60 67774350),(61 65869570),(62 59859136),(63 54854884),(64 52646100),(65 55207096),(66 56681464),(67 55893532),(68 58513590),(69 62039630),(70 66095360),(71 67016556),(72 64949810),(73 62839580),(74 60177508),(75 58795976),(76 59886330),(77 61715630),(78 63263068),(79 62338900),
(1 22875612),(2 57004836),(3 77735100),(4 80471490),(5 70451544),(6 53884972),(7 45356996),(8 46846696),(9 53411668),(10 60419710),(11 62406230),(12 60682700),(13 56935970),(14 53243604),(15 52283916),(16 55552188),(17 62215500),(18 65125990),(19 63023172),(20 58394940),(21 56372804),(22 57876572),(23 60626490),(24 59710950),(25 54524004),(26 49516570),(27 51743940),(28 59422544),(29 64478140),(30 64275184),(31 59622036),(32 53883530),(33 49883228),(34 47659256),(35 47149590),(36 52243710),(37 60218030),(38 65522800),(39 63164596),(40 55413370),(41 48123016),(42 45412724),(43 49860250),(44 57256984),(45 63013224),(46 63805680),(47 60013140),(48 55502468),(49 52382500),(50 51200750),(51 54360540),(52 61507908),(53 68196100),(54 69002260),(55 63985760),(56 52852730),(57 43762576),(58 41653188),(59 49563680),(60 62061972),(61 67203416),(62 65195972),(63 58698324),(64 48874304),(65 43036572),(66 42832280),(67 45648176),(68 53696348),(69 63655584),(70 69295600),(71 67074696),(72 59929184),(73 52056930),(74 47712730),(75 48371004),(76 51837464),(77 56793824),(78 60035130),(79 58857320),
