1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 3337.1536),(2 7075.586),(3 10532.314),(4 13281.756),(5 15491.606),(6 17294.89),(7 18283.434),(8 19045.855),(9 19693.174),(10 20693.145),(11 21354.92),(12 21835.824),(13 22223.336),(14 22561.656),(15 22861.738),(16 23023.803),(17 23065.021),(18 23165.736),(19 23318.043),(20 23243.766),(21 23224.947),(22 23779.213),(23 24190.6),(24 24581.746),(25 24840.621),(26 24888.797),(27 24982.04),(28 24968.047),(29 25070.414),(30 25212.246),(31 25240.203),(32 25205.41),(33 25182.992),(34 25507.363),(35 25486.695),(36 25701.523),(37 25814.209),(38 25889.592),(39 26088.234),(40 26441.775),(41 26537.037),(42 26494.297),(43 26174.283),(44 26089.576),(45 26092.248),(46 26254.748),(47 26264.4),(48 26437.01),(49 26316.873),(50 26080.578),(51 25803.385),(52 25629.85),(53 25619.63),(54 25666.02),(55 25527.637),(56 25474.469),(57 25477.793),(58 25830.451),(59 25874.527),(60 25735.746),(61 25558.549),(62 25593.502),(63 25478.379),(64 25486.666),(65 25624.13),(66 25723.703),(67 25708.438),(68 25624.412),(69 25547.395),(70 25745.13),(71 25709.754),(72 25709.33),(73 25719.83),(74 25710.635),(75 25624.814),(76 25606.99),(77 25345.615),(78 25209.287),(79 25122.65),
(1 3142.241),(2 6669.7993),(3 9863.618),(4 12420.823),(5 14507.598),(6 16025.399),(7 16958.191),(8 17758.916),(9 18363.451),(10 19348.262),(11 19855.262),(12 20196.672),(13 20600.89),(14 21066.717),(15 21525.398),(16 21698.744),(17 21778.863),(18 21902.512),(19 22131.688),(20 22178.563),(21 22204.293),(22 22796.533),(23 23281.05),(24 23664.666),(25 24018),(26 24039.736),(27 24048.008),(28 23977.768),(29 23931.898),(30 23860.643),(31 23997.688),(32 24075.354),(33 24155.37),(34 24305.053),(35 24301.613),(36 24381.285),(37 24268.133),(38 24256.922),(39 24114.879),(40 24181.814),(41 24294.438),(42 24247.957),(43 23967.432),(44 23837.07),(45 23811.814),(46 24281.256),(47 24399.238),(48 24416.97),(49 24391.305),(50 24477.492),(51 24641.188),(52 24620.064),(53 24667.773),(54 24710.426),(55 24851.318),(56 24810.645),(57 24895.572),(58 25275.396),(59 25360.912),(60 25402.96),(61 25408.813),(62 25520.307),(63 25549.145),(64 25756.225),(65 25766.42),(66 25802.512),(67 25713.068),(68 25517.629),(69 25373.53),(70 25378.338),(71 25367.527),(72 25404.275),(73 25304.482),(74 25316.152),(75 25305.08),(76 25272.855),(77 25137.701),(78 24969.445),(79 24888.926),
(1 3150.6497),(2 6607.85),(3 9933.8125),(4 12386.21),(5 14495.256),(6 15957.281),(7 16737.512),(8 17458.75),(9 18043.74),(10 19073.383),(11 19717.893),(12 20120.42),(13 20707.91),(14 21254.188),(15 21576.62),(16 21858.322),(17 22062.893),(18 22383.764),(19 22514.563),(20 22643.572),(21 22561.037),(22 22824.701),(23 22919.916),(24 22896.75),(25 23021.602),(26 23136.34),(27 23383.889),(28 23590.541),(29 23753.309),(30 23708.967),(31 23646.807),(32 23736.443),(33 23585.953),(34 23643.29),(35 23690.238),(36 23752.592),(37 23816.97),(38 23955.629),(39 23857.13),(40 23801.998),(41 23904.94),(42 23896.217),(43 23902.547),(44 24004.418),(45 23991.582),(46 24305.646),(47 24357.158),(48 24445.219),(49 24317.4),(50 24302.04),(51 24397.21),(52 24437.3),(53 24393.203),(54 24293.389),(55 24280.861),(56 24221),(57 24249.93),(58 24401.121),(59 24442.398),(60 24377.08),(61 24289.566),(62 24299.621),(63 24280.621),(64 24375.393),(65 24345.443),(66 24437.838),(67 24361.793),(68 24415.068),(69 24354.422),(70 24298.35),(71 24361.008),(72 24420.58),(73 24406.959),(74 24347.258),(75 24528.018),(76 24561.82),(77 24590.121),(78 24851.29),(79 24912.113),
(1 3028.2622),(2 6254.569),(3 9208.831),(4 11537.737),(5 13491.238),(6 15092.056),(7 16033.094),(8 16786.143),(9 17412.277),(10 18067.52),(11 18383.637),(12 18600.81),(13 19120.727),(14 19584.912),(15 19920.352),(16 20081.068),(17 20311.422),(18 20496.98),(19 20673.453),(20 20630.992),(21 20692.969),(22 21174.135),(23 21349.799),(24 21571.404),(25 21662.41),(26 21775.7),(27 22116.443),(28 22112.22),(29 22178.143),(30 22248.588),(31 22384.686),(32 22636.885),(33 22736.557),(34 22850.457),(35 22847.61),(36 22720.475),(37 22894.385),(38 23112.648),(39 23268.654),(40 23279.865),(41 23202.207),(42 23078.99),(43 22977.588),(44 23055.72),(45 23153.479),(46 23404.957),(47 23451.871),(48 23293.979),(49 23170.553),(50 23043.62),(51 23113.615),(52 23192.674),(53 23221.74),(54 23261.232),(55 23222.09),(56 23125.596),(57 23090.49),(58 23306.123),(59 23271.893),(60 23108.912),(61 22955.508),(62 23053.889),(63 23379.463),(64 23627.922),(65 23898.275),(66 23968.42),(67 24037.154),(68 24072.918),(69 23988.852),(70 23944.453),(71 23774.756),(72 23757.854),(73 23706.469),(74 23683.97),(75 23846.193),(76 23851.479),(77 23891.67),(78 23794.848),(79 23515),
(1 3003.4148),(2 6234.9756),(3 9234.403),(4 11586.5625),(5 13373.969),(6 14703.099),(7 15559.766),(8 16155.321),(9 16557.357),(10 17118.947),(11 17500.16),(12 17760.922),(13 18347.25),(14 18778.734),(15 19201.559),(16 19396.39),(17 19562.115),(18 19496.02),(19 19439.152),(20 19354.627),(21 19325.06),(22 19814.912),(23 20044.545),(24 20255.432),(25 20359.895),(26 20572.7),(27 20753.596),(28 21024.852),(29 21236.086),(30 21357.082),(31 21489.705),(32 21669.557),(33 21876.648),(34 22218.943),(35 22389.945),(36 22520.654),(37 22650.773),(38 22741.98),(39 22895.14),(40 22979.732),(41 23092.885),(42 23182.273),(43 23162.928),(44 23148.291),(45 23141.566),(46 23481.455),(47 23450.584),(48 23388.506),(49 23173.998),(50 22917.104),(51 22949.51),(52 22927.848),(53 22957.84),(54 22806.742),(55 22528.686),(56 22271.336),(57 22328.451),(58 22428.236),(59 22450.945),(60 22435.781),(61 22547.855),(62 22683.008),(63 22712.682),(64 22727.47),(65 22714.148),(66 22868.537),(67 22946.736),(68 23084.016),(69 23152.676),(70 23335.809),(71 23413.18),(72 23477.318),(73 23563.658),(74 23663.51),(75 23856.809),(76 23834.982),(77 23875.605),(78 23749.889),(79 23550.734),
(1 2911.9465),(2 6028.1494),(3 8942.024),(4 11148.297),(5 12822.393),(6 14055.813),(7 14757.136),(8 15219.334),(9 15677.558),(10 16404.092),(11 16828.443),(12 17198.639),(13 17750.033),(14 18160.297),(15 18706.604),(16 19016.193),(17 19333.982),(18 19590.346),(19 19682.408),(20 19722.295),(21 19769.252),(22 20159.363),(23 20179.973),(24 20257.492),(25 20284.617),(26 20478.715),(27 20577.277),(28 20656.338),(29 20745.05),(30 20664.344),(31 20740.412),(32 21013.023),(33 21190.703),(34 21563.094),(35 21664.768),(36 21756.74),(37 21942.021),(38 22044.795),(39 22217.201),(40 22114.193),(41 22061.098),(42 22052.576),(43 22002.617),(44 22050.166),(45 22045.666),(46 22217.629),(47 22131.152),(48 21925.03),(49 21877.62),(50 21803.191),(51 21820.498),(52 21800.44),(53 21699.254),(54 21617.176),(55 21628.197),(56 21638.602),(57 21717.809),(58 22007.277),(59 22035.734),(60 22038.26),(61 22067.502),(62 22145.35),(63 22286.742),(64 22365.047),(65 22486.756),(66 22626.338),(67 22578.541),(68 22653.041),(69 22645.434),(70 22904.816),(71 22880.19),(72 22822.738),(73 22663.975),(74 22564.217),(75 22409.781),(76 22397.848),(77 22342.383),(78 22398.951),(79 22199.975),
(1 2759.0977),(2 5631.217),(3 8372.685),(4 10532.051),(5 12194.078),(6 13424.121),(7 14238.142),(8 14898.998),(9 15278.394),(10 15854.539),(11 16200.097),(12 16433.756),(13 16740.969),(14 17148.713),(15 17526.047),(16 17715.666),(17 18027.813),(18 18328.285),(19 18252.629),(20 18183.568),(21 18079.29),(22 18682.322),(23 18838.805),(24 18899.365),(25 18847.115),(26 18921.146),(27 19048.543),(28 19180.986),(29 19379.98),(30 19622.43),(31 19831.447),(32 20069.428),(33 20169.111),(34 20337.277),(35 20364.666),(36 20427.219),(37 20544.828),(38 20701.305),(39 20773.604),(40 20836.465),(41 21017.867),(42 20968.576),(43 20689.338),(44 20600.084),(45 20514.709),(46 20713.385),(47 20767.625),(48 20708.291),(49 20646.635),(50 20658.75),(51 20600.916),(52 20543.492),(53 20428.967),(54 20358.842),(55 20371.533),(56 20427.957),(57 20481.848),(58 20707.605),(59 20758.984),(60 20782.906),(61 20891.242),(62 20970.504),(63 21026.078),(64 20953.043),(65 21061.39),(66 21233.025),(67 21169.773),(68 21108.781),(69 21028.566),(70 21142.82),(71 21139.738),(72 21072.365),(73 21095.344),(74 21150.488),(75 21183.293),(76 21132.432),(77 21003.736),(78 21010.053),(79 20838.814),
(1 2734.1982),(2 5565.399),(3 8107.757),(4 10090.349),(5 11629.871),(6 12786.561),(7 13445.882),(8 13995.218),(9 14429.196),(10 15103.655),(11 15463.669),(12 15693.123),(13 15943.186),(14 16217.59),(15 16584.385),(16 16849.508),(17 17096.201),(18 17193.676),(19 17260.79),(20 17295.043),(21 17383.291),(22 17874.602),(23 18117.404),(24 18264.123),(25 18257.135),(26 18235.467),(27 18252.555),(28 18232.662),(29 18354.107),(30 18308.129),(31 18352),(32 18449.748),(33 18577.652),(34 18880.988),(35 19052.893),(36 19244.055),(37 19377.21),(38 19626.033),(39 19947.719),(40 20110.066),(41 20124.424),(42 20117.455),(43 20125.182),(44 20175.535),(45 20108.244),(46 20133.355),(47 20122.262),(48 20039.914),(49 19953.768),(50 19801.838),(51 19878.105),(52 19862.656),(53 19970.412),(54 20004.729),(55 19899.672),(56 19762.13),(57 19669.84),(58 19902.186),(59 19873.908),(60 19772.945),(61 19727.967),(62 19705.516),(63 19952.615),(64 20157.945),(65 20322.588),(66 20442.082),(67 20482.91),(68 20475.03),(69 20391.924),(70 20298.617),(71 20330.725),(72 20331.941),(73 20391.436),(74 20463.729),(75 20487.62),(76 20445.611),(77 20456.254),(78 20378.744),(79 20280.885),
(1 2572.7917),(2 5222.0146),(3 7583.712),(4 9417.2705),(5 10816.302),(6 11863.236),(7 12439.111),(8 12896.482),(9 13368.343),(10 14039.024),(11 14488.024),(12 14975.187),(13 15408.886),(14 15886.446),(15 16262.699),(16 16402.893),(17 16611.332),(18 16872.678),(19 16979.572),(20 17039.574),(21 16996.873),(22 17426.906),(23 17710.428),(24 17943.26),(25 18104.83),(26 18224.24),(27 18330.064),(28 18265.191),(29 18372.533),(30 18396.125),(31 18256.615),(32 18290.81),(33 18375.89),(34 18657.908),(35 18660.975),(36 18668.943),(37 18701.71),(38 18945.848),(39 19182.428),(40 19191.572),(41 19009.588),(42 18873.822),(43 18635.082),(44 18559.46),(45 18455.533),(46 18551.068),(47 18548.45),(48 18618.547),(49 18675.79),(50 18755.178),(51 18872.465),(52 18921.332),(53 19129.404),(54 19301.48),(55 19286.85),(56 19350.305),(57 19361.814),(58 19583.36),(59 19592.873),(60 19509.03),(61 19409.607),(62 19321.406),(63 19397.9),(64 19469.398),(65 19547.223),(66 19527.592),(67 19414.672),(68 19418.268),(69 19379.348),(70 19526.814),(71 19502.813),(72 19531.512),(73 19533.557),(74 19545.861),(75 19636.652),(76 19611.363),(77 19597.967),(78 19738.445),(79 19735.115),
(1 2588.695),(2 5309.9907),(3 7777.6),(4 9705.983),(5 11273.206),(6 12406.238),(7 12992.554),(8 13574.727),(9 14054.412),(10 14733.991),(11 15238.17),(12 15603.701),(13 16012.424),(14 16307.323),(15 16604.21),(16 16870.229),(17 17101.438),(18 17413.145),(19 17543.242),(20 17641.04),(21 17741.627),(22 18203.992),(23 18301.45),(24 18227.635),(25 18300.74),(26 18303.053),(27 18334.85),(28 18358.816),(29 18374.922),(30 18499.195),(31 18500.76),(32 18579.393),(33 18711.514),(34 18788.115),(35 18817.742),(36 18637.81),(37 18638.1),(38 18715.158),(39 18809.451),(40 18806.29),(41 18946.434),(42 18940.922),(43 18835.184),(44 18844.617),(45 18794.191),(46 18854.633),(47 18911.965),(48 19005.234),(49 19042.389),(50 19101.11),(51 19074.844),(52 19063.84),(53 19045.57),(54 19093.889),(55 18991.838),(56 18903.39),(57 18827.36),(58 19197.633),(59 19326.098),(60 19290.861),(61 19171.527),(62 19109.865),(63 19118.521),(64 18994.896),(65 18948.117),(66 18921.8),(67 19060.445),(68 19240.422),(69 19253.822),(70 19407.695),(71 19409.682),(72 19454.57),(73 19401.783),(74 19483.85),(75 19574.504),(76 19534.322),(77 19476.375),(78 19453.459),(79 19320.035),
(1 2471.3513),(2 4940.095),(3 7097.453),(4 8762.215),(5 10079.492),(6 11073.802),(7 11708.101),(8 12222.488),(9 12633.845),(10 13257.853),(11 13735.182),(12 14219.309),(13 14667.076),(14 15108.296),(15 15300.648),(16 15424.803),(17 15617.468),(18 15806.573),(19 15843.387),(20 15963.966),(21 16120.315),(22 16527.652),(23 16655.424),(24 16725.936),(25 16850.268),(26 17071.463),(27 17161.902),(28 17205.578),(29 17219.87),(30 17294.646),(31 17264.227),(32 17351.158),(33 17543.498),(34 17669.447),(35 17742.012),(36 17601.756),(37 17666.092),(38 17634.172),(39 17641.389),(40 17554.096),(41 17576.89),(42 17711.314),(43 17761.285),(44 17839.074),(45 17864.521),(46 18083.076),(47 18139.557),(48 18169.82),(49 18089.012),(50 17993.625),(51 17854.354),(52 17729.51),(53 17671.816),(54 17688.104),(55 17623.846),(56 17544.496),(57 17635.775),(58 17956.705),(59 17939.488),(60 18036.195),(61 18033.605),(62 17960.45),(63 17916.908),(64 17843.93),(65 17839.451),(66 17833.979),(67 17854.65),(68 17883.68),(69 17939.719),(70 18192.916),(71 18182.695),(72 18131.088),(73 18034.484),(74 18071.445),(75 18111.785),(76 18147.96),(77 18070.875),(78 18069.916),(79 17790.42),
(1 2431.1748),(2 4988.185),(3 7235.292),(4 9021.491),(5 10320.613),(6 11240.559),(7 11735.912),(8 12131.179),(9 12459.992),(10 13089.851),(11 13405.175),(12 13787.733),(13 14201.659),(14 14577.835),(15 14921.274),(16 15155.238),(17 15309.448),(18 15426.911),(19 15322.505),(20 15257.046),(21 15293.867),(22 15753.922),(23 15919.301),(24 15993.929),(25 16074.629),(26 16288.739),(27 16372.383),(28 16496.426),(29 16709.068),(30 16866.398),(31 17083.824),(32 17220.455),(33 17452.037),(34 17593.645),(35 17610.139),(36 17506.664),(37 17575.033),(38 17617.107),(39 17715.627),(40 17664.162),(41 17621.863),(42 17560.723),(43 17489.15),(44 17425.393),(45 17328.348),(46 17529.447),(47 17618.215),(48 17675.16),(49 17781.492),(50 17805.322),(51 17695.293),(52 17642.87),(53 17557.7),(54 17508.97),(55 17526.875),(56 17633.441),(57 17654.816),(58 17996.727),(59 18073.762),(60 18169.912),(61 18200.883),(62 18227.363),(63 18334.303),(64 18418.305),(65 18515.496),(66 18620.918),(67 18596.836),(68 18488.354),(69 18382.178),(70 18459.066),(71 18399.041),(72 18389.414),(73 18440.166),(74 18394.97),(75 18411.55),(76 18527.033),(77 18522.533),(78 18513.016),(79 18461.113),
(1 2425.1604),(2 4956.444),(3 7207.146),(4 8870.558),(5 10173.335),(6 11128.088),(7 11735.995),(8 12260.505),(9 12620.168),(10 13131.888),(11 13412.35),(12 13665.121),(13 13971.494),(14 14211.361),(15 14444.955),(16 14630.345),(17 14800.608),(18 14896.689),(19 15055.049),(20 15219.675),(21 15322.496),(22 15784.603),(23 15918.968),(24 16041.983),(25 16092.169),(26 16092.392),(27 16258.107),(28 16261.63),(29 16401.93),(30 16488.67),(31 16526.104),(32 16534.268),(33 16522.8),(34 16761.51),(35 16782.963),(36 16715.072),(37 16773.385),(38 16974.836),(39 17268.514),(40 17335.992),(41 17295.264),(42 17205.973),(43 17000.85),(44 16915.852),(45 16833.035),(46 17099.352),(47 17198.164),(48 17308.53),(49 17533.732),(50 17752.596),(51 17858.348),(52 17877.066),(53 17794.297),(54 17824.246),(55 17726.617),(56 17765.135),(57 17718.44),(58 17934.602),(59 17780.57),(60 17695.023),(61 17654.297),(62 17658.674),(63 17889.549),(64 17986.676),(65 18151.785),(66 18150.357),(67 18051.105),(68 17910.746),(69 17858.373),(70 17908.37),(71 17792.658),(72 17625.984),(73 17486.203),(74 17411.867),(75 17460.635),(76 17567.047),(77 17507.72),(78 17560.922),(79 17503.547),
(1 2341.9597),(2 4696.935),(3 6751.0356),(4 8316.396),(5 9534.593),(6 10469.686),(7 11025.358),(8 11474.741),(9 11880.631),(10 12289.008),(11 12549.862),(12 12755.869),(13 13103.466),(14 13391.887),(15 13711.13),(16 13861.592),(17 13990.666),(18 14147.211),(19 14292.176),(20 14336.917),(21 14529.757),(22 14943.692),(23 15132.753),(24 15190.259),(25 15233.437),(26 15273.549),(27 15411.858),(28 15428.785),(29 15500.915),(30 15536.442),(31 15623.373),(32 15733.04),(33 15784.027),(34 15945.511),(35 16034.722),(36 16018.191),(37 16071.3125),(38 16125.217),(39 16212.765),(40 16210.59),(41 16239.071),(42 16240.8),(43 16222.279),(44 16245.429),(45 16224.649),(46 16377.52),(47 16553.59),(48 16653.322),(49 16708.525),(50 16747.326),(51 16772.605),(52 16639.604),(53 16607.533),(54 16438.877),(55 16396.133),(56 16435.523),(57 16524.455),(58 16760.744),(59 16868.953),(60 16865.996),(61 16908.086),(62 16981.832),(63 17029.875),(64 17119.125),(65 17169.545),(66 17157.41),(67 17083.205),(68 16911.451),(69 16907.39),(70 17211.94),(71 17169.574),(72 17070.393),(73 17074),(74 17047.906),(75 16968.234),(76 16986.404),(77 16943.262),(78 16991.611),(79 16948.02),
(1 2257.667),(2 4450.602),(3 6392.2983),(4 7966.891),(5 9275.134),(6 10247.994),(7 10967.099),(8 11482.307),(9 11845.716),(10 12238.819),(11 12427.881),(12 12610.406),(13 12912.363),(14 13145.759),(15 13440.519),(16 13626.948),(17 13771.897),(18 13789.866),(19 13758.19),(20 13779.464),(21 13960.984),(22 14394.305),(23 14608.469),(24 14813.635),(25 14993.521),(26 15127.423),(27 15221.939),(28 15239.405),(29 15362.585),(30 15457.205),(31 15389.385),(32 15504.08),(33 15579.995),(34 15705.305),(35 15661.702),(36 15608.251),(37 15618.754),(38 15763.452),(39 15872.157),(40 15872.737),(41 15815.533),(42 15938.874),(43 15910.668),(44 15819.102),(45 15767.608),(46 15998.745),(47 15956.724),(48 16003.015),(49 15995.525),(50 16019.504),(51 16063.33),(52 16044.331),(53 16072.789),(54 16209.935),(55 16336.2),(56 16450.152),(57 16448.893),(58 16670.988),(59 16720.672),(60 16664.773),(61 16816.926),(62 17053.67),(63 17260.107),(64 17287.502),(65 17242.096),(66 17293.316),(67 17285.262),(68 17148.396),(69 17229.441),(70 17424.002),(71 17372.912),(72 17343.533),(73 17242.705),(74 17206.928),(75 17201.271),(76 17153.025),(77 17124.54),(78 17097.467),(79 17013.559),
(1 2205.515),(2 4385.2397),(3 6328.5225),(4 7807.4927),(5 8953.898),(6 9732.1875),(7 10290.434),(8 10700.905),(9 11103.837),(10 11528.895),(11 11811.972),(12 12081.724),(13 12394.173),(14 12600.795),(15 12804.334),(16 13004.238),(17 13130.191),(18 13317.445),(19 13365.167),(20 13423.031),(21 13577.099),(22 14023.953),(23 14126.848),(24 14251.515),(25 14278.51),(26 14334.43),(27 14359.387),(28 14375.787),(29 14476.464),(30 14441.84),(31 14519.44),(32 14587.138),(33 14637.895),(34 14731.317),(35 14706.723),(36 14699.285),(37 14664.435),(38 14712.948),(39 14680.374),(40 14690.942),(41 14538.203),(42 14430.135),(43 14318.296),(44 14201.19),(45 14060.053),(46 14180.162),(47 14155.602),(48 14228.358),(49 14328.809),(50 14445.231),(51 14575.731),(52 14696.911),(53 14833.92),(54 14880.953),(55 14832.617),(56 14806.586),(57 14773.219),(58 14986.575),(59 15153.454),(60 15173.494),(61 15297.766),(62 15460.925),(63 15771.05),(64 15899.261),(65 15970.554),(66 16086.956),(67 16031.827),(68 15904.714),(69 15767.978),(70 15783.382),(71 15752.529),(72 15700.624),(73 15683.68),(74 15719.374),(75 15871.656),(76 15922.688),(77 15954.045),(78 15887.688),(79 15777.126),
(1 2139.437),(2 4184.804),(3 6077.412),(4 7541.387),(5 8708.663),(6 9546.512),(7 10163.369),(8 10559.845),(9 10866.797),(10 11363.498),(11 11664.205),(12 11925.172),(13 12027.98),(14 12158.255),(15 12243.518),(16 12353.585),(17 12540.993),(18 12651.85),(19 12703.018),(20 12832.998),(21 12953.413),(22 13354.626),(23 13483.788),(24 13441.385),(25 13450.319),(26 13499.509),(27 13559.885),(28 13479.293),(29 13557.712),(30 13579.956),(31 13554.484),(32 13521.46),(33 13503.314),(34 13548.397),(35 13480.389),(36 13489.243),(37 13513.859),(38 13517.066),(39 13528.104),(40 13587.994),(41 13554.223),(42 13597.533),(43 13603.325),(44 13547.474),(45 13508.435),(46 13675.794),(47 13701.375),(48 13687.113),(49 13757.183),(50 13947.03),(51 14140.485),(52 14209.518),(53 14281.839),(54 14299.284),(55 14225.887),(56 14288.109),(57 14313.025),(58 14494.453),(59 14600.758),(60 14665.015),(61 14705.755),(62 14731.172),(63 14781.903),(64 14784.363),(65 14814.701),(66 14899.791),(67 14827.549),(68 14724.218),(69 14677.136),(70 14853.385),(71 14956.53),(72 14979.33),(73 15017.8),(74 15087.313),(75 15103.139),(76 15019.126),(77 14983.068),(78 14957.457),(79 14790.891),
(1 2020.4938),(2 3969.4617),(3 5753.521),(4 7099.37),(5 8088.762),(6 8865.269),(7 9468.38),(8 9865.738),(9 10153.593),(10 10699.258),(11 11099.385),(12 11340.364),(13 11549.466),(14 11776.149),(15 12004.528),(16 12044.451),(17 12159.614),(18 12256.808),(19 12174.971),(20 12197.882),(21 12285.975),(22 12652.161),(23 12780.516),(24 12803.691),(25 12871.106),(26 12902.765),(27 12808.617),(28 12779.67),(29 12891.068),(30 12977.974),(31 13063.096),(32 13127.192),(33 13197.748),(34 13296.712),(35 13244.285),(36 13130.006),(37 13060.675),(38 13105.289),(39 13188.708),(40 13153.877),(41 13160.065),(42 13155.744),(43 13084.929),(44 13091.51),(45 13130.459),(46 13408.298),(47 13416.438),(48 13375.838),(49 13321.083),(50 13447.553),(51 13601.378),(52 13589.002),(53 13624.477),(54 13705.942),(55 13763.734),(56 13783.192),(57 13864.468),(58 14074.105),(59 14097.067),(60 14153.009),(61 14235.36),(62 14277.331),(63 14362.323),(64 14492.234),(65 14720.459),(66 14984.9),(67 15000.189),(68 15003.011),(69 15002.009),(70 15148.962),(71 15150.655),(72 15129.569),(73 15137.156),(74 15232.674),(75 15188.761),(76 15123.853),(77 15133.944),(78 15058.124),(79 14920.298),
