1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 6195.7026),(2 11075.023),(3 13687.383),(4 14972.759),(5 15565.918),(6 16291.912),(7 16854.322),(8 17026.363),(9 16958.164),(10 16903.81),(11 16864.914),(12 17293.227),(13 17235.62),(14 17212.52),(15 17370.977),(16 17651.031),(17 18201.783),(18 18502.846),(19 18176.633),(20 17878.736),(21 18355.24),(22 18440.729),(23 18539.998),(24 18382.922),(25 18325.469),(26 18712.787),(27 18817.516),(28 19066.7),(29 18678.547),(30 18649.12),(31 18733.6),(32 18885.646),(33 19220.871),(34 19288.387),(35 19469.328),(36 19408.232),(37 19566.773),(38 19548.434),(39 19766.049),(40 19551.639),(41 19798.201),(42 19761.031),(43 19783.424),(44 19749.396),(45 19553.137),(46 19382.525),(47 19425.078),(48 19384.361),(49 18876.697),(50 18942.176),(51 19195.727),(52 19014.86),(53 18934.012),(54 19032.656),(55 18998.816),(56 19071.006),(57 19115.729),(58 19005.443),(59 19072.975),(60 19385.053),(61 19929.613),(62 20041.05),(63 20096.318),(64 20286.201),(65 20233.934),(66 20636.54),(67 20785.479),(68 20313.242),(69 20181.883),(70 20725.908),(71 20994.951),(72 21089.637),(73 21142.656),(74 21161.8),(75 21151.756),(76 21200.451),(77 21152.715),(78 21035.486),(79 20874.57),
(1 6020.153),(2 10508.761),(3 12780.324),(4 14263.038),(5 15185.9),(6 15821.808),(7 16459.21),(8 16780.191),(9 16786.486),(10 16407.432),(11 16542.129),(12 17130.752),(13 16915.004),(14 16824.7),(15 17090.658),(16 17302.076),(17 17599.184),(18 17623.824),(19 17027.11),(20 16723.926),(21 17054.715),(22 17530.809),(23 17758.557),(24 17886.873),(25 18020.941),(26 18430.846),(27 18550.334),(28 18832.691),(29 18613.115),(30 18419.627),(31 18674.043),(32 18788.908),(33 18944.885),(34 18913.178),(35 19067.818),(36 19018.652),(37 19253.695),(38 19281.162),(39 19100.166),(40 18950.314),(41 19302.834),(42 19279.656),(43 19183.297),(44 19308.395),(45 19066.342),(46 18726.047),(47 18909.684),(48 19149.748),(49 18654.125),(50 18594.979),(51 18666.9),(52 18113.053),(53 17846.104),(54 17623.895),(55 17723.367),(56 17732.748),(57 18081.896),(58 18128.205),(59 17998.77),(60 18258.115),(61 18618.605),(62 18704.783),(63 18397.299),(64 18423.791),(65 18326.203),(66 18786.506),(67 19133.385),(68 18845.018),(69 18776.48),(70 19310.654),(71 19421.406),(72 19463.336),(73 19558.465),(74 19670.338),(75 19402.666),(76 19436.393),(77 19558.402),(78 19972.633),(79 19749.986),
(1 5684.858),(2 9851.737),(3 11970.692),(4 13402.124),(5 14188.112),(6 14771.766),(7 15314.73),(8 15554.63),(9 15511.721),(10 15205.68),(11 15379.436),(12 15682.648),(13 15943.813),(14 16279.904),(15 16359.06),(16 16196.398),(17 16430.26),(18 16494.71),(19 16339.401),(20 16224.248),(21 16358.013),(22 16427.867),(23 16558.92),(24 16865.955),(25 17046.33),(26 17262.293),(27 17321.61),(28 17283.28),(29 16979.555),(30 16952.02),(31 17143.822),(32 17452.457),(33 17787.139),(34 17780.314),(35 17814.375),(36 17528.035),(37 17712.64),(38 17621.742),(39 17620.07),(40 17417.947),(41 17443.168),(42 17698.771),(43 17706.541),(44 17732.111),(45 17549.826),(46 17362.951),(47 17794.06),(48 18191.22),(49 17877.934),(50 17794.666),(51 17863.014),(52 17368.512),(53 17145.64),(54 17171.951),(55 17119.729),(56 17055.941),(57 17145.023),(58 17377.922),(59 17640.566),(60 17930.857),(61 18270.455),(62 18180.781),(63 17872.893),(64 18115.234),(65 18178.549),(66 18206.348),(67 18255.613),(68 17910.545),(69 17879.887),(70 18201.443),(71 18344.508),(72 18373.365),(73 18516.322),(74 18234.525),(75 18128.469),(76 18327.273),(77 18501.455),(78 18874.303),(79 18492.502),
(1 5540.904),(2 9675.153),(3 12060.264),(4 13499.884),(5 14050.17),(6 14422.681),(7 14965.096),(8 15031.501),(9 15066.886),(10 14759.864),(11 14648.976),(12 14901.616),(13 14980.871),(14 15222.505),(15 15531.896),(16 15491.195),(17 15713.37),(18 16203.411),(19 15938.933),(20 15738.912),(21 15809.512),(22 16091.516),(23 16024.756),(24 15914.152),(25 15884.591),(26 16182.204),(27 16310.615),(28 16288.841),(29 16161.978),(30 16575.035),(31 16632.498),(32 16815.473),(33 17014.408),(34 17013.719),(35 16838.64),(36 16768.188),(37 16903.12),(38 16713.512),(39 16687.469),(40 16541.182),(41 16496.416),(42 16518.748),(43 16421.83),(44 16278.498),(45 16337.037),(46 16264.111),(47 16595.674),(48 16905.846),(49 16687.191),(50 16803.646),(51 16947.645),(52 16745.28),(53 16634.39),(54 16433.852),(55 16312.983),(56 16520.979),(57 16556.398),(58 16560.314),(59 16658.527),(60 16797.79),(61 16960.242),(62 17109.713),(63 17305.68),(64 17438.293),(65 17164.23),(66 17209.064),(67 17177.955),(68 16903.51),(69 16941.732),(70 17497.035),(71 17514.879),(72 17583.723),(73 17835.064),(74 17893.563),(75 17781.045),(76 17599.305),(77 17828.822),(78 18041.512),(79 18031.516),
(1 5400.981),(2 9480.679),(3 11762.916),(4 13013.156),(5 13586.709),(6 14129.069),(7 14770.071),(8 14867.941),(9 14611.461),(10 14371.825),(11 14558.559),(12 15157.088),(13 15037.312),(14 15004.047),(15 15453.221),(16 15615.561),(17 16132.117),(18 16489.58),(19 16028.906),(20 15850.62),(21 16024.665),(22 16351.37),(23 16037.652),(24 15936.831),(25 15727.605),(26 15998.039),(27 16224.491),(28 16646.844),(29 16433.363),(30 16412.56),(31 16519.363),(32 16654.14),(33 16734.527),(34 16865.957),(35 17042.582),(36 17099.223),(37 17261.27),(38 17280.898),(39 17347.297),(40 17159.566),(41 17246.29),(42 16967.955),(43 16649.605),(44 16904.72),(45 16958.361),(46 16736.838),(47 16954.477),(48 16965.13),(49 16777.287),(50 16814.9),(51 17142.932),(52 16903.668),(53 16991.602),(54 16663.613),(55 16827.668),(56 16692.697),(57 16495.729),(58 16498.633),(59 16855.254),(60 17119.129),(61 17265.818),(62 17414.11),(63 17360.305),(64 17444.709),(65 17241.295),(66 17305.857),(67 17329.643),(68 17034.861),(69 17018.953),(70 17422.209),(71 17356.193),(72 17358.7),(73 17471.818),(74 17419.865),(75 17430.32),(76 17508.557),(77 17620.596),(78 17586.586),(79 17471.496),
(1 5282.0254),(2 9195.104),(3 11354.491),(4 12549.176),(5 13082.308),(6 13425.16),(7 13828.866),(8 13818.583),(9 13665.602),(10 13488.161),(11 13829.153),(12 14305.703),(13 14440.6455),(14 14581.227),(15 14525.562),(16 14662.863),(17 14834.4375),(18 14827.141),(19 14534.589),(20 14755.868),(21 14927.799),(22 14994.82),(23 15050.124),(24 15132.197),(25 15102.071),(26 15121.9795),(27 15161.578),(28 15250.073),(29 14870.729),(30 14918.757),(31 14875.489),(32 15190.949),(33 15468.522),(34 15742.068),(35 15848.114),(36 15555.771),(37 15893.117),(38 15841.68),(39 15900.958),(40 15870.371),(41 15988.167),(42 16179.021),(43 15859.413),(44 16075.633),(45 16110.801),(46 15664.397),(47 16046.858),(48 16505.572),(49 16069.584),(50 15923.607),(51 16061.59),(52 15864.767),(53 15723.283),(54 15618.743),(55 15683.192),(56 15753.223),(57 15655.751),(58 15651.489),(59 15790.947),(60 15999.803),(61 16282.482),(62 16211.692),(63 16166.81),(64 16313.08),(65 16178.831),(66 16370.034),(67 16563.166),(68 16129.414),(69 15915.859),(70 16347.47),(71 16397.854),(72 16368.738),(73 16594.398),(74 16917.65),(75 17149.818),(76 17461.025),(77 17355.678),(78 17531.418),(79 16911.398),
(1 5242.3433),(2 9069.498),(3 11122.203),(4 12213.838),(5 12639.427),(6 12992.401),(7 13605.628),(8 13834.164),(9 13768.077),(10 13447.983),(11 13540.881),(12 13855.883),(13 13685.911),(14 13789.933),(15 14008.624),(16 14098.939),(17 14222.328),(18 14138.065),(19 13843.214),(20 13850.04),(21 14340.358),(22 14473.501),(23 14670.425),(24 14791.943),(25 14760.989),(26 14871.903),(27 14954.136),(28 15061.996),(29 14979.971),(30 14986.9375),(31 15101.66),(32 15197.476),(33 15307.204),(34 15566.358),(35 15760.117),(36 15778.452),(37 15932.576),(38 15945.43),(39 15838.113),(40 15702.785),(41 15822.763),(42 15763.609),(43 15513.148),(44 15590.183),(45 15651.366),(46 15279.075),(47 15436.094),(48 15822.082),(49 15679.295),(50 15763.304),(51 15778.421),(52 15336.273),(53 15358.053),(54 15207.561),(55 15229.115),(56 15204.387),(57 15278.664),(58 15359.656),(59 15341.016),(60 15448.178),(61 15379.586),(62 15492.568),(63 15573.429),(64 15854.622),(65 15827.81),(66 16063.411),(67 16250.472),(68 15738.861),(69 15735.453),(70 16004.528),(71 15839.015),(72 15800.33),(73 16046.353),(74 15924.231),(75 16055.5),(76 16444.918),(77 16557.037),(78 16643.336),(79 16480.482),
(1 5137.104),(2 8788.265),(3 10516.589),(4 11404.349),(5 11887.307),(6 12346.536),(7 12928.706),(8 13170.837),(9 13104.399),(10 12613.021),(11 12708.771),(12 13235.712),(13 13149.128),(14 13067.659),(15 13282.704),(16 13503.706),(17 13693.42),(18 13921.607),(19 13647.87),(20 13488.372),(21 13775.813),(22 13955.351),(23 13988.894),(24 14097.595),(25 14132.661),(26 14233.528),(27 14360.502),(28 14674.476),(29 14398.265),(30 14539.263),(31 14736.031),(32 15049.825),(33 15241.88),(34 15152.586),(35 15213.139),(36 15301.202),(37 15619.609),(38 15636.244),(39 15424.582),(40 15192.696),(41 15333.443),(42 15249.947),(43 15501.208),(44 15606.366),(45 15548.562),(46 15232.579),(47 15350.986),(48 15550.297),(49 15055.664),(50 15073.676),(51 15265.731),(52 15006.37),(53 15080.062),(54 15281.425),(55 15272.347),(56 15144.57),(57 15231.028),(58 15088.198),(59 14955.561),(60 15073.611),(61 15092.69),(62 15119.084),(63 15358.714),(64 15609.958),(65 15628.728),(66 15626.838),(67 15803.281),(68 15434.775),(69 15377.962),(70 15741.689),(71 16037.397),(72 16117.238),(73 16379.551),(74 16454.082),(75 16381.795),(76 16496.607),(77 16383.044),(78 16563.648),(79 16167.249),
(1 4999.6216),(2 8502.91),(3 10096.656),(4 10884.793),(5 11461.884),(6 11994.168),(7 12693.768),(8 12738.263),(9 12535.892),(10 12247.813),(11 12397.073),(12 12486.369),(13 12410.436),(14 12341.779),(15 12616.838),(16 12823.164),(17 13207.038),(18 13163.588),(19 12922.095),(20 12950.449),(21 13232.883),(22 13320.615),(23 13459.814),(24 13581.775),(25 13502.085),(26 13716.132),(27 13849.683),(28 14035.168),(29 13712.968),(30 13825.353),(31 14124.344),(32 14453.472),(33 14774.563),(34 14739.38),(35 14762.577),(36 14635.01),(37 14864.658),(38 14931.316),(39 14947.494),(40 14643.858),(41 14639.67),(42 14615.725),(43 14473.378),(44 14494.236),(45 14222.169),(46 13992.232),(47 14212.148),(48 14587.432),(49 14058.252),(50 13973.543),(51 14026.956),(52 13793.616),(53 14019.942),(54 14021.76),(55 14067.123),(56 14076.203),(57 14229.748),(58 14286.678),(59 14224.603),(60 14121.623),(61 14001.124),(62 14024.986),(63 14187.085),(64 14606.023),(65 14524.379),(66 14764.149),(67 14957.129),(68 14695.615),(69 14540.046),(70 14878.779),(71 14835.884),(72 14941.006),(73 15116.259),(74 15165.427),(75 15108.117),(76 15217.505),(77 15384.617),(78 15817.347),(79 15674.941),
(1 4808.8003),(2 8074.5103),(3 9801.684),(4 10678.939),(5 11306.488),(6 11627.091),(7 12099.129),(8 12177.343),(9 12028.47),(10 11821.009),(11 11787.15),(12 12009.925),(13 12045.712),(14 11835.013),(15 12133.502),(16 12356.035),(17 12616.781),(18 12701.502),(19 12525.409),(20 12416.391),(21 12610.243),(22 12925.493),(23 12905.501),(24 12948.681),(25 12919.408),(26 12958.391),(27 13192.114),(28 13575.987),(29 13377.19),(30 13312.843),(31 13485.637),(32 13738.313),(33 13963.065),(34 13878.478),(35 13971.035),(36 13833.991),(37 13987.248),(38 13915.414),(39 13975.117),(40 13941.486),(41 13950.925),(42 13905.545),(43 13823.866),(44 14062.959),(45 14097.431),(46 13822.77),(47 13929.22),(48 14005.885),(49 13677.72),(50 13582.661),(51 13701.823),(52 13456.05),(53 13663.406),(54 13586.797),(55 13501.749),(56 13260.259),(57 13437.979),(58 13432.619),(59 13596.018),(60 13666.245),(61 13620.576),(62 13575.597),(63 13726.777),(64 14098.069),(65 14098.69),(66 14282.585),(67 14511.22),(68 14044.141),(69 13831.06),(70 14132.494),(71 14167.041),(72 14314.709),(73 14528.819),(74 14550.347),(75 14544.255),(76 14763.519),(77 14729.097),(78 14772.186),(79 14663.682),
(1 4518.8486),(2 7756.5093),(3 9509.0205),(4 10411.444),(5 10946.016),(6 11376.27),(7 11738.963),(8 11638.709),(9 11503.039),(10 11369.329),(11 11458.452),(12 11652.144),(13 11548.586),(14 11441.305),(15 11654.455),(16 11806.517),(17 11957.158),(18 12159.48),(19 11956.049),(20 11854.116),(21 12000.479),(22 12173.34),(23 12304.849),(24 12249.216),(25 12342.89),(26 12582.698),(27 12797.584),(28 12962.612),(29 12715.111),(30 12906.766),(31 13054.415),(32 13165.297),(33 13519.485),(34 13452.11),(35 13288.682),(36 13181.543),(37 13478.166),(38 13520.445),(39 13559.608),(40 13228.382),(41 13222.929),(42 13223.813),(43 13159.938),(44 13366.886),(45 13193.869),(46 13245.379),(47 13361.313),(48 13392.956),(49 12981.019),(50 12974.415),(51 13142.866),(52 12888.096),(53 12744.426),(54 12585.077),(55 12830.164),(56 12791.261),(57 12969.887),(58 13061.72),(59 13256.579),(60 13577.62),(61 13666.714),(62 13563.231),(63 13487.144),(64 13709.887),(65 13285.363),(66 13289.444),(67 13477.239),(68 12922.943),(69 12838.036),(70 13415.551),(71 13592.026),(72 13558.067),(73 13584.818),(74 13842.424),(75 14131.078),(76 14317.062),(77 14455.328),(78 14551.949),(79 14292.206),
(1 4523.748),(2 7663.8706),(3 9143.48),(4 9904.094),(5 10278.813),(6 10675.555),(7 10992.598),(8 11051.585),(9 11035.424),(10 11034.959),(11 11285.308),(12 11500.666),(13 11577.205),(14 11355.697),(15 11351.341),(16 11410.102),(17 11677.151),(18 11905.296),(19 11821.654),(20 11820.897),(21 11869.158),(22 11878.708),(23 11936.651),(24 11940.211),(25 11967.301),(26 12230.671),(27 12405.492),(28 12441.142),(29 12102.994),(30 12142.198),(31 12279.524),(32 12279.809),(33 12538.573),(34 12615.178),(35 12652.08),(36 12417.629),(37 12666.762),(38 12848.647),(39 13092.354),(40 12985.227),(41 13002.326),(42 12742.154),(43 12509.843),(44 12525.197),(45 12614.305),(46 12675.648),(47 12779.218),(48 12928.291),(49 12615.035),(50 12633.029),(51 12705.191),(52 12512.883),(53 12552.192),(54 12597.081),(55 12546.919),(56 12398.789),(57 12465.678),(58 12526.501),(59 12524.655),(60 12546.145),(61 12528.518),(62 12616.746),(63 12679.999),(64 12864.296),(65 12552.762),(66 12531.703),(67 12806.099),(68 12466.388),(69 12634.482),(70 13081.472),(71 13291.248),(72 13280.055),(73 13314.537),(74 13408.277),(75 13585.348),(76 13773.976),(77 13767.481),(78 14018.41),(79 13591.297),
(1 4377.897),(2 7441.1377),(3 8951.018),(4 9610.077),(5 9845.81),(6 10241.341),(7 10452.088),(8 10490.265),(9 10414.408),(10 10227.09),(11 10229.381),(12 10497.842),(13 10648.819),(14 10658.108),(15 10713.491),(16 10885.466),(17 11145.11),(18 11366.561),(19 11115.34),(20 10983.964),(21 11110.25),(22 11272.509),(23 11379.116),(24 11486.371),(25 11297.63),(26 11440.517),(27 11434.77),(28 11581.653),(29 11449.599),(30 11427.344),(31 11598.808),(32 11829.381),(33 12006.364),(34 11984.296),(35 12029.58),(36 11937.84),(37 12050.766),(38 11954.506),(39 12034.225),(40 11935.78),(41 11947.494),(42 12027.458),(43 12300.607),(44 12530.849),(45 12570.8955),(46 12262.33),(47 12262.19),(48 12393.603),(49 12232.714),(50 12234.788),(51 12327.969),(52 11942.4),(53 11918.736),(54 12072.143),(55 12032.788),(56 12079.448),(57 12230.614),(58 12267.213),(59 12219.786),(60 12449.985),(61 12525.131),(62 12492.013),(63 12409.677),(64 12517.737),(65 12393.751),(66 12571.797),(67 12698.758),(68 12286.196),(69 12281.256),(70 12608.209),(71 12740.015),(72 12595.601),(73 12694.614),(74 12730.864),(75 12891.184),(76 12858.584),(77 12757.75),(78 12821.566),(79 12563.359),
(1 4105.7153),(2 7012.007),(3 8392.5),(4 9021.47),(5 9396.857),(6 9785.981),(7 9944.58),(8 9976.041),(9 9895.144),(10 9762.615),(11 9762.613),(12 10160.446),(13 10090.635),(14 10106.874),(15 10308.786),(16 10364.69),(17 10551.129),(18 10572.579),(19 10466.429),(20 10531.135),(21 10631.773),(22 10686.21),(23 10668.513),(24 10704.761),(25 10494.134),(26 10600.831),(27 10798.693),(28 10966.58),(29 10833.134),(30 10964.946),(31 11159.623),(32 11360.839),(33 11525.547),(34 11488.505),(35 11789.2295),(36 11911.5),(37 12031.096),(38 11850.911),(39 11597.44),(40 11683.925),(41 11648.202),(42 11504.997),(43 11530.913),(44 11522.273),(45 11506.631),(46 11453.129),(47 11636.815),(48 11876.31),(49 11605.229),(50 11519.933),(51 11618.753),(52 11516.061),(53 11695.907),(54 11288.575),(55 11191.695),(56 11197.091),(57 11337.216),(58 11444.606),(59 11449.363),(60 11543.697),(61 11763.451),(62 11701.562),(63 11767.907),(64 12069.207),(65 11966.741),(66 12135.24),(67 12219.505),(68 11881.7295),(69 11812.201),(70 12235.437),(71 12388.037),(72 12362.28),(73 12442.712),(74 12386.901),(75 12349.358),(76 12384.428),(77 12404.979),(78 12575.466),(79 12554.354),
(1 4043.9167),(2 6867.1035),(3 8241.378),(4 8755.188),(5 9093.087),(6 9542.621),(7 9879.796),(8 9781.953),(9 9923.771),(10 9799.644),(11 9876.648),(12 10064.073),(13 10025.174),(14 9972.734),(15 9965.039),(16 10109.662),(17 10435.284),(18 10674.977),(19 10520.34),(20 10436.426),(21 10498.449),(22 10544.862),(23 10581.047),(24 10663.631),(25 10757.191),(26 11086.2),(27 11213.278),(28 11161.103),(29 10965.355),(30 10928.504),(31 11062.966),(32 11145.189),(33 11579.976),(34 11588.897),(35 11762.305),(36 11811.931),(37 11970.067),(38 11748.6045),(39 11638.25),(40 11562.106),(41 11585.184),(42 11579.1),(43 11552.087),(44 11724.309),(45 11565.558),(46 11185.146),(47 11235.442),(48 11380.883),(49 11238.687),(50 11304.533),(51 11448.447),(52 11466.61),(53 11600.085),(54 11342.31),(55 11273.373),(56 11055.7705),(57 11074.551),(58 11114.775),(59 11218.285),(60 11458.285),(61 11614.641),(62 11559.19),(63 11485.852),(64 11777.624),(65 11731.399),(66 11788.308),(67 11946.1),(68 11641.529),(69 11723.552),(70 11872.243),(71 11801.341),(72 11825.672),(73 11977.722),(74 11964.175),(75 11974.865),(76 11938.411),(77 11905.111),(78 11989.746),(79 11787.762),
(1 3909.6604),(2 6461.3657),(3 7768.9917),(4 8347.58),(5 8675.052),(6 8931.54),(7 9215.694),(8 9389.274),(9 9380.815),(10 9263.225),(11 9296.112),(12 9590.281),(13 9538.053),(14 9455.972),(15 9609.647),(16 9842.063),(17 9961.316),(18 9929.396),(19 9789.836),(20 9866.291),(21 9946.816),(22 10014.798),(23 10169.821),(24 10065.229),(25 10034.001),(26 10261.201),(27 10385.359),(28 10414.551),(29 10320.659),(30 10544.679),(31 10735.055),(32 10845.559),(33 10985.887),(34 10955.3),(35 10927.446),(36 11097.314),(37 11309.029),(38 11202.691),(39 11012.235),(40 10950.134),(41 11079.68),(42 10996.196),(43 11102.27),(44 11089.947),(45 10985.816),(46 10890.596),(47 10947.542),(48 11077.366),(49 10923.192),(50 10881.56),(51 10992.425),(52 10821.939),(53 10824.367),(54 10897.155),(55 10884.311),(56 10852.678),(57 10733.834),(58 10799.417),(59 10843.868),(60 11041.603),(61 11180.787),(62 11162.474),(63 11182.805),(64 11201.546),(65 10986.627),(66 11091.669),(67 11346),(68 11020.132),(69 10846.233),(70 11106.792),(71 11254.441),(72 11157.164),(73 11346.865),(74 11407.636),(75 11424.96),(76 11519.944),(77 11566.971),(78 11797.001),(79 11547.883),
(1 3861.513),(2 6343.9077),(3 7502.099),(4 7995.1245),(5 8464.297),(6 8847.696),(7 9194.512),(8 9227.449),(9 9246.697),(10 9240.855),(11 9448.296),(12 9736.351),(13 9623.125),(14 9588.951),(15 9608.531),(16 9617.762),(17 9815.119),(18 10071.025),(19 9806.648),(20 9549.812),(21 9660.892),(22 9722.316),(23 9681.075),(24 9777.994),(25 9826.303),(26 9908.735),(27 10165.993),(28 10351.191),(29 10079.898),(30 10318.979),(31 10455.228),(32 10492.175),(33 10648.435),(34 10532.374),(35 10667.153),(36 10607.961),(37 10836.432),(38 10868.32),(39 10869.742),(40 10911.231),(41 10880.572),(42 11015.407),(43 10976.944),(44 11068.611),(45 10907.543),(46 10837.121),(47 10989.889),(48 10991.671),(49 10765.469),(50 10769.076),(51 10861.147),(52 10673.635),(53 10853.702),(54 10882.559),(55 10839.557),(56 10610.625),(57 10697.697),(58 10653.4375),(59 10695.438),(60 10843.981),(61 10809.659),(62 10821.531),(63 10779.099),(64 10996.817),(65 10968.559),(66 11055.511),(67 11199.946),(68 10727.667),(69 10745.159),(70 11093.412),(71 11190.939),(72 11172.141),(73 11252.932),(74 11292.269),(75 11295.115),(76 11206.755),(77 11179.678),(78 11325.545),(79 11189.3),
(1 3650.7466),(2 5899.762),(3 6923.4824),(4 7507.2095),(5 7920.5293),(6 8227.498),(7 8542.965),(8 8596.766),(9 8594.582),(10 8368.868),(11 8488.326),(12 8806.054),(13 8953.655),(14 8872.638),(15 8939.674),(16 9026.595),(17 9261.845),(18 9289.628),(19 9138.478),(20 8991.833),(21 9118.795),(22 9263.046),(23 9274.125),(24 9189.634),(25 9252.823),(26 9527.178),(27 9784.698),(28 9968.773),(29 9808.007),(30 9849.374),(31 10031.649),(32 10107.702),(33 10196.994),(34 10077.2705),(35 10099.665),(36 9895.475),(37 10038.146),(38 10075.191),(39 10097.29),(40 9991.722),(41 10071.924),(42 10109.957),(43 9963.199),(44 10085.437),(45 10052.701),(46 9883.508),(47 9987.921),(48 10090.194),(49 9925.905),(50 9811.568),(51 10029.447),(52 9972.987),(53 9909.7705),(54 9732.428),(55 9835.67),(56 9758.265),(57 9854.593),(58 9744.759),(59 9664.277),(60 9903.492),(61 10032.169),(62 10074.953),(63 10172.103),(64 10235.267),(65 10131.963),(66 10075.916),(67 10207.7705),(68 9950.915),(69 9891.4795),(70 10253.833),(71 10446.168),(72 10506.436),(73 10598.555),(74 10623.47),(75 10621.058),(76 10650.204),(77 10543.886),(78 10649.033),(79 10461.191),
