1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 82649.24),(2 217438.45),(3 414566.97),(4 658597),(5 919216),(6 1235043.1),(7 1568107),(8 1942279.6),(9 2306588.3),(10 2729059.5),(11 3177543.3),(12 3598033.3),(13 4030856),(14 4481666.5),(15 4904938.5),(16 5439227.5),(17 5913138.5),(18 6262142.5),(19 6604022.5),(20 6933324),(21 7284068),(22 7588126.5),(23 7926356),(24 8261698.5),(25 8680589),(26 9094823),(27 9515477),(28 10008599),(29 10446179),(30 10750583),(31 11079071),(32 11338939),(33 11642493),(34 11828435),(35 12031045),(36 12197372),(37 12225755),(38 12203403),(39 12354047),(40 12621241),(41 13352583),(42 13660092),(43 14052967),(44 14511772),(45 14865297),(46 15055067),(47 15319240),(48 15686967),(49 16035197),(50 16223779),(51 16446475),(52 16709245),(53 16963154),(54 17138210),(55 17294354),(56 17378186),(57 17460790),(58 17489574),(59 17622202),(60 17792452),(61 17905192),(62 17834394),(63 17743826),(64 17847642),(65 17886946),(66 18558910),(67 18981766),(68 19486526),(69 20002590),(70 20468882),(71 21002988),(72 21573718),(73 22195330),(74 22817656),(75 23484298),(76 24245042),(77 25072906),(78 25979382),(79 26944720),
(1 67569.86),(2 221781.88),(3 436726.7),(4 725967.1),(5 1067849.1),(6 1463131.6),(7 1886728),(8 2353180.3),(9 2824294),(10 3335094),(11 3844400),(12 4362296),(13 4886449),(14 5418551),(15 5928361),(16 6559096),(17 7100419),(18 7634717),(19 8145280),(20 8667622),(21 9165365),(22 9643003),(23 10094543),(24 10505681),(25 10938898),(26 11357118),(27 11763333),(28 12168725),(29 12555849),(30 12933018),(31 13302339),(32 13696526),(33 14067418),(34 14430582),(35 14753069),(36 15019899),(37 15204066),(38 15337059),(39 15485283),(40 15718731),(41 16077509),(42 16324570),(43 16611654),(44 16944308),(45 17301056),(46 17650172),(47 18062846),(48 18441558),(49 18856184),(50 19249236),(51 19701882),(52 20049014),(53 20371678),(54 20776582),(55 21182460),(56 21610868),(57 22024870),(58 22506796),(59 23054808),(60 23633688),(61 24283752),(62 24832528),(63 25534006),(64 26325392),(65 27172464),(66 28400230),(67 29452054),(68 30470368),(69 31487744),(70 32501780),(71 33553856),(72 34681470),(73 35794604),(74 37008148),(75 38256250),(76 39526470),(77 40702956),(78 41913944),(79 43158100),
(1 66543.09),(2 211924.45),(3 424126.9),(4 703661.5),(5 1045384.94),(6 1446899.1),(7 1898629.6),(8 2392558),(9 2954829.3),(10 3538792.8),(11 4167005.3),(12 4837723.5),(13 5558975.5),(14 6292683.5),(15 7064162.5),(16 7922465.5),(17 8716873),(18 9475603),(19 10197325),(20 10919449),(21 11638149),(22 12320175),(23 12938608),(24 13552067),(25 14118923),(26 14650615),(27 15120775),(28 15535425),(29 15932164),(30 16269696),(31 16596227),(32 16971354),(33 17343826),(34 17670622),(35 18042446),(36 18355736),(37 18633622),(38 18897266),(39 19167888),(40 19544136),(41 19941664),(42 20331246),(43 20797794),(44 21269376),(45 21760192),(46 22273326),(47 22782506),(48 23392574),(49 24071270),(50 24664176),(51 25258112),(52 25738776),(53 26184146),(54 26639166),(55 27101534),(56 27485240),(57 27891640),(58 28303238),(59 28805610),(60 29438246),(61 30019350),(62 30694974),(63 31322122),(64 31918282),(65 32474998),(66 33219946),(67 33856364),(68 34556340),(69 35215690),(70 35910380),(71 36608816),(72 37386284),(73 38291790),(74 39122336),(75 39997300),(76 40866864),(77 41666730),(78 42392732),(79 43137664),
(1 79455.95),(2 286149.13),(3 599720.75),(4 1023438.1),(5 1529951.1),(6 2125449.8),(7 2816616.5),(8 3579170.3),(9 4447256.5),(10 5371870),(11 6362281),(12 7400520),(13 8455997),(14 9567308),(15 10751620),(16 11967668),(17 13169101),(18 14336851),(19 15517358),(20 16689445),(21 17826474),(22 18949158),(23 20014976),(24 21038482),(25 22024800),(26 22979210),(27 23901956),(28 24786696),(29 25694660),(30 26532682),(31 27326162),(32 28058628),(33 28703602),(34 29320440),(35 29894062),(36 30438354),(37 30929106),(38 31456324),(39 31934520),(40 32401778),(41 33015224),(42 33467460),(43 33926960),(44 34450700),(45 34980132),(46 35476172),(47 35979870),(48 36474930),(49 36950812),(50 37347108),(51 37700260),(52 38055316),(53 38410220),(54 38657410),(55 38940680),(56 39193068),(57 39392470),(58 39621570),(59 39899988),(60 40284228),(61 40531600),(62 40671050),(63 40802310),(64 40930720),(65 40951090),(66 40946624),(67 41011650),(68 41030664),(69 40983120),(70 41010812),(71 41014044),(72 41012484),(73 41035090),(74 41016612),(75 41003684),(76 40975748),(77 40983930),(78 40989676),(79 41024390),
(1 72465.586),(2 261276.1),(3 543921.4),(4 924948.44),(5 1384321.4),(6 1928819.5),(7 2552124),(8 3227243),(9 3951998.5),(10 4722614.5),(11 5548274),(12 6408304),(13 7266090),(14 8156746),(15 9078783),(16 10012377),(17 10951268),(18 11865660),(19 12800100),(20 13753347),(21 14711258),(22 15680448),(23 16609303),(24 17570330),(25 18457090),(26 19361292),(27 20218340),(28 21167336),(29 22061754),(30 22931058),(31 23841068),(32 24713208),(33 25556724),(34 26394334),(35 27194694),(36 27994888),(37 28699118),(38 29417752),(39 30123522),(40 30766868),(41 31451426),(42 31986488),(43 32448576),(44 32871230),(45 33211174),(46 33494638),(47 33742400),(48 33962588),(49 34067370),(50 34081224),(51 34050490),(52 34062652),(53 34121148),(54 34052372),(55 34036548),(56 34060644),(57 34024024),(58 34035440),(59 34087620),(60 34238396),(61 34299110),(62 34269916),(63 34268610),(64 34256884),(65 34218780),(66 34348260),(67 34427216),(68 34488796),(69 34478144),(70 34507160),(71 34536696),(72 34558390),(73 34552424),(74 34506372),(75 34448080),(76 34360836),(77 34303970),(78 34227900),(79 34199460),
(1 84412.39),(2 296957.38),(3 610892.5),(4 1015283.6),(5 1496578.3),(6 2028041.3),(7 2599715.8),(8 3196127.5),(9 3809419.3),(10 4461437.5),(11 5145325.5),(12 5837513.5),(13 6542702.5),(14 7232288),(15 7946368),(16 8669069),(17 9396450),(18 10127182),(19 10859833),(20 11617314),(21 12384879),(22 13120776),(23 13878632),(24 14604902),(25 15336067),(26 15995456),(27 16640085),(28 17226730),(29 17765210),(30 18267484),(31 18815796),(32 19316252),(33 19778938),(34 20200214),(35 20553796),(36 20834258),(37 21100780),(38 21365726),(39 21640588),(40 21865212),(41 22164138),(42 22350420),(43 22533564),(44 22694848),(45 22894046),(46 23005402),(47 23150572),(48 23356982),(49 23570608),(50 23736822),(51 23864428),(52 24038478),(53 24207198),(54 24383964),(55 24467392),(56 24558880),(57 24616550),(58 24732120),(59 24827882),(60 25037174),(61 25219598),(62 25317398),(63 25409348),(64 25451340),(65 25391888),(66 25411532),(67 25345596),(68 25268298),(69 25155922),(70 24952732),(71 24705454),(72 24428108),(73 24128028),(74 23801120),(75 23443930),(76 23131808),(77 22856128),(78 22598716),(79 22385652),
(1 99168.37),(2 350570.2),(3 743621.1),(4 1262635.3),(5 1897531.4),(6 2651863.5),(7 3528690.3),(8 4486239),(9 5501934),(10 6597069),(11 7783836.5),(12 9026020),(13 10300631),(14 11617329),(15 12959006),(16 14504273),(17 15988674),(18 17472224),(19 18939486),(20 20416146),(21 21848748),(22 23218084),(23 24467886),(24 25660344),(25 26771730),(26 27764820),(27 28666184),(28 29401070),(29 30051030),(30 30548188),(31 31031252),(32 31449398),(33 31761020),(34 31946270),(35 32067990),(36 32083848),(37 32052810),(38 31966952),(39 31831118),(40 31705916),(41 31554326),(42 31279356),(43 30918082),(44 30618252),(45 30316970),(46 30020948),(47 29759716),(48 29522174),(49 29394306),(50 29270390),(51 29183490),(52 29108014),(53 29036388),(54 28984782),(55 28883596),(56 28757388),(57 28599058),(58 28438082),(59 28332068),(60 28252782),(61 28208196),(62 28158424),(63 28196084),(64 28272640),(65 28331660),(66 28452394),(67 28502670),(68 28573514),(69 28643998),(70 28627042),(71 28554318),(72 28386206),(73 28200356),(74 28034678),(75 27890262),(76 27732938),(77 27601874),(78 27429792),(79 27287862),
(1 91137.02),(2 327675.28),(3 679426.25),(4 1140958.8),(5 1695729.9),(6 2349675),(7 3095447.8),(8 3878035.3),(9 4677982.5),(10 5522208),(11 6409825),(12 7337397.5),(13 8278731.5),(14 9248688),(15 10248957),(16 11422860),(17 12537370),(18 13676017),(19 14790855),(20 15935349),(21 17048790),(22 18180094),(23 19229564),(24 20252646),(25 21207942),(26 22154950),(27 22994348),(28 23814250),(29 24496180),(30 25029402),(31 25508682),(32 25941844),(33 26256584),(34 26514444),(35 26700660),(36 26856298),(37 26939810),(38 26960908),(39 26963224),(40 26893370),(41 26756032),(42 26578132),(43 26347608),(44 26101048),(45 25859750),(46 25604306),(47 25382462),(48 25157368),(49 24967106),(50 24774362),(51 24617982),(52 24473162),(53 24337370),(54 24166654),(55 23997736),(56 23832418),(57 23680618),(58 23518826),(59 23357336),(60 23175988),(61 23009854),(62 22909708),(63 22806802),(64 22764964),(65 22725030),(66 22663702),(67 22593336),(68 22516658),(69 22452378),(70 22379826),(71 22323522),(72 22251566),(73 22229274),(74 22235754),(75 22286216),(76 22360456),(77 22456936),(78 22617076),(79 22785346),
(1 76776.4),(2 271040.03),(3 556365.5),(4 925286.2),(5 1360569.9),(6 1873120),(7 2440042.8),(8 3034069.3),(9 3658847),(10 4325069),(11 4993085),(12 5696403.5),(13 6384383.5),(14 7080827.5),(15 7772766),(16 8539454),(17 9271171),(18 10016020),(19 10746302),(20 11502889),(21 12233001),(22 12965843),(23 13672111),(24 14356454),(25 14974933),(26 15582852),(27 16113035),(28 16606334),(29 17034258),(30 17406114),(31 17701654),(32 18009706),(33 18261982),(34 18514352),(35 18696816),(36 18908178),(37 19065122),(38 19193956),(39 19256268),(40 19332556),(41 19356550),(42 19346652),(43 19309988),(44 19217046),(45 19127824),(46 19040030),(47 18927772),(48 18859696),(49 18791416),(50 18753926),(51 18763050),(52 18712482),(53 18676156),(54 18622060),(55 18554096),(56 18454528),(57 18345712),(58 18220000),(59 18115288),(60 17983014),(61 17859106),(62 17726290),(63 17625978),(64 17579708),(65 17577946),(66 17643920),(67 17699088),(68 17768116),(69 17813570),(70 17859680),(71 17904926),(72 17941692),(73 17998928),(74 18063970),(75 18192282),(76 18292718),(77 18431876),(78 18593874),(79 18756720),
(1 64759.895),(2 222761.95),(3 445552.38),(4 725574),(5 1051904.3),(6 1408430.5),(7 1791349.8),(8 2189307.3),(9 2587954.8),(10 3003365),(11 3423100),(12 3853619),(13 4273590),(14 4717395),(15 5147109.5),(16 5561856),(17 5988817),(18 6429632.5),(19 6827188.5),(20 7251075),(21 7653466.5),(22 8061136),(23 8462372),(24 8843071),(25 9199226),(26 9525132),(27 9841748),(28 10128251),(29 10350289),(30 10579001),(31 10768438),(32 10951079),(33 11115024),(34 11285595),(35 11411743),(36 11559709),(37 11663428),(38 11791187),(39 11855863),(40 11892802),(41 11922448),(42 11962514),(43 12010122),(44 12025274),(45 12062555),(46 12136990),(47 12221020),(48 12298886),(49 12396364),(50 12513177),(51 12617922),(52 12663925),(53 12666004),(54 12631588),(55 12573826),(56 12496480),(57 12396959),(58 12313388),(59 12237856),(60 12184187),(61 12152514),(62 12149214),(63 12172309),(64 12246348),(65 12345271),(66 12508135),(67 12637780),(68 12825387),(69 12961644),(70 13166772),(71 13342100),(72 13513991),(73 13683188),(74 13867885),(75 14090623),(76 14319138),(77 14549340),(78 14785328),(79 15023367),
(1 68456),(2 234022.94),(3 471076.25),(4 767341.6),(5 1105204.8),(6 1472014.8),(7 1877107.1),(8 2293033.5),(9 2716967.8),(10 3152541.8),(11 3585802.8),(12 4020290),(13 4444976),(14 4854472),(15 5255605.5),(16 5636493),(17 6003184),(18 6342552.5),(19 6661431.5),(20 6971064.5),(21 7265956),(22 7577611.5),(23 7859149),(24 8149191.5),(25 8400866),(26 8655584),(27 8911143),(28 9142456),(29 9370310),(30 9596668),(31 9805502),(32 9983877),(33 10117997),(34 10251144),(35 10363823),(36 10488919),(37 10596531),(38 10718281),(39 10799437),(40 10856751),(41 10882631),(42 10895879),(43 10885145),(44 10841126),(45 10760736),(46 10692056),(47 10625217),(48 10539050),(49 10470040),(50 10391195),(51 10286796),(52 10177889),(53 10036313),(54 9896271),(55 9756951),(56 9605064),(57 9455357),(58 9300072),(59 9127564),(60 8943751),(61 8751122),(62 8552141),(63 8340940),(64 8182200.5),(65 8001167),(66 7873153.5),(67 7769503.5),(68 7674495.5),(69 7618739),(70 7603652),(71 7617761),(72 7669520),(73 7725698),(74 7780586),(75 7838384),(76 7912175),(77 7983589.5),(78 8051979.5),(79 8160547),
