(1 6846.744),(2 7641.398),(3 8969.944),(4 8154.4897),(5 10403.085),(6 9420.057),(7 11476.085),(8 11521.435),(9 12413.495),(10 9451.818),(11 13186.817),(12 12765.095),(13 13301.6875),(14 11904.445),(15 13610.663),(16 12065.315),(17 13641.548),(18 13178.88),(19 13526.937),(20 10092.267),(21 13784.368),(22 13537.066),(23 14211.319),(24 13020.3955),(25 14766.769),(26 13352.25),(27 14899.36),(28 14657.261),(29 15131.161),(30 11763.656),(31 15286.142),(32 14950.544),(33 15393.862),(34 13947.3955),(35 15415.886),(36 13763.742),(37 15203.387),(38 14715.253),(39 14889.106),
(1 5457.9194),(2 6348.3916),(3 7678.0757),(4 7074.2188),(5 9319.227),(6 8486.969),(7 10528.072),(8 10697.299),(9 11585.503),(10 8739.069),(11 12349.547),(12 12136.841),(13 12660.996),(14 11372.144),(15 13018.524),(16 11591.344),(17 13084.44),(18 12717.375),(19 13020.8955),(20 9669.363),(21 13251.93),(22 13065.19),(23 13578.141),(24 12374.347),(25 14051.474),(26 12754.486),(27 14335.7),(28 14113.753),(29 14600.568),(30 11404.367),(31 14872.378),(32 14565.969),(33 14950.906),(34 13572.553),(35 15076.505),(36 13591.453),(37 14984.389),(38 14613.281),(39 14873.719),
(1 5124.9585),(2 6096.7036),(3 7485.16),(4 6976.614),(5 9192.237),(6 8506.363),(7 10598.035),(8 10810.454),(9 11699.239),(10 9014.383),(11 12539.602),(12 12457.5),(13 13018.035),(14 11770.211),(15 13358.284),(16 12030.2295),(17 13550.023),(18 13240.165),(19 13528.091),(20 10368.061),(21 13876.481),(22 13870.883),(23 14467.151),(24 13333.356),(25 14988.203),(26 13820.016),(27 15389.798),(28 15155.317),(29 15554.993),(30 12479.992),(31 15825.921),(32 15599.969),(33 16015.937),(34 14711.808),(35 16132.297),(36 14762.477),(37 16158.699),(38 15760.886),(39 15989.849),
(1 4692.403),(2 5604.928),(3 6923.8813),(4 6427.6733),(5 8491.027),(6 7843.7065),(7 9891.578),(8 10108.837),(9 10893.379),(10 8371.137),(11 11769.526),(12 11788.22),(13 12392.599),(14 11296.311),(15 12896.107),(16 11715.354),(17 13228.915),(18 13003.583),(19 13309.3545),(20 10368.472),(21 13797.556),(22 13837.067),(23 14433.773),(24 13348.488),(25 14914.306),(26 13805.268),(27 15342.285),(28 15137.455),(29 15479.379),(30 12615.987),(31 15828.603),(32 15741.026),(33 16156.527),(34 14926.777),(35 16310.355),(36 15063.194),(37 16433.95),(38 16063.759),(39 16264.882),
(1 4411.7686),(2 5227.052),(3 6524.6294),(4 5980.797),(5 8015.412),(6 7354.341),(7 9372.27),(8 9520.517),(9 10257.915),(10 7866.236),(11 11106.336),(12 11126.69),(13 11760.952),(14 10639.145),(15 12164.082),(16 11041.966),(17 12571.378),(18 12292.895),(19 12608.719),(20 9860.093),(21 13133.605),(22 13208.71),(23 13874.781),(24 12812.577),(25 14352.968),(26 13307.656),(27 14886.241),(28 14637.496),(29 14987.885),(30 12317.733),(31 15402.829),(32 15338.284),(33 15835.182),(34 14650.993),(35 16034.512),(36 14868.269),(37 16294.963),(38 15931.994),(39 16156.733),
(1 4269.3374),(2 5016.643),(3 6338.9443),(4 5717.0737),(5 7746.1226),(6 7090.7603),(7 9144.514),(8 9214.008),(9 9960.373),(10 7630.0615),(11 10810.58),(12 10816.929),(13 11535.568),(14 10413.323),(15 11924.263),(16 10834.311),(17 12443.945),(18 12099.584),(19 12440.294),(20 9811.388),(21 12987.039),(22 13054.758),(23 13810.263),(24 12724.462),(25 14234.333),(26 13216.256),(27 14844.834),(28 14565.436),(29 14942.338),(30 12347.928),(31 15353.9),(32 15280.109),(33 15858.381),(34 14621.8125),(35 15983.825),(36 14808.236),(37 16271.912),(38 15809.209),(39 16033.141),
(1 3982.8113),(2 4675.6104),(3 6000.7275),(4 5374.842),(5 7284.6934),(6 6667.1245),(7 8656.671),(8 8657.602),(9 9359.277),(10 7200.9434),(11 10197.369),(12 10250.844),(13 11030.609),(14 9963.319),(15 11430.97),(16 10452.655),(17 12048.085),(18 11675.111),(19 12034.595),(20 9630.861),(21 12637.221),(22 12731.14),(23 13520.631),(24 12482.619),(25 13898.131),(26 12925.131),(27 14499.053),(28 14168.842),(29 14533.527),(30 12170.989),(31 14975.748),(32 14918.103),(33 15574.333),(34 14406.295),(35 15691.621),(36 14601.412),(37 16010.22),(38 15500.772),(39 15727.452),
(1 3729.2473),(2 4433.8965),(3 5741.3857),(4 5137.468),(5 6905.0635),(6 6395.354),(7 8316.966),(8 8283.957),(9 8914.158),(10 6940.361),(11 9719.3955),(12 9815.808),(13 10573.681),(14 9548.182),(15 10873.413),(16 9976.833),(17 11494.811),(18 11084.524),(19 11380.276),(20 9137.249),(21 11914.916),(22 12019.963),(23 12818.464),(24 11824.723),(25 13147.252),(26 12306.83),(27 13831.368),(28 13485.965),(29 13787.596),(30 11614.685),(31 14196.182),(32 14145.5),(33 14788.787),(34 13671.666),(35 14811.358),(36 13815.652),(37 15153.053),(38 14628.62),(39 14785.675),
(1 3516.272),(2 4206.923),(3 5544.0815),(4 4970.051),(5 6642.6055),(6 6213.0933),(7 8091.944),(8 7996.553),(9 8624.79),(10 6815.105),(11 9475.309),(12 9611.467),(13 10443.343),(14 9470.511),(15 10737.725),(16 9979.758),(17 11508.967),(18 11100.081),(19 11416.942),(20 9360.461),(21 12008.15),(22 12170.136),(23 13056.025),(24 12136.153),(25 13417.656),(26 12714.281),(27 14242.158),(28 13885.027),(29 14205.664),(30 12221.811),(31 14635.4375),(32 14615.097),(33 15309.838),(34 14225.427),(35 15284.869),(36 14402.369),(37 15730.425),(38 15201.572),(39 15373.235),
(1 3335.639),(2 4048.6865),(3 5376.2397),(4 4802.6167),(5 6355.343),(6 6032.29),(7 7899.1685),(8 7790.104),(9 8389.308),(10 6724.4634),(11 9242.991),(12 9417.754),(13 10301.829),(14 9373.511),(15 10538.154),(16 9901.06),(17 11404.693),(18 10990.035),(19 11298.043),(20 9425.67),(21 11955.299),(22 12186.356),(23 13109.859),(24 12239.591),(25 13431.566),(26 12856.738),(27 14392),(28 14048.554),(29 14396.295),(30 12595.684),(31 14890.215),(32 14942.514),(33 15700.621),(34 14692.451),(35 15695.698),(36 14963.743),(37 16318.566),(38 15818.387),(39 16013.6455),
(1 3154.2659),(2 3847.8481),(3 5197.0195),(4 4695.0405),(5 6143.3345),(6 5909.306),(7 7706.974),(8 7573.79),(9 8181.419),(10 6680.668),(11 9071.626),(12 9282.3125),(13 10223.327),(14 9370.768),(15 10441.439),(16 9934.359),(17 11379.16),(18 10957.432),(19 11295.421),(20 9584.668),(21 11973.825),(22 12221.782),(23 13198.83),(24 12427.127),(25 13549.127),(26 13101.523),(27 14596.57),(28 14255.9795),(29 14646.857),(30 13042.735),(31 15191.26),(32 15251.326),(33 16044.147),(34 15100.148),(35 16008.792),(36 15424.64),(37 16738.354),(38 16216.952),(39 16430.041),
