1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 71594.78),(2 40934.355),(3 140994.7),(4 141372.56),(5 256068.42),(6 279510.63),(7 402792),(8 441328.9),(9 569454.56),(10 611762.94),(11 730566),(12 789171.44),(13 919992.25),(14 1007657.56),(15 1153830.4),(16 1242296.1),(17 1382829.9),(18 1501805.4),(19 1647988.6),(20 1780417.6),(21 1939015.4),(22 2084525.6),(23 2271491.8),(24 2462088),(25 2640706.8),(26 2823773),(27 3010556),(28 3191819),(29 3372359.8),(30 3559849.8),(31 3739355.8),(32 3917014),(33 4061020),(34 4219557.5),(35 4346692),(36 4477516),(37 4572984),(38 4707827.5),(39 4812760),(40 4927113.5),(41 5011307),(42 5117719.5),(43 5205448.5),(44 5311354.5),(45 5386933.5),(46 5482771.5),(47 5542512),(48 5633202),(49 5703438),(50 5806716.5),(51 5905575.5),(52 6024752),(53 6112028.5),(54 6248392.5),(55 6367188),(56 6516908.5),(57 6667272),(58 6840994),(59 6976473.5),(60 7144160),(61 7309197.5),(62 7511088),(63 7656377.5),(64 7837212.5),(65 7967093.5),(66 8136696.5),(67 8296175.5),(68 8527196),(69 8709227),(70 8910682),(71 9099831),(72 9333117),(73 9518133),(74 9745633),(75 9942991),(76 10187829),(77 10383409),(78 10628769),(79 10836895),
(1 51211.555),(2 34637.168),(3 118806),(4 128324.45),(5 239262),(6 267342.1),(7 401424.84),(8 445718.4),(9 594370.7),(10 641431.2),(11 795973.8),(12 866636.8),(13 1050011.6),(14 1141984.3),(15 1340796.5),(16 1432733.3),(17 1643451.9),(18 1749986.4),(19 1972542.4),(20 2083921),(21 2308008.5),(22 2416682.8),(23 2649186.3),(24 2777028.8),(25 3011285.5),(26 3120848),(27 3335787.3),(28 3422684.5),(29 3630532.8),(30 3722920),(31 3917416),(32 3992232.5),(33 4167700.8),(34 4207742.5),(35 4338457),(36 4358694),(37 4485027),(38 4505360.5),(39 4641737.5),(40 4649760),(41 4779291),(42 4790712),(43 4926919),(44 4951181),(45 5110428),(46 5137349.5),(47 5293883.5),(48 5336571.5),(49 5517111),(50 5591881),(51 5793729),(52 5905289),(53 6139674.5),(54 6281573.5),(55 6555009),(56 6737909),(57 7047546.5),(58 7259345),(59 7558277),(60 7757663),(61 8077907),(62 8294977.5),(63 8617966),(64 8845161),(65 9177256),(66 9425358),(67 9783939),(68 10084579),(69 10464700),(70 10760259),(71 11131766),(72 11444150),(73 11820000),(74 12115734),(75 12490714),(76 12803656),(77 13170883),(78 13452371),(79 13828691),
(1 45082.426),(2 45537.832),(3 129838.914),(4 167322.4),(5 283574.84),(6 347746.16),(7 489998),(8 576550.94),(9 737722.2),(10 844210.94),(11 1022217.06),(12 1159632.9),(13 1386923.1),(14 1595340),(15 1873619.1),(16 2113609.8),(17 2418774.3),(18 2690584.5),(19 3019240.3),(20 3305659),(21 3644510.8),(22 3907141.3),(23 4224158),(24 4484061.5),(25 4770484.5),(26 5001075),(27 5273358),(28 5475446),(29 5720082),(30 5899772),(31 6123676),(32 6284145.5),(33 6488775.5),(34 6622570.5),(35 6782350.5),(36 6871938),(37 6988957.5),(38 7046386.5),(39 7136598.5),(40 7181206.5),(41 7267586.5),(42 7310876),(43 7396405.5),(44 7426584.5),(45 7514104),(46 7554613.5),(47 7638858.5),(48 7681557.5),(49 7782373.5),(50 7848448),(51 7980894.5),(52 8076583.5),(53 8222626),(54 8357706.5),(55 8538541),(56 8675772),(57 8870281),(58 9038791),(59 9224016),(60 9379043),(61 9552022),(62 9706665),(63 9857580),(64 9985133),(65 10137039),(66 10258889),(67 10411477),(68 10546693),(69 10705938),(70 10854310),(71 10993804),(72 11130346),(73 11238355),(74 11335939),(75 11407037),(76 11469932),(77 11527181),(78 11594196),(79 11651893),
(1 41766.27),(2 68860.59),(3 171013.64),(4 251833.69),(5 403475.84),(6 525207.75),(7 712116.75),(8 866493.2),(9 1084298.6),(10 1256998.5),(11 1492345.3),(12 1694289.4),(13 1981477.4),(14 2240628),(15 2567215.3),(16 2850043),(17 3192291.5),(18 3487811.5),(19 3838596.5),(20 4135401.3),(21 4471471),(22 4731493.5),(23 5034353),(24 5266898),(25 5542405.5),(26 5747201.5),(27 5998425),(28 6177913),(29 6404635.5),(30 6554495.5),(31 6767338),(32 6914587),(33 7118122),(34 7242259.5),(35 7396693.5),(36 7460104),(37 7575038),(38 7615998),(39 7705835.5),(40 7725010),(41 7802390),(42 7813003.5),(43 7898117.5),(44 7931866),(45 8042735),(46 8087703),(47 8213436.5),(48 8281442),(49 8435493),(50 8529388),(51 8719236),(52 8863258),(53 9089198),(54 9287118),(55 9545690),(56 9763865),(57 10063036),(58 10311440),(59 10615579),(60 10876642),(61 11172052),(62 11427084),(63 11694265),(64 11909593),(65 12149484),(66 12337533),(67 12550816),(68 12708523),(69 12881692),(70 13013472),(71 13166562),(72 13276142),(73 13394222),(74 13471170),(75 13561445),(76 13618768),(77 13683221),(78 13724136),(79 13772383),
(1 44029),(2 91307.17),(3 219818.64),(4 347528.6),(5 553037.56),(6 744046.94),(7 1000678),(8 1242958.1),(9 1553277.3),(10 1827078.1),(11 2166207.8),(12 2467030),(13 2844690.8),(14 3182209),(15 3586100.3),(16 3932915.3),(17 4341309),(18 4680496),(19 5079641),(20 5410283),(21 5790841.5),(22 6084949),(23 6433665.5),(24 6687719.5),(25 6992275),(26 7195514),(27 7452157),(28 7631114),(29 7858849.5),(30 8005944),(31 8218552.5),(32 8359962),(33 8571549),(34 8703768),(35 8885231),(36 8981911),(37 9139882),(38 9233460),(39 9395871),(40 9485142),(41 9661471),(42 9768153),(43 9966345),(44 10111510),(45 10356435),(46 10537140),(47 10820208),(48 11042514),(49 11365105),(50 11608604),(51 11961344),(52 12264422),(53 12641587),(54 12963271),(55 13354394),(56 13688871),(57 14101363),(58 14441475),(59 14818025),(60 15113421),(61 15460483),(62 15724500),(63 16012372),(64 16197693),(65 16422362),(66 16539223),(67 16667142),(68 16700111),(69 16747939),(70 16711335),(71 16716521),(72 16641649),(73 16601657),(74 16484833),(75 16413987),(76 16271926),(77 16165725),(78 15975948),(79 15839572),
(1 47480.76),(2 103786.39),(3 243578.6),(4 383872.16),(5 599413.1),(6 802877.7),(7 1068379.1),(8 1322492.8),(9 1625852.8),(10 1893054.4),(11 2189921.8),(12 2450106.8),(13 2748394.5),(14 3003311.8),(15 3277584.5),(16 3508717.5),(17 3760328),(18 3957672),(19 4170232.5),(20 4347640),(21 4559508),(22 4719508.5),(23 4908850.5),(24 5058081),(25 5227528),(26 5367697),(27 5530491),(28 5678519.5),(29 5848910),(30 5991574.5),(31 6166970.5),(32 6312789.5),(33 6496727),(34 6631093),(35 6790306.5),(36 6918371),(37 7082177.5),(38 7212998.5),(39 7387376),(40 7536551),(41 7745744),(42 7937029.5),(43 8190589),(44 8411390),(45 8706978),(46 8968554),(47 9281321),(48 9559946),(49 9866854),(50 10117586),(51 10428069),(52 10702942),(53 11006119),(54 11245950),(55 11500448),(56 11713925),(57 11933547),(58 12093588),(59 12242421),(60 12344365),(61 12461603),(62 12506861),(63 12562869),(64 12557016),(65 12577750),(66 12516825),(67 12467550),(68 12349306),(69 12251770),(70 12096026),(71 11982560),(72 11809795),(73 11673483),(74 11488307),(75 11357748),(76 11190378),(77 11078130),(78 10934022),(79 10850317),
(1 48307.582),(2 122225.42),(3 280994.7),(4 455607.66),(5 710114.6),(6 968657.94),(7 1293612.3),(8 1618388.8),(9 1997654.1),(10 2355985.8),(11 2744694.3),(12 3090649.5),(13 3479375.5),(14 3835865),(15 4210047.5),(16 4540264.5),(17 4883369.5),(18 5174691),(19 5472178),(20 5728312.5),(21 6009605),(22 6239968),(23 6481740.5),(24 6685950),(25 6902964.5),(26 7068944.5),(27 7250597.5),(28 7398461.5),(29 7565235),(30 7689126),(31 7844721),(32 7962813),(33 8122679),(34 8248629),(35 8407132),(36 8538391),(37 8709510),(38 8848586),(39 9038655),(40 9198444),(41 9400664),(42 9587740),(43 9830696),(44 10045817),(45 10321487),(46 10560666),(47 10855471),(48 11124197),(49 11437342),(50 11710572),(51 12039588),(52 12348761),(53 12701385),(54 12996406),(55 13318203),(56 13581200),(57 13859964),(58 14080426),(59 14288746),(60 14428129),(61 14569589),(62 14645055),(63 14726294),(64 14755408),(65 14818889),(66 14811794),(67 14825488),(68 14774956),(69 14760075),(70 14679662),(71 14638981),(72 14549287),(73 14492647),(74 14378898),(75 14313657),(76 14205542),(77 14164030),(78 14089872),(79 14056597),
(1 42572.117),(2 111674.88),(3 258815.7),(4 428583.56),(5 669688.56),(6 927040.06),(7 1244773.1),(8 1577544),(9 1967125.8),(10 2349931.3),(11 2770341.3),(12 3174965.8),(13 3627482.5),(14 4072480),(15 4542679),(16 4975387.5),(17 5412599),(18 5792348.5),(19 6173439),(20 6516708.5),(21 6877513),(22 7183387.5),(23 7481106),(24 7744621.5),(25 7997883),(26 8221229),(27 8448763),(28 8631827),(29 8817209),(30 8968606),(31 9127117),(32 9261650),(33 9403506),(34 9515756),(35 9627908),(36 9713567),(37 9802240),(38 9868866),(39 9954561),(40 10028465),(41 10124451),(42 10208365),(43 10312672),(44 10391866),(45 10489813),(46 10587188),(47 10709210),(48 10825916),(49 10965163),(50 11099799),(51 11262547),(52 11418667),(53 11591561),(54 11745186),(55 11898347),(56 12028673),(57 12168228),(58 12263029),(59 12344233),(60 12388251),(61 12420036),(62 12409360),(63 12382873),(64 12324307),(65 12286276),(66 12215044),(67 12168508),(68 12095953),(69 12051121),(70 11986498),(71 11960887),(72 11918511),(73 11907004),(74 11863331),(75 11858319),(76 11835931),(77 11832988),(78 11807065),(79 11792205),
(1 45287.926),(2 127601.18),(3 290382.34),(4 486211.6),(5 754382.4),(6 1047590.25),(7 1408257.8),(8 1783905.6),(9 2209397.5),(10 2632587.3),(11 3094064.3),(12 3544751.8),(13 4050245.8),(14 4531215),(15 5011657),(16 5437379),(17 5858236),(18 6217120),(19 6561152),(20 6852997.5),(21 7139204.5),(22 7365692),(23 7580342.5),(24 7746954.5),(25 7905331),(26 8034833),(27 8163364),(28 8249409),(29 8337123),(30 8388395.5),(31 8449000),(32 8470316),(33 8491551),(34 8453350),(35 8389580),(36 8297067.5),(37 8217312),(38 8118759.5),(39 8057474),(40 7972935.5),(41 7920124),(42 7854965.5),(43 7825185),(44 7797470),(45 7803151),(46 7813823),(47 7862093.5),(48 7902587.5),(49 7986196.5),(50 8060669),(51 8175153),(52 8292072.5),(53 8435920),(54 8574799),(55 8735512),(56 8878680),(57 9036467),(58 9145607),(59 9251344),(60 9316572),(61 9386383),(62 9405320),(63 9423121),(64 9422056),(65 9430776),(66 9416333),(67 9420696),(68 9408667),(69 9405041),(70 9388900),(71 9398125),(72 9384741),(73 9389248),(74 9366284),(75 9367437),(76 9337191),(77 9325497),(78 9287997),(79 9270827),
(1 44457.984),(2 123846.71),(3 281876.78),(4 461149.78),(5 705006.1),(6 951968.1),(7 1250376.9),(8 1535838.5),(9 1858758.5),(10 2152749),(11 2471130.8),(12 2746923.5),(13 3065697.3),(14 3338232.8),(15 3621496.8),(16 3837270.8),(17 4058231.5),(18 4214349),(19 4366567),(20 4481254.5),(21 4623869.5),(22 4728425.5),(23 4858778),(24 4964573.5),(25 5103826.5),(26 5232903),(27 5391930.5),(28 5530472.5),(29 5708787.5),(30 5867178),(31 6061488),(32 6236364),(33 6439578.5),(34 6585796.5),(35 6735348),(36 6838122.5),(37 6965928),(38 7050836.5),(39 7172081),(40 7259685),(41 7383863.5),(42 7468690),(43 7581314),(44 7655006),(45 7752895),(46 7827410),(47 7932768),(48 8013280),(49 8128746.5),(50 8218536),(51 8319983),(52 8395751),(53 8483643),(54 8533831),(55 8594412),(56 8602101),(57 8620575),(58 8566746),(59 8503152),(60 8383279),(61 8279330),(62 8132144),(63 8014457),(64 7877590),(65 7785602),(66 7681183),(67 7622574),(68 7559844.5),(69 7540225),(70 7516420.5),(71 7544357.5),(72 7553077.5),(73 7609021.5),(74 7631735),(75 7688874.5),(76 7730527),(77 7793216),(78 7833292.5),(79 7901522),
(1 53231.3),(2 156033.1),(3 350100.22),(4 578611),(5 875156.7),(6 1182868.6),(7 1541501.8),(8 1888558.3),(9 2259313.3),(10 2601190),(11 2935560.3),(12 3217873.8),(13 3489376),(14 3704415.8),(15 3907587.3),(16 4041389.3),(17 4170432.5),(18 4241497.5),(19 4308648.5),(20 4345961.5),(21 4404707),(22 4433298),(23 4489555),(24 4526455.5),(25 4599750.5),(26 4666339),(27 4756408.5),(28 4847786.5),(29 4973894.5),(30 5089016.5),(31 5236451),(32 5363686.5),(33 5518539.5),(34 5626892),(35 5741977.5),(36 5818358.5),(37 5913594.5),(38 5978852),(39 6068659),(40 6129403.5),(41 6214149.5),(42 6263912.5),(43 6334225),(44 6369931.5),(45 6439001.5),(46 6488450),(47 6576494),(48 6649025),(49 6769685.5),(50 6868663.5),(51 7001031.5),(52 7089219.5),(53 7195069),(54 7261520),(55 7335280.5),(56 7362684.5),(57 7397048),(58 7377836),(59 7350197.5),(60 7282778.5),(61 7228581),(62 7144647.5),(63 7071954),(64 6987553),(65 6958968),(66 6918607),(67 6924532),(68 6913839.5),(69 6943357),(70 6966859),(71 7029308.5),(72 7067381.5),(73 7151181.5),(74 7215867.5),(75 7314860),(76 7394021),(77 7483814.5),(78 7538763.5),(79 7620469.5),
