1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 4335.613),(2 10634.997),(3 14353.552),(4 16018.786),(5 16516.865),(6 16805.854),(7 17110.813),(8 17382.447),(9 17681.354),(10 17987.44),(11 18448.473),(12 18273.209),(13 18099.393),(14 17887.24),(15 17794.36),(16 17978.695),(17 18441.734),(18 19340.508),(19 19650.629),(20 19585.42),(21 18966.14),(22 18297.992),(23 18225.844),(24 18614.988),(25 18937.004),(26 18872.863),(27 19151.56),(28 19275.277),(29 19142.385),(30 19216.664),(31 19289.066),(32 19486.39),(33 19678.633),(34 19456.229),(35 19036.684),(36 19142.785),(37 19555.447),(38 19717.803),(39 19831.871),(40 19860.197),(41 20172.572),(42 20255.838),(43 19864.252),(44 19473.61),(45 19167.875),(46 19144.46),(47 19299.643),(48 19475.326),(49 19862.83),(50 19734.805),(51 19700.9),(52 19872.438),(53 20339.426),(54 20701.502),(55 20662.623),(56 20642.107),(57 20815.295),(58 20764.271),(59 20640.979),(60 20452.357),(61 20429.096),(62 20616.766),(63 20659.361),(64 20756.441),(65 20712.576),(66 20729.75),(67 20868.938),(68 21069.951),(69 21165.287),(70 21032.629),(71 20502.549),(72 20057.016),(73 19888.295),(74 19919.383),(75 20162.139),(76 20314.238),(77 20389.182),(78 20688.342),(79 20863.988),
(1 4259.188),(2 10263.771),(3 13675.503),(4 15095.413),(5 15744.835),(6 16266.742),(7 16725.209),(8 17178.473),(9 17407.822),(10 17515.904),(11 17792.713),(12 18026.701),(13 17920.557),(14 17890.691),(15 18254.586),(16 18279.744),(17 18593.781),(18 19473.23),(19 19884.174),(20 19971.357),(21 19592.225),(22 19117.357),(23 18929.916),(24 18723.19),(25 18920.826),(26 19045.533),(27 19352.629),(28 19229.48),(29 19097.064),(30 19370.178),(31 19412.336),(32 19386.717),(33 19234.586),(34 18892.822),(35 18473.39),(36 18638.908),(37 18659.396),(38 18741.209),(39 18784.27),(40 18945.809),(41 19294),(42 19355.352),(43 18877.14),(44 18604.965),(45 18238.611),(46 18131.375),(47 18423.023),(48 18795.23),(49 18930.287),(50 18864.303),(51 19110.654),(52 18967.783),(53 18876.865),(54 18788.611),(55 18647.611),(56 18541.697),(57 18558.639),(58 18665.66),(59 18898.5),(60 18923.486),(61 18864.795),(62 18798.463),(63 18384.75),(64 18207.338),(65 18054.414),(66 18339.447),(67 18738.906),(68 18986.22),(69 19368.41),(70 19557.441),(71 19443.924),(72 19143.055),(73 18824.305),(74 18619.082),(75 18793.736),(76 19038.41),(77 18840.174),(78 18660.14),(79 18669.1),
(1 4117.117),(2 9932.827),(3 13089.388),(4 14230.259),(5 14705.489),(6 15120.888),(7 15337.364),(8 15339.606),(9 15537.715),(10 15473.568),(11 15755.922),(12 15863.77),(13 15885.501),(14 16310.223),(15 16556.697),(16 16431.025),(17 16470.094),(18 16769.582),(19 17037.537),(20 17162.383),(21 16779.541),(22 16384.4),(23 16332.157),(24 16386.26),(25 16623.275),(26 16801.617),(27 17056.514),(28 16836.777),(29 16742.96),(30 16992.715),(31 17391.498),(32 17750.19),(33 17587.479),(34 17262.459),(35 17010.686),(36 16897.69),(37 16763.158),(38 16558.598),(39 16440.807),(40 16803.867),(41 17243.81),(42 17280.76),(43 17073.203),(44 17166.117),(45 17320.197),(46 17583.06),(47 17733.56),(48 17732.053),(49 17395.592),(50 17501.027),(51 17695.463),(52 17814.475),(53 18158.094),(54 18507.318),(55 18661.943),(56 18423.26),(57 18371.383),(58 18463.871),(59 18751.281),(60 18883.137),(61 19074.912),(62 18934.328),(63 18550.822),(64 18261.998),(65 18107.943),(66 18121.613),(67 18239.43),(68 18498.346),(69 18790.738),(70 18526.14),(71 18222.188),(72 18165.947),(73 18218.545),(74 18241.258),(75 18471.219),(76 18494.549),(77 18236.121),(78 17973.125),(79 18074.377),
(1 3921.9055),(2 9330.495),(3 12049.555),(4 12817.351),(5 13376.284),(6 14016.263),(7 14286.419),(8 14142.66),(9 14306.464),(10 14746.446),(11 15144.745),(12 15325.31),(13 15539.863),(14 16157.651),(15 16509.47),(16 16180.175),(17 15788.612),(18 15746.144),(19 15990.206),(20 16283.489),(21 15995.442),(22 15689.464),(23 15821.375),(24 16057.949),(25 16276.581),(26 16163.222),(27 15772.22),(28 15710.552),(29 15841.387),(30 16203.82),(31 16424.928),(32 16487.662),(33 16289.659),(34 16275.796),(35 16509.852),(36 16578.83),(37 16536.588),(38 16655.213),(39 16995.604),(40 17169.234),(41 17128.146),(42 17013.799),(43 17061.313),(44 17243.883),(45 17228.627),(46 17283.713),(47 17453.484),(48 17472.912),(49 17329.398),(50 17446.258),(51 17488.193),(52 17149.787),(53 17001.988),(54 17034.63),(55 17124.834),(56 17085.44),(57 17164.018),(58 17632.81),(59 17716.875),(60 17545),(61 17729.229),(62 17678.598),(63 17369.781),(64 17481.486),(65 17732.063),(66 17611.232),(67 17236.025),(68 17098.85),(69 17136.463),(70 16960.547),(71 16715.814),(72 16812.492),(73 16922.006),(74 16659.877),(75 16264.864),(76 16219.825),(77 16336.081),(78 16671.693),(79 16959.334),
(1 3894.8108),(2 9232.671),(3 11926.963),(4 12431.221),(5 12783.904),(6 13162.223),(7 13482.784),(8 13745.749),(9 14150.746),(10 14567.127),(11 14910.596),(12 15003.754),(13 15006.249),(14 15180.695),(15 15367.759),(16 15444.411),(17 15411.41),(18 15376.866),(19 15361.959),(20 15480.179),(21 15558.751),(22 15497.601),(23 15707.44),(24 15962.555),(25 15916.768),(26 15821.365),(27 15781.098),(28 16045.941),(29 16302.153),(30 16517.674),(31 16665.24),(32 16814.506),(33 16515.97),(34 16456.54),(35 16780.273),(36 16848.564),(37 16536.98),(38 16513.305),(39 16879.092),(40 17292.436),(41 17384.914),(42 17153.291),(43 16832.709),(44 16777.963),(45 16789.543),(46 17081.695),(47 17477.006),(48 17623.291),(49 17350.865),(50 17138.297),(51 17071.934),(52 16882.982),(53 16935.287),(54 17185.756),(55 17338.5),(56 17396.727),(57 17462.174),(58 17713.922),(59 17708.123),(60 17486.64),(61 17393.99),(62 17266.678),(63 17151.457),(64 17163.66),(65 16865.645),(66 16499.254),(67 16248.572),(68 16364.631),(69 16596.371),(70 16632.51),(71 16643.945),(72 16911.338),(73 17050.121),(74 16745.17),(75 16475.277),(76 16525.738),(77 16633.104),(78 16678.154),(79 16698.451),
(1 3786.8372),(2 9000.321),(3 11753.745),(4 12279.775),(5 12411.101),(6 12931.04),(7 13584.521),(8 13923.234),(9 13952.678),(10 14165.769),(11 14334.22),(12 14261.909),(13 14405.703),(14 14950.448),(15 15297.064),(16 15187.658),(17 15024.881),(18 15246.441),(19 15542.961),(20 15531.126),(21 15054.279),(22 15001.912),(23 15388.406),(24 15936.743),(25 16207.709),(26 16205.024),(27 15842.546),(28 15780.979),(29 16016.546),(30 16250.019),(31 16274.254),(32 16196.794),(33 15993.675),(34 16028.984),(35 15988.847),(36 15641.358),(37 15285.711),(38 15108.9375),(39 15192.291),(40 15382.1045),(41 15652.189),(42 15806.88),(43 15803.276),(44 16035.885),(45 15957.872),(46 15640.637),(47 15541.757),(48 15593.452),(49 15586.234),(50 15715.935),(51 15921.842),(52 15794.468),(53 15938.526),(54 16064.647),(55 16132.431),(56 16289.1045),(57 16308.076),(58 16332.936),(59 16290.115),(60 16142.231),(61 15842.373),(62 15794.709),(63 15924.209),(64 16064.123),(65 15893.493),(66 15833.582),(67 16076.5625),(68 16104.306),(69 15943.521),(70 15847.388),(71 16010.145),(72 16296.655),(73 16663.906),(74 16471.227),(75 16431.422),(76 16783.494),(77 16713.828),(78 16486.621),(79 16245.076),
(1 3738.7676),(2 8880.693),(3 11786.895),(4 12760.792),(5 13226.532),(6 13535.949),(7 13828.528),(8 13879.159),(9 14115.416),(10 14680.642),(11 15059.004),(12 15466.158),(13 15730.518),(14 16416.428),(15 16586.857),(16 16346.117),(17 16469.668),(18 17049.977),(19 17246.266),(20 17056.22),(21 16464.459),(22 16206.806),(23 16288.184),(24 16572.75),(25 16925.777),(26 17139.445),(27 16851.744),(28 16860.945),(29 17075.648),(30 17435.96),(31 17672.582),(32 17747.83),(33 17562.709),(34 17282.59),(35 17070.354),(36 16766.576),(37 16338.096),(38 16113.99),(39 16211.843),(40 16337.635),(41 16506.346),(42 16570.885),(43 16599.318),(44 16779.38),(45 16809.31),(46 16764.69),(47 16910.38),(48 16976.145),(49 16983.422),(50 17098.406),(51 17020.715),(52 16707.67),(53 16805.805),(54 16866.428),(55 16838.686),(56 16797.158),(57 16792.736),(58 16724.072),(59 16778.148),(60 16473.01),(61 16130.196),(62 16254.6455),(63 16437.127),(64 16378.596),(65 16080.459),(66 16121.398),(67 16361.839),(68 16371.342),(69 16256.18),(70 16391.287),(71 16544.03),(72 16547.795),(73 16784.406),(74 16759.873),(75 16729.469),(76 17147.922),(77 17265.174),(78 17056.39),(79 16536.953),
(1 3630.9001),(2 8609.269),(3 11464.427),(4 12411.36),(5 12691.642),(6 12758.874),(7 12873.5625),(8 13048.316),(9 13198.867),(10 13263.153),(11 13190.067),(12 13354.734),(13 13522.136),(14 14012.97),(15 13984.021),(16 14040.255),(17 14243.429),(18 14763.318),(19 14948.867),(20 14511.923),(21 13975.985),(22 13922.78),(23 14199.684),(24 14395.54),(25 14583.572),(26 14806.382),(27 15034.152),(28 15356.555),(29 15612.731),(30 15687.964),(31 15538.942),(32 15392.785),(33 15351.264),(34 15412.974),(35 15326.59),(36 15190.203),(37 14806.498),(38 14786.995),(39 14869.388),(40 15089.471),(41 15505.316),(42 15769.358),(43 15958.343),(44 16122.901),(45 16146.949),(46 16041.272),(47 16149.536),(48 16325.791),(49 16344.236),(50 15983.153),(51 15881.81),(52 16086.715),(53 16275.881),(54 16437.633),(55 16550.926),(56 16660.488),(57 16686.576),(58 16640.607),(59 16693.99),(60 16602.645),(61 16564.635),(62 16428.375),(63 16305.214),(64 16041.653),(65 15798.035),(66 16011.407),(67 16056.465),(68 15955.686),(69 15725.23),(70 15625.016),(71 15535.749),(72 15409.162),(73 15533.738),(74 15526.653),(75 15318),(76 15189.369),(77 15082.988),(78 14913.854),(79 14733.582),
(1 3584.465),(2 8629.988),(3 11520.523),(4 12401.77),(5 12680.966),(6 12782.336),(7 12698.464),(8 12626.63),(9 12543.672),(10 12641.559),(11 12680.714),(12 12844.746),(13 13024.414),(14 13459.32),(15 13429.988),(16 13414.527),(17 13411.354),(18 13706.523),(19 13884.463),(20 13650.053),(21 13366.202),(22 13443.656),(23 13726.004),(24 13704.555),(25 13755.415),(26 13877.538),(27 14055.562),(28 14219.716),(29 14521.664),(30 14530.777),(31 14255.4),(32 14049.214),(33 13973.499),(34 13872.45),(35 13887.324),(36 14011.87),(37 14115.093),(38 14226.659),(39 14331.54),(40 14342.587),(41 14389.782),(42 14349.046),(43 14357.105),(44 14477.877),(45 14569.887),(46 14510.968),(47 14493.95),(48 14787.197),(49 14751.582),(50 14413.378),(51 14349.9795),(52 14403.898),(53 14408.532),(54 14245.96),(55 14332.803),(56 14735.072),(57 15184.365),(58 15340.085),(59 15256.723),(60 15049.181),(61 14994.034),(62 14935.774),(63 14903.065),(64 14814.264),(65 14792.93),(66 14778.246),(67 14791.415),(68 14971.709),(69 15200.292),(70 15276.839),(71 15151.492),(72 14930.839),(73 15026.583),(74 15018.331),(75 14884.493),(76 14834.212),(77 14971.646),(78 15083.93),(79 14786.083),
(1 3538.1384),(2 8390.589),(3 11025.773),(4 11600.929),(5 11499.66),(6 11495.879),(7 11679.82),(8 11897.244),(9 12024.546),(10 12237.183),(11 12409.363),(12 12545.783),(13 12608.018),(14 12522.8125),(15 12529.034),(16 12682.101),(17 12957.024),(18 13299.372),(19 13598.152),(20 13727.082),(21 13694.395),(22 13770.159),(23 13648.654),(24 13513.374),(25 13701.899),(26 13782.104),(27 13880.623),(28 14196.075),(29 14426.067),(30 14250.605),(31 13913.181),(32 13750.219),(33 13742.808),(34 13773.594),(35 13874.2295),(36 14021.246),(37 14254.5205),(38 14722.547),(39 14751.079),(40 14752.32),(41 14694.48),(42 14552.734),(43 14421.269),(44 14414.765),(45 14454.581),(46 14434.429),(47 14370.814),(48 14351.524),(49 14406.804),(50 14432.772),(51 14464.147),(52 14517.104),(53 14529.689),(54 14554.288),(55 14678.27),(56 15182.921),(57 15565.775),(58 15661.173),(59 15246.899),(60 14836.227),(61 14909.807),(62 15064.287),(63 15348.464),(64 15571.933),(65 15589.104),(66 15528.899),(67 15569.482),(68 15732.879),(69 15750.212),(70 15620.099),(71 15292.464),(72 14939.621),(73 14893.704),(74 14779.069),(75 14672.484),(76 14774.425),(77 14845.919),(78 14758.784),(79 14651.857),
(1 3465.0396),(2 8158.5894),(3 10784.417),(4 11332.62),(5 11208.886),(6 11383.587),(7 11833.067),(8 12133.022),(9 12016.529),(10 12051.114),(11 12272.158),(12 12522.341),(13 12565.037),(14 12740.966),(15 12787.992),(16 12978.923),(17 13080.043),(18 13087.765),(19 13125.1),(20 13240.702),(21 13267.16),(22 13339.896),(23 13327.147),(24 13564.06),(25 13770.647),(26 13790.439),(27 14043.875),(28 14285.341),(29 14276.621),(30 14054.205),(31 13694.245),(32 13604.401),(33 13716.971),(34 13936.598),(35 14060.512),(36 14042.105),(37 13932.599),(38 14123.216),(39 14176.185),(40 14229.939),(41 14211.431),(42 14109.263),(43 14102.44),(44 14139.287),(45 14003.692),(46 13764.942),(47 13823.643),(48 14065.94),(49 14111.743),(50 14209.645),(51 14141.469),(52 14083.808),(53 13871.707),(54 14169.747),(55 14432.379),(56 14605.694),(57 14779.618),(58 14835.284),(59 14745.144),(60 14686.134),(61 14787.821),(62 14801.164),(63 14770.073),(64 14659.905),(65 14558.85),(66 14360.789),(67 14433.261),(68 14626.508),(69 14773.166),(70 14799.481),(71 14719.724),(72 14850.81),(73 15244.431),(74 15369.526),(75 15207.673),(76 14921.023),(77 14645.958),(78 14673.542),(79 14566.442),
(1 3369.4006),(2 7796.7036),(3 10334.422),(4 11120.793),(5 11151.505),(6 11203.632),(7 11668.457),(8 12067.8955),(9 12245.889),(10 12205.394),(11 12124.488),(12 12131.894),(13 12241.051),(14 12413.549),(15 12585.269),(16 13088.041),(17 13289.734),(18 13183.761),(19 12988.607),(20 12676.4375),(21 12541.225),(22 12665.622),(23 12821.338),(24 12977.4375),(25 13063.017),(26 12831.712),(27 12707.344),(28 12799.829),(29 12871.995),(30 12989.28),(31 12931.088),(32 12989.609),(33 13182.46),(34 13451.724),(35 13626.942),(36 13697.461),(37 13285.815),(38 13060.038),(39 13010.083),(40 13183.015),(41 13322.239),(42 13455.561),(43 13615.912),(44 13680.977),(45 13630.811),(46 13456.8125),(47 13356.121),(48 13386.995),(49 13670.462),(50 13929.056),(51 14002.673),(52 13970.449),(53 14076.722),(54 14315.285),(55 14517.444),(56 14749.15),(57 14793.366),(58 14812.215),(59 14733.333),(60 14620.425),(61 14380.046),(62 14211.617),(63 14304.588),(64 14465.09),(65 14690.313),(66 14795.06),(67 14789.516),(68 14937.636),(69 14856.234),(70 14712.629),(71 14736.471),(72 14708.061),(73 14663.421),(74 14618.063),(75 14563.4375),(76 14526.055),(77 14464.618),(78 14630.717),(79 14710.769),
(1 3298.869),(2 7533.3057),(3 9800.189),(4 10298.739),(5 10314.827),(6 10332.616),(7 10708.746),(8 11043.807),(9 11178.633),(10 11359.261),(11 11266.468),(12 11124.806),(13 11112.262),(14 11373.842),(15 11546.862),(16 11820.14),(17 11934.159),(18 12079.07),(19 11989.328),(20 11772.397),(21 11803.782),(22 11979.002),(23 12122.526),(24 12393.321),(25 12546.066),(26 12193.733),(27 12087.867),(28 11958.979),(29 11872.638),(30 11688.225),(31 11517.208),(32 11693.052),(33 11975.387),(34 12283.123),(35 12456.505),(36 12619.648),(37 12496.051),(38 12530.301),(39 12618.143),(40 12676.32),(41 12711.812),(42 12583.858),(43 12438.831),(44 12568.17),(45 12704.713),(46 12662.471),(47 12422.95),(48 12223.846),(49 12151.965),(50 12303.816),(51 12315.328),(52 12392.774),(53 12386.908),(54 12444.759),(55 12434.94),(56 12343.269),(57 12507.929),(58 12771.611),(59 12768.43),(60 12692.167),(61 12657.351),(62 12728.251),(63 12854.305),(64 13026.823),(65 13013.354),(66 12936.647),(67 12980.5625),(68 13147.085),(69 13349.594),(70 13395.645),(71 13313.789),(72 13216.953),(73 13193.378),(74 13264.649),(75 13223.498),(76 13022.194),(77 13005.5625),(78 13101.872),(79 13132.677),
(1 3192.2117),(2 7302.942),(3 9455.153),(4 10012.789),(5 9998.288),(6 9917.429),(7 10064.373),(8 10497.731),(9 11011.085),(10 11303.932),(11 11169.105),(12 10945.726),(13 11049.24),(14 11137.292),(15 11333.401),(16 11598.007),(17 11781.284),(18 11986.761),(19 11870.945),(20 11655.799),(21 11774.23),(22 12077.944),(23 12331.49),(24 12298.196),(25 12143.307),(26 11794.49),(27 11840.199),(28 12036.959),(29 11946.76),(30 11836.816),(31 11770.461),(32 11829.516),(33 12063.63),(34 12075.663),(35 12034.456),(36 11910.319),(37 11938.536),(38 12137.701),(39 12122.958),(40 12197.542),(41 12340.59),(42 12496.114),(43 12481.941),(44 12672.941),(45 12785.296),(46 12882.389),(47 12961.765),(48 12724.528),(49 12574.002),(50 12541.6045),(51 12518.159),(52 12574.11),(53 12666.279),(54 12864.28),(55 12897.799),(56 12925.849),(57 12768.454),(58 12781.951),(59 12821.551),(60 12850.908),(61 12879.33),(62 12716.155),(63 12828.313),(64 13141.4795),(65 13313.91),(66 13095.835),(67 12871.281),(68 12780.501),(69 12921.544),(70 13161.269),(71 13327.32),(72 13170.171),(73 13063.682),(74 13019.745),(75 12992.445),(76 13067.642),(77 12990.356),(78 13283.191),(79 13229.858),
(1 3262.5),(2 7395.231),(3 9564.565),(4 10033.912),(5 9783.067),(6 9469.172),(7 9620.774),(8 10115.481),(9 10587.754),(10 10950.6045),(11 10842.43),(12 10688.058),(13 10724.41),(14 10800.4375),(15 10888.729),(16 11079.066),(17 11112.083),(18 11262.331),(19 11341.668),(20 11315.849),(21 11343.068),(22 11425.54),(23 11492.828),(24 11686.001),(25 11795.311),(26 11718.15),(27 11883.829),(28 12113.029),(29 12079.407),(30 11875.738),(31 11924.5),(32 12100.324),(33 12188.565),(34 12166.344),(35 12177.56),(36 12190.61),(37 12275.668),(38 12297.8125),(39 12122.867),(40 11943.389),(41 12119.534),(42 12223.751),(43 12215.801),(44 12412.969),(45 12618.548),(46 12765.835),(47 13027.532),(48 12970.918),(49 12881.783),(50 12984.531),(51 13001.345),(52 12818.095),(53 12867.971),(54 12779.546),(55 12639.32),(56 12619.86),(57 12585.405),(58 12700.678),(59 13021.466),(60 13039.223),(61 12924.985),(62 12971.331),(63 13362.377),(64 13668.123),(65 13697.306),(66 13473.494),(67 13373.698),(68 13482.754),(69 13469.031),(70 13316.69),(71 13285.933),(72 13297.823),(73 13284.676),(74 13214.277),(75 13186.856),(76 13313.832),(77 13248.522),(78 13412.82),(79 13213.019),
(1 3144.9336),(2 7116.912),(3 9213.762),(4 9784.269),(5 9856.787),(6 9917.366),(7 10054.591),(8 10161.4375),(9 10382.216),(10 10578.018),(11 10622.629),(12 10770.915),(13 11053.989),(14 11249.968),(15 11389.378),(16 11427.649),(17 11593.054),(18 11567.405),(19 11604.444),(20 11723.867),(21 11735.772),(22 11687.671),(23 11890.137),(24 12182.001),(25 12202.369),(26 11985.459),(27 11915.011),(28 12187.074),(29 12226.634),(30 12027.751),(31 12008.043),(32 12068.239),(33 12112.765),(34 12138.161),(35 12125.933),(36 12248.887),(37 12201.881),(38 12104.101),(39 12017.938),(40 11987.688),(41 11889.296),(42 11986.384),(43 11836.508),(44 11828.961),(45 11982.194),(46 12212.86),(47 12392.69),(48 12263.924),(49 12468.209),(50 12579.727),(51 12510.666),(52 12469.164),(53 12466.542),(54 12601.825),(55 12654.044),(56 12576.122),(57 12450.779),(58 12586.787),(59 12861.294),(60 12885.314),(61 12735.528),(62 12608.8545),(63 12780.015),(64 12867.947),(65 12836.013),(66 12964.75),(67 12949.709),(68 13103.316),(69 13215.037),(70 13124.905),(71 12959.949),(72 12838.242),(73 12891.155),(74 12920.185),(75 12833.968),(76 12852.151),(77 12740.037),(78 12834.646),(79 12670.89),
(1 3100.8303),(2 6889.7603),(3 8736.085),(4 9166.699),(5 9051.1455),(6 9014.839),(7 9176.427),(8 9498.999),(9 9834.687),(10 9912.982),(11 9934.429),(12 9990.869),(13 10107.314),(14 10168.251),(15 10309.762),(16 10397.137),(17 10553.009),(18 10409.829),(19 10347.044),(20 10491.006),(21 10489.431),(22 10630.378),(23 10919.074),(24 11080.723),(25 11040.706),(26 10994.161),(27 11013.141),(28 11079.444),(29 11223.93),(30 11318.057),(31 11301.398),(32 11148.259),(33 11172.114),(34 11163.426),(35 11094.615),(36 11128.011),(37 11185.16),(38 11096.27),(39 11099.071),(40 11159.188),(41 11162.409),(42 11319.932),(43 11451.639),(44 11553.251),(45 11454.207),(46 11198.049),(47 11048.219),(48 11124.861),(49 11459.031),(50 11645.386),(51 11652.675),(52 11669.348),(53 11605.54),(54 11606.7705),(55 11779.142),(56 11982.37),(57 11948.066),(58 11927.379),(59 11950.505),(60 11783.468),(61 11737.514),(62 11939.131),(63 12262.102),(64 12471.507),(65 12407.93),(66 12391.371),(67 12411.175),(68 12688.877),(69 12851.545),(70 12552.608),(71 12235.338),(72 12124.554),(73 12314.134),(74 12260.944),(75 12195.585),(76 12347.789),(77 12403.463),(78 12504.928),(79 12359.135),
(1 2985.2627),(2 6691.4316),(3 8385.759),(4 8772.319),(5 8711.797),(6 8794.771),(7 9011.593),(8 9307.58),(9 9499.742),(10 9612.173),(11 9680.396),(12 9763.207),(13 9971.385),(14 10095.027),(15 10161.799),(16 10142.74),(17 10315.061),(18 10341.364),(19 10396.922),(20 10483.252),(21 10653.135),(22 11060.226),(23 11155.149),(24 11060.272),(25 10918.163),(26 10864.124),(27 10841.796),(28 10971.999),(29 10985.669),(30 11001.072),(31 10799.71),(32 10920.706),(33 11020.611),(34 11094.358),(35 11067.027),(36 11053.84),(37 10987.995),(38 10939.9795),(39 11026.825),(40 11234.047),(41 11081.944),(42 11044.801),(43 11185.433),(44 11288.911),(45 11245.868),(46 11113.812),(47 10974.8545),(48 10880.953),(49 11035.3955),(50 11262.093),(51 11463.977),(52 11494.113),(53 11319.789),(54 11164.573),(55 11127.383),(56 11264.731),(57 11468.703),(58 11594.59),(59 11546.126),(60 11431.928),(61 11499.449),(62 11655.231),(63 11834.755),(64 11946.42),(65 11864.307),(66 11690.937),(67 11679.057),(68 11715.885),(69 11774.337),(70 11823.922),(71 11584.955),(72 11436.352),(73 11283.766),(74 11166.215),(75 11280.558),(76 11329.159),(77 11264.329),(78 11198.575),(79 10982.011),
