1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 70844.61),(2 162054.28),(3 277417.1),(4 365316.88),(5 506717.4),(6 630118.8),(7 770338.75),(8 897883.94),(9 1042010.8),(10 1226214),(11 1619748.1),(12 2166967.3),(13 2880644.3),(14 3241064.8),(15 3342146.3),(16 3389381.3),(17 3504013.3),(18 3653076),(19 3743155.3),(20 3805227),(21 3741816),(22 3727893.3),(23 3701142.8),(24 3698795.3),(25 3751939),(26 3774891.3),(27 3947707),(28 4215258.5),(29 5016751.5),(30 5472783),(31 5672371.5),(32 5692918.5),(33 5592956),(34 5408903.5),(35 5248433.5),(36 5188249),(37 5153971.5),(38 5175515.5),(39 5163307.5),(40 5116119.5),(41 4971104.5),(42 5031174.5),(43 5210888.5),(44 5413320.5),(45 5495091.5),(46 5582024),(47 5661881.5),(48 5734578),(49 5792885.5),(50 5599458),(51 5525354),(52 5505954.5),(53 5816139.5),(54 5989736),(55 6015360),(56 5959666.5),(57 5881992),(58 5909652),(59 5942688),(60 5929099.5),(61 5927437.5),(62 6001776.5),(63 6065490.5),(64 6112788),(65 6029014),(66 6025088),(67 5950928.5),(68 5906706),(69 5757286.5),(70 5646186),(71 5551559.5),(72 5438785.5),(73 5298648.5),(74 5091188.5),(75 4912126.5),(76 4798702),(77 4666890),(78 4571579.5),(79 4576932),
(1 71319.33),(2 166563.17),(3 288018.9),(4 394659.78),(5 539002.5),(6 672397.1),(7 812529),(8 959799.5),(9 1104339.4),(10 1263892),(11 1486118),(12 1763181.6),(13 2177237.5),(14 2476020.8),(15 2666154.5),(16 2810253),(17 3018812.3),(18 3222092.5),(19 3369251.5),(20 3426136),(21 3343518.5),(22 3338506.3),(23 3354071.5),(24 3387335.3),(25 3451767.5),(26 3418592.8),(27 3426392.8),(28 3512208),(29 3892042.5),(30 4106347.5),(31 4151725.5),(32 4095727.3),(33 3974788.8),(34 3902397.5),(35 3927478.8),(36 3967166),(37 4058855.3),(38 4026919.3),(39 3970339.5),(40 3932606.5),(41 3808333.3),(42 3724769.5),(43 3751268.8),(44 3814869.5),(45 3928748),(46 3945298.8),(47 3975414.5),(48 3979307.5),(49 4010686.8),(50 3842614),(51 3691272),(52 3666816),(53 3898430.8),(54 4163756.5),(55 4442438.5),(56 4681800.5),(57 4884215),(58 5091233),(59 5405408),(60 5742209.5),(61 6073352.5),(62 6421931),(63 6820238.5),(64 7202436),(65 7495355),(66 7762593.5),(67 7911315),(68 8068779),(69 8153770.5),(70 8207627),(71 8299605),(72 8412362),(73 8462802),(74 8507034),(75 8587970),(76 8668949),(77 8741941),(78 8869610),(79 9064749),
(1 100407.98),(2 247038),(3 453492.28),(4 660326.8),(5 880638),(6 1114652.5),(7 1400342.4),(8 1710932.1),(9 2040301.4),(10 2285163.8),(11 2474006),(12 2693396.3),(13 3016817),(14 3223678.3),(15 3415718),(16 3604602.8),(17 3855410),(18 3984952.8),(19 4063967.3),(20 4051582),(21 3948267),(22 3894046.3),(23 3874188.8),(24 3839466.3),(25 3833536.8),(26 3729527),(27 3600254.3),(28 3533126),(29 3669460.8),(30 3760784.8),(31 3821150.8),(32 3840511.3),(33 3790035.3),(34 3640501.3),(35 3549906),(36 3503331.3),(37 3597289),(38 3667452.8),(39 3803760),(40 3957787.3),(41 3922401.8),(42 3888747),(43 3899057.8),(44 3964343),(45 4010342),(46 4089920.8),(47 4308056.5),(48 4555667.5),(49 4992479.5),(50 5208203.5),(51 5377618),(52 5473860),(53 5588914),(54 5814941.5),(55 6084328),(56 6364690.5),(57 6642333.5),(58 6887582.5),(59 7141087.5),(60 7383901.5),(61 7630411.5),(62 7863408),(63 8118964),(64 8352874.5),(65 8546268),(66 8764075),(67 8932281),(68 9028887),(69 9077548),(70 9047316),(71 9035324),(72 8959361),(73 8926075),(74 8915835),(75 8946151),(76 8982660),(77 9048192),(78 9070239),(79 9177827),
(1 122618.164),(2 313926.78),(3 608837.25),(4 903011.06),(5 1234465.4),(6 1572785.1),(7 1961070),(8 2361848.8),(9 2764678.5),(10 3119388.5),(11 3482633),(12 3840814.3),(13 4247774),(14 4420605.5),(15 4478536.5),(16 4549583.5),(17 4677017),(18 4735913.5),(19 4747159.5),(20 4693890.5),(21 4617146),(22 4479522),(23 4342829.5),(24 4171147.5),(25 3980763),(26 3811234.3),(27 3703913.5),(28 3662225),(29 3678611.5),(30 3568521.3),(31 3479902),(32 3457139),(33 3465887.8),(34 3512375.5),(35 3652064.8),(36 3763422.3),(37 3781025.8),(38 3820057.8),(39 3950370.3),(40 4084549.3),(41 4015452.5),(42 3989035),(43 4080792),(44 4204818.5),(45 4343882),(46 4369278),(47 4475962),(48 4624522.5),(49 4847698),(50 5009798),(51 5201354),(52 5308779.5),(53 5340858),(54 5367142.5),(55 5372269.5),(56 5407337.5),(57 5478200),(58 5619272.5),(59 5773280),(60 5889362),(61 6014338.5),(62 6106346),(63 6255786),(64 6395413.5),(65 6549587.5),(66 6728170),(67 6971590.5),(68 7223459.5),(69 7503588.5),(70 7763042),(71 8079061.5),(72 8355896),(73 8649860),(74 8997747),(75 9438068),(76 9881156),(77 10394965),(78 10807124),(79 11290256),
(1 122422.08),(2 309093.13),(3 586925.44),(4 884338.56),(5 1278645.3),(6 1672998.5),(7 2115489.8),(8 2563642),(9 3044139.8),(10 3493645),(11 3962011.3),(12 4365756.5),(13 4809034),(14 4989823.5),(15 5057822),(16 5115448),(17 5180832),(18 5105299.5),(19 4935647),(20 4723756.5),(21 4527167.5),(22 4364516.5),(23 4203611),(24 4001308.3),(25 3814267),(26 3655680),(27 3568434.3),(28 3517108.3),(29 3476704),(30 3443554.3),(31 3521829.8),(32 3617921.5),(33 3660973.5),(34 3634055.3),(35 3718724.3),(36 3860723.8),(37 3917967.3),(38 4032723.8),(39 4185080.8),(40 4315712.5),(41 4431499.5),(42 4553266),(43 4776594),(44 4917379.5),(45 4932789.5),(46 4896635),(47 4841675.5),(48 4752772),(49 4594960.5),(50 4441553),(51 4364671.5),(52 4277994),(53 4154019.8),(54 4017317),(55 3899691.8),(56 3805421.5),(57 3761384.8),(58 3770562.3),(59 3807640.8),(60 3822537.5),(61 3839560.8),(62 3817862.5),(63 3823642.3),(64 3844107),(65 3905333),(66 3993522.5),(67 4170880.3),(68 4382988),(69 4659886),(70 4961692),(71 5358903.5),(72 5731126),(73 6092687.5),(74 6506363.5),(75 7001730),(76 7488211.5),(77 8038302.5),(78 8498161),(79 8987372),
(1 135043.78),(2 286675.3),(3 467578.66),(4 650540.8),(5 919578.4),(6 1140467.5),(7 1395749),(8 1659033),(9 1865088.3),(10 2070354.8),(11 2330131.3),(12 2583679.3),(13 2757182.8),(14 2812156.5),(15 2847885.5),(16 2930312.5),(17 3052048.5),(18 3034881.3),(19 2947742.8),(20 2842548),(21 2691335.3),(22 2593548.8),(23 2524787),(24 2495419.8),(25 2440865.5),(26 2367840.5),(27 2363815.5),(28 2419256.3),(29 2480851.3),(30 2582300.3),(31 2742612.8),(32 2890470.8),(33 2986979.3),(34 3004320.5),(35 3065644.5),(36 3169786.5),(37 3229434),(38 3315054.8),(39 3447268.8),(40 3537034.5),(41 3589519.3),(42 3662773.5),(43 3835684.5),(44 3987088),(45 4022736.8),(46 4059657.5),(47 4060352),(48 4008349.5),(49 3948726.5),(50 3791749.3),(51 3654101.5),(52 3533454),(53 3425939.3),(54 3366404),(55 3362631.3),(56 3332415.3),(57 3237966.3),(58 3144364.5),(59 3100325.5),(60 3069762.5),(61 3043905.3),(62 2985632.5),(63 2966821.5),(64 2983327.8),(65 3084111),(66 3197212.5),(67 3358174.8),(68 3505278.5),(69 3694378),(70 3903072.5),(71 4168007.3),(72 4442193),(73 4677039),(74 4880113.5),(75 5105583),(76 5325549),(77 5572793.5),(78 5763155),(79 5960567),
(1 125466.414),(2 269685.7),(3 435915.38),(4 577476.5),(5 776534.75),(6 958935.9),(7 1154995.9),(8 1319927.1),(9 1473551.4),(10 1582436.9),(11 1721740.9),(12 1856063.3),(13 2013512),(14 2033617.4),(15 1999833.1),(16 1996600.6),(17 2115001.3),(18 2140293.8),(19 2115498.3),(20 2042778.8),(21 1968203.1),(22 1920050.5),(23 1915539.4),(24 1919903.8),(25 1893587.1),(26 1848349.9),(27 1851725.9),(28 1923252.5),(29 1964441.1),(30 1952012.1),(31 2021811.1),(32 2135970.5),(33 2144834.3),(34 2136054.3),(35 2183642.5),(36 2233686.3),(37 2369461.8),(38 2415451.5),(39 2478417),(40 2546137.5),(41 2430919.8),(42 2382432.3),(43 2435753.5),(44 2512132.3),(45 2542294.5),(46 2552688),(47 2627608.5),(48 2724292.3),(49 2826007.8),(50 2762481),(51 2697566.8),(52 2626584.3),(53 2532209.8),(54 2529673),(55 2581665.3),(56 2603595.8),(57 2562022.5),(58 2517451.5),(59 2524460.5),(60 2553199.3),(61 2585694.3),(62 2628110.8),(63 2705753),(64 2772714.5),(65 2839256.3),(66 2925894.3),(67 3036153),(68 3112231.5),(69 3177114.5),(70 3264279.8),(71 3408736.3),(72 3557233.3),(73 3696935.5),(74 3821212.5),(75 3973715.5),(76 4148031.8),(77 4332408.5),(78 4489847.5),(79 4675697),
(1 93717.25),(2 218156.67),(3 399209.16),(4 577003.75),(5 755041.6),(6 889669.9),(7 1033262.25),(8 1159341.9),(9 1257913.5),(10 1289683.6),(11 1338416.3),(12 1404121.4),(13 1488629.9),(14 1487384.3),(15 1472094.3),(16 1482999.4),(17 1466931.9),(18 1485607.8),(19 1511512.8),(20 1529800),(21 1593572),(22 1601757.4),(23 1628105.3),(24 1640210.9),(25 1625712.9),(26 1587992.3),(27 1569806.9),(28 1581977.8),(29 1527870.3),(30 1511045.1),(31 1516436.5),(32 1534680.9),(33 1535700.5),(34 1514361.9),(35 1594299.8),(36 1715346.4),(37 1814539.8),(38 1892533.5),(39 1969599.9),(40 2041889.1),(41 1988532),(42 1957271.4),(43 1962192.3),(44 1961086.4),(45 1979497.3),(46 1976805.6),(47 2060544.3),(48 2146976.3),(49 2255415.3),(50 2271899),(51 2285217),(52 2284447.8),(53 2276605.5),(54 2256562.8),(55 2279765.8),(56 2308117.8),(57 2336813.5),(58 2342780),(59 2394310.5),(60 2444563.8),(61 2477591.5),(62 2506297),(63 2556437.3),(64 2584686.3),(65 2603667),(66 2619887),(67 2662761.5),(68 2690265.5),(69 2701610.8),(70 2703753.5),(71 2745513.5),(72 2795058.8),(73 2872873.5),(74 2937501),(75 3032358.3),(76 3126221.8),(77 3214227),(78 3301080),(79 3430789),
(1 112631.74),(2 245454.08),(3 422516.84),(4 605722.44),(5 836774.75),(6 998339.5),(7 1160304.3),(8 1316677.9),(9 1413602.6),(10 1472722),(11 1509898.6),(12 1523825.1),(13 1507897.5),(14 1429983.3),(15 1376595.3),(16 1383170.5),(17 1400630.9),(18 1402227.3),(19 1426351.5),(20 1475434.1),(21 1546914),(22 1590778.1),(23 1642673.4),(24 1679239.8),(25 1659249.1),(26 1622924.4),(27 1577675.3),(28 1524128.9),(29 1395282.8),(30 1303841.1),(31 1277412.3),(32 1309189),(33 1294156.8),(34 1280273.5),(35 1349089),(36 1441215),(37 1521822.3),(38 1568973.1),(39 1664184.4),(40 1799536),(41 1761935.6),(42 1791598.4),(43 1858472.8),(44 1852168.3),(45 1843903.9),(46 1845342.4),(47 1887747.3),(48 1907190.8),(49 1951249),(50 2011346.1),(51 2127811),(52 2235557.8),(53 2326511.3),(54 2373290.5),(55 2433664.8),(56 2498872),(57 2598039.3),(58 2684787.5),(59 2795591.8),(60 2875667.3),(61 2887407),(62 2895101.3),(63 2901426),(64 2903266.8),(65 2894469.5),(66 2895974.8),(67 2925370),(68 2955634.8),(69 2973268.8),(70 2946884.8),(71 2920824.3),(72 2887245.3),(73 2852763.3),(74 2803309.8),(75 2773926.3),(76 2751598),(77 2749158.5),(78 2754798.5),(79 2774942),
(1 111875.05),(2 244452.92),(3 408043.88),(4 556847.25),(5 717929.25),(6 823509.7),(7 927300.56),(8 1022500.7),(9 1062727.6),(10 1074980.5),(11 1078982),(12 1071998.5),(13 1061832.6),(14 1021356.9),(15 1016490.3),(16 1055406.9),(17 1138499.1),(18 1176760.1),(19 1213931.4),(20 1234048.3),(21 1249258.3),(22 1270769.1),(23 1302896.6),(24 1323442.6),(25 1328166.5),(26 1295029.1),(27 1272452),(28 1250837.8),(29 1093784.6),(30 1028403.56),(31 1047201.7),(32 1103936.6),(33 1178204.4),(34 1180403.4),(35 1228456.9),(36 1293468),(37 1298351.1),(38 1301095.6),(39 1331486.5),(40 1403233),(41 1373189.5),(42 1408437.5),(43 1505856.6),(44 1556301.3),(45 1589615),(46 1606628),(47 1639298.3),(48 1646066.9),(49 1662934.3),(50 1705104),(51 1818823.9),(52 1938739.8),(53 2061554),(54 2122884.8),(55 2192107.3),(56 2259468.3),(57 2317366),(58 2390822),(59 2481036.3),(60 2556477.3),(61 2606925.3),(62 2618883.8),(63 2640153.8),(64 2663626.8),(65 2670382.3),(66 2689215),(67 2739723),(68 2792833.8),(69 2835699.5),(70 2839702),(71 2837915.3),(72 2820991),(73 2771116.5),(74 2684604.5),(75 2606680),(76 2538734.3),(77 2484036),(78 2429631.5),(79 2387905.5),
(1 103117.13),(2 236705.16),(3 406179.8),(4 555243.9),(5 659199.8),(6 734561.3),(7 812340.5),(8 870792.4),(9 917248.5),(10 927200.3),(11 934321.6),(12 928889.7),(13 911081.9),(14 881661.06),(15 884175.06),(16 921762.75),(17 988338),(18 1040261.2),(19 1079245.5),(20 1082898.9),(21 1096792),(22 1102594.3),(23 1121861.8),(24 1133923),(25 1142847.5),(26 1145830),(27 1166768.4),(28 1166393.1),(29 1072030.9),(30 1015860.1),(31 1003432.25),(32 1026492),(33 1073824),(34 1068643.8),(35 1104139.8),(36 1157007.3),(37 1186906.5),(38 1203699),(39 1243788),(40 1309325.1),(41 1312434.1),(42 1342562.9),(43 1439820.5),(44 1520507),(45 1548265.1),(46 1549101.5),(47 1572892.5),(48 1597218.8),(49 1647949.6),(50 1672189.3),(51 1748778),(52 1833267.9),(53 1931910.6),(54 1977762.1),(55 2000956.3),(56 2011260),(57 2011869),(58 2022884.5),(59 2068873),(60 2119017.3),(61 2157077.3),(62 2162521),(63 2181222),(64 2194307.5),(65 2184902.8),(66 2189518),(67 2215257.5),(68 2239489),(69 2243278),(70 2220694.5),(71 2198348.3),(72 2164755.5),(73 2109606.3),(74 2027041.6),(75 1955195.1),(76 1885545.4),(77 1826015),(78 1765797.4),(79 1716442.9),
