1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 237327.69),(2 839662.7),(3 1737528.6),(4 2867169.8),(5 4192827.3),(6 5714017.5),(7 7399796),(8 9208097),(9 11157259),(10 13209760),(11 15440440),(12 17809266),(13 20357142),(14 22911130),(15 25754438),(16 28899678),(17 32207942),(18 35771308),(19 39764372),(20 44062268),(21 48694700),(22 53507890),(23 58501950),(24 63616980),(25 68931704),(26 74169176),(27 79884100),(28 85882890),(29 92199624),(30 99037450),(31 106230310),(32 113750780),(33 121375016),(34 129028640),(35 136648750),(36 144433440),(37 151672240),(38 158718340),(39 166075310),(40 172720620),(41 179652590),(42 186459630),(43 193802110),(44 201044660),(45 208278860),(46 215899060),(47 223760590),(48 231385140),(49 239121940),(50 246439020),(51 253868030),(52 261102480),(53 267894960),(54 274192350),(55 280908670),(56 286982140),(57 293199200),(58 300344480),(59 307077470),(60 314408220),(61 322272600),(62 330006400),(63 338568000),(64 346888130),(65 355130200),(66 362757150),(67 370077300),(68 377037300),(69 384762000),(70 392167420),(71 400426270),(72 408402530),(73 416169060),(74 423729280),(75 431204960),(76 439090080),(77 447153250),(78 455302530),(79 463878750),
(1 205679.23),(2 727701.9),(3 1534040.6),(4 2585371.8),(5 3809691.3),(6 5226126.5),(7 6834113),(8 8557240),(9 10425064),(10 12416382),(11 14509930),(12 16677549),(13 18933724),(14 21169656),(15 23389442),(16 25669746),(17 27913652),(18 30217884),(19 32591712),(20 34915960),(21 37426570),(22 39929260),(23 42494104),(24 45058772),(25 47646130),(26 50280852),(27 52885868),(28 55746356),(29 58365440),(30 60969356),(31 63734988),(32 66611750),(33 69513660),(34 72500080),(35 75716100),(36 79026330),(37 82389640),(38 85814696),(39 89333840),(40 92684584),(41 96208870),(42 99616230),(43 103122430),(44 106466420),(45 110050584),(46 113795540),(47 117835350),(48 122023170),(49 126472344),(50 130914900),(51 136011180),(52 141682580),(53 147668020),(54 153642700),(55 159894620),(56 165885980),(57 171837280),(58 177897040),(59 183416060),(60 188783100),(61 194468930),(62 199703900),(63 205655500),(64 211589940),(65 217998180),(66 224333780),(67 230562980),(68 236268420),(69 242044110),(70 247330350),(71 252678660),(72 257619500),(73 261776900),(74 264950610),(75 267348380),(76 269785540),(77 272173150),(78 274516130),(79 277237860),
(1 331769.25),(2 1236507.1),(3 2673927.3),(4 4601424),(5 6915253.5),(6 9570591),(7 12586541),(8 15913173),(9 19488534),(10 23217526),(11 27147994),(12 31233702),(13 35455340),(14 39443188),(15 43276364),(16 47022110),(17 50512620),(18 54059524),(19 57544384),(20 61180000),(21 65032620),(22 68825736),(23 72587900),(24 76358104),(25 80010610),(26 83642780),(27 87036310),(28 90153930),(29 92973656),(30 95528150),(31 98095350),(32 100529610),(33 102780070),(34 105119000),(35 107568920),(36 110086530),(37 112770460),(38 115685630),(39 118759270),(40 121735704),(41 124476760),(42 127034730),(43 129384664),(44 131391256),(45 133047800),(46 134587570),(47 136044030),(48 137453420),(49 138774450),(50 139785780),(51 140808660),(52 142004400),(53 143052130),(54 143919620),(55 144703500),(56 145055800),(57 145143260),(58 145092480),(59 144649140),(60 144296110),(61 143954580),(62 143481040),(63 143473180),(64 143515120),(65 143759620),(66 144353300),(67 145298640),(68 146217460),(69 147357680),(70 148436980),(71 149771220),(72 150943860),(73 152245420),(74 153573780),(75 154800560),(76 155978930),(77 157427950),(78 158824300),(79 160631760),
(1 408495.06),(2 1522256.6),(3 3321368.8),(4 5790630),(5 8771756),(6 12201237),(7 16048661),(8 20303928),(9 24893642),(10 29770984),(11 35008468),(12 40453148),(13 46185200),(14 51898996),(15 57591570),(16 63395330),(17 69176630),(18 75010390),(19 80819700),(20 86614530),(21 92290230),(22 97627170),(23 102781170),(24 107738840),(25 112537210),(26 117098264),(27 121209470),(28 124928500),(29 128121100),(30 130812376),(31 133161440),(32 135053870),(33 136434830),(34 137374060),(35 138032100),(36 138496530),(37 138706200),(38 138593730),(39 138198380),(40 137339760),(41 136069760),(42 134466220),(43 132795650),(44 130887150),(45 128731350),(46 126484510),(47 124161040),(48 121960504),(49 119789400),(50 117634210),(51 115887820),(52 114562104),(53 113307500),(54 112251740),(55 111495750),(56 110673464),(57 110087050),(58 109578020),(59 108916696),(60 108570280),(61 108477330),(62 108489820),(63 108733220),(64 109041240),(65 109516420),(66 110018450),(67 110731720),(68 111391410),(69 112021720),(70 112605656),(71 113127640),(72 113442710),(73 114023896),(74 114512504),(75 114915976),(76 115083280),(77 115322270),(78 115617540),(79 115879950),
(1 400909.63),(2 1499111.5),(3 3287168.8),(4 5817612.5),(5 8979610),(6 12746106),(7 17041186),(8 21795712),(9 27023916),(10 32629170),(11 38586788),(12 44948110),(13 51612980),(14 58447988),(15 65452196),(16 72422860),(17 79413080),(18 86460040),(19 93360970),(20 100191020),(21 106838990),(22 113207320),(23 119258810),(24 124876130),(25 130521464),(26 135797840),(27 140810770),(28 145344720),(29 149553330),(30 153448720),(31 157031870),(32 160045760),(33 162636240),(34 164865890),(35 166540910),(36 168022380),(37 168892780),(38 169492220),(39 170036590),(40 170070640),(41 169993150),(42 169513010),(43 168866140),(44 167889780),(45 166656700),(46 165243340),(47 163635520),(48 161757600),(49 159851250),(50 157679260),(51 155570160),(52 153402660),(53 151356030),(54 149356130),(55 147594380),(56 145973060),(57 144365070),(58 142880750),(59 141427570),(60 140162380),(61 139074830),(62 137808240),(63 136771220),(64 135917470),(65 135315400),(66 134927500),(67 134687600),(68 134489310),(69 134521970),(70 134708080),(71 134898900),(72 134969710),(73 135066940),(74 134987250),(75 134781360),(76 134272860),(77 133573420),(78 132927100),(79 132162560),
(1 327070.84),(2 1193577.4),(3 2595629.5),(4 4554717),(5 6925129),(6 9675348),(7 12725862),(8 15978958),(9 19420156),(10 22961764),(11 26596000),(12 30364550),(13 34120136),(14 37831692),(15 41463692),(16 45024356),(17 48449864),(18 51709330),(19 54645076),(20 57370892),(21 59993100),(22 62493068),(23 64937984),(24 67248000),(25 69627920),(26 72023170),(27 74390770),(28 76623890),(29 78596800),(30 80479656),(31 82347540),(32 84132760),(33 85884710),(34 87791640),(35 89548710),(36 91256900),(37 92788670),(38 94210960),(39 95769550),(40 97137700),(41 98604370),(42 100031830),(43 101665660),(44 103062590),(45 104512640),(46 105840230),(47 107080856),(48 107989330),(49 108527130),(50 108560900),(51 108397570),(52 107870104),(53 107052100),(54 105915976),(55 104445384),(56 102796264),(57 100775500),(58 98780480),(59 96758170),(60 94658090),(61 92691096),(62 90689950),(63 88788824),(64 86948560),(65 85373336),(66 83997420),(67 82694770),(68 81441460),(69 80407040),(70 79477080),(71 78794010),(72 78302980),(73 77887704),(74 77464260),(75 77184170),(76 76878520),(77 76545710),(78 76275110),(79 75971280),
(1 430200.97),(2 1560516.8),(3 3400387.5),(4 5997419),(5 9190754),(6 12921314),(7 17033662),(8 21490658),(9 26312702),(10 31302572),(11 36396036),(12 41592664),(13 46748990),(14 51786950),(15 56835150),(16 61650010),(17 66177990),(18 70564104),(19 74395270),(20 77771230),(21 80694296),(22 83087380),(23 85110960),(24 86639390),(25 87688800),(26 88395390),(27 88731540),(28 88701496),(29 88524630),(30 88103020),(31 87566216),(32 86845784),(33 86052610),(34 85482584),(35 84949176),(36 84673464),(37 84647790),(38 84707110),(39 84934640),(40 85275384),(41 85851340),(42 86541540),(43 87527470),(44 88656590),(45 89967816),(46 91504670),(47 93255440),(48 95022810),(49 96706650),(50 98399910),(51 100086610),(52 101684950),(53 103229140),(54 104638210),(55 106034060),(56 107301750),(57 108353910),(58 109284880),(59 109910380),(60 110486380),(61 110841550),(62 110857650),(63 110805070),(64 110459680),(65 109996050),(66 109379600),(67 108566140),(68 107437224),(69 106275496),(70 104927250),(71 103381210),(72 101745190),(73 99855290),(74 97811496),(75 95760980),(76 93609170),(77 91381600),(78 89246940),(79 87121140),
(1 325519.97),(2 1180601.6),(3 2550667.3),(4 4428810),(5 6692417),(6 9333408),(7 12317270),(8 15541275),(9 18975732),(10 22519710),(11 26127762),(12 29767174),(13 33291422),(14 36640130),(15 39862890),(16 42745788),(17 45246044),(18 47418610),(19 49173376),(20 50495984),(21 51469560),(22 52118776),(23 52424372),(24 52432410),(25 52113764),(26 51458010),(27 50575412),(28 49415676),(29 48172280),(30 46794780),(31 45414456),(32 44105436),(33 42931908),(34 41823812),(35 40814450),(36 39855950),(37 38996284),(38 38175730),(39 37419812),(40 36742988),(41 36171536),(42 35770916),(43 35524144),(44 35457564),(45 35607430),(46 35934590),(47 36379344),(48 36902836),(49 37485044),(50 38061828),(51 38599576),(52 39056388),(53 39460772),(54 39837860),(55 40201828),(56 40474090),(57 40656540),(58 40725268),(59 40839936),(60 41001732),(61 41202228),(62 41453412),(63 41819140),(64 42191964),(65 42623864),(66 43100572),(67 43602476),(68 44025308),(69 44517624),(70 44970260),(71 45401224),(72 45803000),(73 46125868),(74 46421120),(75 46701148),(76 47048380),(77 47395200),(78 47754172),(79 48144640),
(1 385947.88),(2 1430536.5),(3 3091491.8),(4 5353894.5),(5 8063879.5),(6 11162537),(7 14562432),(8 18157330),(9 21860852),(10 25579086),(11 29277706),(12 32921160),(13 36388468),(14 39649056),(15 42739708),(16 45544964),(17 48047716),(18 50306844),(19 52055310),(20 53446908),(21 54515710),(22 55290044),(23 55867564),(24 56246060),(25 56460524),(26 56527320),(27 56341664),(28 55805732),(29 55074396),(30 54109080),(31 52986384),(32 51618336),(33 50093580),(34 48400910),(35 46722892),(36 45046836),(37 43590136),(38 42312184),(39 41192788),(40 40289940),(41 39551156),(42 39017796),(43 38699960),(44 38461690),(45 38290944),(46 38222644),(47 38161940),(48 38166948),(49 38225380),(50 38341932),(51 38532130),(52 38663716),(53 38844916),(54 39049090),(55 39251616),(56 39552976),(57 39923176),(58 40320436),(59 40653470),(60 41073644),(61 41460016),(62 41815976),(63 42179704),(64 42403380),(65 42553796),(66 42726708),(67 42917170),(68 43018244),(69 43228830),(70 43402136),(71 43641630),(72 43858424),(73 43987572),(74 44014252),(75 43964390),(76 43923468),(77 43882884),(78 43827360),(79 43698024),
(1 502621.78),(2 1818333.9),(3 3893817.8),(4 6716833.5),(5 10051630),(6 13850367),(7 17951936),(8 22244268),(9 26615166),(10 30898848),(11 35055440),(12 38944290),(13 42425176),(14 45484496),(15 48084616),(16 50208276),(17 51822470),(18 52974800),(19 53624304),(20 53808050),(21 53631096),(22 53173776),(23 52358164),(24 51299496),(25 50004388),(26 48545892),(27 46993736),(28 45329810),(29 43618510),(30 41856876),(31 40140970),(32 38544736),(33 37055724),(34 35731076),(35 34599344),(36 33696668),(37 33107752),(38 32664914),(39 32322536),(40 32092214),(41 31931672),(42 31929944),(43 32205952),(44 32623204),(45 33175324),(46 33823704),(47 34613412),(48 35493360),(49 36532188),(50 37566628),(51 38603330),(52 39589050),(53 40539620),(54 41371790),(55 42158228),(56 42978890),(57 43787760),(58 44523856),(59 45147052),(60 45669124),(61 46066310),(62 46202830),(63 46157576),(64 46050450),(65 45859856),(66 45676344),(67 45491120),(68 45239068),(69 44993892),(70 44705150),(71 44351068),(72 43884908),(73 43415480),(74 42957330),(75 42498696),(76 42087030),(77 41746360),(78 41587004),(79 41449850),
(1 416927.2),(2 1487324.5),(3 3158775),(4 5396024.5),(5 7969774),(6 10828164),(7 13854328),(8 16922394),(9 20010414),(10 22964112),(11 25746266),(12 28302432),(13 30428050),(14 32253124),(15 33746904),(16 34808244),(17 35509450),(18 35855520),(19 35984710),(20 35944532),(21 35758744),(22 35601196),(23 35351724),(24 35162110),(25 35032864),(26 35031944),(27 35103428),(28 35126292),(29 35067784),(30 34970028),(31 34817932),(32 34604930),(33 34396760),(34 34112172),(35 33816924),(36 33574370),(37 33401908),(38 33235280),(39 33051588),(40 32865596),(41 32630558),(42 32401400),(43 32240000),(44 32052322),(45 31921868),(46 31837308),(47 31828276),(48 31914440),(49 32068096),(50 32191642),(51 32302096),(52 32389232),(53 32471236),(54 32475120),(55 32446358),(56 32395212),(57 32387200),(58 32368384),(59 32396378),(60 32468654),(61 32589772),(62 32749260),(63 32995580),(64 33277742),(65 33588304),(66 33904612),(67 34254668),(68 34488704),(69 34622268),(70 34723292),(71 34710240),(72 34536656),(73 34302776),(74 33965388),(75 33431672),(76 32812590),(77 32042602),(78 31240308),(79 30430268),
