1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 45726.27),(2 135942.45),(3 258888.23),(4 407366.5),(5 600252.25),(6 765100.2),(7 946877.7),(8 1130965.6),(9 1273089.6),(10 1405858.1),(11 1567144.6),(12 1746885),(13 1938910.1),(14 2198214.3),(15 2504383),(16 2820315.3),(17 3192859.8),(18 3551575),(19 3877143),(20 4144952.8),(21 4356299.5),(22 4595898.5),(23 4809096.5),(24 4972842.5),(25 5195239.5),(26 5380355.5),(27 5633170.5),(28 5875914.5),(29 6147686.5),(30 6411164.5),(31 6720426),(32 7010872.5),(33 7297138),(34 7563198),(35 7756004.5),(36 7884450.5),(37 8031124),(38 8128672),(39 8239418.5),(40 8324598.5),(41 8423866),(42 8576216),(43 8797202),(44 9036441),(45 9264934),(46 9488081),(47 9712707),(48 9847859),(49 10015985),(50 10143629),(51 10256552),(52 10400626),(53 10524238),(54 10677619),(55 10813109),(56 11001782),(57 11148151),(58 11324088),(59 11590047),(60 11822203),(61 12107088),(62 12432847),(63 12792619),(64 13108101),(65 13504044),(66 13819999),(67 14363885),(68 14822828),(69 15353576),(70 16078535),(71 16725891),(72 17377608),(73 17976994),(74 18510036),(75 19077506),(76 19660040),(77 20214978),(78 20752692),(79 21412128),
(1 39662.27),(2 133374.05),(3 263659.47),(4 436487.1),(5 649489),(6 873018.6),(7 1108334.8),(8 1370339.6),(9 1594198),(10 1828436.3),(11 2076436.4),(12 2323023.3),(13 2587716.8),(14 2857574.5),(15 3136972.8),(16 3412423.3),(17 3679999.3),(18 3963652.5),(19 4200057),(20 4401263),(21 4556321.5),(22 4698205),(23 4832059.5),(24 4927105),(25 5036557),(26 5141065),(27 5289517.5),(28 5423492.5),(29 5572751.5),(30 5727961.5),(31 5918697),(32 6110369),(33 6302707),(34 6479776.5),(35 6652582.5),(36 6771271),(37 6914001),(38 7044463),(39 7160592),(40 7281769),(41 7397544),(42 7598575),(43 7862733),(44 8159552),(45 8585273),(46 8943235),(47 9312205),(48 9617929),(49 9984863),(50 10286160),(51 10619467),(52 10908622),(53 11140833),(54 11416975),(55 11689885),(56 11988181),(57 12277914),(58 12618242),(59 12975196),(60 13283982),(61 13608358),(62 13911677),(63 14155472),(64 14364709),(65 14542070),(66 14585414),(67 14704723),(68 14758813),(69 14830202),(70 14995083),(71 15116949),(72 15251518),(73 15349133),(74 15418370),(75 15530134),(76 15662579),(77 15799736),(78 15982557),(79 16189811),
(1 49175.938),(2 162602.02),(3 340128.22),(4 572410.56),(5 853147.3),(6 1162957.4),(7 1473394.6),(8 1816427.6),(9 2133398.3),(10 2443781.3),(11 2737228.5),(12 2998717.3),(13 3259596.8),(14 3509189.3),(15 3752874.8),(16 3969426.3),(17 4162959.3),(18 4336841.5),(19 4540608.5),(20 4783346),(21 4988415.5),(22 5184943),(23 5374643.5),(24 5527938.5),(25 5673048),(26 5789588.5),(27 5914426.5),(28 6044778.5),(29 6175857.5),(30 6325778.5),(31 6487262.5),(32 6658435.5),(33 6856846.5),(34 7073871.5),(35 7290243.5),(36 7483010.5),(37 7658129.5),(38 7825016.5),(39 7958338.5),(40 8111981.5),(41 8224425.5),(42 8341810.5),(43 8496288),(44 8650120),(45 8942065),(46 9226205),(47 9547551),(48 9821605),(49 10154886),(50 10540465),(51 10907091),(52 11319963),(53 11684567),(54 12108557),(55 12548525),(56 12964657),(57 13414667),(58 13912409),(59 14376499),(60 14804289),(61 15207443),(62 15618797),(63 15980869),(64 16343087),(65 16634204),(66 16830448),(67 17022742),(68 17168560),(69 17293566),(70 17553760),(71 17613790),(72 17724050),(73 17754360),(74 17772912),(75 17733670),(76 17679826),(77 17565546),(78 17488804),(79 17389730),
(1 54782.484),(2 183263.69),(3 388350.84),(4 651033),(5 961342),(6 1308191.5),(7 1668566.9),(8 2054875.5),(9 2438137),(10 2833137),(11 3226024),(12 3600808.5),(13 3961991.5),(14 4301502),(15 4602807.5),(16 4866362),(17 5092782),(18 5299762),(19 5504327),(20 5754358),(21 5974582.5),(22 6211739.5),(23 6482072),(24 6773801),(25 7094875.5),(26 7414546),(27 7705610),(28 8029557.5),(29 8378410),(30 8696500),(31 9024651),(32 9346412),(33 9636484),(34 9946156),(35 10237817),(36 10479584),(37 10759767),(38 11077314),(39 11383980),(40 11746197),(41 12122625),(42 12479922),(43 12850699),(44 13253973),(45 13775074),(46 14238146),(47 14680712),(48 15112331),(49 15531136),(50 15972732),(51 16397863),(52 16774443),(53 17100750),(54 17417888),(55 17727756),(56 18002328),(57 18322888),(58 18647844),(59 18895830),(60 19162076),(61 19432568),(62 19619980),(63 19785672),(64 20010762),(65 20215640),(66 20365530),(67 20549340),(68 20685632),(69 20823898),(70 21026764),(71 21107736),(72 21125046),(73 21177696),(74 21177092),(75 21197142),(76 21200504),(77 21159630),(78 21191652),(79 21271926),
(1 53929.15),(2 182373.1),(3 388224.38),(4 651143.56),(5 973552),(6 1332216.1),(7 1731910),(8 2170043),(9 2624739.5),(10 3107660.8),(11 3588872.8),(12 4055466.3),(13 4515139.5),(14 4983219),(15 5420373),(16 5826848.5),(17 6194249.5),(18 6570099),(19 6942824.5),(20 7368104.5),(21 7753627.5),(22 8116127.5),(23 8493364),(24 8836017),(25 9194022),(26 9504816),(27 9779173),(28 10041650),(29 10290298),(30 10518017),(31 10734969),(32 10925207),(33 11118688),(34 11322533),(35 11523229),(36 11691685),(37 11899767),(38 12140330),(39 12382883),(40 12609111),(41 12851313),(42 13083869),(43 13338330),(44 13621943),(45 13956768),(46 14256553),(47 14548164),(48 14822000),(49 15102118),(50 15394150),(51 15673615),(52 15869017),(53 16019244),(54 16137043),(55 16249191),(56 16345783),(57 16418073),(58 16509821),(59 16538300),(60 16595427),(61 16654183),(62 16663741),(63 16688605),(64 16776855),(65 16901640),(66 17009844),(67 17162114),(68 17298646),(69 17462590),(70 17701992),(71 17896984),(72 18053204),(73 18246840),(74 18435720),(75 18672046),(76 18907164),(77 19147596),(78 19431516),(79 19720018),
(1 49331.32),(2 160322.5),(3 324080.78),(4 530630.8),(5 784151.3),(6 1059663.8),(7 1349098.8),(8 1646139.8),(9 1952458.4),(10 2270516.5),(11 2581465),(12 2868682.3),(13 3135437.3),(14 3409634.8),(15 3651039.3),(16 3844213.5),(17 4040045.3),(18 4213693),(19 4428364),(20 4708588.5),(21 4946767),(22 5187670.5),(23 5429502.5),(24 5672621),(25 5935409),(26 6166317),(27 6395645.5),(28 6606010.5),(29 6820949),(30 7063233),(31 7299563),(32 7503285),(33 7730438.5),(34 7933667),(35 8113802.5),(36 8294371),(37 8523249),(38 8732182),(39 8960986),(40 9175142),(41 9339248),(42 9497042),(43 9651406),(44 9808166),(45 10006330),(46 10150057),(47 10293964),(48 10443318),(49 10562909),(50 10681566),(51 10812014),(52 10885325),(53 10899527),(54 10888333),(55 10898581),(56 10916747),(57 10937809),(58 10963707),(59 11001335),(60 11066894),(61 11124179),(62 11185285),(63 11258042),(64 11342226),(65 11454618),(66 11535317),(67 11643811),(68 11757108),(69 11896968),(70 12095662),(71 12259136),(72 12445674),(73 12639997),(74 12849360),(75 13076684),(76 13309454),(77 13534285),(78 13796250),(79 14046814),
(1 43752.508),(2 141575.16),(3 288966.1),(4 465100.2),(5 676643.9),(6 913636.06),(7 1149504.9),(8 1388574.3),(9 1622544.5),(10 1850658.8),(11 2074423.3),(12 2272242.3),(13 2460887.3),(14 2634570.5),(15 2788190.8),(16 2942819.8),(17 3100781),(18 3234982.3),(19 3367735),(20 3512313.8),(21 3631635),(22 3727110.8),(23 3835485.5),(24 3929681.8),(25 4017727.5),(26 4096237.3),(27 4177533),(28 4272608),(29 4358598),(30 4442986.5),(31 4500856.5),(32 4550042.5),(33 4615534),(34 4676290),(35 4742686),(36 4821637.5),(37 4927040.5),(38 5044953),(39 5170162.5),(40 5314091.5),(41 5419605),(42 5519704.5),(43 5654993),(44 5773699),(45 5910335.5),(46 5994842),(47 6048621.5),(48 6087613.5),(49 6128663.5),(50 6155874.5),(51 6177721),(52 6181327),(53 6164138),(54 6138718),(55 6089128.5),(56 6058330),(57 6017364.5),(58 5974891),(59 5969657),(60 5988064.5),(61 6018486),(62 6047881),(63 6082217),(64 6135890),(65 6209867),(66 6268898.5),(67 6332704),(68 6424442.5),(69 6519615.5),(70 6686575.5),(71 6795560),(72 6919938),(73 7041855),(74 7147997),(75 7233952.5),(76 7310719),(77 7391406),(78 7499798),(79 7585714.5),
(1 39728.773),(2 129829.98),(3 264719.4),(4 426439.4),(5 621209.06),(6 839506.4),(7 1060574),(8 1283359.3),(9 1503191.8),(10 1732205.4),(11 1961073.4),(12 2174399.3),(13 2380516.3),(14 2591718.5),(15 2791485),(16 2991037.3),(17 3185389.3),(18 3381529),(19 3566100.8),(20 3780683.5),(21 3962201.8),(22 4156698.8),(23 4355142.5),(24 4575786.5),(25 4792560),(26 5009889),(27 5225509.5),(28 5450703),(29 5624918.5),(30 5787631.5),(31 5908042.5),(32 5970451),(33 6037526.5),(34 6111241.5),(35 6226864),(36 6325078.5),(37 6419645),(38 6537988.5),(39 6649611.5),(40 6742142.5),(41 6788075.5),(42 6825137),(43 6849023),(44 6867251),(45 6881309),(46 6872016),(47 6855560),(48 6845425.5),(49 6836271),(50 6868275),(51 6893123.5),(52 6969223),(53 7033961.5),(54 7113737.5),(55 7198161),(56 7237082.5),(57 7258441.5),(58 7265905),(59 7274438.5),(60 7310749),(61 7359471),(62 7416358.5),(63 7492914),(64 7591600.5),(65 7676712),(66 7760604.5),(67 7860874.5),(68 7939897),(69 8028406.5),(70 8175977.5),(71 8233674.5),(72 8291827),(73 8308255.5),(74 8346672),(75 8343729),(76 8343119),(77 8330664.5),(78 8286361),(79 8260314.5),
(1 37880.813),(2 123517.984),(3 246322.23),(4 391195.72),(5 564709.06),(6 751709.5),(7 953562.7),(8 1185093.9),(9 1407058.5),(10 1644992.8),(11 1886123.4),(12 2127362.8),(13 2375157.8),(14 2624866),(15 2883939.8),(16 3155061.3),(17 3423389.5),(18 3686201),(19 3955571.8),(20 4273997),(21 4565766.5),(22 4874111.5),(23 5166555.5),(24 5463670.5),(25 5755902),(26 6058949.5),(27 6361054.5),(28 6665365.5),(29 6923788.5),(30 7162288),(31 7383703),(32 7563460),(33 7748148),(34 7913193.5),(35 8085424),(36 8222974),(37 8355946.5),(38 8457346),(39 8559929),(40 8642047),(41 8719358),(42 8773361),(43 8794887),(44 8797493),(45 8797596),(46 8786981),(47 8758071),(48 8704792),(49 8643707),(50 8596602),(51 8565672),(52 8546849),(53 8561572),(54 8616360),(55 8663536),(56 8714049),(57 8735582),(58 8746859),(59 8747260),(60 8752689),(61 8771757),(62 8807637),(63 8821160),(64 8822521),(65 8814293),(66 8815575),(67 8855272),(68 8886634),(69 8915739),(70 8979966),(71 9019595),(72 9055456),(73 9054179),(74 9042558),(75 8982065),(76 8936222),(77 8868169),(78 8829464),(79 8809826),
(1 38435.668),(2 128103.16),(3 254044.03),(4 404754.56),(5 596972.94),(6 809519.94),(7 1042272.9),(8 1302668.9),(9 1579320),(10 1892052.3),(11 2206770.3),(12 2525914),(13 2836365.8),(14 3141155.5),(15 3414510),(16 3687230.8),(17 3954291.5),(18 4207285.5),(19 4434774),(20 4685418),(21 4897025.5),(22 5096231),(23 5296132),(24 5505756.5),(25 5715293),(26 5940268.5),(27 6164029),(28 6402934),(29 6634323.5),(30 6823128.5),(31 6988502),(32 7105211.5),(33 7183181),(34 7218200.5),(35 7230894),(36 7244688),(37 7247413),(38 7249611.5),(39 7239570),(40 7256354),(41 7273775),(42 7309639),(43 7340336.5),(44 7369210.5),(45 7442448),(46 7487249),(47 7496171.5),(48 7462392),(49 7439015),(50 7423339.5),(51 7446494),(52 7447318),(53 7479946),(54 7519206),(55 7555224),(56 7588450.5),(57 7630620.5),(58 7672399),(59 7692031),(60 7709203.5),(61 7729896),(62 7732097),(63 7734713),(64 7704241),(65 7680149.5),(66 7636967),(67 7591598),(68 7562926),(69 7524354),(70 7469145),(71 7409697.5),(72 7305143.5),(73 7192182),(74 7083127),(75 6942616),(76 6832252.5),(77 6710989.5),(78 6627267.5),(79 6537135.5),
(1 45355.1),(2 162196.47),(3 339450.22),(4 562223.06),(5 848791.6),(6 1177840.5),(7 1555417.9),(8 1971001.6),(9 2410890.3),(10 2887805.3),(11 3370704.5),(12 3855907.8),(13 4345948),(14 4848886.5),(15 5303395),(16 5722033),(17 6128992.5),(18 6478828),(19 6807143),(20 7139030.5),(21 7389319.5),(22 7606244.5),(23 7771723),(24 7926851),(25 8055242.5),(26 8157183),(27 8243471),(28 8277127.5),(29 8293844.5),(30 8243121),(31 8175698),(32 8048345.5),(33 7910560),(34 7737820),(35 7569176.5),(36 7393040),(37 7186505),(38 6973325.5),(39 6807130.5),(40 6656991),(41 6481788.5),(42 6315105),(43 6171245),(44 6008590),(45 5865700),(46 5719734),(47 5587363),(48 5479044.5),(49 5401985),(50 5352724.5),(51 5351645.5),(52 5395997),(53 5500995),(54 5627672.5),(55 5785483.5),(56 5986173),(57 6222432),(58 6494266.5),(59 6748850.5),(60 6989512.5),(61 7227395.5),(62 7432284.5),(63 7647275.5),(64 7832740),(65 8018040.5),(66 8189329),(67 8335800.5),(68 8484341),(69 8613528),(70 8728055),(71 8826662),(72 8859800),(73 8845432),(74 8804527),(75 8752040),(76 8683753),(77 8577292),(78 8433618),(79 8263851.5),
