1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,512.5,513.5,514.5,515.5,516.5,517.5,518.5,519.5,520.5,521.5,522.5,523.5,524.5,525.5,526.5,527.5,528.5,529.5,530.5,531.5,532.5,533.5,534.5,535.5,536.5,537.5,538.5,539.5,540.5,541.5,542.5,543.5,544.5,545.5,546.5,547.5,548.5,549.5,550.5,551.5,552.5,553.5,554.5,555.5,556.5,557.5,558.5,559.5,560.5,561.5,562.5,563.5,564.5,565.5,566.5,567.5,568.5,569.5,570.5,571.5,572.5,573.5,574.5,575.5,576.5,577.5,578.5,579.5,580.5,581.5,582.5,583.5,584.5,585.5,586.5,587.5,588.5,589.5,590.5,591.5,592.5,593.5,594.5,595.5,596.5,597.5,598.5,599.5,600.5,601.5,602.5,603.5,604.5,605.5,606.5,607.5,608.5,609.5,610.5,611.5,612.5,613.5,614.5,615.5,616.5,617.5,618.5,619.5,620.5,621.5,622.5,623.5,624.5,625.5,626.5,627.5,628.5,629.5,630.5,631.5,632.5,633.5,634.5,635.5,636.5,637.5,638.5,639.5,640.5,641.5,642.5,643.5,644.5,645.5,646.5,647.5,648.5,649.5,650.5,651.5,652.5,653.5,654.5,655.5,656.5,657.5,658.5,659.5,660.5,661.5,662.5,663.5,664.5,665.5,666.5,667.5,668.5,669.5,670.5,671.5,672.5,673.5,674.5,675.5,676.5,677.5,678.5,679.5,680.5,681.5,682.5,683.5,684.5,685.5,686.5,687.5,688.5,689.5,690.5,691.5,692.5,693.5,694.5,695.5,696.5,697.5,698.5,699.5,700.5,701.5,702.5,703.5,704.5,705.5,706.5,707.5,708.5,709.5,710.5,711.5,712.5,713.5,714.5,715.5,716.5,717.5,718.5,719.5,720.5,721.5,722.5,723.5,724.5,725.5,726.5,727.5,728.5,729.5,730.5,731.5,732.5,733.5,734.5,735.5,736.5,737.5,738.5,739.5,740.5,741.5,742.5,743.5,744.5,745.5,746.5,747.5,748.5,749.5,750.5,751.5,752.5,753.5,754.5,755.5,756.5,757.5,758.5,759.5,760.5,761.5,762.5,763.5,764.5,765.5,766.5,767.5,768.5,769.5,770.5,771.5,772.5,773.5,774.5,775.5,776.5,777.5,778.5,779.5,780.5,781.5,782.5,783.5,784.5,785.5,786.5,787.5,788.5,789.5,790.5,791.5,792.5,793.5,794.5,795.5,796.5,797.5,798.5,799.5,800.5,801.5,802.5,803.5,804.5,805.5,806.5,807.5,808.5,809.5,810.5,811.5,812.5,813.5,814.5,815.5,816.5,817.5,818.5,819.5,820.5,821.5,822.5,823.5,824.5,825.5,826.5,827.5,828.5,829.5,830.5,831.5,832.5,833.5,834.5,835.5,836.5,837.5,838.5,839.5,840.5,841.5,842.5,843.5,844.5,845.5,846.5,847.5,848.5,849.5,850.5,851.5,852.5,853.5,854.5,855.5,856.5,857.5,858.5,859.5,860.5,861.5,862.5,863.5,864.5,865.5,866.5,867.5,868.5,869.5,870.5,871.5,872.5,873.5,874.5,875.5,876.5,877.5,878.5,879.5,880.5,881.5,882.5,883.5,884.5,885.5,886.5,887.5,888.5,889.5,890.5,891.5,892.5,893.5,894.5,895.5,896.5,897.5,898.5,899.5,900.5,901.5,902.5,903.5,904.5,905.5,906.5,907.5,908.5,909.5,910.5,911.5,912.5,913.5,914.5,915.5,916.5,917.5,918.5,919.5,920.5,921.5,922.5,923.5,924.5,925.5,926.5,927.5,928.5,929.5,930.5,931.5,932.5,933.5,934.5,935.5,936.5,937.5,938.5,939.5,940.5,941.5,942.5,943.5,944.5,945.5,946.5,947.5,948.5,949.5,950.5,951.5,952.5,953.5,954.5,955.5,956.5,957.5,958.5,959.5,
(1 37253.65),(2 17830.682),(3 39736.66),(4 10354.927),(5 42773.895),(6 20982.12),(7 44237.863),(8 15836.078),(9 45609),(10 19722.295),(11 45911.74),(12 16155.825),(13 44820.55),(14 22705.967),(15 45393.168),(16 13794.438),(17 44908.83),(18 24416.672),(19 44798.76),(20 9492.944),(21 45075.285),(22 24680.553),(23 45202.605),(24 14633.003),(25 46421.39),(26 23961.227),(27 46749.26),(28 17865.273),(29 46841.24),(30 21515.186),(31 48767.76),(32 19467.494),(33 47550.84),(34 24905.104),(35 48191.066),(36 16794.895),(37 46973.043),(38 25635.584),(39 47085.566),(40 12157.629),(41 47206.156),(42 26261.04),(43 48134.656),(44 18363.787),(45 49223.27),(46 26012.99),(47 50533.12),(48 22658.361),(49 50492.24),(50 23837.766),(51 51460.88),(52 23007.078),(53 50161.3),(54 26714.479),(55 50808.543),(56 20735.768),(57 50093.254),(58 28327.541),(59 50975.047),(60 16779.29),(61 50934.098),(62 29170.693),(63 51563.004),(64 22490.479),(65 52476.5),(66 28362.615),(67 53473.035),(68 26421.99),(69 54180.668),(70 26623.146),(71 55574.605),(72 28073.805),(73 54847.656),(74 31179.338),(75 56062.324),(76 26770.229),(77 55943.906),(78 33856.8),(79 55757.754),
(1 969.91907),(2 1046.2894),(3 1362.492),(4 1428.6615),(5 1540.6106),(6 1650.4283),(7 1816.1809),(8 1752.0182),(9 1959.6077),(10 1357.8837),(11 1952.626),(12 1758.9529),(13 1846.4205),(14 1759.6936),(15 1755.7527),(16 1783.6687),(17 1884.5885),(18 1771.4176),(19 1925.8799),(20 1323.5334),(21 1954.8494),(22 1830.6265),(23 1949.8043),(24 1882.7305),(25 1875.8514),(26 1887.5167),(27 1971.9183),(28 1857.392),(29 2019.4795),(30 1465.554),(31 2042.3676),(32 1918.0032),(33 2030.2236),(34 1961.9487),(35 1954.0088),(36 1958.7194),(37 2028.7211),(38 1902.4364),(39 2026.829),(40 1475.1539),(41 2024.7369),(42 1903.9381),(43 2011.431),(44 1946.7164),(45 1935.1482),(46 1941.398),(47 2011.2537),(48 1890.8234),(49 2021.0057),(50 1518.0833),(51 2039.5898),(52 1931.8551),(53 2037.7909),(54 1984.9519),(55 1990.5721),(56 2015.0946),(57 2091.2778),(58 1987.6895),(59 2106.664),(60 1638.9583),(61 2122.313),(62 2030.9373),(63 2129.1238),(64 2081.549),(65 2083.7783),(66 2104.5676),(67 2173.4321),(68 2074.878),(69 2203.4192),(70 1782.6685),(71 2227.1462),(72 2124.7266),(73 2205.2048),(74 2141.6318),(75 2130.1067),(76 2131.395),(77 2182.2844),(78 2065.8354),(79 2171.9382),
(1 959.1392),(2 1032.0125),(3 1348.1576),(4 1405.6289),(5 1521.4255),(6 1620.1649),(7 1789.137),(8 1719.9069),(9 1926.5469),(10 1335.5018),(11 1922.6294),(12 1731.0109),(13 1821.1573),(14 1724.9087),(15 1733.3212),(16 1754.6969),(17 1865.6926),(18 1748.0156),(19 1897.0463),(20 1303.2455),(21 1923.8085),(22 1797.2063),(23 1920.6399),(24 1847.3748),(25 1852.007),(26 1858.3142),(27 1948.9194),(28 1833.7754),(29 1992.3971),(30 1450.7416),(31 2017.909),(32 1892.3662),(33 2003.7402),(34 1925.2932),(35 1921.316),(36 1915.0657),(37 1988.9879),(38 1862.1624),(39 1987.5217),(40 1450.3026),(41 1988.0463),(42 1865.903),(43 1979.3638),(44 1909.0563),(45 1911.5482),(46 1913.7275),(47 1990.1667),(48 1868.2566),(49 1994.0753),(50 1507.8978),(51 2018.7162),(52 1906.8743),(53 2017.5007),(54 1954.516),(55 1963.6803),(56 1976.3849),(57 2051.538),(58 1944.7848),(59 2062.559),(60 1612.6167),(61 2084.4282),(62 1994.3466),(63 2098.8213),(64 2044.5188),(65 2057.0342),(66 2072.6404),(67 2146.9119),(68 2049.8047),(69 2171.367),(70 1765.5084),(71 2192.4758),(72 2085.9617),(73 2171.7305),(74 2102.943),(75 2099.9182),(76 2098.0916),(77 2153.039),(78 2039.336),(79 2140.369),
(1 946.37024),(2 1020.1514),(3 1338.5015),(4 1392.5221),(5 1500.1327),(6 1601.8728),(7 1771.4326),(8 1694.7804),(9 1898.5148),(10 1311.9792),(11 1889.0371),(12 1699.9579),(13 1796.2582),(14 1699.7496),(15 1698.6198),(16 1721.1401),(17 1831.2864),(18 1712.2617),(19 1862.8672),(20 1273.1693),(21 1882.9429),(22 1762.1489),(23 1891.7567),(24 1818.4877),(25 1814.2648),(26 1822.291),(27 1913.8895),(28 1792.9496),(29 1950.7515),(30 1412.3652),(31 1971.7213),(32 1847.6968),(33 1965.3479),(34 1886.4753),(35 1879.4036),(36 1876.9207),(37 1956.5338),(38 1827.0972),(39 1950.9502),(40 1414.3628),(41 1942.1802),(42 1823.3651),(43 1938.566),(44 1865.6871),(45 1862.1095),(46 1864.392),(47 1942.3599),(48 1821.9962),(49 1951.7217),(50 1467.9744),(51 1970.9009),(52 1861.7098),(53 1976.4565),(54 1912.6129),(55 1916.4401),(56 1929.0903),(57 2007.8772),(58 1898.5709),(59 2016.7987),(60 1571.1613),(61 2040.3923),(62 1952.3937),(63 2060.2354),(64 2003.357),(65 2012.0791),(66 2027.45),(67 2104.7046),(68 2005.512),(69 2127.2168),(70 1722.1412),(71 2141.2295),(72 2035.0746),(73 2123.9219),(74 2056.9453),(75 2053.9197),(76 2051.575),(77 2106.7837),(78 1989.8802),(79 2090.011),
(1 932.3967),(2 998.3763),(3 1310.3569),(4 1358.6804),(5 1474.741),(6 1565.3315),(7 1736.0525),(8 1662.4362),(9 1866.584),(10 1288.9922),(11 1858.8694),(12 1670.1621),(13 1766.3344),(14 1662.9647),(15 1667.4229),(16 1680.189),(17 1789.5728),(18 1673.1432),(19 1819.515),(20 1244.1978),(21 1845.3925),(22 1723.2946),(23 1852.9618),(24 1777.8068),(25 1785.316),(26 1789.7557),(27 1882.7664),(28 1767.2151),(29 1919.0503),(30 1392.7571),(31 1938.6018),(32 1811.5465),(33 1929.4885),(34 1843.6549),(35 1846.2211),(36 1840.0774),(37 1914.9811),(38 1791.5354),(39 1910.8458),(40 1392.3898),(41 1909.9797),(42 1791.6101),(43 1907.4158),(44 1831.7725),(45 1838.8906),(46 1839.1589),(47 1915.8304),(48 1799.6879),(49 1921.6346),(50 1454.4119),(51 1940.0696),(52 1829.6754),(53 1942.9846),(54 1872.9885),(55 1884.8092),(56 1894.7808),(57 1970.4722),(58 1867.0115),(59 1976.6469),(60 1544.2866),(61 1994.7482),(62 1903.6469),(63 2012.5021),(64 1949.6553),(65 1968.6313),(66 1982.4811),(67 2056.1138),(68 1963.8807),(69 2079.9756),(70 1694.2179),(71 2100.5642),(72 1999.2203),(73 2090.2627),(74 2018.155),(75 2021.8081),(76 2014.4778),(77 2066.2698),(78 1957.5114),(79 2051.3943),
(1 916.2169),(2 984.1662),(3 1293.0051),(4 1334.4727),(5 1441.298),(6 1532.603),(7 1705.7004),(8 1632.0867),(9 1830.3212),(10 1263.7214),(11 1820.887),(12 1638),(13 1735.2253),(14 1631.9945),(15 1637.4589),(16 1652.5007),(17 1762.6904),(18 1644.3595),(19 1783.1145),(20 1222.9972),(21 1811.2496),(22 1693.6376),(23 1821.0992),(24 1741.5322),(25 1745.5458),(26 1751.766),(27 1846.9974),(28 1730.9462),(29 1875.7987),(30 1361.5032),(31 1893.184),(32 1772.1531),(33 1890.7244),(34 1806.7723),(35 1807.5872),(36 1804.5596),(37 1880.552),(38 1758.3518),(39 1872.8713),(40 1365.5371),(41 1870.1488),(42 1756.0741),(43 1872.0928),(44 1795.6357),(45 1798.2098),(46 1798.9913),(47 1877.3988),(48 1763.7607),(49 1881.443),(50 1425.7059),(51 1897.6493),(52 1790.6211),(53 1903.9),(54 1831.3804),(55 1842.3458),(56 1852.0715),(57 1928.3726),(58 1823.8512),(59 1928.0177),(60 1507.6782),(61 1945.8428),(62 1859.8945),(63 1968.8756),(64 1904.8079),(65 1924.0084),(66 1937.8887),(67 2013.8823),(68 1924.7976),(69 2033.2103),(70 1659.3267),(71 2051.1648),(72 1951.4392),(73 2041.2688),(74 1966.5747),(75 1971.191),(76 1967.479),(77 2020.871),(78 1915.3575),(79 2003.7826),
(1 902.9133),(2 970.51025),(3 1276.8766),(4 1313.4763),(5 1413.8218),(6 1509.9447),(7 1684.5446),(8 1608.6101),(9 1803.751),(10 1245.4688),(11 1794.1472),(12 1616.3871),(13 1713.809),(14 1607.1091),(15 1605.8837),(16 1624.6888),(17 1739.1393),(18 1624.7244),(19 1764.932),(20 1210.756),(21 1787.9722),(22 1674.0205),(23 1801.3611),(24 1717.8253),(25 1716.6805),(26 1724.3042),(27 1819.2645),(28 1703.8727),(29 1850.1017),(30 1347.7665),(31 1871.0771),(32 1753.4094),(33 1867.7103),(34 1778.497),(35 1775.0403),(36 1773.8025),(37 1851.4323),(38 1729.834),(39 1842.6056),(40 1345.3129),(41 1837.402),(42 1727.4653),(43 1842.8121),(44 1761.6212),(45 1760.103),(46 1765.0508),(47 1845.0211),(48 1736.3208),(49 1852.814),(50 1405.1647),(51 1865.8622),(52 1764.3793),(53 1874.9496),(54 1801.1674),(55 1808.6823),(56 1819.2263),(57 1894.5446),(58 1792.8435),(59 1895.7614),(60 1485.6338),(61 1917.0333),(62 1837.4952),(63 1944.9249),(64 1880.3197),(65 1895.1947),(66 1910.6031),(67 1982.6934),(68 1893.8737),(69 2001.6628),(70 1635.5107),(71 2015.4951),(72 1919.2743),(73 2008.003),(74 1932.8723),(75 1933.3777),(76 1929.9584),(77 1983.4369),(78 1882.1781),(79 1970.4052),
(1 887.56433),(2 949.84546),(3 1251.7025),(4 1285.5665),(5 1385.6577),(6 1479.9037),(7 1651.2314),(8 1576.1567),(9 1769.1783),(10 1217.0225),(11 1758.2639),(12 1583.5198),(13 1684.3419),(14 1578.1852),(15 1578.5109),(16 1593.8599),(17 1707.1863),(18 1595.0355),(19 1731.183),(20 1184.14),(21 1751.4387),(22 1635.8276),(23 1763.8073),(24 1680.502),(25 1681.9989),(26 1691.3894),(27 1786.4973),(28 1676.841),(29 1821.7247),(30 1327.677),(31 1844.864),(32 1723.1868),(33 1837.6359),(34 1748.769),(35 1744.108),(36 1739.6122),(37 1811.2432),(38 1692.8872),(39 1802.3807),(40 1307.8934),(41 1794.986),(42 1686.6826),(43 1803.9735),(44 1724.3198),(45 1726.0334),(46 1731.2057),(47 1807.9746),(48 1701.3765),(49 1813.7904),(50 1370.525),(51 1825.7227),(52 1724.1812),(53 1837.2632),(54 1762.4374),(55 1770.7515),(56 1782.4421),(57 1860.3235),(58 1763.3124),(59 1862.3905),(60 1455.9346),(61 1879.8853),(62 1795.7172),(63 1907.5973),(64 1839.6947),(65 1855.9402),(66 1868.3931),(67 1940.303),(68 1857.1351),(69 1962.134),(70 1600.5573),(71 1979.1107),(72 1883.3091),(73 1973.8136),(74 1895.9084),(75 1899.1868),(76 1898.2708),(77 1950.6986),(78 1850.881),(79 1933.9128),
(1 873.10016),(2 936.9102),(3 1236.9562),(4 1272.5187),(5 1363.5364),(6 1464.3041),(7 1629.8788),(8 1552.4493),(9 1742.6743),(10 1199.0232),(11 1729.8126),(12 1559.3977),(13 1658.0542),(14 1557.9991),(15 1550.1466),(16 1571.7852),(17 1681.4049),(18 1568.7462),(19 1703.5133),(20 1168.2053),(21 1724.5205),(22 1613.3356),(23 1738.7543),(24 1657.8622),(25 1647.6898),(26 1662.1893),(27 1754.5626),(28 1644.0259),(29 1786.6754),(30 1300.9178),(31 1807.9448),(32 1692.7395),(33 1809.8765),(34 1726.834),(35 1717.0891),(36 1717.9253),(37 1793.4344),(38 1676.5592),(39 1784.0497),(40 1300.9413),(41 1773.6337),(42 1664.3885),(43 1778.9148),(44 1702.6323),(45 1694.2094),(46 1701.8197),(47 1774.1315),(48 1667.983),(49 1779.5806),(50 1347.8271),(51 1792.4685),(52 1692.5337),(53 1805.0769),(54 1736.1451),(55 1736.3971),(56 1750.4126),(57 1825.3181),(58 1728.6951),(59 1827.2174),(60 1430.8937),(61 1842.9789),(62 1759.6727),(63 1866.8939),(64 1803.4564),(65 1815.7264),(66 1834.7279),(67 1905.5459),(68 1825.4103),(69 1930.6984),(70 1579.1204),(71 1945.3458),(72 1847.9368),(73 1935.9526),(74 1858.3651),(75 1853.656),(76 1850.8007),(77 1897.5402),(78 1802.9723),(79 1886.4541),
(1 856.2743),(2 920.36597),(3 1214.5492),(4 1252.2329),(5 1343.588),(6 1444.9086),(7 1607.9398),(8 1535.1448),(9 1716.9668),(10 1185.7465),(11 1703.518),(12 1536.6257),(13 1633.1338),(14 1535.6129),(15 1527.5085),(16 1548.4014),(17 1651.2335),(18 1543.3578),(19 1669.8821),(20 1147.6567),(21 1692.9147),(22 1584.275),(23 1707.5613),(24 1631.032),(25 1623.8937),(26 1641.758),(27 1728.1898),(28 1624.0698),(29 1757.761),(30 1285.2598),(31 1778.2357),(32 1665.0001),(33 1777.489),(34 1693.9695),(35 1684.5563),(36 1689.4764),(37 1760.1177),(38 1650.9949),(39 1752.4893),(40 1284.7466),(41 1743.7063),(42 1639.086),(43 1746.7183),(44 1671.6143),(45 1666.062),(46 1677.2354),(47 1745.8408),(48 1648.9004),(49 1757.4613),(50 1339.9932),(51 1769.7764),(52 1673.2268),(53 1778.8337),(54 1709.3218),(55 1708.0764),(56 1720.1201),(57 1785.4191),(58 1696.4152),(59 1789.4275),(60 1407.4784),(61 1805.3585),(62 1724.825),(63 1828.019),(64 1767.1683),(65 1777.7297),(66 1797.5342),(67 1863.2968),(68 1792.0922),(69 1890.8202),(70 1553.8716),(71 1904.1012),(72 1811.0591),(73 1894.3331),(74 1821.1776),(75 1814.0618),(76 1813.8658),(77 1858.9337),(78 1773.8956),(79 1852.3665),
(1 844.72003),(2 908.98755),(3 1193.8923),(4 1228.8927),(5 1307.2888),(6 1409.3704),(7 1568.1495),(8 1500.4003),(9 1681.9164),(10 1156.8987),(11 1669.0149),(12 1504.0079),(13 1595.9352),(14 1500.3546),(15 1485.8448),(16 1512.5652),(17 1610.6046),(18 1503.8358),(19 1624.5992),(20 1109.896),(21 1647.9491),(22 1543.434),(23 1664.7393),(24 1591.5265),(25 1578.8331),(26 1602.9287),(27 1687.6005),(28 1588.0693),(29 1718.7806),(30 1251.5164),(31 1737.3252),(32 1626.2946),(33 1736.0183),(34 1655.352),(35 1638.5718),(36 1650.441),(37 1720.99),(38 1614.7894),(39 1713.549),(40 1254.0393),(41 1706.6077),(42 1605.8114),(43 1711.6736),(44 1638.1841),(45 1625.2316),(46 1638.8243),(47 1704.6147),(48 1610.0396),(49 1713.6276),(50 1300.9244),(51 1722.992),(52 1623.8884),(53 1725.6053),(54 1657.3446),(55 1655.3738),(56 1674.7609),(57 1742.4004),(58 1655.9215),(59 1746.8132),(60 1370.2582),(61 1764.1669),(62 1684.8994),(63 1787.8865),(64 1724.2794),(65 1730.1218),(66 1749.2572),(67 1811.6633),(68 1743.3712),(69 1838.1426),(70 1505.0085),(71 1847.4092),(72 1753.9877),(73 1837.5582),(74 1766.4636),(75 1762.4978),(76 1767.9545),(77 1811.1035),(78 1729.4832),(79 1806.3665),
(1 835.6112),(2 896.4735),(3 1183.1067),(4 1220.6476),(5 1295.6683),(6 1402.5703),(7 1558.7499),(8 1486.9211),(9 1666.0616),(10 1143.3925),(11 1652.2202),(12 1491.9363),(13 1586.8663),(14 1494.1132),(15 1475.6295),(16 1504.8613),(17 1601.6387),(18 1495.9996),(19 1617.3389),(20 1105.628),(21 1638.9563),(22 1535.6788),(23 1656.8514),(24 1586.3276),(25 1570.0676),(26 1595.1987),(27 1676.9736),(28 1576.3344),(29 1707.9796),(30 1243.6393),(31 1724.842),(32 1616.883),(33 1729.2218),(34 1655.3373),(35 1636.4824),(36 1649.1321),(37 1715.1046),(38 1607.4418),(39 1703.4849),(40 1243.2583),(41 1690.3901),(42 1592.8281),(43 1700.1691),(44 1630.0071),(45 1613.316),(46 1628.4403),(47 1692.4525),(48 1597.2897),(49 1702.9619),(50 1290.2246),(51 1708.6115),(52 1618.0234),(53 1722.4766),(54 1658.4392),(55 1651.1794),(56 1670.8805),(57 1736.1278),(58 1648.8278),(59 1740.4208),(60 1359.2228),(61 1751.7672),(62 1677.7659),(63 1780.0778),(64 1722.1759),(65 1724.8073),(66 1743.4785),(67 1804.2006),(68 1733.1517),(69 1829.1699),(70 1493.3002),(71 1836.6655),(72 1749.9229),(73 1830.8961),(74 1762.9095),(75 1751.2153),(76 1754.3085),(77 1797.7285),(78 1714.3086),(79 1794.5004),
(1 817.9674),(2 882.9267),(3 1159.7473),(4 1197.1243),(5 1264.9475),(6 1375.811),(7 1526.1108),(8 1460.2345),(9 1630.81),(10 1121.753),(11 1618.1241),(12 1466.2534),(13 1558.1554),(14 1469.7369),(15 1447.5536),(16 1482.2844),(17 1574.5331),(18 1474.939),(19 1589.1073),(20 1091.5538),(21 1608.0144),(22 1509.9727),(23 1624.857),(24 1557.7188),(25 1538.0422),(26 1568.1711),(27 1646.6937),(28 1556.8104),(29 1683.7762),(30 1233.7926),(31 1701.6226),(32 1597.1992),(33 1703.0646),(34 1628.4402),(35 1604.6969),(36 1619.935),(37 1682.4393),(38 1583.9039),(39 1675.3351),(40 1230.4542),(41 1664.845),(42 1569.0321),(43 1671.837),(44 1608.6447),(45 1588.307),(46 1607.6273),(47 1667.2129),(48 1579.7144),(49 1675.5371),(50 1272.9956),(51 1677.2047),(52 1588.875),(53 1687.7671),(54 1626.9929),(55 1613.0652),(56 1633.7418),(57 1691.3718),(58 1612.3109),(59 1701.37),(60 1335.9628),(61 1715.1583),(62 1640.8716),(63 1739.0199),(64 1684.4847),(65 1683.623),(66 1705.8516),(67 1762.7065),(68 1701.7225),(69 1790.2638),(70 1467.5742),(71 1799.9686),(72 1715.2833),(73 1793.3395),(74 1729.5197),(75 1713.914),(76 1721.66),(77 1758.7813),(78 1684.7708),(79 1758.3282),
(1 805.22296),(2 869.0694),(3 1140.2755),(4 1182.6255),(5 1238.5739),(6 1355.3928),(7 1498.7754),(8 1435.6974),(9 1605.2953),(10 1103.9224),(11 1593.0884),(12 1445.0459),(13 1532.1338),(14 1449.3561),(15 1418.6296),(16 1461.3455),(17 1549.2513),(18 1453.5553),(19 1564.512),(20 1074.6609),(21 1581.1208),(22 1484.4512),(23 1592.9286),(24 1531.2313),(25 1502.4565),(26 1540.1229),(27 1612.5376),(28 1523.7535),(29 1648.5317),(30 1204.7258),(31 1666.898),(32 1566.4172),(33 1669.4467),(34 1603.4456),(35 1575.6322),(36 1598.4193),(37 1658.3766),(38 1562.9928),(39 1655.5823),(40 1219.2394),(41 1643.8008),(42 1547.6793),(43 1642.1932),(44 1580.3293),(45 1552.2997),(46 1576.5676),(47 1630.1779),(48 1545.0238),(49 1642.5289),(50 1244.4811),(51 1641.4921),(52 1558.0161),(53 1653.4949),(54 1598.614),(55 1580.1576),(56 1605.9818),(57 1664.4108),(58 1586.9017),(59 1676.2589),(60 1315.3461),(61 1682.9552),(62 1611.9769),(63 1705.471),(64 1656.3951),(65 1648.8871),(66 1675.4592),(67 1729.8142),(68 1669.9904),(69 1759.8848),(70 1439.8217),(71 1763.4573),(72 1679.9033),(73 1751.0686),(74 1691.792),(75 1671.3269),(76 1682.4443),(77 1718.7677),(78 1648.5189),(79 1723.1564),
