1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 54910.77),(2 199668.94),(3 438124.16),(4 764332.5),(5 1143596.4),(6 1601880.4),(7 2101951.8),(8 2658822),(9 3231284),(10 3820325),(11 4397629.5),(12 5007813),(13 5634677.5),(14 6237806.5),(15 6862676),(16 7507356.5),(17 8187842.5),(18 8910620),(19 9614986),(20 10362171),(21 11121227),(22 11859673),(23 12695293),(24 13382300),(25 14075119),(26 14777795),(27 15472561),(28 16165321),(29 16788862),(30 17454102),(31 18146918),(32 18914810),(33 19721438),(34 20625320),(35 21617458),(36 22667338),(37 23798402),(38 25109768),(39 26450864),(40 27890454),(41 29433866),(42 31153646),(43 33012912),(44 34913308),(45 36977436),(46 39083844),(47 41437692),(48 44048336),(49 46756860),(50 49621390),(51 52666400),(52 55698828),(53 59267504),(54 62591980),(55 65957652),(56 69315540),(57 72771864),(58 76304904),(59 79766360),(60 83103816),(61 86842280),(62 90593240),(63 94301864),(64 98064504),(65 101833280),(66 105659880),(67 109666216),(68 113863420),(69 117762850),(70 121714470),(71 125774840),(72 129820280),(73 133383910),(74 136595570),(75 140059900),(76 143449470),(77 146835460),(78 150226740),(79 153819120),
(1 42432.227),(2 154720.61),(3 323009.44),(4 551054.4),(5 837149.5),(6 1176893.9),(7 1559238),(8 2011604.6),(9 2485214.5),(10 2982206.5),(11 3498412.8),(12 4037192),(13 4604313),(14 5181123),(15 5759705),(16 6368727),(17 6998584),(18 7686368),(19 8410060),(20 9198110),(21 10033026),(22 10883262),(23 11832195),(24 12769338),(25 13748602),(26 14782466),(27 15898323),(28 17049308),(29 18161654),(30 19259014),(31 20373984),(32 21518414),(33 22736994),(34 24054592),(35 25453916),(36 26959792),(37 28565968),(38 30337722),(39 32167942),(40 34099796),(41 36037396),(42 37982784),(43 40079020),(44 42178824),(45 44300180),(46 46392204),(47 48615444),(48 50884864),(49 53156684),(50 55477460),(51 57867252),(52 60283240),(53 62943540),(54 65507670),(55 67911040),(56 70496870),(57 73055496),(58 75544140),(59 77920424),(60 80212584),(61 82722570),(62 85190510),(63 87597180),(64 89891860),(65 92054310),(66 94202540),(67 96430570),(68 98600520),(69 100686420),(70 102748110),(71 104753090),(72 106952910),(73 108647060),(74 110092100),(75 111510504),(76 112766680),(77 113653800),(78 114566530),(79 115410600),
(1 41762.395),(2 154772.81),(3 339884.22),(4 603233.44),(5 917485),(6 1291639.9),(7 1732691.4),(8 2268601.3),(9 2873514.8),(10 3513048),(11 4221875.5),(12 5007192.5),(13 5825961.5),(14 6729983.5),(15 7706775.5),(16 8711721),(17 9766679),(18 10880125),(19 12079273),(20 13341835),(21 14631901),(22 15953413),(23 17313480),(24 18633632),(25 19935790),(26 21252314),(27 22630230),(28 24055328),(29 25436320),(30 26762136),(31 28023894),(32 29317888),(33 30722032),(34 32085838),(35 33484976),(36 34876388),(37 36299444),(38 37737580),(39 39251140),(40 40862764),(41 42430428),(42 43981188),(43 45567156),(44 47085680),(45 48603052),(46 50068430),(47 51546004),(48 53022770),(49 54445884),(50 55843884),(51 57216096),(52 58561676),(53 59971244),(54 61279916),(55 62408556),(56 63692428),(57 64834068),(58 65843572),(59 66869556),(60 67810890),(61 68869220),(62 69902870),(63 70782184),(64 71601016),(65 72236340),(66 72695930),(67 73162920),(68 73449336),(69 73764220),(70 73973176),(71 73990600),(72 74058950),(73 73939130),(74 73681440),(75 73269896),(76 72780470),(77 72077200),(78 71348616),(79 70547544),
(1 69855.41),(2 268544.94),(3 603866.7),(4 1081532.9),(5 1672909.8),(6 2368171),(7 3175367),(8 4106149.3),(9 5131252.5),(10 6219623.5),(11 7361850),(12 8581612),(13 9866776),(14 11254195),(15 12724748),(16 14247090),(17 15815963),(18 17426594),(19 19071324),(20 20735736),(21 22391378),(22 24027826),(23 25622518),(24 27123058),(25 28521458),(26 29855524),(27 31125930),(28 32360728),(29 33504086),(30 34583956),(31 35649708),(32 36690330),(33 37812530),(34 38920176),(35 39985610),(36 40949324),(37 41864988),(38 42710064),(39 43452656),(40 44133424),(41 44723250),(42 45244652),(43 45751920),(44 46275436),(45 46820920),(46 47310736),(47 47814270),(48 48250188),(49 48646410),(50 48939200),(51 49164652),(52 49279344),(53 49315948),(54 49194676),(55 48940430),(56 48694492),(57 48374316),(58 47974090),(59 47561730),(60 47205424),(61 46827890),(62 46447500),(63 46023104),(64 45572870),(65 45016628),(66 44380120),(67 43757796),(68 43244296),(69 42706256),(70 42221590),(71 41720164),(72 41279730),(73 40861764),(74 40516980),(75 40157852),(76 39897916),(77 39622250),(78 39402440),(79 39270464),
(1 61582.1),(2 233645.77),(3 515988.38),(4 908070.4),(5 1390948.1),(6 1954894.8),(7 2598217.8),(8 3318880.8),(9 4102392.8),(10 4940300.5),(11 5817628.5),(12 6763195),(13 7775955),(14 8864801),(15 10032596),(16 11249433),(17 12495741),(18 13793713),(19 15118630),(20 16492655),(21 17902316),(22 19336242),(23 20793442),(24 22195544),(25 23530278),(26 24863512),(27 26160122),(28 27472222),(29 28774834),(30 30076096),(31 31377474),(32 32693784),(33 34096868),(34 35500690),(35 36847770),(36 38135012),(37 39348500),(38 40521532),(39 41590588),(40 42599224),(41 43485948),(42 44256900),(43 45057868),(44 45857550),(45 46702004),(46 47564388),(47 48440344),(48 49274176),(49 50063452),(50 50833130),(51 51485516),(52 52111696),(53 52682436),(54 53103410),(55 53471452),(56 53894064),(57 54260224),(58 54575364),(59 54846044),(60 55142156),(61 55407140),(62 55627292),(63 55856336),(64 56024936),(65 56053936),(66 55938404),(67 55760500),(68 55619216),(69 55379420),(70 55129904),(71 54739644),(72 54388164),(73 53976790),(74 53505212),(75 53022604),(76 52577292),(77 52094324),(78 51604224),(79 51141620),
(1 68099.89),(2 266899.03),(3 597283.4),(4 1038404.7),(5 1573262.8),(6 2212424),(7 2928596.8),(8 3740631.3),(9 4614953),(10 5538173),(11 6524995),(12 7583995),(13 8694994),(14 9873614),(15 11119622),(16 12391026),(17 13747181),(18 15171493),(19 16631917),(20 18161338),(21 19712026),(22 21267848),(23 22844244),(24 24341076),(25 25736490),(26 27127302),(27 28458138),(28 29836196),(29 31208692),(30 32552640),(31 33844148),(32 35130630),(33 36416372),(34 37671056),(35 38941350),(36 40154060),(37 41285100),(38 42474676),(39 43560104),(40 44609676),(41 45549056),(42 46383060),(43 47246428),(44 47988188),(45 48782176),(46 49524444),(47 50202090),(48 50793864),(49 51292268),(50 51744936),(51 52064556),(52 52355372),(53 52627800),(54 52849252),(55 53021772),(56 53200700),(57 53316580),(58 53423212),(59 53551590),(60 53707508),(61 53791010),(62 53843224),(63 53933876),(64 54033760),(65 54117556),(66 54087970),(67 53941950),(68 53763936),(69 53498696),(70 53160468),(71 52778496),(72 52344200),(73 51880380),(74 51408452),(75 50853150),(76 50271308),(77 49650460),(78 49022230),(79 48422540),
(1 58018.664),(2 215485.58),(3 466252.44),(4 793975.44),(5 1188968.3),(6 1640637.9),(7 2140464),(8 2690325.5),(9 3273541.3),(10 3898183),(11 4571252.5),(12 5311330.5),(13 6092748.5),(14 6926174),(15 7781713),(16 8648199),(17 9564007),(18 10494329),(19 11435856),(20 12398534),(21 13374047),(22 14327809),(23 15269403),(24 16187462),(25 17056066),(26 17904348),(27 18721726),(28 19536436),(29 20331714),(30 21082898),(31 21791082),(32 22463262),(33 23134492),(34 23735168),(35 24264148),(36 24738258),(37 25131208),(38 25506596),(39 25806308),(40 26020312),(41 26205026),(42 26288866),(43 26395026),(44 26457462),(45 26532882),(46 26620668),(47 26714076),(48 26839544),(49 26984152),(50 27164670),(51 27374496),(52 27590680),(53 27827638),(54 28039662),(55 28250114),(56 28525270),(57 28859480),(58 29208662),(59 29545524),(60 29871094),(61 30180786),(62 30465358),(63 30747254),(64 30990710),(65 31236990),(66 31429644),(67 31566072),(68 31676832),(69 31741316),(70 31728714),(71 31621682),(72 31470732),(73 31203284),(74 30912340),(75 30606402),(76 30330486),(77 29981046),(78 29623606),(79 29290268),
(1 60362.35),(2 227942.5),(3 494642.7),(4 847326.9),(5 1275227.5),(6 1770176.4),(7 2328327),(8 2962836.5),(9 3655579.3),(10 4399458.5),(11 5217432),(12 6090575.5),(13 6983560.5),(14 7916645.5),(15 8855653),(16 9795711),(17 10739907),(18 11683452),(19 12606367),(20 13524531),(21 14428697),(22 15290843),(23 16133427),(24 16930442),(25 17637062),(26 18284552),(27 18844916),(28 19333434),(29 19766796),(30 20172038),(31 20517082),(32 20801518),(33 21086460),(34 21311796),(35 21491670),(36 21651708),(37 21771226),(38 21908170),(39 22019048),(40 22140318),(41 22255722),(42 22312890),(43 22374524),(44 22440256),(45 22503476),(46 22544286),(47 22603020),(48 22640550),(49 22695426),(50 22784150),(51 22831304),(52 22870550),(53 22857510),(54 22789194),(55 22665644),(56 22528474),(57 22367948),(58 22171418),(59 21931106),(60 21670938),(61 21370148),(62 21083796),(63 20773096),(64 20489356),(65 20175342),(66 19838118),(67 19483866),(68 19126034),(69 18786106),(70 18460342),(71 18117342),(72 17796394),(73 17490634),(74 17218130),(75 17008704),(76 16869750),(77 16760743),(78 16716177),(79 16705907),
(1 52376.227),(2 194878.33),(3 420083.4),(4 726612.1),(5 1109213.9),(6 1551374.3),(7 2048757.1),(8 2618230.5),(9 3227053.3),(10 3888509.8),(11 4598706.5),(12 5339546),(13 6103656),(14 6882799),(15 7663420.5),(16 8429879),(17 9195009),(18 9953587),(19 10717037),(20 11489917),(21 12245560),(22 13025372),(23 13791495),(24 14516996),(25 15181695),(26 15806152),(27 16344582),(28 16865992),(29 17301298),(30 17705016),(31 18082896),(32 18425968),(33 18763444),(34 19041752),(35 19268200),(36 19435160),(37 19572938),(38 19640520),(39 19639422),(40 19615436),(41 19516684),(42 19331718),(43 19157714),(44 18972228),(45 18779354),(46 18605282),(47 18438498),(48 18276752),(49 18095266),(50 17926834),(51 17749788),(52 17566510),(53 17359118),(54 17075416),(55 16736900),(56 16425404),(57 16096666),(58 15728136),(59 15381357),(60 15045203),(61 14760322),(62 14524036),(63 14328279),(64 14191003),(65 14041459),(66 13873209),(67 13713860),(68 13519744),(69 13309461),(70 13095389),(71 12892005),(72 12693604),(73 12503977),(74 12362874),(75 12266202),(76 12203394),(77 12162431),(78 12157876),(79 12142296),
(1 57845.098),(2 217337.17),(3 462486.38),(4 781965.06),(5 1162129.8),(6 1586135.5),(7 2041288.9),(8 2531987),(9 3037270.3),(10 3564243.5),(11 4109789.3),(12 4664568.5),(13 5205870),(14 5732442),(15 6226444.5),(16 6700011.5),(17 7152552),(18 7567951),(19 7965539.5),(20 8355728),(21 8704663),(22 9063851),(23 9406366),(24 9710296),(25 9953256),(26 10172581),(27 10364196),(28 10530460),(29 10687801),(30 10819636),(31 10957390),(32 11127056),(33 11290697),(34 11457553),(35 11611055),(36 11761540),(37 11900245),(38 12012473),(39 12069620),(40 12122325),(41 12140162),(42 12120659),(43 12117501),(44 12128038),(45 12131928),(46 12162961),(47 12203289),(48 12268304),(49 12307298),(50 12327047),(51 12348276),(52 12348274),(53 12361317),(54 12348795),(55 12315954),(56 12261552),(57 12184276),(58 12072897),(59 11969920),(60 11884530),(61 11819649),(62 11796492),(63 11789236),(64 11817815),(65 11833267),(66 11854708),(67 11905844),(68 11957172),(69 12007180),(70 12080839),(71 12168235),(72 12290348),(73 12424309),(74 12558270),(75 12685444),(76 12798892),(77 12893556),(78 12990574),(79 13108490),
(1 53940.3),(2 194917.14),(3 406461.56),(4 673312.94),(5 981044.1),(6 1322329.1),(7 1686305.6),(8 2065072),(9 2463890),(10 2873902.3),(11 3301994),(12 3733608.5),(13 4160858.3),(14 4576245.5),(15 4971753),(16 5359428),(17 5741840),(18 6123849.5),(19 6518363),(20 6917020.5),(21 7312705),(22 7731435.5),(23 8174904.5),(24 8598071),(25 9017673),(26 9445382),(27 9918451),(28 10423288),(29 10965240),(30 11523876),(31 12117984),(32 12734001),(33 13360826),(34 13956920),(35 14520898),(36 15088817),(37 15609804),(38 16077186),(39 16448049),(40 16765508),(41 17037406),(42 17265300),(43 17462776),(44 17611248),(45 17721790),(46 17798352),(47 17867810),(48 17898534),(49 17889376),(50 17812912),(51 17697086),(52 17524438),(53 17282854),(54 16994232),(55 16702238),(56 16394895),(57 16068757),(58 15744726),(59 15467700),(60 15234616),(61 15036294),(62 14888109),(63 14785254),(64 14725566),(65 14710079),(66 14739345),(67 14785751),(68 14874105),(69 14963703),(70 15086405),(71 15235175),(72 15408202),(73 15589432),(74 15765646),(75 15924326),(76 16069391),(77 16161619),(78 16239755),(79 16316096),
