1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 24021.025),(2 67406.37),(3 146665.05),(4 222403.92),(5 311220.47),(6 389519.78),(7 482678.34),(8 583445.25),(9 656940.56),(10 742884.06),(11 818898),(12 878947.3),(13 963662),(14 1060095),(15 1153870.4),(16 1273446.6),(17 1403069.5),(18 1513924.6),(19 1637721),(20 1774973.9),(21 1899290.9),(22 2051377.9),(23 2217912.3),(24 2413265.3),(25 2685420.8),(26 3033677.3),(27 3593776.8),(28 4760955),(29 5391640.5),(30 6098771.5),(31 6887438),(32 7622006),(33 8366656.5),(34 9209178),(35 9874670),(36 10643764),(37 11467804),(38 12109420),(39 12845360),(40 13610468),(41 14175700),(42 14850892),(43 15571951),(44 16124779),(45 16777836),(46 17455864),(47 17906236),(48 18375192),(49 18574680),(50 18695702),(51 18874566),(52 19057706),(53 19417862),(54 19659914),(55 19905542),(56 20078674),(57 20218790),(58 20448298),(59 20531666),(60 20744710),(61 21020446),(62 21169770),(63 21428590),(64 21742352),(65 21910856),(66 22214262),(67 22582446),(68 22801486),(69 23098686),(70 23439606),(71 23574208),(72 23818838),(73 24032202),(74 24043154),(75 24184274),(76 24324322),(77 24399046),(78 24791616),(79 24891982),
(1 18965.959),(2 59379.137),(3 123433.1),(4 197241.98),(5 277469),(6 361115.88),(7 449174.75),(8 538072.75),(9 624646.8),(10 712855.06),(11 802028.5),(12 888646.4),(13 980714.4),(14 1069792),(15 1162141.6),(16 1264447.4),(17 1370185.3),(18 1483395),(19 1589376.5),(20 1709427.4),(21 1819804.8),(22 1926237),(23 2031684.3),(24 2126409.5),(25 2227242.8),(26 2346344.8),(27 2513434.5),(28 2769047.3),(29 2985529.3),(30 3215951.3),(31 3462431.5),(32 3741229.3),(33 3998569.3),(34 4302284.5),(35 4565541.5),(36 4864000.5),(37 5158658),(38 5425507),(39 5654089),(40 5895473.5),(41 6121892),(42 6345881),(43 6575805),(44 6811759),(45 7030318.5),(46 7287681),(47 7478651),(48 7701525),(49 7892576),(50 8081000),(51 8274894.5),(52 8458914),(53 8665494),(54 8837490),(55 9013345),(56 9205627),(57 9390214),(58 9574752),(59 9781523),(60 10035051),(61 10307822),(62 10567213),(63 10830721),(64 11153694),(65 11404987),(66 11701678),(67 11960810),(68 12173330),(69 12401670),(70 12612634),(71 12781762),(72 12938555),(73 13098457),(74 13210920),(75 13362370),(76 13501394),(77 13635426),(78 13824704),(79 13949565),
(1 21359.594),(2 73445.57),(3 164500.23),(4 275489.47),(5 404724.03),(6 552925.3),(7 716803.8),(8 895015.8),(9 1080880.4),(10 1273587.4),(11 1486160.6),(12 1702680),(13 1944508.1),(14 2200326.8),(15 2475631),(16 2763003.8),(17 3069189),(18 3385218.8),(19 3711782),(20 4038842),(21 4373762.5),(22 4716262.5),(23 5056576.5),(24 5377246.5),(25 5696120),(26 6022932.5),(27 6345084),(28 6644852.5),(29 6941194),(30 7237432),(31 7551372),(32 7850993.5),(33 8137124),(34 8460846),(35 8729642),(36 9016765),(37 9266899),(38 9498256),(39 9676492),(40 9848221),(41 9987825),(42 10116899),(43 10235293),(44 10340009),(45 10445407),(46 10549190),(47 10632811),(48 10765285),(49 10900240),(50 11041685),(51 11196267),(52 11369829),(53 11618287),(54 11813604),(55 12029869),(56 12248156),(57 12462371),(58 12677532),(59 12875056),(60 13120455),(61 13316488),(62 13526531),(63 13719941),(64 13923632),(65 14099224),(66 14280701),(67 14410280),(68 14521507),(69 14606696),(70 14661331),(71 14745549),(72 14810651),(73 14891589),(74 14933275),(75 15006421),(76 15044449),(77 15089880),(78 15182393),(79 15226705),
(1 21866.254),(2 75461.79),(3 173126.22),(4 283806.88),(5 415373.16),(6 564930.75),(7 733766.5),(8 916171.5),(9 1115284.5),(10 1325912.9),(11 1557155.4),(12 1805777.3),(13 2075000.5),(14 2368154.3),(15 2679797),(16 3000265.3),(17 3330154.5),(18 3664429),(19 3997888),(20 4327341.5),(21 4660741.5),(22 5000055),(23 5325075.5),(24 5654762.5),(25 5951031.5),(26 6281028.5),(27 6588298),(28 6903142.5),(29 7204412.5),(30 7499773.5),(31 7793900.5),(32 8097186),(33 8388038),(34 8691652),(35 8949997),(36 9218965),(37 9442307),(38 9646306),(39 9833684),(40 10010853),(41 10162599),(42 10315878),(43 10466846),(44 10613192),(45 10752588),(46 10908225),(47 11031434),(48 11162988),(49 11276903),(50 11389502),(51 11488103),(52 11606015),(53 11749452),(54 11880522),(55 12014882),(56 12154691),(57 12295511),(58 12439241),(59 12594285),(60 12771796),(61 12954971),(62 13158806),(63 13381074),(64 13585318),(65 13787514),(66 14001820),(67 14232340),(68 14474172),(69 14704416),(70 14941323),(71 15162034),(72 15385234),(73 15612933),(74 15796512),(75 16018361),(76 16215540),(77 16424695),(78 16641202),(79 16850244),
(1 20101.352),(2 66927.23),(3 142690.67),(4 231281.48),(5 333479.16),(6 446107.9),(7 573198.44),(8 710301.5),(9 863976.56),(10 1030085.75),(11 1220484.6),(12 1417499.1),(13 1630413.9),(14 1863182),(15 2104656.8),(16 2350019),(17 2604835.3),(18 2859713.3),(19 3119458.3),(20 3383706.3),(21 3656241.5),(22 3955894.5),(23 4243591.5),(24 4546534.5),(25 4841896.5),(26 5163479),(27 5464466),(28 5791397.5),(29 6119286),(30 6438420.5),(31 6762196.5),(32 7089550.5),(33 7404904),(34 7733985.5),(35 8029287.5),(36 8331960),(37 8616330),(38 8879366),(39 9129835),(40 9374865),(41 9607098),(42 9850386),(43 10066967),(44 10256690),(45 10451740),(46 10645834),(47 10806028),(48 10980212),(49 11131367),(50 11275308),(51 11426577),(52 11563503),(53 11679888),(54 11806911),(55 11925601),(56 12040849),(57 12172995),(58 12292032),(59 12390250),(60 12511065),(61 12618023),(62 12740151),(63 12885068),(64 12996385),(65 13107059),(66 13231713),(67 13352579),(68 13475398),(69 13597135),(70 13723401),(71 13812803),(72 13899645),(73 13978956),(74 14046522),(75 14116561),(76 14174823),(77 14242124),(78 14286192),(79 14320511),
(1 18750.33),(2 61394.57),(3 130719.06),(4 208072.33),(5 295239.53),(6 388954.75),(7 493491.4),(8 607475.3),(9 737339.06),(10 879620),(11 1039121.6),(12 1215022.8),(13 1401561.1),(14 1602430.5),(15 1825849),(16 2048433.3),(17 2291163.5),(18 2528580.8),(19 2777049.3),(20 3014816.8),(21 3263305.5),(22 3528530),(23 3790264.8),(24 4045470.8),(25 4295477.5),(26 4549234.5),(27 4800373),(28 5067765.5),(29 5362250.5),(30 5663117.5),(31 5973521),(32 6284398),(33 6593797),(34 6908216),(35 7212831),(36 7506219),(37 7796771),(38 8064872),(39 8313662.5),(40 8566890),(41 8803576),(42 9044774),(43 9285679),(44 9508518),(45 9714274),(46 9916090),(47 10144146),(48 10359508),(49 10575418),(50 10784042),(51 10963113),(52 11123764),(53 11300433),(54 11416546),(55 11520350),(56 11619542),(57 11701790),(58 11770754),(59 11838634),(60 11909402),(61 11971386),(62 12040574),(63 12094264),(64 12143846),(65 12218515),(66 12269510),(67 12327378),(68 12381011),(69 12435764),(70 12472561),(71 12494514),(72 12497595),(73 12503926),(74 12483174),(75 12447631),(76 12404970),(77 12372217),(78 12373119),(79 12345756),
(1 17718.326),(2 57963.5),(3 126432.16),(4 203926.11),(5 294452.88),(6 396196.56),(7 512118),(8 639406.25),(9 774848.3),(10 922612.9),(11 1081239.5),(12 1243262.8),(13 1420230.3),(14 1605448.8),(15 1800185.4),(16 1993476.6),(17 2198368),(18 2401901.8),(19 2615791.8),(20 2816819),(21 3034398.5),(22 3265836.5),(23 3502566.8),(24 3744632.5),(25 3984079.8),(26 4241966),(27 4492806.5),(28 4755016.5),(29 5049591),(30 5374559),(31 5699536),(32 6036471),(33 6377916.5),(34 6721407),(35 7080941),(36 7444383.5),(37 7800938),(38 8152730.5),(39 8492400),(40 8846253),(41 9189288),(42 9526089),(43 9867154),(44 10191342),(45 10478475),(46 10774798),(47 11059280),(48 11351754),(49 11617771),(50 11861791),(51 12059120),(52 12240725),(53 12427490),(54 12558937),(55 12668988),(56 12769244),(57 12849727),(58 12925665),(59 12991263),(60 13057678),(61 13097007),(62 13108949),(63 13119577),(64 13107920),(65 13110721),(66 13094225),(67 13074090),(68 13034423),(69 12983249),(70 12928112),(71 12854364),(72 12773637),(73 12689191),(74 12560837),(75 12423234),(76 12291111),(77 12151984),(78 12028735),(79 11895932),
(1 17430.973),(2 56898.418),(3 122527.33),(4 195199.77),(5 272992.7),(6 360248.06),(7 456093.2),(8 567411.9),(9 686245.44),(10 812761.3),(11 945396.94),(12 1086195.5),(13 1228009.8),(14 1374642),(15 1524093.9),(16 1663454.9),(17 1797917.9),(18 1923028.5),(19 2050787.3),(20 2168425),(21 2290350.3),(22 2412078.8),(23 2536206.8),(24 2651031.8),(25 2771239.5),(26 2882977.3),(27 3000556.8),(28 3126322.5),(29 3256087.8),(30 3409125.5),(31 3553585),(32 3697192.3),(33 3850229.8),(34 4012071.3),(35 4181541.3),(36 4351033.5),(37 4525549.5),(38 4714880.5),(39 4900388.5),(40 5100152.5),(41 5292255),(42 5484578.5),(43 5682128),(44 5864750),(45 6041682),(46 6222027),(47 6396990),(48 6578903.5),(49 6735928.5),(50 6882488),(51 7007704.5),(52 7117352.5),(53 7243277.5),(54 7319162),(55 7379568),(56 7417231),(57 7439314),(58 7454969.5),(59 7449511),(60 7438256.5),(61 7413379.5),(62 7371550),(63 7330359.5),(64 7277652.5),(65 7226335.5),(66 7175763.5),(67 7108859.5),(68 7047275.5),(69 6990836.5),(70 6922405.5),(71 6850737),(72 6794568),(73 6722546),(74 6654109),(75 6570648),(76 6506458),(77 6443976),(78 6382083),(79 6330833),
(1 18370.441),(2 60217.875),(3 130626.3),(4 210548.52),(5 302235.9),(6 405199.1),(7 515823.34),(8 635667.06),(9 759646.56),(10 885888),(11 1023255.9),(12 1160002.9),(13 1298808),(14 1439044.3),(15 1589259.8),(16 1738195.8),(17 1885718.4),(18 2025064.5),(19 2158830.5),(20 2287910.5),(21 2412935),(22 2525768),(23 2634931.3),(24 2732822),(25 2826869.8),(26 2910784),(27 3007783),(28 3117362),(29 3221678.5),(30 3333562.8),(31 3442733.5),(32 3551196.8),(33 3670838.5),(34 3789311),(35 3912158.3),(36 4029815),(37 4144177),(38 4264123.5),(39 4395219),(40 4529501),(41 4664854),(42 4785220),(43 4921024),(44 5060946),(45 5175057.5),(46 5311945),(47 5453127),(48 5575422.5),(49 5692064),(50 5804389.5),(51 5903062.5),(52 6002588.5),(53 6115811.5),(54 6202793.5),(55 6288125),(56 6353671.5),(57 6398968.5),(58 6444274),(59 6458727.5),(60 6461926),(61 6447769.5),(62 6411003),(63 6369635.5),(64 6317164),(65 6240963.5),(66 6171146),(67 6095275.5),(68 6020932),(69 5957201.5),(70 5878612.5),(71 5794682.5),(72 5725206),(73 5650357.5),(74 5559863.5),(75 5463509.5),(76 5379626.5),(77 5320324.5),(78 5304137.5),(79 5272387),
(1 19535.592),(2 65905.164),(3 140810.11),(4 228989.86),(5 328432.38),(6 442087.4),(7 563838.7),(8 692138.9),(9 831091.5),(10 978987.56),(11 1135651.1),(12 1291365.9),(13 1443291.8),(14 1594431.8),(15 1746412.5),(16 1893563.1),(17 2035268.6),(18 2168375),(19 2287277.8),(20 2394595.5),(21 2484538),(22 2565275),(23 2640106),(24 2698862.3),(25 2754764.8),(26 2807677.5),(27 2867508.5),(28 2935766),(29 2987283.8),(30 3040284.5),(31 3084556.5),(32 3120854.5),(33 3159999),(34 3199516.5),(35 3235805.3),(36 3260385.3),(37 3285339.5),(38 3301183.8),(39 3303533.8),(40 3302588.5),(41 3295899),(42 3291946.5),(43 3275163.5),(44 3263047),(45 3250181.5),(46 3239577.5),(47 3233224.5),(48 3225823),(49 3211741),(50 3203565.5),(51 3199643.3),(52 3201226.8),(53 3217242.5),(54 3248410),(55 3290820.3),(56 3336858.3),(57 3392061.8),(58 3459843),(59 3531090.8),(60 3603586.5),(61 3684395.8),(62 3768319),(63 3852320),(64 3930809),(65 4002800),(66 4085241.3),(67 4163386.8),(68 4240899),(69 4323393.5),(70 4402645.5),(71 4485645.5),(72 4570520),(73 4669980),(74 4750376.5),(75 4819966),(76 4882780.5),(77 4950149),(78 5030128),(79 5098918),
(1 18226.395),(2 61372.844),(3 130643.6),(4 213627.44),(5 307469.88),(6 411842),(7 522275.4),(8 642436.56),(9 767269.6),(10 900531.44),(11 1041581.2),(12 1188581.6),(13 1334407.9),(14 1488365),(15 1647854.4),(16 1809032),(17 1968173),(18 2122861.8),(19 2261770.8),(20 2406388.8),(21 2540681.8),(22 2673217.8),(23 2792482),(24 2910306.3),(25 3029952),(26 3155872),(27 3286022.5),(28 3427434.3),(29 3552671),(30 3691060.3),(31 3809281.3),(32 3909512.3),(33 3995834),(34 4077110.5),(35 4145027.3),(36 4186786.8),(37 4225643.5),(38 4244793),(39 4257538),(40 4260712.5),(41 4248183),(42 4223896.5),(43 4183118),(44 4135051.3),(45 4080272),(46 4018023),(47 3968803.8),(48 3902399.5),(49 3830695.5),(50 3766304.3),(51 3704441),(52 3646514),(53 3570093.5),(54 3519958.5),(55 3478737.8),(56 3434094.8),(57 3399761),(58 3369507.3),(59 3345500.5),(60 3333541.3),(61 3319538),(62 3302524.5),(63 3292471),(64 3295365),(65 3308109.5),(66 3326395.3),(67 3364768.3),(68 3398386),(69 3438281),(70 3476110),(71 3509683.8),(72 3550578.3),(73 3590351.3),(74 3630970.5),(75 3666893.8),(76 3707138),(77 3759259),(78 3795391),(79 3857380.5),
