1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 44288.105),(2 132221.86),(3 284231.8),(4 462744.9),(5 706774.94),(6 969348.3),(7 1250088.9),(8 1582796),(9 1942954.4),(10 2317056.3),(11 2722240.5),(12 3126749),(13 3542946.8),(14 3969752.3),(15 4380518.5),(16 4777756.5),(17 5169369),(18 5533517.5),(19 5901289.5),(20 6252510.5),(21 6613226.5),(22 6979372),(23 7328504.5),(24 7706405.5),(25 8065768.5),(26 8444395),(27 8764037),(28 9142031),(29 9467165),(30 9787065),(31 10040340),(32 10295897),(33 10585079),(34 10844175),(35 11120457),(36 11395849),(37 11674629),(38 11904313),(39 12199817),(40 12492064),(41 12836164),(42 13158985),(43 13517621),(44 13877404),(45 14276773),(46 14667215),(47 15123969),(48 15556657),(49 16009611),(50 16418384),(51 16892448),(52 17374362),(53 17957716),(54 18409274),(55 18992806),(56 19543054),(57 20105410),(58 20729236),(59 21419008),(60 22089636),(61 22784318),(62 23432920),(63 24118790),(64 24860014),(65 25596970),(66 26333926),(67 27130856),(68 27908784),(69 28638386),(70 29408986),(71 30188552),(72 30926768),(73 31629846),(74 32193960),(75 32713568),(76 33170102),(77 33630132),(78 34049100),(79 34481610),
(1 30429.975),(2 113755.83),(3 242446.45),(4 408964.4),(5 625120.75),(6 864541.4),(7 1102258.3),(8 1382877.8),(9 1679776.8),(10 1975618),(11 2286880),(12 2590589.5),(13 2895920.5),(14 3203810.8),(15 3505081.3),(16 3787444.8),(17 4053280),(18 4291805.5),(19 4529125),(20 4762661),(21 4994216),(22 5221603),(23 5428823.5),(24 5612334.5),(25 5798620.5),(26 5972217),(27 6123609),(28 6310051.5),(29 6502877.5),(30 6692733.5),(31 6850379),(32 7068005),(33 7333801.5),(34 7632981),(35 7971486.5),(36 8317942.5),(37 8707723),(38 9089059),(39 9510474),(40 9974124),(41 10451562),(42 10921637),(43 11415864),(44 11937368),(45 12488177),(46 13038834),(47 13615016),(48 14199955),(49 14757029),(50 15285179),(51 15842754),(52 16411568),(53 17037048),(54 17524948),(55 18063274),(56 18562524),(57 19043372),(58 19473146),(59 19917160),(60 20382610),(61 20889686),(62 21448956),(63 22091016),(64 22824300),(65 23601254),(66 24406218),(67 25266974),(68 26116194),(69 26965082),(70 27846220),(71 28727508),(72 29640620),(73 30564000),(74 31464588),(75 32432480),(76 33384848),(77 34335348),(78 35162344),(79 36108424),
(1 34955.832),(2 130462.85),(3 280923.3),(4 474878.22),(5 723509.5),(6 1001680.94),(7 1283076.1),(8 1596104.4),(9 1917205.6),(10 2236426.5),(11 2557973.8),(12 2875485.8),(13 3186628.8),(14 3478417),(15 3744034.8),(16 3987014),(17 4206035),(18 4405464.5),(19 4595217.5),(20 4774828.5),(21 4937579.5),(22 5097861.5),(23 5231766.5),(24 5357703.5),(25 5500214),(26 5635316),(27 5794235.5),(28 5991315.5),(29 6236929.5),(30 6522762.5),(31 6764021.5),(32 7133432),(33 7565476),(34 8045845.5),(35 8554201),(36 9113246),(37 9707835),(38 10318420),(39 10935098),(40 11564800),(41 12197276),(42 12833455),(43 13460699),(44 14145199),(45 14811989),(46 15462143),(47 16121821),(48 16767052),(49 17396962),(50 17995008),(51 18556072),(52 19185964),(53 19788632),(54 20210080),(55 20680830),(56 21107822),(57 21512210),(58 21881182),(59 22278784),(60 22738512),(61 23279262),(62 23900602),(63 24619960),(64 25402186),(65 26235702),(66 27098402),(67 28008368),(68 28935930),(69 29935118),(70 30917942),(71 31906368),(72 32898088),(73 33911190),(74 34887892),(75 35990356),(76 37076210),(77 38188204),(78 39134540),(79 40196564),
(1 31772.365),(2 117064.695),(3 247702.33),(4 414494.78),(5 628451.75),(6 865248.9),(7 1099972.5),(8 1367735.1),(9 1641237.1),(10 1915135.5),(11 2194041.8),(12 2474834.8),(13 2755831.3),(14 3019723.5),(15 3281689.3),(16 3530464.3),(17 3769262.3),(18 4008537.8),(19 4242703),(20 4479019.5),(21 4706069),(22 4943125),(23 5152610),(24 5376114),(25 5614619.5),(26 5853245.5),(27 6085770),(28 6331231.5),(29 6568524.5),(30 6824798),(31 7066562),(32 7342874),(33 7637071),(34 7944428.5),(35 8239310),(36 8559668),(37 8886215),(38 9196244),(39 9518161),(40 9820041),(41 10112189),(42 10378634),(43 10626919),(44 10887189),(45 11124021),(46 11361078),(47 11592473),(48 11837644),(49 12105132),(50 12408882),(51 12731813),(52 13105732),(53 13503778),(54 13804912),(55 14217547),(56 14680749),(57 15129444),(58 15617202),(59 16111477),(60 16627648),(61 17167520),(62 17720992),(63 18317262),(64 18932086),(65 19588114),(66 20258250),(67 20977688),(68 21711852),(69 22479928),(70 23243730),(71 24021482),(72 24788298),(73 25542930),(74 26277638),(75 27059228),(76 27823640),(77 28539700),(78 29193810),(79 29864028),
(1 31221.037),(2 117429.41),(3 246372.23),(4 409801.38),(5 611820.4),(6 839326.56),(7 1071847.1),(8 1316108.9),(9 1565404.5),(10 1813779.1),(11 2065254.5),(12 2315262.8),(13 2566659.8),(14 2816932.8),(15 3068948.8),(16 3319395.8),(17 3562518.5),(18 3804602.5),(19 4034368),(20 4260382),(21 4481756.5),(22 4713673.5),(23 4942291.5),(24 5187643),(25 5442509),(26 5703219.5),(27 5970280.5),(28 6243992),(29 6531683),(30 6843166.5),(31 7124885),(32 7443466),(33 7783248),(34 8119824),(35 8448220),(36 8769843),(37 9085316),(38 9373061),(39 9655821),(40 9920684),(41 10163765),(42 10392656),(43 10622492),(44 10865596),(45 11080704),(46 11299393),(47 11519395),(48 11750034),(49 11995166),(50 12249353),(51 12525361),(52 12851923),(53 13203215),(54 13473098),(55 13835252),(56 14214234),(57 14587921),(58 14958481),(59 15328959),(60 15699744),(61 16083782),(62 16478156),(63 16906382),(64 17337292),(65 17779432),(66 18228864),(67 18723262),(68 19225698),(69 19731748),(70 20201758),(71 20675668),(72 21110178),(73 21496460),(74 21842040),(75 22188698),(76 22517198),(77 22803962),(78 23070500),(79 23317320),
(1 31569.4),(2 120525.05),(3 253596.95),(4 426674.34),(5 640515.4),(6 886069.4),(7 1134281.4),(8 1415145.8),(9 1715123.6),(10 2024790.8),(11 2343007.8),(12 2661036.5),(13 2984096),(14 3301998.8),(15 3625278.8),(16 3960994.5),(17 4300409),(18 4657721),(19 5009649),(20 5361108),(21 5710059),(22 6054873),(23 6402866),(24 6767629),(25 7127096),(26 7465611),(27 7827934.5),(28 8192464),(29 8541612),(30 8916796),(31 9228062),(32 9595618),(33 10001582),(34 10416528),(35 10854522),(36 11309540),(37 11773048),(38 12235820),(39 12705572),(40 13189490),(41 13685933),(42 14210736),(43 14776166),(44 15350595),(45 15945448),(46 16524822),(47 17116442),(48 17685060),(49 18263344),(50 18800170),(51 19348238),(52 19907846),(53 20463722),(54 20932230),(55 21402820),(56 21795446),(57 22129168),(58 22384384),(59 22583478),(60 22725394),(61 22833626),(62 22918768),(63 22976848),(64 22996256),(65 23005596),(66 22999452),(67 22974158),(68 22923572),(69 22865832),(70 22777146),(71 22694898),(72 22606156),(73 22526252),(74 22438320),(75 22392602),(76 22347718),(77 22329488),(78 22307024),(79 22350022),
(1 35000.996),(2 137271.56),(3 292637.63),(4 499317.16),(5 749643.94),(6 1037024.06),(7 1328121.9),(8 1659072),(9 2011567.1),(10 2372481.5),(11 2751086.5),(12 3133695),(13 3520877),(14 3909957.8),(15 4312214),(16 4715824.5),(17 5120645),(18 5520248.5),(19 5922074),(20 6308109),(21 6679161),(22 7008663),(23 7317168.5),(24 7607863.5),(25 7882944.5),(26 8131808),(27 8376769),(28 8624754),(29 8881978),(30 9166768),(31 9398471),(32 9703754),(33 10051654),(34 10425733),(35 10838241),(36 11278887),(37 11770148),(38 12278761),(39 12801447),(40 13340218),(41 13897513),(42 14438986),(43 15019637),(44 15598642),(45 16176306),(46 16761919),(47 17346614),(48 17903512),(49 18459186),(50 18994972),(51 19531672),(52 20055304),(53 20539380),(54 20962036),(55 21333294),(56 21645388),(57 21891360),(58 22083456),(59 22222094),(60 22304116),(61 22351540),(62 22374862),(63 22370280),(64 22313806),(65 22245002),(66 22156490),(67 22050152),(68 21943650),(69 21849468),(70 21736862),(71 21620280),(72 21489708),(73 21354344),(74 21234240),(75 21137554),(76 21058700),(77 21035124),(78 20992406),(79 21026156),
(1 37813.09),(2 147118.61),(3 315590.6),(4 539419.94),(5 814293.2),(6 1135803.4),(7 1455205.5),(8 1825767.8),(9 2219290.3),(10 2629614.5),(11 3053496),(12 3484212.8),(13 3931220.5),(14 4396367.5),(15 4876081),(16 5370455),(17 5871694),(18 6382046),(19 6910519),(20 7425502),(21 7931270.5),(22 8421523),(23 8913788),(24 9408749),(25 9879625),(26 10334449),(27 10783626),(28 11227497),(29 11640671),(30 12037809),(31 12407578),(32 12774071),(33 13113489),(34 13465559),(35 13820943),(36 14163780),(37 14527985),(38 14882825),(39 15240068),(40 15597009),(41 15916717),(42 16202913),(43 16501425),(44 16768868),(45 17007810),(46 17241412),(47 17467414),(48 17680628),(49 17883846),(50 18126784),(51 18396710),(52 18688174),(53 18967646),(54 19209290),(55 19488066),(56 19741710),(57 19978546),(58 20187030),(59 20353496),(60 20463228),(61 20536318),(62 20582784),(63 20603192),(64 20576186),(65 20534840),(66 20470380),(67 20400958),(68 20343144),(69 20299158),(70 20249724),(71 20179784),(72 20074400),(73 19944542),(74 19812452),(75 19702418),(76 19601006),(77 19520598),(78 19425614),(79 19351570),
(1 43146.457),(2 168084.03),(3 363599.88),(4 623457.75),(5 952941.06),(6 1340427.4),(7 1729900.5),(8 2184869.8),(9 2669028.3),(10 3177909),(11 3702160.5),(12 4233043.5),(13 4767811),(14 5304340),(15 5846493.5),(16 6398378.5),(17 6942815.5),(18 7470844),(19 7982613.5),(20 8455369),(21 8908430),(22 9333188),(23 9716807),(24 10064352),(25 10384457),(26 10666040),(27 10917100),(28 11142844),(29 11338974),(30 11514003),(31 11653493),(32 11774158),(33 11857502),(34 11928376),(35 11979464),(36 12023324),(37 12039839),(38 12029553),(39 12012312),(40 11982202),(41 11936344),(42 11896100),(43 11863838),(44 11842627),(45 11836156),(46 11827223),(47 11842754),(48 11866425),(49 11911543),(50 11982182),(51 12056539),(52 12144791),(53 12236332),(54 12318170),(55 12449596),(56 12594600),(57 12758217),(58 12920393),(59 13076794),(60 13198846),(61 13303711),(62 13356965),(63 13373914),(64 13358248),(65 13318924),(66 13256642),(67 13184235),(68 13114251),(69 13055992),(70 12995816),(71 12937022),(72 12883082),(73 12824187),(74 12775569),(75 12729432),(76 12704676),(77 12687381),(78 12652910),(79 12655832),
(1 35714.813),(2 137632),(3 295793.84),(4 506109),(5 770973.5),(6 1079696.5),(7 1396681.9),(8 1757335.1),(9 2137739.5),(10 2531867.8),(11 2939236),(12 3346668.8),(13 3757861.3),(14 4166793.8),(15 4563403.5),(16 4950186.5),(17 5318421.5),(18 5662754.5),(19 5981985),(20 6283843),(21 6563447.5),(22 6822834),(23 7059106.5),(24 7285362.5),(25 7517861.5),(26 7753639),(27 7990169),(28 8245901.5),(29 8496910),(30 8751829),(31 8954818),(32 9180804),(33 9405644),(34 9623179),(35 9819425),(36 10023662),(37 10211609),(38 10378284),(39 10542080),(40 10694580),(41 10832559),(42 10938597),(43 11016247),(44 11078782),(45 11120210),(46 11136731),(47 11126002),(48 11100048),(49 11047088),(50 10997627),(51 10948873),(52 10899235),(53 10849963),(54 10805541),(55 10776811),(56 10759678),(57 10752496),(58 10751905),(59 10767433),(60 10781514),(61 10808411),(62 10827978),(63 10835831),(64 10846049),(65 10864075),(66 10869212),(67 10878068),(68 10857588),(69 10843956),(70 10832315),(71 10844557),(72 10869490),(73 10912959),(74 10995881),(75 11101668),(76 11222036),(77 11366948),(78 11486117),(79 11633765),
(1 30029.777),(2 113992.305),(3 243348.94),(4 413870.3),(5 630661.5),(6 883130.4),(7 1122085.9),(8 1414859),(9 1722847.5),(10 2052513.6),(11 2381346.8),(12 2715741),(13 3051293.8),(14 3388909.3),(15 3728548.5),(16 4078237.8),(17 4429804),(18 4787174.5),(19 5160198.5),(20 5543038),(21 5929578.5),(22 6336235.5),(23 6745928.5),(24 7153508),(25 7568459.5),(26 7968444),(27 8370516),(28 8780361),(29 9170067),(30 9549578),(31 9906801),(32 10249011),(33 10562707),(34 10844673),(35 11097399),(36 11307154),(37 11483624),(38 11633023),(39 11747805),(40 11835729),(41 11902324),(42 11946711),(43 11962202),(44 11957384),(45 11929120),(46 11904450),(47 11863262),(48 11823241),(49 11756114),(50 11703087),(51 11658876),(52 11626327),(53 11606206),(54 11588962),(55 11600446),(56 11640813),(57 11707388),(58 11782976),(59 11889545),(60 12025915),(61 12187588),(62 12348831),(63 12518400),(64 12678511),(65 12841628),(66 12975567),(67 13104702),(68 13176032),(69 13246675),(70 13311208),(71 13382334),(72 13452343),(73 13535789),(74 13641644),(75 13784084),(76 13938024),(77 14107940),(78 14235032),(79 14400091),
