1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 38613.293),(2 107911.94),(3 187468.89),(4 308395.53),(5 498339.16),(6 711900.06),(7 972297.2),(8 1258811.5),(9 1576523.9),(10 1900964.6),(11 2222478.3),(12 2544568.8),(13 2866854),(14 3209624.3),(15 3582225),(16 3946896),(17 4333499.5),(18 4723541.5),(19 5118916),(20 5506495.5),(21 5906118),(22 6295874),(23 6771116.5),(24 7212258.5),(25 7863526),(26 8280273.5),(27 8683020),(28 9072229),(29 9461903),(30 9886278),(31 10442229),(32 11377747),(33 12093589),(34 12851437),(35 13569571),(36 14283823),(37 15026911),(38 15809365),(39 16542428),(40 17159686),(41 17807274),(42 18462422),(43 19050938),(44 19673074),(45 20274168),(46 20718394),(47 21589174),(48 22227806),(49 22849634),(50 23530536),(51 24179906),(52 24697562),(53 25050738),(54 25413918),(55 25699570),(56 25978094),(57 26198576),(58 26529146),(59 26856986),(60 27065280),(61 27290040),(62 27595690),(63 27859830),(64 28203458),(65 28531962),(66 28817304),(67 29133286),(68 29403974),(69 29958464),(70 30359192),(71 30774182),(72 31209280),(73 31587632),(74 32036070),(75 32509416),(76 33044102),(77 33689950),(78 34408124),(79 35121532),
(1 31030.416),(2 96234.266),(3 177206.95),(4 298337.9),(5 491277.7),(6 699878),(7 943888.8),(8 1218850),(9 1512313.3),(10 1814466.4),(11 2109646),(12 2404795.8),(13 2720268),(14 3059293),(15 3439834.5),(16 3815160.5),(17 4214583.5),(18 4644186.5),(19 5067816.5),(20 5492028.5),(21 5917023),(22 6344105),(23 6854313.5),(24 7333920),(25 7955553),(26 8416104),(27 8861296),(28 9313294),(29 9745973),(30 10198477),(31 10668115),(32 11315355),(33 11899122),(34 12484222),(35 13057464),(36 13611434),(37 14156726),(38 14672494),(39 15171504),(40 15581264),(41 15950858),(42 16315894),(43 16645443),(44 16982998),(45 17311948),(46 17545098),(47 17901500),(48 18206260),(49 18568160),(50 19012394),(51 19425398),(52 19749330),(53 19930582),(54 20096298),(55 20246700),(56 20317602),(57 20442162),(58 20636056),(59 20866764),(60 20975648),(61 21115162),(62 21318344),(63 21514980),(64 21777068),(65 22037124),(66 22253598),(67 22506828),(68 22762364),(69 23155754),(70 23404246),(71 23620604),(72 23819260),(73 24009420),(74 24149962),(75 24284836),(76 24418518),(77 24514678),(78 24697244),(79 24911060),
(1 27421.781),(2 86232.91),(3 167436.5),(4 286625.13),(5 423364.38),(6 566475),(7 723481.06),(8 876534.3),(9 1045716.7),(10 1211245.4),(11 1387150.9),(12 1580671.6),(13 1839048.6),(14 2092207.1),(15 2379384.3),(16 2665439),(17 2957223.3),(18 3258309.3),(19 3586501),(20 3902139.3),(21 4233885.5),(22 4570162),(23 4951663.5),(24 5300947),(25 5763498.5),(26 6158486.5),(27 6569677.5),(28 7005372),(29 7436707.5),(30 7874618),(31 8334294.5),(32 8665405),(33 9045417),(34 9439699),(35 9839381),(36 10219137),(37 10598708),(38 10978712),(39 11383285),(40 11759948),(41 12228876),(42 12680963),(43 13098369),(44 13514988),(45 13970555),(46 14339547),(47 14758489),(48 15162188),(49 15582768),(50 15997028),(51 16415605),(52 16757512),(53 17109406),(54 17415670),(55 17718894),(56 17951058),(57 18188716),(58 18446966),(59 18665866),(60 18813562),(61 18968516),(62 19104666),(63 19229292),(64 19357932),(65 19486966),(66 19595942),(67 19674842),(68 19755666),(69 19660162),(70 19561478),(71 19447082),(72 19303440),(73 19147794),(74 18968014),(75 18729250),(76 18472274),(77 18203694),(78 18002550),(79 17835602),
(1 40343.297),(2 134169.81),(3 264640),(4 463750.56),(5 682960.3),(6 927567.3),(7 1195476.8),(8 1465870.4),(9 1738421.5),(10 2013842),(11 2291229.5),(12 2567072.5),(13 2885112.5),(14 3174860),(15 3488089.3),(16 3803720.5),(17 4114465.8),(18 4423383),(19 4738418),(20 5060084.5),(21 5387317),(22 5711367),(23 6069501.5),(24 6408566.5),(25 6810076.5),(26 7194401),(27 7613154.5),(28 8034067.5),(29 8477893),(30 8894420),(31 9338994),(32 9750928),(33 10157924),(34 10543124),(35 10887342),(36 11201272),(37 11499758),(38 11788313),(39 12054162),(40 12291316),(41 12568459),(42 12814164),(43 13060435),(44 13324164),(45 13563615),(46 13753206),(47 13923138),(48 14120130),(49 14301602),(50 14499868),(51 14658253),(52 14787228),(53 14923399),(54 15009204),(55 15066464),(56 15100484),(57 15146114),(58 15184501),(59 15190268),(60 15143668),(61 15088315),(62 15019584),(63 14923758),(64 14815569),(65 14688178),(66 14555746),(67 14396527),(68 14236306),(69 13930875),(70 13672652),(71 13399271),(72 13130320),(73 12858332),(74 12567656),(75 12236459),(76 11909651),(77 11581196),(78 11302238),(79 11054076),
(1 51038.26),(2 176866.69),(3 357112.53),(4 632419),(5 942437),(6 1284835.6),(7 1660980.9),(8 2047169.1),(9 2438666.3),(10 2844302.3),(11 3250587.3),(12 3641284.3),(13 4040078.3),(14 4395000),(15 4727835.5),(16 5027235),(17 5290647.5),(18 5530632),(19 5764980.5),(20 5982779.5),(21 6177953.5),(22 6355529.5),(23 6565645),(24 6757075.5),(25 7032243.5),(26 7292136),(27 7588076.5),(28 7896022),(29 8207629),(30 8504382),(31 8764687),(32 9024141),(33 9256538),(34 9455024),(35 9610668),(36 9728531),(37 9812455),(38 9878119),(39 9913446),(40 9913763),(41 9885553),(42 9863508),(43 9869003),(44 9923464),(45 9952973),(46 9970005),(47 9970274),(48 9985987),(49 9985627),(50 9965305),(51 9944145),(52 9911942),(53 9880835),(54 9812934),(55 9730890),(56 9642113),(57 9571889),(58 9509312),(59 9431488),(60 9351513),(61 9279523),(62 9212180),(63 9146138),(64 9077333),(65 9006228),(66 8916361),(67 8832102),(68 8762685),(69 8755916),(70 8693211),(71 8619446),(72 8554907),(73 8501636),(74 8429210),(75 8333806.5),(76 8249587),(77 8187374),(78 8131960.5),(79 8101957),
(1 71547.83),(2 253468.03),(3 511398),(4 863010.9),(5 1276915.9),(6 1726088.4),(7 2216383.5),(8 2720394),(9 3227633),(10 3738580.8),(11 4229211.5),(12 4698981),(13 5159850),(14 5571371),(15 5953494.5),(16 6280071),(17 6582570.5),(18 6862409),(19 7109995),(20 7341613),(21 7554761.5),(22 7765700),(23 7997440),(24 8202248),(25 8418562),(26 8605855),(27 8802086),(28 8992595),(29 9177542),(30 9326994),(31 9456706),(32 9516128),(33 9598504),(34 9624138),(35 9625025),(36 9605772),(37 9544216),(38 9461780),(39 9337546),(40 9192422),(41 9048416),(42 8895014),(43 8736080),(44 8617736),(45 8500531),(46 8393355),(47 8272201.5),(48 8161208),(49 8061638.5),(50 7972853.5),(51 7945066.5),(52 7926317),(53 7955368),(54 7970387),(55 8003117),(56 7978517),(57 7984089),(58 7975807),(59 7914431),(60 7876947),(61 7839870.5),(62 7808139),(63 7785259),(64 7778025),(65 7779588),(66 7797999),(67 7822132),(68 7857097),(69 7937120),(70 8022734.5),(71 8114031),(72 8210513),(73 8336297.5),(74 8460765),(75 8600958),(76 8766048),(77 8973978),(78 9119422),(79 9269962),
(1 63034.81),(2 231800.58),(3 479251.2),(4 857260.3),(5 1290138.3),(6 1742318.1),(7 2238698.3),(8 2738941.3),(9 3238512.3),(10 3738346.8),(11 4217583.5),(12 4665377.5),(13 5106799.5),(14 5485133.5),(15 5818723.5),(16 6098842),(17 6338994.5),(18 6547427.5),(19 6730327.5),(20 6893757),(21 7032980.5),(22 7176860.5),(23 7336175.5),(24 7470976),(25 7642763.5),(26 7797777),(27 7975279.5),(28 8167642.5),(29 8342310),(30 8486062),(31 8610757),(32 8638554),(33 8710836),(34 8749169),(35 8775139),(36 8798334),(37 8816397),(38 8841863),(39 8872668),(40 8899367),(41 8903553),(42 8923099),(43 8908184),(44 8883642),(45 8862861),(46 8803818),(47 8768042),(48 8693418),(49 8618019),(50 8535154),(51 8466107),(52 8401118),(53 8357794.5),(54 8307468.5),(55 8264532.5),(56 8186409),(57 8125167.5),(58 8067864.5),(59 7994460.5),(60 7919861.5),(61 7842446),(62 7785928.5),(63 7747477),(64 7741180.5),(65 7740656),(66 7761915.5),(67 7778817),(68 7815874),(69 7852456),(70 7924829.5),(71 8034698),(72 8144806),(73 8247038),(74 8355040.5),(75 8481504),(76 8624662),(77 8762326),(78 8884338),(79 8992418),
(1 72963.03),(2 263599.1),(3 542469.4),(4 940164.4),(5 1397053.1),(6 1865671.9),(7 2345929),(8 2807829),(9 3239649),(10 3644291.8),(11 3990699.3),(12 4296800.5),(13 4560029.5),(14 4741883.5),(15 4877233.5),(16 4965304),(17 5017189),(18 5029207),(19 5031268.5),(20 5014786),(21 4987413),(22 4961169),(23 4923822.5),(24 4894244.5),(25 4899645.5),(26 4919938),(27 4963475),(28 5023434),(29 5087575.5),(30 5171479.5),(31 5270031),(32 5424566.5),(33 5545765),(34 5662419.5),(35 5772088.5),(36 5878293.5),(37 5969352.5),(38 6053679.5),(39 6133432.5),(40 6204954.5),(41 6298784.5),(42 6380688),(43 6457378.5),(44 6563140.5),(45 6648273.5),(46 6714015),(47 6713258),(48 6733089),(49 6725807),(50 6678208.5),(51 6637311.5),(52 6577759.5),(53 6496713.5),(54 6390215.5),(55 6267646.5),(56 6141949),(57 6015272),(58 5891852.5),(59 5788454),(60 5701893.5),(61 5635910),(62 5583393.5),(63 5545475),(64 5544699.5),(65 5548925.5),(66 5584776),(67 5632098),(68 5694762.5),(69 5730670.5),(70 5774532.5),(71 5821090.5),(72 5864853.5),(73 5905947),(74 5935346.5),(75 5977414),(76 6048562),(77 6145185.5),(78 6242833),(79 6359293),
(1 68738.03),(2 246050.27),(3 492621.78),(4 840207.75),(5 1240429.5),(6 1632319.8),(7 2017163.8),(8 2372587.8),(9 2693128),(10 2989778.8),(11 3254198),(12 3484865),(13 3701026.5),(14 3870746.3),(15 4026051.3),(16 4155738.3),(17 4263894.5),(18 4360022),(19 4453863.5),(20 4526144),(21 4587076),(22 4624337.5),(23 4651674.5),(24 4659818),(25 4673149.5),(26 4671291),(27 4681670),(28 4686489),(29 4695592),(30 4700972),(31 4692249.5),(32 4676422),(33 4669692),(34 4650760.5),(35 4631676.5),(36 4604769),(37 4574547.5),(38 4546348),(39 4526642.5),(40 4499673.5),(41 4504267.5),(42 4505368),(43 4518239),(44 4539252),(45 4554780.5),(46 4572069),(47 4578650),(48 4591906),(49 4599186),(50 4588131.5),(51 4587700),(52 4592148),(53 4585244.5),(54 4563817.5),(55 4536200.5),(56 4506747.5),(57 4482188),(58 4467384.5),(59 4468006),(60 4464086.5),(61 4474129),(62 4486863),(63 4497696.5),(64 4510255.5),(65 4519712.5),(66 4524874),(67 4518433),(68 4502318),(69 4482230.5),(70 4489963.5),(71 4516420),(72 4559240.5),(73 4612683.5),(74 4677598.5),(75 4753411.5),(76 4842107.5),(77 4938624.5),(78 4993378),(79 5053809),
(1 73780.01),(2 258220.78),(3 512137.66),(4 843334.7),(5 1210886.8),(6 1566754.5),(7 1900763.8),(8 2191150.8),(9 2432772),(10 2632872.5),(11 2798111),(12 2935949),(13 3054278.3),(14 3160100),(15 3264269.8),(16 3362353),(17 3453796.8),(18 3546625.8),(19 3625974.8),(20 3689024),(21 3739035),(22 3768156),(23 3795564),(24 3809627),(25 3872063),(26 3920871.5),(27 3981660),(28 4044090.3),(29 4113887),(30 4193230.8),(31 4271768.5),(32 4399535),(33 4510466),(34 4620965.5),(35 4729091.5),(36 4832888),(37 4927465),(38 5006104),(39 5086970),(40 5154215),(41 5210616),(42 5255115.5),(43 5283554.5),(44 5303740.5),(45 5319978),(46 5317474.5),(47 5302460.5),(48 5293869.5),(49 5284396.5),(50 5295761),(51 5302562),(52 5323180.5),(53 5340993),(54 5362266),(55 5377133.5),(56 5383271.5),(57 5398165),(58 5411694.5),(59 5419294),(60 5424714.5),(61 5439264),(62 5472957.5),(63 5524373.5),(64 5578659.5),(65 5639592),(66 5705284.5),(67 5761046),(68 5804038.5),(69 5785305.5),(70 5798757.5),(71 5820748.5),(72 5833233.5),(73 5833150),(74 5830089),(75 5823294),(76 5815322),(77 5773893.5),(78 5707526.5),(79 5629064),
(1 69074.98),(2 247055.97),(3 495614.8),(4 835569.44),(5 1186083.9),(6 1500519.3),(7 1768120.3),(8 1982119.8),(9 2137595.3),(10 2244550.5),(11 2316646.5),(12 2373204.8),(13 2428162.3),(14 2489012.3),(15 2566557.3),(16 2655969),(17 2750451.8),(18 2850312.5),(19 2946917.5),(20 3033487.3),(21 3114146.3),(22 3182362.5),(23 3247520.5),(24 3300694),(25 3372555),(26 3423004.5),(27 3467011),(28 3498748.8),(29 3507781),(30 3484935.5),(31 3448845.3),(32 3390960),(33 3340664.8),(34 3307385.5),(35 3287505),(36 3295440),(37 3315154),(38 3356762.3),(39 3429481.3),(40 3515792.8),(41 3643222.3),(42 3756340.3),(43 3873307),(44 3985030.5),(45 4080163.8),(46 4153306),(47 4211362.5),(48 4269867.5),(49 4327769.5),(50 4400986.5),(51 4482672.5),(52 4572527),(53 4684231),(54 4795446.5),(55 4890436),(56 4957549),(57 5012765),(58 5041756),(59 5049755.5),(60 5067467),(61 5071924),(62 5058140),(63 5034345),(64 5014237.5),(65 4996969.5),(66 4994399.5),(67 5007557.5),(68 5025440),(69 5106816),(70 5151915.5),(71 5187896),(72 5206032.5),(73 5205028),(74 5184275),(75 5146947.5),(76 5121367.5),(77 5114736.5),(78 5124840),(79 5156850.5),
