1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 14337.558),(2 47141.676),(3 94286.56),(4 144960.14),(5 196413.52),(6 247064.33),(7 296918.66),(8 347061.6),(9 397638.72),(10 455485.1),(11 518774),(12 593597.75),(13 681792.44),(14 777802.2),(15 883816.2),(16 992004.7),(17 1109717.9),(18 1218266.1),(19 1314735.1),(20 1409124.1),(21 1502024.6),(22 1592509.6),(23 1671836.5),(24 1741329),(25 1809317.9),(26 1874105.4),(27 1942941.1),(28 2011969.6),(29 2077701.4),(30 2144014),(31 2209376.3),(32 2270277.8),(33 2327263.8),(34 2379106.3),(35 2433969.8),(36 2500120.8),(37 2579653.3),(38 2661275.3),(39 2746968.8),(40 2851868.8),(41 2974789.3),(42 3121006.8),(43 3277312),(44 3449695.3),(45 3636263),(46 3836595.3),(47 4061424.8),(48 4291341.5),(49 4506552.5),(50 4743694.5),(51 5010268.5),(52 5253059),(53 5500683.5),(54 5770634.5),(55 6092186.5),(56 6430351.5),(57 6792713.5),(58 7165349.5),(59 7566502.5),(60 7973807.5),(61 8386774.5),(62 8781759),(63 9207567),(64 9607661),(65 9985806),(66 10346404),(67 10692831),(68 11033821),(69 11353173),(70 11628320),(71 11860884),(72 12041408),(73 12220583),(74 12408288),(75 12590824),(76 12729245),(77 12841120),(78 12955165),(79 13065673),
(1 13995.597),(2 49797.426),(3 104714.234),(4 176625.03),(5 257876.17),(6 352450.8),(7 456562.06),(8 572289.9),(9 697377.75),(10 832854.2),(11 980591.4),(12 1154190.8),(13 1344053.5),(14 1549810.3),(15 1765043.4),(16 1996107.8),(17 2247904.3),(18 2502942),(19 2749844.8),(20 3001180.8),(21 3259718.3),(22 3529110.5),(23 3804673.5),(24 4085562.8),(25 4362081),(26 4639193),(27 4927567),(28 5209833.5),(29 5482796),(30 5770203),(31 6055933),(32 6345786.5),(33 6632682.5),(34 6910836),(35 7186987),(36 7464545.5),(37 7752565),(38 8015625.5),(39 8284523),(40 8565280),(41 8869425),(42 9186507),(43 9506306),(44 9847878),(45 10172266),(46 10511014),(47 10888434),(48 11254157),(49 11598272),(50 11940509),(51 12317019),(52 12696453),(53 13088299),(54 13484746),(55 13921746),(56 14343653),(57 14829662),(58 15337518),(59 15859083),(60 16365334),(61 16896700),(62 17397514),(63 17927002),(64 18418268),(65 18934314),(66 19405604),(67 19904710),(68 20328670),(69 20759468),(70 21120068),(71 21454598),(72 21759580),(73 22045226),(74 22306986),(75 22542980),(76 22709540),(77 22862344),(78 22946758),(79 23023572),
(1 13200.039),(2 45683.027),(3 94834.586),(4 157372.36),(5 228619.5),(6 307406.66),(7 396491.63),(8 491287.47),(9 587467.3),(10 688144.75),(11 799254.25),(12 921387.94),(13 1053186),(14 1195615.3),(15 1343005.1),(16 1499569.6),(17 1667539.1),(18 1835913),(19 2007396.4),(20 2189309),(21 2375284.8),(22 2556101.8),(23 2742802),(24 2929268.8),(25 3110907.3),(26 3297581.3),(27 3507558),(28 3713030.8),(29 3920500.3),(30 4132360),(31 4347744.5),(32 4571091.5),(33 4804260),(34 5033250),(35 5272783.5),(36 5521823.5),(37 5782898),(38 6034546.5),(39 6291335.5),(40 6546111.5),(41 6809222.5),(42 7048336),(43 7269556.5),(44 7510001.5),(45 7762201.5),(46 8007626),(47 8274334.5),(48 8523133),(49 8755460),(50 8978968),(51 9205612),(52 9425733),(53 9646088),(54 9836093),(55 10018659),(56 10202178),(57 10437576),(58 10664216),(59 10892783),(60 11102815),(61 11303589),(62 11480768),(63 11650515),(64 11802628),(65 11946653),(66 12068211),(67 12193736),(68 12306264),(69 12439497),(70 12578544),(71 12745696),(72 12930872),(73 13112924),(74 13316008),(75 13554840),(76 13764480),(77 13980645),(78 14155045),(79 14346189),
(1 16320.154),(2 59410.52),(3 131374.31),(4 227799.28),(5 350383.38),(6 494059.13),(7 659674),(8 848896.06),(9 1056197.8),(10 1282800.3),(11 1531008.1),(12 1813769.5),(13 2126513),(14 2452675),(15 2805215),(16 3167705.8),(17 3542920.5),(18 3911985),(19 4289978),(20 4663415),(21 5026586),(22 5390000),(23 5738473.5),(24 6070336.5),(25 6406250),(26 6725786.5),(27 7037280.5),(28 7341719.5),(29 7618282.5),(30 7875441),(31 8114919),(32 8329911),(33 8532580),(34 8704094),(35 8854278),(36 8974762),(37 9064692),(38 9115670),(39 9150266),(40 9155521),(41 9149799),(42 9130204),(43 9111668),(44 9098136),(45 9077317),(46 9037758),(47 8990751),(48 8935470),(49 8876992),(50 8836570),(51 8800611),(52 8754599),(53 8711482),(54 8655858),(55 8603777),(56 8562540),(57 8554140),(58 8543120),(59 8553620),(60 8578596),(61 8637435),(62 8711166),(63 8799004),(64 8896967),(65 9029585),(66 9183154),(67 9369663),(68 9572585),(69 9813316),(70 10057643),(71 10335027),(72 10605931),(73 10898094),(74 11188660),(75 11495316),(76 11777486),(77 12073110),(78 12296192),(79 12525646),
(1 16416.854),(2 60968.74),(3 133622.34),(4 229863.45),(5 346685.25),(6 483873),(7 637118.56),(8 809012.44),(9 988476.6),(10 1179973.3),(11 1383532.5),(12 1602134.9),(13 1833557.6),(14 2066860.8),(15 2309066.5),(16 2553232),(17 2797760.5),(18 3044489.3),(19 3303482.3),(20 3556060.3),(21 3798357),(22 4036134.5),(23 4256261.5),(24 4472339.5),(25 4677236.5),(26 4865715.5),(27 5049070),(28 5220073.5),(29 5371515.5),(30 5513686.5),(31 5656576.5),(32 5789331),(33 5921732),(34 6040620.5),(35 6161342.5),(36 6279866),(37 6391796.5),(38 6486288),(39 6576780.5),(40 6643495.5),(41 6711732.5),(42 6754295.5),(43 6789476.5),(44 6834670.5),(45 6890822.5),(46 6933352.5),(47 6960643.5),(48 6990846.5),(49 7041853),(50 7110474),(51 7199890),(52 7289492.5),(53 7381704.5),(54 7450287.5),(55 7516862.5),(56 7573590.5),(57 7660188.5),(58 7737591.5),(59 7807574),(60 7867190),(61 7931849.5),(62 7990627),(63 8068278.5),(64 8152570),(65 8263012.5),(66 8376364.5),(67 8499987),(68 8641049),(69 8780378),(70 8885078),(71 8984361),(72 9060909),(73 9142741),(74 9218456),(75 9292308),(76 9354204),(77 9428281),(78 9447104),(79 9470625),
(1 18901.59),(2 69461.21),(3 149158.05),(4 250640.38),(5 372442.3),(6 513692.9),(7 671043),(8 843161.6),(9 1026244.2),(10 1221773.8),(11 1429219.5),(12 1641926.3),(13 1855621.8),(14 2076163.6),(15 2292228.8),(16 2504666.5),(17 2715688.5),(18 2923134),(19 3123748.5),(20 3317022.5),(21 3500864),(22 3679268),(23 3853301.5),(24 4026951.3),(25 4191963.3),(26 4359569.5),(27 4536603),(28 4714750.5),(29 4893649),(30 5068361),(31 5237199),(32 5405824.5),(33 5586532),(34 5765133.5),(35 5959293.5),(36 6168706.5),(37 6375285.5),(38 6564566),(39 6761656),(40 6929014.5),(41 7094452),(42 7225921),(43 7348612),(44 7459665.5),(45 7565475),(46 7637506.5),(47 7684818.5),(48 7690362.5),(49 7665286.5),(50 7611088),(51 7546687),(52 7466233.5),(53 7364220),(54 7243147),(55 7100782.5),(56 6924541),(57 6744742.5),(58 6539449.5),(59 6323296),(60 6094719),(61 5866355),(62 5635030.5),(63 5423441),(64 5216657),(65 5029995),(66 4859401),(67 4710137.5),(68 4574215),(69 4454940),(70 4351054.5),(71 4266044),(72 4196315),(73 4142708),(74 4112043.3),(75 4109643.3),(76 4118686.5),(77 4165443.5),(78 4214318.5),(79 4290632.5),
(1 26442.629),(2 99568.32),(3 216626.69),(4 370377.03),(5 554841.44),(6 768790.6),(7 1007040.1),(8 1267371.1),(9 1536928.1),(10 1818380.1),(11 2109025.8),(12 2399102.5),(13 2689245.8),(14 2967881.8),(15 3245525.3),(16 3515940.3),(17 3775630.5),(18 4030271.8),(19 4278069),(20 4499575),(21 4691582),(22 4853428.5),(23 4992699.5),(24 5105286.5),(25 5198695),(26 5261227),(27 5304424.5),(28 5322171.5),(29 5326881),(30 5324243.5),(31 5312118),(32 5300021),(33 5291576),(34 5269171),(35 5244663.5),(36 5213136),(37 5191629.5),(38 5179493),(39 5172989),(40 5160601),(41 5152169),(42 5128411.5),(43 5116985),(44 5103200.5),(45 5097201),(46 5070913),(47 5037729),(48 5001844),(49 4968707.5),(50 4934220),(51 4904143),(52 4877232.5),(53 4864460),(54 4845070.5),(55 4830026),(56 4798821),(57 4783530.5),(58 4757937),(59 4734502),(60 4694122),(61 4663053),(62 4625798.5),(63 4582663),(64 4544684),(65 4515420.5),(66 4501081),(67 4510272.5),(68 4528975.5),(69 4550688.5),(70 4570544),(71 4595675.5),(72 4627903),(73 4669836.5),(74 4705496.5),(75 4740086),(76 4778140.5),(77 4826081.5),(78 4870879.5),(79 4928340.5),
(1 33272.273),(2 128638.8),(3 285809.34),(4 496907.13),(5 757804),(6 1054567.9),(7 1377205.6),(8 1721910.6),(9 2078735.3),(10 2446633.3),(11 2822211),(12 3194651.8),(13 3567703),(14 3919724.5),(15 4252891),(16 4565123),(17 4858736),(18 5123031),(19 5370340.5),(20 5584157),(21 5777558.5),(22 5941918),(23 6087846),(24 6203545.5),(25 6297363),(26 6353345),(27 6400292.5),(28 6427092.5),(29 6436577),(30 6430419),(31 6412994),(32 6383923.5),(33 6363283),(34 6342773.5),(35 6313894),(36 6295150),(37 6284078),(38 6284795.5),(39 6304982.5),(40 6330999.5),(41 6366335),(42 6397662),(43 6447488.5),(44 6501035),(45 6567301),(46 6637140.5),(47 6721871),(48 6802646.5),(49 6893713),(50 6987716.5),(51 7089979.5),(52 7178030.5),(53 7266774),(54 7348449),(55 7440678.5),(56 7515204.5),(57 7595971.5),(58 7664553.5),(59 7711287.5),(60 7742553),(61 7771640),(62 7780116.5),(63 7777893.5),(64 7755382),(65 7724757),(66 7665185),(67 7599575.5),(68 7512157),(69 7417040),(70 7297120),(71 7167479.5),(72 7030613),(73 6907362),(74 6787909),(75 6678000),(76 6561270.5),(77 6452782),(78 6341489),(79 6245605),
(1 29615.816),(2 113017.234),(3 246624.94),(4 421253.06),(5 635532.25),(6 878732.5),(7 1147290.4),(8 1433104),(9 1735923.3),(10 2046757.6),(11 2365165.3),(12 2683472.5),(13 2999778.3),(14 3299185),(15 3582469.8),(16 3844325.8),(17 4083156.8),(18 4299926),(19 4485731),(20 4636122.5),(21 4753492),(22 4847267.5),(23 4909166),(24 4943939.5),(25 4965109),(26 4956567.5),(27 4936812.5),(28 4900544),(29 4850132.5),(30 4767980),(31 4685491),(32 4600220),(33 4527476),(34 4450943),(35 4375062),(36 4293449.5),(37 4218924),(38 4149172.8),(39 4089676.8),(40 4036343),(41 3989437.3),(42 3938012),(43 3899264),(44 3857438.3),(45 3831163.8),(46 3817029.8),(47 3811954),(48 3815920),(49 3822190.3),(50 3840430.3),(51 3873208.8),(52 3918285.3),(53 3975818.3),(54 4048334.5),(55 4129533.3),(56 4216583),(57 4318993),(58 4418530.5),(59 4517546.5),(60 4619628.5),(61 4724212.5),(62 4831798),(63 4939620),(64 5039110.5),(65 5125720.5),(66 5179849),(67 5213434),(68 5236191),(69 5248007),(70 5263314.5),(71 5268504.5),(72 5260019),(73 5258342.5),(74 5244414.5),(75 5243458.5),(76 5227885),(77 5218312.5),(78 5193740),(79 5169349.5),
(1 31266.736),(2 119586.29),(3 260386.17),(4 445410.38),(5 670067.44),(6 927866.3),(7 1207086.5),(8 1499315.9),(9 1800457.1),(10 2105051.8),(11 2409795),(12 2710289.3),(13 3006520.5),(14 3285525.3),(15 3553699.8),(16 3807747),(17 4039337.8),(18 4252866.5),(19 4437786.5),(20 4583514.5),(21 4700724.5),(22 4792420),(23 4846621),(24 4866213),(25 4865704),(26 4832783),(27 4787188.5),(28 4720799.5),(29 4638866),(30 4533373.5),(31 4419257),(32 4292531.5),(33 4161986.3),(34 4031981.3),(35 3901939),(36 3771009.8),(37 3652472.5),(38 3543763),(39 3451024.3),(40 3380469.8),(41 3326931.5),(42 3285953.3),(43 3261677.8),(44 3259369),(45 3268865.8),(46 3288493.8),(47 3328810.3),(48 3381537),(49 3452013),(50 3532400.3),(51 3633044),(52 3742126.3),(53 3854571),(54 3966981.3),(55 4072566.8),(56 4159232),(57 4237914.5),(58 4294925.5),(59 4329829.5),(60 4338351.5),(61 4321918),(62 4282949),(63 4238394),(64 4180056.5),(65 4114967.5),(66 4035893.3),(67 3956895),(68 3895934.3),(69 3846971.5),(70 3804926.8),(71 3779172.5),(72 3758883.5),(73 3754673),(74 3766199.5),(75 3804857.3),(76 3852729),(77 3919617),(78 3984141.8),(79 4055549),
(1 27531.922),(2 105817.45),(3 231514.7),(4 399234.8),(5 603043.94),(6 834171.5),(7 1083633),(8 1346767.9),(9 1613609.9),(10 1880318.8),(11 2140941.8),(12 2376985.5),(13 2588476.8),(14 2769273),(15 2920430.5),(16 3042694),(17 3133912),(18 3197510.5),(19 3249874.8),(20 3274712.5),(21 3286623),(22 3277474.3),(23 3254010),(24 3218545.8),(25 3176882),(26 3120930),(27 3062629.8),(28 3005295.8),(29 2948872),(30 2885036.8),(31 2825528.3),(32 2764270.5),(33 2706527.5),(34 2656797),(35 2621222.8),(36 2602098),(37 2610850.8),(38 2641965.8),(39 2686821.3),(40 2734862),(41 2792232),(42 2838653.8),(43 2888277.3),(44 2941640.5),(45 2994218),(46 3041648.8),(47 3089768.3),(48 3129525),(49 3165017),(50 3205862),(51 3255736.5),(52 3309806),(53 3372427.5),(54 3448182),(55 3532653.8),(56 3618509.3),(57 3724475.3),(58 3837551.5),(59 3942280.3),(60 4037756.3),(61 4127820.8),(62 4210156),(63 4283278),(64 4336020),(65 4384246.5),(66 4420986.5),(67 4444923.5),(68 4447239.5),(69 4440270),(70 4412819),(71 4377750.5),(72 4313795.5),(73 4242089.5),(74 4159870),(75 4071555.3),(76 3974135),(77 3874560.5),(78 3770587.3),(79 3664861.3),
