1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 41940.83),(2 106442.57),(3 155761.56),(4 196949.94),(5 231135.5),(6 262613.84),(7 295299.6),(8 332093.13),(9 363937.13),(10 389486.2),(11 415918.38),(12 437276.9),(13 460413.94),(14 479957.34),(15 488575.34),(16 493869.63),(17 503311.28),(18 515392.3),(19 518401),(20 517300.78),(21 515756.38),(22 517222.78),(23 522208.53),(24 521698.4),(25 522264.94),(26 526123.6),(27 534797.44),(28 550343.44),(29 565737.3),(30 578491.1),(31 586435.25),(32 595231.75),(33 596890.7),(34 598190.56),(35 606324.1),(36 618467.56),(37 621921.56),(38 630574.7),(39 634776.9),(40 633137.56),(41 637876.1),(42 641730.9),(43 638433.9),(44 642434.3),(45 643147.9),(46 640625.2),(47 643217.44),(48 648919.94),(49 649366.5),(50 646557.3),(51 646811.25),(52 647607.6),(53 641382.3),(54 627505.25),(55 619067),(56 610463.5),(57 599710.94),(58 596346.8),(59 589242.1),(60 577914.7),(61 562907.94),(62 550483.8),(63 537642.94),(64 530543.44),(65 526554.6),(66 518163.63),(67 507485.03),(68 501865.13),(69 504600.6),(70 507552.66),(71 509402.28),(72 512592.44),(73 521689.94),(74 538849.44),(75 563045.7),(76 583329.06),(77 609328.94),(78 624733.75),(79 638725),
(1 41325.15),(2 106559.9),(3 161088.05),(4 208020.6),(5 246114.02),(6 283458.3),(7 322179.94),(8 360518.25),(9 399871.03),(10 434438),(11 468879.34),(12 496058),(13 527069.75),(14 544988.7),(15 554876),(16 567801.6),(17 576503.5),(18 585441.5),(19 594122.94),(20 598931.94),(21 596799),(22 596706.2),(23 598097),(24 598468.25),(25 600179.06),(26 599040.9),(27 596495.5),(28 599179.06),(29 610848.5),(30 621488.6),(31 623575.3),(32 626444.8),(33 627713.4),(34 629474.2),(35 632335.75),(36 638858.25),(37 640856.8),(38 649215.44),(39 663209.5),(40 660145),(41 640142.2),(42 635514.6),(43 634739.06),(44 634013.8),(45 630951.6),(46 624382.25),(47 623984.3),(48 622318.06),(49 618572.5),(50 610225.4),(51 602330.7),(52 599428.44),(53 588560.75),(54 569490.4),(55 561299.75),(56 548230.75),(57 529733.3),(58 518337.25),(59 508533.6),(60 502121.3),(61 498913.25),(62 496391.25),(63 492019.9),(64 498232.03),(65 511139.47),(66 519947.22),(67 530845.4),(68 539952.2),(69 551434.94),(70 573949),(71 593465.56),(72 606528.6),(73 614762.5),(74 627353.06),(75 644192),(76 653724.2),(77 662651.6),(78 664129.25),(79 665914),
(1 42729.934),(2 113399.266),(3 171080.2),(4 217321.89),(5 255001.1),(6 287089.7),(7 316242.84),(8 347897.84),(9 384766.2),(10 417636.56),(11 452413.6),(12 484008.1),(13 513030.66),(14 532593.5),(15 549475.94),(16 566583.3),(17 583156.94),(18 601183.06),(19 610856.2),(20 612493.4),(21 612369.2),(22 613507.94),(23 613714.25),(24 603319.2),(25 594453.4),(26 585048.1),(27 582668.44),(28 585952.2),(29 590731.56),(30 598500.56),(31 605156.75),(32 609469.25),(33 611349.1),(34 612720.75),(35 617742.5),(36 626074.1),(37 630873.9),(38 629921),(39 638753.25),(40 651060.3),(41 646274.1),(42 646176.3),(43 633244.9),(44 632291.56),(45 637438.1),(46 640347.3),(47 636944.25),(48 632167.06),(49 627122.6),(50 618674.2),(51 612597.9),(52 600891.94),(53 594820.2),(54 591316.3),(55 589487.25),(56 577542.5),(57 564898.5),(58 560183.44),(59 546807.5),(60 538220),(61 533244.4),(62 525510.44),(63 516871.28),(64 501568.75),(65 496048.6),(66 496721.72),(67 500755.3),(68 504400.84),(69 504471.3),(70 507938.47),(71 514701.06),(72 514806.47),(73 525829.94),(74 538352.9),(75 542584.8),(76 550704.06),(77 567067.9),(78 583673.44),(79 590691.25),
(1 41006.086),(2 107160.84),(3 161520.81),(4 203274.31),(5 233724.02),(6 266355.06),(7 299802.25),(8 335077.88),(9 371565.97),(10 403090.3),(11 430987.66),(12 447354.56),(13 462173.38),(14 472458.38),(15 482298.53),(16 494889.06),(17 508450.1),(18 522635.4),(19 529816.25),(20 529370.2),(21 529478.1),(22 528196.06),(23 532776.3),(24 539842.06),(25 546439.3),(26 550091.44),(27 552655.94),(28 555778.44),(29 559574.8),(30 570234.56),(31 578286.1),(32 578187.94),(33 585042.4),(34 593293.25),(35 606439.7),(36 607993.5),(37 604659.4),(38 609171.2),(39 626759.5),(40 634397.7),(41 640402.75),(42 637843.94),(43 642193.5),(44 637004.6),(45 622168.9),(46 609174.2),(47 602084.8),(48 600958.8),(49 601360.94),(50 594263.7),(51 582103.1),(52 577016.2),(53 574842.9),(54 568706),(55 560249.1),(56 550333),(57 543538.44),(58 533936.75),(59 514075.25),(60 498850.97),(61 486720.1),(62 479112.5),(63 471715.06),(64 467436.2),(65 465475.3),(66 465564.34),(67 471588.3),(68 476512.78),(69 473492.9),(70 474002.94),(71 481848.78),(72 491535.38),(73 505753.2),(74 515459.1),(75 519146.13),(76 533049.44),(77 538386.9),(78 542375.4),(79 552460.2),
(1 39200.18),(2 99856.66),(3 146193.75),(4 179728.02),(5 204054.69),(6 234700.89),(7 264534.75),(8 290151.47),(9 316633.5),(10 340386.3),(11 358255.22),(12 372567.97),(13 385257.6),(14 389946.25),(15 396470.3),(16 404197.5),(17 410301.38),(18 418595.9),(19 424833.38),(20 427416.16),(21 431503.47),(22 429882.94),(23 432583.75),(24 438564.84),(25 438362.78),(26 437230.63),(27 441163.3),(28 446837.44),(29 449845.7),(30 455612.97),(31 461937.88),(32 465420.13),(33 473480.8),(34 485711.84),(35 497757.56),(36 507791.2),(37 512114.75),(38 512070.8),(39 520033.7),(40 525994),(41 530470.7),(42 540522.9),(43 553277.06),(44 548807.6),(45 540473.6),(46 532821.06),(47 528666.1),(48 527621.06),(49 526218.3),(50 526326.3),(51 529481.56),(52 527164.4),(53 523938.84),(54 526946.6),(55 526172.25),(56 520707.88),(57 509913.78),(58 498056.5),(59 486684.66),(60 477960.44),(61 466333.16),(62 453179.25),(63 443775.38),(64 440181.63),(65 434918.1),(66 429146.8),(67 426862.84),(68 426780.84),(69 427150.66),(70 431241.56),(71 431735.22),(72 432459.06),(73 430858.66),(74 429169.22),(75 436972.03),(76 452178.44),(77 459730.84),(78 466442.25),(79 470385.5),
(1 40134.17),(2 102338.55),(3 145671.23),(4 179500.34),(5 204486.47),(6 234089.67),(7 265251.2),(8 289552.66),(9 309186.03),(10 327389.75),(11 345613.34),(12 355476.16),(13 365733.94),(14 370863.34),(15 377529.13),(16 386816.97),(17 392232.72),(18 398035.2),(19 399856.25),(20 399968.3),(21 402511),(22 406958.53),(23 416943.3),(24 427564.94),(25 429230.53),(26 428122.84),(27 430480.1),(28 433731.56),(29 435875.8),(30 443317.34),(31 449779.22),(32 457423.72),(33 463429.56),(34 465257.25),(35 473797.66),(36 478321.97),(37 484744),(38 485665.16),(39 494603.84),(40 498513.7),(41 500049.47),(42 495591.5),(43 492139),(44 488859.72),(45 485256.8),(46 481270.47),(47 480653.63),(48 481951.03),(49 481407.9),(50 481308.94),(51 480957.25),(52 477286.5),(53 473048.94),(54 471427.16),(55 463611.03),(56 456348.7),(57 451908.3),(58 444323.2),(59 433084.94),(60 427064.44),(61 417985.8),(62 410991.5),(63 412255.22),(64 411831.4),(65 413075),(66 416639.28),(67 419487.3),(68 423717.97),(69 433229.28),(70 441183.03),(71 449962.2),(72 455159.75),(73 456768.4),(74 455749.16),(75 460868.78),(76 460093.66),(77 461422.5),(78 459395.63),(79 461000.88),
(1 35623.53),(2 88952.59),(3 125174.51),(4 155416.95),(5 179814.66),(6 206652.34),(7 228657.78),(8 244923.05),(9 259979.33),(10 274257.94),(11 289749),(12 303233.97),(13 311459),(14 315235),(15 319910.22),(16 329318.63),(17 338368.63),(18 346961.28),(19 345900.5),(20 347857.75),(21 352431.38),(22 354896.94),(23 361726.72),(24 366637.94),(25 366372.84),(26 367662.06),(27 368527.38),(28 371485.63),(29 378205.6),(30 382253.38),(31 384121.28),(32 388135.3),(33 393788.72),(34 401145.75),(35 402688.56),(36 403858.2),(37 410352.16),(38 413860.9),(39 418949.2),(40 419706.38),(41 422855.28),(42 423702.97),(43 424521.94),(44 420539.7),(45 419080.2),(46 424027.8),(47 422861.94),(48 417972.34),(49 419197.53),(50 420667),(51 421008.88),(52 419303.38),(53 414630.1),(54 411684.03),(55 406877.66),(56 404388.2),(57 401390.4),(58 394960.4),(59 392933.53),(60 396290.06),(61 391730.53),(62 387494.22),(63 388107.1),(64 389579.3),(65 392952.56),(66 399114.3),(67 397153.6),(68 396021.38),(69 399879.9),(70 402187.25),(71 403734.13),(72 406562.06),(73 405822.78),(74 404203.7),(75 404522.2),(76 400708.5),(77 398458.47),(78 400551.6),(79 399396.84),
(1 35194.723),(2 88149.164),(3 125099.305),(4 156639.77),(5 185732.28),(6 217986),(7 243217.61),(8 263501.66),(9 282536.25),(10 303385.66),(11 322716.94),(12 334725.34),(13 340934.3),(14 344614.56),(15 353491.8),(16 364984.9),(17 375033.97),(18 382481.94),(19 383665.47),(20 385792.56),(21 386268),(22 384389.6),(23 389644.84),(24 394025.78),(25 396525.78),(26 400668.25),(27 400727.84),(28 404190.34),(29 410123.8),(30 414370.56),(31 417124.94),(32 420699.25),(33 425784.56),(34 432328.06),(35 440748.03),(36 443472.03),(37 443878.25),(38 446414.03),(39 449186.25),(40 452222.4),(41 451614.97),(42 449833.5),(43 450064.34),(44 445891.97),(45 441116.84),(46 436197.22),(47 433567.5),(48 433761.44),(49 429130.88),(50 421057.63),(51 411044.9),(52 406838.53),(53 408353.8),(54 402543.6),(55 393257.4),(56 388933.97),(57 389220.6),(58 385155.63),(59 376705.1),(60 373250.9),(61 367506.7),(62 368619.47),(63 372778.5),(64 372770.13),(65 371980.75),(66 374128.9),(67 381908.06),(68 383192.44),(69 387378.78),(70 389170.94),(71 394735.44),(72 404849.84),(73 412261.4),(74 418740.66),(75 425844.56),(76 431259.47),(77 440273.06),(78 436177.4),(79 432276.9),
(1 36861.516),(2 90059.84),(3 128060.82),(4 158037.83),(5 183569.97),(6 209670.23),(7 235775.36),(8 258856.39),(9 284547.7),(10 308622.9),(11 328908.8),(12 342630.53),(13 355080.78),(14 367153.72),(15 378961.44),(16 389208.06),(17 395967.84),(18 404515.66),(19 410988.72),(20 415921.13),(21 422099.03),(22 428038.13),(23 439468.34),(24 443617.1),(25 447145.3),(26 449884.56),(27 455974.7),(28 465546.8),(29 470364.97),(30 475938.28),(31 483993.4),(32 488950.5),(33 493417.9),(34 500603.2),(35 506108.9),(36 508891.34),(37 514342.44),(38 513880.97),(39 514304.72),(40 518788.72),(41 512155.16),(42 508066.25),(43 502521),(44 493879.03),(45 479843.34),(46 472221.72),(47 468062.34),(48 464925.2),(49 461675.5),(50 457453.7),(51 447822.9),(52 438429.44),(53 433512.06),(54 424669.06),(55 416332.6),(56 409381.5),(57 402215.72),(58 396582.1),(59 393980.7),(60 393321.84),(61 390050.78),(62 393000.88),(63 398085.75),(64 402157.94),(65 405170.66),(66 405642.72),(67 409677.88),(68 415903.16),(69 423622.78),(70 428282.16),(71 437334.88),(72 447651.22),(73 454668.72),(74 468119.72),(75 480227.4),(76 484032.25),(77 487559.38),(78 484700.28),(79 483913.7),
(1 37124.254),(2 90239.98),(3 129144.914),(4 158103.28),(5 180931.64),(6 205948.67),(7 234108.23),(8 260639.92),(9 284855.84),(10 306917.16),(11 326094.13),(12 340991.44),(13 356135.53),(14 372606.94),(15 388119.7),(16 400609.03),(17 408350.97),(18 414678.06),(19 418577.6),(20 419633.2),(21 422836.03),(22 430354.1),(23 436548.5),(24 436749.78),(25 437273.06),(26 436147.3),(27 437538.97),(28 443745.34),(29 442924.25),(30 444423.72),(31 445191.84),(32 445998.66),(33 444893.28),(34 447276.34),(35 450106.5),(36 452291.25),(37 456179.13),(38 454310.1),(39 458325.66),(40 456575.84),(41 452560.25),(42 454269.8),(43 452842.5),(44 441437.97),(45 434919.06),(46 433123.75),(47 426588.63),(48 429479.8),(49 426503.16),(50 417443.25),(51 411439.25),(52 400825.9),(53 392722.78),(54 387701.16),(55 381888.6),(56 373467.56),(57 367008.28),(58 360357.38),(59 358110.8),(60 352787.97),(61 346119.84),(62 350634.06),(63 357842.22),(64 362769.5),(65 371384.56),(66 372758.3),(67 373735.72),(68 385696.94),(69 396104.7),(70 404081.9),(71 408661.78),(72 412498.97),(73 421480.63),(74 427147.88),(75 433999.06),(76 442752.16),(77 442249.3),(78 446077.06),(79 453817.88),
(1 37202.348),(2 90682.33),(3 123965.12),(4 154855.02),(5 181994.67),(6 210721.1),(7 239778.08),(8 260194.9),(9 281728.44),(10 298528.5),(11 314484),(12 324254.72),(13 331880.03),(14 339086.1),(15 351829.28),(16 359880.9),(17 366325.88),(18 368837.22),(19 369639.88),(20 368741.03),(21 365013.25),(22 372729.84),(23 378915.3),(24 376681.8),(25 372714.28),(26 367816.16),(27 369542.5),(28 374734.34),(29 377188.22),(30 383156.97),(31 394943.22),(32 405084.03),(33 413090.88),(34 411333.3),(35 416059.88),(36 428136),(37 433036.56),(38 429862.47),(39 427564.22),(40 429184.9),(41 430974.1),(42 426138.97),(43 419817.7),(44 416435.66),(45 416404.56),(46 413848.03),(47 406556.38),(48 403942.06),(49 399934.38),(50 393979.97),(51 384156.9),(52 374964.13),(53 370806.53),(54 370143.34),(55 364560.4),(56 359963.8),(57 349412.56),(58 345133.75),(59 343208.72),(60 342471.78),(61 336985.03),(62 335070.75),(63 339324.97),(64 342426.2),(65 347883.66),(66 351330.16),(67 356616.7),(68 364107.22),(69 374022.7),(70 379456),(71 386618.2),(72 393160.47),(73 393998.6),(74 401271.22),(75 408296.38),(76 411621.88),(77 412339.38),(78 414907.34),(79 416468.03),
(1 32490.264),(2 76468.01),(3 108483.195),(4 136686.38),(5 160567.69),(6 184227.97),(7 205836.73),(8 223781.75),(9 243835.3),(10 258208.63),(11 272312.06),(12 284365.75),(13 291649.75),(14 298202.75),(15 303477.6),(16 306578.5),(17 308987.44),(18 313567.13),(19 319310.53),(20 324053.6),(21 325152.63),(22 327027.78),(23 331491.6),(24 335339.22),(25 336454.25),(26 338214.03),(27 345168.25),(28 354787.34),(29 358751.1),(30 361657.75),(31 366760.34),(32 369418.2),(33 371985.47),(34 372520.53),(35 376339.94),(36 379256.22),(37 383816.06),(38 383552.97),(39 388148.63),(40 390263.66),(41 392685.03),(42 399498.4),(43 403307.88),(44 395617.34),(45 389509.7),(46 389794.47),(47 387519.3),(48 384690.6),(49 376503.5),(50 371103.44),(51 366805.44),(52 359406.03),(53 353155.63),(54 344580.7),(55 338631.13),(56 334824.94),(57 328508.6),(58 321059.3),(59 315343.47),(60 311142.38),(61 311422.6),(62 312865.44),(63 315830.66),(64 314795.3),(65 317499.38),(66 318639.22),(67 316278.3),(68 316210.84),(69 319648.28),(70 321947.16),(71 322426.25),(72 326939.44),(73 332199.9),(74 334631.1),(75 337852.3),(76 344128.75),(77 349000.75),(78 347544.84),(79 348540.75),
(1 35642.57),(2 82139.234),(3 113328.89),(4 145923.52),(5 172382.8),(6 200212.19),(7 226695.25),(8 247680.64),(9 272107.7),(10 293968.22),(11 313437.3),(12 321545.66),(13 331303.63),(14 340488.5),(15 349064.3),(16 357347.3),(17 367283.03),(18 377437.47),(19 383002.78),(20 387540.06),(21 390705.66),(22 394204.72),(23 395122.88),(24 399582.44),(25 405185.4),(26 407871.56),(27 413145.28),(28 415005),(29 414683.5),(30 415931),(31 412649.5),(32 411458.03),(33 414869.53),(34 417917.66),(35 422857.78),(36 427361.28),(37 430256.44),(38 423833.47),(39 427723.38),(40 422880.3),(41 421607.63),(42 418775.63),(43 411259.44),(44 405498.53),(45 405579.94),(46 401216.44),(47 393785.1),(48 388649.03),(49 381862.88),(50 377409.38),(51 368168.8),(52 361161.03),(53 360508.88),(54 354854.78),(55 352545.16),(56 349523.47),(57 346373.16),(58 344814.8),(59 340802.4),(60 338938.72),(61 342750.5),(62 343199.66),(63 345478.63),(64 351938.47),(65 355069.78),(66 360255.94),(67 368727.7),(68 371743.97),(69 377458.1),(70 383635.38),(71 391120.8),(72 398141.5),(73 405162.78),(74 408525.66),(75 412242.03),(76 416209.38),(77 418882.5),(78 411797.88),(79 409436.2),
(1 33133.09),(2 77875.31),(3 107221.875),(4 133874.9),(5 155451.42),(6 178311.47),(7 200980.83),(8 217954.38),(9 237499.83),(10 254057.63),(11 268504.63),(12 278000.4),(13 285695.5),(14 291015.7),(15 294054.7),(16 298438.1),(17 300968.44),(18 307344.28),(19 312922.38),(20 316508.56),(21 321086.16),(22 325243.72),(23 330424.56),(24 331792.9),(25 334905.25),(26 338976.63),(27 343460.63),(28 347501.9),(29 349032.28),(30 352111.38),(31 354791.72),(32 358570.34),(33 359613.53),(34 357428.5),(35 361391.22),(36 360023.4),(37 360949.16),(38 360398.44),(39 358733.53),(40 361503.72),(41 364141.4),(42 362181.97),(43 360477.28),(44 362720.75),(45 363314.13),(46 361026.47),(47 359930.13),(48 358567.3),(49 356782.3),(50 351227.97),(51 342463.78),(52 337141.38),(53 333388.56),(54 329186.16),(55 326662.1),(56 323447.03),(57 319027.75),(58 316052.25),(59 310676.47),(60 309306.63),(61 312160.38),(62 309480.75),(63 308739.72),(64 309579.44),(65 309380.84),(66 311666.9),(67 315986.56),(68 316485.44),(69 322119.03),(70 329275.75),(71 334388.53),(72 340718.34),(73 347826.3),(74 350406.1),(75 359214.88),(76 360938.03),(77 358834.75),(78 357449.44),(79 358870.6),
(1 35808.703),(2 79987.305),(3 109737.5),(4 136590.63),(5 156411.86),(6 179974.63),(7 202519.92),(8 216501.6),(9 235141.33),(10 249139.67),(11 258999.97),(12 268312.97),(13 274290.8),(14 279334.1),(15 282945.44),(16 283181.6),(17 284721.84),(18 290204.78),(19 287127.66),(20 289743.47),(21 296306.25),(22 299160.22),(23 304771.56),(24 308345.03),(25 311483.34),(26 314975.63),(27 316200),(28 317411.4),(29 318864.78),(30 316043.72),(31 317466.53),(32 317642.97),(33 317404.94),(34 321878.22),(35 329565.97),(36 333174.8),(37 333332.16),(38 330100.53),(39 331013.22),(40 328838.66),(41 324118.25),(42 317572.6),(43 312824.72),(44 310507.44),(45 306577.13),(46 302765.13),(47 296912.22),(48 296297.4),(49 294211.84),(50 289573.03),(51 286376.7),(52 280638.84),(53 283199.88),(54 281890.34),(55 278375.75),(56 280684.13),(57 280043.84),(58 280352.53),(59 280387.06),(60 277812.06),(61 281968.5),(62 283421),(63 288783.28),(64 292810.28),(65 289625.72),(66 287168.47),(67 291400.13),(68 293936.4),(69 296881.7),(70 300241.53),(71 296198.72),(72 294024.06),(73 294721.38),(74 295890.47),(75 294019.47),(76 293118.06),(77 295202.88),(78 296715.16),(79 296085.8),
(1 31803.254),(2 71263.54),(3 95590.55),(4 117934.516),(5 135794.3),(6 155214.98),(7 173090.02),(8 187998.92),(9 205701.63),(10 219011.61),(11 225986.22),(12 232352.88),(13 239452.75),(14 246708.67),(15 254336.4),(16 260651.83),(17 263997.1),(18 268450.03),(19 268426.28),(20 270301.7),(21 273791.7),(22 273768.5),(23 277133.28),(24 276474.94),(25 276979.4),(26 277840.1),(27 277791.22),(28 279736.97),(29 279179.88),(30 280388.56),(31 285235.22),(32 283335.9),(33 281250.9),(34 281738.5),(35 283789.16),(36 286589.78),(37 286664.22),(38 287529.5),(39 285142.25),(40 286450.06),(41 285526.78),(42 284279.5),(43 285965.6),(44 284599.75),(45 284613.25),(46 280667.78),(47 275981.25),(48 274222.7),(49 274812.13),(50 274448.38),(51 271382.7),(52 265291.47),(53 264294.16),(54 263895.3),(55 262365.06),(56 263527.53),(57 261426.75),(58 256916.56),(59 254488.08),(60 254683.44),(61 256200.5),(62 256632.47),(63 262253.06),(64 264971.53),(65 264138.3),(66 265663.16),(67 271873.94),(68 276643.72),(69 280402.47),(70 284061.06),(71 287196.06),(72 289861.72),(73 292863.25),(74 295037.78),(75 293707.66),(76 292142.75),(77 291792.72),(78 289166.53),(79 283007.1),
(1 34071.285),(2 73207.14),(3 96888.42),(4 121285.79),(5 138924.52),(6 158289.94),(7 174040.17),(8 186289.08),(9 200637.61),(10 210141.94),(11 215608.64),(12 221364.88),(13 223985.47),(14 231142.19),(15 236320.5),(16 235617.08),(17 237555.6),(18 239549.38),(19 236675.72),(20 236454.2),(21 236492.22),(22 234668.47),(23 238792),(24 239903.94),(25 240426.6),(26 241192.17),(27 242147.23),(28 245483.38),(29 246497.63),(30 245402.47),(31 249107.7),(32 251658.67),(33 252050.69),(34 255379.6),(35 256430.66),(36 254614.67),(37 259222.38),(38 265340.78),(39 267781.75),(40 267811.4),(41 275933.66),(42 275752.25),(43 274538.56),(44 273202.78),(45 268028.78),(46 261805.28),(47 256636.8),(48 251795.3),(49 252615.1),(50 254047.02),(51 253263.9),(52 251376.45),(53 251797.77),(54 248938.98),(55 246664.98),(56 243889.53),(57 242432.9),(58 242232.08),(59 235501.63),(60 234569.88),(61 235871.75),(62 232735.03),(63 238126.73),(64 240164.81),(65 241379.7),(66 245249.13),(67 247910.53),(68 250372.75),(69 252845.1),(70 258034.42),(71 259252.72),(72 260770.38),(73 261499.9),(74 258578.36),(75 260110.16),(76 259660.89),(77 259097.5),(78 256031.84),(79 257288.83),
(1 32779.03),(2 72198.77),(3 96338.34),(4 119307.805),(5 137462.02),(6 152425.78),(7 167889.92),(8 181636.7),(9 197762.45),(10 212399.75),(11 225184.75),(12 236110.64),(13 242081.95),(14 246860.98),(15 252499.94),(16 254009.42),(17 256591.13),(18 258944.98),(19 260298.94),(20 264116.75),(21 266645.7),(22 264460.94),(23 262395.22),(24 261274.11),(25 259824.5),(26 256575.52),(27 256272.1),(28 257029.69),(29 255484.39),(30 255846.39),(31 255770.13),(32 254747.78),(33 253708.06),(34 252649.19),(35 257773.75),(36 258559.94),(37 255371.75),(38 256949.89),(39 257333.16),(40 259240.89),(41 257970.3),(42 258862.69),(43 256805.75),(44 254428.52),(45 250984.4),(46 246459.56),(47 245740.5),(48 245715.4),(49 241105.72),(50 239268),(51 238734.2),(52 240871.7),(53 239345.66),(54 236547.27),(55 238069.73),(56 237335.53),(57 241772.67),(58 240913.95),(59 237152.23),(60 238011.34),(61 238604.75),(62 242160.9),(63 246660.83),(64 249894.1),(65 254357.06),(66 258147.05),(67 260514.31),(68 263806.8),(69 264040.78),(70 266534.63),(71 270576.9),(72 268857.25),(73 269265),(74 271603.06),(75 275273.9),(76 275927.38),(77 269292.4),(78 264476.78),(79 261866.05),
(1 32988.605),(2 70830.88),(3 96193.23),(4 124325.164),(5 143692.97),(6 164425.7),(7 181376.86),(8 195111.67),(9 214709.83),(10 231183.3),(11 242432.23),(12 253336.06),(13 259606.1),(14 266659.22),(15 274864.22),(16 280016.6),(17 285136.53),(18 290781.4),(19 290366.28),(20 291951),(21 290891.22),(22 290113.88),(23 289554.72),(24 288738.06),(25 293160.34),(26 298044.78),(27 304891.13),(28 311201.4),(29 310176.66),(30 314526.72),(31 316980.78),(32 317161.06),(33 317461.28),(34 317601.9),(35 320252.97),(36 321328.2),(37 321738.34),(38 320671.78),(39 318232.2),(40 316566.28),(41 313529.13),(42 309561.13),(43 306084.2),(44 304234.88),(45 298052.97),(46 287536.9),(47 281178.97),(48 277011.72),(49 268313.03),(50 262464.4),(51 254599.48),(52 252384.06),(53 249357.53),(54 241324.08),(55 242181.92),(56 238792.56),(57 238021.3),(58 236569.03),(59 233808.89),(60 232196.78),(61 232572.77),(62 234760.7),(63 237920.55),(64 240217.7),(65 245115.58),(66 251185.83),(67 256684.67),(68 261884.2),(69 267703.47),(70 276747.75),(71 280129.56),(72 283175.34),(73 284563.72),(74 287974.94),(75 286790.06),(76 286390.78),(77 286065.28),(78 282372.94),(79 280893.53),
