1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 23554.424),(2 63015.535),(3 96115.984),(4 118281.65),(5 130728.22),(6 140074.9),(7 148943.3),(8 158259.66),(9 168178.16),(10 177394.27),(11 181337.25),(12 181922.25),(13 183761.75),(14 187366.22),(15 191444.47),(16 199724.52),(17 207056.39),(18 205636.8),(19 201874.34),(20 202422.94),(21 208918.7),(22 218881.7),(23 222645.25),(24 221570.28),(25 221638.39),(26 217854.73),(27 214769.61),(28 212057.2),(29 207937.33),(30 205312.33),(31 206500.25),(32 207361.31),(33 208198.7),(34 209773.72),(35 210101.8),(36 210510.4),(37 211011.69),(38 212554.36),(39 214300.94),(40 214461.97),(41 213362.6),(42 214036.4),(43 213225.64),(44 210173.97),(45 211194.5),(46 214382.4),(47 216886.75),(48 217383.94),(49 214168.9),(50 214091.33),(51 217757.03),(52 223399.8),(53 228104.47),(54 233730.77),(55 235093.33),(56 233045.11),(57 232249.9),(58 232369.44),(59 233548.03),(60 235282.56),(61 237439.3),(62 242603.3),(63 247136.03),(64 248847.14),(65 247330.89),(66 243829.94),(67 239872.64),(68 238831.23),(69 241031.69),(70 242590.36),(71 239937.42),(72 237328.7),(73 235765.1),(74 237032.44),(75 238661.55),(76 238542.64),(77 236040.28),(78 232286.56),(79 227400.9),
(1 22525.863),(2 59041.695),(3 90027.14),(4 110983.08),(5 124047.95),(6 135024.81),(7 143559.19),(8 152806.81),(9 161945.05),(10 169339.64),(11 171818.02),(12 172556.73),(13 171965.05),(14 172380.78),(15 174816.66),(16 180400.08),(17 184503.64),(18 185655.16),(19 187575.33),(20 190583.27),(21 195188.19),(22 199766.34),(23 201000.92),(24 201502.73),(25 200181.05),(26 197230.05),(27 197565.3),(28 199636.47),(29 198970.28),(30 197977.88),(31 197728.39),(32 198784.63),(33 201910.33),(34 202752.58),(35 201484.58),(36 201486.55),(37 204210.52),(38 208763.8),(39 211754.34),(40 210334.31),(41 205858.16),(42 205666.23),(43 206807.64),(44 206181.92),(45 202118.16),(46 199929.89),(47 200413.31),(48 203056.44),(49 205079.8),(50 209653.7),(51 215963.2),(52 221523.64),(53 225207.42),(54 228553.39),(55 228186.27),(56 228434.36),(57 227660.22),(58 227300.89),(59 227692.8),(60 229289.13),(61 229179.5),(62 228984.3),(63 228324.92),(64 227435.34),(65 229764.75),(66 230217.25),(67 229672.92),(68 231086.88),(69 233061.92),(70 234334.53),(71 232618.48),(72 230661.56),(73 228530.77),(74 229581.36),(75 231727.94),(76 230378.97),(77 227879.81),(78 225297.66),(79 222322.88),
(1 21043.934),(2 56439.766),(3 87041.69),(4 105688.03),(5 117172.09),(6 127168.945),(7 136085.64),(8 144223.55),(9 152227.2),(10 158056.6),(11 162292.31),(12 166125.3),(13 170349.31),(14 176134.67),(15 180559.47),(16 182148.06),(17 179663.95),(18 179187.52),(19 180080.94),(20 184090.61),(21 189339.77),(22 191430.53),(23 190197.52),(24 191678.4),(25 195597.45),(26 197986.06),(27 199881.73),(28 198221.52),(29 197492.67),(30 198793.95),(31 200687.64),(32 198713.14),(33 197765.67),(34 198290.39),(35 198078.73),(36 198959.69),(37 199072.53),(38 198016.44),(39 198305.81),(40 198104.44),(41 196499.81),(42 196906.77),(43 198907.53),(44 197470.25),(45 192306.75),(46 187645.14),(47 186660.7),(48 188375.08),(49 188017.52),(50 188381.55),(51 188971.4),(52 188097.23),(53 190373.39),(54 194628.66),(55 198154.36),(56 201618.48),(57 205490.2),(58 207085.72),(59 207972.92),(60 208827.42),(61 209392.56),(62 210530.78),(63 210187.1),(64 210154.84),(65 212694.14),(66 214682.38),(67 214243.22),(68 215111.67),(69 216405.14),(70 215748.53),(71 213704.36),(72 211484.38),(73 208899.1),(74 206254.89),(75 206837.7),(76 204645.67),(77 203989.83),(78 206542.83),(79 207859.98),
(1 22034.357),(2 57733.215),(3 87119.414),(4 106242.734),(5 119395.37),(6 132364.95),(7 144719.52),(8 154897.4),(9 161256.89),(10 163569.16),(11 164187.1),(12 167017),(13 173868.9),(14 180675.67),(15 183844.92),(16 187314),(17 188838.83),(18 191717.66),(19 194949.5),(20 196619.3),(21 197164.17),(22 197005.75),(23 194031.56),(24 196354.3),(25 202217.64),(26 204331.1),(27 204325.4),(28 201692.17),(29 200313.44),(30 202307.94),(31 206433.8),(32 205526.03),(33 202924.94),(34 201521.34),(35 199956.7),(36 200929.56),(37 201073.4),(38 198528.28),(39 196597.98),(40 195529.75),(41 194897.42),(42 195093.53),(43 195222.36),(44 193552.95),(45 190875.6),(46 191237.94),(47 194241.55),(48 197597.84),(49 200450.67),(50 201638.78),(51 200717.97),(52 198114.9),(53 195180.16),(54 193826.47),(55 194604.6),(56 199342.5),(57 202965.31),(58 203288.56),(59 203751.27),(60 205104.6),(61 206333.17),(62 207324.31),(63 205072.78),(64 201477.2),(65 198759.2),(66 196632.33),(67 194638.36),(68 195882.16),(69 198853.33),(70 201926.03),(71 202172.67),(72 206014.75),(73 207181.94),(74 206416.4),(75 208727.7),(76 208813.34),(77 208888.84),(78 206900.11),(79 203426.98),
(1 22676.855),(2 58753.793),(3 88378.39),(4 106800.79),(5 117852.44),(6 127252.65),(7 136358.14),(8 145902.64),(9 153215.86),(10 156020.16),(11 157705.06),(12 161392.92),(13 168802.16),(14 175531.53),(15 179814.58),(16 184804.56),(17 183868.44),(18 182578.17),(19 183129.02),(20 184753.39),(21 184318.27),(22 182067.31),(23 176650.97),(24 176155.5),(25 179492.77),(26 182600.81),(27 184650.52),(28 183463.75),(29 183878.05),(30 186754.28),(31 191931.84),(32 191741.45),(33 188744.38),(34 185630.7),(35 181818.56),(36 182069.44),(37 184882.23),(38 184762.08),(39 185985.05),(40 190439.22),(41 194412.19),(42 197166.33),(43 197451.19),(44 196753.73),(45 196377.1),(46 197663.1),(47 198827.95),(48 200364.22),(49 201247.73),(50 202237.8),(51 199224.75),(52 194349.8),(53 190635.45),(54 188388.81),(55 185598.39),(56 185735.63),(57 186642.7),(58 187562.55),(59 188890.14),(60 189614.88),(61 185781.14),(62 181892.34),(63 177969.33),(64 177215.69),(65 176475.22),(66 175052.39),(67 172850.8),(68 175989.97),(69 182166.98),(70 187407.97),(71 188634.02),(72 185461.36),(73 182003.1),(74 181705.1),(75 183141.27),(76 183756.97),(77 184712.83),(78 182273.78),(79 178258.69),
(1 20464.184),(2 52615.555),(3 78546.555),(4 95248.03),(5 106731.805),(6 116061.63),(7 123561.73),(8 128762.87),(9 134284.27),(10 138074.11),(11 141129.08),(12 143501.55),(13 146821.6),(14 151170.03),(15 156481.25),(16 158420.19),(17 157610.66),(18 158703.72),(19 161413.83),(20 163232.8),(21 163001.44),(22 163427.69),(23 161166),(24 161795.81),(25 163399.42),(26 164907.5),(27 167514.44),(28 168265.73),(29 168785.17),(30 170745.73),(31 173004.19),(32 173271.67),(33 170858.22),(34 169417.72),(35 168469.69),(36 168244.14),(37 167595.45),(38 169328.86),(39 171868.47),(40 176239.45),(41 178302.28),(42 180412.05),(43 183068.3),(44 184809.95),(45 187659.23),(46 189438.75),(47 191571.8),(48 194312.39),(49 194674.77),(50 192686.17),(51 192649.47),(52 193966.36),(53 195971.42),(54 197082.56),(55 192590.44),(56 189477.78),(57 188576.08),(58 188155.77),(59 187253.92),(60 187088.86),(61 185550.13),(62 184630.6),(63 183095.17),(64 180327.27),(65 179070.83),(66 180380.73),(67 182199.84),(68 183708.1),(69 183986.44),(70 184390.69),(71 185175.03),(72 186328.45),(73 185753.34),(74 187938.36),(75 189324.6),(76 186485.02),(77 184117.84),(78 182557.52),(79 180818.27),
(1 20432.951),(2 51558.98),(3 77586.14),(4 93817.69),(5 104797.12),(6 113645.54),(7 121917.195),(8 128746.32),(9 134985.34),(10 138997.42),(11 142331.44),(12 146245.05),(13 151351.67),(14 154841.1),(15 157759.55),(16 163367.84),(17 166106.08),(18 167927.66),(19 171441.7),(20 173665.64),(21 175785.92),(22 176930.98),(23 174575.25),(24 173073.14),(25 174251.83),(26 174883.13),(27 177176.75),(28 179161.25),(29 181124.28),(30 183543.63),(31 185942.13),(32 186054.75),(33 186600.47),(34 188009.06),(35 186001.78),(36 185806.19),(37 186088.06),(38 184850.67),(39 185899.38),(40 186566.92),(41 186353.13),(42 189994.28),(43 195290.33),(44 195593.48),(45 195360.72),(46 198432.58),(47 202473.52),(48 204271.8),(49 202181.88),(50 201689.36),(51 204163.66),(52 202524.4),(53 198697.27),(54 196872.38),(55 194724.52),(56 195692.05),(57 195570.03),(58 195425.56),(59 197558.14),(60 198835.5),(61 196753.8),(62 192097.89),(63 192822.75),(64 194052.47),(65 192565.06),(66 189685.5),(67 189560.6),(68 191959.47),(69 195462),(70 195707.53),(71 194543),(72 194529.97),(73 193801.61),(74 194756.7),(75 193696.53),(76 193234),(77 195371.27),(78 194960.25),(79 193722.1),
(1 19139.611),(2 48890.586),(3 73302.09),(4 89442.98),(5 100464.016),(6 109110.59),(7 113724.8),(8 117012.61),(9 120524.28),(10 126363.26),(11 132035.88),(12 138358.5),(13 145326.28),(14 151339.16),(15 157510.83),(16 163672.6),(17 164316.31),(18 163472.31),(19 163919.2),(20 161392.5),(21 160857.2),(22 162342.56),(23 164860.22),(24 168169.66),(25 173448.13),(26 177376.98),(27 178578.11),(28 177702.83),(29 177613.66),(30 179096),(31 179766.36),(32 176702.84),(33 177632.98),(34 179490.19),(35 178744.69),(36 177336.08),(37 176759.16),(38 177113.03),(39 176928.44),(40 175771.64),(41 174643.2),(42 177185.66),(43 179779.61),(44 178471),(45 178513.98),(46 180871.38),(47 182802.78),(48 184489.6),(49 181786.94),(50 179644.2),(51 179439.86),(52 177661.75),(53 177846.97),(54 181397.6),(55 183986.7),(56 184653.42),(57 182264),(58 179852.05),(59 181604.6),(60 183800.66),(61 184334.7),(62 185849.78),(63 188040.14),(64 188858.7),(65 186942.48),(66 185656.86),(67 187423.13),(68 188898.63),(69 189331.27),(70 189106.34),(71 190213.8),(72 191508.83),(73 191129.08),(74 191613.55),(75 190002.84),(76 188714.31),(77 190956.81),(78 192060.84),(79 189453.06),
(1 21092.201),(2 54117.96),(3 80936.39),(4 100032.43),(5 114180.13),(6 124774.21),(7 132474.61),(8 139415.56),(9 144237.75),(10 148204.31),(11 151752.84),(12 156039.84),(13 161487.03),(14 164642.98),(15 168090.48),(16 168850.31),(17 166786.16),(18 166488.67),(19 169316.25),(20 169502.67),(21 167859.25),(22 169373.86),(23 169888.58),(24 172217.5),(25 176049.48),(26 179572.38),(27 183240.33),(28 187134.9),(29 188486.44),(30 190437.8),(31 190219.17),(32 187242.42),(33 186399.97),(34 185575.78),(35 183359.34),(36 182105.05),(37 183508.34),(38 181905.69),(39 181165.38),(40 179810.11),(41 180912.97),(42 181783.38),(43 183477.28),(44 183310.88),(45 184362.42),(46 189466.22),(47 194311.95),(48 197519.52),(49 196423.97),(50 194881.2),(51 194829.73),(52 192607.36),(53 193682.08),(54 195671.14),(55 194009.19),(56 191864.6),(57 191400.95),(58 191111.9),(59 194507.84),(60 196981.17),(61 197630.1),(62 196045.44),(63 195892.9),(64 196774.38),(65 197209.83),(66 194684.75),(67 191928.78),(68 193033.89),(69 193254.53),(70 193196.06),(71 195280.55),(72 197535.17),(73 198154.97),(74 200857.8),(75 203699.03),(76 203379.14),(77 204677.48),(78 203386.63),(79 202007.28),
(1 19307.057),(2 50229.875),(3 74084.78),(4 88711.34),(5 97528.49),(6 105635.734),(7 114307.16),(8 123133.65),(9 130786.18),(10 134682.39),(11 134822.89),(12 137874.78),(13 143569.56),(14 149708.86),(15 154106.98),(16 154222.1),(17 154895.72),(18 158536.33),(19 162076.98),(20 162093.53),(21 161540.92),(22 163860.88),(23 167435.64),(24 171956.69),(25 176319.89),(26 177016.11),(27 177887.4),(28 180355.5),(29 181688.42),(30 181738),(31 177948.7),(32 174454.78),(33 173610.94),(34 174077.3),(35 172897.11),(36 171446.64),(37 170681.61),(38 169988.5),(39 169818.27),(40 169892.39),(41 168729.38),(42 169382.77),(43 171331.16),(44 171448.67),(45 171317.89),(46 172324.42),(47 172179.64),(48 171443.05),(49 169524.7),(50 165997.94),(51 164105.42),(52 164096.73),(53 166026.58),(54 167510.4),(55 166971.22),(56 165156.3),(57 163562.3),(58 163875.75),(59 164751.47),(60 166213.86),(61 166715.72),(62 166596.56),(63 166134.73),(64 167728.67),(65 170056.2),(66 171100.13),(67 170706.06),(68 170689.95),(69 169577.92),(70 169547.83),(71 172430.3),(72 178914.94),(73 183360.27),(74 184662.34),(75 185560.81),(76 185399.14),(77 186404.6),(78 187238.78),(79 184243.64),
(1 20328.273),(2 50778.75),(3 73562.45),(4 87481.62),(5 97948.055),(6 107959.66),(7 119560.17),(8 128202.52),(9 132979.03),(10 134557.2),(11 137182.61),(12 143554.13),(13 150752.06),(14 153885.63),(15 154737.1),(16 156343.53),(17 157170.5),(18 158048.5),(19 157200.61),(20 155062.23),(21 153929.73),(22 156702.9),(23 160277.66),(24 162935.22),(25 163701.7),(26 161364.2),(27 161045.39),(28 161479.47),(29 159967.56),(30 157537.63),(31 156008.3),(32 153595.42),(33 154739.67),(34 157146.95),(35 156132.1),(36 158190.61),(37 162288.81),(38 165618.3),(39 168374.63),(40 171747.53),(41 174988.81),(42 177752.53),(43 180429.89),(44 181696.97),(45 180133.72),(46 180349.89),(47 179980.2),(48 178564.75),(49 174237.86),(50 168568.83),(51 167797.48),(52 168989.86),(53 173101.14),(54 175616.13),(55 171589.28),(56 167386.14),(57 167471.66),(58 168259.08),(59 169311.39),(60 171548.84),(61 174145.1),(62 176688.1),(63 178003.34),(64 177832.7),(65 179060.55),(66 180711.83),(67 180648.22),(68 180832.9),(69 182907.63),(70 184910.88),(71 186432.38),(72 185581.7),(73 183054.88),(74 182869.63),(75 183480.42),(76 184236.14),(77 186439.38),(78 188925.97),(79 189250.72),
(1 20370.713),(2 51886.613),(3 76065.66),(4 89808.73),(5 99479.484),(6 108019.41),(7 115776.94),(8 121201.76),(9 125107.25),(10 130198.22),(11 135428.8),(12 141218.06),(13 145166),(14 148380.45),(15 152092.1),(16 154483.25),(17 154395.48),(18 157433.78),(19 160565.33),(20 159963.25),(21 161303.02),(22 164342.89),(23 166787.23),(24 167791.16),(25 166047.31),(26 162938.8),(27 161114.75),(28 162028.39),(29 162395.5),(30 160531.63),(31 158022.94),(32 158179.19),(33 160339.03),(34 161211.9),(35 159040.4),(36 160544.25),(37 165764.78),(38 169902.75),(39 171940.86),(40 171363.31),(41 170122.53),(42 170931.5),(43 172224.4),(44 174251.94),(45 175202.25),(46 177295.19),(47 176625.47),(48 176508.86),(49 175399.56),(50 175250.53),(51 177615.3),(52 178375.95),(53 181406.97),(54 185828.95),(55 183638.9),(56 184150.42),(57 186501.95),(58 186119.7),(59 187599.2),(60 189275.45),(61 187812.03),(62 185599.17),(63 183416.78),(64 180789.88),(65 180698.72),(66 182818.94),(67 183903.05),(68 185077.47),(69 186700.78),(70 187092.72),(71 187378.63),(72 187523.88),(73 186295.53),(74 185435.7),(75 186240.23),(76 184508.4),(77 184153.23),(78 182872.72),(79 179928.42),
(1 18818.246),(2 47466.816),(3 68719.82),(4 82817.5),(5 92973.555),(6 102432.25),(7 110166.734),(8 116645.87),(9 121184.27),(10 125078.96),(11 127667.68),(12 129844.55),(13 131220.58),(14 133687.77),(15 136551.7),(16 138286.63),(17 138978.02),(18 141967),(19 147490.39),(20 148702.58),(21 148298.1),(22 151577.86),(23 155097.88),(24 157752.66),(25 158236.95),(26 156047.22),(27 155377.56),(28 158234.47),(29 155350.81),(30 150491.75),(31 147753.19),(32 147085.6),(33 149583.13),(34 151463.17),(35 151176.08),(36 154010.06),(37 157228.58),(38 157852.48),(39 159544.75),(40 158529.72),(41 156088.81),(42 156510.64),(43 157898.45),(44 159037.44),(45 158602.19),(46 159396.31),(47 159493.73),(48 161030.9),(49 161831.4),(50 163380.55),(51 165502.97),(52 166517.3),(53 166633.28),(54 167694.61),(55 165472.89),(56 165749.56),(57 165478.39),(58 164566.9),(59 165793.55),(60 167432.81),(61 167908.83),(62 168635.14),(63 170302.67),(64 171372.58),(65 171502.22),(66 170564.81),(67 168152.88),(68 168806.9),(69 170593.34),(70 170521.03),(71 170890.97),(72 170863.78),(73 170323.88),(74 170738.34),(75 171809.34),(76 169854.64),(77 169272.92),(78 169076.17),(79 167370.42),
(1 18020.9),(2 45555.36),(3 68625.914),(4 85441.625),(5 97955.016),(6 108935.46),(7 119137.43),(8 126562.33),(9 131816.48),(10 136140.5),(11 137251.42),(12 139471.16),(13 141860.9),(14 143652.11),(15 144388.88),(16 146113.77),(17 145565.97),(18 147245.34),(19 147623.42),(20 146426.48),(21 147105.28),(22 153111.52),(23 153586),(24 153667.75),(25 154229.47),(26 155330.83),(27 155315.97),(28 155450.1),(29 155305.17),(30 155456.95),(31 155787.55),(32 155290.83),(33 154739.61),(34 154621.83),(35 153598.17),(36 153324.16),(37 155382.75),(38 157514.69),(39 159971.17),(40 162504.66),(41 164097.92),(42 163822.83),(43 163429.89),(44 162475.6),(45 162990.88),(46 161919.11),(47 161261.19),(48 160016.48),(49 158533.34),(50 159657.55),(51 161609.27),(52 159960.14),(53 159280.5),(54 163014.69),(55 165468.3),(56 168669.16),(57 171432.28),(58 172187.19),(59 173041.23),(60 174331.67),(61 173864.5),(62 172717),(63 171105.22),(64 169529.66),(65 170930.98),(66 170785.42),(67 170084.86),(68 169679.28),(69 168106.6),(70 167336.92),(71 168136.39),(72 169414.86),(73 168041.31),(74 167252.4),(75 168209.5),(76 165830.06),(77 164209.19),(78 163850.3),(79 161715.64),
(1 18182.744),(2 45431.504),(3 66838.25),(4 80409.695),(5 89543.86),(6 99046.08),(7 108163.94),(8 114382.64),(9 117928.42),(10 121404.76),(11 124267.63),(12 127117.5),(13 130332.34),(14 132790.13),(15 133467.27),(16 132370.22),(17 132244.75),(18 133634.97),(19 135696.6),(20 136489.66),(21 137010.72),(22 140772.36),(23 142146.73),(24 141700.89),(25 141328.17),(26 141521.67),(27 142885),(28 142723.92),(29 140427.08),(30 138437.7),(31 138247.52),(32 139077.95),(33 138922.56),(34 138473.39),(35 137513.1),(36 140329.95),(37 142866.98),(38 143124.92),(39 143501.16),(40 144531.27),(41 145742.17),(42 147234.38),(43 149370.05),(44 150791.36),(45 152129.25),(46 151410.8),(47 149806.38),(48 148200.42),(49 146245.06),(50 145646.48),(51 148258.36),(52 148930.69),(53 149401.72),(54 151745.4),(55 152856.88),(56 154269.45),(57 153303.2),(58 152222.23),(59 153592.36),(60 156746.72),(61 155439.08),(62 154124.69),(63 154290.53),(64 153038.22),(65 151252.27),(66 149854.36),(67 149197.3),(68 150115.4),(69 151714.13),(70 153883.52),(71 155903.83),(72 159272.94),(73 158056.78),(74 156466.17),(75 156470.06),(76 157985.8),(77 159880.58),(78 160869.28),(79 157689.83),
(1 18574.484),(2 45774.754),(3 67051.516),(4 80992.7),(5 90135.125),(6 97028.77),(7 104396.14),(8 110761.05),(9 115720.23),(10 117600.14),(11 119749.13),(12 121586.37),(13 126581.06),(14 131616.38),(15 134494.83),(16 135658.77),(17 135137.98),(18 137114.63),(19 140475.14),(20 141934.9),(21 143443.98),(22 147739.75),(23 148170.58),(24 148926.53),(25 152012.22),(26 153097.47),(27 152958.64),(28 153790.22),(29 151619),(30 149748.81),(31 149128.08),(32 147345.39),(33 146149.92),(34 144692.11),(35 142957.63),(36 144706.64),(37 148143.06),(38 149751.86),(39 149217.2),(40 148842.67),(41 148852.39),(42 151023.9),(43 153247.8),(44 151592.11),(45 150461.95),(46 149957.56),(47 150068.23),(48 151420.83),(49 152789.08),(50 152557.64),(51 154441.69),(52 155253.94),(53 155636.5),(54 156311.44),(55 154018.98),(56 153196.67),(57 151533.53),(58 150644.84),(59 152266.36),(60 155027.55),(61 155745.16),(62 154476.4),(63 153345.72),(64 151956.75),(65 151637.64),(66 151646.45),(67 149907.06),(68 148950.53),(69 150223.44),(70 151316.16),(71 153154.14),(72 153050.27),(73 151966.48),(74 153003.61),(75 155194.03),(76 154796.61),(77 153789.19),(78 153773),(79 152462.63),
(1 18117.162),(2 44604.543),(3 65444.676),(4 78531.24),(5 87324.35),(6 95710.51),(7 103677.35),(8 110216.32),(9 116297.91),(10 119702.375),(11 123235.37),(12 127319.42),(13 133403.36),(14 138454.84),(15 140370.73),(16 142361.7),(17 144100.58),(18 145788.5),(19 146632.05),(20 145284.34),(21 144838.77),(22 147134.83),(23 148088.83),(24 150052.19),(25 152079.03),(26 152690.13),(27 155372.11),(28 156412.94),(29 154326.66),(30 153503.56),(31 153185.83),(32 150884.88),(33 148309.17),(34 147670.67),(35 147638.95),(36 148656.47),(37 150191.98),(38 150238.28),(39 151890.53),(40 152961.6),(41 152455.4),(42 154626.64),(43 156969.88),(44 156277.4),(45 156199.83),(46 155347.53),(47 153496.16),(48 155419.13),(49 157009.63),(50 157830.7),(51 159734.22),(52 158694.6),(53 159124.06),(54 161531.92),(55 159911.73),(56 157550.06),(57 156600.64),(58 155994.48),(59 156748.88),(60 157599.95),(61 155981.13),(62 154312.77),(63 153540.67),(64 153342.98),(65 155376.17),(66 156285.75),(67 156453.7),(68 158201.69),(69 158384.38),(70 157939.55),(71 158769.98),(72 160018.23),(73 158567.05),(74 158168.55),(75 158755.05),(76 156170.17),(77 153447.27),(78 152419.47),(79 153839.42),
(1 18125.316),(2 44075.53),(3 62424.543),(4 73554.836),(5 81768.984),(6 89827.62),(7 96037.36),(8 100902.805),(9 106474.4),(10 111560.74),(11 114990.26),(12 119069.33),(13 123712.89),(14 126563.15),(15 129423.73),(16 129208.53),(17 128752.42),(18 129057.03),(19 129193.8),(20 128675.74),(21 130194.33),(22 134588.31),(23 134538.4),(24 133939.95),(25 133637.75),(26 133454),(27 133629.83),(28 134016.94),(29 133822.16),(30 135113.86),(31 136026.9),(32 133817.06),(33 131565.05),(34 131715.75),(35 131868.28),(36 132947.84),(37 134440.23),(38 135885.47),(39 138084.95),(40 139035.48),(41 136859.81),(42 137169.97),(43 139207.61),(44 140986.77),(45 141665.22),(46 140784.64),(47 139897.02),(48 141263.48),(49 141145.38),(50 139805.94),(51 140470.34),(52 141360.34),(53 143159.38),(54 145295.33),(55 143705.56),(56 144807.19),(57 146467.52),(58 145165.5),(59 144448.69),(60 144203.61),(61 142812.94),(62 142760.23),(63 143495),(64 142926.89),(65 142994.33),(66 143421.72),(67 142421.08),(68 141265.14),(69 141864.4),(70 141732.5),(71 143306.23),(72 145408.61),(73 144625.5),(74 143847.44),(75 144838.33),(76 143925.11),(77 143143.13),(78 141933.14),(79 141492.75),
(1 18406.793),(2 44458.094),(3 63519.824),(4 75661.19),(5 82917.516),(6 90484.81),(7 95969.266),(8 100810.55),(9 105016.85),(10 109156.82),(11 111624.22),(12 114071.73),(13 117867.234),(14 122345.5),(15 126044.016),(16 128279.086),(17 128628.22),(18 129877.13),(19 130752.46),(20 127511.66),(21 128599.87),(22 132448.47),(23 133022.69),(24 133763.19),(25 133501.97),(26 132187.42),(27 131829.6),(28 130645.73),(29 127191.52),(30 125956.35),(31 125757.52),(32 123922.15),(33 122487.66),(34 123593.66),(35 124853.1),(36 125540.805),(37 126908.664),(38 128193.54),(39 130447.12),(40 133519.8),(41 134631.84),(42 136379.44),(43 137224.64),(44 136743.53),(45 137333.92),(46 137574.58),(47 137712.69),(48 139826.53),(49 141278.72),(50 142573.75),(51 144829.69),(52 145342.94),(53 145412.58),(54 146338.11),(55 145085.73),(56 144583.53),(57 144387.7),(58 142829.77),(59 142471.86),(60 143367.81),(61 142821.58),(62 141393.2),(63 141380.67),(64 143239.73),(65 145554.92),(66 145774.36),(67 143633.8),(68 142005.16),(69 141876.1),(70 141431.53),(71 142054.27),(72 144086.77),(73 143032.3),(74 141890.58),(75 143182.16),(76 144976.28),(77 145295.83),(78 146011.6),(79 146164.66),
