(1 88289.53),(2 152782.66),(3 152593.31),(4 222411.6),(5 391854.13),(6 513730.6),(7 516387.38),(8 651868.5),(9 874391.06),(10 972995.75),(11 976131.2),(12 1103558.1),(13 1387826.8),(14 1540629.3),(15 1546742.4),(16 1703226.9),(17 1962228.4),(18 2065702.8),(19 2066058.9),(20 2177893),(21 2434863.3),(22 2533766.3),(23 2530962.5),(24 2697930.3),(25 2832901.5),(26 2928214.5),(27 2930634),(28 3011342.8),(29 3048351.8),(30 3132092.5),(31 3132282.5),(32 3248735.3),(33 3398504.3),(34 3406584),(35 3405421.8),(36 3449444.8),(37 3472895.8),(38 3499055.8),(39 3503365),(40 3537908.5),(41 3557864),(42 3589883.5),
(1 96992.3),(2 168327.42),(3 168714.23),(4 251818.08),(5 470901.2),(6 582862.3),(7 584618.44),(8 712057.1),(9 963258.1),(10 1119733.5),(11 1119315.5),(12 1274179.1),(13 1581947.5),(14 1749494.3),(15 1750900.1),(16 1903550.6),(17 2124440.5),(18 2179468.3),(19 2182173.5),(20 2177808.3),(21 2258254.8),(22 2327044.5),(23 2332640.5),(24 2440262.3),(25 2494772.8),(26 2489253.8),(27 2494517.3),(28 2514023),(29 2547974),(30 2588724.8),(31 2589307.8),(32 2655609.5),(33 2675325),(34 2647563.8),(35 2651628.8),(36 2645933.3),(37 2654238.8),(38 2667012.3),(39 2659716.8),(40 2656632),(41 2756923.8),(42 2793773),
(1 73456.43),(2 131573.34),(3 131721.9),(4 194373.92),(5 374010.4),(6 483253.2),(7 483923.34),(8 622845.6),(9 898308),(10 1064762.5),(11 1065447.3),(12 1239832.8),(13 1650016.3),(14 1840951.6),(15 1843341.6),(16 2049067.8),(17 2353769.3),(18 2484296.3),(19 2483874.3),(20 2544800),(21 2604773.3),(22 2689007),(23 2690879),(24 2778960),(25 2757278.8),(26 2757344.5),(27 2759452.5),(28 2790739.8),(29 2874967.8),(30 2902208.8),(31 2902920.3),(32 2936454.3),(33 3037307.8),(34 3052215.3),(35 3057672.5),(36 3088547.8),(37 3098908.8),(38 3079843.3),(39 3082092.8),(40 3032959.5),(41 3012687.5),(42 2998051.8),
(1 79940.86),(2 132306.53),(3 132521.9),(4 196594.73),(5 382424.03),(6 494322.03),(7 492909.6),(8 628328.7),(9 877604.56),(10 993362.5),(11 996216.25),(12 1144083.1),(13 1353443.9),(14 1432358.8),(15 1434034.8),(16 1541224.3),(17 1848031.9),(18 2016654.8),(19 2018343),(20 2187566.3),(21 2392586.3),(22 2438357.8),(23 2443576.3),(24 2470113.3),(25 2631871.5),(26 2731792.5),(27 2738537.8),(28 2760975.3),(29 2753355),(30 2770605),(31 2770019),(32 2857017.8),(33 3028521.8),(34 3112287),(35 3112317),(36 3190273.8),(37 3156110),(38 3162057.3),(39 3155159),(40 3160329.5),(41 3193451.3),(42 3146749),
(1 77776.04),(2 138859.61),(3 138877.81),(4 200306.06),(5 351923.28),(6 431312.16),(7 430339.4),(8 546890.8),(9 778636.7),(10 869950.8),(11 870779.25),(12 973200.25),(13 1188428.5),(14 1276893.9),(15 1279289.9),(16 1350939.9),(17 1420559),(18 1460015.6),(19 1457402.8),(20 1526644.1),(21 1740406.3),(22 1840492.1),(23 1838448),(24 1960427.9),(25 2064364.1),(26 2152612),(27 2156104.3),(28 2222336.3),(29 2347103.8),(30 2397818),(31 2398369),(32 2452823.5),(33 2531824.5),(34 2543628.5),(35 2545568),(36 2503771.3),(37 2509738.8),(38 2559105.5),(39 2561333.8),(40 2635421.5),(41 2653704.3),(42 2605022),
(1 70544.17),(2 140968.75),(3 141021.53),(4 228184.53),(5 465277.97),(6 607614.25),(7 610686.9),(8 755413.44),(9 1015112.4),(10 1105013.5),(11 1103490.4),(12 1158044.5),(13 1231796.8),(14 1277943.5),(15 1279849.3),(16 1327087.5),(17 1348593),(18 1379919.8),(19 1386452.8),(20 1438131.3),(21 1599770),(22 1712725),(23 1707405.1),(24 1799454.1),(25 1960020.3),(26 2049824),(27 2052365),(28 2116088),(29 2173293.3),(30 2161727.8),(31 2161850.3),(32 2148146),(33 2183219),(34 2184852.3),(35 2190075),(36 2186437),(37 2211508),(38 2238043.5),(39 2236748),(40 2239553),(41 2228905),(42 2218084.5),
(1 77184.7),(2 133674.33),(3 133724.63),(4 205207.8),(5 407683.72),(6 532629),(7 532758.3),(8 634016),(9 857482.5),(10 977255.8),(11 977384.9),(12 1084269.9),(13 1298282.3),(14 1375659.1),(15 1379676.4),(16 1424937.3),(17 1536720.3),(18 1654603.5),(19 1657105.3),(20 1766924.3),(21 1902439.8),(22 1920794.4),(23 1918091.6),(24 1952755.9),(25 2062901.9),(26 2107007.3),(27 2107062.5),(28 2156010.5),(29 2310842.5),(30 2372338.3),(31 2371727.3),(32 2428554.8),(33 2427637.5),(34 2448080.5),(35 2447425),(36 2444202.3),(37 2484331.5),(38 2492216.3),(39 2490173.5),(40 2475978.5),(41 2441591.3),(42 2436681.3),
(1 55251.055),(2 92670.234),(3 92551.945),(4 138490.2),(5 274055.28),(6 355877.88),(7 357257.97),(8 474614.63),(9 787532.3),(10 896208.3),(11 895323.8),(12 1017852.1),(13 1200714.8),(14 1240639.4),(15 1240273.8),(16 1300565.3),(17 1395235.9),(18 1468535.1),(19 1467366.1),(20 1506474.8),(21 1574998.4),(22 1590534.9),(23 1587237),(24 1658923.4),(25 1818565.5),(26 1854627.4),(27 1860848.5),(28 1918775.8),(29 2043270.9),(30 2076799.1),(31 2076822.9),(32 2132157.8),(33 2190246.8),(34 2190518.5),(35 2190773.3),(36 2203006.3),(37 2178415),(38 2208721.8),(39 2210289.3),(40 2242233.8),(41 2296489),(42 2271274),
(1 62838.266),(2 111134.23),(3 111066.086),(4 171248.23),(5 330818.88),(6 416873.25),(7 416680.7),(8 507202.5),(9 697068.56),(10 808868.1),(11 810522.9),(12 911182.3),(13 1134665.6),(14 1207070.3),(15 1205589.3),(16 1288877.8),(17 1472656.6),(18 1566168.5),(19 1561625.1),(20 1606282.8),(21 1637547.4),(22 1648417.8),(23 1652184.3),(24 1655377.8),(25 1616731.9),(26 1638374),(27 1637995.1),(28 1643732),(29 1648615.5),(30 1679319),(31 1678716.3),(32 1706663),(33 1790208.1),(34 1838956.5),(35 1839902.6),(36 1896888.9),(37 2006495.8),(38 2088969.1),(39 2086728.6),(40 2163785.3),(41 2183763),(42 2201396),
(1 60252.734),(2 107730.09),(3 107877.19),(4 164043.8),(5 344175.3),(6 432572.5),(7 433170.13),(8 525589.9),(9 692907.2),(10 776065.1),(11 772830.44),(12 818149),(13 961988.2),(14 1019758.8),(15 1020684.44),(16 1080651.8),(17 1225125),(18 1297455.8),(19 1299118),(20 1345313.6),(21 1396247.5),(22 1465539.9),(23 1468612.3),(24 1541156.5),(25 1643401.3),(26 1724442.8),(27 1724682.3),(28 1784780.1),(29 1874199.5),(30 1936580.6),(31 1936696.1),(32 1975917.3),(33 2123319.5),(34 2120915.3),(35 2120182.5),(36 2183915.3),(37 2270172.8),(38 2314510.5),(39 2314786.3),(40 2352130.5),(41 2395185),(42 2425630.5),
(1 79747.625),(2 142928.25),(3 143000.58),(4 213605.84),(5 365126.66),(6 428265.88),(7 428275.78),(8 525125),(9 705308.4),(10 763953.94),(11 763940),(12 830512.7),(13 892577.75),(14 922818.7),(15 921464.7),(16 940546.7),(17 1020322.94),(18 1089988.1),(19 1090223.9),(20 1149667.3),(21 1246696.4),(22 1270068.6),(23 1268392.1),(24 1300798.6),(25 1372470.3),(26 1447898.5),(27 1448053.8),(28 1524797.9),(29 1696687.9),(30 1737902.8),(31 1738150.4),(32 1799584),(33 1909133.4),(34 1949130.6),(35 1950517.5),(36 1977520),(37 2076069.4),(38 2120308),(39 2122018.5),(40 2168770.5),(41 2229323.5),(42 2240789.8),
(1 72001.49),(2 119214.42),(3 119244.234),(4 170338.63),(5 303439.5),(6 383196.53),(7 384047.28),(8 460240.2),(9 635359.7),(10 704950.25),(11 706809.44),(12 750410.3),(13 833087.3),(14 878981.3),(15 878805.7),(16 917046.25),(17 1029544.56),(18 1052702.9),(19 1049471.9),(20 1055408.6),(21 1130056.6),(22 1153315.5),(23 1152764.1),(24 1171915),(25 1213453.1),(26 1272843),(27 1274589.4),(28 1329336.5),(29 1401801.6),(30 1431091.5),(31 1431440.9),(32 1460741.5),(33 1481799.5),(34 1484714.9),(35 1486256.8),(36 1520342.3),(37 1605654),(38 1644605.5),(39 1643811.3),(40 1651910.6),(41 1700168.4),(42 1690994.5),
(1 83676.38),(2 133114.53),(3 133131.38),(4 186040.86),(5 329558.16),(6 391873.5),(7 392286.44),(8 487102.84),(9 682995.3),(10 774917.7),(11 775050.3),(12 830782.1),(13 891776.1),(14 927005.44),(15 930032.4),(16 990953.3),(17 1180863.8),(18 1280972.3),(19 1282919),(20 1365787.6),(21 1437789.8),(22 1459209.9),(23 1460878.8),(24 1493797),(25 1505432.3),(26 1531797.5),(27 1529648.3),(28 1558383.8),(29 1604452.6),(30 1640629.5),(31 1640461.1),(32 1699809.5),(33 1785825.9),(34 1846524.4),(35 1845611.8),(36 1887413),(37 1972717.8),(38 2001827.4),(39 2003456),(40 2009760),(41 2049710.6),(42 2040863),
