1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8829.37),(2 10302.033),(3 9296.191),(4 9937.074),(5 9845.937),(6 9920.055),(7 9877.783),(8 10330.51),(9 10742.848),(10 10741.706),(11 10952.191),(12 10589.045),(13 10914.743),(14 11180.782),(15 11357.819),(16 11257.1875),(17 11279.926),(18 11149.15),(19 11737.062),(20 11726.934),(21 11962.495),(22 11984.539),(23 12216.3545),(24 12013.664),(25 11951.813),(26 11996.847),(27 12247.765),(28 12217.092),(29 12377.86),(30 12380.19),(31 12378.961),(32 12550.962),(33 12505.294),(34 12689.637),(35 12615.26),(36 12637.706),(37 12825.185),(38 13238.752),(39 13150.903),(40 13228.248),(41 13378.662),(42 13762.682),(43 13321.168),(44 13714.076),(45 13404.536),(46 13752.993),(47 13782.156),(48 13913.513),(49 13639.608),(50 13465.813),(51 13505.874),(52 13375.295),(53 13451.551),(54 13219.727),(55 13333.257),(56 13100.4795),(57 12930.64),(58 13131.894),(59 13020.139),(60 12619.565),(61 12633.372),(62 12537.849),(63 12438.419),(64 12467.998),(65 12725.0205),(66 12628.22),(67 12914.423),(68 12721.347),(69 12924.862),(70 13272.153),(71 13073.2),(72 13047.448),(73 13092.771),(74 13416.076),(75 13545.956),(76 13730.354),(77 13652.926),(78 13946.889),(79 13690.427),
(1 8497.196),(2 9477.404),(3 8999.007),(4 9291.931),(5 9132.798),(6 9370.908),(7 9400.133),(8 9833.054),(9 9935.626),(10 10181.382),(11 10377.794),(12 10111.489),(13 10530.579),(14 10443.112),(15 10703.638),(16 10676.134),(17 10713.225),(18 10569.129),(19 11101.774),(20 11093.963),(21 11237.04),(22 11398.477),(23 11432.593),(24 11276.35),(25 11533.438),(26 11540.901),(27 11646.813),(28 11601.089),(29 11816.825),(30 11780.045),(31 11966.444),(32 11992.644),(33 12040.12),(34 12113.956),(35 12109.304),(36 12346.606),(37 12316.537),(38 12552.476),(39 12649.912),(40 12580.837),(41 12713.9795),(42 12836.788),(43 12904.294),(44 12740.603),(45 12735.355),(46 13069.568),(47 13188.593),(48 13010.442),(49 13061.148),(50 12921.869),(51 12632.211),(52 12664.295),(53 12715.219),(54 12686.8),(55 12655.978),(56 12406.356),(57 12350.777),(58 12452.523),(59 12292.232),(60 12046.869),(61 11877.892),(62 11883.16),(63 12003.265),(64 12062.292),(65 12029.035),(66 11853.792),(67 12104.981),(68 12146.42),(69 12278.741),(70 12455.414),(71 12466.816),(72 12301.411),(73 12537.798),(74 12825.762),(75 12795.826),(76 12953.944),(77 13108.301),(78 13104.464),(79 13077.632),
(1 8763.428),(2 9783.274),(3 9016.251),(4 9244.329),(5 9393.2),(6 9584.203),(7 9441.041),(8 10081.901),(9 10019.642),(10 10159.615),(11 10327.343),(12 10202.709),(13 10738.8125),(14 10466.613),(15 10625.081),(16 10667.856),(17 10601.968),(18 10658.624),(19 10963.299),(20 11068.156),(21 11169.859),(22 11098.859),(23 11290.601),(24 11122.957),(25 11202.148),(26 11675.653),(27 11617.847),(28 11736.205),(29 11640.758),(30 11730.002),(31 11735.917),(32 11850.155),(33 12043.555),(34 12119.377),(35 12051.555),(36 12119.203),(37 12160.29),(38 12407.832),(39 12539.938),(40 12315.404),(41 12679.254),(42 12487.453),(43 12559.657),(44 12422.468),(45 12399.062),(46 12492.993),(47 12425.842),(48 12406.331),(49 12653.698),(50 12484.657),(51 12097.628),(52 12354.269),(53 12541.107),(54 12566.945),(55 12322.661),(56 12328.056),(57 12098.968),(58 12133.776),(59 12221.014),(60 12006.711),(61 11992.075),(62 11800.244),(63 11801.701),(64 11915.52),(65 11975.66),(66 12000.439),(67 11927.661),(68 12081.385),(69 12301.13),(70 12324.88),(71 12355.811),(72 12525.626),(73 12140.915),(74 12521.587),(75 12638.489),(76 12540.516),(77 12752.588),(78 12775.691),(79 12640.749),
(1 8446.002),(2 9429.916),(3 8606.73),(4 8851.676),(5 8724.788),(6 9287.481),(7 9213.709),(8 9521.268),(9 9450.066),(10 9684.043),(11 9916.783),(12 9912.749),(13 10412.467),(14 10144.341),(15 10399.044),(16 10670.515),(17 10183.236),(18 10363.462),(19 10596.141),(20 10884.062),(21 10833.81),(22 10921.02),(23 10952.344),(24 10957.399),(25 11057.508),(26 11381.613),(27 11439.691),(28 11481.894),(29 11489.791),(30 11378.092),(31 11494.092),(32 11661.046),(33 11648.479),(34 11816.04),(35 11747.291),(36 11788.867),(37 11723.7),(38 12111.986),(39 12114.044),(40 12143.752),(41 12478.386),(42 12273.451),(43 12355.966),(44 12060.993),(45 12324.064),(46 12212.741),(47 12341.168),(48 12354.541),(49 12487.456),(50 12342.914),(51 11991.547),(52 12254.294),(53 12063.214),(54 12124.356),(55 12080.219),(56 12017.575),(57 11869.149),(58 11963.485),(59 11907.313),(60 11661.432),(61 11755.05),(62 11485.025),(63 11688.982),(64 11730.861),(65 11652.464),(66 11923.044),(67 11677.706),(68 12042.872),(69 12039.579),(70 12137.788),(71 12304.074),(72 12207.365),(73 12179.479),(74 12355.98),(75 12657.553),(76 12620.688),(77 12795.771),(78 12798.884),(79 12683.314),
(1 8377.244),(2 9111.405),(3 8489.738),(4 8653.543),(5 8759.7705),(6 9050.483),(7 9067.683),(8 9341.816),(9 9421.658),(10 9537.929),(11 9604.992),(12 9685.999),(13 9900.999),(14 9609.165),(15 9937.313),(16 10278.728),(17 9846.364),(18 9981.693),(19 10112.691),(20 10519.035),(21 10548.634),(22 10647.421),(23 10831.2295),(24 10541.965),(25 10658.43),(26 11082.081),(27 11209.205),(28 11065.702),(29 11135.3545),(30 11221.383),(31 11315.464),(32 11233.136),(33 11469.799),(34 11671.87),(35 11722.3955),(36 11646.98),(37 11568.562),(38 11734.989),(39 11761.439),(40 11954.187),(41 12202.179),(42 12095.105),(43 12198.981),(44 11947.651),(45 12194.28),(46 12071.917),(47 12241.518),(48 12393.129),(49 12352.733),(50 12446.707),(51 12069.339),(52 12360.934),(53 12386.531),(54 12238.095),(55 12339.812),(56 12218.873),(57 11768.221),(58 11929.139),(59 11895.264),(60 11630.457),(61 11842.083),(62 11676.299),(63 11552.887),(64 11786.969),(65 11405.452),(66 11535.013),(67 11627.954),(68 11829.28),(69 11976.937),(70 11782.874),(71 11945.717),(72 12184.524),(73 12231.052),(74 12295.893),(75 12558.189),(76 12213.486),(77 12453.682),(78 12556.902),(79 12492.856),
(1 7968.1396),(2 8636.365),(3 8281.919),(4 8386.945),(5 8385.879),(6 8754.259),(7 8900.483),(8 9190.233),(9 9110.339),(10 9333.12),(11 9328.56),(12 9455.58),(13 9620.059),(14 9716.695),(15 9612.1875),(16 10048.089),(17 9751.443),(18 10175.845),(19 10232.48),(20 10371.132),(21 10437.552),(22 10554.585),(23 10810.015),(24 10512.6875),(25 10860.504),(26 11208.493),(27 11211.092),(28 11132.082),(29 11147.983),(30 11286.37),(31 11582.631),(32 11421.263),(33 11565.6455),(34 11768.124),(35 11546.229),(36 11679.25),(37 11757.668),(38 12024.981),(39 11945.206),(40 12125.105),(41 12200.778),(42 12259.432),(43 12181.653),(44 12160.286),(45 12118.858),(46 12112.74),(47 12126.871),(48 12522.209),(49 12275.281),(50 12015.567),(51 12087.812),(52 12083.979),(53 12127.983),(54 12072.371),(55 11803.362),(56 11936.522),(57 11906.118),(58 11805.28),(59 11899.31),(60 11669.074),(61 11691.624),(62 11468.484),(63 11514.99),(64 11640.471),(65 11717.895),(66 11736.806),(67 11954.479),(68 11964.979),(69 12289.184),(70 12037.576),(71 12052.534),(72 12327.087),(73 12519.452),(74 12223.473),(75 12664.568),(76 12563.762),(77 12599.246),(78 12656.947),(79 12892.063),
(1 8005.9897),(2 8448.437),(3 7923.547),(4 8372.813),(5 8302.809),(6 8608.031),(7 8675.648),(8 8925.6875),(9 8860.257),(10 9194.187),(11 9071.077),(12 9311.484),(13 9247.388),(14 9567.873),(15 9371.473),(16 9513.8125),(17 9393.384),(18 9673.242),(19 9826.866),(20 9880.654),(21 9798.971),(22 10017.116),(23 10133.614),(24 10059.057),(25 10354.768),(26 10391.265),(27 10420.383),(28 10503.714),(29 10371.193),(30 10575.75),(31 10701.148),(32 10551.903),(33 10702.421),(34 10827.242),(35 10900.347),(36 10869.311),(37 10980.042),(38 10981.635),(39 11055.736),(40 11248.268),(41 11483.441),(42 11259.349),(43 11264.857),(44 11214.575),(45 11327.242),(46 11202.251),(47 11552.263),(48 11631.887),(49 11319.228),(50 11295.637),(51 11177.799),(52 11164.465),(53 11385.573),(54 11148.572),(55 11230.597),(56 11090.453),(57 11016.223),(58 10835.825),(59 11137.792),(60 10905.2295),(61 10809.839),(62 10851.656),(63 10683.421),(64 10999.64),(65 10778.561),(66 11154.026),(67 10991.876),(68 11190.95),(69 11357.548),(70 11187.745),(71 11439.434),(72 11412.204),(73 11666.669),(74 11537.371),(75 11844.272),(76 11706.944),(77 11942.072),(78 11772.603),(79 12052.782),
(1 7895.701),(2 8347.14),(3 8016.279),(4 7948.978),(5 8239.001),(6 8410.375),(7 8322.675),(8 8707.219),(9 8792.614),(10 9052.181),(11 9114.6875),(12 9220.173),(13 9055.67),(14 9396.609),(15 9235.717),(16 9364.414),(17 9493.604),(18 9732.953),(19 9876.646),(20 9889.574),(21 9840.885),(22 9959.349),(23 10183.858),(24 10024.373),(25 10377.214),(26 10360.388),(27 10424.218),(28 10400.213),(29 10400.063),(30 10424.802),(31 10617.204),(32 10449.834),(33 10896.537),(34 10725.593),(35 10881.929),(36 10853.361),(37 10910.438),(38 10837.494),(39 10887.769),(40 11205.861),(41 11335.387),(42 11195.563),(43 11154.758),(44 11321.318),(45 11269.524),(46 11310.933),(47 11352.038),(48 11510.542),(49 11202.275),(50 11133.104),(51 11094.954),(52 11118.097),(53 11058.738),(54 10972.536),(55 11087.302),(56 10928.735),(57 10820.945),(58 10790.379),(59 10756.117),(60 10786.139),(61 10786.492),(62 10804.252),(63 10674.074),(64 10886.035),(65 10888.958),(66 10949.999),(67 11120.101),(68 11032.95),(69 11064.228),(70 11488.344),(71 11277.328),(72 11388.86),(73 11789.44),(74 11522.726),(75 11911.105),(76 11744.704),(77 11767.803),(78 11800.633),(79 12171.135),
(1 7809.8174),(2 8067.8477),(3 7994.8794),(4 7987.448),(5 8057.389),(6 8503.52),(7 8212.606),(8 8768.932),(9 8617.631),(10 8871.673),(11 8948.065),(12 9111.668),(13 9130.01),(14 9407.574),(15 9366.337),(16 9306.392),(17 9496.983),(18 9620.939),(19 9716.55),(20 9865.803),(21 9832.386),(22 9923.155),(23 10033.465),(24 9940.932),(25 10326.997),(26 10272.578),(27 10479.398),(28 10461.427),(29 10363.978),(30 10330.375),(31 10405.994),(32 10544.175),(33 10524.861),(34 10561.001),(35 10776.235),(36 10648.563),(37 10681.868),(38 10473.611),(39 10728.574),(40 11079.902),(41 11170.896),(42 10990.387),(43 10756.268),(44 11133.752),(45 11009.215),(46 10999.292),(47 11013.105),(48 11112.86),(49 11178.99),(50 10829.534),(51 10893.699),(52 10738.444),(53 11027.562),(54 10738.807),(55 10935.892),(56 10827.648),(57 10534.911),(58 10698.098),(59 10751.951),(60 10613.822),(61 10724.874),(62 10472.381),(63 10619.465),(64 10691.555),(65 10660.19),(66 10934.59),(67 11113.967),(68 11154.293),(69 11025.8),(70 11400.252),(71 11276.735),(72 11328.694),(73 11475.684),(74 11696.002),(75 11856.339),(76 11899.906),(77 11873.886),(78 11788.889),(79 12074.605),
(1 7339.609),(2 7645.6),(3 7503.3623),(4 7611.3965),(5 7845.8384),(6 8021.708),(7 7864.834),(8 8157.051),(9 8206.791),(10 8561.004),(11 8399.159),(12 8666.561),(13 8542.269),(14 8681.498),(15 8876.53),(16 8942.067),(17 9015.443),(18 9361.469),(19 9257.532),(20 9360.275),(21 9677.552),(22 9763.274),(23 9741.733),(24 9740.55),(25 9945.512),(26 9939.14),(27 10080.58),(28 10196.146),(29 10055.898),(30 10100.049),(31 10304.977),(32 10353.685),(33 10357.18),(34 10410.589),(35 10660.069),(36 10446.756),(37 10630.839),(38 10493.358),(39 10764.337),(40 10717.621),(41 11229.024),(42 10940.049),(43 10894.713),(44 10651.319),(45 11046.584),(46 10975.832),(47 10987.772),(48 11119.873),(49 10948.052),(50 10625.734),(51 10530.215),(52 10793.228),(53 10669.341),(54 10561.821),(55 10648.958),(56 10554.532),(57 10331.701),(58 10474.029),(59 10439.237),(60 10305.325),(61 10347.667),(62 10342.272),(63 10393.774),(64 10263.64),(65 10429.242),(66 10657.189),(67 10885.297),(68 10938.127),(69 10857.985),(70 11111.723),(71 11106.412),(72 11054.277),(73 11584.868),(74 11304.707),(75 11672.098),(76 11703.8545),(77 11688.71),(78 11757.062),(79 11877.649),
(1 7373.213),(2 7630.4214),(3 7343.697),(4 7560.0527),(5 7902.1235),(6 7986.2295),(7 7935.7085),(8 8211.09),(9 8345.88),(10 8379.125),(11 8233.79),(12 8655.323),(13 8710.195),(14 8909.866),(15 9018.188),(16 9121.107),(17 9099.421),(18 9310.833),(19 9420.953),(20 9532.342),(21 9659.864),(22 9859.2),(23 9755.67),(24 9978.29),(25 10145.703),(26 10176.668),(27 10025.407),(28 10302.285),(29 9907.909),(30 10072.683),(31 10214.86),(32 10320.812),(33 10338.118),(34 10356.359),(35 10592.624),(36 10535.549),(37 10441.3125),(38 10531.293),(39 10420.182),(40 10642.137),(41 10875.829),(42 10795.53),(43 10761.251),(44 10548.631),(45 10793.348),(46 10603.876),(47 10852.877),(48 10809.667),(49 10678.744),(50 10573.373),(51 10510.6),(52 10469.209),(53 10488.532),(54 10419.887),(55 10287.663),(56 10407.376),(57 10127.503),(58 10313.596),(59 10117.917),(60 10235.094),(61 10206.293),(62 10158.755),(63 10321.819),(64 10203.08),(65 10611.58),(66 10683.922),(67 10696.851),(68 11005.583),(69 11032.314),(70 11220.7295),(71 11251.231),(72 11137.218),(73 11507.6455),(74 11511.983),(75 11827.071),(76 11796.433),(77 11861.932),(78 11956),(79 11918.018),
(1 7384.7427),(2 7476.1606),(3 7361.4277),(4 7569.0093),(5 7903.5396),(6 8010.085),(7 7862.558),(8 8318.097),(9 8067.561),(10 8507.225),(11 8382.046),(12 8696.988),(13 8737.241),(14 8838.455),(15 9008.035),(16 9050.549),(17 9117.793),(18 9362.918),(19 9395.407),(20 9536.493),(21 9617.25),(22 9868.303),(23 9725.4795),(24 9790.513),(25 9948.935),(26 9981.501),(27 10102.632),(28 10029.45),(29 9978.197),(30 9934.356),(31 10127.528),(32 10197.0205),(33 9886.416),(34 10201.854),(35 10175.964),(36 10210.261),(37 10175.356),(38 10293.712),(39 10249.653),(40 10386.43),(41 10702.27),(42 10701.83),(43 10561.373),(44 10496.315),(45 10337.937),(46 10636.332),(47 10670.453),(48 10655.922),(49 10622.169),(50 10449.303),(51 10384.632),(52 10380.414),(53 10246.913),(54 10201.553),(55 10119.85),(56 10218.237),(57 10294.697),(58 10209.902),(59 10064.22),(60 10083.351),(61 10271.929),(62 10051.423),(63 10013.819),(64 10065.694),(65 10319.779),(66 10221.483),(67 10588.66),(68 10770.555),(69 10511.456),(70 10800.045),(71 10915.053),(72 11018.579),(73 11159.7),(74 11174.319),(75 11244.261),(76 11403.315),(77 11434.168),(78 11460.193),(79 11764.524),
(1 7377.7456),(2 7484.3813),(3 7215.702),(4 7602.4004),(5 7942.785),(6 7900.4863),(7 7822.096),(8 8146.788),(9 8199.591),(10 8574.718),(11 8394.476),(12 8488.378),(13 8520.242),(14 8847.6045),(15 9078.354),(16 9179.948),(17 9046.899),(18 9317.611),(19 9451.939),(20 9495.064),(21 9630.232),(22 9560.243),(23 9726.921),(24 9920.29),(25 9856.379),(26 9797.158),(27 9748.218),(28 10059.139),(29 9735.172),(30 9734.6455),(31 10112.5625),(32 9983.728),(33 9962.782),(34 10032.81),(35 10287.76),(36 10131.326),(37 10201.989),(38 10196.251),(39 10245.589),(40 10266.683),(41 10701.446),(42 10592.787),(43 10388.52),(44 10414.99),(45 10419.04),(46 10447.267),(47 10706.577),(48 10613.789),(49 10510.339),(50 10256.747),(51 10539.279),(52 10108.413),(53 10275.38),(54 10227.197),(55 10103.896),(56 10054.53),(57 9905.223),(58 10042.902),(59 9863.028),(60 9754.028),(61 10091.451),(62 9868.308),(63 9898.88),(64 10032.491),(65 9970.72),(66 10239.992),(67 10558.666),(68 10670.204),(69 10531.556),(70 10642.809),(71 10834.372),(72 10927.592),(73 10957.121),(74 11064.384),(75 11215.418),(76 11276.674),(77 11404.489),(78 11532.737),(79 11736.097),
(1 7116.7676),(2 7033.3057),(3 7170.7603),(4 7136.04),(5 7581.7705),(6 7387.367),(7 7639.0913),(8 7876.969),(9 7904.29),(10 8015.223),(11 8184.596),(12 8520.524),(13 8307.601),(14 8762.16),(15 8687.99),(16 8849.64),(17 8925.956),(18 9151.096),(19 9141.659),(20 9290.107),(21 9239.224),(22 9434.095),(23 9390.917),(24 9780.144),(25 9604.26),(26 10053.693),(27 9905.324),(28 9996.947),(29 9817.59),(30 9921.157),(31 10098.192),(32 9967.791),(33 9866.133),(34 10002.8955),(35 10073.432),(36 10071.237),(37 10158.664),(38 10103.915),(39 10045.382),(40 10485.653),(41 10582.98),(42 10475.331),(43 10429.236),(44 10503.365),(45 10434.936),(46 10512.844),(47 10430.48),(48 10549.748),(49 10437.534),(50 10180.704),(51 10270.221),(52 10158.276),(53 10187.903),(54 10076.993),(55 10000.504),(56 9938.902),(57 9822.017),(58 9578.057),(59 9602.079),(60 9547.667),(61 9734.726),(62 9594.403),(63 9663.349),(64 9846.469),(65 9694.764),(66 9939.15),(67 10050.9375),(68 10356.857),(69 10391.547),(70 10512.1875),(71 10748.044),(72 10804.037),(73 10989.549),(74 10951.404),(75 11188.306),(76 11301.501),(77 11421.001),(78 11545.128),(79 11703.826),
(1 7282.4106),(2 6853.9297),(3 7195.813),(4 7327.0894),(5 7425.3203),(6 7510.4004),(7 7529.489),(8 7810.5977),(9 7862.6816),(10 8038.5444),(11 8001.9204),(12 8414.155),(13 8273.813),(14 8554.44),(15 8491.428),(16 8640.328),(17 8667.005),(18 9006.072),(19 8853.035),(20 9059.095),(21 9118.1045),(22 9310.147),(23 9320.052),(24 9524.888),(25 9463.697),(26 9743.751),(27 9504.896),(28 9586.454),(29 9601.839),(30 9678.23),(31 9737.503),(32 9611.601),(33 9606.203),(34 9763.271),(35 9810.002),(36 9809.077),(37 9697.743),(38 9856.677),(39 9771.183),(40 10057.206),(41 10080.031),(42 9952.469),(43 9798.117),(44 9985.868),(45 10015.543),(46 10017.907),(47 10068.623),(48 9983.903),(49 9856.507),(50 9846.963),(51 9908.209),(52 9680.4),(53 9708.791),(54 9506.371),(55 9633.195),(56 9465.19),(57 9483.168),(58 9372.818),(59 9336.585),(60 9215.867),(61 9297.389),(62 9277.109),(63 9307.355),(64 9413.317),(65 9484.38),(66 9595.716),(67 9807.902),(68 9929.88),(69 9918.043),(70 10091.582),(71 10232.795),(72 10328.845),(73 10392.118),(74 10512.856),(75 10623.649),(76 10719.718),(77 10694.485),(78 10962.806),(79 11006.031),
(1 7101.8237),(2 6722.4194),(3 7088.1196),(4 7036.8115),(5 7267.335),(6 7269.358),(7 7525.7725),(8 7617.277),(9 7795.546),(10 7769.7153),(11 8011.631),(12 8364.167),(13 8236.022),(14 8291.757),(15 8456.381),(16 8525.753),(17 8765.309),(18 8799.718),(19 8753.779),(20 8774.252),(21 8930.707),(22 9225.765),(23 9215.24),(24 9454.936),(25 9363.311),(26 9470.187),(27 9489.726),(28 9518.173),(29 9534.139),(30 9484.6),(31 9443.829),(32 9560.027),(33 9461.839),(34 9495.163),(35 9652.941),(36 9602.861),(37 9601.677),(38 9657.755),(39 9702.809),(40 9851.039),(41 9996.784),(42 9884.687),(43 9789.67),(44 9896.623),(45 9927.754),(46 10159.86),(47 9889.184),(48 10014.556),(49 9813.661),(50 9822.419),(51 9944.002),(52 9607.807),(53 9603.316),(54 9530.475),(55 9573.636),(56 9592.963),(57 9456.496),(58 9461.689),(59 9444.217),(60 9486.893),(61 9415.985),(62 9374.88),(63 9321.143),(64 9473.944),(65 9489.283),(66 9555.613),(67 9754.162),(68 9915.308),(69 9898.412),(70 10165.691),(71 10303.349),(72 10280.617),(73 10493.691),(74 10406.542),(75 10869.23),(76 10710.061),(77 10708.443),(78 10745.86),(79 11009.374),
(1 7121.869),(2 6657.8184),(3 6875.8813),(4 6778.9634),(5 7172.3486),(6 7056.904),(7 7309.223),(8 7290.257),(9 7261.625),(10 7531.509),(11 7746.8765),(12 7755.1787),(13 7702.501),(14 7988.0854),(15 7959.479),(16 8040.514),(17 8239.112),(18 8187.8794),(19 8351.583),(20 8421.833),(21 8506.414),(22 8669.547),(23 8572.239),(24 8801.392),(25 8565.087),(26 8748.709),(27 8874.9375),(28 8930.198),(29 8927.377),(30 8874.44),(31 8988.98),(32 9025.693),(33 8987.089),(34 8967.731),(35 9041.839),(36 9036.254),(37 9108.7),(38 9194.258),(39 8989.383),(40 9388.502),(41 9350.768),(42 9263.727),(43 9231.268),(44 9208.212),(45 9287.0205),(46 9161.143),(47 9275.441),(48 9264.114),(49 9078.078),(50 9062.373),(51 9040.215),(52 8880.43),(53 8975.232),(54 8858.472),(55 8857.772),(56 8837.376),(57 8886.718),(58 8808.482),(59 8789.588),(60 8873.611),(61 8780.372),(62 8761.204),(63 8865.386),(64 8942.538),(65 9006.999),(66 9125.244),(67 9257.413),(68 9513.628),(69 9470.434),(70 9611.423),(71 9630.846),(72 9912.786),(73 9780.3545),(74 9879.679),(75 10021.528),(76 10019.924),(77 10102.209),(78 10211.559),(79 10243.917),
(1 6824.506),(2 6416.9814),(3 6595.0576),(4 6516.745),(5 6814.7993),(6 6850.097),(7 6928.865),(8 7038.191),(9 7062.216),(10 7105.6895),(11 7367.336),(12 7520.4673),(13 7499.2817),(14 7602.902),(15 7760.6274),(16 7734.678),(17 8007.3647),(18 7995.9688),(19 8094.837),(20 8173.0596),(21 8361.157),(22 8358.347),(23 8505.451),(24 8567.932),(25 8451.697),(26 8638.8),(27 8657.295),(28 8620.099),(29 8694.154),(30 8679.589),(31 8721.684),(32 8808.716),(33 8704.678),(34 8769.101),(35 8844.475),(36 8896.868),(37 8848.05),(38 8973.132),(39 8870.263),(40 9310.416),(41 9182.077),(42 9195.462),(43 9147.268),(44 8996.567),(45 9043.775),(46 9096.075),(47 9216.5625),(48 9166.926),(49 9097.491),(50 8986.541),(51 9008.887),(52 8919.801),(53 8861.469),(54 8767.232),(55 8850.353),(56 8760.637),(57 8608.403),(58 8574.448),(59 8503.835),(60 8604.24),(61 8510.369),(62 8573.522),(63 8754.115),(64 8680.557),(65 8747.331),(66 8715.545),(67 8956.741),(68 8996.08),(69 9108.712),(70 9199.854),(71 9312.343),(72 9366.366),(73 9370.368),(74 9544.728),(75 9497.87),(76 9638.571),(77 9637.866),(78 9769.257),(79 9803.126),
