1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 10082.375),(2 30265.486),(3 48736.637),(4 60302.316),(5 65913.11),(6 68862.8),(7 70817.66),(8 72552.42),(9 74446.516),(10 76352.71),(11 77839.31),(12 78085.85),(13 77333.24),(14 76857.56),(15 77156.945),(16 77549.3),(17 77432.42),(18 76824.99),(19 76339.19),(20 75810.6),(21 74732.266),(22 73811.65),(23 73574.03),(24 74724.445),(25 76955.86),(26 79507.09),(27 81577.22),(28 81631.17),(29 79971.1),(30 77780.25),(31 75656.43),(32 74915.695),(33 74560.58),(34 75208.05),(35 76340.8),(36 77312.23),(37 77877.64),(38 78036.15),(39 77567.45),(40 76826.65),(41 76188.47),(42 76451.7),(43 77080),(44 77925.24),(45 78571.37),(46 79629.38),(47 80773.03),(48 81829.234),(49 83217.34),(50 84154.76),(51 84942.4),(52 84761.09),(53 83583.47),(54 81875.71),(55 79407.81),(56 77434.984),(57 75851.36),(58 75464.32),(59 75995.375),(60 76906.14),(61 77864.914),(62 78281.58),(63 78342.81),(64 78917.06),(65 79984.61),(66 80764.76),(67 80929.56),(68 81258.51),(69 80912.22),(70 79966.51),(71 78508.82),(72 77451.34),(73 77036.74),(74 77093.99),(75 76615.74),(76 76385.24),(77 75975.1),(78 75828.65),(79 75522.63),
(1 9320.101),(2 28127.363),(3 45747.188),(4 57921.53),(5 65227.895),(6 68786.59),(7 69942.945),(8 70873.086),(9 73032.875),(10 75264.59),(11 77383.05),(12 79294.41),(13 80855.08),(14 82296.266),(15 83161.59),(16 82889.49),(17 82218.39),(18 81262.11),(19 80804.98),(20 80725.86),(21 79266.81),(22 76946.25),(23 75653.07),(24 76492.61),(25 78953.19),(26 81343.93),(27 82585.945),(28 82210.336),(29 80738.17),(30 78366.52),(31 76107.72),(32 75200.31),(33 74528.21),(34 73681.62),(35 72550.01),(36 71660.86),(37 71603.55),(38 71962.25),(39 72229.914),(40 72015.14),(41 72464.55),(42 72702.84),(43 72660.65),(44 72918.14),(45 72941.16),(46 73536.29),(47 73820.055),(48 73903.14),(49 74687.36),(50 75672.35),(51 76192.21),(52 75813.695),(53 75569.54),(54 75677.805),(55 75974.664),(56 76294.36),(57 74918.84),(58 73607.734),(59 73921.23),(60 75462.6),(61 77092.18),(62 77637.65),(63 77164.72),(64 76590.98),(65 76822.41),(66 77652.95),(67 77614.805),(68 77425.695),(69 76537.15),(70 75790.445),(71 75363.2),(72 75800.58),(73 77134.586),(74 78349.22),(75 78146.266),(76 77350.18),(77 77156.23),(78 78148.38),(79 78834.664),
(1 8555.508),(2 25522.875),(3 41023.707),(4 51526.832),(5 57553.926),(6 61152.297),(7 62912.684),(8 64640.492),(9 66146.03),(10 67996.28),(11 69828.67),(12 71740.16),(13 73377.2),(14 74637.46),(15 75321.43),(16 75231.31),(17 74693.59),(18 74023.35),(19 74209.56),(20 75176.8),(21 75604.016),(22 75601.15),(23 75022.39),(24 74799.74),(25 75253.2),(26 75154.25),(27 74267.17),(28 72560.41),(29 71158.65),(30 70145.6),(31 69178.87),(32 68523.46),(33 68590.46),(34 68815.836),(35 68249.96),(36 68186.71),(37 68221.45),(38 68445.18),(39 69048.25),(40 69622.3),(41 69706.36),(42 70043.89),(43 70302.82),(44 70939.9),(45 70866.85),(46 70854.65),(47 70472.7),(48 70529.79),(49 71290.14),(50 72135.734),(51 73506.33),(52 74776.87),(53 74725.46),(54 74407.87),(55 74093.87),(56 74681.79),(57 74946.04),(58 74826.34),(59 74145.79),(60 73671.11),(61 74272.086),(62 75106.26),(63 76310.32),(64 77358.12),(65 78369.21),(66 79364.54),(67 79084.055),(68 77901.66),(69 75838.29),(70 74253.14),(71 73753.945),(72 74765.93),(73 76614.51),(74 77423.64),(75 76387.57),(76 74097.57),(77 72340.22),(78 71875.21),(79 72295.07),
(1 8546.869),(2 25158.049),(3 40358.508),(4 49898.402),(5 55046.254),(6 58292.637),(7 60426.703),(8 62214.14),(9 64094.53),(10 66877.28),(11 70737.78),(12 74357.45),(13 76508.15),(14 76789.05),(15 76130.09),(16 74988.086),(17 73833.43),(18 73226.04),(19 73326.68),(20 73554.47),(21 73766.39),(22 73697.336),(23 73116.016),(24 72982.63),(25 73274.586),(26 72907.836),(27 72165.26),(28 71261.73),(29 70580.43),(30 70432.62),(31 70503.85),(32 70872.64),(33 71596.125),(34 72342.516),(35 72335.04),(36 71896.43),(37 71759.95),(38 71214.266),(39 70455.67),(40 69824.4),(41 68957.62),(42 68825.91),(43 69023.47),(44 69135.46),(45 69074.22),(46 68399.43),(47 67742.59),(48 67315.39),(49 67688),(50 67742.195),(51 67783.34),(52 67974.016),(53 68755.59),(54 70002.43),(55 71331.89),(56 72354.13),(57 72546.164),(58 72677.85),(59 73014.85),(60 74215.33),(61 75660.59),(62 76078.36),(63 77268.414),(64 78030.55),(65 77700.25),(66 77094.58),(67 76582.73),(68 75815.49),(69 74668.98),(70 74391.91),(71 74299.49),(72 74729.06),(73 74692.734),(74 73642.164),(75 71659.93),(76 69912.44),(77 68682.82),(78 68792.25),(79 69649.08),
(1 8687.366),(2 25128.982),(3 39946.22),(4 49558.52),(5 54726.88),(6 57774.953),(7 59901.41),(8 61942.016),(9 63038.957),(10 64321.656),(11 65697.016),(12 66633.84),(13 67377.64),(14 67861.586),(15 68475.29),(16 68655.35),(17 68178.41),(18 68230.79),(19 68899.195),(20 69222.27),(21 69455.13),(22 70221.58),(23 71366.44),(24 71963.76),(25 71816.06),(26 70445.71),(27 68978.984),(28 67509.24),(29 66487.94),(30 66339.82),(31 65592.55),(32 65013.055),(33 65060.953),(34 65140.516),(35 64644.516),(36 64164.895),(37 64298.52),(38 65076.445),(39 65295.395),(40 65385.43),(41 64587.1),(42 63776.125),(43 63203.95),(44 63439.785),(45 64588.434),(46 65989.27),(47 67210.234),(48 68213.14),(49 69200.336),(50 69333.52),(51 68663.1),(52 67954.3),(53 68174.14),(54 68940.14),(55 69479.28),(56 69745.75),(57 69602.29),(58 69187.01),(59 68706.36),(60 69312.5),(61 70162.64),(62 70042.086),(63 70102.26),(64 70174.69),(65 70242.37),(66 70181.234),(67 69501.805),(68 68782.34),(69 69009.516),(70 70205.95),(71 71535.66),(72 72484.8),(73 71818.46),(74 70243.93),(75 68577.734),(76 67167.375),(77 66666.44),(78 66937.016),(79 67344.234),
(1 8866.601),(2 25596.088),(3 39800.297),(4 48354.766),(5 52763.926),(6 55473.547),(7 57008.527),(8 57357.367),(9 57910.883),(10 58637.945),(11 59732.46),(12 60965.54),(13 61739.934),(14 62179.594),(15 62427.168),(16 62452.953),(17 62449.555),(18 62492.887),(19 63209.348),(20 64661.28),(21 65230.586),(22 65102.83),(23 64158.69),(24 63384.926),(25 62675.31),(26 62004.098),(27 61450.12),(28 60319.215),(29 59331.59),(30 59015.5),(31 59057.742),(32 59663.324),(33 60295.76),(34 60734.16),(35 61847.29),(36 62693.43),(37 62622.223),(38 62196.098),(39 61897.15),(40 62151.164),(41 62653.355),(42 63404.77),(43 64142.855),(44 65370.02),(45 66257.12),(46 66546.94),(47 66675.23),(48 66702.22),(49 66831.19),(50 66712.48),(51 66742.22),(52 67544.16),(53 68003.51),(54 67792.5),(55 67363.38),(56 66811),(57 66137.305),(58 65970.1),(59 65981.78),(60 66905.7),(61 68475.52),(62 69656.445),(63 70234.66),(64 70119.95),(65 69141.14),(66 67623.48),(67 66144.19),(68 65746.75),(69 66091.875),(70 66526.41),(71 66578.79),(72 66081.31),(73 65707.766),(74 65639.234),(75 65645.52),(76 66366.02),(77 67233.13),(78 67915.555),(79 67518.586),
(1 8607.501),(2 24955.125),(3 39609.402),(4 49717.05),(5 55016.566),(6 57929.15),(7 58714.703),(8 58901.6),(9 59188.043),(10 60367.83),(11 62309.99),(12 63939.535),(13 64915.695),(14 65329.324),(15 65299.023),(16 65234.71),(17 65847.51),(18 66813.36),(19 67137.2),(20 66600.055),(21 65685.59),(22 65215.5),(23 64514.43),(24 64316.176),(25 63000.824),(26 61558.875),(27 60595.75),(28 59376.215),(29 58366.707),(30 58123.74),(31 58863.16),(32 60069.316),(33 61431.434),(34 62630.23),(35 63033.42),(36 62633.508),(37 62108.81),(38 61441.934),(39 61602.668),(40 62474.348),(41 63401.777),(42 63549.883),(43 63187),(44 63232.035),(45 63618.316),(46 64013.617),(47 63810.75),(48 63796.227),(49 63864.832),(50 64231.465),(51 64509.926),(52 64857.637),(53 65026.15),(54 65675.9),(55 66971.195),(56 67056.32),(57 66738.86),(58 66231.125),(59 66149.41),(60 67045.43),(61 67228.28),(62 66985.734),(63 66460.55),(64 65775.97),(65 64686.125),(66 63102.69),(67 62829.508),(68 62954.387),(69 63180.176),(70 63170.258),(71 62868.105),(72 62610.31),(73 63089.42),(74 64552.797),(75 65802.64),(76 65844.29),(77 64787.598),(78 64261.105),(79 63961.258),
(1 8510.54),(2 24817.422),(3 39356.363),(4 47912.133),(5 51662.23),(6 53159.4),(7 53484.43),(8 53626.355),(9 53033.49),(10 53050.797),(11 54013.58),(12 55454.66),(13 56193.246),(14 55762.305),(15 54797.438),(16 54874.664),(17 55970.313),(18 57478.12),(19 59021.477),(20 59639.74),(21 59316.36),(22 59449.453),(23 59453.348),(24 59293.926),(25 58678.51),(26 57867.156),(27 57120.902),(28 56502.586),(29 56385.438),(30 57000.44),(31 57638.113),(32 57962.777),(33 57115.38),(34 56869.65),(35 57279.4),(36 57473.074),(37 57472.816),(38 57148.156),(39 56882.76),(40 57048.145),(41 57450.863),(42 57667.957),(43 57411.676),(44 57200.938),(45 56838.87),(46 56965.547),(47 57761.555),(48 58086.324),(49 58233.355),(50 58663.457),(51 59382.074),(52 59968.28),(53 60735.742),(54 60930.24),(55 60817.29),(56 60041.453),(57 59574.71),(58 60015.293),(59 60551.695),(60 60441.15),(61 59756.582),(62 58986.258),(63 58994.12),(64 59263.113),(65 59125.406),(66 59086.35),(67 59143.516),(68 59225.89),(69 59794.676),(70 60645.8),(71 61444.645),(72 61686),(73 61918.85),(74 62609.258),(75 63392.77),(76 63396.984),(77 62638.836),(78 62340.785),(79 62746.89),
(1 8364.528),(2 24350.205),(3 38015.3),(4 45568.85),(5 48743.746),(6 50001.645),(7 50518.766),(8 50989.11),(9 51382.402),(10 52061.004),(11 53195.125),(12 53796.125),(13 53774.176),(14 53393.49),(15 52528.684),(16 51662.61),(17 52066.203),(18 53117.418),(19 54409.625),(20 55518.813),(21 56421.504),(22 57712.918),(23 58197.605),(24 58047.555),(25 57785.008),(26 57421.426),(27 56933.34),(28 56041.453),(29 55240.06),(30 55393.473),(31 56065.836),(32 56827.73),(33 56563.613),(34 55754.57),(35 54332.297),(36 53272.04),(37 52737.465),(38 52371.227),(39 52628.14),(40 53286.58),(41 53644.39),(42 53112.508),(43 52614.465),(44 52483.063),(45 52577.355),(46 52540.95),(47 52291.86),(48 51647.266),(49 51452.363),(50 52422.895),(51 54104.453),(52 55181.59),(53 55638.066),(54 55670.895),(55 55271.734),(56 54652.063),(57 54256.355),(58 54995.984),(59 55777.117),(60 56404.473),(61 56628.74),(62 56482.535),(63 55994.64),(64 54873.027),(65 54489.7),(66 54779.594),(67 55510.945),(68 56395.49),(69 56911.387),(70 57912.355),(71 59240),(72 60545.06),(73 61837.977),(74 62807.707),(75 62943.66),(76 62316.21),(77 61337.117),(78 60413.043),(79 59689.832),
(1 8089.5874),(2 22931.465),(3 35444.06),(4 42421.848),(5 45833.86),(6 47456.266),(7 48163.29),(8 48908.48),(9 49729.047),(10 50640.543),(11 51277.34),(12 51239.754),(13 51553.348),(14 52344.863),(15 52553.324),(16 52673.305),(17 53364.973),(18 54264.258),(19 54713.676),(20 54515.117),(21 54853.76),(22 55909.39),(23 56606.508),(24 56958.613),(25 56291.734),(26 55049.395),(27 54046.504),(28 53571.43),(29 53425.41),(30 53479.586),(31 53903.016),(32 54465.707),(33 54330.836),(34 54319.285),(35 54651.19),(36 54865.85),(37 55421.273),(38 55585.426),(39 55390.258),(40 55527.566),(41 56271.387),(42 56354.49),(43 56101.42),(44 55851.96),(45 55576.484),(46 55515.855),(47 55154.637),(48 54982.32),(49 55325.85),(50 55739.133),(51 56381.35),(52 56357.1),(53 55711.207),(54 55310.555),(55 55457.61),(56 55950.85),(57 56464.18),(58 57230.367),(59 57965.375),(60 58338.113),(61 57378.81),(62 55451.26),(63 54067.1),(64 53383.25),(65 53504.11),(66 53585.09),(67 53490.363),(68 53699.09),(69 54033.703),(70 54333.387),(71 54620.4),(72 55141.195),(73 55847.332),(74 56310.977),(75 56504.54),(76 56978.3),(77 57655.746),(78 57649.33),(79 56906.043),
(1 8216.381),(2 23431.64),(3 35843.62),(4 42862.723),(5 46679.355),(6 48628.18),(7 49373.83),(8 49461.27),(9 49203.09),(10 49123.07),(11 49422.574),(12 49487.53),(13 49058.24),(14 48671.957),(15 49041.883),(16 50648.234),(17 52425.805),(18 53811.063),(19 54763.195),(20 55293.082),(21 55279.793),(22 55152.656),(23 54308.086),(24 53876.355),(25 53857.48),(26 53850.746),(27 53830.164),(28 53882.707),(29 54253.535),(30 54600.38),(31 54365.11),(32 53725.434),(33 53221.316),(34 53234.805),(35 53124.504),(36 53019.797),(37 53223.85),(38 53905.11),(39 54934.867),(40 55298.582),(41 54674.723),(42 54200.91),(43 53218.742),(44 52638.92),(45 52615.715),(46 53126.875),(47 53986.477),(48 55291.844),(49 56541.79),(50 57771.715),(51 58123.055),(52 57634.566),(53 57305.14),(54 57916.652),(55 57893.45),(56 57955.188),(57 58556.71),(58 59367.188),(59 60089.395),(60 60648.387),(61 61111.836),(62 60980.59),(63 60315.094),(64 59232.832),(65 58124.51),(66 57083.883),(67 56111.637),(68 56160.215),(69 57788.414),(70 59187.027),(71 59015.402),(72 57658.875),(73 56890.234),(74 56998.2),(75 56951.26),(76 57012.8),(77 57139.508),(78 57536.125),(79 57784.535),
(1 8233.58),(2 23637.313),(3 36973.09),(4 44974.723),(5 48427.75),(6 49772.516),(7 49230.14),(8 47828.785),(9 47797.28),(10 48836.22),(11 50620.656),(12 51745.61),(13 52290.848),(14 52463.316),(15 51971.434),(16 51480.33),(17 51826.082),(18 52695.57),(19 53441.496),(20 53652.793),(21 53764.805),(22 53806.348),(23 54083.13),(24 53624.37),(25 52899.426),(26 52168.867),(27 51791.824),(28 51732.48),(29 51692.29),(30 51224.074),(31 50625.29),(32 50530.11),(33 51000.35),(34 51535.12),(35 51829.6),(36 52069.383),(37 51976.184),(38 52666.99),(39 53255.52),(40 53573.77),(41 54091.08),(42 55052.03),(43 55636.74),(44 55818.105),(45 55180.71),(46 54868.844),(47 54909.35),(48 55807.723),(49 57351.97),(50 58840.313),(51 59781.17),(52 59568.656),(53 58443.816),(54 57561.78),(55 56739.49),(56 56901.355),(57 57311.246),(58 58224.887),(59 58707.77),(60 58911.895),(61 58246.04),(62 56804.59),(63 56070.42),(64 56123.164),(65 56281.73),(66 55528.574),(67 54806.18),(68 55002.902),(69 55521.313),(70 55692.55),(71 55635.92),(72 55826.44),(73 56462.902),(74 56862.25),(75 56976.55),(76 57033.48),(77 56334.383),(78 55985.176),(79 56012.78),
(1 8077.725),(2 22660.625),(3 34825.26),(4 41545.293),(5 44506.168),(6 45322.656),(7 44430.383),(8 43598.832),(9 43903.793),(10 45288.645),(11 47158.81),(12 47751.96),(13 47467.74),(14 47454.344),(15 47342.004),(16 47518.26),(17 48544.227),(18 49963.06),(19 51350.59),(20 52270.285),(21 52768.47),(22 52538.758),(23 51767.523),(24 51123.773),(25 50503.53),(26 49722.652),(27 49115.42),(28 49233.832),(29 50177.848),(30 51351.23),(31 52097.617),(32 52235.742),(33 51972.273),(34 51733.35),(35 51512.445),(36 51596.84),(37 51845.895),(38 52347.133),(39 52499.477),(40 52911.25),(41 53251.633),(42 53573.438),(43 53519.848),(44 53439.293),(45 53223.723),(46 52998.35),(47 52948.074),(48 53322.207),(49 53980.313),(50 53950.742),(51 53355.13),(52 52611.36),(53 52222.62),(54 53089.355),(55 53878.902),(56 54726.406),(57 55157.305),(58 55202.996),(59 55020.12),(60 54856.055),(61 55072.395),(62 55293.08),(63 55598.992),(64 55982.164),(65 55944.23),(66 55810.25),(67 55348.59),(68 54145.26),(69 53086.777),(70 53089.7),(71 53853.72),(72 54302.83),(73 54737.805),(74 55504.758),(75 56238.938),(76 56723.68),(77 56220.367),(78 55739.875),(79 55301.055),
(1 7964.3574),(2 22194.219),(3 33876.035),(4 41038.2),(5 44221.977),(6 45486.465),(7 45692.293),(8 45955.316),(9 47022.86),(10 48271.254),(11 49120.715),(12 48933.25),(13 48567.57),(14 47930.73),(15 47212.094),(16 46767.15),(17 47387.723),(18 48294.246),(19 49014.73),(20 49813.41),(21 50228.285),(22 50134.73),(23 49802.305),(24 49242.11),(25 48380.875),(26 47653.574),(27 47085.09),(28 46440.43),(29 46564.13),(30 47382.31),(31 48472.188),(32 49626.63),(33 50112.723),(34 50273.19),(35 50391.8),(36 50627.17),(37 51058.93),(38 50919.336),(39 49943.625),(40 48825.58),(41 48407.207),(42 48478.473),(43 48372.22),(44 48343.832),(45 48944.035),(46 50307.535),(47 51816.574),(48 52364.664),(49 52623.473),(50 52706.777),(51 52384.742),(52 51876.992),(53 51309.27),(54 50897.895),(55 50619.81),(56 50361.066),(57 49907.42),(58 49797.36),(59 49686.906),(60 49673.62),(61 49746.184),(62 50216.242),(63 50607.75),(64 50975.875),(65 51153.688),(66 51382.555),(67 51563.805),(68 51421.473),(69 51290.035),(70 51290.324),(71 51092.18),(72 50957.48),(73 51050.156),(74 51444.81),(75 51634.74),(76 51611.395),(77 51943.51),(78 52894.94),(79 52594.164),
(1 7900.1016),(2 22528.115),(3 34646.76),(4 41494.28),(5 44895.746),(6 46241.92),(7 46456.836),(8 46595.133),(9 46570.21),(10 46890.62),(11 47476.88),(12 47548.297),(13 47597.33),(14 46998.773),(15 46829.016),(16 47474.035),(17 48307.11),(18 49039.242),(19 49501.832),(20 49649.49),(21 49813.035),(22 49688.58),(23 49515.133),(24 49591.086),(25 49325.6),(26 49135.027),(27 48836.71),(28 48552.203),(29 48456.65),(30 49425.496),(31 50396.19),(32 50930.773),(33 51266.844),(34 51162.23),(35 51217.875),(36 51463.773),(37 52089.55),(38 52454.418),(39 52090.574),(40 50992.89),(41 49245.668),(42 47979.746),(43 47113.758),(44 46642.063),(45 46367.81),(46 46932.734),(47 48380.363),(48 49696.94),(49 50021.617),(50 49510.703),(51 48544.668),(52 47977.88),(53 47929.004),(54 48052.555),(55 48212.777),(56 48491.66),(57 48858.69),(58 49785.28),(59 50052.652),(60 49873.457),(61 50266.734),(62 51244.613),(63 52431.203),(64 53058.754),(65 52690.402),(66 52513.01),(67 52354.89),(68 51894.24),(69 51603.69),(70 51629.24),(71 51159.047),(72 50474.637),(73 50075.137),(74 50072.992),(75 50632.023),(76 51257.49),(77 52009.72),(78 53281.773),(79 54070.105),
(1 7882.8984),(2 21951.947),(3 32898.383),(4 38154.832),(5 40247.867),(6 40882.98),(7 41103.49),(8 41443.566),(9 42474.61),(10 43623.16),(11 43696.625),(12 43346.65),(13 42985.547),(14 42821.547),(15 43116.03),(16 43908.85),(17 45511.082),(18 46366.72),(19 46348.008),(20 45957.35),(21 46059.367),(22 46165.895),(23 46043.355),(24 45966.504),(25 45569.406),(26 44611.78),(27 43812.55),(28 43604.004),(29 43187.035),(30 43298.72),(31 44233.414),(32 45436.246),(33 46587.176),(34 47428.875),(35 47986.27),(36 48777.438),(37 48684.816),(38 47606.438),(39 46874.344),(40 46613.09),(41 46765.21),(42 46769.31),(43 46876.3),(44 46784.14),(45 46197.742),(46 46198.51),(47 46809.504),(48 47405.02),(49 47593.77),(50 48048.72),(51 48823.01),(52 49218.15),(53 49191.055),(54 48728.26),(55 48565.797),(56 48421.06),(57 48278.973),(58 48047.92),(59 48066.664),(60 48426.613),(61 49337.71),(62 50486.414),(63 51212.234),(64 51231),(65 50725.73),(66 50523.113),(67 50063.613),(68 49722.88),(69 49382.28),(70 49002.477),(71 48450.902),(72 47932.46),(73 47926.434),(74 48949.777),(75 50422.734),(76 51461.01),(77 51777.188),(78 51888.35),(79 51498.383),
(1 7606.874),(2 21293.828),(3 32414.377),(4 38462.93),(5 40852.902),(6 41577.094),(7 41850.746),(8 42435.383),(9 43271.797),(10 43974.797),(11 43922.508),(12 43543.92),(13 43258.05),(14 42593.22),(15 42200.684),(16 42858.164),(17 44286.824),(18 45395.51),(19 46039.28),(20 46431.61),(21 46414.035),(22 45576.36),(23 44966.742),(24 44709.145),(25 44161.637),(26 43780.82),(27 44467.582),(28 45308.285),(29 45127.043),(30 44379.066),(31 43803.313),(32 43957.08),(33 43915.88),(34 43711.37),(35 44250.137),(36 44925.176),(37 45095.62),(38 44920.5),(39 44851.516),(40 45107.8),(41 45280.96),(42 44876.6),(43 45068.6),(44 45287.117),(45 45300.98),(46 45025.145),(47 45372.277),(48 45520.605),(49 44837.426),(50 44172.773),(51 44049.586),(52 44092.543),(53 43613.62),(54 42929.094),(55 42832.5),(56 42893.184),(57 43088.145),(58 43752.453),(59 44002.44),(60 44376.598),(61 44866.5),(62 45611.836),(63 46471.426),(64 46974.27),(65 47508.773),(66 48351.44),(67 48696.03),(68 47963.586),(69 47031.805),(70 46368.086),(71 45920.383),(72 45697.477),(73 45727.555),(74 46605.715),(75 47517.61),(76 47966.39),(77 48018.477),(78 48863.332),(79 49691.035),
(1 7467.8613),(2 20813.166),(3 31772.41),(4 37974.477),(5 40901.95),(6 41602.11),(7 41785.668),(8 42721.74),(9 43671.676),(10 44470.97),(11 44764.94),(12 44320.617),(13 43494.023),(14 43555.02),(15 44168.71),(16 45211.965),(17 46089.48),(18 46737.94),(19 46654.45),(20 46270.41),(21 45707.223),(22 44886.297),(23 44652.836),(24 44269.785),(25 43711.035),(26 43505.094),(27 43840.277),(28 43745.137),(29 43175.727),(30 42801.496),(31 43272.152),(32 43954.91),(33 43985.285),(34 44530.754),(35 45503.727),(36 46035.613),(37 45564.625),(38 45158.863),(39 45130.297),(40 45029.008),(41 44284.93),(42 43704.21),(43 44129.75),(44 45085.934),(45 45790.57),(46 46122.793),(47 46193.16),(48 45854.355),(49 45910.12),(50 45852.824),(51 46074.95),(52 46509.137),(53 46427.74),(54 46333.906),(55 45846.344),(56 45505.066),(57 45690.074),(58 46186.727),(59 46240.387),(60 46471.11),(61 45968.94),(62 45980.477),(63 46572.344),(64 46833.1),(65 47194.59),(66 48014.027),(67 48281.16),(68 48512.297),(69 48692.066),(70 48373.67),(71 48074.793),(72 48193.656),(73 48652.293),(74 49587.754),(75 50246.332),(76 50475.215),(77 49608.582),(78 48368.16),(79 47934.867),
