1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 21391.945),(2 66564.66),(3 132435.3),(4 220510.95),(5 325385.34),(6 446990.5),(7 586407.7),(8 742490.7),(9 899759.5),(10 1054739.1),(11 1204664.9),(12 1328830.9),(13 1440100.1),(14 1499537.9),(15 1526615.5),(16 1530765.1),(17 1521872.4),(18 1501910),(19 1496855.6),(20 1503573.1),(21 1517394.9),(22 1548497.6),(23 1585551.4),(24 1629335),(25 1684430.6),(26 1754940.6),(27 1848279),(28 1965202.1),(29 2114396),(30 2239515.5),(31 2403788),(32 2566945.3),(33 2729037.5),(34 2875601.3),(35 2989412.8),(36 3077058),(37 3119936.3),(38 3129185),(39 3134289),(40 3112382),(41 3096185),(42 3093951),(43 3114231.3),(44 3157684),(45 3233909.3),(46 3371044.8),(47 3500632.3),(48 3700901.3),(49 3973698),(50 4325240),(51 4737750.5),(52 5231571.5),(53 5732929.5),(54 6294913.5),(55 6895501.5),(56 7492845.5),(57 8095290),(58 8689724),(59 9273313),(60 9813955),(61 10333461),(62 10829105),(63 11337761),(64 11818409),(65 12194469),(66 12536615),(67 12859265),(68 13079423),(69 13298847),(70 13471287),(71 13580827),(72 13591092),(73 13607584),(74 13623003),(75 13623952),(76 13643584),(77 13675620),(78 13741389),(79 13805875),
(1 15196.052),(2 50482.62),(3 102176.19),(4 169963.16),(5 255071),(6 359056.75),(7 479545.4),(8 619750.7),(9 761860.3),(10 917827.8),(11 1073271.3),(12 1224464.1),(13 1371084.8),(14 1507752.6),(15 1621017.8),(16 1713258.4),(17 1808262),(18 1900096.8),(19 1998599.3),(20 2100004.5),(21 2211356.8),(22 2354412.8),(23 2502538.5),(24 2650692.5),(25 2791477.5),(26 2936532.3),(27 3095030),(28 3254424.5),(29 3400266.8),(30 3553469.5),(31 3732640),(32 3929886.8),(33 4145656),(34 4380894.5),(35 4616874),(36 4856400.5),(37 5104380.5),(38 5371058),(39 5660976),(40 5959291),(41 6259573),(42 6576689.5),(43 6925331),(44 7288934.5),(45 7694169.5),(46 8163163),(47 8641255),(48 9151571),(49 9724536),(50 10357108),(51 11036084),(52 11751790),(53 12508133),(54 13296384),(55 14096386),(56 14848051),(57 15600982),(58 16301866),(59 16972332),(60 17575340),(61 18172876),(62 18773448),(63 19330966),(64 19847950),(65 20246076),(66 20596980),(67 20946918),(68 21220532),(69 21472832),(70 21688012),(71 21908196),(72 22059078),(73 22192524),(74 22275580),(75 22321522),(76 22326180),(77 22273758),(78 22251562),(79 22218270),
(1 19055.629),(2 67227.88),(3 140467.98),(4 231654),(5 343551.94),(6 471204.25),(7 612039.7),(8 765074.8),(9 919302.44),(10 1079808.4),(11 1243499.5),(12 1414272),(13 1591801.1),(14 1771831),(15 1956157.6),(16 2131846.8),(17 2316717.8),(18 2505205.3),(19 2699193.3),(20 2895975.8),(21 3111103.8),(22 3339829.3),(23 3564673.3),(24 3793636.8),(25 4028192.3),(26 4272979.5),(27 4504072.5),(28 4723950.5),(29 4952827),(30 5190585.5),(31 5433592.5),(32 5659565.5),(33 5910784.5),(34 6144705.5),(35 6375621.5),(36 6593929.5),(37 6808001.5),(38 7010424),(39 7198453.5),(40 7386145.5),(41 7542965.5),(42 7705552),(43 7884788.5),(44 8083300.5),(45 8294677.5),(46 8523411),(47 8782621),(48 9044251),(49 9323127),(50 9593770),(51 9862793),(52 10131923),(53 10449837),(54 10776156),(55 11098477),(56 11434797),(57 11784260),(58 12179103),(59 12594136),(60 13035225),(61 13519883),(62 14038515),(63 14553536),(64 15033739),(65 15497704),(66 15948215),(67 16410261),(68 16845618),(69 17216862),(70 17536152),(71 17853746),(72 18129254),(73 18333804),(74 18461398),(75 18540058),(76 18539954),(77 18470120),(78 18344096),(79 18205484),
(1 23345.479),(2 85524.66),(3 183396.98),(4 314321.16),(5 479359.66),(6 677801.7),(7 905547.25),(8 1172052.6),(9 1455752.5),(10 1765861.8),(11 2100909.3),(12 2442072.5),(13 2803861.8),(14 3168820.5),(15 3535786),(16 3902038.3),(17 4281916.5),(18 4663448),(19 5028745.5),(20 5393551),(21 5754737.5),(22 6110443.5),(23 6472490),(24 6822576),(25 7158424),(26 7487338.5),(27 7802288),(28 8108240),(29 8395852),(30 8684876),(31 8966156),(32 9258164),(33 9568047),(34 9884694),(35 10198799),(36 10533365),(37 10841991),(38 11154419),(39 11458626),(40 11784251),(41 12111849),(42 12484475),(43 12919576),(44 13384213),(45 13845194),(46 14330260),(47 14839088),(48 15403378),(49 15977883),(50 16547927),(51 17144820),(52 17781820),(53 18459020),(54 19107768),(55 19726950),(56 20340796),(57 20924308),(58 21503848),(59 22046732),(60 22538866),(61 23026448),(62 23510550),(63 23925486),(64 24300496),(65 24675262),(66 25038290),(67 25373540),(68 25722026),(69 25991620),(70 26239004),(71 26459042),(72 26666526),(73 26811122),(74 26859112),(75 26863880),(76 26811384),(77 26746888),(78 26636840),(79 26495344),
(1 25511.932),(2 94290.78),(3 201566.36),(4 343547.94),(5 519370.7),(6 724648.06),(7 955269.25),(8 1214845.6),(9 1491810.8),(10 1792191.1),(11 2120017.5),(12 2462784.3),(13 2844457.3),(14 3238181.8),(15 3654438.3),(16 4090188.3),(17 4543363.5),(18 5015970),(19 5507534),(20 6008623.5),(21 6514932.5),(22 7034647.5),(23 7590192),(24 8138797),(25 8691543),(26 9243264),(27 9782486),(28 10325466),(29 10886098),(30 11475462),(31 12068070),(32 12643569),(33 13232612),(34 13818886),(35 14387104),(36 14985946),(37 15551228),(38 16137501),(39 16672854),(40 17197314),(41 17709250),(42 18212512),(43 18719346),(44 19189394),(45 19652720),(46 20123390),(47 20586464),(48 21079972),(49 21555842),(50 21987416),(51 22387060),(52 22771296),(53 23158182),(54 23493030),(55 23755106),(56 23990552),(57 24206422),(58 24422514),(59 24608526),(60 24749448),(61 24893470),(62 25041458),(63 25155782),(64 25266002),(65 25382690),(66 25499526),(67 25618066),(68 25745198),(69 25829254),(70 25862440),(71 25881012),(72 25902568),(73 25892456),(74 25848358),(75 25770984),(76 25716692),(77 25694592),(78 25674906),(79 25604270),
(1 33937.926),(2 129685),(3 282801.1),(4 492865.6),(5 754967.6),(6 1061417.1),(7 1412519.5),(8 1805159.3),(9 2217749.8),(10 2654454.5),(11 3104615.3),(12 3558825.5),(13 4024434.5),(14 4494129),(15 4960575),(16 5428457),(17 5908330.5),(18 6385774.5),(19 6873641.5),(20 7364802.5),(21 7872533),(22 8373048),(23 8875679),(24 9365724),(25 9828163),(26 10258007),(27 10652344),(28 11008938),(29 11335562),(30 11660846),(31 12003344),(32 12319838),(33 12620622),(34 12945023),(35 13267324),(36 13595213),(37 13903293),(38 14213962),(39 14512653),(40 14815645),(41 15101494),(42 15362112),(43 15611496),(44 15851949),(45 16078314),(46 16324723),(47 16560915),(48 16779108),(49 17031948),(50 17298346),(51 17571660),(52 17831404),(53 18110384),(54 18378396),(55 18628730),(56 18864364),(57 19115816),(58 19372740),(59 19616416),(60 19832676),(61 20038948),(62 20242512),(63 20453588),(64 20655256),(65 20841144),(66 21003636),(67 21159482),(68 21280660),(69 21390668),(70 21470464),(71 21530040),(72 21578796),(73 21614314),(74 21641222),(75 21644836),(76 21629776),(77 21619800),(78 21614090),(79 21584308),
(1 33298.21),(2 126815.22),(3 280863.22),(4 486353.94),(5 740051.06),(6 1038493.56),(7 1370509.4),(8 1731379.4),(9 2104141.8),(10 2492301.8),(11 2893395.8),(12 3297203),(13 3691223),(14 4074747.8),(15 4444695.5),(16 4820271.5),(17 5184900.5),(18 5549589.5),(19 5918800.5),(20 6290962),(21 6664974),(22 7033788.5),(23 7402678),(24 7754995.5),(25 8103158),(26 8446630),(27 8779002),(28 9102596),(29 9429004),(30 9758671),(31 10105823),(32 10453001),(33 10775360),(34 11124217),(35 11465835),(36 11784308),(37 12075407),(38 12359850),(39 12637029),(40 12916746),(41 13166582),(42 13411761),(43 13633066),(44 13832182),(45 14027383),(46 14204634),(47 14379179),(48 14519594),(49 14678283),(50 14833141),(51 14998283),(52 15171506),(53 15362278),(54 15577103),(55 15786489),(56 15993618),(57 16218626),(58 16457546),(59 16696222),(60 16951436),(61 17205352),(62 17452946),(63 17704736),(64 17939764),(65 18195220),(66 18437296),(67 18672974),(68 18895406),(69 19127138),(70 19328922),(71 19512012),(72 19691742),(73 19877694),(74 20039722),(75 20184494),(76 20342366),(77 20505802),(78 20681876),(79 20855648),
(1 29363.844),(2 109144.766),(3 236204.03),(4 406832.53),(5 614846.8),(6 863764.44),(7 1138816.3),(8 1433494.1),(9 1752234.5),(10 2102983.3),(11 2496273.8),(12 2912770.8),(13 3356161.3),(14 3829716.8),(15 4342295.5),(16 4883826),(17 5450269.5),(18 6015539.5),(19 6586823.5),(20 7152836.5),(21 7718113),(22 8276130),(23 8796222),(24 9313739),(25 9820270),(26 10304790),(27 10772043),(28 11251703),(29 11725170),(30 12196829),(31 12640049),(32 13035631),(33 13393899),(34 13723206),(35 14035793),(36 14339751),(37 14592230),(38 14831689),(39 15044636),(40 15221924),(41 15353109),(42 15465915),(43 15522405),(44 15570522),(45 15608346),(46 15623997),(47 15620037),(48 15605338),(49 15555043),(50 15485203),(51 15402625),(52 15335355),(53 15295774),(54 15247430),(55 15197282),(56 15131849),(57 15054737),(58 14967002),(59 14876366),(60 14784535),(61 14692951),(62 14605684),(63 14510493),(64 14422496),(65 14391908),(66 14385136),(67 14341338),(68 14314281),(69 14316481),(70 14331890),(71 14357411),(72 14375862),(73 14401154),(74 14398806),(75 14410462),(76 14420429),(77 14443479),(78 14463210),(79 14486234),
(1 29317.395),(2 109439.33),(3 237322.38),(4 405758.34),(5 614405.44),(6 859192.94),(7 1132567.3),(8 1434764.8),(9 1754999),(10 2108063.8),(11 2502396),(12 2922389.5),(13 3362918),(14 3833750),(15 4324293.5),(16 4834197),(17 5370584.5),(18 5892878),(19 6403996),(20 6894359.5),(21 7379414.5),(22 7853732),(23 8308635.5),(24 8759726),(25 9225368),(26 9694579),(27 10137698),(28 10595774),(29 11067051),(30 11556968),(31 12058528),(32 12550856),(33 13028849),(34 13493279),(35 13946465),(36 14382133),(37 14766458),(38 15132232),(39 15471663),(40 15756662),(41 15994756),(42 16214327),(43 16394929),(44 16576117),(45 16717156),(46 16815926),(47 16864308),(48 16869794),(49 16822490),(50 16718716),(51 16565860),(52 16393350),(53 16187426),(54 15963213),(55 15708845),(56 15429805),(57 15129323),(58 14819025),(59 14499211),(60 14194225),(61 13905271),(62 13640405),(63 13368945),(64 13118403),(65 12879870),(66 12667059),(67 12462931),(68 12263984),(69 12088968),(70 11954553),(71 11841991),(72 11756549),(73 11685691),(74 11632181),(75 11593991),(76 11558354),(77 11543654),(78 11536798),(79 11538787),
(1 37164.188),(2 139520.7),(3 302030.28),(4 521272.88),(5 794943.1),(6 1109259.8),(7 1462704.6),(8 1851758),(9 2263393.5),(10 2706485.3),(11 3178099),(12 3670787.5),(13 4185521.8),(14 4708539.5),(15 5263637.5),(16 5838463.5),(17 6420486),(18 7000897),(19 7581630),(20 8150682.5),(21 8718761),(22 9243214),(23 9750812),(24 10241049),(25 10728708),(26 11205134),(27 11673080),(28 12113477),(29 12544327),(30 12946959),(31 13322697),(32 13652567),(33 13924830),(34 14124525),(35 14285444),(36 14404575),(37 14480094),(38 14522737),(39 14533458),(40 14515313),(41 14469862),(42 14418108),(43 14358969),(44 14307506),(45 14224251),(46 14157524),(47 14066585),(48 13944461),(49 13801083),(50 13635364),(51 13462900),(52 13273847),(53 13086452),(54 12900506),(55 12723758),(56 12557293),(57 12377929),(58 12176532),(59 11956849),(60 11737244),(61 11523940),(62 11316471),(63 11118423),(64 10923342),(65 10719223),(66 10525316),(67 10356028),(68 10198412),(69 10047026),(70 9916297),(71 9809735),(72 9724258),(73 9670289),(74 9641791),(75 9648917),(76 9670949),(77 9716590),(78 9785693),(79 9872734),
(1 29868.55),(2 111094.71),(3 239872.31),(4 410877.56),(5 622137.2),(6 864275.6),(7 1133082.4),(8 1429801.3),(9 1746990.4),(10 2085629.6),(11 2444271.8),(12 2825315.8),(13 3225087),(14 3630401),(15 4043094.5),(16 4473812),(17 4907672.5),(18 5352431),(19 5798850),(20 6244788),(21 6685949),(22 7121722.5),(23 7558412),(24 7975328),(25 8380951.5),(26 8753151),(27 9109137),(28 9449326),(29 9763457),(30 10056992),(31 10325658),(32 10552838),(33 10750698),(34 10914003),(35 11047960),(36 11174835),(37 11279411),(38 11348461),(39 11401833),(40 11448907),(41 11500986),(42 11542842),(43 11589422),(44 11652418),(45 11702408),(46 11740136),(47 11790794),(48 11817890),(49 11828615),(50 11828194),(51 11821233),(52 11812026),(53 11792407),(54 11772571),(55 11760457),(56 11752712),(57 11734353),(58 11694257),(59 11648392),(60 11620221),(61 11569060),(62 11486818),(63 11393067),(64 11279702),(65 11152005),(66 11016119),(67 10879933),(68 10716708),(69 10568242),(70 10412465),(71 10270766),(72 10146612),(73 10051580),(74 9981489),(75 9946750),(76 9944873),(77 9965889),(78 10013913),(79 10087046),
