1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 5113.902),(2 11017.218),(3 17897.531),(4 23914.77),(5 30173.746),(6 34668.824),(7 38712.65),(8 43221.7),(9 47648.152),(10 50841.01),(11 53121.28),(12 55374.023),(13 57911.3),(14 59003.586),(15 61373.31),(16 63695.195),(17 65295.195),(18 66791.57),(19 68229.766),(20 69751.97),(21 70943.39),(22 72759.48),(23 73855.63),(24 74898.39),(25 75988.09),(26 77313.15),(27 78708.83),(28 79876.11),(29 81355.55),(30 82513.33),(31 83589.44),(32 85454.91),(33 86278.24),(34 87273.625),(35 88684.59),(36 90584.89),(37 91750.47),(38 93698.77),(39 95373.375),(40 96025.33),(41 96646.14),(42 98174.03),(43 99340.61),(44 99419.77),(45 99778.38),(46 100380.18),(47 100394.07),(48 100811.85),(49 100269.336),(50 100640.62),(51 100605.59),(52 100002.336),(53 99583.87),(54 99722.21),(55 100099.805),(56 100458.63),(57 100639.59),(58 101292.125),(59 101075.016),(60 100850.6),(61 101958.086),(62 103058.414),(63 103238.37),(64 103890.75),(65 104896.44),(66 105602.37),(67 105986.02),(68 107233.18),(69 108312.63),(70 109677.15),(71 111060.82),(72 112670.73),(73 114356.48),(74 115587.9),(75 116752.766),(76 117569.44),(77 118291.27),(78 118682.84),(79 119332.29),
(1 5282.5044),(2 11363.103),(3 18364.285),(4 24030.158),(5 30358.514),(6 34807.19),(7 38914.61),(8 43748.773),(9 48552.49),(10 51874.01),(11 54782.11),(12 57864.504),(13 61024.125),(14 63414.215),(15 66617.45),(16 69675.69),(17 71228.82),(18 73075.56),(19 74635.75),(20 76663.3),(21 77845.016),(22 80476.83),(23 81548.5),(24 83036.64),(25 85070.83),(26 86489.875),(27 88131.836),(28 89748.22),(29 91833.53),(30 93683.7),(31 94922.91),(32 96736.11),(33 97912.54),(34 100015.01),(35 102119.85),(36 104366.63),(37 105634.055),(38 107592.82),(39 109641.48),(40 110770.46),(41 111960.82),(42 113174.09),(43 114090.26),(44 114100),(45 114035.48),(46 114384.21),(47 113914.16),(48 114359.4),(49 113378.875),(50 113016.41),(51 113114.89),(52 113256.18),(53 112964.34),(54 113400.76),(55 113734.72),(56 113967.63),(57 114035.375),(58 114103.2),(59 114086.39),(60 113773.125),(61 114644.625),(62 115236.21),(63 116070.46),(64 117128.93),(65 118364.18),(66 119513.984),(67 120447.06),(68 122095.44),(69 123749.516),(70 125623.5),(71 127404.31),(72 128815.086),(73 129636.12),(74 130519.91),(75 131890.58),(76 133089.84),(77 134390.13),(78 136068.17),(79 138092.8),
(1 5153.025),(2 11165.77),(3 18001.36),(4 23751.305),(5 30037.633),(6 34811.516),(7 39209.117),(8 44158.113),(9 48934.145),(10 52459.625),(11 54595.535),(12 57095.99),(13 59343.72),(14 60921.824),(15 62581.047),(16 64140.836),(17 64757.375),(18 65484.813),(19 66455.484),(20 67796.086),(21 68443.87),(22 70410.46),(23 71397.96),(24 72419.68),(25 74406.6),(26 75337.32),(27 76413.85),(28 77424.23),(29 78314.88),(30 79083.91),(31 79681.43),(32 81457.14),(33 81887.445),(34 83154.38),(35 84503.016),(36 85955.82),(37 87094.09),(38 89223.91),(39 91536.68),(40 93113.484),(41 94616.42),(42 96896.016),(43 98325.516),(44 98466.15),(45 99010.76),(46 99867.06),(47 99919.11),(48 100210.73),(49 99388.46),(50 99296.375),(51 99827.85),(52 100305.516),(53 100342.87),(54 101430.96),(55 101861.65),(56 102532.664),(57 103392.96),(58 104423.64),(59 105030.51),(60 104873.734),(61 105788.31),(62 106344.336),(63 106609.41),(64 106722.04),(65 107437.65),(66 107902.914),(67 107619.4),(68 107965.94),(69 108361.16),(70 108868.664),(71 109025.07),(72 108833.09),(73 108563.64),(74 108554.25),(75 109344.35),(76 110107.15),(77 111037.35),(78 111932.36),(79 113412.75),
(1 5211.103),(2 11153.575),(3 18172.172),(4 24357.248),(5 31088.8),(6 36209.184),(7 41007.4),(8 46040.625),(9 50810.582),(10 54112.33),(11 56443.9),(12 58807.508),(13 61062.742),(14 62201.38),(15 63765.94),(16 65307.316),(17 66151.2),(18 67154.2),(19 68425.92),(20 70071.9),(21 71914.52),(22 74596.69),(23 76419.836),(24 78306.35),(25 80716.71),(26 83039.63),(27 84432.125),(28 85907.63),(29 87831.53),(30 88619.12),(31 89062.43),(32 90488.79),(33 90995.39),(34 91979.24),(35 93104.64),(36 94342.33),(37 94861.76),(38 95712.89),(39 96575.516),(40 96651.09),(41 97081.93),(42 97992.95),(43 98463.17),(44 98089.17),(45 98195.08),(46 98341.945),(47 97387.55),(48 96822.516),(49 95772.15),(50 95370.26),(51 95641.09),(52 95572.93),(53 95091.6),(54 95703.625),(55 95463.945),(56 95815.13),(57 96410.35),(58 97924.18),(59 98530.57),(60 99243.28),(61 100610.87),(62 101705.76),(63 102469.99),(64 103032.766),(65 103803.62),(66 104206.42),(67 104090.31),(68 105145.8),(69 106069.234),(70 107021.48),(71 108188.57),(72 109120.836),(73 109891.82),(74 110647.35),(75 112137.69),(76 113674.336),(77 115123.766),(78 116712.375),(79 118544.984),
(1 5205.295),(2 10955.422),(3 17634.03),(4 23762.76),(5 30130.695),(6 35195.684),(7 40308.152),(8 45152.023),(9 49508.13),(10 52904.78),(11 55420.324),(12 57639.367),(13 59941.52),(14 61822.31),(15 63852.434),(16 65986.69),(17 67538.195),(18 68880.72),(19 70509.164),(20 72495.74),(21 73968.68),(22 75360.1),(23 76470.76),(24 77854.18),(25 78679.74),(26 80250.84),(27 80943.52),(28 81552.09),(29 82900.08),(30 83625.42),(31 84072.36),(32 85026.95),(33 85243.38),(34 86443.086),(35 87274.914),(36 88483.68),(37 89435.73),(38 90838.65),(39 92314.46),(40 92707.81),(41 92744.92),(42 93075.15),(43 93913.13),(44 93364.2),(45 93842.18),(46 93912.66),(47 93301.984),(48 93269.02),(49 92817.484),(50 93076.11),(51 93141.59),(52 93390.47),(53 93514.945),(54 93512.97),(55 93124.234),(56 93442.62),(57 93356.65),(58 94044.55),(59 94276.82),(60 94550.61),(61 95399.1),(62 96222.164),(63 96638.984),(64 97009.48),(65 97694.04),(66 98009.45),(67 98058.05),(68 98695.195),(69 99239.25),(70 99707.15),(71 100485.08),(72 101002.55),(73 101791.63),(74 102321.13),(75 103305.36),(76 103747.5),(77 104444.48),(78 104989.68),(79 106087.98),
(1 4789.225),(2 10420.612),(3 16865.746),(4 22494.863),(5 28125.76),(6 32706.049),(7 37105.684),(8 41867.09),(9 46536.117),(10 49762.63),(11 52033.21),(12 54670.883),(13 57460.883),(14 59173.223),(15 61146.465),(16 63130.406),(17 63961.582),(18 65195.254),(19 66555.22),(20 67790.75),(21 68102.51),(22 69550.44),(23 70480.8),(24 71315.13),(25 72669.96),(26 73578.64),(27 74223.06),(28 75441.17),(29 76357),(30 77593.22),(31 78560.17),(32 80216.75),(33 80232.234),(34 81151.7),(35 82164.055),(36 83708.984),(37 84300.31),(38 85230.55),(39 86496.94),(40 86586.22),(41 86795.42),(42 87307.47),(43 88265.44),(44 88088.03),(45 88451.55),(46 88978.05),(47 88728.19),(48 88352.72),(49 88612.016),(50 88636.45),(51 88992.234),(52 89900.62),(53 89877.63),(54 89983.17),(55 89192.04),(56 89417.55),(57 89475.61),(58 90088.414),(59 90035.484),(60 89675.23),(61 89963.63),(62 90427.14),(63 90606.77),(64 90494.78),(65 90823.6),(66 90728.5),(67 90882.34),(68 92065.78),(69 93295.6),(70 93837.87),(71 94535.87),(72 95519.555),(73 96518.24),(74 97341.05),(75 98619.79),(76 99575.57),(77 100288.81),(78 101108.08),(79 102384.35),
(1 4738.6553),(2 10113.461),(3 16156.038),(4 21411.23),(5 26960.107),(6 31355.424),(7 35896.918),(8 40317.703),(9 44532.703),(10 47839.977),(11 50324.992),(12 53015.234),(13 55432.063),(14 57363.598),(15 59220.465),(16 61083.414),(17 62659.98),(18 63377.023),(19 64733.637),(20 66221.15),(21 67500.56),(22 69210.2),(23 70538.25),(24 72357.88),(25 73731.88),(26 75380.586),(27 77052.55),(28 78455.95),(29 80653.17),(30 82605.78),(31 83839.18),(32 85406.15),(33 86333.86),(34 87425.02),(35 88337.92),(36 89606.13),(37 90488.42),(38 90763.95),(39 91227.62),(40 91636.58),(41 92024.27),(42 92607.67),(43 92961.734),(44 92972.69),(45 93408.08),(46 94349.26),(47 94642.74),(48 94761.02),(49 94790.766),(50 94841.13),(51 94501.33),(52 94286.086),(53 94672),(54 94816.32),(55 94516.555),(56 94734.28),(57 94727.75),(58 95042.05),(59 95241.63),(60 94834.22),(61 94934.96),(62 94713.695),(63 94688.31),(64 94423.65),(65 94955.91),(66 95192.56),(67 95722.92),(68 96818.805),(69 97885.484),(70 98362.51),(71 98947.664),(72 99904.15),(73 100485.664),(74 100488.66),(75 101033.74),(76 101933.19),(77 102837.63),(78 103225.695),(79 103487.94),
(1 4808.7456),(2 9996.442),(3 15913.158),(4 21101.24),(5 26708.205),(6 30909.38),(7 35243.008),(8 39419.703),(9 43728.027),(10 46947.99),(11 49196.215),(12 51753.434),(13 54463.39),(14 56633.027),(15 58608.28),(16 60681.984),(17 61544.94),(18 62672.28),(19 64032.703),(20 65649.24),(21 66937.87),(22 69060.96),(23 70225.9),(24 71240.08),(25 72844.086),(26 73622.9),(27 74833.305),(28 75923.85),(29 77328.086),(30 78475.055),(31 78841.5),(32 80559.945),(33 81218.52),(34 82430.984),(35 83897.29),(36 85751.9),(37 86897.94),(38 88395.87),(39 89490.17),(40 89190.38),(41 89105.41),(42 89485.61),(43 89633.93),(44 89450.15),(45 89687.47),(46 90071.41),(47 90251.5),(48 90201.18),(49 90208.05),(50 90640.21),(51 90721.664),(52 90820.195),(53 90588.81),(54 90988.664),(55 90718.266),(56 90653.83),(57 90619.24),(58 91078.15),(59 91027.47),(60 90533.76),(61 91146.16),(62 91255.46),(63 91726.47),(64 92041.086),(65 93080.266),(66 93999.59),(67 94531.45),(68 95673.59),(69 96564.195),(70 97246.61),(71 97817.85),(72 98871.5),(73 99719.03),(74 100002.22),(75 100562.35),(76 101147.37),(77 101791.414),(78 102205.836),(79 102651.01),
(1 4806.3813),(2 10109.667),(3 16224.422),(4 21225.467),(5 26782.592),(6 31281.945),(7 35284.8),(8 39451.188),(9 43535.074),(10 46253.4),(11 48589.49),(12 51364.773),(13 53920.957),(14 55883.703),(15 57757.08),(16 59634.563),(17 60264.88),(18 61170.87),(19 62376.11),(20 63217.42),(21 63746.24),(22 65558.91),(23 66865.52),(24 67533.65),(25 68177.58),(26 69146.414),(27 69948.49),(28 70746.92),(29 71793.13),(30 72465.29),(31 72510.07),(32 73584.68),(33 73227.914),(34 73949.875),(35 74621.53),(36 76086.336),(37 76628.09),(38 77457.11),(39 78229.63),(40 77997.305),(41 78193.15),(42 78598.29),(43 79052.24),(44 78898.12),(45 79362.31),(46 80048.875),(47 79901.75),(48 79806.766),(49 79426.57),(50 79455.37),(51 79417.07),(52 79498.64),(53 79442.52),(54 80175.71),(55 80368.13),(56 80602.09),(57 80895.266),(58 81474.91),(59 81240.16),(60 80954.48),(61 81717.25),(62 82389.734),(63 82730.65),(64 82787.08),(65 83687.07),(66 84553.84),(67 84994.54),(68 86664.984),(69 87666.65),(70 88338.74),(71 89104.664),(72 89641.45),(73 89995.22),(74 89719.23),(75 89588.914),(76 89668.266),(77 90140.625),(78 91001.5),(79 91667.19),
(1 4693.863),(2 9619.664),(3 15216.302),(4 19720.906),(5 24946.043),(6 28725.277),(7 32260.785),(8 35897.145),(9 39341.563),(10 42059.605),(11 44236.484),(12 46699.773),(13 49368.32),(14 51571.027),(15 53484.77),(16 55475.58),(17 57016.973),(18 58546.555),(19 60291.246),(20 61938.234),(21 62981.813),(22 64438.887),(23 65230.92),(24 66056.836),(25 67096.11),(26 68217.234),(27 69318.56),(28 70452.54),(29 71977.586),(30 72862.97),(31 73781.945),(32 75681.25),(33 76720.414),(34 78238.586),(35 79404.836),(36 80748.85),(37 81727.695),(38 82657.93),(39 83633.01),(40 83274.414),(41 83045.445),(42 83428.77),(43 83906.945),(44 83743.09),(45 84171.414),(46 85086.77),(47 85282.97),(48 85330.92),(49 84862.86),(50 84938.39),(51 85105.32),(52 85482.79),(53 85783.01),(54 85935.76),(55 85246.836),(56 84924.54),(57 84508.52),(58 84378.52),(59 83380.914),(60 82438.14),(61 82442.64),(62 82191.92),(63 81882.55),(64 81714.76),(65 81945.8),(66 82252.09),(67 82423.5),(68 83212.51),(69 83738.586),(70 84498.42),(71 85248.33),(72 86214.586),(73 87057.95),(74 87601.61),(75 87919.86),(76 88357.3),(77 88909.99),(78 89305.73),(79 89796.47),
(1 4610.114),(2 9428.0625),(3 14960.385),(4 19396.973),(5 24572.57),(6 28511.898),(7 32085.594),(8 35930.17),(9 39726.957),(10 42267.78),(11 44612.25),(12 46851.445),(13 49439.23),(14 51044.945),(15 53186.08),(16 55052.434),(17 56336.62),(18 58359.25),(19 60123.816),(20 62182.08),(21 63544.31),(22 66069.11),(23 67272.69),(24 68396.914),(25 70400.82),(26 71296.586),(27 72183.62),(28 73395.27),(29 73850.2),(30 74057.43),(31 74092.32),(32 75644.59),(33 75236.14),(34 75449.805),(35 76050.56),(36 77037.375),(37 76802.94),(38 77876.55),(39 79222.77),(40 79072.89),(41 79179.234),(42 80061.43),(43 80285.51),(44 79977.195),(45 80342.734),(46 81148.25),(47 81451.45),(48 82303.54),(49 81849.58),(50 81999.55),(51 83130.125),(52 84104.78),(53 84179.84),(54 85087.75),(55 85170.11),(56 85571.29),(57 85393.17),(58 85620.55),(59 85020.28),(60 84025.22),(61 84508.33),(62 84631.79),(63 84678.67),(64 84761.65),(65 85773.63),(66 86307.33),(67 86854.586),(68 87595.48),(69 87732.5),(70 88040.79),(71 88786.72),(72 89318.055),(73 89406.18),(74 89110.16),(75 89380.29),(76 89432.43),(77 89552.04),(78 89745.6),(79 89983.77),
(1 4433.256),(2 9285.257),(3 14709.904),(4 18923.074),(5 23726.584),(6 27401.95),(7 31100.982),(8 35009.355),(9 38661.152),(10 41470.23),(11 43572.105),(12 45986.98),(13 48579.03),(14 50454.965),(15 52309.688),(16 54099.723),(17 55080.285),(18 56312.266),(19 57590.24),(20 58775.152),(21 59780.734),(22 61554.586),(23 62641.824),(24 63305.25),(25 64135.918),(26 64892.55),(27 65802.984),(28 66840.49),(29 67682.69),(30 68277.89),(31 68631.38),(32 69794.26),(33 70337.914),(34 71216.375),(35 71915.41),(36 72838.45),(37 73278.51),(38 74325.93),(39 75503.57),(40 75361.695),(41 75205.9),(42 75724.086),(43 76164.375),(44 76155.766),(45 76579.63),(46 77204.14),(47 77353.086),(48 77624.47),(49 77426.69),(50 77797.25),(51 78588.5),(52 78996.72),(53 78847.11),(54 78998.65),(55 79202.875),(56 79698.57),(57 79589.5),(58 79294.305),(59 79192.24),(60 78562.336),(61 78399.24),(62 78068.06),(63 77935.51),(64 77924.54),(65 78608.48),(66 79189.88),(67 79662.98),(68 80869),(69 81618.96),(70 82166.914),(71 82601.55),(72 83021.18),(73 83450.61),(74 84071.39),(75 84976.28),(76 85471.97),(77 85911.914),(78 85926.52),(79 86378.96),
(1 4608.3164),(2 9455.931),(3 15139.521),(4 19839.549),(5 24982.791),(6 29029.707),(7 32709.752),(8 36461.85),(9 39663.55),(10 41609.09),(11 42901.906),(12 44595.32),(13 46442.125),(14 47375.133),(15 48685.344),(16 49918.4),(17 50695.99),(18 51882.816),(19 53304.535),(20 54862.363),(21 55977.22),(22 58157.16),(23 59437.953),(24 60292.438),(25 61300.207),(26 62110.71),(27 62610.71),(28 62960.094),(29 63252.88),(30 63607.355),(31 64087.586),(32 65631.55),(33 65515.414),(34 66227.914),(35 67003.69),(36 68324.12),(37 69212.125),(38 70538.336),(39 72097.92),(40 72300.1),(41 72931.38),(42 73810.87),(43 74537.27),(44 74661.33),(45 75197.88),(46 75547.17),(47 75652.5),(48 76206.08),(49 76346.64),(50 76828.06),(51 77886.95),(52 78353.45),(53 78157.64),(54 78815.46),(55 79139),(56 79624.484),(57 79708.26),(58 80198.92),(59 79992.11),(60 79266.88),(61 79939.195),(62 79896.37),(63 79736.92),(64 79503.71),(65 79844.3),(66 79909.91),(67 80214.32),(68 81191.1),(69 81717.21),(70 82073.7),(71 82064.32),(72 82357.26),(73 82866.91),(74 83215.62),(75 83595.64),(76 83700.82),(77 83486.83),(78 82998.97),(79 82687.766),
(1 4560.985),(2 9198.895),(3 14568.592),(4 18884.29),(5 23869.135),(6 27758.535),(7 31576.828),(8 35415.523),(9 38517.31),(10 40462.113),(11 41583.027),(12 43340.742),(13 45174.535),(14 46109.973),(15 47784.88),(16 49191.69),(17 49974.348),(18 50766.676),(19 51817.62),(20 52958.32),(21 53969.336),(22 55922.83),(23 56769.11),(24 57403.688),(25 58255.086),(26 59023.938),(27 59814.035),(28 60330.867),(29 61009.617),(30 61626.01),(31 62015.79),(32 63814.152),(33 64055.52),(34 65304.32),(35 66341.914),(36 67521.164),(37 67670.41),(38 68213.055),(39 69274.62),(40 68932.84),(41 69269.76),(42 70439.29),(43 71510.15),(44 71371),(45 71753.88),(46 72485.71),(47 72934.41),(48 73701.27),(49 74175.52),(50 75213.99),(51 76394.5),(52 76737.81),(53 76552.88),(54 77476.82),(55 77778.99),(56 78115.69),(57 78298.06),(58 78642.88),(59 78479.23),(60 77581.2),(61 78422.414),(62 78683.695),(63 78863.16),(64 78917.12),(65 79633.734),(66 79606.82),(67 79595.5),(68 80251.09),(69 80465.97),(70 80783.67),(71 81192.125),(72 81626.59),(73 82029.695),(74 82669.61),(75 83607.25),(76 84455.5),(77 84975.49),(78 85126.734),(79 85972.98),
(1 4483.1187),(2 9109.089),(3 14399.263),(4 18722.43),(5 23562.453),(6 27450.498),(7 31225.395),(8 34785.906),(9 37624.254),(10 39467.77),(11 40590.64),(12 42473.77),(13 44339.28),(14 45702.965),(15 47448.797),(16 49385.195),(17 50077.668),(18 51075.383),(19 52202.21),(20 53311.477),(21 54301.945),(22 56801.92),(23 57663.11),(24 58759.73),(25 59893.117),(26 60950.055),(27 62071.684),(28 62845.156),(29 63838.4),(30 64189.184),(31 64309.24),(32 65687.91),(33 65884.96),(34 66926.516),(35 67636.484),(36 68766.78),(37 68843.51),(38 69289.4),(39 70205.25),(40 69923.83),(41 70081.15),(42 70550.28),(43 70807.63),(44 70411.87),(45 70590.02),(46 71156.31),(47 71593.164),(48 72183.69),(49 72943.695),(50 73694.85),(51 74762.55),(52 75220.805),(53 75263.836),(54 75732.67),(55 76099.79),(56 77072.22),(57 77843.04),(58 78929.85),(59 79328.71),(60 79245.18),(61 80425.37),(62 80926.64),(63 81424.3),(64 82002.73),(65 82633.01),(66 82817.836),(67 82891.63),(68 83146.58),(69 83625.26),(70 84026.34),(71 84507.49),(72 84929.625),(73 85681.21),(74 86161.22),(75 86722.766),(76 87303.836),(77 87520.33),(78 87281.664),(79 87418.336),
(1 4493.758),(2 9044.683),(3 14209.843),(4 18217.926),(5 23249.328),(6 26868.762),(7 30232.328),(8 33632.195),(9 36673.613),(10 38610.406),(11 40316.11),(12 42444.05),(13 44247.273),(14 45124.605),(15 46724.785),(16 48360.953),(17 49113.668),(18 50462.055),(19 52046.54),(20 53598.527),(21 54691.684),(22 57114.145),(23 58275.613),(24 59192.348),(25 60707.695),(26 61674.445),(27 62648.37),(28 63162.08),(29 63910.656),(30 64533.594),(31 65175.9),(32 66601.05),(33 66919.586),(34 67890.83),(35 68726.44),(36 69535.59),(37 69176.17),(38 69529.43),(39 70171.695),(40 70078.35),(41 70200.55),(42 70922.88),(43 71497.5),(44 71266.414),(45 71435.24),(46 71610.44),(47 71266.75),(48 71165.305),(49 71366.58),(50 71786.234),(51 71730.03),(52 71657.49),(53 72170.99),(54 72303.36),(55 72639.336),(56 73405.336),(57 73965.63),(58 75000.234),(59 75224.69),(60 75411.89),(61 76557.92),(62 77154.695),(63 77484.84),(64 77641.38),(65 78432.45),(66 78486.69),(67 78417.63),(68 79204.63),(69 79962.36),(70 80528.59),(71 81420.63),(72 82301.97),(73 82892.336),(74 83483.32),(75 84118.38),(76 84507.836),(77 84388.03),(78 84687.8),(79 85481.09),
(1 4520.7104),(2 9113.953),(3 14490.165),(4 18760.156),(5 23982.38),(6 28165.313),(7 31867.637),(8 35725.51),(9 39305.008),(10 41737.47),(11 43644.74),(12 46010.426),(13 48037.676),(14 49371.88),(15 51180.105),(16 52816.88),(17 54097.504),(18 55547.79),(19 57025.402),(20 58695.957),(21 60004.13),(22 62237.938),(23 63951.75),(24 64986.16),(25 66218.31),(26 66713.484),(27 67463.52),(28 67869.68),(29 68404.89),(30 69058.08),(31 69577.836),(32 70685.42),(33 70775.65),(34 71618),(35 72307.83),(36 73043.555),(37 72810.99),(38 73506.23),(39 73874.695),(40 73795.97),(41 73951.26),(42 74383.53),(43 74915.15),(44 74580.52),(45 74591.39),(46 74893.875),(47 74718.2),(48 74927.55),(49 74726.85),(50 75000.375),(51 75439.45),(52 75243.73),(53 75208.97),(54 74983.766),(55 74352.88),(56 74327.58),(57 74358.51),(58 74752.5),(59 74786.54),(60 74954.89),(61 75563.56),(62 76086.88),(63 76221.77),(64 76475.04),(65 77251.15),(66 77888.734),(67 78341.36),(68 79158.41),(69 79819.17),(70 80328.89),(71 80892.8),(72 81696.875),(73 81916.164),(74 82129.47),(75 82568.03),(76 82851.14),(77 83043.82),(78 82909.77),(79 82785.5),
(1 4221.9014),(2 8484.505),(3 13519.79),(4 17600.18),(5 22324.24),(6 25874.281),(7 29048.404),(8 32101.482),(9 35024.996),(10 37231.625),(11 38974.13),(12 41035.695),(13 42710.53),(14 43584.086),(15 45283.582),(16 46778.223),(17 47713.715),(18 49009.676),(19 50466.727),(20 52066.793),(21 53485.566),(22 55634.254),(23 57223.6),(24 58341.777),(25 59737.645),(26 60394.793),(27 61057.9),(28 61728.45),(29 62241.297),(30 62798.094),(31 63215.01),(32 64348.254),(33 64406.2),(34 65059.816),(35 65769.15),(36 66488.24),(37 66519.305),(38 67170.766),(39 68093.89),(40 68162.75),(41 68470.71),(42 69096.625),(43 69646.734),(44 69629.25),(45 69916.914),(46 70349.125),(47 70451.5),(48 70863.23),(49 71367.94),(50 72111.86),(51 72312.45),(52 72577.766),(53 72732.766),(54 73291.14),(55 73305.45),(56 73561.09),(57 73287.62),(58 73282.66),(59 72516.24),(60 72088.2),(61 72230.79),(62 72683.43),(63 72877.29),(64 72803.33),(65 73515.766),(66 73886.73),(67 74288.27),(68 75140.29),(69 75824.78),(70 76264.13),(71 76698.52),(72 77724.19),(73 78633.76),(74 79335.164),(75 79881.29),(76 80255.97),(77 80685.29),(78 80901.41),(79 81049.32),
