1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 39028.914),(2 121003.16),(3 264738.9),(4 429604),(5 633931),(6 899382.25),(7 1218565.1),(8 1611940.6),(9 2096732),(10 2628411.5),(11 3186801),(12 3759258.8),(13 4352810),(14 4968274.5),(15 5589322.5),(16 6207584),(17 6834548),(18 7426617.5),(19 7997282.5),(20 8568913),(21 9117367),(22 9631307),(23 10119024),(24 10565209),(25 10956207),(26 11352017),(27 11670745),(28 11980909),(29 12174731),(30 12297479),(31 12302971),(32 12268823),(33 12200071),(34 12157467),(35 12135315),(36 12129564),(37 12117491),(38 12142437),(39 12160731),(40 12227164),(41 12280072),(42 12326877),(43 12345460),(44 12373677),(45 12400301),(46 12444644),(47 12471995),(48 12534391),(49 12553680),(50 12583201),(51 12647609),(52 12757144),(53 12930311),(54 13156163),(55 13454365),(56 13808725),(57 14214939),(58 14748193),(59 15400345),(60 16128669),(61 16914876),(62 17702256),(63 18486058),(64 19225558),(65 19960460),(66 20677176),(67 21404722),(68 22169174),(69 22966150),(70 23764566),(71 24564446),(72 25397594),(73 26122384),(74 26914184),(75 27642770),(76 28302688),(77 28941936),(78 29498832),(79 29867024),
(1 45824.49),(2 165287.8),(3 359080.8),(4 603567.75),(5 907261.8),(6 1295753.5),(7 1750430.3),(8 2293444.3),(9 2931416),(10 3627341.5),(11 4345681.5),(12 5084220),(13 5850516),(14 6626051),(15 7399440),(16 8170750.5),(17 8944248),(18 9678062),(19 10405752),(20 11140807),(21 11879937),(22 12604115),(23 13317122),(24 13957581),(25 14608019),(26 15226682),(27 15787955),(28 16365261),(29 16927642),(30 17423984),(31 17882338),(32 18311048),(33 18783232),(34 19282848),(35 19825650),(36 20406236),(37 21015676),(38 21659356),(39 22310772),(40 22990844),(41 23725326),(42 24473876),(43 25246486),(44 26062276),(45 26944042),(46 27820874),(47 28713244),(48 29619264),(49 30397520),(50 31243146),(51 32113404),(52 32932288),(53 33755616),(54 34518324),(55 35250924),(56 35967056),(57 36622956),(58 37299150),(59 38015572),(60 38792030),(61 39573544),(62 40283020),(63 40961772),(64 41621500),(65 42226324),(66 42826530),(67 43302970),(68 43708080),(69 43980764),(70 44107180),(71 44174796),(72 44190204),(73 44219656),(74 44181516),(75 44183410),(76 44254464),(77 44338164),(78 44377748),(79 44318270),
(1 47904.47),(2 175355.98),(3 372475.6),(4 615826.44),(5 904071.2),(6 1238787.4),(7 1610544),(8 2020110.4),(9 2467732.5),(10 2926215),(11 3389300.3),(12 3857153.3),(13 4340742.5),(14 4806925.5),(15 5264166.5),(16 5711085.5),(17 6145046),(18 6548046.5),(19 6940334),(20 7323420.5),(21 7717204),(22 8108143.5),(23 8499357),(24 8832856),(25 9202820),(26 9563221),(27 9912705),(28 10289477),(29 10679229),(30 11069531),(31 11463613),(32 11886035),(33 12356168),(34 12822197),(35 13266363),(36 13723685),(37 14184093),(38 14633541),(39 15071341),(40 15531876),(41 16011417),(42 16526132),(43 17062870),(44 17642034),(45 18238370),(46 18787084),(47 19275142),(48 19728602),(49 20126288),(50 20541344),(51 20985482),(52 21381694),(53 21810284),(54 22210130),(55 22624294),(56 23054634),(57 23467088),(58 23840918),(59 24219642),(60 24583310),(61 24952998),(62 25283206),(63 25651002),(64 25993018),(65 26305358),(66 26591270),(67 26811366),(68 26958224),(69 27055578),(70 27058534),(71 27070874),(72 27019694),(73 27035286),(74 26996362),(75 26984182),(76 27042146),(77 27106214),(78 27143952),(79 27190664),
(1 45619.645),(2 171443.97),(3 361762.78),(4 595364),(5 858478.1),(6 1151166.9),(7 1477042.6),(8 1832425),(9 2199050),(10 2561627.8),(11 2903558.8),(12 3246292.5),(13 3576298.3),(14 3886516),(15 4174236),(16 4446022),(17 4681124),(18 4877189),(19 5025785),(20 5152449),(21 5268273),(22 5377502),(23 5485986.5),(24 5577716.5),(25 5675090),(26 5766195.5),(27 5875296),(28 6039421),(29 6242266.5),(30 6477978.5),(31 6776573.5),(32 7131617),(33 7545449),(34 7963276.5),(35 8310773.5),(36 8654804),(37 9004988),(38 9342606),(39 9698904),(40 10063444),(41 10440274),(42 10827860),(43 11237355),(44 11672804),(45 12112044),(46 12484556),(47 12856779),(48 13225719),(49 13525865),(50 13893413),(51 14258686),(52 14584430),(53 14889140),(54 15140868),(55 15361102),(56 15539118),(57 15653863),(58 15694151),(59 15687815),(60 15634812),(61 15572942),(62 15518658),(63 15497934),(64 15490964),(65 15471435),(66 15422000),(67 15350247),(68 15258005),(69 15127188),(70 14966517),(71 14770722),(72 14548933),(73 14362470),(74 14113354),(75 13862479),(76 13626947),(77 13400648),(78 13181164),(79 13017980),
(1 46882.617),(2 179894.98),(3 383989.5),(4 641145.06),(5 931101.25),(6 1254962.9),(7 1615016),(8 2009068),(9 2403796.8),(10 2795164),(11 3171448.8),(12 3556887.3),(13 3929512),(14 4286559.5),(15 4618790),(16 4920190),(17 5166606.5),(18 5349454.5),(19 5480199.5),(20 5582672),(21 5652516.5),(22 5691398.5),(23 5732127.5),(24 5767293),(25 5788930.5),(26 5803514),(27 5835788.5),(28 5901076.5),(29 6018014),(30 6201469),(31 6477638.5),(32 6852253),(33 7279232.5),(34 7700872.5),(35 8042327.5),(36 8398879),(37 8716970),(38 9038255),(39 9356231),(40 9716155),(41 10074998),(42 10466219),(43 10831233),(44 11194182),(45 11506507),(46 11747350),(47 11962430),(48 12148863),(49 12324532),(50 12496735),(51 12639872),(52 12746346),(53 12826400),(54 12860148),(55 12895114),(56 12897664),(57 12873319),(58 12819601),(59 12762953),(60 12690412),(61 12634269),(62 12591047),(63 12569412),(64 12552327),(65 12538468),(66 12500851),(67 12448849),(68 12383745),(69 12300228),(70 12194791),(71 12085056),(72 11985273),(73 11894829),(74 11804732),(75 11727248),(76 11678095),(77 11635402),(78 11605385),(79 11584927),
(1 68657.53),(2 263564.44),(3 570582.8),(4 972896.4),(5 1443472.4),(6 1980332),(7 2579990.3),(8 3244888.5),(9 3937978.5),(10 4647129.5),(11 5359333),(12 6105849),(13 6849808),(14 7598093.5),(15 8326747),(16 9022442),(17 9651786),(18 10166834),(19 10597374),(20 10972074),(21 11307864),(22 11592334),(23 11851685),(24 12048954),(25 12221608),(26 12407390),(27 12611835),(28 12871373),(29 13175420),(30 13562530),(31 14073582),(32 14711109),(33 15368397),(34 15969482),(35 16456445),(36 16945886),(37 17395606),(38 17866658),(39 18353490),(40 18938682),(41 19541578),(42 20152250),(43 20663220),(44 21089574),(45 21391792),(46 21562780),(47 21633468),(48 21637920),(49 21656572),(50 21556196),(51 21389844),(52 21147178),(53 20833548),(54 20499958),(55 20178780),(56 19858582),(57 19540844),(58 19215444),(59 18891920),(60 18580898),(61 18299882),(62 18050768),(63 17800074),(64 17537076),(65 17266656),(66 16981578),(67 16708214),(68 16475002),(69 16268549),(70 16104072),(71 15955798),(72 15834843),(73 15750816),(74 15696688),(75 15649789),(76 15660306),(77 15686866),(78 15744006),(79 15841350),
(1 88831.33),(2 335995.06),(3 721826.9),(4 1218345.1),(5 1797288.5),(6 2443138),(7 3138410.3),(8 3865864),(9 4592713),(10 5304933),(11 6004699),(12 6705003.5),(13 7389740.5),(14 8077927),(15 8766205),(16 9450785),(17 10100530),(18 10684884),(19 11217520),(20 11718359),(21 12186895),(22 12652288),(23 13123557),(24 13529818),(25 14009190),(26 14525238),(27 15079438),(28 15714762),(29 16387529),(30 17118924),(31 17916692),(32 18735182),(33 19506074),(34 20186290),(35 20749954),(36 21250070),(37 21704418),(38 22104630),(39 22471900),(40 22787058),(41 23051348),(42 23198532),(43 23199902),(44 23023310),(45 22739484),(46 22316276),(47 21762966),(48 21121248),(49 20511132),(50 19797234),(51 19072478),(52 18359496),(53 17681304),(54 17042856),(55 16466044),(56 15921188),(57 15410501),(58 14910374),(59 14460812),(60 14075888),(61 13746956),(62 13483449),(63 13260737),(64 13080128),(65 12941062),(66 12819265),(67 12708134),(68 12616433),(69 12559109),(70 12526123),(71 12515654),(72 12512703),(73 12542428),(74 12570247),(75 12610596),(76 12689276),(77 12780574),(78 12902545),(79 13058516),
(1 77302.26),(2 292648.22),(3 631554.25),(4 1075638.4),(5 1599853.6),(6 2175564.3),(7 2785660),(8 3410076.8),(9 4015062.5),(10 4599995.5),(11 5150594),(12 5684107),(13 6197341.5),(14 6704701),(15 7210379.5),(16 7737710),(17 8272672.5),(18 8815691),(19 9357966),(20 9874410),(21 10371220),(22 10883754),(23 11406509),(24 11887325),(25 12417238),(26 12972365),(27 13546925),(28 14164638),(29 14795037),(30 15417484),(31 16001309),(32 16517921),(33 16931066),(34 17248828),(35 17478228),(36 17627918),(37 17685514),(38 17629714),(39 17474280),(40 17209236),(41 16879354),(42 16517099),(43 16133770),(44 15729883),(45 15321429),(46 14879742),(47 14400241),(48 13902071),(49 13422176),(50 12983276),(51 12606863),(52 12320785),(53 12123916),(54 12009171),(55 11938018),(56 11878349),(57 11830124),(58 11773248),(59 11740810),(60 11734258),(61 11739454),(62 11775127),(63 11797815),(64 11820871),(65 11809730),(66 11763902),(67 11696004),(68 11588270),(69 11474529),(70 11329810),(71 11174820),(72 10981497),(73 10809126),(74 10574225),(75 10331836),(76 10102286),(77 9898204),(78 9731139),(79 9611649),
(1 67805.58),(2 257355.27),(3 553640.94),(4 944479.75),(5 1410052.5),(6 1925839),(7 2490670),(8 3082215),(9 3684546.3),(10 4297887),(11 4906298.5),(12 5518956),(13 6122684),(14 6738497),(15 7338336.5),(16 7954088.5),(17 8566884),(18 9165772),(19 9713653),(20 10206777),(21 10653227),(22 11069118),(23 11459530),(24 11792764),(25 12101613),(26 12376760),(27 12640986),(28 12936593),(29 13168314),(30 13380569),(31 13551823),(32 13689596),(33 13772056),(34 13796275),(35 13749361),(36 13660692),(37 13516601),(38 13330894),(39 13087091),(40 12799010),(41 12483479),(42 12154481),(43 11812709),(44 11467804),(45 11111492),(46 10757678),(47 10438347),(48 10156122),(49 9923823),(50 9728531),(51 9581618),(52 9481573),(53 9409946),(54 9357199),(55 9329500),(56 9335036),(57 9364943),(58 9425053),(59 9515510),(60 9627669),(61 9760501),(62 9894934),(63 10016510),(64 10133250),(65 10223720),(66 10313986),(67 10409995),(68 10486873),(69 10533619),(70 10512080),(71 10452592),(72 10344325),(73 10224794),(74 10056191),(75 9869455),(76 9662984),(77 9481683),(78 9324821),(79 9199172),
(1 75136.625),(2 282311.2),(3 603898.44),(4 1030892.7),(5 1547677.1),(6 2124819),(7 2759540),(8 3423067.5),(9 4093377),(10 4761570),(11 5416620),(12 6054289),(13 6657795.5),(14 7241584),(15 7789415),(16 8297752),(17 8758650),(18 9159900),(19 9475442),(20 9728869),(21 9944373),(22 10118485),(23 10271916),(24 10370013),(25 10474217),(26 10573708),(27 10699756),(28 10849996),(29 10968885),(30 11093092),(31 11212646),(32 11321344),(33 11402981),(34 11442836),(35 11451252),(36 11427792),(37 11363889),(38 11283236),(39 11162439),(40 11022872),(41 10863724),(42 10674876),(43 10482399),(44 10301307),(45 10109979),(46 9938449),(47 9825589),(48 9748670),(49 9696790),(50 9687719),(51 9719551),(52 9776994),(53 9849678),(54 9947318),(55 10080171),(56 10249968),(57 10448542),(58 10695496),(59 10966122),(60 11239040),(61 11494556),(62 11707863),(63 11864441),(64 11977806),(65 12040917),(66 12086289),(67 12120350),(68 12124955),(69 12091533),(70 12013977),(71 11896557),(72 11736732),(73 11579584),(74 11390161),(75 11186364),(76 10960879),(77 10757092),(78 10574404),(79 10404410),
(1 64217.97),(2 238735.69),(3 504772.75),(4 846511.06),(5 1247584.3),(6 1679951.4),(7 2138272),(8 2604371.3),(9 3056165.8),(10 3484554),(11 3881436),(12 4237982),(13 4556728),(14 4835852.5),(15 5083464.5),(16 5290791.5),(17 5467396.5),(18 5616282.5),(19 5744941.5),(20 5880852.5),(21 6007687.5),(22 6135115.5),(23 6267192.5),(24 6383131.5),(25 6517264),(26 6666046),(27 6829406.5),(28 7011224.5),(29 7202290),(30 7406043),(31 7614149),(32 7819692),(33 8003635),(34 8172129),(35 8333412),(36 8483315),(37 8602424),(38 8698259),(39 8760503),(40 8795336),(41 8802942),(42 8789574),(43 8767780),(44 8737421),(45 8704489),(46 8683523),(47 8671872),(48 8656971),(49 8669505),(50 8682990),(51 8709198),(52 8745658),(53 8782733),(54 8839073),(55 8892242),(56 8954660),(57 9022063),(58 9104330),(59 9183247),(60 9247307),(61 9279944),(62 9282490),(63 9265293),(64 9229670),(65 9182916),(66 9144682),(67 9105079),(68 9070437),(69 9033678),(70 8985169),(71 8915973),(72 8845011),(73 8800388),(74 8742783),(75 8690844),(76 8648139),(77 8619902),(78 8594363),(79 8555249),
