1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8150.3345),(2 26081.658),(3 48167.3),(4 70894.32),(5 97098.74),(6 123076.48),(7 152711.42),(8 180981.83),(9 207221.95),(10 234538.08),(11 264059.1),(12 291148.72),(13 316109.9),(14 336479),(15 351829.72),(16 358072.16),(17 371577.78),(18 384104.1),(19 396385.63),(20 407968.4),(21 422710.6),(22 425888),(23 430836.88),(24 438322.5),(25 455534.66),(26 472596.16),(27 497225.66),(28 528125.2),(29 551406.56),(30 582129.25),(31 622211.06),(32 658582.7),(33 703993.8),(34 748555.5),(35 787612),(36 821587),(37 855289.75),(38 881985.8),(39 908072.5),(40 929112),(41 957136.2),(42 981030.5),(43 1013217.5),(44 1045034),(45 1073651.6),(46 1083606.9),(47 1097885.4),(48 1123292.1),(49 1169012),(50 1206857.1),(51 1248967.5),(52 1286209.9),(53 1318794.3),(54 1343185),(55 1355871.1),(56 1368030.5),(57 1394074.4),(58 1413635),(59 1444428.6),(60 1474259.1),(61 1506712),(62 1544503.4),(63 1588445.5),(64 1632645.9),(65 1665291.6),(66 1693974.4),(67 1727642.6),(68 1771923.6),(69 1829420),(70 1894869.4),(71 1960565.6),(72 2018342),(73 2073043.4),(74 2126478.3),(75 2184872.3),(76 2240398.5),(77 2307077),(78 2369026),(79 2432530.3),
(1 7006.825),(2 23743.938),(3 47189.902),(4 75657.39),(5 109113.39),(6 147098.97),(7 194626.08),(8 255401.7),(9 318667.56),(10 387576.56),(11 462962.84),(12 549304.2),(13 639125.2),(14 732392),(15 823137.06),(16 911187.9),(17 1007851.1),(18 1102083),(19 1200716.4),(20 1305692.8),(21 1424684.3),(22 1529591.1),(23 1645982),(24 1774220),(25 1902370.8),(26 2034909.8),(27 2173137.5),(28 2320816.8),(29 2471196.8),(30 2615898.3),(31 2768496.5),(32 2907612.5),(33 3057853.3),(34 3199962.8),(35 3342412),(36 3475173.5),(37 3615454.8),(38 3751236.8),(39 3872478),(40 3979808.8),(41 4081809.5),(42 4175675.3),(43 4270865),(44 4352673),(45 4443725),(46 4520644),(47 4603934.5),(48 4670220),(49 4750749.5),(50 4816003),(51 4891990.5),(52 4943632),(53 5000358.5),(54 5043051),(55 5071109),(56 5075125),(57 5094321),(58 5099135),(59 5096829),(60 5101968.5),(61 5109485),(62 5119325),(63 5132426),(64 5124909),(65 5109878.5),(66 5082491),(67 5038275),(68 4998745.5),(69 4981806.5),(70 4968221),(71 4948885),(72 4922152),(73 4890639),(74 4863671),(75 4834125),(76 4814478.5),(77 4811240.5),(78 4799347),(79 4780425.5),
(1 6676.1016),(2 22827.275),(3 45323.848),(4 74074.26),(5 106283.29),(6 140911.42),(7 181968),(8 228796.23),(9 277048.53),(10 328946.13),(11 380765.5),(12 436227.1),(13 498803),(14 564530.25),(15 633581.2),(16 709712),(17 789599.7),(18 874540.94),(19 957393.7),(20 1046115.44),(21 1138080.4),(22 1224827.9),(23 1327833.8),(24 1439942.1),(25 1548197.5),(26 1663559.4),(27 1781756),(28 1903323.9),(29 2028385),(30 2161798),(31 2293743.8),(32 2426228.8),(33 2560916.8),(34 2696074.3),(35 2828694.8),(36 2968350.8),(37 3107797.3),(38 3252147.3),(39 3393297),(40 3530896),(41 3676481.8),(42 3824102),(43 3980235),(44 4124261),(45 4263347),(46 4403339.5),(47 4549388),(48 4681685),(49 4827938),(50 4972853.5),(51 5120238.5),(52 5257739.5),(53 5404532),(54 5534874),(55 5639030),(56 5710265.5),(57 5777964.5),(58 5831121.5),(59 5871950.5),(60 5913932),(61 5955214),(62 5974677.5),(63 5985296.5),(64 5986050.5),(65 5973334.5),(66 5949226.5),(67 5932696),(68 5897842.5),(69 5889772),(70 5881316.5),(71 5877123.5),(72 5847887.5),(73 5830716),(74 5798635.5),(75 5772096),(76 5739743.5),(77 5717153.5),(78 5692843.5),(79 5672396),
(1 9198.802),(2 32451.469),(3 69730.484),(4 118697.336),(5 174118.94),(6 236749.69),(7 311158.66),(8 400698.22),(9 499380.78),(10 608868.6),(11 728772.25),(12 866304.75),(13 1020405.56),(14 1185517.8),(15 1370639.5),(16 1555543.5),(17 1753958.3),(18 1959957.8),(19 2170479.3),(20 2375093),(21 2582999.5),(22 2781311.5),(23 2988561.8),(24 3190289),(25 3392207.5),(26 3598809),(27 3802452.5),(28 4015334.3),(29 4217940.5),(30 4413420.5),(31 4618744),(32 4807156.5),(33 4997053.5),(34 5166679),(35 5326321),(36 5470094),(37 5617112),(38 5756515.5),(39 5872348.5),(40 5972875.5),(41 6067790),(42 6161564.5),(43 6257458),(44 6342401),(45 6424554),(46 6497661.5),(47 6560263),(48 6619078),(49 6687632),(50 6755658),(51 6810241),(52 6862391),(53 6914017),(54 6942049.5),(55 6955824),(56 6945031.5),(57 6933626),(58 6924378),(59 6885648.5),(60 6838604),(61 6793640.5),(62 6738745.5),(63 6678661.5),(64 6608353),(65 6531882.5),(66 6446858),(67 6359324),(68 6272390.5),(69 6197074),(70 6109849),(71 6002156.5),(72 5889943.5),(73 5782611),(74 5672111),(75 5574074),(76 5476201),(77 5391310),(78 5310906.5),(79 5234713),
(1 10590.851),(2 37809.42),(3 79071.37),(4 132340.08),(5 194561.75),(6 266922.03),(7 349669.6),(8 444785.1),(9 547364.75),(10 662499.6),(11 789948.94),(12 929938.56),(13 1083306.9),(14 1241204),(15 1409394),(16 1577193.6),(17 1750780.1),(18 1924280),(19 2089915.6),(20 2247934.5),(21 2399723),(22 2538496.8),(23 2673485.8),(24 2804243.8),(25 2924636.8),(26 3048573.8),(27 3163409.5),(28 3282842.5),(29 3403152.8),(30 3510140.8),(31 3617367),(32 3706203),(33 3784062.5),(34 3841688.3),(35 3886419),(36 3933144.3),(37 3974605.8),(38 4011437.8),(39 4035557.8),(40 4043708.3),(41 4055443),(42 4063220),(43 4077913.5),(44 4090520),(45 4104631.3),(46 4129948.3),(47 4151273.5),(48 4167902.5),(49 4188025.5),(50 4197854),(51 4205696),(52 4204560.5),(53 4200204),(54 4198111.5),(55 4189159.8),(56 4179095.3),(57 4157945.5),(58 4150445.8),(59 4137040),(60 4124740.3),(61 4126048.8),(62 4120181),(63 4115872),(64 4122161),(65 4117880.8),(66 4118917),(67 4122639.8),(68 4133707),(69 4140759.8),(70 4141126.3),(71 4138873),(72 4132740),(73 4133439.8),(74 4131090.3),(75 4134020.3),(76 4130243),(77 4131854.5),(78 4138195.3),(79 4147426.5),
(1 8382.297),(2 30299.766),(3 64639.164),(4 110336.45),(5 164579.88),(6 226995.34),(7 302936.06),(8 390704.7),(9 485091.34),(10 592470.5),(11 710252.6),(12 843243.5),(13 986414),(14 1137893.5),(15 1293307.8),(16 1441012.4),(17 1608915),(18 1783753.3),(19 1954032.4),(20 2121830.5),(21 2289796.8),(22 2461206.5),(23 2615761.5),(24 2763275),(25 2901888.5),(26 3034914.8),(27 3158052.3),(28 3283846),(29 3389578),(30 3490061.5),(31 3591870.5),(32 3684747.3),(33 3772958.5),(34 3849193.5),(35 3931512.5),(36 4022241.5),(37 4125833.3),(38 4204370),(39 4263591),(40 4312489.5),(41 4362288),(42 4396758.5),(43 4436881),(44 4477975),(45 4508997),(46 4540358.5),(47 4576075.5),(48 4601205.5),(49 4623605),(50 4638946.5),(51 4647713),(52 4632271.5),(53 4596718),(54 4550392),(55 4492885),(56 4410767.5),(57 4311282),(58 4193904),(59 4068912),(60 3939294.5),(61 3815166),(62 3689204.8),(63 3569641.3),(64 3463408.8),(65 3362014.5),(66 3271717),(67 3205032),(68 3154584.5),(69 3113108.3),(70 3077695.3),(71 3061946),(72 3055103),(73 3066940.5),(74 3098692),(75 3146114.5),(76 3207929.5),(77 3290243.5),(78 3390526),(79 3505222),
(1 10009.173),(2 35386.56),(3 74867.125),(4 123579.47),(5 182607.17),(6 253614.36),(7 337035.88),(8 431204.97),(9 537087.94),(10 653726.9),(11 778931.4),(12 910617.3),(13 1052212.3),(14 1193943.9),(15 1337465.5),(16 1471541.1),(17 1617223.1),(18 1763912.1),(19 1912472.8),(20 2051302.1),(21 2190626.3),(22 2313909),(23 2425809),(24 2528930.3),(25 2622653.5),(26 2704798.8),(27 2774371.5),(28 2841257.8),(29 2902796.3),(30 2948285.3),(31 2990074.8),(32 3023645.8),(33 3042424.3),(34 3046633.3),(35 3042885.5),(36 3039590.8),(37 3047219.5),(38 3053890.8),(39 3058372.3),(40 3046430.5),(41 3037396.5),(42 3032241.3),(43 3032695.8),(44 3041616.5),(45 3052131),(46 3071066.3),(47 3090516.5),(48 3112336.3),(49 3150451.5),(50 3181775),(51 3213279.8),(52 3254881),(53 3295951.5),(54 3332272),(55 3374386.5),(56 3415845),(57 3462202.3),(58 3506355.5),(59 3539007),(60 3567220),(61 3596772),(62 3622333.8),(63 3640903.8),(64 3662727),(65 3678547.5),(66 3696689),(67 3716161.8),(68 3742639.5),(69 3769578.5),(70 3790471.5),(71 3806398.3),(72 3827140),(73 3842388),(74 3853920.3),(75 3868334.3),(76 3877641.3),(77 3887197.8),(78 3894893),(79 3905025),
(1 11546.186),(2 42183.945),(3 89900.984),(4 153429.94),(5 230721.58),(6 323938.4),(7 431473),(8 551413.56),(9 681090.1),(10 820309),(11 969520.56),(12 1129242.1),(13 1295835.3),(14 1459797.3),(15 1623123.8),(16 1778167.8),(17 1929735.8),(18 2075966.8),(19 2221461.3),(20 2348737),(21 2466701.5),(22 2565524.8),(23 2652029.5),(24 2718861.5),(25 2772304.5),(26 2811519.5),(27 2842653),(28 2862091.5),(29 2868971),(30 2861995.3),(31 2853800.5),(32 2835552.3),(33 2809401.3),(34 2774702.3),(35 2733878.8),(36 2698022.5),(37 2668787.8),(38 2630478.3),(39 2595944.5),(40 2555627.5),(41 2514166.8),(42 2473118.8),(43 2428461),(44 2394444.3),(45 2362993),(46 2335511.8),(47 2318309.3),(48 2305932.8),(49 2303307),(50 2304654.3),(51 2322055.8),(52 2341585.3),(53 2376912.8),(54 2418436),(55 2464833),(56 2525926.3),(57 2590810.8),(58 2667708),(59 2740244.8),(60 2820619.8),(61 2904623),(62 2988100),(63 3070861.5),(64 3157925.3),(65 3239549.5),(66 3311472.5),(67 3376044),(68 3452895),(69 3537449.3),(70 3624367.3),(71 3705222.3),(72 3764311.8),(73 3819294.5),(74 3850051.5),(75 3882119.8),(76 3898859.3),(77 3894508.8),(78 3874955.8),(79 3848617),
(1 8823.588),(2 30391.787),(3 62979.406),(4 106190.375),(5 157964.38),(6 220743.52),(7 294289.75),(8 381709.75),(9 476943.28),(10 588000.5),(11 709487.6),(12 851306.1),(13 1001102.8),(14 1155457.1),(15 1313680.5),(16 1475040.3),(17 1636004.4),(18 1800891.1),(19 1961967.5),(20 2111935),(21 2263553.5),(22 2395549.8),(23 2522367.8),(24 2637568.5),(25 2735542.5),(26 2822902.5),(27 2890937.8),(28 2956596.3),(29 2997154.8),(30 3024589.3),(31 3052712.3),(32 3060280.5),(33 3061644.8),(34 3056026.8),(35 3052113.5),(36 3046617.5),(37 3042004.5),(38 3035516.3),(39 3010290),(40 2985971.8),(41 2954812.8),(42 2927437.5),(43 2897836),(44 2867297.5),(45 2844275.3),(46 2819239.8),(47 2797254.5),(48 2779493.8),(49 2770443.8),(50 2769842),(51 2772760.5),(52 2775909.5),(53 2798424),(54 2817542.3),(55 2837154),(56 2850670),(57 2871628.5),(58 2895226),(59 2908166.5),(60 2927272.8),(61 2946535.5),(62 2965654),(63 2978157.3),(64 2987548.3),(65 2993160.8),(66 2997053.8),(67 2997875),(68 2995981.3),(69 2997253.8),(70 2999204.5),(71 3000797.3),(72 2993228.3),(73 2983031),(74 2963437.3),(75 2946668.3),(76 2922477.5),(77 2893988.3),(78 2865623.8),(79 2838417.8),
(1 9312.355),(2 32684.063),(3 68797.68),(4 118328.57),(5 177613.36),(6 248984.64),(7 334713.16),(8 429594.88),(9 530515.1),(10 634686.06),(11 743630.25),(12 853932.75),(13 961599.75),(14 1062587.5),(15 1158918.6),(16 1244902),(17 1324028),(18 1395177.8),(19 1457616.1),(20 1508032.3),(21 1553035.5),(22 1580458.9),(23 1601263.3),(24 1611776.9),(25 1610447.3),(26 1600495.4),(27 1579883.4),(28 1553844.5),(29 1520588.3),(30 1483947.3),(31 1453447.4),(32 1423125.5),(33 1391176.6),(34 1361452.4),(35 1335970.6),(36 1318762.9),(37 1317581),(38 1319297.5),(39 1329727.8),(40 1350699.9),(41 1383393.4),(42 1427447.3),(43 1480655.5),(44 1546276.9),(45 1619038.3),(46 1702948.1),(47 1793477.8),(48 1883669.8),(49 1976511.1),(50 2072368.6),(51 2169769.3),(52 2260620),(53 2350788.3),(54 2434325.3),(55 2509926),(56 2576913),(57 2638377),(58 2690185.8),(59 2731920.5),(60 2767843),(61 2806071),(62 2833929),(63 2847479),(64 2864852),(65 2864851.5),(66 2860029),(67 2854376.8),(68 2848610.8),(69 2843186.8),(70 2833677),(71 2829568.5),(72 2813190),(73 2808593),(74 2808027.5),(75 2810712),(76 2818944.5),(77 2828167),(78 2846511),(79 2867145),
(1 9929.97),(2 34913.555),(3 72872.04),(4 124161.43),(5 184746.97),(6 255202.17),(7 334862.94),(8 423445.5),(9 516739.06),(10 618073.9),(11 724559.5),(12 833097.4),(13 943805.4),(14 1051752.3),(15 1153815.8),(16 1242763.5),(17 1329963),(18 1406185.1),(19 1471501.9),(20 1522133.6),(21 1569442.9),(22 1597835.5),(23 1615186),(24 1617722.1),(25 1605404),(26 1584866.6),(27 1558836),(28 1527365.9),(29 1496149.9),(30 1459948.3),(31 1431044.8),(32 1407380),(33 1376141.4),(34 1354954.6),(35 1340225.4),(36 1332869.9),(37 1332595.8),(38 1341724.5),(39 1368335.3),(40 1395415.6),(41 1438087.9),(42 1498803),(43 1567160.4),(44 1658705),(45 1762577.4),(46 1878477.1),(47 2009812.8),(48 2135947.5),(49 2255739),(50 2366394),(51 2477917.3),(52 2580675.5),(53 2681799.8),(54 2772575.5),(55 2855927.5),(56 2933047.5),(57 2995416.5),(58 3051274.3),(59 3092783.3),(60 3125674),(61 3149483.8),(62 3162078.3),(63 3157118.5),(64 3154847.5),(65 3131917.8),(66 3110009.8),(67 3084531.3),(68 3059852.3),(69 3032934.3),(70 3014645.8),(71 3009231.3),(72 3004764.3),(73 3019945.3),(74 3038971.8),(75 3074590.5),(76 3118618.8),(77 3170754.8),(78 3240218),(79 3323231.8),
