1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1358006.4),(2 5145692.5),(3 10821614),(4 18243486),(5 26725890),(6 35553040),(7 44641420),(8 54132764),(9 64194304),(10 75074690),(11 86932160),(12 99167170),(13 112177600),(14 125080630),(15 137270220),(16 149235300),(17 161246770),(18 173210370),(19 185818770),(20 199284020),(21 212781970),(22 225078700),(23 236090990),(24 245530320),(25 254005500),(26 262478270),(27 271665700),(28 280651740),(29 289882850),(30 300323600),(31 312203300),(32 325543140),(33 340178980),(34 355384500),(35 370700960),(36 385127260),(37 398309920),(38 410812200),(39 423048580),(40 433359400),(41 440914430),(42 446771100),(43 452144740),(44 457151870),(45 463068300),(46 469286560),(47 475804060),(48 481653400),(49 488280670),(50 495377150),(51 502082020),(52 507969180),(53 512594080),(54 515573400),(55 516864500),(56 516848100),(57 517293730),(58 518191460),(59 518905950),(60 518627330),(61 518364160),(62 518376060),(63 518799070),(64 518625900),(65 517699600),(66 515877380),(67 513397600),(68 510431580),(69 507556600),(70 503659900),(71 498816000),(72 493257440),(73 488373000),(74 484063330),(75 479780640),(76 476211620),(77 472565730),(78 468723170),(79 465075100),
(1 1479851.3),(2 5605705),(3 11718179),(4 19341472),(5 27912262),(6 36956870),(7 46248264),(8 55672652),(9 65230068),(10 74979810),(11 84940664),(12 95064856),(13 105618100),(14 116381720),(15 127162770),(16 138014450),(17 148868820),(18 159685470),(19 170914020),(20 183381680),(21 197297140),(22 211166270),(23 224866260),(24 238371740),(25 251766620),(26 265494050),(27 279101120),(28 291928740),(29 304037060),(30 315439460),(31 326132500),(32 337499650),(33 350126530),(34 362798720),(35 374296060),(36 383636030),(37 391638370),(38 399044770),(39 405837800),(40 411133020),(41 412985020),(42 412385300),(43 411035140),(44 408862400),(45 406581500),(46 404542000),(47 403455070),(48 403030050),(49 404101400),(50 406283360),(51 409313800),(52 413117380),(53 416963940),(54 419705570),(55 421193800),(56 421922880),(57 423095330),(58 424114560),(59 424298800),(60 423396380),(61 422387970),(62 422536060),(63 423592260),(64 424960830),(65 426511780),(66 428099230),(67 429823740),(68 431490880),(69 433678270),(70 435665100),(71 436740960),(72 437129280),(73 437953630),(74 439540930),(75 441710530),(76 444246460),(77 446295870),(78 447766430),(79 448756300),
(1 1496692.5),(2 5721502.5),(3 12273435),(4 20704696),(5 30826514),(6 42228724),(7 54548044),(8 67616960),(9 81327256),(10 95143330),(11 109070910),(12 123049064),(13 137583550),(14 152497600),(15 167756560),(16 183239340),(17 198557520),(18 213902220),(19 230882880),(20 249225300),(21 268698940),(22 286249860),(23 303498180),(24 320494500),(25 336203870),(26 350765570),(27 364154100),(28 377366940),(29 389666140),(30 401029630),(31 409969760),(32 417668130),(33 424947200),(34 430961060),(35 436114530),(36 439774460),(37 441817760),(38 441882100),(39 439629570),(40 434195840),(41 426266460),(42 415886240),(43 404461300),(44 392993900),(45 381145820),(46 370232670),(47 359829660),(48 349205120),(49 339648450),(50 330883620),(51 322203100),(52 313214820),(53 303986020),(54 294895520),(55 286750050),(56 279055100),(57 271726940),(58 264517380),(59 257638910),(60 251807220),(61 246478800),(62 241628460),(63 238332220),(64 236213810),(65 235559490),(66 236095660),(67 238446340),(68 242893260),(69 250037950),(70 259703870),(71 270410880),(72 281437820),(73 293368160),(74 306254430),(75 319129440),(76 332091870),(77 345228320),(78 357588740),(79 370277980),
(1 1445649.9),(2 5418069),(3 11596735),(4 19514198),(5 28674038),(6 38702924),(7 49308692),(8 60225040),(9 71404750),(10 82637256),(11 93781170),(12 104906030),(13 116156830),(14 127479610),(15 138487860),(16 149271380),(17 159500960),(18 169355890),(19 178950990),(20 187187170),(21 194085950),(22 198654110),(23 201897440),(24 203699900),(25 204013680),(26 203070900),(27 201242960),(28 199525820),(29 197783870),(30 195944740),(31 193647100),(32 190826980),(33 187812880),(34 184772130),(35 182546060),(36 181141500),(37 180836300),(38 181100030),(39 181620700),(40 182365360),(41 182879820),(42 183344720),(43 184414560),(44 186259140),(45 188580350),(46 192339900),(47 196142270),(48 199256000),(49 202141630),(50 204377540),(51 205950460),(52 206638340),(53 207080030),(54 207718750),(55 209162580),(56 211278640),(57 213902270),(58 216669100),(59 219697760),(60 222470160),(61 224746940),(62 226664590),(63 228438500),(64 229812030),(65 230846670),(66 231189440),(67 230792850),(68 229820340),(69 228626000),(70 227544510),(71 226047570),(72 224200670),(73 222192350),(74 220401580),(75 218569550),(76 216617250),(77 214484220),(78 212257980),(79 210311500),
(1 1184946.9),(2 4517888.5),(3 9618875),(4 16022865),(5 23180552),(6 30776628),(7 38515090),(8 46356036),(9 54385956),(10 62468892),(11 70534360),(12 78608920),(13 86643864),(14 94414150),(15 101583736),(16 108089030),(17 113714380),(18 118044000),(19 121431380),(20 124186984),(21 125965260),(22 127244540),(23 128161770),(24 128800950),(25 129306136),(26 129958584),(27 131058770),(28 132144740),(29 133074230),(30 133870010),(31 134395300),(32 134831060),(33 135405230),(34 136111000),(35 136557780),(36 136861070),(37 137287680),(38 138054980),(39 139396770),(40 141369800),(41 143617470),(42 146261380),(43 149184620),(44 151539040),(45 153446080),(46 155359490),(47 157095550),(48 158032700),(49 158294880),(50 157969540),(51 157164110),(52 155879330),(53 154141230),(54 151958580),(55 149445890),(56 147184370),(57 145252560),(58 143921940),(59 143643920),(60 143890060),(61 144892820),(62 145835380),(63 146778180),(64 147312290),(65 147463280),(66 147183460),(67 146608960),(68 145969570),(69 145620220),(70 145371140),(71 145165550),(72 144885870),(73 144549620),(74 144114620),(75 143598860),(76 143205170),(77 142684770),(78 141971220),(79 141083150),
(1 1540148.5),(2 6083917),(3 13541738),(4 23507338),(5 35308360),(6 48308256),(7 62203188),(8 76618580),(9 91241090),(10 105861220),(11 120260250),(12 133996620),(13 146613090),(14 157230930),(15 165221620),(16 171204800),(17 174767600),(18 176016340),(19 175025000),(20 171800500),(21 167339300),(22 162316260),(23 157041310),(24 152132050),(25 147772510),(26 143980850),(27 140546270),(28 137234740),(29 134434690),(30 132069810),(31 130539990),(32 130040920),(33 130598310),(34 131708950),(35 133401870),(36 135932220),(37 139001550),(38 142553500),(39 146494140),(40 151206400),(41 156007070),(42 160747100),(43 164676110),(44 168157980),(45 171443410),(46 174428110),(47 176872320),(48 178238880),(49 178319620),(50 176812640),(51 173897490),(52 170358290),(53 166066690),(54 161225500),(55 155825400),(56 150498190),(57 145366820),(58 140890260),(59 137148290),(60 133737580),(61 130739660),(62 127867890),(63 125243980),(64 123018610),(65 121070510),(66 119027660),(67 117082320),(68 115436850),(69 114214450),(70 113122024),(71 112150990),(72 111342640),(73 110737870),(74 110260590),(75 109771350),(76 109264340),(77 108474100),(78 107386290),(79 106081270),
(1 1145341.3),(2 4381389),(3 9501189),(4 16075100),(5 23652544),(6 31887374),(7 40337290),(8 48531308),(9 56134300),(10 62888950),(11 68752430),(12 73961040),(13 78710090),(14 82826744),(15 85949310),(16 88302536),(17 89777576),(18 90563740),(19 91288030),(20 92191050),(21 93358970),(22 94669304),(23 96074580),(24 97222540),(25 98058860),(26 98739336),(27 99330460),(28 99769890),(29 99955624),(30 99900680),(31 99375540),(32 98515570),(33 97256050),(34 95394230),(35 93015060),(36 90439840),(37 87801290),(38 85230136),(39 82899064),(40 80882570),(41 79205680),(42 77518824),(43 75999440),(44 74496880),(45 73069580),(46 72320620),(47 72146280),(48 72459150),(49 72923944),(50 73548210),(51 74602696),(52 76106560),(53 77867470),(54 79632210),(55 81098904),(56 82217260),(57 82857640),(58 83156440),(59 82970950),(60 82259464),(61 81072880),(62 79334424),(63 77383830),(64 75295816),(65 73241310),(66 71272110),(67 69380620),(68 67656030),(69 66112828),(70 64865080),(71 63838730),(72 63034556),(73 62183696),(74 61348200),(75 60595110),(76 60159490),(77 59659624),(78 59082156),(79 58373480),
(1 1245696.8),(2 4710485),(3 9874976),(4 16086694),(5 23021880),(6 30384562),(7 37741930),(8 44858360),(9 51508496),(10 57679468),(11 63209892),(12 67950380),(13 71588760),(14 74029690),(15 75641620),(16 76655120),(17 77001256),(18 76994260),(19 76585940),(20 76168590),(21 75855000),(22 75504940),(23 74832260),(24 73627060),(25 72218080),(26 70619976),(27 68743380),(28 66652550),(29 64106932),(30 61490436),(31 58604390),(32 55290348),(33 51899892),(34 48775864),(35 46326332),(36 44503140),(37 42994668),(38 41894292),(39 41394330),(40 41342572),(41 41312580),(42 41300336),(43 41494228),(44 42024884),(45 42977610),(46 44320020),(47 45825100),(48 47146630),(49 48200210),(50 49373060),(51 50812984),(52 52608292),(53 54418470),(54 56200824),(55 57758984),(56 59096580),(57 60106940),(58 60905404),(59 61452904),(60 61393530),(61 60783110),(62 59943508),(63 59108428),(64 58245960),(65 57427150),(66 56542550),(67 55917724),(68 55643504),(69 55607280),(70 55538100),(71 55334120),(72 55058268),(73 54615388),(74 54032256),(75 53264640),(76 52633700),(77 51977172),(78 51392640),(79 51044250),
(1 1170655.3),(2 4346394),(3 8928442),(4 14285552),(5 19919706),(6 25424894),(7 30498800),(8 34990004),(9 38704300),(10 41715516),(11 44244940),(12 46678956),(13 48923400),(14 50862444),(15 52507080),(16 53983464),(17 55380830),(18 56400180),(19 56987404),(20 57387390),(21 57197144),(22 56748950),(23 56506344),(24 56423890),(25 56442400),(26 56588588),(27 56687012),(28 56630280),(29 56389156),(30 55777076),(31 54842116),(32 53613740),(33 52193250),(34 50661988),(35 49169536),(36 48181452),(37 47480476),(38 46696320),(39 45845984),(40 45110400),(41 44667804),(42 44518588),(43 44583596),(44 44577476),(45 44562000),(46 44619588),(47 44793476),(48 44852132),(49 44879812),(50 44998452),(51 45248230),(52 45703460),(53 46159480),(54 46422988),(55 46571624),(56 46532916),(57 46271840),(58 45776056),(59 45383730),(60 45396292),(61 45627100),(62 46196840),(63 47022560),(64 48021464),(65 49227256),(66 50434760),(67 51523336),(68 52313350),(69 52905970),(70 53200856),(71 53264790),(72 52973580),(73 52284320),(74 51139252),(75 49894844),(76 48679040),(77 47590930),(78 46719610),(79 45919850),
(1 1053495.5),(2 3879071.5),(3 7919820.5),(4 12561572),(5 17316128),(6 21985968),(7 26353144),(8 30240356),(9 33466936),(10 35953924),(11 37750760),(12 39207332),(13 40350530),(14 41403930),(15 42724836),(16 43909996),(17 44732600),(18 44986610),(19 44748490),(20 44405490),(21 44149530),(22 44066504),(23 44384550),(24 44975612),(25 45453996),(26 45636004),(27 45435440),(28 45007696),(29 44646932),(30 44603620),(31 44974896),(32 45544700),(33 46160120),(34 46666216),(35 47307704),(36 48197960),(37 48919884),(38 49361996),(39 49856544),(40 50642470),(41 51584516),(42 52370240),(43 52934450),(44 53042696),(45 52484880),(46 51360904),(47 49968690),(48 48422450),(49 46939950),(50 45539120),(51 44287612),(52 43511430),(53 42981256),(54 42592788),(55 42491420),(56 42532308),(57 42730636),(58 42858132),(59 42902492),(60 42985424),(61 42902164),(62 42799410),(63 42709870),(64 42658040),(65 42454150),(66 42022784),(67 41584944),(68 41039892),(69 40479640),(70 39720656),(71 38971430),(72 38219860),(73 37587144),(74 37121172),(75 37066572),(76 37144652),(77 37159224),(78 37069520),(79 36828260),
(1 1116849.3),(2 3931218.8),(3 7692545.5),(4 11808590),(5 15894264),(6 19754128),(7 23422938),(8 26849706),(9 29810600),(10 32185502),(11 33933172),(12 35141292),(13 35897584),(14 36394584),(15 37113324),(16 37879770),(17 38820852),(18 39750660),(19 40265484),(20 40249332),(21 39537980),(22 38334744),(23 36984536),(24 35775040),(25 34718910),(26 33889580),(27 33348398),(28 33011376),(29 32777246),(30 32730564),(31 32933158),(32 33176568),(33 33370036),(34 33445308),(35 33250620),(36 32748600),(37 32152862),(38 31436342),(39 30577570),(40 29966464),(41 29753234),(42 29870456),(43 30208396),(44 30731862),(45 31503696),(46 32513430),(47 33423918),(48 34307744),(49 35067500),(50 35719276),(51 36223204),(52 36470268),(53 36345030),(54 35968496),(55 35463070),(56 34858076),(57 34236388),(58 33618380),(59 33091952),(60 32763384),(61 32830452),(62 33332142),(63 34089652),(64 35079092),(65 36179170),(66 37244492),(67 38052176),(68 38198224),(69 37802510),(70 36876580),(71 35654340),(72 34378532),(73 33108690),(74 31867184),(75 30854390),(76 30145294),(77 29671176),(78 29365736),(79 29067128),
