1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 5671.038),(2 10504.515),(3 13678.407),(4 15474.872),(5 16888.17),(6 17855.922),(7 18835.863),(8 19451.518),(9 20222.48),(10 20495.1),(11 20802.959),(12 20386.559),(13 20624.057),(14 20716.723),(15 20995.178),(16 21250.338),(17 21609.414),(18 21987.992),(19 22563.95),(20 22897.215),(21 22850.203),(22 22881.666),(23 22679.555),(24 22816.98),(25 22462.451),(26 22974.97),(27 22757.396),(28 22769.652),(29 22638.502),(30 22789.56),(31 22887.291),(32 23508.459),(33 23559.734),(34 23702.21),(35 23552.596),(36 23783.5),(37 23652.094),(38 23519.283),(39 23092.535),(40 23269.777),(41 23593.05),(42 24035.531),(43 23608.367),(44 23889.549),(45 23490.705),(46 23749.67),(47 23422.656),(48 23663.09),(49 23458.21),(50 23703.26),(51 23585.594),(52 24208.639),(53 24288.771),(54 24593.512),(55 24538.568),(56 24807.838),(57 24724.568),(58 24786.004),(59 24133.104),(60 24170.383),(61 24027.77),(62 24168.885),(63 23816.8),(64 23843.719),(65 23673.217),(66 24244.26),(67 24170.932),(68 24203.729),(69 24411.705),(70 24413.674),(71 24599.975),(72 24468.262),(73 24592.9),(74 24397.773),(75 24619.738),(76 24331.494),(77 24677.078),(78 25307.602),(79 25451.873),
(1 5443.0195),(2 10087.207),(3 12979.419),(4 14747.679),(5 16215.832),(6 16878.973),(7 17608.486),(8 18303.02),(9 19082.168),(10 19291.252),(11 19500.617),(12 19498.88),(13 19770.025),(14 19509.195),(15 19708.957),(16 20035.994),(17 20545.445),(18 20711.53),(19 21218.123),(20 21818.305),(21 22061.035),(22 22461.72),(23 22086.271),(24 21880.697),(25 21694.352),(26 22057.178),(27 21814.379),(28 22121.488),(29 21905.232),(30 22265.508),(31 22394.3),(32 22733.762),(33 22733.262),(34 22869.328),(35 23042.303),(36 23338.674),(37 22983.387),(38 23146.668),(39 22858.209),(40 23070.84),(41 22981.912),(42 23126.008),(43 22997.922),(44 23114.56),(45 22909.016),(46 23196.52),(47 23089.32),(48 23604.355),(49 23491.207),(50 24052.875),(51 23962.992),(52 24266.834),(53 24115.047),(54 24487.654),(55 24526.492),(56 24858.93),(57 24763.98),(58 25196.98),(59 24922.383),(60 24964.818),(61 24667.227),(62 24850.838),(63 24718.445),(64 24787.48),(65 24416.8),(66 25012.496),(67 24948.557),(68 25046.557),(69 25459.41),(70 25582.416),(71 25818.336),(72 25672.664),(73 25826.094),(74 25836.158),(75 26179.814),(76 26038.053),(77 26112.445),(78 26453.867),(79 26193.752),
(1 5295.305),(2 9552.97),(3 12604.989),(4 14311.714),(5 15634.843),(6 16285.499),(7 17180.316),(8 17763.754),(9 18219.326),(10 18487.082),(11 18928.451),(12 18988.342),(13 19279.115),(14 19122.848),(15 19435.984),(16 19909.209),(17 20513.656),(18 20615.473),(19 21064.951),(20 21240.697),(21 21553.145),(22 21861.736),(23 21732.229),(24 22003.822),(25 21696.516),(26 22030.824),(27 21782.156),(28 22075.756),(29 22044.889),(30 22124.768),(31 22242.729),(32 22525.346),(33 22407.303),(34 22748.373),(35 22476.744),(36 22506.863),(37 22220.205),(38 22249.986),(39 21913.828),(40 22010.973),(41 22173.488),(42 22837.902),(43 22449.719),(44 22831.078),(45 22772.361),(46 23257.697),(47 23168.965),(48 23279.777),(49 23009.568),(50 23477.443),(51 23662.764),(52 23990.914),(53 23987.521),(54 24427.66),(55 24412.666),(56 24832.459),(57 24827.941),(58 25095.773),(59 24707.623),(60 24947.28),(61 24583.324),(62 24215.705),(63 23819.736),(64 23821.98),(65 23695.572),(66 24390.695),(67 24455.121),(68 24412.256),(69 24703.553),(70 24604.494),(71 24768.531),(72 24581.025),(73 24807.482),(74 24750.88),(75 24918.633),(76 24506.514),(77 24388.662),(78 24720.197),(79 24592.605),
(1 5247.338),(2 9518.897),(3 12379.17),(4 13929.063),(5 15074.836),(6 15575.479),(7 16359.885),(8 16687.262),(9 17191.137),(10 17414.2),(11 17955.736),(12 17726.176),(13 18033.627),(14 18205.625),(15 18737.176),(16 19278.734),(17 19750.57),(18 19915.41),(19 20226.9),(20 20642.385),(21 20827.775),(22 21049.754),(23 21186.807),(24 21517.934),(25 21044.926),(26 21114.338),(27 21058.986),(28 21238.932),(29 21083.967),(30 21419.016),(31 21278.586),(32 21479.16),(33 21379.76),(34 21647.104),(35 21383.045),(36 21388.7),(37 21093.967),(38 21201.732),(39 21333.805),(40 21456.227),(41 21578.795),(42 21870.086),(43 21639.775),(44 22114.713),(45 22048.842),(46 22429.293),(47 22445.967),(48 22595.572),(49 22318.738),(50 22599.508),(51 22383.207),(52 22744.795),(53 22657.938),(54 23168.713),(55 23030.576),(56 23313.705),(57 23251.152),(58 23491.76),(59 23213.396),(60 23460.992),(61 23260.045),(62 23216.129),(63 22927.365),(64 23126.78),(65 22936.805),(66 23661.012),(67 23303.299),(68 23239.006),(69 23818.309),(70 23860.707),(71 24031.268),(72 23905.037),(73 23864.318),(74 23646.057),(75 23839.404),(76 23716.895),(77 24075.227),(78 24724.178),(79 24686.172),
(1 5200.032),(2 9268.328),(3 11888.322),(4 13291.227),(5 14538.066),(6 15177.574),(7 15823.561),(8 16111.138),(9 16672.531),(10 16939.504),(11 17251.453),(12 17091.389),(13 17460.377),(14 17413.746),(15 17773.424),(16 18161.73),(17 18609.361),(18 18802.234),(19 18856.63),(20 19206.14),(21 19581.137),(22 19882.775),(23 19803.037),(24 19854.6),(25 19824.834),(26 20082.46),(27 20219.219),(28 20533.041),(29 20561.62),(30 21071.977),(31 21041.887),(32 21231.32),(33 21041.207),(34 21378.656),(35 21275.752),(36 21461.357),(37 21316.281),(38 21491.605),(39 21480.44),(40 21806.025),(41 22023.303),(42 22339.836),(43 22213.422),(44 22855.063),(45 22572.348),(46 22693.77),(47 22559.172),(48 22901.453),(49 22804.307),(50 23219.232),(51 22946.848),(52 23263.678),(53 23075.613),(54 23193.607),(55 23089.277),(56 23403.424),(57 23299.225),(58 23598.68),(59 23167.297),(60 23121.455),(61 22846.7),(62 22762.213),(63 22242.475),(64 22158.79),(65 21819.295),(66 22159.318),(67 21959.402),(68 22246.197),(69 22548.098),(70 22538.496),(71 22502.063),(72 22259.375),(73 22230.412),(74 22252.164),(75 22529.814),(76 22696.055),(77 23141.39),(78 23771.436),(79 23343.457),
(1 5141.2354),(2 9186.117),(3 11548.836),(4 12879.03),(5 14175.021),(6 14797.629),(7 15454.712),(8 15985.14),(9 16681.371),(10 16901.88),(11 17161.133),(12 17195.13),(13 17453.354),(14 17533.547),(15 17804.586),(16 17999.973),(17 18478.162),(18 18467.111),(19 18554.316),(20 19137.648),(21 19377.588),(22 19622.398),(23 19261.281),(24 19329.498),(25 19423.363),(26 19635.965),(27 19389.678),(28 19696.713),(29 19638.885),(30 19902.178),(31 20034.908),(32 20334.877),(33 20110.121),(34 20441.732),(35 20458.898),(36 20530.223),(37 20165.496),(38 20261.373),(39 20082.686),(40 20311.057),(41 20397.58),(42 20719.344),(43 20420.24),(44 20585.63),(45 20324.627),(46 20332.38),(47 20100.05),(48 20459.092),(49 20483.387),(50 20922.965),(51 21026.855),(52 21357.521),(53 21216.254),(54 21412.146),(55 21238.55),(56 21330.572),(57 21088.365),(58 21392.377),(59 21087.613),(60 21184.705),(61 21273.576),(62 21564.408),(63 21206.814),(64 21553.953),(65 21411.734),(66 21897.771),(67 21696.596),(68 21915.898),(69 22295.186),(70 22393.723),(71 22607.727),(72 22581.91),(73 22587.955),(74 22418.072),(75 22746.914),(76 22880.838),(77 22972.72),(78 23050.203),(79 22863.809),
(1 5133.399),(2 9100.013),(3 11535.949),(4 12955.302),(5 14233.742),(6 14799.6),(7 15470.061),(8 15987.881),(9 16643.523),(10 16786.725),(11 17191.514),(12 17385.871),(13 17671.885),(14 17497.377),(15 18002.066),(16 18262.734),(17 18804.354),(18 18780.54),(19 19000.912),(20 19241.04),(21 19272.037),(22 19535.791),(23 19450.084),(24 19611.953),(25 19506.092),(26 19401.428),(27 19390.549),(28 19687.08),(29 19613.695),(30 19862.371),(31 19808.338),(32 19971.438),(33 19864.535),(34 20016.549),(35 20062.676),(36 20353.213),(37 20087.258),(38 20123.387),(39 19884.457),(40 20171.588),(41 19814.979),(42 20147.217),(43 20052.932),(44 20561.154),(45 20328.168),(46 20427.088),(47 20160.215),(48 20383.217),(49 20329.043),(50 20583.896),(51 20931.264),(52 21469.912),(53 21425.84),(54 21674.3),(55 21404.184),(56 21549.643),(57 21203.719),(58 21349.402),(59 21160.611),(60 21455.754),(61 21521.385),(62 21640.584),(63 21286.627),(64 21331.012),(65 20866.066),(66 21282.426),(67 20973.986),(68 21185.857),(69 21597.693),(70 21636.639),(71 22049.982),(72 22011.271),(73 22285.035),(74 22374.102),(75 22615.498),(76 22440.24),(77 22565.36),(78 22575.637),(79 22443.48),
(1 4730.155),(2 8452.87),(3 10738.083),(4 12046.243),(5 13140.466),(6 13729.407),(7 14395.588),(8 14869.548),(9 15525.296),(10 15745.717),(11 16303.726),(12 16333.291),(13 16749.81),(14 16769.318),(15 17196.098),(16 17192.693),(17 17351.633),(18 17238.98),(19 17650.613),(20 17996.64),(21 18070.846),(22 18246.01),(23 18072.602),(24 18149.246),(25 18154.51),(26 18260.852),(27 18305.39),(28 18532.578),(29 18363.47),(30 18492.314),(31 18517.691),(32 18825.984),(33 18739.441),(34 18846.193),(35 18834.514),(36 19015.703),(37 18585.434),(38 18635.5),(39 18684.91),(40 19017.518),(41 18929.285),(42 18984.2),(43 18815.57),(44 19042.158),(45 18822.697),(46 19093.23),(47 18865.46),(48 19148.898),(49 19090.422),(50 19547.691),(51 19519.06),(52 19976.28),(53 19918.48),(54 20314.79),(55 20301.4),(56 20769.125),(57 20446.324),(58 20503.424),(59 20349.355),(60 20510.545),(61 20307.672),(62 20330.287),(63 20179.945),(64 20532.91),(65 20194.83),(66 20612.332),(67 20256.34),(68 20351.371),(69 20595.064),(70 20489.406),(71 20795.62),(72 20522.617),(73 20449.482),(74 20278.543),(75 20330.754),(76 20186.496),(77 20435.23),(78 20426.36),(79 20301.377),
(1 4683.741),(2 8242.807),(3 10528.052),(4 11873.714),(5 12793.962),(6 13290.48),(7 13733.941),(8 14057.443),(9 14692.025),(10 14894.075),(11 15180.756),(12 15333.654),(13 15793.248),(14 15888.28),(15 16327.956),(16 16533.34),(17 16927.684),(18 16803.977),(19 17203.95),(20 17588.564),(21 17635.857),(22 17847.52),(23 17674.59),(24 17759.088),(25 17729.055),(26 18043.248),(27 18016.275),(28 18245.473),(29 18144.46),(30 18445.646),(31 18417.926),(32 18584.178),(33 18518.322),(34 18869.139),(35 18903.477),(36 19010.846),(37 18821.314),(38 18905.111),(39 18846.36),(40 19082.752),(41 19049.627),(42 19164.035),(43 18822.467),(44 19030.816),(45 18652.129),(46 18808.045),(47 18471.145),(48 18689.361),(49 18697.223),(50 19036.367),(51 19037.826),(52 19459.266),(53 19436.502),(54 19721.867),(55 19778.238),(56 20065.88),(57 19944.201),(58 20215.406),(59 20088.213),(60 20491.807),(61 20369.436),(62 20471.904),(63 20257.752),(64 20550.734),(65 20402.281),(66 21050.176),(67 20873.326),(68 20928.832),(69 21195.828),(70 21221.912),(71 21216.676),(72 20878.39),(73 20798.252),(74 20513.828),(75 20619.857),(76 20378.084),(77 20538.803),(78 20765.156),(79 20690.12),
(1 4546.694),(2 8050.2246),(3 10212.132),(4 11521.613),(5 12496.56),(6 12913.62),(7 13516.424),(8 13683.415),(9 14035.648),(10 14341.103),(11 14759.001),(12 14823.473),(13 15007.835),(14 15108.052),(15 15444.782),(16 15616.416),(17 15913.863),(18 16014.559),(19 16183.001),(20 16368.126),(21 16526.719),(22 16646.354),(23 16514.252),(24 16868.926),(25 16752.44),(26 16922.238),(27 16795.645),(28 17079.893),(29 17074.996),(30 17289.432),(31 17339.85),(32 17540.506),(33 17550.848),(34 17737.656),(35 17610.36),(36 17797.006),(37 17862.063),(38 18212.764),(39 18111.014),(40 18137.28),(41 18121.191),(42 18275.348),(43 17974.719),(44 18167.156),(45 17943.318),(46 18226.182),(47 18209.06),(48 18327.168),(49 17867.256),(50 17993.166),(51 17878.828),(52 18155.418),(53 18095.074),(54 18391.473),(55 18302.674),(56 18561.97),(57 18537.752),(58 18906.834),(59 18722.652),(60 18963.037),(61 18892.928),(62 19020.576),(63 18902.836),(64 19306.174),(65 19313.049),(66 19843.674),(67 19669.36),(68 19576.621),(69 19821.02),(70 19844.2),(71 20168.928),(72 20145.7),(73 20232.947),(74 20163.64),(75 20730.057),(76 20609.42),(77 20765.973),(78 21181.615),(79 20934.297),
(1 4593.2793),(2 8120.4507),(3 10476.0625),(4 11709.019),(5 12861.938),(6 13350.414),(7 13767.676),(8 14076.099),(9 14383.648),(10 14566.208),(11 15006.602),(12 15005.336),(13 15471.513),(14 15549.627),(15 15902.509),(16 15886.93),(17 16216.016),(18 16212.568),(19 16464.488),(20 16676.484),(21 16769.74),(22 17011.117),(23 16973.86),(24 17294.049),(25 17291.514),(26 17588.227),(27 17591.223),(28 17849.893),(29 17623.1),(30 17663.055),(31 17505.293),(32 17728.254),(33 17776.525),(34 17763.428),(35 17812.043),(36 18015.113),(37 18051.568),(38 18147.45),(39 18033.7),(40 18378.465),(41 18222.81),(42 18401.643),(43 18066.652),(44 18257.31),(45 18112.104),(46 18320.533),(47 18086.107),(48 18207.66),(49 17832.773),(50 18093.516),(51 18270.705),(52 18473.975),(53 18604.262),(54 18864.47),(55 18789.04),(56 19154.512),(57 18974.8),(58 19264.578),(59 19133.244),(60 19415.06),(61 19151.07),(62 19204.137),(63 18932.496),(64 19350.488),(65 19253.156),(66 19670.436),(67 19498.303),(68 19594.842),(69 19631.416),(70 19517.557),(71 19725.723),(72 19715.041),(73 19977.955),(74 20111.42),(75 20482.387),(76 20409.848),(77 20564.55),(78 20922.484),(79 20774.03),
(1 4347.0757),(2 7587.2124),(3 9820.691),(4 11212.124),(5 12371.437),(6 12927.522),(7 13413.949),(8 13831.045),(9 14123.247),(10 14150.108),(11 14391.108),(12 14507.403),(13 14773.151),(14 14825.766),(15 15085.228),(16 15347.971),(17 15650.494),(18 15817.258),(19 16017.164),(20 16367.445),(21 16431.934),(22 16516.03),(23 16246.64),(24 16401.482),(25 16268.478),(26 16511.443),(27 16421.594),(28 16680.787),(29 16517.336),(30 16604.652),(31 16532.984),(32 16882.93),(33 17129.674),(34 17445.89),(35 17363.762),(36 17562.898),(37 17452.314),(38 17530.822),(39 17558.12),(40 17907.926),(41 17673.213),(42 17735.44),(43 17546.576),(44 17801.021),(45 17587.158),(46 17810.938),(47 17683.693),(48 17898.818),(49 17674.623),(50 17955.686),(51 17834.627),(52 18137.178),(53 18145.004),(54 18605.455),(55 18386.164),(56 18672.053),(57 18638.334),(58 18778.838),(59 18807.453),(60 19240.412),(61 18958.893),(62 19201.068),(63 18880.854),(64 18938.693),(65 18770.277),(66 19151.635),(67 18913.021),(68 18966.33),(69 19250.855),(70 19076.646),(71 19221.236),(72 19237.615),(73 19340.043),(74 19359.795),(75 19686.932),(76 19662.438),(77 19770.74),(78 19969.865),(79 19593.066),
(1 4309.2705),(2 7394.213),(3 9317.756),(4 10619.228),(5 11693.075),(6 12207.31),(7 12766.616),(8 13253.676),(9 13683.271),(10 13742.147),(11 14089.159),(12 14264.367),(13 14478.519),(14 14404.9),(15 14638.001),(16 14959.763),(17 15235.006),(18 15402.099),(19 15686.32),(20 15763.34),(21 15829.086),(22 15922.864),(23 15755.53),(24 15914.129),(25 15807.081),(26 16193.207),(27 16167.469),(28 16357.279),(29 16089.6875),(30 16124.699),(31 16003.637),(32 16215.098),(33 16055.4795),(34 16344.652),(35 16337.431),(36 16615.87),(37 16617.895),(38 16642.973),(39 16652.016),(40 16877.537),(41 16985.176),(42 17068.297),(43 16917.813),(44 17238.93),(45 16874.703),(46 16954.379),(47 16818.748),(48 17009.32),(49 16813.299),(50 16942.162),(51 17062.791),(52 17401.16),(53 17285.4),(54 17553.969),(55 17403.951),(56 17642.861),(57 17566.275),(58 17777.105),(59 17629.863),(60 17952.223),(61 18044.621),(62 18463.092),(63 18295.8),(64 18642.682),(65 18515.824),(66 19104.656),(67 19023.863),(68 19100.984),(69 19223.104),(70 19239.371),(71 19296.766),(72 19052.672),(73 19201.15),(74 19105.97),(75 19527.514),(76 19530.871),(77 19648.473),(78 19824.555),(79 19575.824),
(1 4113.507),(2 7137.682),(3 9182.368),(4 10309.442),(5 11221.631),(6 11619.372),(7 12206.602),(8 12692.439),(9 13061.438),(10 13071.058),(11 13327.44),(12 13261.978),(13 13488.662),(14 13582.608),(15 13864.344),(16 14093.457),(17 14437.53),(18 14472.187),(19 14775.474),(20 15116.114),(21 14994.782),(22 15054.563),(23 14938.991),(24 15143.706),(25 15147.892),(26 15220.069),(27 15067.768),(28 14994.214),(29 14799.469),(30 14950.094),(31 14899.673),(32 15128.402),(33 15265.497),(34 15442.502),(35 15607.327),(36 15911.233),(37 15735.223),(38 15869.938),(39 15910.7),(40 16164.836),(41 16216.586),(42 16321.032),(43 16061.188),(44 16286.268),(45 16042.842),(46 16301.664),(47 16074.435),(48 16364.114),(49 16015.022),(50 16229.373),(51 16541.713),(52 17225.361),(53 17202.217),(54 17473.643),(55 17408.709),(56 17790.445),(57 17655.479),(58 17998.182),(59 17672.201),(60 17873.283),(61 17752.168),(62 18004.371),(63 17841.176),(64 18158.516),(65 18227.848),(66 18790.613),(67 18582.447),(68 18618.07),(69 18734.873),(70 18604.121),(71 18868.39),(72 18641.178),(73 18773.182),(74 18599.863),(75 18766.648),(76 18579.771),(77 18685.275),(78 18841.639),(79 18652.512),
(1 4081.0532),(2 7046.801),(3 8952.466),(4 10131.354),(5 11128.843),(6 11723.212),(7 12458.03),(8 12886.452),(9 13315.386),(10 13291.21),(11 13470.078),(12 13626.861),(13 13822.361),(14 13819.492),(15 14075.198),(16 14054.1875),(17 14144.118),(18 14081.761),(19 14249.041),(20 14438.012),(21 14508.68),(22 14761.926),(23 14739.799),(24 14974.924),(25 14951.39),(26 15090.7),(27 15034.236),(28 15118.569),(29 14914.861),(30 15107.733),(31 15179.822),(32 15434.848),(33 15576.976),(34 15755.846),(35 15641.358),(36 15753.126),(37 15762.809),(38 15951.316),(39 15817.598),(40 16023.648),(41 16155.82),(42 16444.451),(43 15964.075),(44 15974.127),(45 15682.255),(46 15915.271),(47 15851.518),(48 16059.217),(49 15976.102),(50 16380.809),(51 16366.654),(52 16903.574),(53 16907.777),(54 17093.945),(55 17177.826),(56 17481.518),(57 17298.37),(58 17483.182),(59 17244.498),(60 17509.627),(61 17311.412),(62 17318.805),(63 17139.26),(64 17461.492),(65 17333.768),(66 17725.08),(67 17624.309),(68 17399.037),(69 17589.414),(70 17500.775),(71 17631.49),(72 17496.691),(73 17533.602),(74 17421.248),(75 17744.318),(76 17682.266),(77 17738.799),(78 18208.945),(79 18219.428),
(1 3982.2786),(2 6840.7935),(3 8784.42),(4 9858.787),(5 10884.206),(6 11396.946),(7 11939.114),(8 12229.456),(9 12738.273),(10 12917.636),(11 13304.809),(12 13491.09),(13 13747.839),(14 13875.057),(15 14201.379),(16 14561.147),(17 14651.583),(18 14531.851),(19 14510.563),(20 14507.987),(21 14286.121),(22 14200.635),(23 14128.774),(24 14270.636),(25 14272.984),(26 14310.727),(27 14215.629),(28 14272.433),(29 14399.619),(30 14586.165),(31 14634.002),(32 14821.206),(33 14799.316),(34 15039.962),(35 14953.185),(36 15033.584),(37 14943.419),(38 15216.506),(39 15332.29),(40 15403.159),(41 15605.608),(42 15928.021),(43 15648.595),(44 15917.197),(45 15589.179),(46 15822.337),(47 15620.933),(48 15787.822),(49 15740.085),(50 15939.368),(51 16087.225),(52 16486.773),(53 16475.8),(54 16784.732),(55 16538.002),(56 16668.889),(57 16476.523),(58 16561.678),(59 16490.533),(60 16636.646),(61 16412.525),(62 16490.92),(63 16286.175),(64 16666.006),(65 16451.041),(66 16709.447),(67 16563.775),(68 16753.123),(69 17013.049),(70 16765.861),(71 17000.096),(72 16869.191),(73 16978.83),(74 16780.852),(75 16892.43),(76 16800.395),(77 16855.137),(78 17073.332),(79 16991.242),
(1 3847.4006),(2 6705.3623),(3 8555.986),(4 9592.324),(5 10453.421),(6 10908.519),(7 11465.874),(8 11820.628),(9 12302.669),(10 12471.939),(11 12841.279),(12 12893.747),(13 13096.593),(14 13107.775),(15 13396.264),(16 13767.88),(17 13796.739),(18 13767.357),(19 13878.609),(20 13972.181),(21 13813.79),(22 13983.053),(23 13875.966),(24 13876.04),(25 13840.211),(26 14043.084),(27 13957.118),(28 14061.241),(29 14114.076),(30 14261.095),(31 14292.136),(32 14551.874),(33 14600.694),(34 14702.443),(35 14733.647),(36 14927.72),(37 14719.581),(38 14787.939),(39 14780.425),(40 14619.984),(41 14663.451),(42 14900.661),(43 14554.703),(44 14806.573),(45 14689.023),(46 14863.939),(47 14794.979),(48 14939.683),(49 14790.424),(50 15178.961),(51 15136.016),(52 15449.353),(53 15362.7),(54 15785.345),(55 15682.82),(56 15786.494),(57 15791.9375),(58 16043.753),(59 15962.962),(60 16058.166),(61 15968.4375),(62 15978.093),(63 15756.532),(64 15873.644),(65 15686.762),(66 16120.569),(67 15887.01),(68 15774.0205),(69 16066.808),(70 16095.579),(71 16318.741),(72 16272.849),(73 16264.649),(74 16114.439),(75 16111.538),(76 15993.721),(77 16046.253),(78 16377.008),(79 16159.247),
(1 3811.7595),(2 6630.46),(3 8539.22),(4 9624.081),(5 10506.51),(6 10995.062),(7 11553.92),(8 11879.972),(9 12206.333),(10 12220.991),(11 12466.163),(12 12457.092),(13 12722.889),(14 12839.053),(15 13091.178),(16 13302.99),(17 13601.047),(18 13707.024),(19 13871.661),(20 14019.772),(21 13889.169),(22 14139.625),(23 14042.846),(24 14184.962),(25 14144.177),(26 14323.436),(27 14183.035),(28 14436.708),(29 14385.31),(30 14556.605),(31 14540.027),(32 14729.377),(33 14726.649),(34 14925.021),(35 14792.291),(36 14892.636),(37 14829.502),(38 14863.741),(39 14817.461),(40 14746.404),(41 14851.899),(42 15039.928),(43 14812.7705),(44 15113.235),(45 14927.176),(46 15161.366),(47 15056.269),(48 15371.852),(49 15218.284),(50 15292.738),(51 15221.6875),(52 15336.881),(53 15167.247),(54 15310.41),(55 15246.518),(56 15663.812),(57 15670.2705),(58 15995.41),(59 15930.852),(60 16095.836),(61 16035.584),(62 16296.197),(63 15838.611),(64 15957.519),(65 15798.398),(66 16165.54),(67 16103.313),(68 16061.039),(69 16201.391),(70 16084.475),(71 16167.58),(72 16260.888),(73 16325.965),(74 16169.477),(75 16320.123),(76 16480.52),(77 16676.855),(78 16936.256),(79 16665.72),
