1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11203.39),(2 22063.938),(3 26635.867),(4 27614.35),(5 30379.557),(6 34000.03),(7 37128.137),(8 39570.184),(9 42977.684),(10 46710.906),(11 48888.484),(12 49325.86),(13 51326.74),(14 53764.164),(15 55873.348),(16 57460.184),(17 59109.06),(18 59401.08),(19 59749.17),(20 61463.273),(21 64072.203),(22 64715.42),(23 64638.52),(24 65893),(25 66830.25),(26 67265.11),(27 67767.734),(28 68001.6),(29 68535.38),(30 67760.805),(31 68018.45),(32 68774.07),(33 69506.69),(34 70143.98),(35 70173.84),(36 71089.68),(37 71648.75),(38 72196.68),(39 72345.88),(40 72764.875),(41 73212.76),(42 74224.53),(43 74735.88),(44 75518.625),(45 75635.82),(46 75713.08),(47 76402.734),(48 76336.75),(49 76106.45),(50 76413.8),(51 77079.61),(52 77477.69),(53 78255.305),(54 79266.6),(55 80137.01),(56 81455.55),(57 82423.195),(58 83122.42),(59 84139.61),(60 86316.516),(61 87393.89),(62 87823.914),(63 87047.05),(64 87086.08),(65 87420.18),(66 88237.19),(67 87368.16),(68 85600.84),(69 85498.72),(70 86055.31),(71 86088.8),(72 84922.58),(73 84609.1),(74 85209.695),(75 84485.81),(76 82663.41),(77 81628.26),(78 81544.08),(79 81213.5),
(1 11240.068),(2 22369.756),(3 26866.533),(4 27574.96),(5 30057.885),(6 33728.688),(7 36526.176),(8 38784.53),(9 41259.74),(10 44565.105),(11 46201.688),(12 46237.88),(13 47345.793),(14 49442.508),(15 50859.15),(16 51891.758),(17 53342.08),(18 54795.84),(19 56095.64),(20 58003.813),(21 59576.816),(22 59608.39),(23 60276.863),(24 61208.93),(25 61956.344),(26 61885.688),(27 62751.46),(28 63506.97),(29 63845.22),(30 63294.64),(31 63524.297),(32 64830.78),(33 65799.71),(34 66126.06),(35 66338.96),(36 67374.914),(37 68853.13),(38 69204.55),(39 69392.914),(40 69858.695),(41 70000.234),(42 69934.26),(43 70776.37),(44 71446.74),(45 71067.586),(46 71820.69),(47 72563.016),(48 72039.55),(49 71265.11),(50 71417.625),(51 72546.086),(52 73587.48),(53 73772.74),(54 74059.47),(55 74851.68),(56 75756.92),(57 75773.016),(58 75981.84),(59 76681.664),(60 77686.914),(61 78445.46),(62 79332.98),(63 79404.08),(64 78642.3),(65 78157.21),(66 79386.46),(67 79813.43),(68 78827.79),(69 78952.93),(70 79551.84),(71 79728.85),(72 79369.234),(73 79711.96),(74 79681.52),(75 78288.53),(76 76958.57),(77 76383.01),(78 76243.97),(79 76253.46),
(1 10607.371),(2 20440.367),(3 24540.666),(4 25259.172),(5 28242.307),(6 31618.48),(7 34494.324),(8 37233.617),(9 40324.207),(10 43487.55),(11 44767.824),(12 45256.523),(13 46568.773),(14 48521.098),(15 49688.754),(16 50884.477),(17 52184.426),(18 53429.535),(19 54882.19),(20 56762.633),(21 58006.918),(22 58245.19),(23 59198.465),(24 60514.344),(25 61256.34),(26 61459.12),(27 61681.05),(28 62014.746),(29 62294.805),(30 62704.29),(31 63039.65),(32 63333.035),(33 63861.12),(34 64133.195),(35 65115.844),(36 65977.39),(37 66639.43),(38 66678.984),(39 66685.61),(40 67224.51),(41 67641.42),(42 67919.15),(43 68395.37),(44 69293.77),(45 69709.14),(46 69965.58),(47 69948.68),(48 70245.4),(49 70627.45),(50 70571.36),(51 70412.555),(52 70901.42),(53 71339.17),(54 72040.1),(55 72843.69),(56 73909.95),(57 74454.82),(58 74967.57),(59 74793.72),(60 74619.85),(61 75285.18),(62 76338.63),(63 76363.99),(64 75634.27),(65 75967.445),(66 77046.586),(67 78079.11),(68 77880.72),(69 77773.88),(70 77938.1),(71 78068.39),(72 78460.89),(73 78314.34),(74 77437.69),(75 77286.445),(76 76800.875),(77 76498.36),(78 76262.1),(79 75506.8),
(1 10886.935),(2 21135.441),(3 24776.273),(4 25453.352),(5 28868.166),(6 32525.822),(7 35414.387),(8 38185.082),(9 41618.75),(10 45418.504),(11 47226.258),(12 48911.004),(13 50722.53),(14 52278.582),(15 53522.914),(16 55517.633),(17 56659.54),(18 57022.543),(19 58025.01),(20 59705.6),(21 60727.645),(22 60643.22),(23 60707.07),(24 61768.04),(25 62029.27),(26 61731.566),(27 61480.31),(28 61778.59),(29 62191.41),(30 62369.063),(31 63066.133),(32 63709.293),(33 64716.88),(34 65202.52),(35 66620.86),(36 67196.88),(37 67361.43),(38 67707.484),(39 68643.305),(40 69299.38),(41 69404.555),(42 70288.34),(43 71449.85),(44 71883.945),(45 72047.18),(46 72491.46),(47 73042.96),(48 73495.96),(49 73268.16),(50 72882.664),(51 73551.92),(52 74078.47),(53 74210.03),(54 74308.305),(55 75584.26),(56 75981.44),(57 76090.81),(58 75790.23),(59 76432.3),(60 77051),(61 77629.91),(62 78632.97),(63 79988.37),(64 80120.3),(65 80394.016),(66 80768.305),(67 81957.016),(68 81638.88),(69 80938.82),(70 80424.5),(71 80696.414),(72 80981.53),(73 79760.56),(74 78445.67),(75 77895.586),(76 77647.76),(77 77375.25),(78 77020.76),(79 77087.21),
(1 10296.176),(2 19987.166),(3 23682.826),(4 24505.646),(5 26970.22),(6 29984.232),(7 33042.664),(8 35869.43),(9 38715.83),(10 41394.797),(11 42532.176),(12 43335.586),(13 45329.797),(14 47256.824),(15 49044.535),(16 50743.844),(17 51380.53),(18 51693.316),(19 52910.938),(20 54760.777),(21 55585.176),(22 55656.56),(23 56273.066),(24 57546.242),(25 58024.785),(26 58036.574),(27 58514.883),(28 59588.01),(29 61213.24),(30 62188.324),(31 63024.598),(32 63860.57),(33 64576.453),(34 65578.39),(35 66038.15),(36 66518.92),(37 67000.41),(38 67612.14),(39 68780.67),(40 69653.375),(41 70465.61),(42 70760.984),(43 71123.94),(44 71751.445),(45 71583.33),(46 70786.805),(47 70257.52),(48 70913.875),(49 71228),(50 71284.05),(51 71553.09),(52 72100.16),(53 72125.38),(54 71613.62),(55 71248.84),(56 71636.33),(57 72206.305),(58 72958.01),(59 74244.39),(60 74510.336),(61 73889.28),(62 74601.53),(63 76341.61),(64 76301.055),(65 75188.55),(66 74799.46),(67 75725.66),(68 75825.86),(69 74895.06),(70 74983.766),(71 75552.4),(72 75378.81),(73 73450.91),(74 72168.445),(75 72097.52),(76 72244.18),(77 71144.87),(78 70083.07),(79 69591.36),
(1 10367.529),(2 20342.068),(3 23942.758),(4 24516.967),(5 27683.332),(6 30840.334),(7 33429.375),(8 36290.92),(9 39615.35),(10 41826.793),(11 42652.984),(12 44265.242),(13 46346.996),(14 48944.86),(15 50814.273),(16 53216.875),(17 54523.355),(18 55331.395),(19 56393.594),(20 58260.227),(21 58935.516),(22 59288.715),(23 60279.36),(24 61341.613),(25 61224.617),(26 61000.41),(27 61438.18),(28 62146.426),(29 62506.27),(30 63566.73),(31 64705.13),(32 65389.184),(33 65123.094),(34 65910.01),(35 66805.29),(36 66478.44),(37 65973.77),(38 67063.414),(39 67902.33),(40 68171.68),(41 67764.7),(42 68022.91),(43 68416.086),(44 68874.42),(45 69420.79),(46 69753.164),(47 69367.37),(48 69240.445),(49 70152.805),(50 71825.29),(51 72091.87),(52 72285.9),(53 72564.43),(54 72426.17),(55 71817.414),(56 71751.55),(57 72804.305),(58 73003.766),(59 73103.055),(60 73890.58),(61 73946),(62 74018.8),(63 74409.87),(64 74728.42),(65 74551.95),(66 74362.414),(67 74661.2),(68 75210.09),(69 74828.99),(70 74338.49),(71 74072.79),(72 74062.28),(73 73403.09),(74 72017.62),(75 72012.72),(76 71586.625),(77 70714.95),(78 70886.69),(79 71087.61),
(1 10304.275),(2 19755.4),(3 23434.365),(4 24369.08),(5 27638.377),(6 30632.65),(7 33597.586),(8 36671.926),(9 39660.523),(10 41446.78),(11 42165.73),(12 43319.926),(13 45754.152),(14 48142.113),(15 49999.43),(16 51552.95),(17 52532.19),(18 53507.387),(19 55468.867),(20 57103.53),(21 57471.973),(22 58196.76),(23 59883.7),(24 61650.027),(25 61675.26),(26 62136.844),(27 62142.598),(28 62698.78),(29 63467.57),(30 64394.938),(31 65272.2),(32 66232.76),(33 65635.305),(34 65744.72),(35 66851.6),(36 67460.016),(37 67159.36),(38 67712.79),(39 69041.75),(40 69656.09),(41 69279.836),(42 69531.18),(43 69844.38),(44 70448.6),(45 70838.76),(46 70302.43),(47 69751.39),(48 69886.77),(49 70367.62),(50 70868.72),(51 71271.24),(52 71492.04),(53 71655.555),(54 71953.305),(55 72057.22),(56 72688.35),(57 73352.05),(58 73096.07),(59 73108.086),(60 73560.875),(61 73634.82),(62 73830.56),(63 73819.01),(64 73729.5),(65 73537.8),(66 73743.65),(67 73741.87),(68 73660.27),(69 73835.875),(70 73610.66),(71 72864.59),(72 72732.87),(73 72945.6),(74 73109.97),(75 73602.305),(76 73088.7),(77 72816.68),(78 72852.64),(79 73164.44),
(1 10281.531),(2 19831.191),(3 22936.83),(4 23876.477),(5 26934.941),(6 29839.367),(7 32543.281),(8 34435.875),(9 37227.332),(10 40122.43),(11 40516.273),(12 41955.75),(13 44252.71),(14 46104.2),(15 47195.57),(16 48466.727),(17 49043.523),(18 49352.406),(19 51051.57),(20 52812.453),(21 53190.52),(22 53619.43),(23 54462.06),(24 55603.223),(25 56066.645),(26 56607.76),(27 57658.805),(28 58468.13),(29 59402.492),(30 60040.594),(31 60233.273),(32 60187.465),(33 60670.742),(34 61471.145),(35 62485.445),(36 63504.133),(37 63789.46),(38 64419.285),(39 65489.883),(40 65362.98),(41 64904.58),(42 65106.984),(43 65787.62),(44 66904.47),(45 67992.51),(46 68750.11),(47 68707.95),(48 68268.016),(49 68628.18),(50 69010.56),(51 68749.85),(52 68655.07),(53 68805.28),(54 68971.78),(55 68731.945),(56 69383.36),(57 70008.305),(58 69599.81),(59 68945.86),(60 69442.875),(61 70007.766),(62 70616.15),(63 70486.98),(64 70547.39),(65 70629.53),(66 71077.164),(67 70009.234),(68 69744.35),(69 70078.43),(70 70334.62),(71 69373.03),(72 68870.59),(73 68717.16),(74 67969.695),(75 67576.81),(76 66954.445),(77 66444.445),(78 65841.12),(79 65058.617),
(1 10085.067),(2 19222.762),(3 22800.104),(4 23685.014),(5 26203.016),(6 29143.357),(7 31869.629),(8 34280.97),(9 36299.48),(10 37883.293),(11 39031.215),(12 40474.53),(13 42444.44),(14 43966.61),(15 45099.54),(16 45672.53),(17 46341.848),(18 46974.14),(19 48617.492),(20 50538.027),(21 51273.48),(22 52092.18),(23 52706.805),(24 53305.97),(25 53664.15),(26 54464.33),(27 55369.85),(28 55511.465),(29 56734.26),(30 57436.6),(31 57241.48),(32 56688.152),(33 57109.496),(34 57721.793),(35 58535.496),(36 59116.684),(37 59131.58),(38 59305.77),(39 59873.96),(40 59815.535),(41 59118.504),(42 59121.523),(43 59703.887),(44 60156.73),(45 60463.906),(46 61171.04),(47 60961.04),(48 60338.215),(49 60578.81),(50 61161.19),(51 60698.6),(52 60374.215),(53 59872.863),(54 59747.188),(55 59847.344),(56 60784.36),(57 61602.785),(58 61221.78),(59 60562.88),(60 61380.05),(61 62286.797),(62 62344.26),(63 62051.895),(64 62768.64),(65 63322.125),(66 62839.367),(67 62164.043),(68 62756.098),(69 63499.082),(70 62696.56),(71 61966.098),(72 62506.06),(73 62956.434),(74 62126.14),(75 61186),(76 61552.03),(77 62054.67),(78 61237.848),(79 60788.098),
(1 10132.717),(2 19337.084),(3 22413.559),(4 23400.92),(5 26352.912),(6 29161.857),(7 31370.076),(8 33847.438),(9 36160.38),(10 37606.777),(11 38512.367),(12 39690.8),(13 41386.957),(14 42872.117),(15 44387.117),(16 45164.586),(17 45424.645),(18 45867.258),(19 47992.617),(20 49254.375),(21 49540.297),(22 50034.313),(23 50485.727),(24 50636.11),(25 51292.395),(26 52222.504),(27 52936.973),(28 53547.957),(29 54471.97),(30 54701.996),(31 54575.297),(32 54443.652),(33 55174.617),(34 56791.69),(35 57476.977),(36 57177.33),(37 57203.32),(38 57543.645),(39 57978.68),(40 57878.43),(41 57948.35),(42 57967.727),(43 58870.027),(44 59876.813),(45 60379.348),(46 60874.93),(47 60486.3),(48 60327.402),(49 60023.516),(50 59999.41),(51 59917.45),(52 59885.23),(53 59819.043),(54 60100.42),(55 61092.2),(56 61662.105),(57 61467.957),(58 61562.44),(59 61401.703),(60 61620.42),(61 62630.92),(62 63501.055),(63 64258.477),(64 63950.82),(65 63985.977),(66 63843.383),(67 63938.848),(68 64792.01),(69 65274.594),(70 64875.69),(71 64340.766),(72 64389.375),(73 64208.137),(74 63465.395),(75 62958.23),(76 62933.336),(77 62976.652),(78 62439.418),(79 62019.53),
(1 9747.221),(2 18627.73),(3 21431.31),(4 22733.943),(5 25871.7),(6 28612.016),(7 30803.629),(8 33945.254),(9 36683.348),(10 38154.938),(11 39060.336),(12 40333.625),(13 42115.492),(14 43734.504),(15 45075.363),(16 45845.902),(17 46418.164),(18 47841.285),(19 49883.73),(20 50637.35),(21 50747.156),(22 50981.41),(23 51431.87),(24 52020.777),(25 52630.055),(26 53318.707),(27 54303.17),(28 54942.254),(29 55253.395),(30 55302.082),(31 55378.83),(32 55517.438),(33 56497.42),(34 57307.355),(35 58197.66),(36 57835.324),(37 57443.68),(38 57684.313),(39 57931.746),(40 57781.39),(41 57879.44),(42 58573.164),(43 59567.934),(44 60170.883),(45 60211.574),(46 60651.54),(47 60740.96),(48 60224.086),(49 60299.004),(50 61044.566),(51 61236.594),(52 61017.58),(53 60650.566),(54 60705.258),(55 61237.195),(56 61211.266),(57 60896.27),(58 60683.73),(59 61043.582),(60 60736.34),(61 61048.438),(62 61574.285),(63 62652.113),(64 63130.63),(65 63284.438),(66 62958.984),(67 63277.254),(68 63283.688),(69 63004.652),(70 62520.188),(71 61664.508),(72 61438.605),(73 61075.027),(74 61036.074),(75 61036.59),(76 60897.367),(77 60520.977),(78 60262.023),(79 60530.043),
(1 9556.074),(2 18295.121),(3 21275.395),(4 22558.67),(5 24830.537),(6 27375.363),(7 30020.566),(8 33438.297),(9 35808.434),(10 37206.797),(11 38194.14),(12 39971.32),(13 42390.89),(14 44242.65),(15 46096.336),(16 46757.14),(17 47214.688),(18 49272.293),(19 51587.676),(20 52130.29),(21 51761.035),(22 52204.195),(23 53193.273),(24 53464.543),(25 53623.816),(26 54059.742),(27 54608.184),(28 55148.566),(29 55581.758),(30 55865.54),(31 56273.027),(32 56740.586),(33 57113.836),(34 57347.836),(35 57975.633),(36 58719.887),(37 59218.805),(38 59256.047),(39 58833.78),(40 58974.457),(41 59531.25),(42 60742.094),(43 61872.953),(44 62110.523),(45 61918.18),(46 61759.184),(47 62037.03),(48 62227.527),(49 62347.48),(50 62373.258),(51 62703.297),(52 62785.805),(53 63261.45),(54 63619.6),(55 64713.57),(56 65262.21),(57 65779.33),(58 65879.56),(59 65998.484),(60 65555.93),(61 65707.195),(62 66745.94),(63 67451.63),(64 67331.84),(65 67141.06),(66 66640.54),(67 66978.86),(68 66706.96),(69 66580.17),(70 66125.45),(71 65241.41),(72 64771.773),(73 64871.23),(74 63923.402),(75 62555.98),(76 61803.78),(77 61164.11),(78 60222.492),(79 59780.36),
(1 9199.769),(2 17551.514),(3 20446.31),(4 21459.143),(5 23851.443),(6 26369.467),(7 28787.414),(8 32251.188),(9 34073.754),(10 35245.01),(11 36402.62),(12 38265.05),(13 40758.875),(14 42421.285),(15 43515.91),(16 44509.035),(17 44828.36),(18 46495.266),(19 48341.64),(20 49164.05),(21 49220.47),(22 49901.375),(23 51145.63),(24 51453.12),(25 51657.09),(26 52489.426),(27 52885.156),(28 52752.453),(29 53440.246),(30 53443.906),(31 53387.395),(32 53851.668),(33 54906.223),(34 55683.176),(35 55631.348),(36 55871.52),(37 56539.02),(38 56930.297),(39 56541.19),(40 56113.844),(41 56862.094),(42 57519.082),(43 57776.06),(44 58175.637),(45 58588.535),(46 58667.23),(47 58938.594),(48 59276.47),(49 59622.375),(50 60126.855),(51 60330.688),(52 60568.293),(53 60846.78),(54 61651.14),(55 62429.855),(56 63028.89),(57 62986.277),(58 62853.297),(59 62944.965),(60 63245.17),(61 63345.234),(62 63658.355),(63 63923.42),(64 63092.203),(65 62944.605),(66 63105.723),(67 62109.223),(68 61798.19),(69 61983.87),(70 61999.473),(71 61996.06),(72 61776.28),(73 61458.082),(74 60699.668),(75 59681.902),(76 58935.785),(77 58077.16),(78 57137.89),(79 56386.895),
(1 9533.989),(2 18054.098),(3 20561.953),(4 21535.514),(5 23771.482),(6 26075.334),(7 28965.145),(8 32261.941),(9 34513.82),(10 34828.266),(11 35797.07),(12 37389.387),(13 39283.4),(14 40578.97),(15 42154.266),(16 42932.75),(17 43248.66),(18 44966.76),(19 46670.52),(20 46932.598),(21 47388.637),(22 48025.996),(23 48303.242),(24 48514.117),(25 49025.473),(26 49854.09),(27 50655.46),(28 51465.64),(29 51565.184),(30 51159.465),(31 51484.39),(32 52348.848),(33 52564.24),(34 53159.586),(35 53120.85),(36 53610.402),(37 54754.547),(38 54989.242),(39 54696.34),(40 54656.996),(41 55652.766),(42 56394.7),(43 56784.152),(44 56606.11),(45 56551.91),(46 57320.11),(47 57818.273),(48 58075.152),(49 57843.69),(50 57524.242),(51 57405.855),(52 57514.004),(53 57688.22),(54 57927.137),(55 58294.363),(56 59140.72),(57 59186.438),(58 59281.547),(59 59081.01),(60 59448.16),(61 59984.465),(62 60641.434),(63 60611.652),(64 59788.957),(65 59159.78),(66 59034.39),(67 59003.684),(68 58190.945),(69 57699.94),(70 58132.086),(71 58087.906),(72 57386.414),(73 57152.13),(74 56814.19),(75 55641.9),(76 54836.16),(77 54323.625),(78 53352.434),(79 52044.316),
(1 9006.859),(2 16948.54),(3 19557.502),(4 20920.125),(5 23170.871),(6 25941.66),(7 28545.305),(8 31914.125),(9 33878.2),(10 34815.434),(11 36245.242),(12 38124.32),(13 40181.46),(14 41521.47),(15 42700.27),(16 42874.074),(17 43148.965),(18 44445.12),(19 45359.16),(20 45789.293),(21 46745.97),(22 47130.12),(23 47082.715),(24 47377.582),(25 47962.098),(26 48483.86),(27 49024.3),(28 49620.246),(29 49593.51),(30 49847.06),(31 50275.633),(32 50862.508),(33 51475.2),(34 52202.207),(35 52565.742),(36 52625.867),(37 53316.42),(38 54089.613),(39 53399.87),(40 53561.23),(41 54527.684),(42 54842.8),(43 54996.453),(44 55612.633),(45 56019.734),(46 55985.434),(47 55905.867),(48 56095.387),(49 56077.176),(50 56043.164),(51 56078.23),(52 56794.777),(53 57374.09),(54 57687.047),(55 57619.285),(56 58398.813),(57 58384.03),(58 58608.027),(59 58661.2),(60 59109.41),(61 59085.133),(62 59496.26),(63 59617.42),(64 59844.887),(65 60185.39),(66 60236.996),(67 59769.742),(68 59828.477),(69 59555.99),(70 59293.207),(71 59233.797),(72 58195.17),(73 57521.62),(74 56854.734),(75 55297.266),(76 54318.77),(77 54002.207),(78 52922.09),(79 52079.38),
(1 9300.384),(2 17685.432),(3 19853.691),(4 20710.719),(5 22757.174),(6 24995.666),(7 27348.826),(8 30452.518),(9 32689.406),(10 33471.563),(11 34215.598),(12 35677.465),(13 37890.805),(14 39502.805),(15 40745.65),(16 41080.457),(17 41423.316),(18 42907.363),(19 43765.297),(20 43878.9),(21 44421.855),(22 44545.594),(23 44142.484),(24 44644.938),(25 45409),(26 45978.906),(27 46293.15),(28 46348.35),(29 46293.79),(30 46315.082),(31 46748.777),(32 47307.02),(33 48091.027),(34 48920.754),(35 49786.164),(36 50253.895),(37 50689.105),(38 50704.832),(39 50741.934),(40 51115.004),(41 51179.984),(42 51784.297),(43 52912.35),(44 53844.15),(45 53892.082),(46 53803.996),(47 53850.277),(48 53953.355),(49 54003.637),(50 54030.15),(51 54343.51),(52 54446.965),(53 55062.82),(54 55546.945),(55 55918.617),(56 55943.51),(57 56489.234),(58 56375.984),(59 56056.45),(60 56129.203),(61 56123.027),(62 56001.78),(63 56034.582),(64 55942.215),(65 55612.895),(66 56371.566),(67 56523.88),(68 56570.42),(69 56188.652),(70 56045.305),(71 56176.88),(72 55737.254),(73 55386.45),(74 54997.895),(75 54997.086),(76 54770.402),(77 54426.813),(78 54036.547),(79 53801.58),
(1 8777.434),(2 16508.416),(3 18984.805),(4 20197.232),(5 22528.418),(6 25033.018),(7 27451.32),(8 29951.205),(9 31509.37),(10 32180.053),(11 33308.29),(12 35203.332),(13 37192.043),(14 38092.66),(15 38941.027),(16 39623.273),(17 40205.977),(18 41623.7),(19 42388.688),(20 42723.324),(21 43425.223),(22 43732.3),(23 43865.02),(24 44582.56),(25 45112.617),(26 45527.383),(27 45733.35),(28 45747.527),(29 46154.92),(30 46577.13),(31 46776.87),(32 46516.625),(33 46855.742),(34 47499.496),(35 47514.773),(36 47500.53),(37 47635),(38 47473.793),(39 47306.363),(40 47580.363),(41 47902.996),(42 48454.7),(43 49042.43),(44 49339.25),(45 49129.64),(46 49500.188),(47 49774.758),(48 49682.402),(49 50079.65),(50 50650.035),(51 50716.035),(52 51233.617),(53 51695.75),(54 51607.105),(55 52107.11),(56 52233.473),(57 52207.793),(58 51626.31),(59 52427.1),(60 52533.895),(61 52571.613),(62 52371.42),(63 53085.7),(64 52732.547),(65 52527.64),(66 52591.527),(67 52544.117),(68 52264.676),(69 51742.414),(70 51317.7),(71 50846.87),(72 50492.29),(73 50139.992),(74 49992.258),(75 49616.36),(76 48898.598),(77 48854.176),(78 48794.51),(79 48410.16),
(1 8540.994),(2 15939.497),(3 18132.041),(4 19337.146),(5 21627.486),(6 24538.81),(7 27154.164),(8 30042.936),(9 31436.297),(10 31946.379),(11 33249.957),(12 35284.58),(13 37479.734),(14 38687.758),(15 39528.254),(16 39396.496),(17 40275.035),(18 41890.906),(19 42806.395),(20 43682.863),(21 44063.1),(22 44360.594),(23 44276.63),(24 45386.71),(25 45602.492),(26 45948.44),(27 46392.258),(28 46987.887),(29 47184.965),(30 47458.973),(31 47701.332),(32 47654.297),(33 47653.6),(34 47878.42),(35 47984.07),(36 48076.438),(37 48205.355),(38 48813.887),(39 49642.8),(40 50457.652),(41 50755.508),(42 50868.094),(43 50993.133),(44 50930.605),(45 50864),(46 50990.113),(47 50656.527),(48 50103.086),(49 49992.16),(50 49983.086),(51 50512.54),(52 50546.355),(53 50347.754),(54 50066.668),(55 49669.574),(56 49178.293),(57 49065.74),(58 49051.133),(59 49559.766),(60 49817.7),(61 49802.246),(62 49649.57),(63 50131.25),(64 50096.28),(65 49619.66),(66 49551.61),(67 49614.13),(68 49172.266),(69 48785.69),(70 48171.6),(71 47744.793),(72 47612.19),(73 47160.117),(74 46718.586),(75 46730.52),(76 46078.58),(77 45872.13),(78 45964.78),(79 45913.875),
