1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 18175.137),(2 45658.094),(3 68285.95),(4 92423.74),(5 117202.3),(6 141083.55),(7 160135.3),(8 176977.58),(9 195722.2),(10 210835.52),(11 224997.53),(12 237238.11),(13 247056.23),(14 254568.11),(15 261178.61),(16 266379.2),(17 271471.13),(18 280325.03),(19 283669),(20 287842.1),(21 293251.75),(22 296830.7),(23 302092.47),(24 304813.3),(25 309378.44),(26 313757.5),(27 317431.16),(28 322591.53),(29 325976.63),(30 327977.28),(31 330735.84),(32 336511.03),(33 343162.88),(34 346860.94),(35 349307.03),(36 352897.1),(37 356008.8),(38 358281.9),(39 362588.16),(40 368531.53),(41 375404.2),(42 381352.3),(43 386855.94),(44 392469.5),(45 396147.88),(46 398218.22),(47 400620.13),(48 399894.2),(49 397658.9),(50 396990.88),(51 395488.1),(52 392854.4),(53 390267.3),(54 386031.84),(55 381421.44),(56 378145.6),(57 375594.2),(58 374126.56),(59 372978.34),(60 372241.88),(61 368051.3),(62 363430.6),(63 360453.25),(64 358257.16),(65 356528.88),(66 356214.4),(67 356029.8),(68 354729.56),(69 354343.28),(70 351825.34),(71 350201.47),(72 348940.34),(73 347964.4),(74 344598.66),(75 343875.5),(76 344778.22),(77 345006.6),(78 345969.9),(79 349219.1),
(1 18396.953),(2 43916.75),(3 62615.28),(4 84147.78),(5 106378.836),(6 125570.27),(7 141259.14),(8 157308.06),(9 173376.95),(10 184800.48),(11 194673.78),(12 203725.17),(13 212607.63),(14 216662.22),(15 219470.94),(16 224044.56),(17 229255.08),(18 236589.39),(19 239309.39),(20 243910.22),(21 249503.69),(22 253243.77),(23 257818.88),(24 261849.1),(25 268187.84),(26 273031.8),(27 275670.6),(28 280599.06),(29 284805.13),(30 288548.16),(31 292635.3),(32 298699.1),(33 304621.75),(34 306626.34),(35 309022.72),(36 312221.03),(37 315240.47),(38 316690.4),(39 319080.2),(40 322861.94),(41 326440.88),(42 329731.63),(43 332532.94),(44 334341),(45 336786.53),(46 339244.47),(47 339810.13),(48 340447.38),(49 339939.63),(50 338951.3),(51 335294.25),(52 332793.28),(53 329924.03),(54 325371.06),(55 322178.16),(56 319557.7),(57 316442.25),(58 314769.5),(59 314426),(60 311922.75),(61 308101.06),(62 306221.2),(63 305783.3),(64 305041.38),(65 306226.34),(66 306470.66),(67 308579.25),(68 313047.25),(69 318016.2),(70 321182.9),(71 323132.6),(72 326532.1),(73 328098.03),(74 330748.16),(75 335531.1),(76 339909.44),(77 342948.56),(78 345322.03),(79 348534.47),
(1 17476.209),(2 42560.395),(3 62661.656),(4 84446.79),(5 106969.9),(6 127358.12),(7 143043.52),(8 158915.16),(9 176247.56),(10 190452.23),(11 202769.27),(12 213381.13),(13 219885.33),(14 225865.47),(15 229967.98),(16 233651.48),(17 237386.1),(18 244365.53),(19 248844.34),(20 252970.88),(21 258089.73),(22 260864.66),(23 267236.56),(24 269417),(25 272261.22),(26 277609.94),(27 280351.6),(28 282798.38),(29 282939.16),(30 284564.34),(31 285725.88),(32 289516.2),(33 294909.13),(34 297256.44),(35 300495.8),(36 304616.2),(37 309200.13),(38 311715.25),(39 314032.88),(40 320657.8),(41 327037.8),(42 333332.78),(43 339584.97),(44 343359.78),(45 346030.1),(46 347495.5),(47 347698.97),(48 347687.13),(49 346545.72),(50 346975.84),(51 346869.4),(52 347599.5),(53 347860.6),(54 345165.03),(55 345737.5),(56 343795.56),(57 339104.16),(58 337284.3),(59 335756.63),(60 334696.22),(61 333030.13),(62 331719.63),(63 329219.56),(64 327664.13),(65 329690.75),(66 330302.53),(67 330836.78),(68 333384.63),(69 338591),(70 342810.47),(71 347094.7),(72 349901.84),(73 351363.8),(74 355053.53),(75 356059.8),(76 356927.2),(77 356681.28),(78 358131.34),(79 359793.8),
(1 17670.1),(2 44216.797),(3 68144.07),(4 93742.625),(5 119543),(6 143369.78),(7 162722.83),(8 178932.3),(9 194030.23),(10 206506.94),(11 218326.5),(12 228308.53),(13 235176.1),(14 240454.92),(15 245486.69),(16 248426.23),(17 252658.53),(18 256242.78),(19 257892.81),(20 260828.42),(21 264133.94),(22 265281.5),(23 270842),(24 272521.78),(25 273178.13),(26 276419),(27 278820.53),(28 281965.66),(29 282574.78),(30 285096.34),(31 286894.88),(32 288857.66),(33 292259.34),(34 292259.1),(35 293759.56),(36 296346.63),(37 298792.25),(38 300176.28),(39 301082.72),(40 305339.03),(41 308197.5),(42 313932.2),(43 317799.28),(44 320193.78),(45 323232.94),(46 324500.66),(47 327521.25),(48 330563.53),(49 330368.3),(50 333014.34),(51 330818.34),(52 330961.9),(53 332502.72),(54 330708.72),(55 327335.66),(56 326139.56),(57 324307.16),(58 321525.22),(59 320763.1),(60 321537.38),(61 319231.2),(62 317868.78),(63 314713.63),(64 311965.8),(65 312664.34),(66 313277.66),(67 314225.1),(68 317066.2),(69 320015.97),(70 322684.53),(71 325470.1),(72 329973.25),(73 332203.72),(74 333468.4),(75 333864.84),(76 337009.5),(77 338393.22),(78 338409.38),(79 340382.47),
(1 16997.822),(2 41966.934),(3 63473.43),(4 85983.98),(5 108897.14),(6 130948.06),(7 149155.94),(8 165135.7),(9 180444.75),(10 192723.34),(11 203997.92),(12 213207.4),(13 220570.05),(14 226682.06),(15 232524.42),(16 236236.92),(17 240944.19),(18 245520.78),(19 247102.75),(20 250365.88),(21 254578.38),(22 256830.67),(23 261126.88),(24 262677.97),(25 263984.2),(26 265746),(27 266978.47),(28 267493.63),(29 268106),(30 269059.6),(31 268292.75),(32 269210.78),(33 271020.2),(34 272044.4),(35 271997.13),(36 273013.56),(37 275461.22),(38 278171.13),(39 282430.06),(40 288326.8),(41 295165.72),(42 301574.66),(43 306870.47),(44 312028.66),(45 315937.3),(46 319810.47),(47 324434.22),(48 329465.03),(49 331416.4),(50 333958.8),(51 333459.78),(52 332292.3),(53 330833.78),(54 325667.63),(55 321417.34),(56 318354.2),(57 315792.16),(58 312768.72),(59 310552.13),(60 309879.4),(61 310384.13),(62 312460.5),(63 313988.22),(64 313860.3),(65 315882.47),(66 318240.1),(67 319251.78),(68 321379.25),(69 324502.1),(70 325524.06),(71 327840.2),(72 332170.84),(73 333262.1),(74 332692.38),(75 333478.16),(76 335769.06),(77 337086.03),(78 337410.16),(79 336240.5),
(1 17163.953),(2 42450.266),(3 65050.54),(4 88662.34),(5 111191.99),(6 132180.44),(7 148804.23),(8 163826.08),(9 178853.95),(10 192019.86),(11 204290.5),(12 213754.83),(13 220987.31),(14 226072.64),(15 230892.52),(16 234940.39),(17 237202.73),(18 239705.11),(19 239945),(20 241920.97),(21 245155.13),(22 248012.53),(23 252463.31),(24 253749.53),(25 255912.28),(26 261670.55),(27 263742.88),(28 269286.8),(29 273383.1),(30 278707.53),(31 281828.53),(32 286118.13),(33 291884.63),(34 295848.25),(35 297303.16),(36 298479.66),(37 300322.72),(38 302347.6),(39 304926.53),(40 307383.88),(41 312585.16),(42 320229.1),(43 327458.28),(44 330645.13),(45 335163.38),(46 340815.6),(47 346270.9),(48 351440.47),(49 355070.38),(50 359003.06),(51 362077.38),(52 363189.8),(53 361982.7),(54 359114.88),(55 355128.6),(56 351291.06),(57 349142.44),(58 346698.7),(59 343295.84),(60 340091.03),(61 338767.06),(62 338705.6),(63 338201.8),(64 339307.47),(65 340893.1),(66 340741.66),(67 339947.47),(68 340202.25),(69 340915.84),(70 340307.53),(71 341639.28),(72 342956.3),(73 343145.38),(74 343826.6),(75 343596.44),(76 343280.4),(77 343083.6),(78 342631.84),(79 341869.7),
(1 16674.719),(2 39016.8),(3 56103.81),(4 75995.81),(5 96166.85),(6 114561.445),(7 129110.305),(8 142726.13),(9 156768.95),(10 167353.9),(11 177939.47),(12 187031.8),(13 193453.7),(14 198599.5),(15 205911.5),(16 211160.48),(17 214043.23),(18 220691.61),(19 224384.88),(20 226437.69),(21 230285.14),(22 233447.23),(23 236945.13),(24 237040.3),(25 239540.9),(26 242437.27),(27 243333.73),(28 245012.8),(29 246288.61),(30 248671.2),(31 249246.81),(32 250801.52),(33 252052.4),(34 254356.06),(35 256321.3),(36 258771.06),(37 260944.06),(38 264179.97),(39 268798.4),(40 270998.3),(41 274729.66),(42 278572.75),(43 281845.16),(44 283988.75),(45 287319.38),(46 289824.6),(47 291280.66),(48 294585.06),(49 296253.7),(50 297536.5),(51 297071.4),(52 297579.75),(53 297416.28),(54 297651.75),(55 301244.47),(56 300376.9),(57 300278.06),(58 299807.53),(59 299024.03),(60 297099.06),(61 297135.1),(62 297823.25),(63 298824.72),(64 299423.53),(65 299096.25),(66 298811.88),(67 299308.6),(68 300816.6),(69 301804.9),(70 301774.7),(71 303172.6),(72 305016.3),(73 305845.44),(74 308023.8),(75 310123.4),(76 308466.34),(77 306108.13),(78 303845.88),(79 303954.72),
(1 17340.031),(2 41245.676),(3 59135.07),(4 80892.73),(5 101230.6),(6 118098.69),(7 133436.14),(8 147714.72),(9 160800.67),(10 172539.19),(11 184200.06),(12 193242.22),(13 200127.42),(14 206169.9),(15 214523.5),(16 221863.8),(17 227570.56),(18 235945.53),(19 240568.66),(20 243643.97),(21 246773.97),(22 250272.19),(23 254143.17),(24 254311.97),(25 257536.36),(26 264035.47),(27 266366),(28 271952.22),(29 275702.97),(30 281495.88),(31 282855.75),(32 284547.88),(33 288173.9),(34 291419.4),(35 292798.88),(36 293375.38),(37 294156.94),(38 296595.56),(39 299753.9),(40 301824.13),(41 306943.4),(42 313145.06),(43 318657),(44 323665.22),(45 328773.56),(46 334986.53),(47 339244.78),(48 344127.88),(49 346088.8),(50 348639.56),(51 345590.3),(52 342776.56),(53 340533.53),(54 335907.6),(55 333658.25),(56 330419.78),(57 325921.8),(58 322708.53),(59 320065),(60 315660.84),(61 314744.9),(62 312386.56),(63 308483.25),(64 306620.22),(65 304102.47),(66 302351.9),(67 301145.47),(68 301041.56),(69 300379.03),(70 300819.22),(71 301500.3),(72 302539.56),(73 303869.1),(74 305632.3),(75 306817.66),(76 306000.78),(77 306023.5),(78 305591.56),(79 302270.6),
(1 16065.202),(2 38149.76),(3 55145.047),(4 75416.67),(5 95185.02),(6 112029.79),(7 125879.78),(8 139532.92),(9 153124.38),(10 162851.06),(11 172954.28),(12 180990.86),(13 184866.92),(14 187533.83),(15 193129.11),(16 198235.11),(17 201683.7),(18 207347.78),(19 211203.81),(20 214731.78),(21 218697.1),(22 221684.4),(23 223765.44),(24 225585.3),(25 229648.03),(26 233863.3),(27 235694.05),(28 237744.66),(29 239003.86),(30 242920.95),(31 246157),(32 248242.89),(33 252954.8),(34 257597.03),(35 259323.63),(36 259617.83),(37 260893.17),(38 262833.28),(39 265230.56),(40 268074.1),(41 270613.3),(42 274929.94),(43 277916.75),(44 280547.56),(45 284171.75),(46 289548.66),(47 293349.66),(48 296979.13),(49 298927.47),(50 300463.28),(51 299846.44),(52 298742.6),(53 299474.8),(54 298803.25),(55 298758.97),(56 296312.94),(57 293298.8),(58 290333.06),(59 286326.1),(60 284592.6),(61 283032.16),(62 279916.8),(63 277791.28),(64 277730.78),(65 277178.44),(66 275811.25),(67 274998.16),(68 274515.28),(69 274855.88),(70 276166.13),(71 277467.5),(72 278544.88),(73 280046.44),(74 282958.2),(75 282665.2),(76 282072.53),(77 283242.4),(78 282958.63),(79 283285.7),
(1 16254.174),(2 38496.973),(3 55991.555),(4 76281.47),(5 95663.02),(6 112760.08),(7 127629.664),(8 139380.28),(9 151733.88),(10 161881.31),(11 171914.53),(12 179838.56),(13 185506.75),(14 189861.17),(15 195398.03),(16 199628.47),(17 201657.58),(18 206589.31),(19 211329.5),(20 215215),(21 219699.25),(22 222424.33),(23 224576.64),(24 226214.53),(25 229087.92),(26 232370.33),(27 233945.86),(28 237658.14),(29 239668.63),(30 243610.94),(31 247049.38),(32 249110.77),(33 251025.94),(34 253387.53),(35 255764.78),(36 257702.53),(37 260539.61),(38 264505.5),(39 268146.53),(40 272108.66),(41 276725.9),(42 282311.63),(43 286174.44),(44 290639.63),(45 295660.8),(46 300916.1),(47 307385.56),(48 311892.22),(49 313709.4),(50 315289.1),(51 314323.63),(52 311518.2),(53 308813.13),(54 306040.56),(55 302898.38),(56 300140.53),(57 296619.9),(58 291715.78),(59 287672.94),(60 283098.66),(61 277398.75),(62 272803.84),(63 269846.1),(64 266709.25),(65 265232.97),(66 264022.44),(67 264784.22),(68 266423.88),(69 267584.28),(70 270077.94),(71 273254.66),(72 275916.03),(73 277058.38),(74 279506),(75 281095.94),(76 282132.5),(77 282643.47),(78 282540.38),(79 282311.75),
(1 16116.509),(2 38220.414),(3 56937.152),(4 78439.58),(5 98828.82),(6 116653.64),(7 130209.37),(8 142304.84),(9 153263.4),(10 161627.94),(11 171160.97),(12 178428.58),(13 183604.83),(14 188293.83),(15 196242.95),(16 203203.84),(17 208125.67),(18 216614.61),(19 222639.14),(20 226727.73),(21 231132.66),(22 232415.13),(23 233402.9),(24 232260.08),(25 232707.81),(26 233603.06),(27 232948),(28 236766.66),(29 238794.69),(30 241631.61),(31 243642.17),(32 246810.61),(33 250585.38),(34 251642.95),(35 251648.9),(36 253581.83),(37 254854.36),(38 256920.25),(39 260225.2),(40 263274.34),(41 265958.5),(42 271468.88),(43 275278.4),(44 282217.75),(45 288235.56),(46 294287.44),(47 299835.72),(48 304607.38),(49 307862.84),(50 310265.22),(51 311075.47),(52 312365.94),(53 312912.8),(54 311293.53),(55 310050.8),(56 307101.3),(57 303419.03),(58 297930.63),(59 292363.06),(60 288427.8),(61 285359.5),(62 280541.6),(63 275841.97),(64 273158.3),(65 270551.66),(66 269112.28),(67 269127.63),(68 268782.5),(69 271252.94),(70 273081.53),(71 274511.47),(72 277244.34),(73 276957.78),(74 276603.7),(75 276939.03),(76 276323.72),(77 276333.1),(78 277173.5),(79 277934.4),
(1 17465.783),(2 38694.38),(3 55425.61),(4 76880.08),(5 96408.875),(6 112503.53),(7 125051.69),(8 135811.03),(9 146396.3),(10 154643.28),(11 163310.78),(12 170596.52),(13 176115.95),(14 180239.2),(15 185919.72),(16 190258.75),(17 193382.39),(18 199696.14),(19 203415.58),(20 205566.19),(21 208446.36),(22 209741.3),(23 214373.25),(24 216776.36),(25 218513.94),(26 222965.9),(27 225348.78),(28 228795.19),(29 230075.77),(30 232494.53),(31 233379.06),(32 235737.1),(33 238148.19),(34 238622.67),(35 239229.23),(36 240946.38),(37 241587.56),(38 243791.72),(39 247723.4),(40 252248.77),(41 257416.13),(42 263966.13),(43 268263.88),(44 271440.72),(45 274760.47),(46 278072.8),(47 281974.5),(48 285978.16),(49 286710.72),(50 287274.25),(51 287371.03),(52 286060.94),(53 285980.94),(54 287692.13),(55 289341.3),(56 289695.56),(57 290986.97),(58 290549.6),(59 289513.13),(60 287345.63),(61 284147.47),(62 281792.4),(63 279687.47),(64 276275.88),(65 274029.9),(66 273424),(67 272296.3),(68 273306.25),(69 274824.8),(70 275279.6),(71 275972.47),(72 278110.66),(73 278175.78),(74 279773.22),(75 280926.72),(76 280228.2),(77 277142.97),(78 276949.28),(79 276724.47),
(1 16995.43),(2 38786.53),(3 58005.555),(4 81161.336),(5 102300.53),(6 120399.8),(7 135902.1),(8 149493.78),(9 161750.27),(10 169976.55),(11 179778.78),(12 188108.66),(13 194137.45),(14 199023.63),(15 205016.67),(16 209258.27),(17 212996.17),(18 216888.17),(19 219119.9),(20 220153.61),(21 221874.84),(22 222501.33),(23 224215.52),(24 223759.9),(25 225386.03),(26 228691.63),(27 230850.34),(28 234009.23),(29 234379.22),(30 238283.72),(31 240899.58),(32 244030.84),(33 246750.61),(34 247868.28),(35 248523.27),(36 249532.08),(37 250688.61),(38 251977.19),(39 254805.97),(40 257874.44),(41 261501.44),(42 264684.44),(43 267733.1),(44 270506.88),(45 273045.4),(46 275000.13),(47 276552.94),(48 278596.44),(49 280943.6),(50 282582.2),(51 282803.03),(52 283067.7),(53 284413.38),(54 285590.53),(55 286521.7),(56 288804.3),(57 289251.88),(58 287952.8),(59 286737.25),(60 283958.16),(61 280322.84),(62 276461.66),(63 276042.9),(64 272373.53),(65 270928.22),(66 269512.4),(67 267933.1),(68 268636.38),(69 269345.75),(70 270966.63),(71 271681.75),(72 273130.75),(73 274877.9),(74 275205.94),(75 277057.3),(76 277847.25),(77 277986.2),(78 279063.22),(79 280578.53),
(1 16340.075),(2 38284.89),(3 56432.32),(4 78129.02),(5 98260.9),(6 114812.625),(7 128677.7),(8 141739.31),(9 152710.88),(10 160640.13),(11 169990.89),(12 177464.6),(13 181359.5),(14 185570.6),(15 191453.78),(16 195939.03),(17 198657.02),(18 204559.66),(19 208731.75),(20 210945.9),(21 214343.36),(22 217628.13),(23 218904.95),(24 218061.34),(25 218985.27),(26 219016.58),(27 218630.36),(28 219617.86),(29 220501.52),(30 222248.2),(31 222254.9),(32 223195.08),(33 225540.44),(34 228121.36),(35 230592.92),(36 233673.1),(37 237506.06),(38 241359.95),(39 245369.16),(40 249841.6),(41 253907.48),(42 258721.78),(43 261602.67),(44 264480.1),(45 267178.2),(46 271275.9),(47 275319.53),(48 277859.88),(49 278153.03),(50 279331.6),(51 278236),(52 277710.9),(53 277168.94),(54 274775.7),(55 273688.56),(56 271946.13),(57 269977.53),(58 266926.22),(59 264051),(60 262139.31),(61 259133.4),(62 256352.28),(63 254876.39),(64 254319.45),(65 252331.16),(66 251056.03),(67 251135.27),(68 249317.16),(69 248700.69),(70 248890.13),(71 246521.7),(72 245607.5),(73 242108.05),(74 240425.48),(75 240298.13),(76 238442.14),(77 237064.78),(78 237709.86),(79 240709.47),
(1 15299.691),(2 35425.844),(3 53775.152),(4 74460.19),(5 93222.56),(6 109674.914),(7 121297.49),(8 131883.78),(9 141511.13),(10 148870.98),(11 155964.77),(12 162392.4),(13 166304.81),(14 169816.94),(15 175014.36),(16 179453.08),(17 181707.1),(18 186120.34),(19 188982.31),(20 191647.16),(21 195612.55),(22 198959.64),(23 203040.58),(24 205378.17),(25 206734.48),(26 207132.88),(27 207739.61),(28 208800.27),(29 208676.14),(30 209957.56),(31 211666.31),(32 214911.81),(33 216531.25),(34 219167.7),(35 221429.6),(36 223922.8),(37 225879.13),(38 228176.22),(39 230722.72),(40 233322.8),(41 237624.97),(42 241757.23),(43 245311.7),(44 250368.19),(45 255629.23),(46 260635.73),(47 266033.94),(48 269044.63),(49 270373.78),(50 272750.25),(51 273794.13),(52 274096.6),(53 272703.97),(54 271819),(55 272295.75),(56 270563.53),(57 268567.38),(58 265779.53),(59 263087.97),(60 260039.47),(61 258166.84),(62 254729.11),(63 252096.75),(64 250981.92),(65 249795.77),(66 248860.66),(67 249003.66),(68 247220.77),(69 246687.19),(70 246316.1),(71 246184.4),(72 246268.72),(73 246337.06),(74 246714.03),(75 246426.94),(76 247981.97),(77 248259.38),(78 248328.13),(79 248586.34),
(1 14969.576),(2 33959.66),(3 50762.813),(4 70355.086),(5 87417.85),(6 102937.37),(7 114996.336),(8 126706.89),(9 137797.28),(10 146165.03),(11 153219.78),(12 158880.14),(13 164577.64),(14 169359),(15 175977.44),(16 180760.23),(17 184491.55),(18 191620.13),(19 197718.34),(20 203162.27),(21 208884.31),(22 214216.56),(23 218715.2),(24 219908.05),(25 219998.19),(26 221399.38),(27 220382.06),(28 219814.3),(29 218771.84),(30 220204.16),(31 221179.61),(32 222362.25),(33 224215.38),(34 226137.9),(35 227781.22),(36 228230.14),(37 229546.66),(38 230382.77),(39 232326.45),(40 234858.03),(41 237962.3),(42 241355.45),(43 243699.81),(44 245779.33),(45 249427.84),(46 252368.52),(47 253656.2),(48 255755.69),(49 256600.16),(50 258682.73),(51 258940.95),(52 258537.81),(53 258210.66),(54 256771.1),(55 256509.97),(56 254430.4),(57 252129.39),(58 250556.33),(59 249111.08),(60 247303.77),(61 246639.53),(62 244796.7),(63 243046.81),(64 242392.27),(65 242370.7),(66 242784.39),(67 243882.63),(68 244508),(69 244841.97),(70 246389.67),(71 246958.81),(72 248256.27),(73 248303),(74 248442.06),(75 249944.39),(76 251664.8),(77 254104.36),(78 256868.23),(79 259405.31),
(1 14523.241),(2 32866.523),(3 49122.914),(4 67637.914),(5 83662.96),(6 98112.93),(7 109302.39),(8 120848.53),(9 130905.54),(10 138110.8),(11 145507.86),(12 151721.7),(13 156408.61),(14 161859.31),(15 167300.42),(16 171026.61),(17 174756.36),(18 181249.23),(19 185215.44),(20 189722.63),(21 194547.08),(22 198773.88),(23 202698.47),(24 204761.75),(25 206857.73),(26 209805.52),(27 212515.64),(28 213064.69),(29 213132.7),(30 214708.22),(31 213969.14),(32 213523.63),(33 212787.6),(34 211496.22),(35 210230.8),(36 210037.14),(37 211255.34),(38 212588.47),(39 215253.02),(40 218452.4),(41 221189.66),(42 223689.56),(43 225780.86),(44 228013.06),(45 230782.08),(46 233036.14),(47 234850.8),(48 237475.19),(49 238080.22),(50 239200.7),(51 238781.52),(52 237908.23),(53 236705.94),(54 233815.92),(55 232265.52),(56 231581.61),(57 230291.05),(58 228306.77),(59 226333.7),(60 223736.38),(61 222130.2),(62 219945.73),(63 218394.03),(64 218709.23),(65 218644.7),(66 219190.3),(67 220130.81),(68 222002.11),(69 222855.13),(70 224340.83),(71 224355.77),(72 225324.55),(73 225613.34),(74 225933.02),(75 225401.8),(76 225534.16),(77 225035.83),(78 223603.88),(79 223271.19),
(1 15954.594),(2 36304.11),(3 53201.043),(4 73715.414),(5 91007.05),(6 105976),(7 117860.49),(8 128162.89),(9 138795.5),(10 146470.56),(11 152997.19),(12 160302.25),(13 165706.83),(14 169978.72),(15 176084.52),(16 180408.23),(17 182861.97),(18 187916.31),(19 189397.36),(20 190831.58),(21 192919.78),(22 193232.03),(23 196077.28),(24 196393.16),(25 197550.22),(26 200942.34),(27 202537.45),(28 202515.16),(29 202366.31),(30 203841.66),(31 204441.23),(32 204764.22),(33 204253.92),(34 204227.67),(35 203997.19),(36 202846.25),(37 202999.81),(38 205085.16),(39 207975.53),(40 209717.86),(41 211759.48),(42 213193.56),(43 215143.66),(44 216775.11),(45 219879.03),(46 223699.58),(47 224966.64),(48 225921.78),(49 228027.48),(50 227686.55),(51 228759.2),(52 229860.63),(53 229506.47),(54 230041.48),(55 230455.11),(56 231163.86),(57 230840.05),(58 229427.97),(59 226200.8),(60 222514.97),(61 219681.83),(62 216102.5),(63 212456.55),(64 209852.44),(65 209724.89),(66 209267.5),(67 210821.2),(68 213511.28),(69 216441.02),(70 218046.14),(71 219540.55),(72 220741.16),(73 221612.44),(74 221968.84),(75 222440.77),(76 223075.03),(77 224475.16),(78 224448.6),(79 224528.94),
(1 15170.413),(2 33306.79),(3 49082.58),(4 68457.21),(5 83736.84),(6 98102.97),(7 110007.94),(8 118288.95),(9 128167.76),(10 134735.52),(11 140689.52),(12 147032.95),(13 150918.67),(14 154643.9),(15 158202.33),(16 160932.86),(17 162683.89),(18 166018.36),(19 169098.19),(20 172504.42),(21 175424.69),(22 177615.77),(23 180329.61),(24 180172.83),(25 181006.42),(26 183719.78),(27 184021.38),(28 183872.33),(29 184783.73),(30 187172),(31 188134.77),(32 188364.1),(33 188991.08),(34 191250.11),(35 190874.6),(36 190896.55),(37 192152.4),(38 193633.3),(39 195759.3),(40 196792.03),(41 199968.48),(42 202804.25),(43 205784.34),(44 208083.28),(45 210710.73),(46 213802.67),(47 215656.61),(48 217773.89),(49 220049.97),(50 221084.88),(51 222725.58),(52 223502.52),(53 223248.05),(54 223547.14),(55 223636.28),(56 221991.64),(57 221095.14),(58 218888.78),(59 216590.16),(60 214187.78),(61 212690.22),(62 210041.48),(63 208932.4),(64 207994.33),(65 208005.64),(66 207345.2),(67 207011.27),(68 206438.67),(69 205854.73),(70 206442.3),(71 206534.52),(72 205087.22),(73 205114.03),(74 205548.45),(75 205097.34),(76 204824.52),(77 205651.84),(78 206609.92),(79 207537.84),
