1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64424.566),(2 46810.25),(3 150444.25),(4 163641.19),(5 301239.63),(6 348006.53),(7 513321.03),(8 578696.7),(9 762184.5),(10 847126.25),(11 1056926.6),(12 1178836.6),(13 1438631.5),(14 1589946.4),(15 1862846.1),(16 2013388.4),(17 2280527.3),(18 2444845),(19 2750047.8),(20 2940785.3),(21 3264361.8),(22 3481278),(23 3822666.8),(24 4021017.3),(25 4384136),(26 4621415.5),(27 4983195),(28 5205844),(29 5575669.5),(30 5795688),(31 6158955.5),(32 6347427.5),(33 6643653.5),(34 6778850.5),(35 7052444.5),(36 7252553.5),(37 7627543.5),(38 7878418.5),(39 8296701.5),(40 8540268),(41 8916999),(42 9133723),(43 9493053),(44 9683373),(45 10016775),(46 10176464),(47 10428219),(48 10529736),(49 10771721),(50 10872699),(51 11092064),(52 11198136),(53 11462117),(54 11585027),(55 11808359),(56 11860773),(57 12021409),(58 11980557),(59 12043187),(60 11917364),(61 11902819),(62 11747356),(63 11775093),(64 11715701),(65 11769499),(66 11648780),(67 11707067),(68 11644600),(69 11718811),(70 11651695),(71 11699303),(72 11590477),(73 11619227),(74 11427821),(75 11368841),(76 11125243),(77 11078917),(78 10913943),(79 10934342),
(1 52091.355),(2 71300.08),(3 186312.75),(4 260534.95),(5 430591.6),(6 562599.44),(7 772629.3),(8 946980),(9 1206278.3),(10 1422659.9),(11 1716909.6),(12 1966120.4),(13 2317275.5),(14 2627802.8),(15 3033325.3),(16 3398876),(17 3821020.5),(18 4217885),(19 4704445),(20 5149575.5),(21 5671653),(22 6148777),(23 6688919.5),(24 7170975),(25 7775147),(26 8335001.5),(27 8934322),(28 9451858),(29 10022913),(30 10500532),(31 11020290),(32 11427544),(33 11856139),(34 12181816),(35 12601565),(36 13034707),(37 13591040),(38 14094106),(39 14666619),(40 15131328),(41 15602325),(42 15961090),(43 16390080),(44 16721114),(45 17114214),(46 17320074),(47 17528030),(48 17623372),(49 17798076),(50 17877460),(51 18006742),(52 18061204),(53 18228284),(54 18314620),(55 18463862),(56 18468924),(57 18507068),(58 18350684),(59 18222998),(60 17937922),(61 17692978),(62 17363008),(63 17147916),(64 16864588),(65 16667066),(66 16365984),(67 16193997),(68 16008819),(69 15901789),(70 15727190),(71 15597088),(72 15387366),(73 15245101),(74 14960864),(75 14746326),(76 14449766),(77 14302771),(78 14083395),(79 13984107),
(1 49696.06),(2 83832.1),(3 210291.64),(4 317783.13),(5 510941.9),(6 687838.06),(7 949448.2),(8 1203896.6),(9 1539564),(10 1863355.6),(11 2283574.8),(12 2667373.8),(13 3158758.8),(14 3636071.3),(15 4218896),(16 4793755.5),(17 5467541.5),(18 6131165.5),(19 6912817.5),(20 7696485.5),(21 8563417),(22 9434299),(23 10376473),(24 11266723),(25 12314651),(26 13348545),(27 14408217),(28 15402764),(29 16434493),(30 17357448),(31 18307626),(32 19138216),(33 19970672),(34 20736870),(35 21609194),(36 22577654),(37 23701258),(38 24788496),(39 25858968),(40 26789648),(41 27661528),(42 28401386),(43 29126778),(44 29750368),(45 30371818),(46 30782906),(47 31108850),(48 31356190),(49 31606456),(50 31705094),(51 31724062),(52 31709600),(53 31733894),(54 31705318),(55 31649744),(56 31453698),(57 31237936),(58 30841142),(59 30426352),(60 29902530),(61 29368688),(62 28814656),(63 28336016),(64 27786784),(65 27280840),(66 26733616),(67 26256066),(68 25760650),(69 25294854),(70 24784582),(71 24321654),(72 23860560),(73 23430656),(74 22950208),(75 22512152),(76 22090064),(77 21776432),(78 21421310),(79 21112290),
(1 39233.508),(2 75112.82),(3 179117.3),(4 270685.25),(5 424752.88),(6 562399.56),(7 759632.1),(8 937362),(9 1173381.9),(10 1400421.1),(11 1689801.5),(12 1953394),(13 2263754.8),(14 2549525.8),(15 2879625),(16 3170924.5),(17 3501346.8),(18 3787453.3),(19 4114994.8),(20 4420249.5),(21 4774979.5),(22 5117998),(23 5495176),(24 5840150),(25 6233284),(26 6605472),(27 7005067.5),(28 7351263),(29 7714423),(30 8024709.5),(31 8340068.5),(32 8592388),(33 8837404),(34 9031595),(35 9279330),(36 9581342),(37 9958080),(38 10318773),(39 10701461),(40 11042983),(41 11372560),(42 11677289),(43 11949565),(44 12202597),(45 12450869),(46 12643684),(47 12808749),(48 12969525),(49 13109868),(50 13191886),(51 13239168),(52 13308996),(53 13403131),(54 13488709),(55 13565598),(56 13608900),(57 13657924),(58 13691734),(59 13721842),(60 13737676),(61 13738356),(62 13735006),(63 13768296),(64 13768233),(65 13773262),(66 13761284),(67 13756443),(68 13730056),(69 13701566),(70 13659559),(71 13630484),(72 13600292),(73 13573312),(74 13519504),(75 13493631),(76 13476777),(77 13506105),(78 13511723),(79 13539502),
(1 40052.54),(2 95482.555),(3 220137.6),(4 350695.38),(5 542669.5),(6 738420.2),(7 991702.06),(8 1236382.5),(9 1529420.5),(10 1808183.3),(11 2126583.8),(12 2420839.5),(13 2757727),(14 3052273.5),(15 3377246.5),(16 3660194.3),(17 3971157.8),(18 4232810),(19 4523782.5),(20 4767387),(21 5033059),(22 5253355.5),(23 5485999),(24 5665062),(25 5881962.5),(26 6052635),(27 6237316.5),(28 6361531),(29 6504534),(30 6583155.5),(31 6676459.5),(32 6700797),(33 6734075.5),(34 6715545.5),(35 6760598),(36 6841918.5),(37 7014446),(38 7164944.5),(39 7355395.5),(40 7479923),(41 7636816),(42 7753819),(43 7910359.5),(44 8045076.5),(45 8234533),(46 8366097.5),(47 8561178),(48 8732751),(49 8954103),(50 9103549),(51 9272992),(52 9433920),(53 9676189),(54 9874790),(55 10115363),(56 10286713),(57 10506547),(58 10630112),(59 10771959),(60 10838221),(61 10928335),(62 10961231),(63 11060817),(64 11076454),(65 11121302),(66 11069882),(67 11067676),(68 10988153),(69 10932076),(70 10810426),(71 10728740),(72 10600131),(73 10524519),(74 10386627),(75 10297775),(76 10141534),(77 10067073),(78 9958072),(79 9941042),
(1 56849.793),(2 156852.66),(3 359632.44),(4 596331.8),(5 927622.5),(6 1281345),(7 1721986.4),(8 2164643.3),(9 2665419.5),(10 3145762.5),(11 3666634.5),(12 4142420.8),(13 4650596.5),(14 5070307),(15 5477933),(16 5794933),(17 6104422.5),(18 6325609),(19 6551283),(20 6681243),(21 6796361.5),(22 6820301),(23 6846969),(24 6771400),(25 6735002.5),(26 6629577.5),(27 6521167),(28 6336181.5),(29 6171785),(30 5936256.5),(31 5743561.5),(32 5492705),(33 5278749.5),(34 5033083),(35 4885195),(36 4757095),(37 4753918),(38 4727615),(39 4775763),(40 4770257.5),(41 4840677.5),(42 4879887),(43 5004721.5),(44 5128144),(45 5329549),(46 5487834.5),(47 5734821),(48 5954574.5),(49 6237153),(50 6477179),(51 6776637),(52 7029080),(53 7346605.5),(54 7614926.5),(55 7936525),(56 8172880),(57 8443894),(58 8602945),(59 8787133),(60 8878558),(61 9019512),(62 9086833),(63 9244840),(64 9329907),(65 9432232),(66 9430708),(67 9466120),(68 9406125),(69 9374979),(70 9263062),(71 9195906),(72 9057071),(73 8967768),(74 8801410),(75 8667131),(76 8454433),(77 8293617),(78 8077805),(79 7948380),
(1 36762.934),(2 91383.55),(3 213613.56),(4 353212.06),(5 561573.1),(6 789256.75),(7 1073984),(8 1366899.8),(9 1717122.9),(10 2070491.9),(11 2467619.8),(12 2857101),(13 3280871.5),(14 3655113.3),(15 4012624.5),(16 4320004.5),(17 4609403),(18 4840681.5),(19 5055593.5),(20 5208208),(21 5331525.5),(22 5383346.5),(23 5419192.5),(24 5396560.5),(25 5382795.5),(26 5313532.5),(27 5236492.5),(28 5117489),(29 5004460.5),(30 4855508.5),(31 4714389),(32 4544812.5),(33 4379732.5),(34 4190618.8),(35 4041432.3),(36 3897798.8),(37 3803938.8),(38 3722699.8),(39 3693813),(40 3682342.3),(41 3718591),(42 3778296.5),(43 3896330.5),(44 4041325.8),(45 4222021),(46 4395475.5),(47 4582773),(48 4767847),(49 4985163),(50 5191706),(51 5405466.5),(52 5587026),(53 5767327.5),(54 5915823),(55 6062204.5),(56 6181139.5),(57 6315720),(58 6418000.5),(59 6549749.5),(60 6661141),(61 6789183),(62 6895164.5),(63 7012800),(64 7094959),(65 7162416),(66 7188528),(67 7207467),(68 7174896.5),(69 7138551),(70 7069677),(71 7000511),(72 6910867),(73 6834723),(74 6736994),(75 6650227.5),(76 6545309),(77 6484575.5),(78 6415641),(79 6397854),
(1 34123.184),(2 87378.6),(3 199404.8),(4 325315.94),(5 509272.06),(6 714159.9),(7 957842.4),(8 1204860.5),(9 1501723.5),(10 1795779.4),(11 2129570.8),(12 2448571.3),(13 2789177),(14 3094855.5),(15 3405396.5),(16 3677582.3),(17 3934644.5),(18 4135794.3),(19 4316815),(20 4430296.5),(21 4530631.5),(22 4579082.5),(23 4610254.5),(24 4617544.5),(25 4649477),(26 4659873),(27 4703603),(28 4739659.5),(29 4812933.5),(30 4876402),(31 4982120.5),(32 5058106),(33 5157763),(34 5219350),(35 5295455),(36 5362407.5),(37 5453111.5),(38 5525690),(39 5618026.5),(40 5682333),(41 5783819.5),(42 5887306.5),(43 6042231),(44 6203366.5),(45 6407540.5),(46 6580966),(47 6755147.5),(48 6916245.5),(49 7097278),(50 7232431),(51 7326663.5),(52 7381071),(53 7420027),(54 7421912.5),(55 7430425.5),(56 7429943.5),(57 7444697.5),(58 7445924.5),(59 7489219),(60 7529248),(61 7610670),(62 7692012.5),(63 7786408.5),(64 7867655.5),(65 7936198),(66 7955405),(67 7955079.5),(68 7908522.5),(69 7847492.5),(70 7746905.5),(71 7650917.5),(72 7539131),(73 7437376),(74 7307676.5),(75 7189625),(76 7057632),(77 6949599),(78 6844351.5),(79 6763143.5),
(1 54814.28),(2 174660.13),(3 389612.53),(4 652954.94),(5 993788),(6 1358128.3),(7 1770909.1),(8 2170172.8),(9 2576709.3),(10 2927003),(11 3257024),(12 3523350.5),(13 3761619.3),(14 3920117.3),(15 4042909.8),(16 4100001),(17 4121587.3),(18 4077426.8),(19 4011565.8),(20 3891813.3),(21 3763306.3),(22 3585730.5),(23 3415928.5),(24 3243920),(25 3121704.5),(26 3008204.8),(27 2971494),(28 2966322.3),(29 3043095),(30 3161131.5),(31 3355043),(32 3577864.8),(33 3856725.3),(34 4140651.3),(35 4469759),(36 4790829),(37 5125128.5),(38 5387019.5),(39 5616667.5),(40 5748810.5),(41 5844618.5),(42 5874850),(43 5891145),(44 5862494),(45 5827264.5),(46 5735336),(47 5634601.5),(48 5493595),(49 5347576),(50 5176553),(51 5009769),(52 4823838),(53 4660184.5),(54 4489487),(55 4357751),(56 4225615),(57 4125844.8),(58 4020896.5),(59 3952153),(60 3895858),(61 3895791.3),(62 3906903),(63 3949118),(64 4011487.5),(65 4100660.8),(66 4178338.8),(67 4279592.5),(68 4367919),(69 4485262),(70 4598783),(71 4747703),(72 4883114),(73 5043112.5),(74 5169910),(75 5300285),(76 5402539.5),(77 5501799),(78 5555468.5),(79 5612756.5),
(1 49156.03),(2 156187.44),(3 351065.5),(4 594439.25),(5 908613.94),(6 1247978.5),(7 1628767.4),(8 1995147.8),(9 2358924.5),(10 2675230.8),(11 2974269),(12 3222742.8),(13 3435541.3),(14 3567215),(15 3663933),(16 3710994.8),(17 3751187.5),(18 3761272.5),(19 3769761.3),(20 3741951.5),(21 3710173.8),(22 3659312.3),(23 3608517.8),(24 3547009),(25 3508310),(26 3467107.3),(27 3465695.5),(28 3470269),(29 3516784),(30 3581018.3),(31 3680033.5),(32 3775892.5),(33 3897947.5),(34 4007929.8),(35 4142309.8),(36 4257157.5),(37 4374650),(38 4461898.5),(39 4553257.5),(40 4601980),(41 4650787),(42 4681561),(43 4725592),(44 4758246),(45 4801648),(46 4811430),(47 4807878),(48 4780458),(49 4761456),(50 4719763),(51 4684964),(52 4630962.5),(53 4601844.5),(54 4559028),(55 4548020.5),(56 4511261.5),(57 4501123.5),(58 4475658.5),(59 4466376),(60 4433599.5),(61 4413639.5),(62 4380665),(63 4387805.5),(64 4411143.5),(65 4487588.5),(66 4582123.5),(67 4743728),(68 4929542),(69 5176669),(70 5434322),(71 5744922),(72 6036332.5),(73 6327448),(74 6550780.5),(75 6738988.5),(76 6842911),(77 6923079),(78 6928435),(79 6902594),
(1 34372.918),(2 91904.13),(3 210337.56),(4 346263.47),(5 541216),(6 747803.75),(7 992827.44),(8 1209633.9),(9 1431538.1),(10 1600565.1),(11 1775132.8),(12 1904177.1),(13 2029745.4),(14 2080038.4),(15 2121961.3),(16 2128022.8),(17 2158283),(18 2175000),(19 2233157),(20 2288117.3),(21 2368513.5),(22 2434294.8),(23 2510847),(24 2559201.8),(25 2632247.8),(26 2676895.3),(27 2734922.8),(28 2762809.8),(29 2803472),(30 2819926),(31 2849474.5),(32 2848261),(33 2859347),(34 2829126),(35 2811591),(36 2768773.5),(37 2747473.3),(38 2710706),(39 2715193.3),(40 2721134.5),(41 2775317.3),(42 2832716.3),(43 2939563.8),(44 3051845.8),(45 3204246.3),(46 3323962),(47 3430613.8),(48 3495988.3),(49 3570860.5),(50 3602167),(51 3636517),(52 3634002.8),(53 3646392.3),(54 3640274),(55 3671027.8),(56 3685585),(57 3731793.5),(58 3763687.8),(59 3818961.5),(60 3850987.3),(61 3892470.3),(62 3897756.5),(63 3925238),(64 3927283.5),(65 3958617.5),(66 3974002),(67 4025164.8),(68 4074193.5),(69 4174103.5),(70 4264433),(71 4387254),(72 4485257.5),(73 4581797.5),(74 4616085.5),(75 4627183),(76 4566370),(77 4502045.5),(78 4387493.5),(79 4264944),
