1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 4227),(2 12260.28),(3 22544.678),(4 35212.76),(5 52423.49),(6 73015.62),(7 96162.445),(8 115786.48),(9 140758.25),(10 162555.42),(11 186896.75),(12 208331.75),(13 230735.7),(14 256192.5),(15 283088.9),(16 308637),(17 336819.66),(18 364290.84),(19 393047.13),(20 416576.6),(21 438883.9),(22 464702.1),(23 491865.16),(24 521970.6),(25 551530.06),(26 579979.44),(27 603645.94),(28 618900.44),(29 636839.1),(30 650770.5),(31 665647.56),(32 686438.3),(33 710347.3),(34 735359.5),(35 753415.2),(36 763393.8),(37 773232.3),(38 778389.7),(39 788112.06),(40 788213.7),(41 791347),(42 790494.25),(43 788872),(44 780994.8),(45 767211.7),(46 759508.5),(47 750006),(48 739001.75),(49 738852.5),(50 735924.3),(51 733935),(52 735684.94),(53 735159.44),(54 729921.94),(55 724827.25),(56 717128.5),(57 713014.7),(58 707834.06),(59 711618.25),(60 708650),(61 706656.75),(62 702633.2),(63 702901.44),(64 701704.06),(65 701690.8),(66 702661.3),(67 697774.3),(68 689194.7),(69 683645.3),(70 665535.56),(71 641528.56),(72 620796.7),(73 599134.8),(74 578475.3),(75 557942.4),(76 537731.3),(77 522725.34),(78 507633),(79 497592.6),
(1 4001.9082),(2 10907.725),(3 18624.021),(4 28355.855),(5 41709.293),(6 58039.855),(7 75394.36),(8 89518.15),(9 107901.414),(10 124100.23),(11 137584.11),(12 150942.6),(13 164754.2),(14 179066.13),(15 195332.34),(16 208023.42),(17 223274.17),(18 238515.97),(19 255130.47),(20 268334.56),(21 282760.94),(22 299708.06),(23 317847.66),(24 335621.4),(25 356052.75),(26 377340.16),(27 398896.84),(28 419348.7),(29 436936.56),(30 451889.8),(31 466425.9),(32 479998.34),(33 496447.06),(34 514058.06),(35 530928.1),(36 540784.06),(37 552075.6),(38 559841.25),(39 565397.9),(40 566771.5),(41 568453.1),(42 572377.5),(43 574772.4),(44 574246),(45 568759),(46 564337.6),(47 563173.2),(48 559970),(49 558858),(50 563492.56),(51 574889.9),(52 592030.1),(53 608127.6),(54 623257.1),(55 632597.4),(56 648735.75),(57 665328.1),(58 686481.1),(59 705267),(60 716148.06),(61 728987.3),(62 739127.1),(63 756966.8),(64 775491.4),(65 794994.44),(66 810273.8),(67 831318),(68 847092.4),(69 870213),(70 879966),(71 888412.7),(72 894779.6),(73 900479.6),(74 907183.8),(75 906213.5),(76 912127.8),(77 909727.6),(78 908126.8),(79 907408.6),
(1 4711.476),(2 13709.667),(3 24978.182),(4 37388.66),(5 50465.168),(6 64435.28),(7 79894.77),(8 95356.59),(9 110313.72),(10 126553),(11 140209.73),(12 152498.9),(13 165423.14),(14 175415.7),(15 185643.61),(16 190280.7),(17 199644.58),(18 211121.14),(19 224365.44),(20 235156.38),(21 245801.25),(22 258583.67),(23 269522.66),(24 282585.8),(25 292383.75),(26 299349.6),(27 309609.5),(28 322112.78),(29 331462.3),(30 341760.16),(31 350658.1),(32 356983.88),(33 365952.9),(34 376032.28),(35 388588.13),(36 401813.1),(37 414504.66),(38 429676.53),(39 443440.6),(40 457761.25),(41 474181.34),(42 486094.5),(43 498494.9),(44 512459.1),(45 523351.88),(46 533701.75),(47 550575.56),(48 565985.56),(49 577417.44),(50 595903.2),(51 617712.7),(52 642276.8),(53 666119.25),(54 692763.9),(55 717589.8),(56 745512.5),(57 773469.2),(58 814740),(59 849019.75),(60 879730.7),(61 915416.94),(62 949991.56),(63 992378),(64 1032556.25),(65 1073826.6),(66 1108592.5),(67 1148302.1),(68 1179992.6),(69 1222089),(70 1254988),(71 1286479.1),(72 1319277.9),(73 1354469.4),(74 1387162.9),(75 1411053),(76 1438275),(77 1457995.6),(78 1482255.4),(79 1503687.5),
(1 5186.269),(2 15846.757),(3 30100.865),(4 46740.254),(5 65595.22),(6 85651.88),(7 109290.41),(8 133619.17),(9 158233.67),(10 184393.17),(11 211921.22),(12 237202.83),(13 262637.94),(14 286490.63),(15 310910.06),(16 335060.38),(17 359008.84),(18 383366.5),(19 404785.13),(20 426481.88),(21 447433.13),(22 469100.56),(23 490543.56),(24 511891.88),(25 531780.2),(26 547587.9),(27 561214.2),(28 567009.44),(29 569954.75),(30 571290.3),(31 569533.7),(32 566476.9),(33 565320.94),(34 565455.25),(35 564742.3),(36 564692.9),(37 559732.75),(38 556888.75),(39 555342.44),(40 556506.94),(41 558810),(42 559549.25),(43 564704.3),(44 566104.25),(45 563990.6),(46 559276.56),(47 555885.94),(48 553877.4),(49 551243),(50 553046.8),(51 558564.4),(52 564062.1),(53 566841.56),(54 572096.3),(55 578910.1),(56 588111.9),(57 597772.9),(58 611614.25),(59 625193.4),(60 636265.7),(61 648235.44),(62 661532.3),(63 673858.7),(64 684031.06),(65 696528.8),(66 702158.3),(67 709467.4),(68 719281.25),(69 734336.75),(70 746212.44),(71 754365.2),(72 765612.75),(73 776756.3),(74 783051.44),(75 789017.6),(76 797595.3),(77 803624.56),(78 812417.2),(79 814537.75),
(1 5560.5425),(2 16874.904),(3 31517.281),(4 48231.64),(5 67287.82),(6 87427.41),(7 109556.67),(8 132611.95),(9 155744.61),(10 180838.94),(11 207207.9),(12 232885.45),(13 256979.27),(14 281402.6),(15 306068.03),(16 329287.97),(17 351087.28),(18 372684.72),(19 391677.03),(20 410277.38),(21 427692.53),(22 441879.97),(23 456487.47),(24 470114.8),(25 484501.38),(26 496190.53),(27 507310.28),(28 512449.22),(29 516120.97),(30 519782.53),(31 523277.1),(32 527946.44),(33 533390.25),(34 542379),(35 550269.7),(36 561490.25),(37 570107.44),(38 579454.3),(39 594207.44),(40 610340.44),(41 627136.8),(42 641013.94),(43 658791.25),(44 670702.8),(45 681271.25),(46 688668),(47 695737.44),(48 702928.94),(49 710285.25),(50 719935.9),(51 731549.56),(52 741346.1),(53 751535.75),(54 760443.06),(55 769770.94),(56 778617.25),(57 789577.25),(58 803606.56),(59 816644.75),(60 824861.6),(61 831992.4),(62 836691.44),(63 843851.6),(64 849085.25),(65 856289.94),(66 860277.44),(67 866410.6),(68 876882),(69 883978.75),(70 891966),(71 897450.6),(72 904895.6),(73 909292.6),(74 909001.06),(75 908563.06),(76 909319.4),(77 909045.06),(78 909417.6),(79 903245.6),
(1 5124.745),(2 15342.477),(3 29315.057),(4 43586.195),(5 60223.1),(6 77770.51),(7 96563.93),(8 117439.08),(9 137381.55),(10 157538.34),(11 179301.16),(12 201504.5),(13 222723.92),(14 241909.1),(15 260689.67),(16 279384.44),(17 301506.25),(18 323293.44),(19 342597.56),(20 360739.94),(21 374837.84),(22 384781.66),(23 390716.84),(24 396150.88),(25 401634.4),(26 408195.56),(27 414641.2),(28 417493.3),(29 419914),(30 421797.6),(31 427526.84),(32 437664.75),(33 450868.44),(34 468583.4),(35 488551.3),(36 511446.44),(37 535988.7),(38 559215),(39 589837.5),(40 619545.3),(41 648962.8),(42 674990.8),(43 696455.3),(44 719349.4),(45 740865.06),(46 761789.6),(47 775934.7),(48 789220.4),(49 801334.1),(50 815104),(51 827032.06),(52 837499.9),(53 844758.3),(54 847992.9),(55 853227.8),(56 854879.4),(57 858091.6),(58 856235.1),(59 856265.9),(60 856037.1),(61 852901.3),(62 847082.2),(63 841554.8),(64 835724.9),(65 829471.75),(66 821818.4),(67 813770.4),(68 808939.5),(69 796394.9),(70 784679.1),(71 776241.1),(72 771098.1),(73 768584.2),(74 764951.1),(75 760875.2),(76 758797.9),(77 758034.4),(78 759325.8),(79 763166.3),
(1 4931.8037),(2 14612.8545),(3 27293.96),(4 41422.164),(5 57826.15),(6 77142.76),(7 100047.89),(8 123721.21),(9 148769.39),(10 174503.1),(11 201665.06),(12 226989.89),(13 250518.78),(14 273072.25),(15 295700.78),(16 317246.4),(17 337866),(18 358915.8),(19 378620.8),(20 397197.8),(21 410941.28),(22 423884.38),(23 432649.03),(24 442265.16),(25 452428.88),(26 464446.7),(27 474199.22),(28 482315.2),(29 490843.56),(30 493759.34),(31 495734.56),(32 501530.84),(33 511462.03),(34 524298.4),(35 541663.94),(36 561438.5),(37 579026.75),(38 596947.25),(39 621166.1),(40 645635.06),(41 671727.7),(42 699880),(43 722654.9),(44 745587.3),(45 765791.3),(46 784054.94),(47 799417.1),(48 812654.25),(49 823788),(50 837015.25),(51 848873.6),(52 862196.7),(53 870929.3),(54 874194.3),(55 881984.06),(56 887095),(57 890532.56),(58 892698.44),(59 896008.75),(60 899627.6),(61 901087.6),(62 900003.06),(63 899491.44),(64 898429.06),(65 898998.4),(66 901505.94),(67 903793.06),(68 903802),(69 902389.56),(70 899262.1),(71 895475.4),(72 898634.06),(73 905915),(74 913194.25),(75 918821.4),(76 921851.7),(77 930098.1),(78 940069),(79 946152.9),
(1 4865.122),(2 14671.364),(3 27979.512),(4 42719.813),(5 59096),(6 77733.164),(7 98762.03),(8 121091.16),(9 146080.8),(10 173764.2),(11 202411.72),(12 230994.03),(13 259618.53),(14 288802.2),(15 320582.84),(16 349981.2),(17 380273.53),(18 409388.72),(19 437358.6),(20 461439.47),(21 482320.88),(22 504013.63),(23 524783.3),(24 544808.06),(25 563878.9),(26 581293.6),(27 596982.56),(28 610105.94),(29 620455.6),(30 625096),(31 628311.3),(32 632966.44),(33 637310.75),(34 644549.75),(35 654514.75),(36 660854.75),(37 666237.2),(38 673400.3),(39 682122.8),(40 693491.6),(41 707663.94),(42 722563.4),(43 738587.56),(44 750777.06),(45 760397.7),(46 767003.9),(47 773358.1),(48 781000.1),(49 791095.56),(50 805877.06),(51 823138.7),(52 840616.1),(53 856977.06),(54 870341.2),(55 883631.9),(56 893564.4),(57 906267.8),(58 920320.7),(59 933326.06),(60 944988.2),(61 952400.56),(62 958197.2),(63 961516.4),(64 967719.06),(65 977074.7),(66 985836.56),(67 995203.56),(68 1005607.2),(69 1019001.94),(70 1031324.75),(71 1043868.4),(72 1058671.5),(73 1073244.1),(74 1085990.5),(75 1096477.1),(76 1107530.1),(77 1113173.4),(78 1118961.5),(79 1122324.3),
(1 4510.431),(2 12856.727),(3 24300.613),(4 37062.953),(5 51999.66),(6 69191.06),(7 88185.74),(8 109339.555),(9 132567.34),(10 158214.6),(11 185546.55),(12 211879.06),(13 239444.95),(14 267633.1),(15 295941.9),(16 322561.47),(17 350751.4),(18 380553.75),(19 408536.6),(20 434834.94),(21 460616.6),(22 485101.72),(23 507637),(24 529170.4),(25 550793.25),(26 572592.5),(27 595454.1),(28 616001.56),(29 636146.7),(30 656004.44),(31 676452.25),(32 697411.44),(33 717635.9),(34 741999.6),(35 768160.8),(36 794765.2),(37 822336.9),(38 850430.94),(39 878671.75),(40 909130.1),(41 939195.25),(42 972003.44),(43 1001982.25),(44 1028360.94),(45 1053971.6),(46 1074977.8),(47 1101041.8),(48 1125311.3),(49 1150261.1),(50 1178161.9),(51 1206319.5),(52 1234338.9),(53 1259590.6),(54 1281964.1),(55 1305523.5),(56 1329657.3),(57 1349351.1),(58 1366316.3),(59 1382001.3),(60 1391750.1),(61 1399628.8),(62 1404451),(63 1407455.5),(64 1411263.4),(65 1415893.9),(66 1416114.1),(67 1415905.1),(68 1414102.6),(69 1409338.3),(70 1406151.1),(71 1400281.5),(72 1393936.5),(73 1387944.5),(74 1380247.5),(75 1373327.3),(76 1362978.9),(77 1350028.8),(78 1339206.5),(79 1329718.6),
(1 4548.423),(2 13395.693),(3 25394.68),(4 39272.92),(5 55337.715),(6 73623.72),(7 94280.37),(8 118221.375),(9 144600.56),(10 171672.25),(11 200091.22),(12 228606.7),(13 260508.94),(14 291750.8),(15 324331.22),(16 354680.6),(17 383590.7),(18 414642.13),(19 440850.84),(20 467418.13),(21 491873.06),(22 516526.66),(23 541139.9),(24 563477.75),(25 584164.25),(26 602219),(27 624760.4),(28 639178.3),(29 651150.7),(30 664539.4),(31 678742.75),(32 694513.9),(33 710288.56),(34 729868.5),(35 748315.4),(36 767784.75),(37 788231.94),(38 807361.56),(39 831351.44),(40 856174.44),(41 881523.25),(42 906053.44),(43 926620.7),(44 943439.56),(45 960892.25),(46 980315.1),(47 999773.7),(48 1016984.7),(49 1035879.75),(50 1056434.9),(51 1075634),(52 1096603.1),(53 1114614.9),(54 1131192.3),(55 1147880.1),(56 1166555.9),(57 1177858.6),(58 1189052.6),(59 1199137.1),(60 1206345),(61 1213279.4),(62 1217830.3),(63 1222074.5),(64 1227113.9),(65 1231911.8),(66 1237860.9),(67 1242378.3),(68 1246715.4),(69 1247338.9),(70 1249146.1),(71 1248516.3),(72 1248841.6),(73 1246333.5),(74 1243718.8),(75 1240654.3),(76 1233383.4),(77 1229261.1),(78 1228948),(79 1227622.5),
(1 4636.415),(2 13839.486),(3 26063.348),(4 41086.758),(5 58666.69),(6 78113.586),(7 97957.19),(8 119607.87),(9 144784.75),(10 169581.14),(11 194671.38),(12 220930.08),(13 249220.7),(14 277438.53),(15 307983.56),(16 335713.88),(17 366444.5),(18 394916.6),(19 419620.75),(20 443102.25),(21 466477.84),(22 486106.34),(23 506166.88),(24 527127.94),(25 547851.25),(26 567664.56),(27 584214),(28 600149.44),(29 615677.44),(30 631612.25),(31 648803.94),(32 667069.7),(33 684332.25),(34 703617.44),(35 721609.56),(36 738188.1),(37 754492.5),(38 770750.5),(39 790481.44),(40 812305.6),(41 834845.5),(42 854088.4),(43 872060.2),(44 888565.94),(45 902770.6),(46 919859.6),(47 932653.8),(48 948447.75),(49 964102.7),(50 982088.8),(51 1002507.3),(52 1025786),(53 1046929.3),(54 1068162.6),(55 1087797.5),(56 1107273.4),(57 1123766.5),(58 1143329),(59 1163867.3),(60 1184896.5),(61 1206875),(62 1225711.8),(63 1245143.1),(64 1262367.3),(65 1278403),(66 1296102.1),(67 1313322.9),(68 1331889),(69 1343783.9),(70 1357691.8),(71 1367915.8),(72 1378188),(73 1387074.4),(74 1394643.3),(75 1401484.8),(76 1404049.4),(77 1409322),(78 1416436.5),(79 1419394.5),
