1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 78658.38),(2 285020.9),(3 578715.3),(4 930178),(5 1327069.4),(6 1733126.5),(7 2060157.6),(8 2335638.8),(9 2573455),(10 2690926.3),(11 2748424.3),(12 2751258.8),(13 2704342.3),(14 2626930.3),(15 2507774.3),(16 2390063.3),(17 2276850.8),(18 2192793.8),(19 2176364.3),(20 2241930.3),(21 2349741.8),(22 2512221.8),(23 2745081.3),(24 2982881.3),(25 3268496.8),(26 3575878),(27 3889716.8),(28 4182198),(29 4463160.5),(30 4738186.5),(31 5030920.5),(32 5359808),(33 5662698.5),(34 5943841.5),(35 6224478),(36 6496398.5),(37 6766868),(38 7007868),(39 7183348),(40 7335493.5),(41 7430408),(42 7462432.5),(43 7429371.5),(44 7460625.5),(45 7510826),(46 7567946),(47 7624510.5),(48 7627677.5),(49 7628163.5),(50 7603732),(51 7570298),(52 7499102.5),(53 7396762),(54 7244163.5),(55 7115297.5),(56 7013275.5),(57 6915303.5),(58 6860298.5),(59 6839676),(60 6908132),(61 6996766.5),(62 7227148.5),(63 7542209.5),(64 7995263.5),(65 8581874),(66 9395207),(67 10370343),(68 11455435),(69 12474003),(70 13659936),(71 14893312),(72 16088115),(73 17311530),(74 18677266),(75 20041932),(76 21390876),(77 22853040),(78 24280586),(79 25724768),
(1 63096.75),(2 210609.45),(3 434847.5),(4 697277.75),(5 1007336.4),(6 1295103.8),(7 1563787.3),(8 1802005.8),(9 2022740.4),(10 2211999.3),(11 2376671.5),(12 2545884.3),(13 2716463.8),(14 2886740),(15 3039475.3),(16 3210607.3),(17 3385938.8),(18 3575251.5),(19 3839896.5),(20 4173459.3),(21 4583670.5),(22 5037778),(23 5528010.5),(24 6036259),(25 6573146.5),(26 7088430.5),(27 7626398.5),(28 8135989.5),(29 8604704),(30 9066146),(31 9541462),(32 9997914),(33 10409502),(34 10798172),(35 11135380),(36 11440858),(37 11763686),(38 12073908),(39 12299184),(40 12529641),(41 12696317),(42 12727555),(43 12729623),(44 12720124),(45 12706754),(46 12651194),(47 12543046),(48 12390318),(49 12167438),(50 11935422),(51 11696966),(52 11431403),(53 11127056),(54 10799036),(55 10537362),(56 10336443),(57 10226634),(58 10174766),(59 10181690),(60 10243265),(61 10390172),(62 10557506),(63 10849702),(64 11229019),(65 11688899),(66 12265191),(67 12887367),(68 13541302),(69 14053886),(70 14820195),(71 15535400),(72 16202608),(73 16749354),(74 17382256),(75 18016992),(76 18619704),(77 19328748),(78 20064804),(79 20981702),
(1 63156.438),(2 219841.95),(3 454664.84),(4 748084.75),(5 1085957.5),(6 1421849.1),(7 1776668.1),(8 2143570.3),(9 2519305.3),(10 2896195),(11 3228431),(12 3574668.3),(13 3901230.8),(14 4175798),(15 4432731.5),(16 4701141.5),(17 4954330.5),(18 5222238),(19 5506422.5),(20 5851549.5),(21 6247769.5),(22 6650488),(23 7083346),(24 7501104),(25 7949182.5),(26 8397939),(27 8844168),(28 9238133),(29 9556883),(30 9828435),(31 10047781),(32 10261337),(33 10439890),(34 10628200),(35 10793385),(36 10984293),(37 11223733),(38 11507252),(39 11745077),(40 11994584),(41 12228320),(42 12432813),(43 12613905),(44 12818888),(45 12957811),(46 13105623),(47 13228921),(48 13348759),(49 13478987),(50 13617447),(51 13831909),(52 14091400),(53 14336763),(54 14579553),(55 14867501),(56 15171407),(57 15583284),(58 16002053),(59 16533576),(60 17077722),(61 17692014),(62 18192402),(63 18598104),(64 19006476),(65 19389760),(66 19822218),(67 20184664),(68 20608738),(69 21035694),(70 21458414),(71 21939708),(72 22356502),(73 22801798),(74 23235114),(75 23670054),(76 24059334),(77 24338858),(78 24589270),(79 24728682),
(1 79342.26),(2 272344.3),(3 575572.25),(4 951188.9),(5 1404882.3),(6 1898056.5),(7 2418658),(8 2974616),(9 3541465.3),(10 4156860),(11 4757671),(12 5383653.5),(13 5980965),(14 6531336.5),(15 7043615),(16 7499173.5),(17 7905242.5),(18 8259927),(19 8581817),(20 8886459),(21 9207597),(22 9517993),(23 9824772),(24 10197124),(25 10580539),(26 10982160),(27 11298011),(28 11535970),(29 11707109),(30 11821756),(31 11875767),(32 11860743),(33 11787993),(34 11780131),(35 11815154),(36 11853448),(37 11904395),(38 11962596),(39 11984135),(40 11991705),(41 11982608),(42 12023136),(43 12020780),(44 12084601),(45 12106807),(46 12171723),(47 12310690),(48 12401648),(49 12522375),(50 12736957),(51 13004064),(52 13323010),(53 13685825),(54 13950462),(55 14138283),(56 14284476),(57 14378602),(58 14466770),(59 14565699),(60 14696564),(61 14741122),(62 14742594),(63 14698777),(64 14701967),(65 14646398),(66 14598460),(67 14559381),(68 14566499),(69 14730786),(70 14943918),(71 15331438),(72 15642222),(73 16002464),(74 16384443),(75 16801598),(76 17287450),(77 17781504),(78 18246646),(79 18600074),
(1 84143.6),(2 288039.66),(3 589514.6),(4 970687.8),(5 1401113.6),(6 1869192),(7 2344727.3),(8 2838458.3),(9 3337165),(10 3828039),(11 4329723.5),(12 4818074),(13 5325080.5),(14 5812676.5),(15 6283043),(16 6742078.5),(17 7159899.5),(18 7518644.5),(19 7848263.5),(20 8151082),(21 8441276),(22 8712890),(23 8969790),(24 9269725),(25 9552796),(26 9839473),(27 10034569),(28 10231711),(29 10385469),(30 10520874),(31 10612954),(32 10657135),(33 10668917),(34 10707085),(35 10748591),(36 10768911),(37 10795148),(38 10820275),(39 10813737),(40 10789175),(41 10744710),(42 10735872),(43 10721562),(44 10747335),(45 10762256),(46 10796815),(47 10869356),(48 10915216),(49 10970122),(50 11066184),(51 11157356),(52 11291690),(53 11412879),(54 11521159),(55 11620522),(56 11662953),(57 11705773),(58 11769459),(59 11853779),(60 11901073),(61 11937337),(62 12005859),(63 12148151),(64 12353511),(65 12550905),(66 12797935),(67 13099913),(68 13456268),(69 13836480),(70 14273123),(71 14710003),(72 15068675),(73 15393123),(74 15749834),(75 16075119),(76 16417417),(77 16770116),(78 17038636),(79 17303102),
(1 95331.76),(2 325020.44),(3 681760.3),(4 1144012.3),(5 1665581.8),(6 2259387),(7 2871922.3),(8 3534938),(9 4187222),(10 4798247),(11 5419429),(12 5975309.5),(13 6515047),(14 7004449.5),(15 7507105.5),(16 7992038.5),(17 8456935),(18 8902413),(19 9312445),(20 9774227),(21 10221928),(22 10724312),(23 11187224),(24 11661446),(25 12128968),(26 12596560),(27 12981144),(28 13264899),(29 13442285),(30 13577613),(31 13711293),(32 13828568),(33 13940362),(34 14017128),(35 14049570),(36 14091250),(37 14149462),(38 14264019),(39 14335094),(40 14423466),(41 14561024),(42 14771962),(43 14916602),(44 15052717),(45 15177949),(46 15288454),(47 15299861),(48 15266678),(49 15217832),(50 15166048),(51 15069131),(52 14950394),(53 14810342),(54 14592346),(55 14359939),(56 14060069),(57 13816552),(58 13523744),(59 13222479),(60 12932294),(61 12708645),(62 12561827),(63 12490013),(64 12572386),(65 12646053),(66 12816303),(67 13099605),(68 13477586),(69 13852803),(70 14271002),(71 14653254),(72 15046792),(73 15359322),(74 15604978),(75 15814046),(76 16023158),(77 16191552),(78 16352510),(79 16500669),
(1 63240.11),(2 204296.23),(3 419210.94),(4 672442.75),(5 956624.25),(6 1291178),(7 1665420.8),(8 2094047.5),(9 2526057.8),(10 2964606.8),(11 3413953.8),(12 3843063),(13 4275372.5),(14 4703244.5),(15 5124527.5),(16 5544620.5),(17 5961525.5),(18 6340568),(19 6697228.5),(20 7043182),(21 7315142),(22 7618689),(23 7907972.5),(24 8213994),(25 8542610),(26 8865984),(27 9170316),(28 9414494),(29 9622093),(30 9758449),(31 9879406),(32 9940797),(33 9971559),(34 9973906),(35 9972855),(36 9955940),(37 9946022),(38 9959008),(39 9953172),(40 9911110),(41 9905639),(42 9923129),(43 9912258),(44 9911751),(45 9895482),(46 9864424),(47 9740764),(48 9618335),(49 9456666),(50 9315823),(51 9189405),(52 9087202),(53 9001556),(54 8943209),(55 8877027),(56 8803806),(57 8762417),(58 8681375),(59 8604010),(60 8528173),(61 8508767),(62 8502338),(63 8511266),(64 8581096),(65 8621704),(66 8693865),(67 8792249),(68 8877087),(69 8975471),(70 9058193),(71 9198988),(72 9340286),(73 9494555),(74 9602951),(75 9706295),(76 9862126),(77 10059537),(78 10357205),(79 10689657),
(1 76830.28),(2 259702.84),(3 537419),(4 862470.56),(5 1239914.9),(6 1660022.1),(7 2118384),(8 2600951.5),(9 3129451.5),(10 3686505.8),(11 4275541.5),(12 4894127.5),(13 5540077),(14 6216000),(15 6855268.5),(16 7467738.5),(17 8086833.5),(18 8680570),(19 9223574),(20 9729890),(21 10137417),(22 10484053),(23 10795340),(24 10991345),(25 11126172),(26 11176597),(27 11202358),(28 11184475),(29 11138142),(30 11030364),(31 10896772),(32 10746349),(33 10624190),(34 10513382),(35 10430654),(36 10380977),(37 10361444),(38 10368000),(39 10391294),(40 10452439),(41 10578383),(42 10727650),(43 10880574),(44 11048836),(45 11233711),(46 11426135),(47 11581796),(48 11770884),(49 11911374),(50 12042534),(51 12153706),(52 12249374),(53 12363522),(54 12454532),(55 12508816),(56 12545058),(57 12528066),(58 12408399),(59 12225687),(60 12037845),(61 11896982),(62 11771657),(63 11652900),(64 11542681),(65 11429330),(66 11318542),(67 11224715),(68 11106345),(69 11025126),(70 10961555),(71 10926231),(72 10850043),(73 10753637),(74 10670932),(75 10559732),(76 10530801),(77 10464725),(78 10484955),(79 10414579),
(1 101091.42),(2 339216.4),(3 715744.4),(4 1190731.4),(5 1739543.4),(6 2364934),(7 3041347.8),(8 3797023),(9 4563806.5),(10 5376228.5),(11 6171185),(12 6952236),(13 7733179.5),(14 8481457),(15 9179921),(16 9843087),(17 10472726),(18 11082287),(19 11638778),(20 12159522),(21 12617161),(22 12927108),(23 13220085),(24 13396696),(25 13607484),(26 13752376),(27 13845540),(28 13884191),(29 13847401),(30 13802945),(31 13710419),(32 13578504),(33 13441431),(34 13287648),(35 13172090),(36 13075176),(37 13022520),(38 12997097),(39 12954312),(40 12945647),(41 12944651),(42 12964982),(43 12993467),(44 13005600),(45 13060298),(46 13050103),(47 13021311),(48 12942609),(49 12800068),(50 12624469),(51 12408219),(52 12194941),(53 12011900),(54 11850657),(55 11701885),(56 11552301),(57 11381246),(58 11223698),(59 11086600),(60 10938632),(61 10811346),(62 10616090),(63 10434974),(64 10242178),(65 10051694),(66 9841107),(67 9628352),(68 9400565),(69 9148616),(70 8885756),(71 8652454),(72 8442564),(73 8274645.5),(74 8181172),(75 8110616.5),(76 8059367.5),(77 7972964.5),(78 7918901.5),(79 7834005.5),
(1 98763.47),(2 332998.66),(3 729395.9),(4 1236904.6),(5 1861693.8),(6 2533068.5),(7 3324029),(8 4193428),(9 5073490.5),(10 6016666),(11 6905437),(12 7831566),(13 8702409),(14 9579856),(15 10435855),(16 11203298),(17 11898171),(18 12553732),(19 13143923),(20 13669073),(21 14203668),(22 14563564),(23 14929879),(24 15162674),(25 15312380),(26 15382706),(27 15406535),(28 15419548),(29 15371268),(30 15290149),(31 15168505),(32 15022907),(33 14830379),(34 14572153),(35 14272615),(36 13982537),(37 13675763),(38 13398774),(39 13106993),(40 12810740),(41 12504334),(42 12215432),(43 11923432),(44 11656149),(45 11404293),(46 11099253),(47 10809262),(48 10487052),(49 10187689),(50 9900962),(51 9653292),(52 9455430),(53 9320376),(54 9202913),(55 9103647),(56 9040706),(57 8999737),(58 9012507),(59 9030005),(60 9054752),(61 9079171),(62 9084347),(63 9142716),(64 9242830),(65 9307559),(66 9342756),(67 9377414),(68 9318210),(69 9329660),(70 9264825),(71 9288500),(72 9260973),(73 9263858),(74 9242270),(75 9191436),(76 9120494),(77 9041940),(78 9003770),(79 8958558),
(1 107355.99),(2 362513.13),(3 763573.6),(4 1280089),(5 1873819),(6 2526431.5),(7 3213954.8),(8 3923502),(9 4624614.5),(10 5306669),(11 5978663.5),(12 6632183),(13 7298518.5),(14 7955728),(15 8646321),(16 9306157),(17 9929736),(18 10527594),(19 11061754),(20 11504552),(21 11839550),(22 12092095),(23 12253094),(24 12334345),(25 12296335),(26 12178959),(27 11997045),(28 11769766),(29 11491898),(30 11118489),(31 10729606),(32 10265148),(33 9799644),(34 9312061),(35 8810678),(36 8343269.5),(37 7882819.5),(38 7471128),(39 7070279.5),(40 6729793),(41 6427111.5),(42 6132663.5),(43 5870561),(44 5621947.5),(45 5430312.5),(46 5284245.5),(47 5228890),(48 5244612),(49 5349036),(50 5563561.5),(51 5842605.5),(52 6201135),(53 6584826),(54 6998346.5),(55 7388530),(56 7787022.5),(57 8166365),(58 8498541),(59 8804995),(60 9086652),(61 9333161),(62 9543692),(63 9768276),(64 9989027),(65 10167386),(66 10284043),(67 10376672),(68 10376918),(69 10396034),(70 10380488),(71 10371994),(72 10343387),(73 10285818),(74 10232672),(75 10161045),(76 10123250),(77 10090889),(78 10051678),(79 10107333),
