1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 4532.987),(2 10160.142),(3 13006.757),(4 14008.911),(5 14342.921),(6 14624.339),(7 14882.356),(8 15071.701),(9 15519.656),(10 15661.894),(11 15639.403),(12 15423.243),(13 15542.153),(14 15626.945),(15 15507.979),(16 15508.437),(17 16147.393),(18 16562.111),(19 16862.2),(20 16736.111),(21 16795.672),(22 16911.377),(23 16859.354),(24 17060.2),(25 17121.262),(26 17172.215),(27 17526.414),(28 17652.16),(29 17788.89),(30 17758.441),(31 17685.836),(32 17757.2),(33 18183.807),(34 18691.027),(35 18824.752),(36 18673.715),(37 18267.943),(38 17803.514),(39 17430.795),(40 17627.64),(41 17710.932),(42 17562.068),(43 17539.934),(44 17509.049),(45 17227.186),(46 17192.742),(47 17031.45),(48 16848.19),(49 16647.406),(50 16618.02),(51 16711.889),(52 16794.871),(53 16837.53),(54 16766.172),(55 16579.826),(56 16446.902),(57 16555.791),(58 16527.59),(59 16161.403),(60 15982.555),(61 16059.477),(62 16361.778),(63 16309.569),(64 15944.313),(65 15562.717),(66 15528.284),(67 15508.6455),(68 15534.991),(69 15610.05),(70 15552.019),(71 15545.031),(72 15571.799),(73 15688.012),(74 16024.558),(75 16522.398),(76 16686.773),(77 16590.422),(78 16383.257),(79 16157.665),
(1 4553.1587),(2 10119.819),(3 12730.302),(4 13474.445),(5 13778.868),(6 14062.139),(7 14242.346),(8 14386.676),(9 14621.158),(10 14801.8),(11 14909.783),(12 14816.349),(13 14862.991),(14 14949.225),(15 14727.903),(16 14595.044),(17 15295.61),(18 15972.802),(19 16104.041),(20 15676.385),(21 15522.37),(22 15925.967),(23 16062.403),(24 16082.041),(25 16007.48),(26 16222.809),(27 16736.66),(28 16857.217),(29 16659.752),(30 16449.533),(31 16204.494),(32 16065.611),(33 16255.732),(34 16543.807),(35 16723.766),(36 16583.81),(37 16238.183),(38 15949.893),(39 15691.009),(40 16082.223),(41 16656.07),(42 16890.152),(43 16889.885),(44 16951.02),(45 16793.94),(46 16638.592),(47 16440.918),(48 16293.932),(49 16090.457),(50 16052.204),(51 15958.857),(52 15641.423),(53 15600.531),(54 15673.797),(55 15509.999),(56 15420.312),(57 15466.14),(58 15488.297),(59 15338.707),(60 15232.556),(61 15239.343),(62 15423.568),(63 15446.213),(64 15367.982),(65 15132.328),(66 14960.599),(67 14892.858),(68 15029.5625),(69 15191.64),(70 15049.729),(71 15308.314),(72 15173.293),(73 15143.932),(74 15576.738),(75 15849.328),(76 15840.737),(77 15761.777),(78 15514.919),(79 15224.374),
(1 4371.642),(2 9686.46),(3 12360.606),(4 13247.714),(5 13470.303),(6 13964.483),(7 14345.841),(8 14252.99),(9 14324.943),(10 14457.186),(11 14517.17),(12 14295.314),(13 14395.194),(14 14649.167),(15 14675.584),(16 14616.157),(17 15235.058),(18 15761.63),(19 16101.986),(20 15805.593),(21 15627.684),(22 15744.36),(23 15728.923),(24 15507.447),(25 15247.134),(26 15428.45),(27 15800.461),(28 15952.423),(29 16131.423),(30 16209.069),(31 16033.577),(32 16076.406),(33 16371.282),(34 16635.947),(35 16762.758),(36 16574.72),(37 16261.023),(38 16078.823),(39 15936.319),(40 15979.699),(41 16294.734),(42 16567.87),(43 16672.246),(44 16682.152),(45 16629.715),(46 16785.555),(47 16691.232),(48 16642.406),(49 16457.893),(50 16514.742),(51 16349.257),(52 16015.844),(53 15583.386),(54 15535.018),(55 15625.768),(56 15570.624),(57 15495.757),(58 15398.763),(59 15211.508),(60 15119.177),(61 15361.697),(62 15495.97),(63 15553.36),(64 15488.467),(65 15341.959),(66 15049.881),(67 15052.61),(68 15238.844),(69 15259.362),(70 15091.218),(71 15133.337),(72 15065.977),(73 15171.506),(74 15461.9795),(75 15580.656),(76 15563.339),(77 15432.589),(78 15237.074),(79 15072.58),
(1 4168.219),(2 9166.583),(3 11687.993),(4 12633.904),(5 12938.281),(6 13437.659),(7 13772.188),(8 13865.086),(9 14062.906),(10 13985.307),(11 13809.214),(12 13479.275),(13 13548.801),(14 13584.882),(15 13507.424),(16 13723.029),(17 14369.401),(18 14605.343),(19 14604.394),(20 14500.604),(21 14606.282),(22 14689.169),(23 14804.876),(24 14901.216),(25 14910.975),(26 14833.531),(27 14784.579),(28 15050.919),(29 15511.379),(30 15820.406),(31 15896.222),(32 16121.884),(33 16573.113),(34 16792.818),(35 16616.658),(36 16463.95),(37 16123.359),(38 15964.926),(39 15838.619),(40 15830.554),(41 15898.331),(42 15720.876),(43 15544.346),(44 15418.568),(45 15384.779),(46 15456.624),(47 15430.191),(48 15581.801),(49 15618.209),(50 15871.932),(51 15863.693),(52 15704.409),(53 15354.469),(54 15298.808),(55 15346.354),(56 15540.264),(57 15500.854),(58 15174.427),(59 14840.398),(60 14537.397),(61 14679.657),(62 14690.849),(63 14648.77),(64 14478.841),(65 14468.924),(66 14461.875),(67 14481.943),(68 14569.651),(69 14569.356),(70 14430.378),(71 14230.621),(72 14200.552),(73 14406.799),(74 14619.635),(75 14788.645),(76 14809.718),(77 14746.677),(78 14558.267),(79 14706.564),
(1 4208.1055),(2 9059.994),(3 11182.962),(4 11957.14),(5 12709.659),(6 13355.056),(7 13493.721),(8 13693.555),(9 13970.483),(10 13870.092),(11 13513.394),(12 13353.2295),(13 13565.653),(14 13601.406),(15 13324.994),(16 13361.891),(17 13768.12),(18 13830.373),(19 13927.905),(20 13884.718),(21 14205.26),(22 14249.097),(23 14516.984),(24 14896.51),(25 14978.981),(26 14794.821),(27 14575.221),(28 14721.648),(29 15086.179),(30 15321.863),(31 15438.451),(32 15318.202),(33 15462.412),(34 15391.45),(35 15442.499),(36 15323.997),(37 15166.634),(38 15105.039),(39 15051.19),(40 15072.113),(41 15009.374),(42 14921.327),(43 14700.359),(44 14663.062),(45 14831.721),(46 14873.166),(47 14697.001),(48 14926.517),(49 14960.815),(50 14947.59),(51 15037.9375),(52 14999.842),(53 14804.126),(54 14815.974),(55 14828.731),(56 14951.581),(57 14795.594),(58 14490.198),(59 14141.97),(60 13962.831),(61 14057.847),(62 14156.364),(63 14178.043),(64 13992.906),(65 14021.233),(66 14153.195),(67 14152.489),(68 14067.376),(69 14128.009),(70 14181.511),(71 14104.884),(72 14056.127),(73 14208.131),(74 14193.31),(75 14225.322),(76 14227.698),(77 14195.222),(78 14218.45),(79 14281.3545),
(1 4168.442),(2 8990.3),(3 11265.325),(4 12104.858),(5 12594.877),(6 13163.131),(7 13370.368),(8 13513.735),(9 13575.216),(10 13453.661),(11 12937.518),(12 12830.822),(13 13149.582),(14 13305.411),(15 13258.169),(16 13515.275),(17 13957.91),(18 14135.618),(19 14270.536),(20 14086.934),(21 14146.659),(22 14122.126),(23 14473.221),(24 14853.366),(25 14979.5),(26 14865.428),(27 14844.191),(28 15023.235),(29 15182.307),(30 15318.41),(31 15558.642),(32 15556.426),(33 15656.3545),(34 15742.168),(35 15756.295),(36 15472.064),(37 15307.283),(38 15314.52),(39 15186.695),(40 15105.085),(41 14900.381),(42 14906.225),(43 14895.3545),(44 14934.515),(45 15032.259),(46 15145.882),(47 15225.433),(48 15405.597),(49 15201.675),(50 15308.884),(51 15405.284),(52 15183.259),(53 14829.1875),(54 14648.768),(55 14557.72),(56 14492.724),(57 14370.1045),(58 14226.653),(59 13968.167),(60 13880.757),(61 13980.775),(62 14380.439),(63 14635.317),(64 14547.661),(65 14405.776),(66 14281.618),(67 14100.663),(68 13945.468),(69 14074.318),(70 14275.134),(71 14393.817),(72 14409.182),(73 14428.837),(74 14356.694),(75 14317.753),(76 14212.772),(77 14004.878),(78 13941.787),(79 13927.872),
(1 4095.483),(2 8721.533),(3 10896.558),(4 11420.151),(5 11514.582),(6 12025.926),(7 12336.877),(8 12460.511),(9 12826.385),(10 12899.665),(11 12682.023),(12 12728.549),(13 12761.603),(14 12772.569),(15 12840.757),(16 13241.448),(17 13770.544),(18 13779.277),(19 13818.013),(20 13656.056),(21 13779.226),(22 13543.896),(23 13693.627),(24 14064.691),(25 14269.271),(26 14531.579),(27 14619.251),(28 14748.817),(29 15038.802),(30 15348.597),(31 15560.237),(32 15583.5625),(33 15613.435),(34 15678.273),(35 15599.027),(36 15469.541),(37 15255.09),(38 15283.451),(39 15232.432),(40 14979.24),(41 14711.642),(42 14606.422),(43 14395.753),(44 14518.518),(45 14568.973),(46 14432.958),(47 14439.446),(48 14394.958),(49 14356.326),(50 14717.939),(51 14875.4795),(52 14933.996),(53 14675.257),(54 14410.91),(55 14353.555),(56 14515.724),(57 14465.696),(58 14229.842),(59 14089.996),(60 13934.657),(61 13789.508),(62 14084.706),(63 14229.466),(64 14161.003),(65 13904.008),(66 13868.201),(67 13756.942),(68 13821.661),(69 13923.492),(70 14102.153),(71 14165.088),(72 14084.172),(73 14135.147),(74 14242.559),(75 14258.329),(76 14172.702),(77 13980.569),(78 13760.854),(79 13767.568),
(1 4170.998),(2 8707.373),(3 10451.645),(4 10751.972),(5 11089.138),(6 11569.165),(7 11744.337),(8 11887.969),(9 12273.074),(10 12422.949),(11 12243.308),(12 12427.659),(13 12556.603),(14 12424.662),(15 12487.849),(16 13042.058),(17 13197.594),(18 13189.367),(19 13416.813),(20 13419.996),(21 13526.187),(22 13249.772),(23 13221.659),(24 13487.787),(25 13613.467),(26 13759.946),(27 13736.293),(28 13828.32),(29 14156.749),(30 14453.67),(31 14558.902),(32 14402.868),(33 14340.912),(34 14436.316),(35 14602.239),(36 14466.585),(37 14175.817),(38 14018.716),(39 13957.655),(40 13937.615),(41 13999.176),(42 13886.088),(43 13621.399),(44 13720.939),(45 13859.071),(46 13699.82),(47 13693.6455),(48 13743.478),(49 14116.165),(50 14498.32),(51 14479.11),(52 14423.32),(53 14351.783),(54 14128.08),(55 13855.273),(56 13865.061),(57 13850.112),(58 13646.055),(59 13363),(60 13202.207),(61 13320.656),(62 13579.192),(63 13664.376),(64 13467.927),(65 13297.165),(66 13159.172),(67 13132.574),(68 13385.192),(69 13492.524),(70 13726.136),(71 13841.578),(72 13799.758),(73 13904.608),(74 14031.551),(75 14018.324),(76 13877.358),(77 13607.587),(78 13466.824),(79 13372.335),
(1 4093.2236),(2 8608.771),(3 10215.157),(4 10539.94),(5 10900.181),(6 11211.601),(7 11221.72),(8 11327.309),(9 11762.504),(10 12021.479),(11 12033.825),(12 12003.704),(13 11942.091),(14 11922.31),(15 12169.581),(16 12564.703),(17 12622.697),(18 12594.549),(19 12798.159),(20 12921.615),(21 13085.074),(22 12895.814),(23 12785.982),(24 12839.017),(25 12906.095),(26 12876.7705),(27 12909.948),(28 13118.304),(29 13466.867),(30 13685.969),(31 13780.173),(32 13726.617),(33 13702.095),(34 13712.654),(35 13743.519),(36 13682.672),(37 13375.229),(38 13184.913),(39 13074.165),(40 13111.264),(41 13015.319),(42 12820.723),(43 12762.471),(44 12938.782),(45 13089.856),(46 13214.057),(47 13427.912),(48 13660.112),(49 14189.133),(50 14498.983),(51 14526.581),(52 14324.517),(53 14111.257),(54 14039.549),(55 13699.968),(56 13537.409),(57 13388.577),(58 13150.103),(59 12841.485),(60 12560.214),(61 12710.773),(62 12737.096),(63 12920.915),(64 12983.791),(65 13056.267),(66 13001.497),(67 13112.398),(68 13407.908),(69 13609.708),(70 13803.205),(71 13984.267),(72 14032.017),(73 14137.705),(74 14065.757),(75 13949.11),(76 13750.084),(77 13641.99),(78 13590.779),(79 13518.247),
(1 3799.9233),(2 7924.6313),(3 9673.603),(4 9962.086),(5 10148.7),(6 10645.627),(7 10889.634),(8 11019.88),(9 11370.719),(10 11808.4795),(11 11974.628),(12 12028.228),(13 12005.534),(14 12072.66),(15 12218.261),(16 12426.314),(17 12482.972),(18 12480.15),(19 12514.716),(20 12632.253),(21 12857.578),(22 12566.453),(23 12475.104),(24 12514.869),(25 12598.978),(26 12556.362),(27 12636.07),(28 12813.162),(29 13073.8955),(30 13262.901),(31 13324.597),(32 13292.627),(33 13301.612),(34 13258.427),(35 13022.418),(36 12810.442),(37 12657.435),(38 12684.36),(39 12546.636),(40 12588.593),(41 12567.861),(42 12549.733),(43 12663.693),(44 12752.25),(45 12766.266),(46 13042.789),(47 13297.388),(48 13474.442),(49 13593.516),(50 13927.566),(51 14163.977),(52 13982.584),(53 13921.045),(54 13966.835),(55 13781.124),(56 13634.947),(57 13405.618),(58 12844.408),(59 12352.449),(60 12227.178),(61 12355.555),(62 12423.526),(63 12660.365),(64 12906.059),(65 13063.934),(66 13130.866),(67 13153.819),(68 13257.95),(69 13254.028),(70 13356.77),(71 13482.411),(72 13429.288),(73 13480.558),(74 13236.6875),(75 13136.651),(76 12878.542),(77 12806.916),(78 12909.004),(79 13049.358),
(1 3860.9587),(2 7905.633),(3 9614.706),(4 9906.144),(5 10090.489),(6 10459.241),(7 10465.213),(8 10627.402),(9 10898.866),(10 11167.477),(11 11457.919),(12 11705.546),(13 11676.751),(14 11722.273),(15 11821.661),(16 11905.742),(17 12011.747),(18 12102.398),(19 12074.212),(20 12255.734),(21 12541.815),(22 12299.363),(23 12194.262),(24 12014.66),(25 12167.276),(26 12136.218),(27 12310.539),(28 12444.966),(29 12430.543),(30 12404.258),(31 12565.69),(32 12519.106),(33 12546.915),(34 12497.941),(35 12376.464),(36 12292.37),(37 12302.247),(38 12425.231),(39 12342.589),(40 12364.073),(41 12198.153),(42 12177.774),(43 12406.3),(44 12591.641),(45 12755.094),(46 12966.203),(47 13104.047),(48 13225.477),(49 13098.091),(50 13194.989),(51 13260.565),(52 13237.7705),(53 13239.461),(54 13367.906),(55 13416.738),(56 13309.645),(57 13153.282),(58 12902.435),(59 12693.89),(60 12625.37),(61 12691.246),(62 12735.715),(63 12857.675),(64 12997.003),(65 13100.411),(66 13163.599),(67 13157.825),(68 13119.554),(69 13134.157),(70 13300.571),(71 13499.993),(72 13608.999),(73 13580.534),(74 13258.7295),(75 13128.8),(76 13072.776),(77 13122.133),(78 13124.642),(79 13237.082),
(1 3753.1912),(2 7680.198),(3 9220.859),(4 9443.63),(5 9570.462),(6 9949.3545),(7 10090.933),(8 10273.464),(9 10536.653),(10 10747.28),(11 11047.064),(12 11227.391),(13 11193.3545),(14 11264.911),(15 11342.773),(16 11444.693),(17 11641.481),(18 11696.245),(19 11626.635),(20 11869.899),(21 12206.728),(22 12131.81),(23 12060.889),(24 11964.828),(25 12227.45),(26 12201.111),(27 12379.975),(28 12333.205),(29 12187.714),(30 12087.561),(31 12236.914),(32 12199.351),(33 12277.087),(34 12269.963),(35 12169.921),(36 12089.467),(37 11974.348),(38 12125.384),(39 12316.627),(40 12454.272),(41 12426.995),(42 12526.134),(43 12643.008),(44 12823.836),(45 13171.68),(46 13422.094),(47 13517.939),(48 13741.921),(49 13627.221),(50 13857.876),(51 13729.056),(52 13411.941),(53 13211.213),(54 12953.805),(55 12851.224),(56 12674.458),(57 12548.676),(58 12539.44),(59 12456.709),(60 12235.56),(61 12066.104),(62 11984.628),(63 12167.903),(64 12294.09),(65 12396.328),(66 12331.672),(67 12223.437),(68 12121.783),(69 12008.534),(70 12195.934),(71 12339.376),(72 12506.654),(73 12547.337),(74 12324.391),(75 12207.516),(76 12287.514),(77 12518.561),(78 12583.081),(79 12620.329),
(1 3433.5554),(2 7146.337),(3 8797.311),(4 9130.033),(5 9306.007),(6 9779.224),(7 10181.6045),(8 10440.842),(9 10491.407),(10 10750.584),(11 11110.639),(12 11294.046),(13 11438.444),(14 11502.607),(15 11526.337),(16 11454.359),(17 11653.327),(18 11732.91),(19 11620.377),(20 11627.222),(21 11821.493),(22 11752.706),(23 11656.38),(24 11465.809),(25 11600.884),(26 11576.306),(27 11821.198),(28 11830.272),(29 11801.718),(30 11742.956),(31 11805.893),(32 11866.401),(33 11993.521),(34 11969.96),(35 11779.481),(36 11805.062),(37 11816.153),(38 11984.38),(39 12095.34),(40 12203.59),(41 12265.249),(42 12526.952),(43 12650.454),(44 12662.957),(45 12988.275),(46 13241.014),(47 13130.633),(48 13293.454),(49 13366.724),(50 13445.794),(51 13377.555),(52 13221.996),(53 13147.178),(54 12922.903),(55 12782.758),(56 12626.825),(57 12495.012),(58 12510.984),(59 12395.03),(60 12141.928),(61 12032.496),(62 12077.389),(63 12182.283),(64 12198.391),(65 12163.815),(66 12105.3),(67 12111.778),(68 11931.902),(69 11796.297),(70 12019.796),(71 12054.341),(72 12174.575),(73 12218.489),(74 12119.652),(75 12051.056),(76 12179.925),(77 12464.616),(78 12444.78),(79 12426.108),
(1 3206.148),(2 6614.087),(3 8138.4556),(4 8499.007),(5 8670.773),(6 9186.509),(7 9711.006),(8 10033.859),(9 10061.681),(10 10103.118),(11 10451.512),(12 10648.967),(13 10808.575),(14 10872.3955),(15 11034.104),(16 10970.089),(17 11085.306),(18 11297.306),(19 11208.703),(20 11261.229),(21 11427.572),(22 11410.875),(23 11235.713),(24 10943.041),(25 10860.867),(26 10751.801),(27 10816.001),(28 10818.284),(29 10956.605),(30 11009.74),(31 11174.546),(32 11229.141),(33 11363.816),(34 11403.591),(35 11191.555),(36 11210.83),(37 11257.259),(38 11410.097),(39 11539.799),(40 11549.803),(41 11577.863),(42 11824.424),(43 11936.45),(44 11934.174),(45 12167.433),(46 12285.529),(47 12181.508),(48 12387.51),(49 12350.33),(50 12327.947),(51 12217.067),(52 12094.08),(53 12039.858),(54 12020.283),(55 11995.541),(56 11930.462),(57 11926.172),(58 12061.832),(59 12070.859),(60 11942.871),(61 12058.546),(62 12048.241),(63 12086.591),(64 12008.685),(65 11850.43),(66 11715.401),(67 11678.587),(68 11579.635),(69 11441.503),(70 11467.887),(71 11470.668),(72 11504.121),(73 11396.714),(74 11403.33),(75 11343.192),(76 11442.174),(77 11749.076),(78 11847.026),(79 11709.599),
(1 3135.704),(2 6362.701),(3 7588.0845),(4 7896.7646),(5 8199.466),(6 8543.13),(7 8889.712),(8 9071.575),(9 9053.971),(10 9057.178),(11 9278.798),(12 9435.924),(13 9617.884),(14 9612.572),(15 9708.658),(16 9811.744),(17 9952.616),(18 10059.808),(19 10032.818),(20 10362.939),(21 10417.956),(22 10212.124),(23 9969.095),(24 9850.683),(25 9755.661),(26 9670.684),(27 9581.103),(28 9483.103),(29 9574.506),(30 9684.137),(31 9884.443),(32 9850.967),(33 9961.136),(34 10127.711),(35 10120.568),(36 10215.151),(37 10205.857),(38 10481.182),(39 10596.041),(40 10677.114),(41 10624.791),(42 10574.939),(43 10598.9375),(44 10856.078),(45 10982.202),(46 10955.235),(47 10825.984),(48 11003.483),(49 11081.895),(50 11193.7705),(51 11081.351),(52 10978.423),(53 10934.379),(54 10999.828),(55 11142.136),(56 11198.131),(57 11210.42),(58 11242.434),(59 11311.356),(60 11270.081),(61 11249.185),(62 11261.662),(63 11231.883),(64 11044.878),(65 10945.976),(66 10744.588),(67 10560.5625),(68 10365.249),(69 10242.068),(70 10214.751),(71 10420.464),(72 10561.2),(73 10604.572),(74 10480.163),(75 10444.164),(76 10634.582),(77 10841.116),(78 10889.214),(79 10706.723),
(1 2971.5894),(2 5972.767),(3 7180.226),(4 7409.8604),(5 7583.3276),(6 8007.5796),(7 8200.872),(8 8215.467),(9 8300.336),(10 8501.518),(11 8729.733),(12 8594.436),(13 8584.139),(14 8639.188),(15 8808.848),(16 8929.083),(17 8930.143),(18 8915.321),(19 9011.696),(20 9303.368),(21 9331.603),(22 9202.124),(23 9115.598),(24 9174.347),(25 9219.724),(26 9297.366),(27 9262.245),(28 9167.44),(29 9193.011),(30 9254.364),(31 9424.862),(32 9333.307),(33 9409.696),(34 9607.189),(35 9733.822),(36 9830.359),(37 9819.117),(38 10003.058),(39 10006.915),(40 10207.835),(41 10197.206),(42 10046.004),(43 9986.108),(44 10267.342),(45 10282.75),(46 10269.242),(47 10142.105),(48 10185.5205),(49 10280.75),(50 10497.779),(51 10496.761),(52 10588.755),(53 10624.419),(54 10868.661),(55 11100.384),(56 11226.093),(57 11225.318),(58 11201.832),(59 11186.919),(60 11226.572),(61 11094.902),(62 11123.09),(63 11061.046),(64 10856.523),(65 10609.732),(66 10420.881),(67 10125.771),(68 9888.654),(69 9867.356),(70 9900.85),(71 10052.322),(72 10026.171),(73 9986.225),(74 9801.161),(75 9778.268),(76 9986.783),(77 10146.141),(78 10117.757),(79 10132.708),
(1 2879.7449),(2 5763.104),(3 7043.3438),(4 7390.003),(5 7408.314),(6 7670.232),(7 7931.049),(8 7947.665),(9 7944.418),(10 8081.714),(11 8199.001),(12 7996.5444),(13 7996.561),(14 8160.6997),(15 8267.896),(16 8517.596),(17 8607.716),(18 8546.008),(19 8544.577),(20 8685.948),(21 8680.027),(22 8644.867),(23 8541.333),(24 8523.801),(25 8624.541),(26 8827.508),(27 8769.159),(28 8732.912),(29 8769.245),(30 8815.788),(31 8896.289),(32 8771.991),(33 8848.726),(34 9013.779),(35 9269.273),(36 9403.636),(37 9379.278),(38 9362.1),(39 9292.172),(40 9374.311),(41 9357.492),(42 9272.944),(43 9298.554),(44 9499.916),(45 9509.901),(46 9397.74),(47 9245.867),(48 9167.567),(49 9206.697),(50 9408.646),(51 9556.624),(52 9641.315),(53 9763.311),(54 10118.28),(55 10289.191),(56 10455.104),(57 10392.995),(58 10289.504),(59 10238.5625),(60 10211.347),(61 10178.852),(62 10084.256),(63 10061.471),(64 10058.616),(65 9979.929),(66 9804.082),(67 9726.121),(68 9516.7),(69 9441.755),(70 9464.744),(71 9427.569),(72 9423.647),(73 9438.367),(74 9356.76),(75 9408.012),(76 9509.906),(77 9626.096),(78 9646.794),(79 9740.492),
(1 2923.2725),(2 5803.9663),(3 6951.788),(4 7297.6685),(5 7389.827),(6 7581.3374),(7 7814.298),(8 7953.274),(9 8073.81),(10 8062.8965),(11 8075.583),(12 7992.581),(13 8135.18),(14 8280.099),(15 8450.974),(16 8857.675),(17 9109.212),(18 8886.385),(19 8806.875),(20 8899.232),(21 8909.675),(22 8796.02),(23 8710.244),(24 8677.178),(25 8685.088),(26 8904.701),(27 8928.83),(28 8896.731),(29 8985.895),(30 9064.956),(31 8995.535),(32 8737.92),(33 8735.72),(34 8842.376),(35 9125.521),(36 9277.802),(37 9360.264),(38 9324.118),(39 9204.285),(40 9248.227),(41 9204.221),(42 9129.742),(43 9274.332),(44 9440.402),(45 9443.521),(46 9429.893),(47 9313.035),(48 9255.042),(49 9309.125),(50 9605.945),(51 9745.734),(52 9724.475),(53 9867.765),(54 10136.158),(55 10195.057),(56 10323.97),(57 10146.296),(58 9912.469),(59 9846.275),(60 9838.97),(61 9792.845),(62 9695.569),(63 9696.35),(64 9713.712),(65 9826.323),(66 9745.124),(67 9763.872),(68 9739.928),(69 9705.015),(70 9736.859),(71 9664.196),(72 9580.429),(73 9608.763),(74 9569.576),(75 9598.978),(76 9608.939),(77 9681.629),(78 9685.559),(79 9797.23),
