1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 5410.616),(2 8496.258),(3 9781.876),(4 10623.614),(5 11512.052),(6 12043.97),(7 13339.329),(8 14185.345),(9 14303.486),(10 14005.914),(11 14705.502),(12 15739.674),(13 16395.564),(14 16938.23),(15 17508.771),(16 17995.242),(17 18567.514),(18 18664.129),(19 18627.953),(20 18698.313),(21 18696.043),(22 18187.266),(23 17688.27),(24 17341.486),(25 17210.143),(26 17061.08),(27 17257.346),(28 17337.197),(29 17258.537),(30 17542.033),(31 17884.725),(32 17702.484),(33 18093.64),(34 18735.727),(35 19439.934),(36 19591.24),(37 19863.963),(38 20306.424),(39 21105.238),(40 21680.074),(41 22348.846),(42 22999.533),(43 23101.668),(44 23045.367),(45 23108.98),(46 23098.777),(47 23098.045),(48 23277.09),(49 22946.83),(50 23062.871),(51 23221.143),(52 22499.676),(53 22064.898),(54 21734.805),(55 21403.654),(56 20885.74),(57 20276.527),(58 19799.373),(59 19492.822),(60 19195.088),(61 19504.97),(62 19291.426),(63 19069.863),(64 18949.64),(65 18893.727),(66 18642.443),(67 18536.592),(68 18680.803),(69 18715.865),(70 18435.824),(71 18468.063),(72 18806.281),(73 18663.826),(74 18450.738),(75 18535.707),(76 18821.664),(77 18860.838),(78 18883.86),(79 19023.436),
(1 5413.377),(2 8286.994),(3 9600.241),(4 10504.976),(5 11506.963),(6 12003.825),(7 13297.777),(8 14028.763),(9 14494.744),(10 14095.462),(11 14837.432),(12 15875.637),(13 16520.61),(14 17265.27),(15 18009.146),(16 18624.484),(17 19129.678),(18 19329.15),(19 19541.379),(20 19843.543),(21 19692.676),(22 18979.463),(23 18281.383),(24 17740.504),(25 17487.928),(26 17216.88),(27 17075.889),(28 16849.92),(29 16834.99),(30 17013.637),(31 17213.996),(32 17114.586),(33 17062.314),(34 17553.047),(35 18312.256),(36 18357.623),(37 18596.771),(38 18880.412),(39 19649.133),(40 20396.525),(41 21058.975),(42 21719.59),(43 22066.838),(44 21984.754),(45 21893.686),(46 21937.467),(47 21831.367),(48 22020.91),(49 21817.814),(50 21836.723),(51 22030.326),(52 21690.795),(53 21388.45),(54 21094.832),(55 20782.389),(56 20457.793),(57 20144.498),(58 19811.084),(59 19532.531),(60 19411.803),(61 19705.262),(62 19554.744),(63 19311.4),(64 19292.336),(65 19438.248),(66 19057.115),(67 19026.75),(68 19275.559),(69 19164.934),(70 18952.99),(71 18959.334),(72 19203.85),(73 18942.828),(74 18832.727),(75 18759.563),(76 18839.387),(77 18917.863),(78 18824.59),(79 18960.75),
(1 5523.992),(2 8355.816),(3 9643.5),(4 10335.908),(5 11378.042),(6 11854.406),(7 13301.849),(8 13978.819),(9 14342.589),(10 14083.904),(11 14921.448),(12 15978.462),(13 16479.42),(14 17141.934),(15 17843.975),(16 18662.299),(17 19151.951),(18 19381.342),(19 19689.393),(20 19925.564),(21 19711.023),(22 19240.258),(23 18782.246),(24 18135.977),(25 17758.781),(26 17381.592),(27 17237.555),(28 17237.172),(29 17341.293),(30 17541.057),(31 17576.121),(32 17143.563),(33 17241.416),(34 17775.229),(35 18201.463),(36 18262.264),(37 18582.264),(38 18948.092),(39 19531.54),(40 20280.756),(41 21001.365),(42 21679.385),(43 21887.463),(44 21643.912),(45 21588.14),(46 21538.049),(47 21346.848),(48 21372.908),(49 21318.42),(50 21240.232),(51 21229.479),(52 20629.357),(53 20459.014),(54 20161.959),(55 20073.875),(56 19894.016),(57 19385.363),(58 19173.639),(59 19168.508),(60 19407.463),(61 19493.414),(62 19323.662),(63 19136.453),(64 19183.748),(65 19340.04),(66 19392.86),(67 19379.088),(68 19709.732),(69 19779.246),(70 19444.037),(71 19399.336),(72 19583.68),(73 19424.78),(74 19277.281),(75 19090.285),(76 18971.137),(77 19010.213),(78 18996.787),(79 19053.123),
(1 5201.6406),(2 7885.066),(3 9177.269),(4 9677.865),(5 10800.224),(6 11407.532),(7 12789.5625),(8 13302.423),(9 13529.797),(10 13410.83),(11 14312.087),(12 15279.028),(13 15707.485),(14 16209.156),(15 17077.355),(16 18107.508),(17 18836.605),(18 18944.92),(19 19039.87),(20 19167.7),(21 19047.879),(22 18574.686),(23 18140.514),(24 17755.729),(25 17719.498),(26 17616.955),(27 17547.701),(28 17737.508),(29 17882.111),(30 18198.209),(31 18308.848),(32 17969.344),(33 18228.24),(34 18603.17),(35 19038.014),(36 18997.414),(37 19024.512),(38 19393.816),(39 20147.643),(40 20814.46),(41 21330.223),(42 21987.275),(43 22204.006),(44 21914.285),(45 21805.49),(46 21664.525),(47 21697.572),(48 21698.178),(49 21077.258),(50 20790.71),(51 20971.486),(52 20241.156),(53 19945.992),(54 19474.488),(55 19210.768),(56 18952.275),(57 18493.012),(58 17974.783),(59 17947.637),(60 17913.756),(61 17836.482),(62 17614.283),(63 17475.898),(64 17761.344),(65 17970.912),(66 17704.84),(67 17566.56),(68 17869.592),(69 17907.656),(70 17661.793),(71 17635.979),(72 18030.826),(73 18001.098),(74 18141.902),(75 18135.795),(76 18002.648),(77 17996.404),(78 17935.27),(79 18004.12),
(1 5400.0024),(2 8270.006),(3 9600.966),(4 10196.438),(5 11182.76),(6 11928.239),(7 13687.676),(8 14412.208),(9 14792.695),(10 14827.972),(11 15858.764),(12 17005.766),(13 17551.148),(14 18285.408),(15 19268.219),(16 20242.61),(17 20998.084),(18 21513.973),(19 21800.729),(20 21686.365),(21 21433.424),(22 20866.389),(23 20348.633),(24 19826.285),(25 19788.729),(26 19637.613),(27 20014.082),(28 20336.719),(29 20625.71),(30 20939.697),(31 21083.492),(32 20765.047),(33 21046.768),(34 21827.611),(35 22720.508),(36 22788.049),(37 23040.533),(38 23572.725),(39 24366.975),(40 25228.117),(41 26245.025),(42 27230.758),(43 27860.77),(44 27686.06),(45 27819.744),(46 27743.701),(47 27880.025),(48 27941.703),(49 27185.281),(50 26649.564),(51 26668.9),(52 25811.412),(53 25250.197),(54 24522.305),(55 23513.842),(56 22892.672),(57 22084.646),(58 21413.436),(59 20953.703),(60 20675.896),(61 20902.703),(62 20680.563),(63 20372.127),(64 20577.572),(65 20579.85),(66 20137.676),(67 19935.469),(68 20141.027),(69 20150.195),(70 20158.533),(71 20260.281),(72 20791.254),(73 20799.45),(74 20870.898),(75 20775.176),(76 21052.168),(77 21003.398),(78 20779.17),(79 21049.244),
(1 5219.284),(2 7951.277),(3 9171.699),(4 9878.22),(5 10889.939),(6 11523.909),(7 13124.506),(8 13737.051),(9 14127.603),(10 14284.098),(11 15233.611),(12 16309.84),(13 16964.049),(14 17773.723),(15 18786.129),(16 19650.67),(17 20050.5),(18 20349.006),(19 20673.201),(20 20706.287),(21 20659.42),(22 20178.453),(23 19573.008),(24 19142.473),(25 19068.96),(26 18724.613),(27 18912.709),(28 18991.32),(29 19372.05),(30 19738.262),(31 20118.047),(32 19701.395),(33 20128.268),(34 21182.648),(35 22217.63),(36 22356.277),(37 22745.49),(38 23443.893),(39 24298.531),(40 25030.328),(41 26007.152),(42 27045.271),(43 27543.273),(44 27681.99),(45 27920.55),(46 28043.887),(47 28228.973),(48 28368.512),(49 27921.766),(50 27504.611),(51 27534.408),(52 26659.605),(53 26062.684),(54 25282.771),(55 24438.498),(56 23736.984),(57 23004.898),(58 22334.74),(59 21661.479),(60 21065.71),(61 21180.791),(62 20669.146),(63 20203.355),(64 20125.979),(65 20083.58),(66 19795.695),(67 19607.717),(68 19618.682),(69 19619.762),(70 19683.229),(71 19916.654),(72 20561.383),(73 20651.146),(74 20677.586),(75 20726.309),(76 21076.56),(77 21017.85),(78 20898.406),(79 21294.762),
(1 5093.8325),(2 7665.6978),(3 8845.121),(4 9471.909),(5 10710.839),(6 11213.766),(7 12491.877),(8 12963.417),(9 13328.385),(10 13552.832),(11 14682.058),(12 15535.159),(13 15974.892),(14 16616.996),(15 17578.9),(16 18487.432),(17 18726.373),(18 18782.063),(19 19083.014),(20 19155.205),(21 19096.336),(22 18746.31),(23 18190.105),(24 17904.05),(25 17955.195),(26 17490.84),(27 17445.875),(28 17465.756),(29 17747.379),(30 18073.998),(31 18360.318),(32 17942.799),(33 18340.482),(34 19252.035),(35 20214.553),(36 20325.148),(37 20639.594),(38 21211.027),(39 21982.004),(40 22425.31),(41 23339.889),(42 24221.234),(43 24634.26),(44 24751.297),(45 25106.848),(46 25399.96),(47 25550.086),(48 25752.78),(49 25426.246),(50 25314.127),(51 25674.15),(52 25302.754),(53 24761.313),(54 24087.67),(55 23546.555),(56 23053.037),(57 22445.965),(58 21942.8),(59 21283.002),(60 20790.947),(61 20765.994),(62 20172.012),(63 19604.139),(64 19650.51),(65 19639.076),(66 19210.363),(67 19038.086),(68 19029.916),(69 19047.088),(70 18981.838),(71 19308.377),(72 19855.82),(73 19835.719),(74 19986.375),(75 20142.73),(76 20215.012),(77 20216.281),(78 20050.807),(79 20478.139),
(1 4924.186),(2 7463.5283),(3 8629.198),(4 9223.97),(5 10410.645),(6 11130.905),(7 12380.837),(8 12790.926),(9 13203.165),(10 13516.43),(11 14533.552),(12 15403.886),(13 15852.204),(14 16323.008),(15 17071.94),(16 17861.514),(17 18306.28),(18 18633.424),(19 19174.504),(20 19296.13),(21 18990.893),(22 18404.443),(23 17675.297),(24 17287.52),(25 17328.912),(26 16902.07),(27 16885.512),(28 16882.8),(29 16966.693),(30 17169.396),(31 17456.83),(32 17096.951),(33 17409.268),(34 18090.057),(35 18868.541),(36 18951.875),(37 19127.33),(38 19486.816),(39 20228.105),(40 20762.389),(41 21484.578),(42 22112.807),(43 22337.268),(44 22349.686),(45 22802.285),(46 23091.813),(47 23129.89),(48 23000.611),(49 22645.293),(50 22705.451),(51 22999.803),(52 22421.947),(53 22053.4),(54 21816.016),(55 21455.896),(56 20994.672),(57 20258.598),(58 20071.137),(59 19938.393),(60 19747.78),(61 19811.096),(62 19488.785),(63 19070.271),(64 19060.809),(65 19077.93),(66 18608.723),(67 18591.941),(68 18567.518),(69 18487.592),(70 18254.078),(71 18231.283),(72 18769.547),(73 18728.824),(74 18479.066),(75 18491.223),(76 18568.54),(77 18476.656),(78 18389.732),(79 18805.1),
(1 4836.8936),(2 7426.4565),(3 8546.4795),(4 9300.152),(5 10305.982),(6 11234.429),(7 12570.72),(8 13098.536),(9 13579.0625),(10 13885.392),(11 14902.641),(12 15917.57),(13 16334.873),(14 16871.938),(15 17624.564),(16 18346.047),(17 18583.854),(18 19144.16),(19 19757.684),(20 19914.598),(21 19477.873),(22 18710.582),(23 17964.703),(24 17544.693),(25 17395.662),(26 17211.002),(27 17296.834),(28 17361.492),(29 17440.398),(30 17567.91),(31 17726.498),(32 17721.244),(33 18029.738),(34 18571.398),(35 19169.99),(36 19261.186),(37 19462.855),(38 19867.514),(39 20401.318),(40 20967.883),(41 21567.305),(42 22266.307),(43 22680.033),(44 22682.305),(45 23011.988),(46 23243.875),(47 23121.563),(48 23007.107),(49 22579.662),(50 22369.14),(51 22413.893),(52 21523.8),(53 21080.549),(54 20734.93),(55 20365.703),(56 19982.36),(57 19424.71),(58 19348.613),(59 19115.621),(60 18998.828),(61 19309.773),(62 19153.352),(63 18980.74),(64 19006.242),(65 19134.25),(66 18744.066),(67 18774.83),(68 18898.768),(69 18595.38),(70 18217.453),(71 18062.568),(72 18418.633),(73 18537.57),(74 18149.982),(75 17958.146),(76 17875.451),(77 17723.418),(78 17549.479),(79 17985.441),
(1 4737.9805),(2 7202.102),(3 8288.824),(4 9033.093),(5 9954.014),(6 10752.608),(7 12111.955),(8 12502.957),(9 12956.315),(10 13235.738),(11 14212.344),(12 15183.021),(13 15723.782),(14 16339.246),(15 17079.592),(16 17859.623),(17 18147.338),(18 18476.293),(19 18856.773),(20 18946.715),(21 18666.586),(22 18069.494),(23 17572.979),(24 17278.818),(25 17318.586),(26 17202.39),(27 17105.664),(28 17091.322),(29 17622.56),(30 17924.6),(31 18324.354),(32 18063.78),(33 18401.38),(34 18921.44),(35 19441.215),(36 19540.172),(37 19716.607),(38 20349.424),(39 20862.213),(40 21396.973),(41 21981.266),(42 22687.938),(43 23098.16),(44 22946.705),(45 23111.926),(46 23381.473),(47 23184.848),(48 23056.646),(49 22570.814),(50 22235.35),(51 22072.844),(52 21128.479),(53 20786.611),(54 20340.232),(55 19754.463),(56 19264.395),(57 18662.074),(58 18424.1),(59 18100.182),(60 17629.844),(61 17675.143),(62 17761.967),(63 17866.482),(64 18024.736),(65 18251.607),(66 17945.229),(67 18061.291),(68 18180.207),(69 17806.16),(70 17667.521),(71 17738.074),(72 17921.617),(73 17874.63),(74 17709.66),(75 17604.871),(76 17528.807),(77 17430.287),(78 17227.836),(79 17535.049),
(1 4472.3965),(2 6781.178),(3 7812.1807),(4 8476.902),(5 9511.541),(6 10227.967),(7 11383.405),(8 11718.753),(9 12215.698),(10 12579.989),(11 13569.118),(12 14413.75),(13 14811.972),(14 15292.525),(15 16139.088),(16 16819.465),(17 17028.145),(18 17388.033),(19 17612.48),(20 17555.795),(21 17318.512),(22 16938.826),(23 16598.621),(24 16433.797),(25 16674.559),(26 16536.256),(27 16954.799),(28 16942.984),(29 17424.785),(30 17905.01),(31 18156.223),(32 18087.205),(33 18577.043),(34 19185.62),(35 19819.988),(36 19923.004),(37 20257.867),(38 20859.652),(39 21443.51),(40 21970.014),(41 22589.15),(42 23219.828),(43 23594.074),(44 23588.863),(45 23837.73),(46 24015.227),(47 24025.715),(48 23831.996),(49 23334.9),(50 22908.08),(51 22665.623),(52 21750.598),(53 21314.037),(54 20710.227),(55 19937.223),(56 19343.373),(57 18595.174),(58 18160.842),(59 17578.705),(60 16926.156),(61 16934.707),(62 16698.762),(63 16594.715),(64 16478.271),(65 16493.357),(66 16393.426),(67 16608.547),(68 16724.42),(69 16540.662),(70 16571.563),(71 16760.502),(72 17288.19),(73 17363.42),(74 17387.21),(75 17504.28),(76 17549.998),(77 17583.275),(78 17515.492),(79 17997.607),
(1 4436.525),(2 6728.8),(3 7594.875),(4 8479.441),(5 9362.318),(6 10176.309),(7 11239.072),(8 11591.596),(9 11933.441),(10 12209.859),(11 13249.954),(12 13911.671),(13 14285.592),(14 14702.12),(15 15435.394),(16 16144.365),(17 16349.629),(18 16725.094),(19 16966.697),(20 16784.172),(21 16590.035),(22 16212.46),(23 15780.1),(24 15696.369),(25 15840.43),(26 15580.136),(27 15855.185),(28 16009.224),(29 16346.883),(30 16749.162),(31 17166.041),(32 17168.354),(33 17552.559),(34 18260.926),(35 18657.008),(36 18883.62),(37 19179.232),(38 19708.53),(39 20273.809),(40 20881.8),(41 21379.584),(42 21927.898),(43 22291.082),(44 22347.934),(45 22709.58),(46 22828.322),(47 22609.129),(48 22607.404),(49 22247.477),(50 21941.58),(51 21860.537),(52 21029.793),(53 20614.66),(54 20165.441),(55 19431.68),(56 18853.873),(57 18138.436),(58 17737.738),(59 17156.674),(60 16467.09),(61 16468.402),(62 16073.95),(63 15722.449),(64 15630.227),(65 15692.17),(66 15497.861),(67 15482.391),(68 15420.445),(69 15440.635),(70 15532.9375),(71 15730.879),(72 16257.416),(73 16357.92),(74 16270.731),(75 16559.2),(76 16811.207),(77 16869.646),(78 17016.383),(79 17624.143),
(1 4210.458),(2 6286.981),(3 7138.2744),(4 7788.0503),(5 8495.901),(6 9264.183),(7 10214.708),(8 10646.357),(9 11085.533),(10 11394.102),(11 12064.634),(12 12482.902),(13 12828.026),(14 13304.809),(15 13753.185),(16 14104.91),(17 14211.942),(18 14658.904),(19 14894.808),(20 14783.798),(21 14671.214),(22 14272.241),(23 13913.692),(24 13749.579),(25 13770.339),(26 13468.549),(27 13487.016),(28 13587.345),(29 13763.292),(30 14019.13),(31 14251.571),(32 14174.266),(33 14378.501),(34 14893.499),(35 15386.274),(36 15569.273),(37 15654.749),(38 15904.336),(39 16421.656),(40 16773.287),(41 17250.988),(42 17663.89),(43 17945.32),(44 17914.861),(45 18310.83),(46 18478.424),(47 18367.4),(48 18229.61),(49 17981.846),(50 17701.416),(51 17778.09),(52 17291.303),(53 16998.992),(54 16692.76),(55 16394.613),(56 15966.817),(57 15546.263),(58 15242.478),(59 15071.336),(60 14667.989),(61 14706.224),(62 14474.1455),(63 14168.868),(64 14157.466),(65 14459.07),(66 14035.59),(67 13842.609),(68 13694.146),(69 13686.261),(70 13648.767),(71 13749.332),(72 14174.909),(73 14210.9),(74 14120.246),(75 14214.3545),(76 14346.293),(77 14614.319),(78 14707.807),(79 14971.137),
(1 4223.243),(2 6156.7266),(3 6962.3228),(4 7530.1396),(5 8329.931),(6 8911.571),(7 9886.925),(8 10299.401),(9 10811.185),(10 11204.153),(11 11868.677),(12 12316.894),(13 12499.324),(14 12878.792),(15 13479.541),(16 13870.312),(17 13819.907),(18 14024.939),(19 14132.338),(20 14093.204),(21 14049.736),(22 13910.739),(23 13733.205),(24 13464.541),(25 13174.675),(26 12804.669),(27 12674.344),(28 12702.311),(29 13021.927),(30 13112.155),(31 13230.529),(32 13242.022),(33 13405.301),(34 13809.504),(35 14148.999),(36 14492.116),(37 14549.02),(38 14812.946),(39 15145.365),(40 15552.074),(41 15989.56),(42 16433.643),(43 16607.49),(44 16705.568),(45 16991.51),(46 17090.018),(47 17006.34),(48 16899.742),(49 16742.938),(50 16432.29),(51 16456.627),(52 16015.819),(53 15755.2295),(54 15599.977),(55 15272.956),(56 14967.178),(57 14515.542),(58 14431.143),(59 14326.635),(60 14242.481),(61 14392.755),(62 14127.153),(63 13977.614),(64 14003.28),(65 14292.75),(66 14018.177),(67 14017.806),(68 13852.322),(69 13608.23),(70 13579.251),(71 13732.591),(72 13920.71),(73 13880.136),(74 13790.84),(75 13831.022),(76 13641.396),(77 13706.143),(78 13856.949),(79 13916.662),
(1 4132.5586),(2 6081.648),(3 6822.761),(4 7415.4053),(5 8244.584),(6 8670.17),(7 9455.935),(8 9734.679),(9 10070.268),(10 10462.403),(11 11122.11),(12 11524.177),(13 11651.168),(14 12034.685),(15 12629.739),(16 12964.849),(17 12933.101),(18 13030.547),(19 12941.786),(20 12913.834),(21 12884.975),(22 12786.608),(23 12571.584),(24 12403.956),(25 12372.834),(26 12184.301),(27 12127.445),(28 12345.708),(29 12533.07),(30 12667.164),(31 12633.94),(32 12616.711),(33 12877.236),(34 13135.653),(35 13553.842),(36 13796.435),(37 13862.935),(38 14072.285),(39 14337.155),(40 14788.481),(41 15184.249),(42 15470.608),(43 15697.473),(44 15824.108),(45 16082.144),(46 16181.987),(47 16054.306),(48 16028.686),(49 15779.159),(50 15430.228),(51 15295.89),(52 15097.367),(53 14771.404),(54 14541.506),(55 14121.581),(56 13907.357),(57 13473.738),(58 13393.153),(59 13245.894),(60 13111.408),(61 13264.231),(62 12971.428),(63 12841.507),(64 12928.758),(65 12973.43),(66 12812.483),(67 12739.741),(68 12611.461),(69 12664.227),(70 12770.682),(71 12860.404),(72 13106.759),(73 13139.084),(74 13068.432),(75 12994.134),(76 12881.942),(77 12997.581),(78 13115.445),(79 13222.715),
(1 3957.1272),(2 5726.611),(3 6505.4976),(4 6981.9497),(5 7576.166),(6 8155.2983),(7 8782.542),(8 8968.3955),(9 9228.898),(10 9442.748),(11 9885.558),(12 10234.941),(13 10393.706),(14 10822.129),(15 11354.02),(16 11587.874),(17 11451.825),(18 11566.709),(19 11492.488),(20 11441.55),(21 11403.554),(22 11327.357),(23 11169.431),(24 11038.828),(25 11057.411),(26 10909.794),(27 11158.098),(28 11544.667),(29 11733.941),(30 11720.441),(31 11848.762),(32 11890.343),(33 12153.206),(34 12599.466),(35 12938.037),(36 13071.665),(37 13251.421),(38 13401.166),(39 13764.323),(40 14186.739),(41 14536.285),(42 14697.502),(43 14902.334),(44 15125.8545),(45 15402.78),(46 15413.887),(47 15307.661),(48 15340.359),(49 15099.869),(50 14838.642),(51 14612.452),(52 14236.233),(53 13932.703),(54 13603.263),(55 13362.492),(56 13103.997),(57 12685.337),(58 12504.922),(59 12258.299),(60 12079.756),(61 12189.263),(62 11988.472),(63 11682.855),(64 11716.227),(65 11805.001),(66 11625.161),(67 11640.411),(68 11576.379),(69 11557.657),(70 11613.942),(71 11716.955),(72 12060.976),(73 12139.562),(74 12217.641),(75 12198.115),(76 12098.851),(77 12151.859),(78 12193.865),(79 12328.339),
(1 3880.8972),(2 5694.0854),(3 6313.9224),(4 6855.3696),(5 7497.6367),(6 8091.7974),(7 8765.131),(8 8870.942),(9 9143.42),(10 9324.17),(11 9749.446),(12 10346.515),(13 10536.519),(14 10953.832),(15 11306.178),(16 11487.999),(17 11491.626),(18 11539.678),(19 11556.396),(20 11385.925),(21 11394.55),(22 11215.012),(23 10981.632),(24 10777.261),(25 10646.737),(26 10449.424),(27 10590.266),(28 10778.841),(29 10923.949),(30 10929.301),(31 11017.956),(32 11109.003),(33 11569.546),(34 12115.238),(35 12364.212),(36 12489.408),(37 12691.244),(38 12919.202),(39 13333.788),(40 13765.41),(41 14152.553),(42 14415.429),(43 14681.244),(44 14873.865),(45 15207.544),(46 15357.414),(47 15374.45),(48 15587.42),(49 15405.089),(50 15145.216),(51 15051.535),(52 14569.57),(53 14393.867),(54 13921.49),(55 13506.443),(56 13221.089),(57 12821.728),(58 12567.208),(59 12278.046),(60 12167.914),(61 12453.178),(62 12248.405),(63 11795.291),(64 11668.159),(65 11794.097),(66 11496.998),(67 11414.531),(68 11438.896),(69 11293.884),(70 11189.714),(71 11299.792),(72 11647.386),(73 11661.626),(74 11577.289),(75 11761.315),(76 11720.153),(77 11768.194),(78 11815.175),(79 11917.063),
(1 3676.951),(2 5306.315),(3 5882.234),(4 6541.2676),(5 7019.196),(6 7599.102),(7 8219.796),(8 8346.909),(9 8585.105),(10 8753.7),(11 9165.706),(12 9673.658),(13 9777.844),(14 10149.806),(15 10562.772),(16 10804.641),(17 10900.384),(18 10965.127),(19 11179.4),(20 11170.853),(21 11074.464),(22 10879.524),(23 10667.788),(24 10537.179),(25 10356.824),(26 10178.294),(27 10248.081),(28 10452.957),(29 10507.742),(30 10456.697),(31 10502.179),(32 10457.384),(33 10718.091),(34 11109.825),(35 11388.829),(36 11368.69),(37 11505.748),(38 11756.417),(39 12144.587),(40 12470.075),(41 12845.619),(42 13092.778),(43 13379.7295),(44 13561.666),(45 13765.255),(46 13947.429),(47 14092.822),(48 14272.697),(49 14093.999),(50 13945.564),(51 13994.756),(52 13613.58),(53 13482.509),(54 13201.781),(55 12932.454),(56 12741.672),(57 12537.379),(58 12446.281),(59 12263.817),(60 12155.902),(61 12357.282),(62 12095.154),(63 11785.7705),(64 11682.378),(65 11638.425),(66 11379.005),(67 11374.687),(68 11357.848),(69 11300.546),(70 11221.928),(71 11320.743),(72 11621.486),(73 11514.564),(74 11248.182),(75 11416.426),(76 11348.378),(77 11279.059),(78 11346.974),(79 11364.947),
