1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 3760.903),(2 10252.837),(3 18265.775),(4 26605.783),(5 35069.277),(6 43074.668),(7 50431.438),(8 57717.836),(9 63843.45),(10 70024.8),(11 76594.54),(12 82566.16),(13 88149.266),(14 93109.9),(15 98302.03),(16 102036.44),(17 105475.805),(18 108347.44),(19 110864.53),(20 112663.24),(21 115698.58),(22 118859.37),(23 122575.49),(24 125980.92),(25 129207.96),(26 132257.77),(27 134989.45),(28 137654.48),(29 140221.58),(30 143506.61),(31 146364.55),(32 149584.69),(33 152341.16),(34 154412),(35 156274.4),(36 157635.36),(37 158614.06),(38 159235.28),(39 159948.88),(40 160366.84),(41 160851.89),(42 161390.66),(43 161593.78),(44 161998.63),(45 162100.45),(46 162384.73),(47 163165.66),(48 164516.64),(49 164864.9),(50 165390),(51 165899.98),(52 166410.16),(53 167504.1),(54 168694.16),(55 169959.81),(56 170903.47),(57 171550.61),(58 171702.2),(59 171882.28),(60 172129.28),(61 171345.33),(62 171287.92),(63 171106.69),(64 170838.58),(65 170679.31),(66 170336.42),(67 169825.88),(68 169316.52),(69 167990.92),(70 166734.22),(71 165383.48),(72 163899.98),(73 162770.11),(74 161518.55),(75 161038.72),(76 160106.66),(77 159325.67),(78 159107.89),(79 159237.63),
(1 3764.3079),(2 10218.578),(3 18381.732),(4 26613.035),(5 34273.645),(6 41432.45),(7 48031.4),(8 53978.727),(9 58622.79),(10 62926.16),(11 67600.7),(12 72010.89),(13 75977.78),(14 79152.27),(15 82774.79),(16 86229.27),(17 89659.01),(18 92578.664),(19 95541.21),(20 98072.83),(21 101264.766),(22 104143.44),(23 107795.86),(24 111018.55),(25 113757.72),(26 116386.68),(27 118812.22),(28 121113.61),(29 122849.45),(30 125048.44),(31 127158.04),(32 129727.55),(33 131635.95),(34 133910.55),(35 135641.08),(36 137491.9),(37 139965.84),(38 142065.05),(39 143446.92),(40 144435.23),(41 145644.38),(42 147145.27),(43 148766.47),(44 149851.08),(45 150631),(46 151725.08),(47 153009.86),(48 154752.7),(49 155856.77),(50 157198.34),(51 158446.25),(52 159861.36),(53 161251.44),(54 162251.39),(55 163330.67),(56 164423.23),(57 165098.25),(58 164927.25),(59 164286.2),(60 163536.86),(61 163140.25),(62 163321.77),(63 163603.64),(64 164204.28),(65 164744.98),(66 165335.14),(67 165726.81),(68 166379.7),(69 166427.08),(70 166454.05),(71 166285.16),(72 166175.11),(73 166287.78),(74 166860.83),(75 167587.56),(76 167942.19),(77 168135.45),(78 168751.44),(79 169603.16),
(1 3752.3806),(2 10130.344),(3 17840.6),(4 25730.516),(5 33665.34),(6 41075.5),(7 48022.152),(8 54435.08),(9 59586.203),(10 63994.96),(11 69070.83),(12 73959.07),(13 78235.16),(14 81584.39),(15 85043.414),(16 87699.49),(17 90232.42),(18 91976.336),(19 93768.234),(20 95005.64),(21 96644.37),(22 98711.64),(23 100749.19),(24 102524.195),(25 104281.664),(26 106070.51),(27 108237.53),(28 110016.695),(29 111598.78),(30 113741.78),(31 115920.51),(32 118263.125),(33 119927.555),(34 121690.11),(35 123099.19),(36 124484.125),(37 126149.484),(38 127204.484),(39 127780.74),(40 127881.11),(41 128619.33),(42 129783.42),(43 130922.21),(44 132548.6),(45 133844.58),(46 135738.03),(47 138148.88),(48 141176.73),(49 143570.64),(50 145794.06),(51 147801.9),(52 149974.34),(53 151636.2),(54 153311.53),(55 154773.1),(56 156211.75),(57 157755.88),(58 158959.45),(59 159897.17),(60 160748.45),(61 161947.27),(62 163561.83),(63 164923.05),(64 166639.06),(65 167811.03),(66 169115.02),(67 169648.67),(68 169138),(69 168272.95),(70 167962.75),(71 167452.69),(72 167196.16),(73 167150.95),(74 166869.17),(75 167092.36),(76 167222.31),(77 167704.94),(78 168228.72),(79 169170.9),
(1 3728.0027),(2 10053.68),(3 17842.564),(4 25805.309),(5 33626.336),(6 40948.387),(7 47436.027),(8 53288.973),(9 57972.64),(10 61946.887),(11 66561.38),(12 71089.9),(13 75075.65),(14 78633.86),(15 82092.41),(16 85124.65),(17 87915.11),(18 90443.47),(19 93321.695),(20 95657.81),(21 97983.11),(22 101294.195),(23 104799.82),(24 108286.375),(25 111950.03),(26 115296.08),(27 118738.18),(28 122081.984),(29 125070.31),(30 127817.03),(31 130128.67),(32 132530.83),(33 134500.75),(34 136534.33),(35 138000.11),(36 139079.34),(37 140026.67),(38 140771.28),(39 141646.86),(40 141818.61),(41 142051.94),(42 142959.44),(43 143658.42),(44 144530.22),(45 144812.66),(46 144823.25),(47 144682.72),(48 144498.8),(49 144525.61),(50 144869.17),(51 145316.11),(52 146431.02),(53 147733.61),(54 150187.97),(55 152619.89),(56 154672.89),(57 156457.53),(58 157263.66),(59 157915.97),(60 158292.89),(61 158375.67),(62 158704.45),(63 158610.08),(64 158579.19),(65 157879.72),(66 157185.94),(67 156334.06),(68 155619.03),(69 154515.72),(70 153758.36),(71 152691.44),(72 152013.58),(73 151960.06),(74 151979.47),(75 151715.58),(76 151521.86),(77 151156.78),(78 150449.56),(79 150518.47),
(1 3841.4133),(2 10556.478),(3 18736.686),(4 27112.553),(5 35456.555),(6 43337.055),(7 50822.848),(8 57433.87),(9 62593.273),(10 66919),(11 71257.49),(12 75236.984),(13 78643.45),(14 81300.76),(15 84275.14),(16 87174.77),(17 89816.016),(18 92262.195),(19 94743.31),(20 96428.73),(21 98372.805),(22 100491.57),(23 102728.414),(24 104918.68),(25 107946.75),(26 110820.54),(27 114050.54),(28 117479.22),(29 120919.25),(30 123584.62),(31 126031.93),(32 128297.16),(33 130575.01),(34 131994.63),(35 132819.1),(36 133521.25),(37 133533.16),(38 133739.17),(39 133500.66),(40 132921.17),(41 132219.22),(42 131936.14),(43 131951.25),(44 132277.36),(45 132231),(46 132511.44),(47 133162.58),(48 134106.31),(49 135106.97),(50 136446.44),(51 137478.3),(52 139348.6),(53 141184.05),(54 143282.61),(55 145214.67),(56 147036.86),(57 149325.14),(58 151054.88),(59 152063.97),(60 153165.75),(61 153311.86),(62 153805.06),(63 153936.36),(64 153708.97),(65 154171.34),(66 154820.88),(67 155100.88),(68 155435.19),(69 155457.17),(70 155572.14),(71 155498.1),(72 155737.39),(73 155925.8),(74 156454.33),(75 157209.52),(76 157796.08),(77 158105.6),(78 158345.94),(79 158187.81),
(1 3870.957),(2 10580.697),(3 18961.02),(4 27246.71),(5 35518.035),(6 43265.617),(7 50495.637),(8 56633.383),(9 61523.92),(10 65456.457),(11 69574.95),(12 73316.04),(13 76511.71),(14 78913.99),(15 81127.484),(16 83401.68),(17 85968.59),(18 88038.82),(19 89630.73),(20 91305.664),(21 93568.97),(22 96472.63),(23 99468.7),(24 102633.99),(25 105580.34),(26 107965.6),(27 109618.445),(28 111141.51),(29 112442.49),(30 113760.08),(31 115075.19),(32 116490.42),(33 117990.12),(34 119102.89),(35 119423.96),(36 119881.02),(37 120107.6),(38 120496.625),(39 120572.02),(40 120347.53),(41 119761.47),(42 119491.805),(43 119911.664),(44 120573.41),(45 121119.195),(46 122411.14),(47 123438.83),(48 125758.88),(49 127648.93),(50 129872.85),(51 131578.73),(52 133281.45),(53 135698.5),(54 137988.97),(55 140252.69),(56 142324.17),(57 144439.9),(58 146183.52),(59 147486.7),(60 148267.25),(61 149090.06),(62 150371.64),(63 151277.11),(64 152306.13),(65 153158.31),(66 154382.94),(67 155057),(68 155844.84),(69 156332.94),(70 156494.45),(71 156166.61),(72 156086.81),(73 155947.83),(74 155267.5),(75 154474.72),(76 153305.55),(77 152427.42),(78 151312.58),(79 150214.84),
(1 3898.3628),(2 10631.7705),(3 18885.17),(4 27567.893),(5 36208.367),(6 44289.844),(7 51505.563),(8 57416.246),(9 62144.633),(10 65831.68),(11 69670.52),(12 72915.11),(13 75373),(14 77220.99),(15 78826.78),(16 80562.65),(17 82091.25),(18 82985.82),(19 83608.14),(20 84660.2),(21 85912.22),(22 87676),(23 89349.32),(24 90928.97),(25 92443.086),(26 94300.43),(27 96151.23),(28 97937.05),(29 100059.28),(30 102102.31),(31 103990.96),(32 105957.46),(33 108188.2),(34 110531.95),(35 111791.06),(36 112748.68),(37 113160.21),(38 113743.69),(39 114101.31),(40 113760.28),(41 113447.67),(42 113865.01),(43 114691.76),(44 115960.44),(45 117434.984),(46 119242.15),(47 121611.36),(48 123845.055),(49 125764.055),(50 127885.664),(51 129671.62),(52 131830.17),(53 133976.19),(54 135514.19),(55 136605.03),(56 137377.27),(57 138105.28),(58 138905.23),(59 139087.61),(60 139784.39),(61 140402.7),(62 141031.14),(63 141514.4),(64 142106.02),(65 142140.39),(66 142435.78),(67 142285.55),(68 142354.39),(69 142406.81),(70 142408.19),(71 142384.36),(72 142261.94),(73 142431.53),(74 141989.66),(75 142652.67),(76 143313.72),(77 143701.33),(78 143951),(79 143989.17),
(1 3837.389),(2 10181.927),(3 17760.443),(4 25532.93),(5 33145.242),(6 40104.516),(7 46308.22),(8 51822.117),(9 56022.402),(10 59692.176),(11 63805.7),(12 67360.97),(13 70367.69),(14 72759.914),(15 74924.34),(16 77398.164),(17 79554.05),(18 81447.07),(19 82798.41),(20 84150.484),(21 85965.98),(22 87887.33),(23 89586.56),(24 91155.37),(25 92290.12),(26 93561.48),(27 94818.3),(28 96726.914),(29 98629.3),(30 100520.12),(31 102588.9),(32 104994.93),(33 107016.94),(34 109225.15),(35 111162.26),(36 113034.65),(37 114488.945),(38 115942.9),(39 117221.42),(40 118415.81),(41 119525.44),(42 120377.2),(43 121250.26),(44 121989.984),(45 122634.734),(46 123989.625),(47 125348.37),(48 126959.6),(49 128300.74),(50 129150.65),(51 129855.58),(52 131026.85),(53 131518.23),(54 132254.4),(55 132336.95),(56 132112.34),(57 131693.34),(58 130401.48),(59 129449.516),(60 129016.93),(61 128042.8),(62 127568.34),(63 126965.52),(64 127369.164),(65 127730.41),(66 128914.19),(67 130349.516),(68 131975.1),(69 133498.44),(70 135146.25),(71 136511.13),(72 137769),(73 139240.69),(74 139539.44),(75 140020.7),(76 140738.9),(77 141926.3),(78 142345.9),(79 142846.3),
(1 3621.9932),(2 9671.978),(3 17080.346),(4 24722.031),(5 32261.957),(6 39162.004),(7 45535.742),(8 51580.37),(9 56445.527),(10 60395.645),(11 64618.47),(12 68701.12),(13 72260.94),(14 74571.766),(15 76465.54),(16 78341.01),(17 79908.83),(18 81643.95),(19 83508.33),(20 85207.96),(21 86963.17),(22 89313.1),(23 91914.06),(24 95020.42),(25 97851.75),(26 100349.42),(27 103103.34),(28 105718),(29 108277),(30 110681.945),(31 112476.74),(32 114762.016),(33 116798.95),(34 118778.414),(35 120414.75),(36 121865.2),(37 123173.086),(38 123884.18),(39 124069.24),(40 124129.99),(41 123888.3),(42 123698.28),(43 123539.195),(44 123474.32),(45 123480.305),(46 123885.555),(47 124929.945),(48 126182.9),(49 127305.44),(50 128252.86),(51 129141.46),(52 130380.14),(53 131279.08),(54 132012.69),(55 132831.5),(56 133502.28),(57 133971.6),(58 134552.27),(59 134893.19),(60 135432.33),(61 135646.3),(62 136023.47),(63 136192.88),(64 136758.33),(65 137480.92),(66 138457.45),(67 139410.72),(68 140972.83),(69 142169.22),(70 143328.61),(71 143744.52),(72 144186.78),(73 144520.88),(74 145146.89),(75 145465.73),(76 145714.08),(77 146078.16),(78 146716.52),(79 147272.7),
(1 3420.9963),(2 9093.898),(3 15911.262),(4 22601.023),(5 28916.238),(6 34630.004),(7 39711.953),(8 44202.86),(9 47568.203),(10 50036.2),(11 52649.832),(12 55663.51),(13 58617.68),(14 61002.805),(15 63562.12),(16 66072.76),(17 68392.516),(18 71015.36),(19 73532.375),(20 75813.39),(21 77969.81),(22 80746.02),(23 83364.805),(24 86313.45),(25 88760.44),(26 91662.07),(27 94713.09),(28 97464.14),(29 99545.51),(30 101684.92),(31 103828.94),(32 106525.516),(33 108658.01),(34 110475.82),(35 111913.52),(36 113326.72),(37 114672.87),(38 116142.17),(39 116546.92),(40 116397.81),(41 116668.75),(42 117062.414),(43 117904.69),(44 119173.13),(45 120582.445),(46 121718.945),(47 122853.984),(48 123598.76),(49 123733.44),(50 124121.77),(51 123805.52),(52 123725.14),(53 123335.93),(54 123222.375),(55 123421.86),(56 123593.25),(57 123846.96),(58 124275.84),(59 124449.734),(60 124761.86),(61 125502.47),(62 125939.414),(63 126200.16),(64 126662.38),(65 127021.13),(66 127243.71),(67 127139.42),(68 127336.55),(69 127329.15),(70 127483.555),(71 127621.375),(72 127854.64),(73 128277.414),(74 129370.08),(75 130594.24),(76 132077.6),(77 132987.16),(78 134009.28),(79 134756.6),
(1 3567.3247),(2 9425.337),(3 16188.757),(4 22956.5),(5 29298.846),(6 35111.395),(7 40284.6),(8 44839.254),(9 48707.883),(10 51980.766),(11 55280.797),(12 58453.855),(13 61119.53),(14 63249.047),(15 65466.805),(16 67701.71),(17 69895.47),(18 72468.86),(19 74585.72),(20 76609.76),(21 78933.04),(22 81445.04),(23 84059.4),(24 86974.49),(25 89324.164),(26 91907.945),(27 94714.86),(28 97879.336),(29 100245.21),(30 102673.63),(31 105091.81),(32 107621.11),(33 109900.04),(34 111566.19),(35 112878.22),(36 114016.87),(37 114350.805),(38 114566.72),(39 114026.555),(40 113516.44),(41 113008.72),(42 112723.055),(43 112835.28),(44 113396.2),(45 113615.74),(46 114395.016),(47 115019),(48 115940.555),(49 116142.445),(50 116525.82),(51 116750.35),(52 117377.21),(53 118039.7),(54 118599.76),(55 119254.14),(56 119948.3),(57 120868.6),(58 122320.266),(59 123449.055),(60 124819.984),(61 126134.914),(62 127224.39),(63 128271.09),(64 129071.695),(65 129461.414),(66 130124.89),(67 130757.5),(68 131447.17),(69 132232.27),(70 133436.27),(71 134250.78),(72 134399.11),(73 134676.75),(74 135028.81),(75 135052.1),(76 134849.23),(77 135019.4),(78 135185.3),(79 135461.1),
(1 3555.579),(2 9443.275),(3 16518.672),(4 23690.236),(5 30716.746),(6 37384.195),(7 43084.773),(8 48115.28),(9 52341.58),(10 55934.195),(11 59881.43),(12 63817.758),(13 67173.85),(14 69973.03),(15 72218.016),(16 74474.21),(17 77009.19),(18 79673.75),(19 82069.66),(20 84302.02),(21 86682.98),(22 89515.234),(23 92168.46),(24 94958.05),(25 97445),(26 100004.62),(27 102488.16),(28 104891.945),(29 106785.52),(30 108415.67),(31 110474.234),(32 112749.266),(33 114691.83),(34 116281.4),(35 117255.516),(36 118223.37),(37 118894.734),(38 119481.12),(39 119474.94),(40 118735.41),(41 118436.89),(42 118425.97),(43 119126.055),(44 119464.49),(45 119544.34),(46 119599.984),(47 119709.32),(48 119538.19),(49 119278.77),(50 119126.6),(51 119255.414),(52 119851.32),(53 121309.055),(54 122293.86),(55 123123.79),(56 123340.05),(57 123399.11),(58 124179.484),(59 124673.8),(60 125335.58),(61 126295.03),(62 127570.75),(63 128297.87),(64 128759.805),(65 129547.13),(66 130596.37),(67 131372.67),(68 132681.16),(69 133542.72),(70 134679.19),(71 135500.69),(72 135704.47),(73 136354.95),(74 136650.5),(75 136905.72),(76 136616.81),(77 137110.05),(78 137464.36),(79 137794.3),
(1 3632.4233),(2 9729.113),(3 17068.195),(4 24510.576),(5 32035.936),(6 38547.32),(7 44041.992),(8 48778.625),(9 52032.016),(10 54594.586),(11 57575.73),(12 60586.406),(13 62971.08),(14 65172.33),(15 67362.08),(16 69574.49),(17 72121.48),(18 74987.55),(19 77924.86),(20 80522.17),(21 84136.85),(22 87749.305),(23 91167.12),(24 94424.336),(25 96890.56),(26 98852.12),(27 100519.85),(28 102279.79),(29 103682.85),(30 104740.47),(31 105535.92),(32 106588.15),(33 107352.35),(34 108173.1),(35 108677.11),(36 109301.59),(37 109853.195),(38 110129.625),(39 109909.92),(40 109146.6),(41 109154.47),(42 109033.06),(43 108823.47),(44 108209.625),(45 107510.71),(46 107210.73),(47 107333.88),(48 107250.83),(49 107033.11),(50 106918.67),(51 107024.86),(52 107462.16),(53 108492.44),(54 109083.766),(55 109221.766),(56 109180.695),(57 108979.664),(58 109290.42),(59 109537.63),(60 109904.7),(61 110342.13),(62 111174.49),(63 111760.58),(64 112429.69),(65 113108),(66 114126.55),(67 115325.32),(68 116869.05),(69 117515.234),(70 118395.65),(71 118912.85),(72 119248.125),(73 120285.664),(74 121110.04),(75 122007.484),(76 122774.47),(77 124012.21),(78 125412.25),(79 126689.02),
(1 3617.8286),(2 9876.941),(3 17431.549),(4 24974.588),(5 32040.764),(6 38346.52),(7 43737.906),(8 48252.598),(9 51494.46),(10 54045.42),(11 57124.824),(12 60310.867),(13 63265.688),(14 66176.74),(15 68978.66),(16 71623.7),(17 74397.67),(18 76539.234),(19 78487.23),(20 80044.56),(21 82004.234),(22 83935.03),(23 85318.836),(24 86212.88),(25 87298.664),(26 88350.695),(27 89039.99),(28 89527.72),(29 89924.375),(30 90722.49),(31 91998.48),(32 93731.586),(33 95298.91),(34 96551.89),(35 97505.42),(36 98279.305),(37 99010.414),(38 99719.516),(39 100013.18),(40 99947.6),(41 100595.266),(42 101570.04),(43 102495.92),(44 103276.24),(45 103926.25),(46 104775.3),(47 105623.51),(48 106443.586),(49 107152.55),(50 107709.43),(51 108241.25),(52 109244.14),(53 110336.01),(54 111055.59),(55 111516),(56 111972.85),(57 112118.49),(58 112553.56),(59 113109.91),(60 114348.61),(61 115598.85),(62 116692.664),(63 117931.43),(64 119088.766),(65 119731.41),(66 119918.336),(67 120284.664),(68 121124.56),(69 121865.1),(70 122392.84),(71 123125.26),(72 124226.195),(73 125805.8),(74 127178.65),(75 127936.13),(76 128279.305),(77 128594.84),(78 128916.33),(79 129305.6),
(1 3565.108),(2 9394.498),(3 16104.911),(4 22728.268),(5 29251.47),(6 34811.234),(7 39689.68),(8 43970.82),(9 47253.207),(10 49911.734),(11 52767.88),(12 55581.19),(13 58064.145),(14 60297.44),(15 62572.203),(16 64532.723),(17 66458.01),(18 68068.516),(19 69485.055),(20 70700.49),(21 72694.625),(22 74799.41),(23 76782.3),(24 78286.016),(25 79743.74),(26 81124.51),(27 82888.9),(28 84495.25),(29 86269.43),(30 87951.305),(31 90082.734),(32 92453.77),(33 94794.055),(34 96884.805),(35 98402.97),(36 99736.5),(37 100894.68),(38 102281),(39 103290.57),(40 103773.555),(41 104559.37),(42 105556.1),(43 106534.13),(44 107336.625),(45 107814.51),(46 108097.3),(47 108491.14),(48 108962.36),(49 108972.484),(50 109206.42),(51 109652.16),(52 110416.68),(53 111612.86),(54 112394.88),(55 113177.87),(56 113505.25),(57 113588.28),(58 113725.984),(59 113668.766),(60 113888.61),(61 114520.5),(62 115689.73),(63 117288.72),(64 118787.37),(65 119860.6),(66 120815.53),(67 121714.93),(68 122380.47),(69 122964.74),(70 123604.945),(71 124008.58),(72 124108.414),(73 124597.09),(74 124459.33),(75 124664.57),(76 124414.72),(77 124093.97),(78 123945.49),(79 124198.61),
(1 3510.799),(2 9322.738),(3 16137.283),(4 22740.844),(5 28903.914),(6 34325.137),(7 39008.54),(8 42614.043),(9 45456.21),(10 47535.254),(11 50414.06),(12 53270.258),(13 55803.633),(14 58158.098),(15 60684.48),(16 63069.957),(17 65492.918),(18 67312.96),(19 68906.74),(20 70162.69),(21 72160.84),(22 74447.2),(23 76471.35),(24 77755.32),(25 79056.555),(26 80682.04),(27 82008.38),(28 83157.88),(29 84440.23),(30 86010.445),(31 87748.1),(32 89781.305),(33 91447.82),(34 92659.26),(35 93551.95),(36 94153.98),(37 94657.28),(38 95360.8),(39 96114.31),(40 96667.04),(41 97674.7),(42 99256.336),(43 100686.69),(44 101844.42),(45 102513.95),(46 102836.12),(47 102953.11),(48 103096.766),(49 103175.99),(50 103152.57),(51 103301.24),(52 104027.57),(53 104745.836),(54 105280.69),(55 105859.59),(56 105986.71),(57 106208.99),(58 106276.57),(59 106493.39),(60 106898.195),(61 107994.664),(62 109289.23),(63 111334.33),(64 112754.164),(65 113956.9),(66 115284.6),(67 116416.96),(68 117205.836),(69 118069.75),(70 119029.836),(71 120110.59),(72 121411.15),(73 122284.52),(74 122656.68),(75 122987.06),(76 122609.43),(77 122080.234),(78 121621.92),(79 121229.414),
(1 3347.523),(2 8968.892),(3 15709.887),(4 22438.727),(5 28535.201),(6 33692.355),(7 38114.965),(8 41932.03),(9 45025.766),(10 47154.176),(11 49751.902),(12 52358.742),(13 54799.773),(14 57090.07),(15 59628.418),(16 61986.676),(17 64180.227),(18 65780.5),(19 67039.53),(20 67937.93),(21 69354.055),(22 71169.97),(23 72786.1),(24 74213.54),(25 75304.266),(26 76166.86),(27 76885.055),(28 77300.234),(29 77677.98),(30 78102.77),(31 78699.01),(32 79803.625),(33 80865.13),(34 81416.8),(35 81811.01),(36 82044.21),(37 82508.69),(38 83349.04),(39 84108.02),(40 84743.58),(41 85847.14),(42 87478.055),(43 89130.086),(44 90894.75),(45 91891.734),(46 92684.68),(47 93543.43),(48 94531.89),(49 95684.81),(50 97121.89),(51 98810.34),(52 100664.19),(53 102497.75),(54 103980.6),(55 104954),(56 105494.6),(57 106091.64),(58 106556.16),(59 106940.44),(60 107590.26),(61 108564.266),(62 110025.83),(63 111063.85),(64 111895.984),(65 112464.805),(66 113483.42),(67 114443.06),(68 115609.15),(69 116220.21),(70 116279.21),(71 116448.01),(72 116615.55),(73 116785.72),(74 116494),(75 116253.77),(76 116278.125),(77 116592.52),(78 117097.734),(79 117309.74),
(1 3370.665),(2 9003.234),(3 15878.403),(4 22579.332),(5 28706.525),(6 34158.05),(7 38801.1),(8 42790.527),(9 45618.55),(10 47594.58),(11 50206.848),(12 52987.82),(13 56020.125),(14 58839.79),(15 61536.74),(16 64239.36),(17 66470.64),(18 68574.93),(19 69991.83),(20 71183.62),(21 72674.87),(22 74405.78),(23 75986.62),(24 77127.58),(25 78253.836),(26 79411.92),(27 80064.016),(28 80641.305),(29 81123.37),(30 81847.47),(31 82745.04),(32 83982.414),(33 85025.08),(34 85617.78),(35 85891.63),(36 86103.54),(37 86742.12),(38 87647.41),(39 88645.39),(40 89236.99),(41 89928.41),(42 91188.414),(43 92680.32),(44 93851.9),(45 94614.484),(46 95168.33),(47 95771.27),(48 96347.3),(49 97214.87),(50 98422.65),(51 99771.74),(52 100950.32),(53 102218.65),(54 103657.2),(55 104889.32),(56 105728.43),(57 106239.95),(58 106573.73),(59 106508.53),(60 106466.67),(61 106426.22),(62 107127.97),(63 107892.6),(64 108718.37),(65 109396.1),(66 110116.47),(67 110873.25),(68 111785.41),(69 112418.17),(70 112917.35),(71 113463.92),(72 114071.93),(73 114690.91),(74 114746.86),(75 114736.734),(76 114905.27),(77 114886.22),(78 115168.414),(79 114766.625),
(1 3300.3396),(2 8647.677),(3 15030.808),(4 21044.074),(5 26579.688),(6 31612.322),(7 35877.86),(8 39631.516),(9 42395.406),(10 44799.523),(11 47870.043),(12 50953.992),(13 53915.164),(14 56308.07),(15 58603.83),(16 60416.07),(17 62169.656),(18 64089.766),(19 65447.965),(20 66556.016),(21 68108.695),(22 70037.85),(23 71852.86),(24 73487.78),(25 74708.2),(26 75910.66),(27 76530.67),(28 77350.25),(29 78043.71),(30 79007.6),(31 79977.01),(32 81073.57),(33 81915.516),(34 82799.81),(35 83531.59),(36 84624.36),(37 86011.18),(38 87472.98),(39 89086.43),(40 90029.22),(41 91128.19),(42 92553.016),(43 93781.02),(44 94499.96),(45 95022.17),(46 95186.87),(47 95616.66),(48 95758.78),(49 96290.73),(50 97054.484),(51 98108.28),(52 99604.46),(53 101154.78),(54 102764.54),(55 104270.04),(56 105451.875),(57 106572.234),(58 107235.73),(59 108013.63),(60 108808.31),(61 109588.47),(62 111002.945),(63 112495.96),(64 114114.164),(65 115284.69),(66 116429.85),(67 117342.3),(68 118446.97),(69 118996.41),(70 119662.28),(71 119805.82),(72 119848.47),(73 120371.945),(74 121189.375),(75 121559.21),(76 122318.984),(77 123322.52),(78 124350.9),(79 125362.82),
