1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 40541.43),(2 79028.305),(3 111974.875),(4 207073.06),(5 303026.72),(6 383225.34),(7 516357.97),(8 637230.44),(9 728945.06),(10 863103.25),(11 1021493.3),(12 1130422.9),(13 1337951.6),(14 1490542),(15 1609596.6),(16 1800601.4),(17 1942035.6),(18 2064115.6),(19 2227088.5),(20 2378130.3),(21 2490587),(22 2657334.3),(23 2799652.3),(24 2924288.3),(25 3085227),(26 3223052),(27 3317001.8),(28 3479988.8),(29 3597579),(30 3687877.3),(31 3836632),(32 3963947.3),(33 4072899),(34 4225387.5),(35 4351567.5),(36 4462377.5),(37 4592670.5),(38 4714066.5),(39 4832484.5),(40 4987519.5),(41 5108956),(42 5235688.5),(43 5391206.5),(44 5522242),(45 5621238.5),(46 5775862),(47 5908230.5),(48 6028531.5),(49 6184022),(50 6332709.5),(51 6480959.5),(52 6643012),(53 6805119.5),(54 6941062.5),(55 7099935.5),(56 7255968.5),(57 7368388),(58 7531541.5),(59 7667622.5),(60 7764635.5),(61 7885604.5),(62 8021798),(63 8131711.5),(64 8281392),(65 8429558),(66 8543589),(67 8666395),(68 8821697),(69 8899348),(70 9026153),(71 9149045),(72 9242626),(73 9367316),(74 9472272),(75 9556659),(76 9678510),(77 9770683),(78 9822895),(79 9909703),
(1 38748.78),(2 74921.27),(3 101675.1),(4 189731.97),(5 273725.34),(6 335254.34),(7 459879),(8 572839.4),(9 658733.2),(10 807339),(11 984011.1),(12 1077161.9),(13 1249076.5),(14 1385462.8),(15 1474603.4),(16 1647665.6),(17 1785363.3),(18 1877577.4),(19 2048286.8),(20 2189737.5),(21 2290347.8),(22 2460847.5),(23 2598477.5),(24 2701452.8),(25 2887314.5),(26 3035194),(27 3134673.3),(28 3348523.5),(29 3501049.5),(30 3597244.8),(31 3785881.3),(32 3910434.8),(33 3998053.3),(34 4163119.3),(35 4289704),(36 4381217),(37 4541846.5),(38 4649030.5),(39 4732789),(40 4884926.5),(41 5000733.5),(42 5098203),(43 5253103.5),(44 5375295),(45 5473341),(46 5632963),(47 5767570.5),(48 5869105),(49 6025448),(50 6148375.5),(51 6266769),(52 6421649),(53 6547477.5),(54 6648946.5),(55 6797165),(56 6914272),(57 6992941.5),(58 7134712),(59 7245418.5),(60 7326011),(61 7468445),(62 7589447),(63 7689717.5),(64 7846192),(65 7987353.5),(66 8078169.5),(67 8229981),(68 8335917.5),(69 8388879),(70 8499968),(71 8569810),(72 8602363),(73 8708033),(74 8779032),(75 8818543),(76 8946430),(77 9063885),(78 9110278),(79 9248037),
(1 27440.719),(2 60833.918),(3 92547.26),(4 163949.3),(5 239079.89),(6 304171.56),(7 407235.66),(8 504468.25),(9 584678.75),(10 700671.3),(11 854601.5),(12 944122.7),(13 1088964.4),(14 1214627.9),(15 1325667.1),(16 1482691.6),(17 1641032),(18 1777240.6),(19 1942812.4),(20 2105096),(21 2256155.3),(22 2432835.3),(23 2614153.8),(24 2786921),(25 3002175.3),(26 3208570),(27 3404037),(28 3644945),(29 3870758),(30 4090455),(31 4349091.5),(32 4598815),(33 4841304.5),(34 5089005.5),(35 5339633),(36 5582402.5),(37 5853413.5),(38 6090594.5),(39 6326124),(40 6582681.5),(41 6818776),(42 7059614.5),(43 7316496),(44 7540978.5),(45 7748449.5),(46 7975046.5),(47 8178694.5),(48 8368299.5),(49 8583146),(50 8762167),(51 8961892),(52 9181091),(53 9395725),(54 9618158),(55 9878229),(56 10108804),(57 10360645),(58 10654439),(59 10929714),(60 11203303),(61 11512744),(62 11806061),(63 12099873),(64 12403060),(65 12721772),(66 13015504),(67 13354715),(68 13691848),(69 14011100),(70 14374861),(71 14715437),(72 15059341),(73 15439748),(74 15772919),(75 16086128),(76 16436116),(77 16777224),(78 17060814),(79 17373234),
(1 20338.174),(2 59410.688),(3 114132.445),(4 197766.25),(5 300777.34),(6 414239.66),(7 554590.75),(8 708431.75),(9 869697.56),(10 1047319.7),(11 1278846.8),(12 1484678.9),(13 1710220),(14 1945582.6),(15 2185208.5),(16 2448391.5),(17 2726977.3),(18 3010743),(19 3312713),(20 3630399.5),(21 3950397.8),(22 4280410.5),(23 4629172.5),(24 4972211.5),(25 5332104),(26 5690259.5),(27 6059501.5),(28 6436671),(29 6818753.5),(30 7205030),(31 7606554.5),(32 8004384),(33 8404566),(34 8824801),(35 9257463),(36 9683261),(37 10114980),(38 10547509),(39 10965714),(40 11387252),(41 11803559),(42 12206965),(43 12613243),(44 13006252),(45 13391915),(46 13775609),(47 14168799),(48 14538784),(49 14914868),(50 15291360),(51 15654597),(52 15993164),(53 16342196),(54 16661419),(55 16957604),(56 17223992),(57 17484358),(58 17703232),(59 17910554),(60 18089196),(61 18240672),(62 18402994),(63 18544546),(64 18654720),(65 18781724),(66 18899772),(67 18999470),(68 19095518),(69 19163288),(70 19205358),(71 19240886),(72 19230744),(73 19210062),(74 19181212),(75 19140780),(76 19090878),(77 19055460),(78 18987450),(79 18910600),
(1 23468.633),(2 72432.96),(3 141697.48),(4 243928.73),(5 367991.7),(6 506814.1),(7 677132.8),(8 867015.4),(9 1070526.1),(10 1303765.9),(11 1582889.5),(12 1850571.3),(13 2159413.3),(14 2470452.3),(15 2789174.3),(16 3132724.3),(17 3494750.5),(18 3855057.5),(19 4243185.5),(20 4646272.5),(21 5052125),(22 5481170),(23 5932464),(24 6382179),(25 6857897.5),(26 7340872.5),(27 7824673.5),(28 8338833.5),(29 8850387),(30 9361320),(31 9891437),(32 10417803),(33 10928129),(34 11474193),(35 12021489),(36 12552913),(37 13087313),(38 13626777),(39 14122995),(40 14616512),(41 15077697),(42 15509305),(43 15924633),(44 16313900),(45 16681353),(46 17037494),(47 17376778),(48 17678280),(49 17979930),(50 18281176),(51 18560914),(52 18813152),(53 19057688),(54 19275068),(55 19478754),(56 19655820),(57 19802792),(58 19909672),(59 19988296),(60 20054322),(61 20091042),(62 20147176),(63 20171750),(64 20187928),(65 20224876),(66 20247430),(67 20262228),(68 20263890),(69 20262136),(70 20246240),(71 20226476),(72 20178126),(73 20090234),(74 20007304),(75 19892584),(76 19738360),(77 19574668),(78 19377652),(79 19171354),
(1 22463.146),(2 72533.375),(3 149471.4),(4 259101.5),(5 393479.9),(6 547039.9),(7 724261),(8 917078.8),(9 1121259),(10 1341778),(11 1617644.8),(12 1872485.3),(13 2148550.5),(14 2418100.8),(15 2701115.8),(16 2992363.5),(17 3281464.5),(18 3585946.5),(19 3900105.5),(20 4208769.5),(21 4532085.5),(22 4861182.5),(23 5176172),(24 5497333.5),(25 5821134.5),(26 6126088.5),(27 6439914.5),(28 6753350.5),(29 7027936),(30 7314194.5),(31 7582789),(32 7826886.5),(33 8068711),(34 8299169.5),(35 8506902),(36 8709982),(37 8915690),(38 9094799),(39 9271554),(40 9441779),(41 9577965),(42 9722992),(43 9857105),(44 9956971),(45 10083464),(46 10208774),(47 10293502),(48 10386466),(49 10485508),(50 10544324),(51 10615753),(52 10696136),(53 10749110),(54 10824504),(55 10921121),(56 10981238),(57 11069686),(58 11164646),(59 11238966),(60 11346318),(61 11465341),(62 11569646),(63 11678316),(64 11783325),(65 11884486),(66 11975810),(67 12077912),(68 12161946),(69 12250806),(70 12341954),(71 12432334),(72 12534302),(73 12649069),(74 12737890),(75 12833266),(76 12917498),(77 12982732),(78 13043138),(79 13097755),
(1 17707.598),(2 59936.492),(3 122510.64),(4 208784.56),(5 316490.47),(6 435395.22),(7 569693.6),(8 714589.94),(9 863017.7),(10 1025283.44),(11 1233548.5),(12 1418860.8),(13 1628541.4),(14 1844696.5),(15 2069842.3),(16 2309418.8),(17 2559595.5),(18 2807336.5),(19 3072448.3),(20 3344945),(21 3619609.3),(22 3895166.5),(23 4183243.5),(24 4467099),(25 4758999),(26 5057789),(27 5353643.5),(28 5661820.5),(29 5961994.5),(30 6261850.5),(31 6550993),(32 6842906.5),(33 7126591),(34 7406096.5),(35 7680315),(36 7942107),(37 8200459.5),(38 8443618),(39 8673007),(40 8902369),(41 9115678),(42 9315671),(43 9509255),(44 9682698),(45 9859412),(46 10024617),(47 10169211),(48 10296772),(49 10432588),(50 10548549),(51 10669943),(52 10796715),(53 10909105),(54 11031056),(55 11180194),(56 11315937),(57 11452272),(58 11605792),(59 11758116),(60 11917047),(61 12082326),(62 12239567),(63 12382553),(64 12513006),(65 12656996),(66 12792139),(67 12923998),(68 13040501),(69 13145178),(70 13245541),(71 13341276),(72 13419535),(73 13494114),(74 13560542),(75 13609927),(76 13642898),(77 13656025),(78 13644487),(79 13629825),
(1 19426.17),(2 66929.35),(3 138688.81),(4 240116.7),(5 367546.16),(6 511730.4),(7 682712),(8 871270.8),(9 1069339.8),(10 1288594.6),(11 1541299.8),(12 1794124.8),(13 2071453.5),(14 2360445.3),(15 2658064),(16 2974394.5),(17 3304907.3),(18 3638233.5),(19 3986053.8),(20 4329916.5),(21 4682576.5),(22 5040581.5),(23 5396167),(24 5743454),(25 6095899),(26 6426146),(27 6752743.5),(28 7075210.5),(29 7373097.5),(30 7665503),(31 7958528),(32 8229393.5),(33 8486141),(34 8730832),(35 8952926),(36 9156509),(37 9354937),(38 9522359),(39 9681132),(40 9823071),(41 9945627),(42 10058000),(43 10155574),(44 10226581),(45 10280415),(46 10315523),(47 10332902),(48 10347902),(49 10358415),(50 10346257),(51 10326495),(52 10297417),(53 10252676),(54 10204841),(55 10161843),(56 10105461),(57 10063378),(58 10036230),(59 10016110),(60 10006741),(61 10005501),(62 9994188),(63 9976560),(64 9954869),(65 9927466),(66 9908218),(67 9895812),(68 9884507),(69 9880499),(70 9882031),(71 9895627),(72 9904141),(73 9928989),(74 9960189),(75 9989519),(76 10028747),(77 10074727),(78 10115974),(79 10157487),
(1 27411.037),(2 100049.555),(3 213710.9),(4 367373.3),(5 558346.4),(6 777230.7),(7 1025974),(8 1298915.4),(9 1591717.9),(10 1903530.5),(11 2271138.8),(12 2619363.8),(13 2987979.3),(14 3362842.5),(15 3751151.8),(16 4143702.5),(17 4542715.5),(18 4938459.5),(19 5334766),(20 5731246.5),(21 6116552),(22 6487224.5),(23 6849210.5),(24 7195011),(25 7525556),(26 7854326),(27 8174968.5),(28 8479127),(29 8768082),(30 9041191),(31 9302074),(32 9545107),(33 9773011),(34 9984676),(35 10185835),(36 10358595),(37 10519977),(38 10659478),(39 10782757),(40 10903050),(41 11010721),(42 11114376),(43 11212284),(44 11303751),(45 11389624),(46 11478533),(47 11567094),(48 11632898),(49 11718718),(50 11783025),(51 11841384),(52 11899574),(53 11949145),(54 11996484),(55 12040824),(56 12060696),(57 12067836),(58 12074257),(59 12072760),(60 12062910),(61 12042755),(62 12009550),(63 11961544),(64 11919592),(65 11869903),(66 11809634),(67 11745389),(68 11661157),(69 11564906),(70 11465201),(71 11366440),(72 11265790),(73 11184815),(74 11101541),(75 11044590),(76 11001306),(77 10973739),(78 10963288),(79 10988505),
(1 26681.396),(2 97878.984),(3 207789.77),(4 354308.16),(5 534863.7),(6 738450.25),(7 967725.3),(8 1215574.4),(9 1482807.9),(10 1763356.6),(11 2082385.1),(12 2398482),(13 2728196.5),(14 3065188.3),(15 3422187),(16 3780797.3),(17 4146146.3),(18 4514436.5),(19 4869762),(20 5218870),(21 5567311),(22 5897002),(23 6216557.5),(24 6535988.5),(25 6840793),(26 7132543),(27 7420249.5),(28 7685010.5),(29 7937800),(30 8189539.5),(31 8412117),(32 8615407),(33 8823682),(34 9007479),(35 9178350),(36 9339095),(37 9483069),(38 9605104),(39 9732391),(40 9845519),(41 9936971),(42 10025586),(43 10105779),(44 10168709),(45 10239310),(46 10295572),(47 10338863),(48 10390830),(49 10442501),(50 10477893),(51 10531721),(52 10571134),(53 10612592),(54 10669756),(55 10732969),(56 10785035),(57 10839419),(58 10892936),(59 10928546),(60 10952492),(61 10962929),(62 10954572),(63 10943308),(64 10944639),(65 10937194),(66 10925747),(67 10915672),(68 10905146),(69 10907550),(70 10905015),(71 10914193),(72 10939476),(73 10979116),(74 11026284),(75 11096664),(76 11166362),(77 11248553),(78 11330988),(79 11425946),
(1 23833.512),(2 87269.67),(3 188123.78),(4 326164.63),(5 499157.75),(6 698230.75),(7 931012.2),(8 1192129),(9 1480212.5),(10 1786057),(11 2121715.3),(12 2461483.8),(13 2820598.5),(14 3189163.3),(15 3570064.5),(16 3949018.8),(17 4339611.5),(18 4727665),(19 5111188),(20 5495868),(21 5875571),(22 6234890),(23 6596500.5),(24 6938525),(25 7269290.5),(26 7585143),(27 7875011),(28 8139455),(29 8386852),(30 8610579),(31 8819334),(32 9017976),(33 9196958),(34 9349092),(35 9492980),(36 9607907),(37 9710488),(38 9791521),(39 9852715),(40 9903535),(41 9949240),(42 9979087),(43 9996597),(44 10006133),(45 9999386),(46 9980951),(47 9957683),(48 9915730),(49 9873990),(50 9831118),(51 9783473),(52 9732236),(53 9694300),(54 9663368),(55 9639272),(56 9617738),(57 9590750),(58 9566190),(59 9549062),(60 9540310),(61 9549245),(62 9567486),(63 9599944),(64 9651420),(65 9730155),(66 9819894),(67 9914168),(68 10015383),(69 10134386),(70 10271132),(71 10421765),(72 10573914),(73 10739425),(74 10898798),(75 11058007),(76 11202383),(77 11354804),(78 11491297),(79 11626176),
