1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 39447.43),(2 105397.56),(3 195027.98),(4 296357),(5 409845.75),(6 544052.7),(7 684020.75),(8 817289.06),(9 961276.3),(10 1104140.1),(11 1273359.9),(12 1456361.6),(13 1645030.9),(14 1833745.6),(15 2045869),(16 2269828),(17 2519705.3),(18 2789414.3),(19 3062060),(20 3360485.3),(21 3685303.3),(22 4025717.3),(23 4352850),(24 4672932),(25 4975610.5),(26 5259234.5),(27 5563500),(28 5888172),(29 6204847.5),(30 6541850.5),(31 6896476.5),(32 7254784),(33 7619928),(34 7992576),(35 8364044),(36 8744067),(37 9154041),(38 9552364),(39 9944011),(40 10333216),(41 10738570),(42 11159012),(43 11558708),(44 11960333),(45 12368085),(46 12774952),(47 13183304),(48 13625671),(49 14061325),(50 14500119),(51 14952117),(52 15417867),(53 15869987),(54 16343584),(55 16834070),(56 17327708),(57 17823832),(58 18286768),(59 18768168),(60 19204410),(61 19613232),(62 20010296),(63 20404886),(64 20794904),(65 21197910),(66 21582346),(67 21969712),(68 22362782),(69 22759686),(70 23162392),(71 23555056),(72 23960370),(73 24351210),(74 24736576),(75 25111830),(76 25469562),(77 25813496),(78 26130054),(79 26436614),
(1 24587.717),(2 34756.566),(3 36146.57),(4 34773.633),(5 37654.965),(6 39022.785),(7 41635.94),(8 44269.598),(9 46397.34),(10 48213.57),(11 49928.06),(12 52135.17),(13 54725.754),(14 57470.05),(15 59140.918),(16 61059.64),(17 63199.08),(18 65363.297),(19 67317.51),(20 69300.76),(21 70699.83),(22 72584.89),(23 75071.1),(24 76849.26),(25 77285.16),(26 78913.89),(27 79839.875),(28 81071.17),(29 82449.49),(30 84166.97),(31 84690.375),(32 84934.28),(33 85634.51),(34 86325.62),(35 87077.52),(36 87438.6),(37 87418.87),(38 87779.29),(39 88386.414),(40 89044.71),(41 88741.516),(42 88396.305),(43 88294.56),(44 88773.35),(45 88830.27),(46 88334.53),(47 88204.81),(48 88101.05),(49 88058.33),(50 88018.75),(51 88274.48),(52 87798.2),(53 87332.16),(54 87667.555),(55 88617.516),(56 87876.45),(57 87291.914),(58 87312.734),(59 87425.84),(60 86980.32),(61 87189.48),(62 86893.68),(63 86365.75),(64 86280.32),(65 85941.12),(66 85867.03),(67 86049.34),(68 85463.61),(69 84952.375),(70 84169.234),(71 84629.41),(72 84487.84),(73 84254.55),(74 83668.25),(75 84137.37),(76 84063.31),(77 83391.85),(78 83174.875),(79 83638.66),
(1 24174.094),(2 33807.523),(3 35109.06),(4 34115.793),(5 37432.355),(6 38099.164),(7 40561.74),(8 43378.895),(9 45714.875),(10 47045.605),(11 49616.24),(12 51853.84),(13 54443.613),(14 56850.836),(15 59028.88),(16 60785.453),(17 63020.33),(18 65312.414),(19 67223.43),(20 69785.86),(21 70737.4),(22 72432.01),(23 74435.49),(24 76473.95),(25 77443.945),(26 79226.71),(27 79849.97),(28 80511.52),(29 81977.85),(30 83800.805),(31 84035.04),(32 84782.62),(33 85185.484),(34 85601.66),(35 86143.95),(36 86717.016),(37 86971.164),(38 87070.82),(39 87773.04),(40 88505.164),(41 88364.07),(42 88630.51),(43 88524.39),(44 88522.43),(45 88730.266),(46 88303.09),(47 88186.04),(48 88487.914),(49 88752.96),(50 88353.93),(51 88446.58),(52 87870.86),(53 87238.04),(54 87212.95),(55 88075.07),(56 87209.7),(57 86757.67),(58 86930.45),(59 86986.23),(60 86802.27),(61 87224.15),(62 86504.68),(63 85810.25),(64 85564.766),(65 85507.54),(66 85360.94),(67 85449.625),(68 85439.89),(69 85490.195),(70 84808.51),(71 84751.69),(72 84804.97),(73 84525.07),(74 83740.79),(75 83875.55),(76 84142.05),(77 83485.43),(78 83205.43),(79 83120.3),
(1 23444.861),(2 32774.316),(3 33454.508),(4 32695.664),(5 35668.652),(6 37550.727),(7 39557.758),(8 42281.89),(9 44259.48),(10 45891.406),(11 48508.43),(12 50667.617),(13 52745.36),(14 54826.48),(15 57312.277),(16 58861.64),(17 60681.09),(18 62816.676),(19 64818.594),(20 67153.12),(21 67581.95),(22 69289.83),(23 70971.96),(24 72431.62),(25 73828.25),(26 75442.336),(27 76135.22),(28 76367.45),(29 77354.55),(30 79174.66),(31 80186.94),(32 80567),(33 80942.016),(34 81528.9),(35 82040.14),(36 82249.6),(37 82245.6),(38 82468.53),(39 82989.96),(40 83351.89),(41 82851.445),(42 82793.46),(43 82418.305),(44 82164.34),(45 82401.4),(46 81935.45),(47 81856.2),(48 81559.41),(49 81785.41),(50 81539.91),(51 81378.914),(52 81035.28),(53 81073.055),(54 81003.7),(55 81615.61),(56 80976.94),(57 80368.12),(58 80519.6),(59 80963.945),(60 80535.305),(61 80685.22),(62 80246.86),(63 79986.01),(64 79974.75),(65 79754.055),(66 79916.44),(67 79917.69),(68 80479.41),(69 80228.5),(70 79532.54),(71 79355.734),(72 79579.234),(73 79199.37),(74 78515.44),(75 77880.96),(76 78797.9),(77 78499.91),(78 77931.586),(79 77658.94),
(1 23173.53),(2 31676.988),(3 32171.434),(4 31433.74),(5 35021.707),(6 37012.15),(7 38783.33),(8 40941.363),(9 42733.21),(10 45010.016),(11 46915.97),(12 48979.082),(13 51108.043),(14 52936.086),(15 54749.99),(16 56609.42),(17 58504.457),(18 60425.125),(19 62435.176),(20 64454.86),(21 65245.83),(22 66836.2),(23 68536.33),(24 70193.2),(25 71165.82),(26 72638.63),(27 73586.836),(28 74355.39),(29 74743.9),(30 75976.22),(31 76864.91),(32 77558.984),(33 78426.86),(34 78740.945),(35 79342.39),(36 79706.37),(37 79562.79),(38 79723.04),(39 80466.17),(40 80553.836),(41 80544.195),(42 80206.97),(43 79662.17),(44 79225.54),(45 79308.16),(46 79435.586),(47 79659.53),(48 78982.92),(49 78517.234),(50 78578.09),(51 78658.71),(52 78046.08),(53 77770.164),(54 77938.25),(55 78364.4),(56 77766.61),(57 77857.19),(58 77889.24),(59 77670.29),(60 76881.016),(61 77592.68),(62 77513.2),(63 77220.734),(64 77118.97),(65 77382.71),(66 77250.8),(67 77215.26),(68 77142.445),(69 77218.9),(70 76679.58),(71 76745.336),(72 76777.52),(73 76464.875),(74 75971.875),(75 76055.4),(76 76477.32),(77 76623.29),(78 76346.266),(79 76127.17),
(1 22901.197),(2 30853.266),(3 31180.104),(4 30673.1),(5 34090.66),(6 35532.375),(7 37373.652),(8 39427.58),(9 40902.914),(10 42450.055),(11 44422.777),(12 46647.484),(13 48684.383),(14 50176.184),(15 51661.56),(16 53761.082),(17 55560.793),(18 57552.51),(19 59275.395),(20 60855.91),(21 61951.07),(22 64114.508),(23 66033.04),(24 67117.39),(25 68134.37),(26 69807.19),(27 70566.734),(28 71405.125),(29 72413.414),(30 73851.805),(31 74232.36),(32 74727.266),(33 75301.96),(34 75897.4),(35 76382.01),(36 76572.336),(37 76873.44),(38 77128.91),(39 77503.62),(40 77379.08),(41 77550.93),(42 77245.71),(43 76846.63),(44 76788.58),(45 77462.23),(46 76994.59),(47 76741.195),(48 76162.125),(49 75927.45),(50 76201.58),(51 76502.84),(52 75304.05),(53 74979.64),(54 75320.1),(55 75402.766),(56 74913.29),(57 74866.734),(58 74860.52),(59 74533.28),(60 74200.07),(61 74211.23),(62 74085.836),(63 74072.266),(64 74045.44),(65 73977.58),(66 73812.22),(67 73613.48),(68 73603.164),(69 73334.8),(70 73312.94),(71 73882.18),(72 73974.2),(73 73753.96),(74 73894.92),(75 74313.47),(76 74211.234),(77 73998.6),(78 74082.16),(79 74089.625),
(1 21683.05),(2 29358.951),(3 30221.293),(4 30190.553),(5 32718.754),(6 34419.066),(7 36922.29),(8 39266.316),(9 40618.125),(10 42578.66),(11 44538.133),(12 46829.574),(13 48771.38),(14 50742.74),(15 52188.74),(16 54304.266),(17 56161.84),(18 58257.734),(19 59941.9),(20 60986.723),(21 62434.344),(22 64247.617),(23 66233.48),(24 67593.46),(25 68274.59),(26 69709.664),(27 70493.71),(28 71715.836),(29 72962.68),(30 73580.01),(31 74035.055),(32 74967.89),(33 75160.72),(34 75447.42),(35 76085.63),(36 75914.125),(37 76123.47),(38 76591.35),(39 76518.85),(40 76159.09),(41 76262.64),(42 76236.99),(43 75841.55),(44 75556.23),(45 75955.39),(46 75424.766),(47 75195.57),(48 74448.56),(49 74246.734),(50 73814.85),(51 74107.055),(52 73829.71),(53 73703.664),(54 73686.34),(55 73608.78),(56 73733.86),(57 73698.75),(58 73413.76),(59 72971.52),(60 73167.39),(61 73413.4),(62 73766.6),(63 73545.45),(64 73253.18),(65 73594.72),(66 73360.055),(67 72945.36),(68 72815.78),(69 72900.18),(70 72850.664),(71 72556.3),(72 72602.914),(73 72878.055),(74 72973.28),(75 73063.41),(76 72723.6),(77 73104.44),(78 72870.08),(79 72420.5),
(1 21768.846),(2 29333.063),(3 29743.902),(4 29672.105),(5 32118.178),(6 33591.945),(7 36051.918),(8 38777.676),(9 40542.645),(10 42232.875),(11 44318.51),(12 46821.613),(13 49359.8),(14 51585.145),(15 53448.867),(16 55239.027),(17 57690.31),(18 59942.266),(19 61563.32),(20 62869.195),(21 64869.06),(22 66364.195),(23 67963.93),(24 69950.555),(25 70795.56),(26 72116.52),(27 73391.04),(28 74897.08),(29 76183.07),(30 77233),(31 77485.49),(32 78565.34),(33 79275.914),(34 79844.2),(35 80474.15),(36 80598.85),(37 80898.52),(38 81210.73),(39 81521.14),(40 81459.85),(41 81322.76),(42 81124.06),(43 80828.24),(44 80727.484),(45 80524.2),(46 80210.07),(47 80026.85),(48 79770.945),(49 79613.59),(50 79215.64),(51 79371.74),(52 79084.24),(53 78912.26),(54 78838.16),(55 78563.94),(56 78476.195),(57 78374.46),(58 77904.08),(59 77411.62),(60 77069.26),(61 77319.17),(62 77265.08),(63 77305.74),(64 77192.17),(65 77188.586),(66 76648.86),(67 76366.85),(68 76089.58),(69 75992.48),(70 75996.23),(71 75291.21),(72 74748.11),(73 75068.484),(74 75186.61),(75 74710.54),(76 74408.266),(77 74689.77),(78 74710.11),(79 74303.64),
(1 21745.762),(2 29373.086),(3 29712.97),(4 29406.314),(5 31946.33),(6 33356.543),(7 35412.023),(8 38022.125),(9 39885.13),(10 41090.465),(11 43389.813),(12 45752.336),(13 47948.06),(14 49996.348),(15 51430.535),(16 53385.168),(17 55565.16),(18 57596.52),(19 59140.523),(20 60334.098),(21 62073.832),(22 63285.12),(23 64536.78),(24 66122.74),(25 67372.64),(26 68477.125),(27 69246.31),(28 70352.09),(29 71596.2),(30 72892.03),(31 73450.805),(32 73955.4),(33 74191.39),(34 74587.34),(35 74765.664),(36 75136.87),(37 75407.12),(38 75386.86),(39 75371.01),(40 75869.016),(41 75617.375),(42 75230.21),(43 74994.99),(44 74961.61),(45 74574.68),(46 74688.56),(47 74722.836),(48 74486.664),(49 74096.13),(50 73729.67),(51 73776.66),(52 73755.19),(53 73771.9),(54 73679.35),(55 73553.61),(56 73020.28),(57 72677.23),(58 73096.73),(59 73253.65),(60 72459.43),(61 72739.62),(62 72318.086),(63 72286.234),(64 72380.61),(65 72595.6),(66 72230.3),(67 72000.02),(68 71876.29),(69 71547.23),(70 71700.734),(71 71398.914),(72 70802.29),(73 70721.68),(74 71071.484),(75 70858.92),(76 70307.71),(77 70378.72),(78 70338.195),(79 70057.914),
(1 20668.322),(2 27837.344),(3 28480.643),(4 28475.848),(5 30260.045),(6 32135.682),(7 34356.555),(8 36666.94),(9 38501.496),(10 39478.953),(11 41653.195),(12 43776.7),(13 45913.945),(14 47593.79),(15 49059.008),(16 50758.574),(17 52535.668),(18 54377.418),(19 55977.965),(20 57366.23),(21 58664.785),(22 60027.637),(23 61175.305),(24 62355.676),(25 63431.78),(26 64294.582),(27 65075.67),(28 66137.94),(29 66621.59),(30 67685.43),(31 67432.51),(32 68128.98),(33 68680.76),(34 68646.43),(35 68410.695),(36 68419.96),(37 68581.68),(38 68518.445),(39 68542.51),(40 68957.03),(41 68398.13),(42 67647.89),(43 67456.46),(44 67618.97),(45 67332.55),(46 66952.46),(47 66886.46),(48 66841.96),(49 66563.82),(50 66435.95),(51 66267.44),(52 66631.836),(53 66677.945),(54 66493.18),(55 66398.91),(56 66364.49),(57 66750.43),(58 66916.97),(59 66831.805),(60 66742.8),(61 66945.32),(62 66830.016),(63 67104.76),(64 67284.02),(65 67596.33),(66 67363.09),(67 67093.76),(68 67045.6),(69 67222.68),(70 67173.164),(71 66835.01),(72 66713.375),(73 66742.97),(74 66956.28),(75 66741.79),(76 66534.9),(77 66620.97),(78 66991.77),(79 66794.516),
(1 20607.412),(2 27305.475),(3 27814.555),(4 27737.799),(5 29518.87),(6 31074.93),(7 33387.08),(8 35165.953),(9 36242.504),(10 37618.19),(11 39124.24),(12 40888.992),(13 42713.92),(14 44370.06),(15 45351.78),(16 46656.49),(17 48332.156),(18 49928.95),(19 51250.535),(20 52459.547),(21 53210.05),(22 54342.203),(23 55194.684),(24 55857.176),(25 56784.68),(26 57755.508),(27 58266.668),(28 58689.816),(29 59173.36),(30 59985.277),(31 59927.063),(32 60507.71),(33 60999.254),(34 60994.996),(35 61048.113),(36 60876.414),(37 61144.453),(38 61453.63),(39 61519.207),(40 61572.367),(41 61542.973),(42 60886.51),(43 61111.94),(44 61525.027),(45 61773.063),(46 60899.086),(47 61046.684),(48 61164.535),(49 60830.703),(50 61101.266),(51 61001.83),(52 61039.984),(53 61073.906),(54 61166.92),(55 61150.754),(56 61215.527),(57 61367.89),(58 61410.46),(59 61484.14),(60 62049.535),(61 61766.793),(62 61451.434),(63 61825.613),(64 62242.88),(65 62187.047),(66 62195.97),(67 61888.035),(68 61717.6),(69 61976.08),(70 61623.168),(71 61385.543),(72 61488.58),(73 61346.5),(74 61174.4),(75 61639.03),(76 61125.773),(77 61062.81),(78 61443.965),(79 61582.5),
(1 20373.852),(2 26737.424),(3 26896.082),(4 26835.785),(5 29212.332),(6 30493.102),(7 32495.611),(8 34383.527),(9 35614.855),(10 36845.934),(11 38389.96),(12 40357.31),(13 42121.91),(14 43692.73),(15 44748.695),(16 46645.19),(17 48086.96),(18 49634.457),(19 51162.645),(20 52309.434),(21 52897.69),(22 54233.188),(23 55546.53),(24 56518.434),(25 57166.01),(26 58035.566),(27 58488.91),(28 59422.51),(29 60038.684),(30 60702.188),(31 60514.082),(32 61205.863),(33 61676.332),(34 61864.13),(35 62141.117),(36 61547.87),(37 61881.625),(38 62129.03),(39 62105.797),(40 61988.063),(41 62069.44),(42 61747.598),(43 61540.402),(44 61599.773),(45 61812.387),(46 61630.17),(47 61856.527),(48 61706.05),(49 61773.824),(50 61594.21),(51 61462.316),(52 61469.664),(53 61769.51),(54 61712.01),(55 61931.01),(56 61886.92),(57 61698.344),(58 61721.727),(59 62063.453),(60 62687.71),(61 62006.258),(62 62107.03),(63 62316.895),(64 62656.12),(65 62721.8),(66 62558.406),(67 62511.37),(68 62477.01),(69 62770.65),(70 62635.645),(71 62440.387),(72 62420.71),(73 62628.492),(74 62758.277),(75 62906.11),(76 62731.094),(77 62767.84),(78 62642.52),(79 62830.098),
(1 19253.576),(2 25778.531),(3 26148.893),(4 25985.904),(5 28315.32),(6 29907.46),(7 31859.111),(8 33489.395),(9 34860.066),(10 36265.594),(11 37846.465),(12 39532.83),(13 41180.45),(14 42628.195),(15 43854.27),(16 45476.496),(17 46989.08),(18 48142.715),(19 49339.676),(20 50133.445),(21 51292.863),(22 52519.73),(23 53606.85),(24 54417.664),(25 54988.492),(26 55512.87),(27 56412.01),(28 56912.465),(29 57285.64),(30 58033.098),(31 58039.45),(32 58563.82),(33 58712.98),(34 58940.066),(35 59132.01),(36 58609.813),(37 58571.016),(38 59274.734),(39 59333.19),(40 59008.664),(41 59073.344),(42 58931.742),(43 58607.81),(44 58614.848),(45 58979.773),(46 59125.22),(47 59172.824),(48 58852.863),(49 58839.254),(50 58838.484),(51 59063.26),(52 58978.555),(53 59243.637),(54 59373.797),(55 59719.215),(56 59812.926),(57 59768.563),(58 60103.47),(59 60325.258),(60 60447.36),(61 60480.08),(62 60383.44),(63 60602.24),(64 60768.68),(65 60903.945),(66 60275.824),(67 60385.273),(68 60290.227),(69 60289.75),(70 60005.258),(71 59572.297),(72 59538.477),(73 59649.465),(74 59658.6),(75 59308.23),(76 59082.688),(77 58871.145),(78 58579.344),(79 58668.254),
(1 18667.555),(2 24864.066),(3 25457.115),(4 25297.658),(5 27000.613),(6 29022.725),(7 30752.209),(8 32161.604),(9 33413.844),(10 35386.996),(11 36555.14),(12 38296.945),(13 39830.27),(14 41491.92),(15 42738.25),(16 44280.42),(17 45972.58),(18 47507.492),(19 48551.016),(20 49292.543),(21 50666.004),(22 51912.65),(23 53071.008),(24 54359.926),(25 54954.523),(26 55695.313),(27 56378.016),(28 56986.414),(29 57682.51),(30 58409.16),(31 58833.758),(32 58730.027),(33 59011.395),(34 59475.53),(35 59458.86),(36 59002.94),(37 59429.695),(38 59821.32),(39 59681.313),(40 59257.53),(41 58922.508),(42 58951.086),(43 58771.37),(44 58591.613),(45 58334.527),(46 58064.42),(47 57747.746),(48 57792.656),(49 57750.92),(50 57345.195),(51 57241.402),(52 57302.227),(53 57368.344),(54 57355.55),(55 57312.59),(56 57038.555),(57 57259.777),(58 57354.164),(59 57425.6),(60 56847.66),(61 57289.34),(62 57118.305),(63 57287.63),(64 57392.664),(65 57584.78),(66 56759.66),(67 56757.117),(68 56964.953),(69 57103.85),(70 56664.152),(71 56454.95),(72 56544.54),(73 56522.934),(74 56568.105),(75 56426.55),(76 56297.363),(77 56009.47),(78 56258.41),(79 56465.227),
(1 18443.531),(2 24126.133),(3 24473.066),(4 24545.31),(5 26491.969),(6 28467.805),(7 30113.244),(8 31889.19),(9 33195.12),(10 35135.777),(11 36401.598),(12 38128.176),(13 39919.074),(14 41646.168),(15 42786.453),(16 44302.457),(17 45912.49),(18 47411.348),(19 48470.625),(20 49608.285),(21 50543.35),(22 51668.79),(23 52863.266),(24 53902.043),(25 54154.293),(26 54990.574),(27 55680.89),(28 56238.99),(29 56856),(30 56984.67),(31 57509.88),(32 57422.35),(33 57752.227),(34 58109.125),(35 57864.6),(36 57844.88),(37 57923.41),(38 57836.54),(39 57642.574),(40 57985.496),(41 57309.766),(42 57327.363),(43 57054.313),(44 56850.703),(45 56977.633),(46 56445.758),(47 56405.65),(48 56388.117),(49 56285.813),(50 55523.953),(51 55609.504),(52 55752.13),(53 55780.453),(54 55770.348),(55 55669.44),(56 55702.906),(57 55884.496),(58 56144.457),(59 56207.79),(60 55514.2),(61 56161.523),(62 56017.87),(63 56204.902),(64 56292.375),(65 56489.29),(66 56054.754),(67 56191.55),(68 56194.824),(69 56266.24),(70 55956.52),(71 56225.402),(72 56101.43),(73 56113.043),(74 56044.703),(75 56147.05),(76 56169.37),(77 55946.777),(78 56003.04),(79 56320.168),
(1 18207.832),(2 23690.135),(3 24048.707),(4 24421.201),(5 26354.135),(6 28115.922),(7 29713.576),(8 31182.852),(9 32662.662),(10 34506.324),(11 35744.457),(12 37444.71),(13 38970.008),(14 40617.934),(15 42354.367),(16 43643.48),(17 45106.203),(18 46637.594),(19 47761.03),(20 48844.176),(21 49764.297),(22 50724.08),(23 52275.234),(24 53292.953),(25 53361.32),(26 54271.63),(27 55334.176),(28 56030.69),(29 56370.848),(30 56862.65),(31 57288.316),(32 57692.09),(33 58008.043),(34 58436.523),(35 58056.793),(36 58348.41),(37 58552.69),(38 58539.71),(39 58536.883),(40 58549.457),(41 57690.61),(42 57699.4),(43 57739.965),(44 57546.223),(45 57598.11),(46 57059.316),(47 57008.2),(48 57095.355),(49 57076.496),(50 56205.277),(51 56566.508),(52 56391.33),(53 56280.527),(54 56076.16),(55 56230.83),(56 55957.375),(57 56302.35),(58 56389.895),(59 56185.746),(60 55966),(61 56487.582),(62 56342.17),(63 56235.65),(64 56081.164),(65 56134.81),(66 56223.527),(67 56190.977),(68 56278.15),(69 56574.59),(70 56076.24),(71 56375.47),(72 56440.227),(73 56509.848),(74 56333.97),(75 56409.03),(76 56299.125),(77 56151.23),(78 56278.977),(79 56521.41),
(1 17952.346),(2 23307.873),(3 23320.84),(4 23709.209),(5 25729.344),(6 27704.717),(7 29239.354),(8 30515.455),(9 31977.55),(10 33923.246),(11 35247.703),(12 36925.46),(13 38348.582),(14 40175.66),(15 42001.56),(16 43077.043),(17 44406.05),(18 45762.03),(19 47158.586),(20 48173.156),(21 49059.36),(22 50536.18),(23 51980.293),(24 52783.594),(25 53527.605),(26 54150.063),(27 55174.984),(28 55856.887),(29 56465.94),(30 56619.25),(31 57200.094),(32 57468.93),(33 57994.734),(34 58166.242),(35 57988.355),(36 58352.355),(37 58493.043),(38 58435.207),(39 58359.348),(40 58170.047),(41 57814.688),(42 57518.754),(43 57375.543),(44 57568.043),(45 57467.67),(46 57238),(47 57229.76),(48 57317.316),(49 57056.242),(50 56695.824),(51 57091.707),(52 57101.695),(53 56920.12),(54 56688.664),(55 56949.273),(56 57097.27),(57 57444.29),(58 57392.543),(59 57374.105),(60 57543.27),(61 57887.047),(62 57523.617),(63 57356.492),(64 57356.492),(65 57297.246),(66 57138.56),(67 57069.016),(68 57093.434),(69 57219.402),(70 56854.05),(71 57041.867),(72 56826.363),(73 56893.82),(74 56521.074),(75 56469.637),(76 56394.29),(77 56247.62),(78 56148.863),(79 56345.375),
(1 18130.164),(2 23116.01),(3 22926.668),(4 23178.023),(5 25414.064),(6 27342.127),(7 28680.666),(8 30328.46),(9 31613.943),(10 33057.816),(11 34755.73),(12 36578.22),(13 38049.12),(14 39566.6),(15 40942.746),(16 42348.3),(17 43842.496),(18 45223.117),(19 46394.68),(20 47430.098),(21 48255.05),(22 49778.37),(23 50877.297),(24 51213.57),(25 51982.43),(26 53187.535),(27 53618.543),(28 54224.406),(29 54892.77),(30 55419.97),(31 55568.996),(32 55975.82),(33 56425.21),(34 56602.293),(35 56306.477),(36 56355.773),(37 56480.53),(38 56493.56),(39 56548.72),(40 56105.184),(41 55840.78),(42 55735.363),(43 55470.875),(44 55608.47),(45 55311.664),(46 54952.965),(47 55132.652),(48 55299.48),(49 55004.652),(50 54644.996),(51 54793.203),(52 54652.38),(53 54544.613),(54 54502.91),(55 54987.65),(56 54753.645),(57 54948.05),(58 55267.316),(59 55146.656),(60 54714.57),(61 55297.81),(62 55257.293),(63 55407.8),(64 55327.35),(65 55081.57),(66 55338.59),(67 55386.46),(68 55611.707),(69 55773),(70 55664.78),(71 55638.395),(72 55483.863),(73 55982.38),(74 55985.82),(75 55588.57),(76 55882.9),(77 55810.535),(78 55799.79),(79 55662.035),
