1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 52050.887),(2 130330.836),(3 175755.61),(4 179905.53),(5 178607.78),(6 184935.02),(7 190745.6),(8 187298.02),(9 178462.92),(10 175810.42),(11 174411.94),(12 175407.58),(13 176230.88),(14 179788.9),(15 181445.81),(16 181949.81),(17 182516.36),(18 181730.84),(19 182520.23),(20 182435.66),(21 183093.81),(22 185250.11),(23 187909.88),(24 189803.94),(25 188664.75),(26 185452.9),(27 185038.97),(28 184663.81),(29 184588.19),(30 187209.1),(31 192501.72),(32 196545.72),(33 189661.72),(34 182029.33),(35 183205.08),(36 186573.13),(37 186421.73),(38 188265.42),(39 192288.88),(40 193838.33),(41 191206.1),(42 188065.39),(43 186860.73),(44 189419.36),(45 190290.19),(46 189852.75),(47 187168.4),(48 188518.16),(49 192790.56),(50 199593.94),(51 200412.97),(52 196190.73),(53 191617.42),(54 189769.25),(55 186406.13),(56 182179.78),(57 186574.5),(58 194176.13),(59 196357.02),(60 190980.39),(61 186145.1),(62 187677.05),(63 193441.16),(64 197816.1),(65 198999.72),(66 198666.13),(67 199442.53),(68 196653.53),(69 195553.31),(70 194146.47),(71 192317.98),(72 193626.11),(73 196741.9),(74 193613.89),(75 187352.05),(76 189105.25),(77 196205.61),(78 200174.64),(79 198260.73),
(1 53081.914),(2 131867.13),(3 175378.23),(4 179433.66),(5 178465.89),(6 185255.38),(7 188062.77),(8 181248.06),(9 175454.97),(10 177636.4),(11 179591.81),(12 178440.6),(13 175364.2),(14 179025.22),(15 182282.88),(16 182444.45),(17 180055.61),(18 178513.05),(19 182785.27),(20 188252.84),(21 187734),(22 182318.05),(23 181316.23),(24 187602.1),(25 187997.16),(26 181852.33),(27 179529.13),(28 180733.23),(29 184357.63),(30 185381.05),(31 187536.84),(32 192929.73),(33 189575.5),(34 183836.52),(35 187080.7),(36 192415.2),(37 192392.44),(38 189415.38),(39 188430.78),(40 189904.2),(41 188262.63),(42 185143.88),(43 189053.56),(44 195070.95),(45 191565.34),(46 185164.45),(47 182906.98),(48 186362.38),(49 188034.45),(50 185765.16),(51 182393.83),(52 182414.6),(53 186223.6),(54 186170.66),(55 182162.02),(56 177786.31),(57 176438.84),(58 175903.6),(59 177345.67),(60 180714.63),(61 187355.73),(62 192883.88),(63 193837.3),(64 194053.38),(65 197015.72),(66 196468),(67 190541.63),(68 182928.02),(69 182350.84),(70 186196.67),(71 191028.55),(72 192602.34),(73 195289.45),(74 194838.22),(75 193645.06),(76 192530.61),(77 191027.44),(78 190407.78),(79 190803.2),
(1 55595.004),(2 137096.13),(3 179586.17),(4 176546.05),(5 171479.53),(6 180036.44),(7 186949.39),(8 180798.48),(9 172068.6),(10 172965.31),(11 177869.45),(12 177880),(13 172355.47),(14 172728.98),(15 172506.89),(16 168050.89),(17 164209.19),(18 166992.92),(19 175154.36),(20 179026.61),(21 175216.77),(22 169980.7),(23 172443.08),(24 177238.53),(25 173517.45),(26 169701.4),(27 170689.4),(28 174535.1),(29 175196.69),(30 177541.89),(31 181686.14),(32 180946.36),(33 172947.4),(34 169859.08),(35 175538.17),(36 185650.23),(37 183342.5),(38 176948.72),(39 177166.34),(40 181713.02),(41 186889.33),(42 190733.45),(43 194331.64),(44 194536.23),(45 182587.72),(46 174231.34),(47 177369.89),(48 184916.08),(49 185387.4),(50 182455.52),(51 181371.92),(52 180751.44),(53 183219.83),(54 185520.56),(55 185164.61),(56 179377.89),(57 172188.44),(58 172301.02),(59 177854.84),(60 180642.31),(61 181014.83),(62 180135.8),(63 182494.47),(64 187581.66),(65 188732.78),(66 186228.48),(67 185424.25),(68 186153.86),(69 186011.33),(70 182563.81),(71 177382.66),(72 176908.11),(73 182072.6),(74 182666.23),(75 181499.75),(76 184366.53),(77 185805.16),(78 180998.72),(79 177196.92),
(1 51965.477),(2 123482.625),(3 155817.75),(4 149194.13),(5 143208.36),(6 151814.58),(7 160562.7),(8 157575.34),(9 151695.88),(10 150574.38),(11 154345.42),(12 160432.67),(13 160998.39),(14 158507.02),(15 155677.23),(16 153351.8),(17 152139.53),(18 152956.77),(19 158908.97),(20 164580.17),(21 164412.83),(22 159845.95),(23 157048.55),(24 161107.08),(25 164032.67),(26 163799.45),(27 161013.02),(28 158471.83),(29 162625.66),(30 170639.7),(31 174033.34),(32 169834.08),(33 164870.16),(34 164286.86),(35 168020.44),(36 171722.45),(37 167485.63),(38 164946.2),(39 173433.66),(40 183394.81),(41 186353.03),(42 178776.08),(43 171258.08),(44 171148.25),(45 172253.28),(46 173849.88),(47 172995.5),(48 170493.27),(49 166962.98),(50 168582.47),(51 176043.28),(52 176832.36),(53 171893.27),(54 165957.88),(55 166276.2),(56 168201.53),(57 164856.39),(58 161149.56),(59 161900.58),(60 164387.53),(61 165300.5),(62 165308.9),(63 166886.22),(64 173511.39),(65 176815.98),(66 172410.66),(67 168041.75),(68 167683.88),(69 170466.9),(70 170664.5),(71 165246.81),(72 163791.27),(73 167607.36),(74 169087.88),(75 169967.06),(76 171379.56),(77 171992.38),(78 169448.13),(79 167433.75),
(1 50322.484),(2 118512.81),(3 148356.22),(4 146356.06),(5 145502.19),(6 152823.36),(7 156254.66),(8 151225.22),(9 144870.52),(10 144277.23),(11 146937.06),(12 150798.67),(13 153360.08),(14 154481.58),(15 153608.7),(16 149395.28),(17 145529.94),(18 147476.63),(19 153451.67),(20 157012.78),(21 157596.4),(22 153606.6),(23 147881.23),(24 144575.55),(25 148251.08),(26 156137.53),(27 158065.39),(28 156385.42),(29 156591.89),(30 156817),(31 155180.05),(32 153039.3),(33 152861.39),(34 148302.47),(35 143617.97),(36 146836.47),(37 153415.27),(38 157978.75),(39 161066.52),(40 164443.92),(41 166395.73),(42 163153.39),(43 158566.08),(44 155191.27),(45 155405.78),(46 155341.25),(47 154691.42),(48 154855.58),(49 154797.64),(50 159101.86),(51 164764.16),(52 164934.25),(53 167289.39),(54 169138.08),(55 165132.84),(56 160050.16),(57 157564.56),(58 159552.25),(59 163540.22),(60 162061),(61 156358.5),(62 156417.19),(63 162424.92),(64 171303.31),(65 174007.28),(66 168475.84),(67 162435.5),(68 160666.25),(69 163322.13),(70 167843.08),(71 164473.05),(72 162464.84),(73 160784.73),(74 157034.34),(75 157281.64),(76 158686.34),(77 160044.3),(78 161705.66),(79 165335.88),
(1 47217.313),(2 107979.555),(3 133275.52),(4 132173.13),(5 132214.5),(6 138943.05),(7 141368.06),(8 136276.33),(9 131925.64),(10 134011.66),(11 140014.16),(12 145109.73),(13 147743.75),(14 143936.69),(15 140677.53),(16 139289.22),(17 141642.19),(18 147876.34),(19 153627.22),(20 154240.64),(21 152613.02),(22 149406.05),(23 145780.95),(24 145102.61),(25 148154.38),(26 153816.97),(27 158510.31),(28 158081.9),(29 155612.84),(30 152874.42),(31 152096.4),(32 152369.2),(33 152653.1),(34 149998.44),(35 147649.88),(36 146116.23),(37 149252.34),(38 155108.44),(39 158475.27),(40 156961.22),(41 157144.78),(42 157281.02),(43 156541.67),(44 154150.08),(45 149434.97),(46 145585.22),(47 145999.86),(48 149393.23),(49 154861.23),(50 159876.05),(51 162010.33),(52 159248.89),(53 161405.86),(54 160164.48),(55 154793.39),(56 150103.86),(57 151467.95),(58 155179.75),(59 159024.16),(60 158173.36),(61 156518.13),(62 156599.44),(63 157752.92),(64 160322.6),(65 165964.94),(66 171032.97),(67 171039.73),(68 165358.45),(69 160203.36),(70 159382.98),(71 160990.64),(72 162024.78),(73 158975.56),(74 156416.73),(75 156289.78),(76 157831.27),(77 155387.72),(78 153320.02),(79 155429.36),
(1 44420.26),(2 100736.89),(3 122236.04),(4 121325.98),(5 124392.195),(6 130805.55),(7 129887.625),(8 123725.88),(9 121406.04),(10 124327.15),(11 130862.79),(12 135616.02),(13 134629.06),(14 135138.89),(15 133941.5),(16 131021.125),(17 128366.555),(18 130926.85),(19 136426.83),(20 136885.53),(21 132855.17),(22 130566.01),(23 132532.98),(24 132585.69),(25 129527.375),(26 128571.12),(27 133006.8),(28 136848.75),(29 139395.47),(30 141740.3),(31 143424.89),(32 141330.8),(33 138932.52),(34 139383.16),(35 142339.98),(36 144755.27),(37 144403.7),(38 143681.13),(39 146939.92),(40 149825.1),(41 150927.5),(42 148722.36),(43 146705.28),(44 147061.56),(45 143095.11),(46 136229.73),(47 134296.14),(48 145012.55),(49 155361.58),(50 157792.83),(51 152845.56),(52 146383.83),(53 148155.53),(54 150357.16),(55 148892.6),(56 142574.8),(57 140849.53),(58 143001.36),(59 147769.7),(60 151293.06),(61 149651.23),(62 147232.83),(63 148630.83),(64 150570.6),(65 149755.48),(66 149657.2),(67 148075.25),(68 146523.73),(69 147215.69),(70 146596.2),(71 144957.97),(72 142869.67),(73 141596.94),(74 143130.73),(75 146414.17),(76 148913.72),(77 147415.39),(78 144373.88),(79 141381.17),
(1 45422.47),(2 102184.55),(3 121880.125),(4 120196.13),(5 125050.016),(6 135287.98),(7 137081.77),(8 128186.6),(9 123782.914),(10 127703.74),(11 131504.33),(12 130443.766),(13 130550.03),(14 133296.67),(15 132372.7),(16 129497.766),(17 128610.22),(18 133625.75),(19 136686.33),(20 131326.11),(21 126952.6),(22 128196.28),(23 128453.58),(24 126846.516),(25 124625.97),(26 127335.83),(27 132715.83),(28 134824.78),(29 133094.25),(30 132060.52),(31 134895.05),(32 137365.64),(33 137124.56),(34 137104.88),(35 137987.6),(36 141711.56),(37 143527.13),(38 143897.06),(39 141618.3),(40 142594.03),(41 145363.73),(42 143609.73),(43 140042.88),(44 133876.33),(45 135209.28),(46 140572.39),(47 140228.52),(48 139572.31),(49 143326.55),(50 148352.7),(51 147785.78),(52 141353.02),(53 136742.28),(54 135943.75),(55 138413.73),(56 138922.81),(57 136132.86),(58 135075.92),(59 137517.95),(60 141804.02),(61 141745.8),(62 140184.94),(63 140178.77),(64 142421.06),(65 144734.38),(66 142784.11),(67 140316.17),(68 140925.33),(69 145733.28),(70 146169.45),(71 141950.88),(72 140668.39),(73 143815.77),(74 145569.16),(75 145280.61),(76 145194.34),(77 142034.77),(78 139996.7),(79 139552.63),
(1 47707.773),(2 109587.68),(3 129084.93),(4 122729.32),(5 127706.2),(6 139929.28),(7 142374.53),(8 131300.45),(9 127830.086),(10 132610.77),(11 135088.6),(12 135564.83),(13 136504.75),(14 136668.86),(15 130713),(16 123900.414),(17 128122.7),(18 133602.14),(19 131087.06),(20 123123.984),(21 124476.9),(22 132087.38),(23 133303.7),(24 127057.21),(25 124348.516),(26 126350.055),(27 129080.734),(28 130531.12),(29 130698.28),(30 128709.24),(31 129004.85),(32 132690.92),(33 134210.02),(34 136399.38),(35 135829.36),(36 132879.6),(37 131503.78),(38 136253.33),(39 138076.08),(40 133711.55),(41 134129.86),(42 137011.13),(43 139368.19),(44 134513.7),(45 132458.48),(46 137403.25),(47 137974.84),(48 136955.34),(49 137650.83),(50 143011.6),(51 143042.81),(52 140207.95),(53 139239.83),(54 137230.48),(55 136888.78),(56 135938),(57 136694.25),(58 135674.55),(59 132927.81),(60 132017.77),(61 136355.19),(62 141962.83),(63 144034.67),(64 142132.9),(65 140811.52),(66 139251.78),(67 139168.75),(68 140600.39),(69 144132.84),(70 145216.06),(71 139561.17),(72 137914.44),(73 138968.03),(74 140858.11),(75 143048.39),(76 141527.6),(77 136962.6),(78 135656.06),(79 136770.84),
(1 42918.04),(2 97252.516),(3 117575.79),(4 115691.484),(5 118308.59),(6 127104.33),(7 132646.06),(8 129733.766),(9 125272.78),(10 122321.484),(11 124192.195),(12 129303.64),(13 131384.14),(14 128567.27),(15 123211.04),(16 120608.12),(17 124141.1),(18 126334.86),(19 122280.34),(20 117612.555),(21 120142.22),(22 122295.7),(23 121835.86),(24 121613.34),(25 119711.47),(26 120745.234),(27 124507.664),(28 126227.4),(29 124263.84),(30 122753.16),(31 125970.266),(32 131707.66),(33 132348.77),(34 131625.25),(35 132178.45),(36 130752.45),(37 130688.125),(38 132570.84),(39 132011.94),(40 128163.7),(41 126673.29),(42 125725.03),(43 128712.42),(44 129237.734),(45 129946.336),(46 133640.95),(47 134267.02),(48 135405.94),(49 136524.44),(50 137764.53),(51 136314.77),(52 133734.05),(53 131222.8),(54 134761.13),(55 139738.83),(56 138524.83),(57 134173.95),(58 132559.78),(59 134529.75),(60 136438.39),(61 136835.31),(62 137371.72),(63 138825.03),(64 140952.97),(65 146331.16),(66 147993.34),(67 141151.69),(68 134987.42),(69 138988.47),(70 145104.75),(71 146155.33),(72 144813.84),(73 139629.95),(74 136934.42),(75 142103.17),(76 146308.31),(77 144917.86),(78 141511.83),(79 139580.28),
(1 44431.234),(2 99102.93),(3 119003.36),(4 115527.914),(5 118306.2),(6 125609.83),(7 126845.25),(8 123975.375),(9 122190.64),(10 119923.05),(11 121154.73),(12 125243.93),(13 124902.836),(14 121633.06),(15 118759.63),(16 118085.9),(17 125065.89),(18 124245.73),(19 116130.3),(20 110574.305),(21 115111.836),(22 119978.04),(23 118358.125),(24 114951.55),(25 116802.945),(26 122286.27),(27 125560.914),(28 122895.375),(29 121598.484),(30 124154.14),(31 128111.73),(32 127845.03),(33 126491.54),(34 129231.04),(35 131479.63),(36 131124.03),(37 128678.055),(38 126099.65),(39 119464.48),(40 116577.586),(41 120913.41),(42 125506.53),(43 124871.65),(44 125177.28),(45 129200.016),(46 129162.24),(47 123935.47),(48 121984.35),(49 125342.65),(50 128200.05),(51 129193.06),(52 129190.7),(53 126476.484),(54 123381.68),(55 125763.76),(56 130227.39),(57 130645.1),(58 127859.01),(59 127667.516),(60 128293.53),(61 130097.44),(62 131728.61),(63 131861.36),(64 131032.8),(65 129502.734),(66 129392.45),(67 130763.76),(68 130210.625),(69 129799.39),(70 129490.945),(71 131514.64),(72 135518.83),(73 135538.38),(74 132896.69),(75 132234.64),(76 130670.18),(77 130533.36),(78 130977.984),(79 131137.75),
(1 41161.547),(2 91982.65),(3 110050.23),(4 108486.8),(5 111136.516),(6 115908.29),(7 116174.05),(8 114140.9),(9 112790.266),(10 113972.92),(11 115750.01),(12 117061.78),(13 116733.99),(14 114162.69),(15 111174.21),(16 111737.88),(17 118109.586),(18 118809.516),(19 114218.77),(20 110312.95),(21 112349.64),(22 115361.234),(23 114545.47),(24 111509.12),(25 111219.65),(26 115586.74),(27 118167.516),(28 117742.55),(29 118328.516),(30 121293.555),(31 121001.195),(32 119710.1),(33 118829.914),(34 122439.734),(35 124061.734),(36 122973.74),(37 121681.64),(38 122778.945),(39 120952.94),(40 117033.766),(41 114604.71),(42 118971.9),(43 124661.62),(44 126195.734),(45 127640.77),(46 126675.51),(47 124463.8),(48 123416.1),(49 123148.27),(50 123090.195),(51 125482.734),(52 129759.45),(53 130222.164),(54 125237.59),(55 122333.09),(56 125069.35),(57 128092.62),(58 128451.07),(59 126945.97),(60 126598.09),(61 127152.3),(62 129931.74),(63 131383.03),(64 131988.45),(65 131488),(66 132110.17),(67 133439.3),(68 135161.88),(69 132244.7),(70 129146.77),(71 130284.86),(72 134489.6),(73 137124.25),(74 135806.03),(75 133528.27),(76 131054.445),(77 130857.62),(78 131380.2),(79 131953.48),
(1 39308.62),(2 86740.53),(3 103968.8),(4 101578.586),(5 103673.53),(6 110024.74),(7 110702.14),(8 106635.94),(9 104455.484),(10 103149.76),(11 104071.555),(12 107022.516),(13 108090.46),(14 103870.08),(15 100764.57),(16 102869.664),(17 106043.48),(18 105537.8),(19 103922.56),(20 104597.05),(21 107558.24),(22 108459.195),(23 107785.234),(24 107043.766),(25 108382.09),(26 109602.445),(27 109445.555),(28 108335.06),(29 109168.49),(30 108310.11),(31 111396.42),(32 116167.95),(33 116429.92),(34 114071.1),(35 115037.89),(36 118256.89),(37 116420.15),(38 110674.4),(39 107659.086),(40 111109.8),(41 113703.06),(42 113795.34),(43 114560.87),(44 115975.97),(45 115738.14),(46 114758.35),(47 113264.71),(48 111598.32),(49 109873.7),(50 110734.67),(51 111904.2),(52 112936.91),(53 113888.19),(54 113027.33),(55 112026.414),(56 112297.14),(57 113545.945),(58 116031.05),(59 114472.375),(60 112803.53),(61 115244.4),(62 117277.63),(63 116247.8),(64 115294.83),(65 116554.14),(66 117581.664),(67 117745.53),(68 117903.87),(69 118019.71),(70 117024.18),(71 114616.375),(72 116686.24),(73 120608.33),(74 122721.42),(75 120568.05),(76 118852.11),(77 119905.72),(78 120868.17),(79 123039.016),
(1 39723.01),(2 86698.53),(3 99138.36),(4 95330.95),(5 100511.86),(6 109916.67),(7 109047.734),(8 105010.914),(9 103272.91),(10 101760.68),(11 103306.53),(12 106127.87),(13 105430.664),(14 99587.08),(15 97718.64),(16 104083.13),(17 108308.07),(18 104942.82),(19 100802.12),(20 102471.08),(21 106177.01),(22 106641.04),(23 103899.51),(24 101899.72),(25 104626.086),(26 106973.94),(27 105110.46),(28 101641.516),(29 102683.484),(30 107554.12),(31 111732.47),(32 108983.25),(33 105370.76),(34 106752.05),(35 110044.875),(36 112473.74),(37 108825.53),(38 103835.34),(39 101765.55),(40 105588.07),(41 109250.586),(42 110410.58),(43 109109.05),(44 109089.34),(45 110074.21),(46 108954.336),(47 108523.12),(48 105961.85),(49 104488.76),(50 107457.61),(51 111291.56),(52 111215.82),(53 109810.88),(54 110973.195),(55 113484.484),(56 113267.46),(57 112022.92),(58 113452.195),(59 113768.91),(60 114166.49),(61 116305.01),(62 117417.76),(63 114781.555),(64 111763.74),(65 113084.08),(66 118257.08),(67 119059.734),(68 115480.44),(69 112503.17),(70 113726.51),(71 116035.625),(72 117629.34),(73 115124.8),(74 115874.21),(75 117390.336),(76 116200.04),(77 114928.14),(78 114858.625),(79 115663.875),
(1 41525.89),(2 88565.445),(3 97978.87),(4 91330.336),(5 97445.766),(6 106789.89),(7 104593.78),(8 98270.055),(9 94815.914),(10 94375.25),(11 96945.47),(12 101309.445),(13 101359.984),(14 96022.55),(15 95876.72),(16 100966.04),(17 101604.38),(18 97178.04),(19 95988.14),(20 99126.65),(21 100616.164),(22 98949.41),(23 96142.65),(24 96616.22),(25 100899.74),(26 100077.84),(27 96966.3),(28 96239.19),(29 101173.4),(30 102561.61),(31 100619.62),(32 100413.5),(33 101971.35),(34 105728.3),(35 105830.055),(36 104129.26),(37 99758.72),(38 96126.05),(39 97747.96),(40 101827.9),(41 102216.78),(42 102443.086),(43 106290.836),(44 109210.31),(45 107458.66),(46 102078.28),(47 102470.19),(48 105216.5),(49 106189.82),(50 104339.61),(51 103579.89),(52 106107.85),(53 106816.234),(54 106089.86),(55 107148.72),(56 109451.734),(57 109686.11),(58 108361.59),(59 108785.3),(60 112948.3),(61 115487.76),(62 114414.414),(63 114541.516),(64 114362.445),(65 115951.59),(66 117177.5),(67 116487.34),(68 116887.19),(69 118259.734),(70 118436.75),(71 117326.65),(72 118667.28),(73 119203.85),(74 119220.04),(75 117889.46),(76 116258.805),(77 114107.22),(78 114425.1),(79 116211.88),
(1 36801.434),(2 77202.8),(3 87439.63),(4 82206.06),(5 87226.305),(6 96127.875),(7 95695.64),(8 88807.37),(9 87506.31),(10 90040.84),(11 93018.62),(12 93428.414),(13 91854.98),(14 89299.96),(15 89700.2),(16 90920.516),(17 90311.766),(18 88381.94),(19 89553.33),(20 93157.53),(21 93250.89),(22 93322.08),(23 94009.55),(24 93937.56),(25 93502.01),(26 92748.91),(27 95505.266),(28 95380.6),(29 93983.98),(30 94499.92),(31 95244.69),(32 94317.336),(33 95352.74),(34 97898.195),(35 99265.65),(36 98257.12),(37 95994.82),(38 98670.24),(39 100000.59),(40 97271.03),(41 94290.48),(42 101034.32),(43 106138.49),(44 104237.02),(45 98808.766),(46 98699.51),(47 100986.305),(48 102587.97),(49 99949.09),(50 97298.15),(51 97953.945),(52 100395.79),(53 101027.07),(54 99386.35),(55 102430.734),(56 104054.516),(57 102247.54),(58 98181.18),(59 97344.984),(60 102254.13),(61 106225.38),(62 104644.65),(63 103219.97),(64 103340.46),(65 103993.04),(66 104987.56),(67 104784.76),(68 104551.97),(69 106988.164),(70 110259.93),(71 111002.38),(72 109204.41),(73 105559.52),(74 107580.64),(75 111050.57),(76 110588.305),(77 107070.75),(78 107360.18),(79 109765.47),
(1 36092.65),(2 75363.48),(3 84284.54),(4 79989.51),(5 82815.42),(6 87860.01),(7 86470.586),(8 82604.01),(9 82427.23),(10 83959.086),(11 86747.26),(12 89961.86),(13 89790.15),(14 86540.56),(15 86185.9),(16 87305.09),(17 85498.43),(18 84018.19),(19 86999.555),(20 90694.805),(21 90242.26),(22 90147.34),(23 91424.01),(24 92518.984),(25 90132.12),(26 86764.27),(27 87243.86),(28 90834.49),(29 90997.11),(30 88807.82),(31 89159.42),(32 91994.45),(33 94161.36),(34 93740.85),(35 91220.22),(36 88509.29),(37 90831.54),(38 95770.44),(39 95708.16),(40 93365.98),(41 92253.51),(42 97241.09),(43 98626.8),(44 95915.42),(45 92652),(46 93731.97),(47 95605.42),(48 97101.51),(49 96916.26),(50 97480.02),(51 97432.266),(52 95905.89),(53 97615.85),(54 100541.45),(55 101958.55),(56 101608.38),(57 101805.97),(58 100960.6),(59 100039.086),(60 104299.08),(61 106312.266),(62 106731.766),(63 105837.27),(64 105410.35),(65 107468.54),(66 109964.125),(67 108880.08),(68 107643.15),(69 108205.48),(70 109693.8),(71 109227.31),(72 106453.4),(73 104640.016),(74 105925.48),(75 108947.69),(76 109851.09),(77 106749.75),(78 104193.77),(79 105957.53),
(1 35174.543),(2 70775.76),(3 75041.47),(4 72878.84),(5 80735.445),(6 84479.32),(7 79912.16),(8 80825.59),(9 81475.85),(10 77769.67),(11 79733.05),(12 84179.62),(13 82644.32),(14 79098.69),(15 81388.555),(16 84947.19),(17 82365.945),(18 79279.69),(19 82219),(20 85271),(21 84488.95),(22 84181.695),(23 87276.91),(24 89556.57),(25 85860.055),(26 82802.99),(27 83721.37),(28 85379.26),(29 85380.55),(30 85855.82),(31 86491.81),(32 85720.234),(33 87013.375),(34 86779.445),(35 86096.16),(36 84939.05),(37 86646.53),(38 88065.63),(39 86094.766),(40 87806.28),(41 90271.51),(42 91894.39),(43 88532.76),(44 88658.7),(45 90147.19),(46 88568.84),(47 86835.53),(48 89078.29),(49 90934.24),(50 92598.75),(51 92922.98),(52 92162.25),(53 94521.73),(54 95582.87),(55 97506.234),(56 96030.33),(57 96238.45),(58 98018.88),(59 97235.484),(60 97007.375),(61 98504.85),(62 101524.4),(63 103219.67),(64 101965.195),(65 103077.74),(66 104590.984),(67 104264.18),(68 103521.68),(69 104664.12),(70 104245.99),(71 104061.16),(72 105749.27),(73 104262.99),(74 102850.65),(75 102966.32),(76 102367.04),(77 100092.71),(78 99126.99),(79 100418.586),
(1 34938.83),(2 69580.1),(3 72827.23),(4 69387.36),(5 75712.47),(6 79294.2),(7 75723.734),(8 73913.98),(9 73818.41),(10 73356.305),(11 74727.586),(12 78855.055),(13 78836.93),(14 76085.61),(15 77098.61),(16 78423.13),(17 75906.58),(18 74914.95),(19 78155.1),(20 78733.79),(21 78348.92),(22 79826.97),(23 82459.45),(24 84428.805),(25 82996.03),(26 80929.695),(27 80923.48),(28 82800.75),(29 83623.945),(30 84047.484),(31 83418.92),(32 84385.664),(33 86406.01),(34 83842.79),(35 81239.25),(36 81995.336),(37 85055.125),(38 85462.11),(39 83140.586),(40 83443.586),(41 86072.22),(42 86328.7),(43 83715.53),(44 83786.42),(45 86655.5),(46 87054.92),(47 86570.43),(48 86080.23),(49 85888.86),(50 87043.914),(51 87589.11),(52 86195.75),(53 88146.98),(54 90392.914),(55 91416.83),(56 90243.95),(57 91218.13),(58 93147.234),(59 92031.92),(60 90672),(61 90832.34),(62 92419.32),(63 94148.47),(64 95280.23),(65 95773.2),(66 95662.82),(67 96716.17),(68 98025.234),(69 96798.64),(70 95097.984),(71 95255.48),(72 97317.75),(73 97843.01),(74 96840.57),(75 95907.54),(76 95235.22),(77 96281.54),(78 97403.75),(79 98101.05),
