1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 22732.195),(2 77716.25),(3 161451.86),(4 261784.45),(5 377971.25),(6 505151.25),(7 638650.3),(8 771722.5),(9 898837.8),(10 1017130.75),(11 1132494),(12 1237916.6),(13 1327418.3),(14 1402245.4),(15 1470737),(16 1527632.4),(17 1580057.1),(18 1623911.4),(19 1657310.4),(20 1679995),(21 1685205.6),(22 1693379.4),(23 1692245.4),(24 1779157.4),(25 1801146.6),(26 1837006),(27 1869885.5),(28 1921883.9),(29 1977131.1),(30 2038096.4),(31 2103885.8),(32 2173724.8),(33 2270837.3),(34 2372845.8),(35 2480043.3),(36 2601121),(37 2711469.3),(38 2808407.3),(39 2902980),(40 2978972.8),(41 3040405.8),(42 3082146.3),(43 3116532.8),(44 3145549.3),(45 3168168.8),(46 3206345.3),(47 3250840),(48 3323264),(49 3384485.8),(50 3439536.8),(51 3492372),(52 3541862),(53 3601382.8),(54 3655917.3),(55 3710077.3),(56 3757666.8),(57 3814907),(58 3910616),(59 4027348.3),(60 4169032.3),(61 4364263.5),(62 4589035.5),(63 4854816.5),(64 5123846.5),(65 5452094.5),(66 5786292),(67 6176465.5),(68 6568593.5),(69 6974886),(70 7424432),(71 7868133.5),(72 8307932.5),(73 8765775),(74 9228697),(75 9689961),(76 10159001),(77 10627777),(78 11179511),(79 11677085),
(1 17411.111),(2 58977.6),(3 121509.25),(4 202360.66),(5 296618),(6 400474.66),(7 513986.06),(8 629520.1),(9 750566.6),(10 867754.8),(11 991687.2),(12 1120710.3),(13 1253236.3),(14 1381870),(15 1515473.9),(16 1635032.3),(17 1760259),(18 1878553.6),(19 1983937.3),(20 2084025.3),(21 2186697.5),(22 2279548.8),(23 2391675.5),(24 2565156.5),(25 2708699.5),(26 2860212.5),(27 3022534.5),(28 3187717.5),(29 3366650.5),(30 3553996.8),(31 3767718.5),(32 4000678.8),(33 4240106.5),(34 4475225),(35 4720809.5),(36 4949577.5),(37 5200085),(38 5441464),(39 5694341.5),(40 5960772),(41 6248121.5),(42 6542691),(43 6844720),(44 7118626.5),(45 7375853.5),(46 7632694.5),(47 7884885),(48 8134684),(49 8372409.5),(50 8587294),(51 8774563),(52 8929369),(53 9062974),(54 9177622),(55 9325173),(56 9460349),(57 9622535),(58 9796474),(59 9976346),(60 10175855),(61 10411428),(62 10654292),(63 10906699),(64 11176343),(65 11477470),(66 11777980),(67 12086586),(68 12427710),(69 12809106),(70 13234728),(71 13643043),(72 14044885),(73 14489768),(74 14933848),(75 15350326),(76 15769963),(77 16180718),(78 16645264),(79 17078172),
(1 15570.165),(2 55616.582),(3 118306.555),(4 195355.36),(5 287965.34),(6 394067.4),(7 505570.97),(8 623476.06),(9 751848.5),(10 881558.44),(11 1020380.94),(12 1169691.3),(13 1321507.5),(14 1470289.6),(15 1631264.1),(16 1786870.4),(17 1949040.5),(18 2120676.8),(19 2278614.8),(20 2432904.3),(21 2587812.3),(22 2728065.8),(23 2876376.3),(24 3065534),(25 3226084.8),(26 3386140.8),(27 3544958.8),(28 3682171.3),(29 3829208),(30 3956655.8),(31 4095937.3),(32 4267972.5),(33 4426813.5),(34 4588314.5),(35 4767279.5),(36 4964510.5),(37 5182276),(38 5413407.5),(39 5653147.5),(40 5923470.5),(41 6208183.5),(42 6529777.5),(43 6863800),(44 7199608),(45 7518313.5),(46 7852808.5),(47 8190248),(48 8535536),(49 8887143),(50 9255615),(51 9601061),(52 9932679),(53 10251211),(54 10553999),(55 10892145),(56 11227528),(57 11592624),(58 11948355),(59 12307100),(60 12647789),(61 13013852),(62 13354880),(63 13716085),(64 14049899),(65 14363648),(66 14695667),(67 15014389),(68 15346296),(69 15678640),(70 16037957),(71 16406413),(72 16793602),(73 17225914),(74 17647350),(75 18076928),(76 18515366),(77 18980398),(78 19494986),(79 20020124),
(1 18693.72),(2 68000),(3 145351.34),(4 244534.53),(5 358090.97),(6 486849.44),(7 622196.3),(8 763375.25),(9 909880),(10 1057034.3),(11 1206046.9),(12 1363791.5),(13 1515998.3),(14 1670503.9),(15 1823715.5),(16 1980587.5),(17 2141693.3),(18 2325197.8),(19 2507282.3),(20 2697153.8),(21 2875817),(22 3045419.5),(23 3219610.5),(24 3414801),(25 3565952.3),(26 3716471.5),(27 3856615.5),(28 3981550.3),(29 4108080),(30 4236909.5),(31 4378214),(32 4534378),(33 4677496),(34 4823430),(35 4969373),(36 5135550),(37 5290053),(38 5463577),(39 5641219),(40 5811679),(41 5975673),(42 6166272),(43 6352458),(44 6544048),(45 6717718),(46 6898081),(47 7085939.5),(48 7309981.5),(49 7522492.5),(50 7760331.5),(51 7971486),(52 8217173.5),(53 8472320),(54 8745602),(55 9033028),(56 9353950),(57 9678723),(58 10040450),(59 10388132),(60 10769205),(61 11123390),(62 11459092),(63 11814304),(64 12159255),(65 12494238),(66 12846059),(67 13197452),(68 13569820),(69 13935354),(70 14284399),(71 14643535),(72 14995753),(73 15336978),(74 15687627),(75 16002725),(76 16323116),(77 16654667),(78 16931166),(79 17191496),
(1 27516.523),(2 102035.13),(3 220770.4),(4 373018.06),(5 557211.94),(6 768312.94),(7 1001222.94),(8 1251168.1),(9 1511246.5),(10 1780397.1),(11 2057176),(12 2348369),(13 2641885),(14 2942599),(15 3236515.3),(16 3528193.5),(17 3809143.3),(18 4097001.5),(19 4380141.5),(20 4665078.5),(21 4934707.5),(22 5193438),(23 5449932.5),(24 5689464.5),(25 5917586),(26 6153990),(27 6382094),(28 6604683.5),(29 6828825.5),(30 7059197),(31 7308280.5),(32 7574168),(33 7838055.5),(34 8116027.5),(35 8389808),(36 8684982),(37 8980473),(38 9299218),(39 9625238),(40 9956380),(41 10270633),(42 10599985),(43 10940145),(44 11285076),(45 11614068),(46 11952976),(47 12284639),(48 12626867),(49 12947956),(50 13274394),(51 13565795),(52 13863280),(53 14157469),(54 14441439),(55 14735453),(56 15041670),(57 15329830),(58 15629359),(59 15918513),(60 16239987),(61 16531821),(62 16792632),(63 17091720),(64 17374054),(65 17669582),(66 17965138),(67 18276094),(68 18579746),(69 18869596),(70 19155672),(71 19443530),(72 19714438),(73 19975578),(74 20234264),(75 20460280),(76 20690662),(77 20910232),(78 21091688),(79 21275226),
(1 31674.39),(2 116941.73),(3 252780.13),(4 430941.2),(5 649534.44),(6 903768.5),(7 1186872.4),(8 1490882.4),(9 1813240),(10 2157257.8),(11 2513944.5),(12 2888873.5),(13 3271702),(14 3655343.3),(15 4041193.3),(16 4435022),(17 4825176),(18 5220213),(19 5624569),(20 6029581.5),(21 6423752),(22 6812019),(23 7196827),(24 7536312),(25 7883918.5),(26 8229249.5),(27 8577054),(28 8921586),(29 9262626),(30 9607222),(31 9942052),(32 10277246),(33 10570206),(34 10869282),(35 11163030),(36 11453956),(37 11723622),(38 11983469),(39 12245362),(40 12491651),(41 12707437),(42 12911306),(43 13110548),(44 13286386),(45 13430168),(46 13565262),(47 13664723),(48 13758554),(49 13837416),(50 13895421),(51 13952397),(52 13998883),(53 14038006),(54 14078912),(55 14132405),(56 14172563),(57 14188154),(58 14201846),(59 14230886),(60 14248354),(61 14244754),(62 14230653),(63 14237405),(64 14247707),(65 14270042),(66 14290490),(67 14323838),(68 14377936),(69 14432614),(70 14515194),(71 14600202),(72 14717243),(73 14851408),(74 14968829),(75 15106576),(76 15250416),(77 15382211),(78 15485130),(79 15581155),
(1 28026.543),(2 104777.74),(3 228616.86),(4 390927.97),(5 593052.5),(6 826764.4),(7 1097200.9),(8 1398088.6),(9 1729000.5),(10 2081980.1),(11 2461919.3),(12 2864561.3),(13 3281166.3),(14 3706294.3),(15 4143836),(16 4582739),(17 5011624.5),(18 5440672),(19 5861941.5),(20 6276031.5),(21 6686216.5),(22 7080619.5),(23 7468010),(24 7840848.5),(25 8216084.5),(26 8584106),(27 8934188),(28 9253245),(29 9551380),(30 9810738),(31 10039411),(32 10230908),(33 10383940),(34 10508092),(35 10612486),(36 10693250),(37 10761151),(38 10815638),(39 10856891),(40 10883771),(41 10896894),(42 10894370),(43 10881308),(44 10863415),(45 10846603),(46 10826250),(47 10795636),(48 10785729),(49 10768743),(50 10754938),(51 10767680),(52 10788219),(53 10828746),(54 10881665),(55 10957909),(56 11064197),(57 11179954),(58 11298267),(59 11438171),(60 11598514),(61 11750427),(62 11896715),(63 12063369),(64 12242292),(65 12440533),(66 12646366),(67 12862988),(68 13079785),(69 13265988),(70 13456027),(71 13635258),(72 13813252),(73 14003967),(74 14181141),(75 14345748),(76 14504933),(77 14656041),(78 14775858),(79 14926866),
(1 33023.84),(2 124850.5),(3 271139.16),(4 464043.6),(5 696280.25),(6 963543.06),(7 1264861.6),(8 1588525.1),(9 1937998.9),(10 2307982.8),(11 2701549.3),(12 3110978.5),(13 3533745.5),(14 3972003.5),(15 4427414),(16 4891632),(17 5346178.5),(18 5806465),(19 6263054.5),(20 6715046.5),(21 7167530.5),(22 7615696.5),(23 8080569.5),(24 8556910),(25 9039323),(26 9537492),(27 10041440),(28 10528435),(29 11025424),(30 11507977),(31 11988513),(32 12433154),(33 12854963),(34 13258613),(35 13631321),(36 13980528),(37 14280338),(38 14559798),(39 14801747),(40 15019667),(41 15216080),(42 15392109),(43 15529141),(44 15641126),(45 15713460),(46 15739861),(47 15744602),(48 15727280),(49 15682176),(50 15606081),(51 15511115),(52 15402545),(53 15274007),(54 15129726),(55 14988315),(56 14832921),(57 14658578),(58 14466646),(59 14293143),(60 14152481),(61 14016713),(62 13871700),(63 13756859),(64 13655650),(65 13582363),(66 13513143),(67 13481342),(68 13471785),(69 13483745),(70 13507462),(71 13555444),(72 13638992),(73 13762511),(74 13928535),(75 14134978),(76 14343708),(77 14575068),(78 14817570),(79 15066107),
(1 30622.295),(2 112800.266),(3 242733.38),(4 412784.53),(5 615694.7),(6 847378.5),(7 1109464),(8 1390035),(9 1692327.5),(10 2013042.9),(11 2355327.8),(12 2714487.8),(13 3080956.8),(14 3463759.5),(15 3850808),(16 4241693.5),(17 4644526.5),(18 5059735.5),(19 5472792.5),(20 5898516),(21 6328809),(22 6753799.5),(23 7174351),(24 7610625),(25 8039935),(26 8457956),(27 8853800),(28 9238985),(29 9615281),(30 9977955),(31 10325224),(32 10675174),(33 11024454),(34 11349890),(35 11663080),(36 11964376),(37 12237909),(38 12486754),(39 12681003),(40 12855919),(41 12993187),(42 13099347),(43 13156093),(44 13191814),(45 13172153),(46 13122871),(47 13054396),(48 12967416),(49 12851537),(50 12721784),(51 12570693),(52 12416008),(53 12259521),(54 12093609),(55 11930321),(56 11758145),(57 11582782),(58 11401135),(59 11237672),(60 11095047),(61 10971169),(62 10840671),(63 10738870),(64 10658217),(65 10591242),(66 10556791),(67 10553648),(68 10576152),(69 10609368),(70 10648280),(71 10714938),(72 10815418),(73 10951010),(74 11107315),(75 11297403),(76 11495496),(77 11713755),(78 11929288),(79 12159714),
(1 32769.92),(2 122564.445),(3 266449.22),(4 454556.22),(5 682448.4),(6 948737.1),(7 1245734.5),(8 1570117.3),(9 1929591.4),(10 2315816.5),(11 2728619.3),(12 3162687.8),(13 3605077.8),(14 4061730.8),(15 4523276),(16 4985507.5),(17 5441734),(18 5873735.5),(19 6286328.5),(20 6677806),(21 7051306),(22 7408441),(23 7735688),(24 8033365.5),(25 8303125.5),(26 8551098),(27 8776662),(28 8979975),(29 9171141),(30 9349945),(31 9507260),(32 9624492),(33 9738151),(34 9830529),(35 9911092),(36 9971504),(37 10016163),(38 10043396),(39 10057682),(40 10059858),(41 10038786),(42 9999389),(43 9946212),(44 9877406),(45 9793083),(46 9692932),(47 9586277),(48 9479643),(49 9379119),(50 9282628),(51 9197659),(52 9119938),(53 9059634),(54 9016160),(55 8978484),(56 8937460),(57 8898852),(58 8871223),(59 8865390),(60 8870926),(61 8889008),(62 8906517),(63 8941269),(64 9003241),(65 9079644),(66 9183287),(67 9326913),(68 9495584),(69 9693620),(70 9915817),(71 10164555),(72 10464202),(73 10800589),(74 11165867),(75 11568770),(76 11977716),(77 12414424),(78 12841634),(79 13266764),
(1 39821.46),(2 149473.63),(3 324873.47),(4 556534.06),(5 836386.06),(6 1163057),(7 1536894.9),(8 1945841),(9 2395086),(10 2876643.8),(11 3394258.3),(12 3928990.5),(13 4473589.5),(14 5038944),(15 5628748),(16 6228813),(17 6829659.5),(18 7432864.5),(19 8014294.5),(20 8583400),(21 9128757),(22 9669376),(23 10180399),(24 10654104),(25 11106681),(26 11528786),(27 11889950),(28 12230006),(29 12533526),(30 12809237),(31 13041415),(32 13236204),(33 13411938),(34 13531192),(35 13624521),(36 13668905),(37 13666403),(38 13627857),(39 13539174),(40 13399112),(41 13203467),(42 12976708),(43 12722218),(44 12441598),(45 12162635),(46 11876143),(47 11594825),(48 11339924),(49 11095381),(50 10875446),(51 10666728),(52 10478738),(53 10335833),(54 10204870),(55 10105677),(56 10012752),(57 9951757),(58 9895556),(59 9877964),(60 9876757),(61 9907350),(62 9941271),(63 9978467),(64 10057289),(65 10147751),(66 10262259),(67 10389459),(68 10529841),(69 10683904),(70 10855113),(71 11033677),(72 11218678),(73 11434870),(74 11659509),(75 11897141),(76 12137877),(77 12399700),(78 12675838),(79 12950097),
