1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 17777.746),(2 65172.887),(3 156444.27),(4 250574.73),(5 365971.66),(6 494635.16),(7 632853.2),(8 767770.8),(9 906630),(10 1051357.9),(11 1212944.9),(12 1392290),(13 1581249),(14 1783327.6),(15 2032161),(16 2288988),(17 2552150),(18 2832455.8),(19 3113388.3),(20 3390142.3),(21 3673467.3),(22 3944286.8),(23 4188707.3),(24 4379432.5),(25 4555904.5),(26 4717496),(27 4860409.5),(28 4983938.5),(29 5105263.5),(30 5216675),(31 5338038),(32 5442129),(33 5536128.5),(34 5630395.5),(35 5713527.5),(36 5771824),(37 5839012.5),(38 5890850),(39 5950945.5),(40 5913624.5),(41 5955773.5),(42 5989312),(43 6028272.5),(44 6075521.5),(45 6124822),(46 6216861.5),(47 6322951.5),(48 6477480),(49 6664270),(50 6877284.5),(51 7132738.5),(52 7400144.5),(53 7664466.5),(54 7940561.5),(55 8224642.5),(56 8493825),(57 8768044),(58 9056029),(59 9363040),(60 9676081),(61 10039449),(62 10401833),(63 10789905),(64 11149349),(65 11503747),(66 11789333),(67 12039871),(68 12275301),(69 12511596),(70 12723216),(71 12944621),(72 13138381),(73 13323107),(74 13497193),(75 13671227),(76 13834220),(77 13966127),(78 14114213),(79 14199899),
(1 14663.521),(2 57278.688),(3 124720.04),(4 204919.28),(5 301467.5),(6 409750.7),(7 531814.9),(8 665614.6),(9 808268.4),(10 961970.6),(11 1126741.9),(12 1302108.3),(13 1487269.3),(14 1678303.6),(15 1879618.8),(16 2083420),(17 2296635.5),(18 2510072),(19 2729708.5),(20 2947920),(21 3159960.3),(22 3363636.5),(23 3548144.8),(24 3708430),(25 3860936.8),(26 4011844.5),(27 4157008),(28 4294238.5),(29 4432362.5),(30 4565618.5),(31 4701084),(32 4822480),(33 4947362.5),(34 5075528),(35 5192830.5),(36 5326148),(37 5478016),(38 5631014),(39 5800180),(40 5852964),(41 5986000.5),(42 6131520.5),(43 6291705),(44 6479211),(45 6706450.5),(46 6966935),(47 7261417.5),(48 7639190.5),(49 8027192),(50 8454682),(51 8920883),(52 9392419),(53 9871656),(54 10338454),(55 10842435),(56 11344564),(57 11851845),(58 12394134),(59 12972941),(60 13584198),(61 14239602),(62 14892029),(63 15594336),(64 16246326),(65 16877206),(66 17394090),(67 17833846),(68 18207596),(69 18566006),(70 18894864),(71 19201718),(72 19475792),(73 19704314),(74 19920086),(75 20153030),(76 20372372),(77 20560644),(78 20739964),(79 20858946),
(1 14481.714),(2 54862.69),(3 121766.52),(4 202083),(5 302714.44),(6 421116.9),(7 554468.2),(8 706313.3),(9 874741.94),(10 1057459.9),(11 1247756.5),(12 1443673.6),(13 1644759.5),(14 1842714.4),(15 2030190.6),(16 2210251.5),(17 2394324.3),(18 2576368.5),(19 2756508.8),(20 2937397.3),(21 3106128),(22 3259221),(23 3381625.3),(24 3476444.3),(25 3563621),(26 3639575),(27 3705890.8),(28 3766297),(29 3821544.8),(30 3862889.3),(31 3901496),(32 3931614),(33 3973544),(34 4010319.3),(35 4044119),(36 4098371.8),(37 4171105.3),(38 4258451.5),(39 4381075),(40 4489956.5),(41 4641669.5),(42 4806686),(43 4994414),(44 5201033.5),(45 5461024.5),(46 5750778.5),(47 6068706),(48 6450950.5),(49 6835900),(50 7245436),(51 7674296),(52 8096220),(53 8518234),(54 8932705),(55 9351171),(56 9777697),(57 10204928),(58 10638451),(59 11077203),(60 11513187),(61 11949459),(62 12372157),(63 12834331),(64 13277917),(65 13728755),(66 14132479),(67 14500277),(68 14859987),(69 15201940),(70 15528637),(71 15849497),(72 16154152),(73 16440951),(74 16704031),(75 16929028),(76 17137856),(77 17355216),(78 17578134),(79 17766466),
(1 9958.66),(2 36947.195),(3 79158.21),(4 132752.28),(5 200114.64),(6 276903.78),(7 363083.78),(8 460438.53),(9 572111.1),(10 696219.94),(11 829433.9),(12 968704),(13 1114656.6),(14 1252966.3),(15 1387575.5),(16 1522789.5),(17 1658269.8),(18 1799721.9),(19 1938719.5),(20 2074356.5),(21 2204422.8),(22 2325386.8),(23 2435868.3),(24 2533247),(25 2618453),(26 2690005.8),(27 2753598.8),(28 2814177),(29 2873112.8),(30 2930050.8),(31 2987409.8),(32 3046885.8),(33 3112572.8),(34 3183340.8),(35 3258470.5),(36 3336482.8),(37 3418880),(38 3499466.5),(39 3593681),(40 3687257),(41 3790573.8),(42 3898601),(43 4003869.3),(44 4117291.5),(45 4244462),(46 4386318),(47 4537418),(48 4708949.5),(49 4884402.5),(50 5057552),(51 5235148),(52 5398038.5),(53 5550783.5),(54 5696914),(55 5836535),(56 5961459.5),(57 6085526),(58 6204480),(59 6329554.5),(60 6460120.5),(61 6571689.5),(62 6675078),(63 6793992),(64 6894387.5),(65 6988242.5),(66 7040931.5),(67 7079613),(68 7112751.5),(69 7147074),(70 7197603.5),(71 7251719),(72 7318945),(73 7404625.5),(74 7492498.5),(75 7580214),(76 7679433),(77 7774316.5),(78 7883968),(79 7982610),
(1 23782.736),(2 90769.84),(3 195883.95),(4 335266.47),(5 504487.28),(6 697245.8),(7 911363.06),(8 1137820.8),(9 1373530.8),(10 1614123.6),(11 1860134.1),(12 2105428.3),(13 2342570.3),(14 2577887),(15 2816269.5),(16 3045633),(17 3262310.5),(18 3471195),(19 3672560.8),(20 3862625.5),(21 4044145),(22 4220374),(23 4385967.5),(24 4539998),(25 4679972),(26 4821227),(27 4962830),(28 5086107.5),(29 5204460.5),(30 5312784),(31 5409182),(32 5491964.5),(33 5566296.5),(34 5631535.5),(35 5687794),(36 5715519.5),(37 5733562),(38 5726219),(39 5703976.5),(40 5676881.5),(41 5628730.5),(42 5560487),(43 5472909),(44 5368577),(45 5260446),(46 5147892),(47 5039593.5),(48 4936736),(49 4826312.5),(50 4713199.5),(51 4600563.5),(52 4484974),(53 4366109),(54 4248580.5),(55 4144676),(56 4053407),(57 3988477.8),(58 3956936.8),(59 3969576.3),(60 4020229),(61 4083397.8),(62 4185696),(63 4329194),(64 4497961),(65 4690467.5),(66 4861033.5),(67 5036004.5),(68 5209963.5),(69 5404855.5),(70 5621986),(71 5862272.5),(72 6128001.5),(73 6410921.5),(74 6709603),(75 7026843.5),(76 7357347),(77 7687608),(78 8026367.5),(79 8343502.5),
(1 40779.77),(2 161939.5),(3 357555.75),(4 619023.4),(5 942011.5),(6 1316361.3),(7 1738007.6),(8 2193034.5),(9 2670973.8),(10 3160556),(11 3663950.5),(12 4166608),(13 4651497.5),(14 5121269),(15 5586583),(16 6012232),(17 6385454),(18 6698890.5),(19 6943510.5),(20 7125337.5),(21 7241601.5),(22 7289113.5),(23 7266041.5),(24 7178787),(25 7052453),(26 6902621),(27 6735955),(28 6553012),(29 6362240),(30 6173313.5),(31 5990287),(32 5829954.5),(33 5697265.5),(34 5603757),(35 5550274.5),(36 5535831.5),(37 5575185),(38 5643639),(39 5751159),(40 5882676),(41 6034243),(42 6196437.5),(43 6359754.5),(44 6526746.5),(45 6679003),(46 6820659),(47 6941925.5),(48 7044359),(49 7139013.5),(50 7212928),(51 7271155),(52 7328775),(53 7396237.5),(54 7471482.5),(55 7581521.5),(56 7721847),(57 7891126.5),(58 8094769.5),(59 8312566.5),(60 8551294),(61 8767819),(62 8981450),(63 9201622),(64 9416558),(65 9574786),(66 9625306),(67 9611784),(68 9564110),(69 9497499),(70 9416187),(71 9304685),(72 9194734),(73 9096104),(74 8999406),(75 8926650),(76 8875591),(77 8867180),(78 8881672),(79 8941518),
(1 30637.773),(2 121379.5),(3 270283.8),(4 475245.97),(5 735263.94),(6 1053373.6),(7 1429135.4),(8 1859940.9),(9 2335289),(10 2851642.8),(11 3415306.8),(12 4028392),(13 4674834),(14 5372396.5),(15 6110725.5),(16 6843160.5),(17 7574234.5),(18 8276899.5),(19 8948076),(20 9574960),(21 10128722),(22 10600030),(23 10968326),(24 11230080),(25 11377515),(26 11422188),(27 11359449),(28 11188156),(29 10940198),(30 10637906),(31 10276690),(32 9887846),(33 9476077),(34 9055377),(35 8632396),(36 8194312.5),(37 7780871.5),(38 7371339.5),(39 6988391),(40 6646344.5),(41 6334460.5),(42 6044681),(43 5788202.5),(44 5574301.5),(45 5400621.5),(46 5259970),(47 5158999),(48 5083170.5),(49 5050167),(50 5037877),(51 5053371.5),(52 5094759),(53 5173994),(54 5285415),(55 5448638),(56 5653753),(57 5916794),(58 6239354.5),(59 6626677),(60 7050789.5),(61 7488983.5),(62 7946987.5),(63 8433340),(64 8931233),(65 9416103),(66 9850853),(67 10250847),(68 10607826),(69 10947217),(70 11247292),(71 11518100),(72 11749499),(73 11931110),(74 12056197),(75 12122983),(76 12136751),(77 12101026),(78 12012560),(79 11886206),
(1 46653.777),(2 181059.47),(3 395283.88),(4 675833.8),(5 1015758.06),(6 1403010.1),(7 1834766.4),(8 2295757.8),(9 2771831.5),(10 3262928.8),(11 3770765.8),(12 4295749),(13 4821260.5),(14 5360000),(15 5903558.5),(16 6416714.5),(17 6899546.5),(18 7339927.5),(19 7740649.5),(20 8095937),(21 8380847),(22 8589136),(23 8719430),(24 8772955),(25 8746726),(26 8649813),(27 8491288),(28 8264842.5),(29 8010881.5),(30 7728234.5),(31 7429584),(32 7119695.5),(33 6829285.5),(34 6558266),(35 6314305.5),(36 6105442.5),(37 5938377.5),(38 5821999),(39 5749134.5),(40 5727098),(41 5742685.5),(42 5776530),(43 5831819.5),(44 5897839),(45 5959999),(46 6013645.5),(47 6062209.5),(48 6086076.5),(49 6091873),(50 6078149),(51 6040954),(52 5968131),(53 5883022),(54 5792211.5),(55 5698400),(56 5609371.5),(57 5538827.5),(58 5479384.5),(59 5462643),(60 5484085.5),(61 5521022),(62 5577330.5),(63 5649705.5),(64 5738246),(65 5831858),(66 5911373),(67 5983507),(68 6062603.5),(69 6169021),(70 6286054.5),(71 6416167.5),(72 6550613.5),(73 6690530),(74 6846897),(75 7022023),(76 7194702),(77 7360617),(78 7508802),(79 7641006.5),
(1 64798.293),(2 254651.44),(3 559977.3),(4 965205.9),(5 1456302),(6 2008487.5),(7 2607294.5),(8 3231248.3),(9 3854522),(10 4463389),(11 5050225),(12 5611025.5),(13 6123556),(14 6580547),(15 6993334.5),(16 7347326.5),(17 7664906),(18 7931432.5),(19 8168093),(20 8366018),(21 8518338),(22 8618824),(23 8682313),(24 8699191),(25 8661246),(26 8569867),(27 8429892),(28 8223274.5),(29 7986672),(30 7703050.5),(31 7375350),(32 7028088),(33 6674656.5),(34 6335218),(35 6015337.5),(36 5735418.5),(37 5509916),(38 5346098),(39 5251639.5),(40 5226280.5),(41 5269179.5),(42 5357726),(43 5489932),(44 5643812.5),(45 5805035),(46 5970514),(47 6137897.5),(48 6286609),(49 6412810),(50 6509224.5),(51 6578800),(52 6636347),(53 6680887.5),(54 6727792),(55 6783833.5),(56 6842440.5),(57 6911438.5),(58 6993132),(59 7097980),(60 7198821.5),(61 7252340),(62 7274310),(63 7269686.5),(64 7227470),(65 7122523.5),(66 6954573.5),(67 6754259),(68 6552639),(69 6359618),(70 6197351.5),(71 6075771.5),(72 6004252),(73 6005523),(74 6075997),(75 6224178),(76 6445333),(77 6716106.5),(78 7017422.5),(79 7343155),
(1 31332.143),(2 124220.39),(3 272615.13),(4 470044.78),(5 707548.1),(6 970390.1),(7 1247716),(8 1528208.5),(9 1800413.4),(10 2048792),(11 2273824.5),(12 2475994.3),(13 2648814.3),(14 2795209),(15 2916110.5),(16 3019398),(17 3110187),(18 3194103.3),(19 3282517),(20 3374260.5),(21 3469633.5),(22 3563266),(23 3663433.8),(24 3755417.3),(25 3831401.3),(26 3893088),(27 3940924.5),(28 3965389.3),(29 3976865),(30 3967481),(31 3937407),(32 3887957),(33 3828096),(34 3779349.3),(35 3743165.3),(36 3722427.8),(37 3727196.5),(38 3761723.5),(39 3830613.3),(40 3934558.8),(41 4068632),(42 4223330.5),(43 4397370.5),(44 4566379.5),(45 4741751.5),(46 4915362.5),(47 5077975),(48 5221101.5),(49 5333624),(50 5429244.5),(51 5507352),(52 5581534),(53 5650030),(54 5723153),(55 5795955.5),(56 5858282.5),(57 5908725.5),(58 5948062),(59 5973074.5),(60 5953371),(61 5877287),(62 5763256),(63 5641194.5),(64 5521033.5),(65 5399514),(66 5277686),(67 5198253.5),(68 5160354),(69 5139419),(70 5144546.5),(71 5177234.5),(72 5238374.5),(73 5319046),(74 5419758.5),(75 5536680.5),(76 5677579),(77 5816919),(78 5946523.5),(79 6075731.5),
(1 35295.9),(2 134657.95),(3 289112.78),(4 489412.16),(5 724868.56),(6 981273.8),(7 1247469.8),(8 1509112.6),(9 1753881.1),(10 1974563.8),(11 2178617.5),(12 2366218),(13 2542074.3),(14 2711070.3),(15 2876670),(16 3031781.3),(17 3175203.5),(18 3306040.8),(19 3423531.8),(20 3519890),(21 3592053.8),(22 3634515.3),(23 3650029.8),(24 3632605.3),(25 3588507.8),(26 3518600.8),(27 3441564.5),(28 3366910),(29 3322406.5),(30 3293508.3),(31 3282655),(32 3283691.8),(33 3299438),(34 3334744),(35 3383966.5),(36 3443608.5),(37 3517772.8),(38 3603575.8),(39 3702968),(40 3818306.8),(41 3951849),(42 4104616.5),(43 4272599.5),(44 4444292.5),(45 4620655),(46 4802077),(47 4994748.5),(48 5170497),(49 5333171),(50 5465823.5),(51 5573314),(52 5646101.5),(53 5688493),(54 5704935),(55 5708337),(56 5688151.5),(57 5659478.5),(58 5629116),(59 5587576.5),(60 5540933.5),(61 5490635.5),(62 5446476),(63 5429641),(64 5435535),(65 5462131),(66 5493832.5),(67 5553855),(68 5618107.5),(69 5689620.5),(70 5772454.5),(71 5870558),(72 5993236.5),(73 6128471.5),(74 6281016.5),(75 6430904),(76 6569227),(77 6678644),(78 6745761.5),(79 6783123),
