1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 27215.854),(2 55200.086),(3 62831.434),(4 64052.543),(5 67587.734),(6 71167.52),(7 71952.95),(8 72168.48),(9 72909.03),(10 74765.164),(11 74473.33),(12 74074.09),(13 77294.16),(14 80679.93),(15 80941.086),(16 81962.07),(17 83351.31),(18 83163.88),(19 81932.75),(20 82015.6),(21 82354.65),(22 83451.29),(23 84258.516),(24 84304.24),(25 84498.57),(26 84839.945),(27 84632.61),(28 84821.77),(29 84439.15),(30 84131.66),(31 83930.14),(32 82916.625),(33 82086.2),(34 81962.09),(35 83161.79),(36 82778.19),(37 81891.55),(38 81291),(39 81039.99),(40 81188.35),(41 82542.48),(42 83998.14),(43 86154.31),(44 86678.61),(45 85261.35),(46 83766.23),(47 83487.18),(48 84083.49),(49 84266.2),(50 83120.875),(51 83719.09),(52 84966.05),(53 85475.82),(54 85282.77),(55 85675.78),(56 86467.195),(57 88040.99),(58 88241.38),(59 88514.5),(60 89260.59),(61 88722.2),(62 88318.984),(63 86683.24),(64 86626.77),(65 88602.18),(66 89378.79),(67 88974.77),(68 88123.58),(69 86929.91),(70 88008.59),(71 87803.75),(72 88734.516),(73 90638.89),(74 89576.2),(75 89679.625),(76 90994.9),(77 91472.04),(78 91065.65),(79 91188.06),
(1 26869.53),(2 54088.176),(3 61938.25),(4 63098.7),(5 65044.332),(6 66723.99),(7 68550.33),(8 70226.53),(9 70620.125),(10 71328.96),(11 70613.125),(12 71451.18),(13 73641.234),(14 75109.92),(15 75903.91),(16 76812.16),(17 78083.35),(18 78014.734),(19 78422.6),(20 79164.875),(21 80499.11),(22 81192.21),(23 80036.68),(24 79010.69),(25 80068.86),(26 79653.12),(27 79013.14),(28 80199.11),(29 80876.04),(30 79802.22),(31 78911.45),(32 79069),(33 80233.47),(34 80761.1),(35 80623.43),(36 80659.41),(37 81262.05),(38 82403.984),(39 82527.94),(40 83144.81),(41 83686.64),(42 83799.25),(43 83921.48),(44 85056.71),(45 85377.98),(46 84267.24),(47 82454.81),(48 83630.805),(49 83983.65),(50 83970.78),(51 84055.56),(52 84430.47),(53 84066.94),(54 83048.65),(55 84390.11),(56 85225.68),(57 85083.18),(58 84389.125),(59 84885.945),(60 84822.55),(61 85998.96),(62 85800.016),(63 85320.21),(64 86624.56),(65 87963.79),(66 88384.14),(67 86963.95),(68 85234.9),(69 82825.54),(70 83739.63),(71 85458.36),(72 85735.805),(73 86674.07),(74 87195.57),(75 87644.695),(76 86618.41),(77 85466.016),(78 85932.95),(79 86348.7),
(1 25678.35),(2 52320.355),(3 61212.117),(4 61691.36),(5 63316.414),(6 65809.91),(7 66862.35),(8 67023.29),(9 67407.59),(10 68657.53),(11 68580.055),(12 68338.93),(13 69550.984),(14 70906.86),(15 71892.47),(16 73246.81),(17 76291.836),(18 77032.16),(19 77625.55),(20 76414.8),(21 75351.23),(22 77636.375),(23 77986.914),(24 77288.59),(25 78989.8),(26 78312.586),(27 77364.7),(28 76649.08),(29 77242.61),(30 77889.29),(31 78668.25),(32 77452.09),(33 77156.57),(34 77377.57),(35 77603.27),(36 77169.11),(37 78498.52),(38 78670.414),(39 78986.63),(40 78613.55),(41 78845.86),(42 79899.52),(43 79254.87),(44 79536.28),(45 79912.945),(46 79433.06),(47 78482.75),(48 78719.74),(49 79056.69),(50 78915.305),(51 78969.31),(52 79527.41),(53 80244.734),(54 80619.23),(55 80723.4),(56 80892.38),(57 81243.586),(58 81230.43),(59 82081.305),(60 83372.01),(61 84474.914),(62 85336.27),(63 85640.17),(64 85848.87),(65 84426.234),(66 83611.33),(67 82966.2),(68 83028.33),(69 80690.914),(70 80566.73),(71 81632.05),(72 81806.234),(73 81652.195),(74 83148.64),(75 85454.65),(76 84961.13),(77 83147.89),(78 82657.79),(79 84656.3),
(1 24304.34),(2 49350.54),(3 58629.137),(4 60126.66),(5 62257.15),(6 63362.207),(7 64514.72),(8 65151.633),(9 65278.973),(10 66350.27),(11 66827.45),(12 66092.836),(13 67893.414),(14 70155.56),(15 71360.53),(16 70940.79),(17 71502.77),(18 70666.36),(19 71555.67),(20 73239.58),(21 74546.766),(22 75175.734),(23 75465.195),(24 75635.3),(25 75139.836),(26 74969.05),(27 74700.1),(28 75144.66),(29 75224.12),(30 75634.21),(31 76009.29),(32 75473.29),(33 74713.03),(34 75750.31),(35 75550.266),(36 75237.4),(37 75910.43),(38 74724.36),(39 74322.92),(40 74561.13),(41 75839.53),(42 75566.45),(43 75522.664),(44 75580.14),(45 74372.05),(46 73475.625),(47 74128.336),(48 75281.47),(49 75162.14),(50 73733.92),(51 73758.414),(52 74396.734),(53 76175.9),(54 76870.75),(55 76816.266),(56 77255.555),(57 77695.516),(58 77932.71),(59 78875.03),(60 79874.336),(61 80013.414),(62 80810.125),(63 80709.93),(64 78919.89),(65 78781.695),(66 80593.47),(67 81132.445),(68 80157.99),(69 78140.16),(70 77257.93),(71 77577.875),(72 78612.305),(73 79633.625),(74 79406.4),(75 80126.8),(76 80889.4),(77 79842.46),(78 80283.92),(79 82404.72),
(1 24566.309),(2 48835.69),(3 56709.11),(4 58038.94),(5 59402.91),(6 60757.58),(7 62577.652),(8 64474.188),(9 65038.516),(10 65972.48),(11 65209.137),(12 65953.375),(13 67556.68),(14 68579.55),(15 68383.33),(16 67994.8),(17 69038.305),(18 68677.99),(19 70241.88),(20 72238.33),(21 72602.49),(22 71398.234),(23 71362.76),(24 70153.22),(25 70295.04),(26 71454.23),(27 72377.7),(28 72027.14),(29 73160.65),(30 73821.18),(31 74879.625),(32 74011.66),(33 72813.29),(34 72847.16),(35 74639.766),(36 76056.84),(37 76887.33),(38 75615.48),(39 73855.945),(40 72886.15),(41 73295.82),(42 74024.3),(43 75017.38),(44 74842.69),(45 73585.72),(46 73875.71),(47 74768.695),(48 75406.305),(49 76119.21),(50 75922.305),(51 75992.44),(52 76631.06),(53 77120.734),(54 77578.76),(55 78120.55),(56 77723.76),(57 77492.54),(58 78926.266),(59 79564.95),(60 79574.09),(61 79513.11),(62 79255.22),(63 78801.86),(64 77630.375),(65 78133.08),(66 79230.92),(67 80096.79),(68 79796.18),(69 77960.79),(70 75823.08),(71 76008.555),(72 76207.97),(73 74815.39),(74 74460.266),(75 75543.26),(76 76818.23),(77 77541.51),(78 77960.445),(79 77834.34),
(1 24149.773),(2 48511.37),(3 54837.977),(4 56747.76),(5 59381.95),(6 60564.6),(7 61917.96),(8 61796.684),(9 61166.043),(10 62836.355),(11 63585.844),(12 65047.145),(13 66345),(14 66650.46),(15 66998.03),(16 67959.19),(17 68290.53),(18 68300.336),(19 69280.4),(20 69843.09),(21 70072.86),(22 70345.945),(23 69512.8),(24 70713.5),(25 70951.33),(26 70055.63),(27 69651.766),(28 70949.164),(29 71181.49),(30 71408.63),(31 71855.6),(32 71843.67),(33 70565.55),(34 71197.16),(35 71228.75),(36 71170.03),(37 70699.016),(38 71298.58),(39 72053.83),(40 71348.805),(41 70943.055),(42 70419.14),(43 71350.44),(44 72468.66),(45 72482.26),(46 71424.56),(47 72051.9),(48 73401.1),(49 73497.805),(50 73879.85),(51 74097.99),(52 73773.83),(53 74953.87),(54 76270.484),(55 77859.555),(56 77787.03),(57 77526.34),(58 78765.99),(59 79251.766),(60 78005.81),(61 78371.48),(62 78735.625),(63 78685.59),(64 78981.38),(65 78553.91),(66 78251.37),(67 77975.69),(68 78559.97),(69 78304.33),(70 78053.87),(71 77337.39),(72 77344.41),(73 77448.71),(74 77812.02),(75 79345.95),(76 79747.21),(77 79676.43),(78 81980.336),(79 81797.234),
(1 23332.809),(2 45514.01),(3 52157.746),(4 53976.254),(5 56753.484),(6 58640.113),(7 59319.895),(8 58202.258),(9 58469.81),(10 61218.746),(11 62748.035),(12 63143.855),(13 64681.45),(14 64909.215),(15 64398.1),(16 66337.414),(17 66930.61),(18 66295.31),(19 67637.82),(20 68185.55),(21 68786.01),(22 68864.32),(23 68445.61),(24 68213.41),(25 68240.875),(26 66371.22),(27 64890.617),(28 66179.22),(29 67399.35),(30 66723.56),(31 68269.69),(32 69690.09),(33 68987.68),(34 69141.37),(35 68202.875),(36 67488.71),(37 66795.46),(38 66807.65),(39 68320.69),(40 69043.875),(41 67867.75),(42 66410.8),(43 66325.44),(44 67290.45),(45 68311.55),(46 69553.07),(47 70149.94),(48 69952.53),(49 70035.99),(50 69657.586),(51 70267.81),(52 70652.9),(53 70566.85),(54 71825.97),(55 72348.25),(56 72405.97),(57 74091.96),(58 75348.37),(59 75105.91),(60 74504.03),(61 74884.72),(62 75825.875),(63 75311.19),(64 75634.91),(65 75482.64),(66 73935.73),(67 73738.62),(68 73984.11),(69 73779.14),(70 73950.72),(71 73695.1),(72 74165.21),(73 73561.2),(74 72745.23),(75 73049.234),(76 74230.56),(77 75500.63),(78 75966.08),(79 75789.97),
(1 22616.658),(2 43891.035),(3 50447.625),(4 52892.375),(5 54504.24),(6 54819.82),(7 57059.72),(8 57507.496),(9 57828.87),(10 59678.367),(11 59904.73),(12 59645.063),(13 60274.32),(14 59805.438),(15 60516.676),(16 62151.555),(17 63178.1),(18 63273.258),(19 64244.574),(20 64054.8),(21 63324.082),(22 63490.23),(23 64227.906),(24 64783.117),(25 64445.676),(26 63612.44),(27 63540.438),(28 63530.53),(29 63797.066),(30 63988.977),(31 64826.246),(32 64934.184),(33 65901.19),(34 67029.95),(35 66584.6),(36 66085.62),(37 65426.984),(38 64452.363),(39 64937.387),(40 65206.19),(41 64944.492),(42 64559.66),(43 63783.594),(44 64036.984),(45 65792.84),(46 66598.29),(47 66424.96),(48 65797.72),(49 66256.09),(50 65800.4),(51 66510.27),(52 67421.41),(53 67922.32),(54 67842.66),(55 67327.31),(56 68890.58),(57 70119.72),(58 71157.88),(59 72104.14),(60 71721.766),(61 71764.61),(62 72402.42),(63 71988.95),(64 71424.14),(65 70953.45),(66 71409.695),(67 71700.95),(68 71122.02),(69 70055.52),(70 70500.56),(71 70305.28),(72 69392.85),(73 68769.266),(74 69335.086),(75 69721.51),(76 71504.05),(77 73180.266),(78 74107.98),(79 74433.58),
(1 21969.607),(2 42158.453),(3 48814.55),(4 51052.16),(5 53046.105),(6 53814.117),(7 53432.652),(8 53581.06),(9 55014.945),(10 56818.51),(11 57084.57),(12 58404.164),(13 59663.465),(14 59728.18),(15 58903.72),(16 60229.85),(17 61725.137),(18 61869.047),(19 62346.03),(20 62156.72),(21 62575.85),(22 62345.445),(23 62585.67),(24 63194.625),(25 64108.652),(26 63873.492),(27 62362.29),(28 61284.035),(29 61962.84),(30 63494.97),(31 63046.824),(32 61983.195),(33 62439.117),(34 63079.273),(35 61942.598),(36 61344.742),(37 61200.824),(38 61825.69),(39 62710.867),(40 62681.63),(41 61461.727),(42 61418.28),(43 62205.957),(44 63166.527),(45 63712.508),(46 63130.438),(47 62848.473),(48 62479.004),(49 62473.254),(50 63002.906),(51 64416.758),(52 65551.99),(53 66293.875),(54 65722.445),(55 65774.91),(56 66518.59),(57 67400),(58 67626.77),(59 68419.25),(60 67895.88),(61 67882.78),(62 67646.04),(63 68391.336),(64 68632.16),(65 68138.65),(66 68507.04),(67 70156.52),(68 70649.47),(69 69279.66),(70 68688.875),(71 69091.14),(72 69230.11),(73 69832.4),(74 70068.36),(75 70005.12),(76 71086.65),(77 71469.11),(78 73706.04),(79 74163.766),
(1 21348.48),(2 40352.113),(3 46967.586),(4 49473.574),(5 50940.465),(6 51153.152),(7 52157.688),(8 52679.797),(9 52144.848),(10 53489.176),(11 54294.895),(12 55696.12),(13 56628.48),(14 56702.168),(15 56271.574),(16 57272.27),(17 58545.563),(18 58585.176),(19 59217.14),(20 59225.99),(21 58964.47),(22 57762.11),(23 58298.508),(24 59122.934),(25 60180.12),(26 60229.36),(27 61103.47),(28 60951.82),(29 61026.75),(30 61093.305),(31 60594.188),(32 60365.34),(33 60701.41),(34 61677.016),(35 61893.523),(36 60675.043),(37 60610.176),(38 62164.95),(39 63056.383),(40 63238.08),(41 62238.03),(42 61432.914),(43 61398.813),(44 63063.4),(45 62821.504),(46 62497.574),(47 62856.434),(48 61971.125),(49 61377.586),(50 61393),(51 62314.41),(52 62702.45),(53 63535.836),(54 64850.688),(55 66217.28),(56 67292.88),(57 67652.086),(58 66835.35),(59 66963.04),(60 67476.164),(61 67871.734),(62 67489.164),(63 66663.11),(64 67418.82),(65 66924.85),(66 67000.484),(67 69025.16),(68 69755.22),(69 68996.94),(70 67972.06),(71 67413.25),(72 67676.85),(73 68435.79),(74 69391.87),(75 70944.72),(76 71354.484),(77 71835.13),(78 73044.59),(79 72119.92),
(1 20712.025),(2 39927.457),(3 46862.285),(4 49941.145),(5 50470.62),(6 49299.703),(7 49819.09),(8 50028.28),(9 50596.625),(10 52291.824),(11 53214.77),(12 53503.188),(13 53601.363),(14 54442.348),(15 54682.77),(16 55132.58),(17 56178.207),(18 56664.863),(19 57209.54),(20 57697.652),(21 57655.215),(22 57140.023),(23 56478.91),(24 56462.746),(25 56408.043),(26 57763.65),(27 59073.883),(28 58430.207),(29 57779.066),(30 58290.703),(31 57783.313),(32 57682.363),(33 58740.434),(34 60038.395),(35 59449.457),(36 57918.8),(37 57271.46),(38 57409.42),(39 57971.746),(40 58338.734),(41 58770.707),(42 58542.03),(43 58455.99),(44 59109.336),(45 59585.227),(46 59637.23),(47 59135.91),(48 58974.945),(49 58391.645),(50 58996.28),(51 58605.043),(52 59973.242),(53 61774.61),(54 63816.73),(55 63787.023),(56 63565.77),(57 63195.055),(58 63363.23),(59 64171.11),(60 64400.08),(61 64418.273),(62 64565.523),(63 64508.637),(64 64860.055),(65 63756.758),(66 63434.77),(67 63746.348),(68 64137.55),(69 64639.137),(70 64881.555),(71 65163.03),(72 65034.098),(73 63951.97),(74 64229.734),(75 64964.793),(76 65665.88),(77 65902.125),(78 66594.78),(79 66552.266),
(1 21305.646),(2 40646.855),(3 47418.89),(4 48718.465),(5 48743.492),(6 48653.28),(7 49256.016),(8 50047.336),(9 50783.566),(10 51652.973),(11 52138.074),(12 52982.582),(13 53228.117),(14 53237.652),(15 53538.023),(16 55626.758),(17 56762.848),(18 56096.152),(19 55816.777),(20 56105.652),(21 56290.53),(22 55822.21),(23 56854.605),(24 57270.953),(25 56858.902),(26 56480.2),(27 57297.73),(28 56488.07),(29 55857.383),(30 55954.73),(31 55797.426),(32 56529.242),(33 56829.254),(34 57438.605),(35 57038.383),(36 56840.984),(37 56705.195),(38 56838.324),(39 57283.04),(40 58046.855),(41 58474.355),(42 57840.89),(43 56587.504),(44 57296.086),(45 59177.62),(46 59238.46),(47 59829.027),(48 59471.164),(49 58874.766),(50 58838.535),(51 59369.836),(52 60756.184),(53 62868.67),(54 63039.52),(55 62351.2),(56 62494.637),(57 62243.32),(58 62794.79),(59 63107.742),(60 63586.805),(61 63697.785),(62 63720.42),(63 63561.504),(64 64511.223),(65 63827.848),(66 63447.13),(67 64434.816),(68 64072.04),(69 63077.18),(70 63505.863),(71 63554.363),(72 62597.945),(73 62327.47),(74 62823.168),(75 63131.785),(76 63931.836),(77 63512.996),(78 63717.242),(79 63262.918),
(1 20770.262),(2 39177.43),(3 45240.71),(4 47442.71),(5 48028.105),(6 47760.477),(7 48265.55),(8 48981.887),(9 51076.133),(10 51917.85),(11 52206),(12 52592.28),(13 52657.55),(14 53302.26),(15 54842.137),(16 56069.55),(17 55733.74),(18 56307.02),(19 57055.57),(20 57061.297),(21 56500.277),(22 55648.56),(23 56372.313),(24 57603.8),(25 58269.043),(26 58110.957),(27 58689.305),(28 57250.29),(29 56638.09),(30 56536.082),(31 56614.164),(32 57052.95),(33 58272.44),(34 59622.324),(35 59119.305),(36 57403.402),(37 56900.66),(38 57916.82),(39 58341.426),(40 59510.926),(41 59789.574),(42 59822.77),(43 59388.88),(44 59263.402),(45 60613.973),(46 59479.938),(47 59961.23),(48 60040.344),(49 59855.137),(50 59657.832),(51 60148.86),(52 60240.113),(53 61739.22),(54 62204.12),(55 62397.234),(56 62325.137),(57 62701.934),(58 61722.934),(59 60480.113),(60 61232.004),(61 63120.89),(62 64229.2),(63 63640.195),(64 62137.85),(65 61133.734),(66 61455.305),(67 62143.63),(68 62126.29),(69 62194.133),(70 62633.14),(71 61213.14),(72 60347.277),(73 60708.582),(74 61136.816),(75 61266.94),(76 61374.703),(77 61778.242),(78 62312.707),(79 61745.125),
(1 20403.053),(2 38493.32),(3 44184.215),(4 45388.56),(5 45319.688),(6 45212.355),(7 46368.063),(8 47756.453),(9 49585.984),(10 50936.832),(11 50945.74),(12 50677.703),(13 51396.375),(14 51997.473),(15 53063.59),(16 53859.824),(17 55051.38),(18 56110.965),(19 56039.62),(20 56454.8),(21 56043.973),(22 55410.473),(23 56843.465),(24 57743.23),(25 57638.676),(26 57631.313),(27 58691.09),(28 58060.234),(29 57491.004),(30 57334.64),(31 57315.473),(32 56937.37),(33 56699.7),(34 56344.754),(35 55911.152),(36 55319.875),(37 54819.97),(38 55194.605),(39 55475.324),(40 55543.094),(41 56325.125),(42 56187.98),(43 55313.95),(44 55252.813),(45 56533.844),(46 57859.33),(47 58667.504),(48 59053.332),(49 58057.23),(50 57132.137),(51 57794.074),(52 58055.434),(53 58104.5),(54 58602.55),(55 59343.03),(56 59922.97),(57 57799.375),(58 57631.234),(59 58348.76),(60 59164.645),(61 60874.188),(62 60568.496),(63 58735.793),(64 58978.55),(65 58992.176),(66 58941.52),(67 59374.855),(68 58914.816),(69 59412.066),(70 58824.098),(71 58993.11),(72 58095.25),(73 57617.453),(74 58424.77),(75 60691.14),(76 61284.33),(77 59996.527),(78 60880.996),(79 61548.074),
(1 19542.424),(2 36624.047),(3 40427.4),(4 41803.434),(5 42819.402),(6 43137.707),(7 44264.746),(8 45565.242),(9 46944.43),(10 47660.184),(11 48464.137),(12 48254.957),(13 48267.703),(14 48911.746),(15 49547.473),(16 49905.52),(17 50198.016),(18 51243.1),(19 52402.832),(20 53263.133),(21 52453.406),(22 51489.684),(23 51581.4),(24 52704.37),(25 53649.254),(26 53367.15),(27 52934.66),(28 53408.64),(29 53803.64),(30 52527.688),(31 51932.99),(32 52060.33),(33 53035.637),(34 53644.566),(35 52614.7),(36 51831.906),(37 51937.72),(38 51988.688),(39 52592.848),(40 53242.344),(41 52849.496),(42 52634.63),(43 52581.055),(44 51856.01),(45 51610.164),(46 51656.563),(47 51900.414),(48 52687.36),(49 53182.613),(50 54436.434),(51 55303.297),(52 55406.445),(53 55774.508),(54 56171.777),(55 57348.547),(56 57059.13),(57 56501.047),(58 56604.594),(59 57066.387),(60 57612.465),(61 57716.094),(62 57579.21),(63 56163.074),(64 56175.473),(65 56590.58),(66 56131.324),(67 56572.316),(68 56277.58),(69 55739.15),(70 55030.703),(71 55917.117),(72 56937.34),(73 57218.363),(74 56422.453),(75 55512.324),(76 55624.418),(77 56604.66),(78 58470.984),(79 58702.73),
(1 19396.078),(2 35684.266),(3 39915.52),(4 40729.402),(5 42043.785),(6 42901.715),(7 44983.598),(8 45753.15),(9 46890.652),(10 46956.7),(11 47148.15),(12 47107.695),(13 47343.047),(14 47812.203),(15 48560.242),(16 49985.508),(17 49985.004),(18 49662.203),(19 49385.098),(20 49977.582),(21 50592.59),(22 50886.68),(23 50569.914),(24 50915.613),(25 51742.332),(26 52373.707),(27 52735.145),(28 51910.418),(29 52060.9),(30 52281.117),(31 51817.504),(32 51946.855),(33 52718.67),(34 53004.707),(35 52836.438),(36 52994.652),(37 52584.164),(38 52753.727),(39 52874.816),(40 52753.01),(41 52647.98),(42 52433.207),(43 51911.406),(44 50970.02),(45 50651.598),(46 51720.734),(47 52341.727),(48 52626.418),(49 52903.96),(50 53705.027),(51 54027.184),(52 54550.395),(53 54690.316),(54 55432.715),(55 55482.453),(56 55580.723),(57 55704.65),(58 55087.336),(59 55085.855),(60 56749.15),(61 57398.48),(62 56866.547),(63 57296.668),(64 57936.492),(65 56854.223),(66 55927.242),(67 55416.445),(68 55365.74),(69 56311.824),(70 57397.953),(71 57293.367),(72 57000.535),(73 57572.492),(74 57859.69),(75 57395.316),(76 56596.387),(77 57043.55),(78 57808.766),(79 58289.46),
(1 19450.99),(2 35343.168),(3 40030.402),(4 41582.723),(5 42575.938),(6 42430.97),(7 42949.32),(8 43229.656),(9 43967.133),(10 44952.195),(11 46308.92),(12 46817.65),(13 46968.305),(14 47548.887),(15 47247.07),(16 47502.688),(17 47923.117),(18 49201.402),(19 48278.367),(20 48161.164),(21 48285.42),(22 47454.547),(23 48901.754),(24 50188.684),(25 49535.93),(26 48957.184),(27 49462.906),(28 49715.9),(29 49796.23),(30 49526.5),(31 49711.18),(32 49645.07),(33 50096.57),(34 50582.668),(35 50076.02),(36 50115.754),(37 50034.484),(38 49778.387),(39 49279.066),(40 49149.01),(41 49446.156),(42 50035.285),(43 49951.813),(44 49334.086),(45 49232.65),(46 50502.95),(47 51338.566),(48 51316.418),(49 51061.195),(50 50747.633),(51 50941.887),(52 51400.05),(53 51501.656),(54 51741.582),(55 51596.51),(56 51650.78),(57 52049.62),(58 52001.746),(59 52738.785),(60 53636.094),(61 53384.137),(62 53648.066),(63 54101.77),(64 53773.07),(65 52902.76),(66 52930.234),(67 53460.332),(68 53254.363),(69 53006.05),(70 53338.51),(71 54189.332),(72 54210.535),(73 54707.215),(74 55145.76),(75 54807.613),(76 53871.35),(77 54804.82),(78 55508.105),(79 56234.305),
(1 18690.826),(2 33728.242),(3 38801.555),(4 40631.12),(5 41856.21),(6 41752.863),(7 41004.496),(8 40616.477),(9 41897.39),(10 42786.875),(11 44231.934),(12 45915.875),(13 45802.75),(14 46122.992),(15 47533.375),(16 47495.008),(17 46607.344),(18 46042.313),(19 46481.617),(20 47104.523),(21 47913.547),(22 48277.508),(23 48411.957),(24 47982.535),(25 47600.7),(26 48178.8),(27 48521.008),(28 48422.24),(29 49142.42),(30 49874.348),(31 49945.88),(32 48863.098),(33 48367.28),(34 49372.75),(35 49996.984),(36 49506.895),(37 49013.156),(38 48788.33),(39 49112.363),(40 48898.523),(41 49197.895),(42 50246.984),(43 50721.28),(44 49975.06),(45 49377.734),(46 49279.65),(47 49513.08),(48 49695.688),(49 50208.414),(50 50521.617),(51 51428.938),(52 51544.332),(53 51747.94),(54 52051.074),(55 51777.875),(56 52147.285),(57 52389.293),(58 52381.42),(59 51968.055),(60 51466.77),(61 50993.535),(62 52091.324),(63 53012.125),(64 53277.043),(65 52890.18),(66 52590.375),(67 53017.633),(68 52058.08),(69 52453.938),(70 51892.832),(71 52103.9),(72 52762.22),(73 53738.64),(74 54272.754),(75 54299.82),(76 54187.793),(77 54239.402),(78 54112.203),(79 54942.813),
