1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 212615.14),(2 748252.2),(3 1552310.6),(4 2437051),(5 3344057.3),(6 4146414.3),(7 4940762.5),(8 5580758.5),(9 6251413.5),(10 6775489.5),(11 7246557.5),(12 7723456),(13 8324632.5),(14 8966747),(15 9602905),(16 10170461),(17 10556879),(18 10805729),(19 11055275),(20 11385256),(21 11723907),(22 12106679),(23 12457184),(24 12989957),(25 13576839),(26 14188988),(27 14749048),(28 15100805),(29 15595912),(30 16380831),(31 17494706),(32 18346970),(33 19740570),(34 21153006),(35 22566662),(36 24002374),(37 25746674),(38 28019766),(39 30830678),(40 33959880),(41 36916612),(42 39618124),(43 41926748),(44 43889228),(45 45810708),(46 47406476),(47 49342036),(48 51013696),(49 52447760),(50 53531020),(51 54190108),(52 54987812),(53 56120524),(54 57405310),(55 58197324),(56 59009090),(57 59384240),(58 59412770),(59 59453508),(60 59497396),(61 58933056),(62 57805536),(63 56203970),(64 54512816),(65 52734564),(66 50717572),(67 48662964),(68 46535436),(69 44522130),(70 42432988),(71 40717252),(72 39550060),(73 38657396),(74 37722372),(75 36556092),(76 35315760),(77 34065260),(78 33085734),(79 32383482),
(1 232963.72),(2 869740.3),(3 1829034.8),(4 2888234.8),(5 3953876.5),(6 4965242.5),(7 5998345),(8 6930481.5),(9 8031346.5),(10 9152034),(11 10294692),(12 11439832),(13 12638516),(14 13861120),(15 15237453),(16 16899622),(17 18713264),(18 20560418),(19 22217236),(20 23584412),(21 24810852),(22 25971990),(23 27088592),(24 28533926),(25 29919552),(26 31192870),(27 32274772),(28 33388844),(29 34813496),(30 36586444),(31 38359476),(32 39653864),(33 41192100),(34 42855636),(35 44279584),(36 45593850),(37 46709496),(38 48039564),(39 49381180),(40 50651316),(41 51670944),(42 52422452),(43 53107896),(44 53699960),(45 54372212),(46 55064620),(47 55936960),(48 56556950),(49 56942324),(50 57096680),(51 56944320),(52 56673652),(53 56713932),(54 56815028),(55 56782680),(56 56696844),(57 56669784),(58 56656090),(59 56498572),(60 56385624),(61 56040852),(62 55570560),(63 54780684),(64 53973110),(65 53202868),(66 52325124),(67 51535704),(68 50488800),(69 49270636),(70 47944824),(71 46597416),(72 45346504),(73 44104350),(74 42750490),(75 41373068),(76 40172704),(77 38702144),(78 37117004),(79 35582210),
(1 217335.14),(2 779295.7),(3 1603051),(4 2605092),(5 3753143),(6 4913044),(7 6147688.5),(8 7199448),(9 8464359),(10 9968092),(11 11742976),(12 13584856),(13 15541048),(14 17624806),(15 20023176),(16 22503640),(17 25218378),(18 27833048),(19 29912406),(20 31590914),(21 33103830),(22 34316116),(23 35398170),(24 36414308),(25 37437924),(26 38451436),(27 39390776),(28 39882764),(29 40232704),(30 40740788),(31 41567412),(32 41826124),(33 42476210),(34 43214916),(35 43987524),(36 44756492),(37 45519284),(38 46417440),(39 46979052),(40 47443084),(41 47801652),(42 48477920),(43 49274900),(44 50099216),(45 50854996),(46 51574572),(47 52268276),(48 52769780),(49 53100884),(50 53314450),(51 53127744),(52 52691456),(53 52680076),(54 52502892),(55 52156764),(56 51655956),(57 51372864),(58 51059424),(59 50536492),(60 50367404),(61 50003372),(62 49069700),(63 47495644),(64 45637964),(65 43626476),(66 41643730),(67 39564604),(68 37591840),(69 35563710),(70 33549206),(71 31576198),(72 29834118),(73 28314694),(74 26814750),(75 25435016),(76 24230874),(77 22960368),(78 21802808),(79 20726382),
(1 279203.88),(2 1046790.9),(3 2189918.8),(4 3516045.3),(5 5040097),(6 6849583),(7 8725932),(8 10369502),(9 12221298),(10 14156996),(11 16130302),(12 18070292),(13 19994134),(14 21849134),(15 23796200),(16 25752524),(17 27648242),(18 29507288),(19 30909010),(20 31963144),(21 32702556),(22 33238684),(23 33719344),(24 34200236),(25 34541490),(26 34739820),(27 34929284),(28 35170940),(29 35621184),(30 36304336),(31 37238470),(32 37960944),(33 39319336),(34 40898484),(35 42458852),(36 43811348),(37 45210680),(38 46380230),(39 47242668),(40 47793170),(41 48212464),(42 48666532),(43 49232076),(44 49789788),(45 50351890),(46 50839240),(47 51166636),(48 51279844),(49 51059944),(50 50734710),(51 50180308),(52 49475560),(53 48583828),(54 47458120),(55 46213730),(56 45159920),(57 43888560),(58 42535624),(59 41000760),(60 39434516),(61 37629788),(62 35683024),(63 33799196),(64 32050798),(65 30436370),(66 29100548),(67 27869330),(68 26739418),(69 25682124),(70 24786208),(71 24217764),(72 23924582),(73 23933952),(74 24203262),(75 24452376),(76 24789348),(77 25012792),(78 25254322),(79 25469216),
(1 497568.63),(2 1810270.5),(3 3675339.8),(4 5834846),(5 8363565),(6 11259236),(7 14220163),(8 16754425),(9 19516520),(10 22180058),(11 24606144),(12 26614958),(13 28303380),(14 29681370),(15 30873396),(16 31725720),(17 32213772),(18 32465560),(19 32551582),(20 32755858),(21 33238420),(22 34090400),(23 35131760),(24 36327344),(25 37608050),(26 38856196),(27 40035250),(28 41403730),(29 42768144),(30 43848730),(31 44864370),(32 45639092),(33 46511308),(34 47352810),(35 48029210),(36 48533636),(37 48756376),(38 48615424),(39 48432684),(40 48221416),(41 48061836),(42 47956028),(43 47970000),(44 48159988),(45 48607876),(46 49251376),(47 49971630),(48 50826908),(49 51419004),(50 51849308),(51 52045108),(52 51815412),(53 50985436),(54 49580788),(55 47867670),(56 46225028),(57 43718116),(58 40878812),(59 38001776),(60 35327190),(61 32936926),(62 31011954),(63 29707892),(64 28853742),(65 28478592),(66 28352482),(67 28346200),(68 28489676),(69 28808256),(70 29202092),(71 29751832),(72 30249134),(73 30735930),(74 31120174),(75 31090450),(76 30841268),(77 30468322),(78 29874540),(79 29157582),
(1 524700.6),(2 1858454.4),(3 3688718.5),(4 5865481),(5 8331477.5),(6 10983845),(7 13744445),(8 15889971),(9 18525296),(10 21229374),(11 23755830),(12 26089722),(13 28343268),(14 30165206),(15 31706580),(16 32569840),(17 32907290),(18 32676342),(19 32211488),(20 32050822),(21 32259174),(22 32735888),(23 33310528),(24 33989256),(25 34635090),(26 35142010),(27 35447600),(28 35815228),(29 36020630),(30 35818590),(31 35435710),(32 35139270),(33 34748044),(34 34330012),(35 33952464),(36 33564844),(37 33237226),(38 32967482),(39 32928000),(40 33242268),(41 33550996),(42 33938064),(43 34423196),(44 34943160),(45 35675924),(46 36412692),(47 36984390),(48 37333050),(49 37302480),(50 36964040),(51 36335572),(52 35405092),(53 34007390),(54 32429236),(55 30857734),(56 29488332),(57 27865990),(58 26358556),(59 25131354),(60 24133044),(61 23295962),(62 22686444),(63 22304762),(64 22143036),(65 21938390),(66 21605194),(67 21204726),(68 20958794),(69 20964804),(70 21095676),(71 21295304),(72 21371606),(73 21386836),(74 21269342),(75 21063516),(76 20808180),(77 20577700),(78 20392568),(79 20258468),
(1 572005.7),(2 2028427.5),(3 4082480.5),(4 6487557.5),(5 9064076),(6 11781418),(7 14443697),(8 16319606),(9 18453838),(10 20264696),(11 21657572),(12 22711314),(13 23516940),(14 24079330),(15 24361206),(16 24477496),(17 24590728),(18 24693244),(19 24940372),(20 25546530),(21 26248054),(22 27048522),(23 27820440),(24 28425384),(25 28931096),(26 29322862),(27 29474476),(28 29378350),(29 28813416),(30 27443502),(31 25605436),(32 23920552),(33 22032756),(34 20424694),(35 19064984),(36 18077934),(37 17589092),(38 17410680),(39 17612108),(40 18194538),(41 18960632),(42 19968206),(43 21180344),(44 22431072),(45 23759512),(46 24850986),(47 25667880),(48 26175794),(49 26329336),(50 26208406),(51 25836970),(52 25162258),(53 24277388),(54 23334658),(55 22400886),(56 21458442),(57 20670460),(58 19957104),(59 19414540),(60 18964684),(61 18700124),(62 18572812),(63 18730956),(64 18983428),(65 19168054),(66 19306838),(67 19478860),(68 19767858),(69 20332142),(70 21062258),(71 21879650),(72 22701908),(73 23504468),(74 24149580),(75 24495492),(76 24434616),(77 24096360),(78 23431754),(79 22629578),
(1 635353.06),(2 2239266.8),(3 4490728.5),(4 7106520.5),(5 9875278),(6 12579362),(7 14949725),(8 16589958),(9 18033370),(10 18982508),(11 19334956),(12 19329300),(13 19139348),(14 18619774),(15 17916150),(16 17192160),(17 16504579),(18 15910000),(19 15529658),(20 15358821),(21 15443370),(22 15895782),(23 16573564),(24 17348402),(25 18194086),(26 19107028),(27 20017574),(28 20612590),(29 20709846),(30 20094136),(31 19160056),(32 18199806),(33 17260066),(34 16288945),(35 15332034),(36 14389363),(37 13532393),(38 12842812),(39 12337815),(40 11987174),(41 11790055),(42 11761177),(43 11922413),(44 12228887),(45 12680446),(46 13152005),(47 13633249),(48 14066889),(49 14477507),(50 14845335),(51 15220590),(52 15583557),(53 16045106),(54 16478939),(55 16880722),(56 17101364),(57 17576128),(58 18163432),(59 18857090),(60 19579314),(61 20386002),(62 21163560),(63 21834432),(64 22269092),(65 22436584),(66 22287292),(67 21886844),(68 21447500),(69 21126254),(70 21050012),(71 21293526),(72 21749184),(73 22207496),(74 22455562),(75 22322490),(76 21786330),(77 20874846),(78 19689358),(79 18389696),
(1 669447.44),(2 2379825.3),(3 4714225.5),(4 7380716.5),(5 10049570),(6 12351341),(7 14050609),(8 15263520),(9 15960757),(10 16193933),(11 16213662),(12 16075102),(13 15751782),(14 15241585),(15 14653904),(16 14047395),(17 13462531),(18 12902784),(19 12400997),(20 11985612),(21 11859620),(22 12079993),(23 12677389),(24 13495899),(25 14405154),(26 15337459),(27 16155959),(28 16567061),(29 16630091),(30 16389602),(31 15986592),(32 15641781),(33 15222658),(34 14823679),(35 14497579),(36 14189295),(37 13942760),(38 13757329),(39 13650543),(40 13634694),(41 13691056),(42 13798554),(43 14027021),(44 14373944),(45 14771976),(46 15263902),(47 15739179),(48 16075064),(49 16167390),(50 15994532),(51 15758231),(52 15562347),(53 15324452),(54 15307468),(55 15559040),(56 15876770),(57 16476474),(58 17242474),(59 18076694),(60 18929800),(61 19611362),(62 19833076),(63 19620500),(64 18999598),(65 18140720),(66 17256272),(67 16437139),(68 15771599),(69 15289711),(70 15079056),(71 15113593),(72 15240322),(73 15337108),(74 15387199),(75 15245784),(76 14908013),(77 14503785),(78 14211577),(79 13981928),
(1 743912.94),(2 2687005),(3 5353768),(4 8285308.5),(5 11185584),(6 13722645),(7 15714818),(8 17076128),(9 17941398),(10 18207670),(11 18153026),(12 17953720),(13 17602432),(14 17160066),(15 16612921),(16 15819893),(17 15033358),(18 14433441),(19 14064745),(20 13789041),(21 13591669),(22 13515229),(23 13467537),(24 13295628),(25 13090399),(26 12944510),(27 12825499),(28 12716204),(29 12663961),(30 12726714),(31 13010692),(32 13379708),(33 14010996),(34 14694103),(35 15286284),(36 15704459),(37 15903456),(38 15891593),(39 15605575),(40 15139842),(41 14623844),(42 14213633),(43 13875749),(44 13711751),(45 13698647),(46 13815532),(47 14029662),(48 14310810),(49 14549921),(50 14717570),(51 14944526),(52 15244786),(53 15417749),(54 15566023),(55 15608139),(56 15490293),(57 15325436),(58 15186617),(59 15049618),(60 14938613),(61 14890832),(62 14802783),(63 14684684),(64 14694927),(65 14882610),(66 15169970),(67 15492644),(68 15812622),(69 16043486),(70 16182425),(71 16098100),(72 15637092),(73 14820420),(74 13761029),(75 12616917),(76 11700246),(77 11151634),(78 11133044),(79 11651534),
(1 779584.4),(2 2726124.8),(3 5249053.5),(4 7762706.5),(5 10112613),(6 12046729),(7 13414479),(8 14217302),(9 14560216),(10 14468028),(11 14119987),(12 13719529),(13 13393633),(14 13127978),(15 12947555),(16 12801239),(17 12673263),(18 12428909),(19 11990191),(20 11500480),(21 11135855),(22 10980611),(23 11068432),(24 11431208),(25 11966846),(26 12512188),(27 12910901),(28 13039190),(29 13147644),(30 13254705),(31 13481850),(32 13801268),(33 14294825),(34 14655768),(35 14761604),(36 14647129),(37 14406843),(38 14099210),(39 13768461),(40 13410848),(41 13044567),(42 12481424),(43 11855481),(44 11356590),(45 11136404),(46 11282472),(47 11770116),(48 12419642),(49 12997158),(50 13353711),(51 13625397),(52 13944487),(53 14319708),(54 14580068),(55 14562633),(56 14346112),(57 13988879),(58 13580164),(59 13233880),(60 13039836),(61 12944411),(62 12845875),(63 12681003),(64 12451017),(65 12174698),(66 11898647),(67 11734677),(68 11667454),(69 11749010),(70 12051620),(71 12450511),(72 12763587),(73 12897303),(74 12828171),(75 12695712),(76 12595768),(77 12528597),(78 12477830),(79 12428971),
