1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 5499.099),(2 16585.973),(3 30684.5),(4 46093.727),(5 62064.336),(6 78013.36),(7 94517.32),(8 110310.33),(9 123766.914),(10 135826.83),(11 146044.31),(12 154476.45),(13 162010.52),(14 168147.72),(15 173890.17),(16 178468.25),(17 183854.39),(18 188781.13),(19 193175.78),(20 197339.47),(21 200522.13),(22 202904.22),(23 204171.34),(24 205225.55),(25 206659.3),(26 208578.94),(27 210213.66),(28 212168.08),(29 214033.69),(30 216329.52),(31 218816.3),(32 221456.36),(33 224030.28),(34 225189.17),(35 226411.77),(36 227426.13),(37 227664.92),(38 227540),(39 227669.97),(40 228079.86),(41 228379.08),(42 229374.72),(43 229207.08),(44 228819.6),(45 228827.77),(46 229542.28),(47 231182.88),(48 232255.08),(49 233239.08),(50 235290.28),(51 239184.14),(52 243042.72),(53 247026.2),(54 251412.48),(55 254901.1),(56 257658.2),(57 259737.81),(58 261327.25),(59 261424.95),(60 260240.97),(61 258745.88),(62 257459.8),(63 256547.88),(64 255791.83),(65 255162.31),(66 254214.73),(67 253502.5),(68 253782.45),(69 254054.1),(70 255032.88),(71 255591.05),(72 256043.75),(73 255907.48),(74 255610.44),(75 255448.94),(76 255096.25),(77 254473.3),(78 255197.3),(79 256274.94),
(1 5195.428),(2 15275.331),(3 27413.549),(4 40236.668),(5 52914.26),(6 65024.723),(7 76706.5),(8 87640.4),(9 97245.86),(10 105884.06),(11 112910.086),(12 118503.74),(13 123529.24),(14 128449.59),(15 133923.6),(16 139070.17),(17 144253.75),(18 148912.03),(19 153473.55),(20 157376),(21 161227.8),(22 164055.47),(23 166647.02),(24 168962.34),(25 171670.67),(26 174896.16),(27 178586.44),(28 182492.52),(29 186306.55),(30 190594.88),(31 194562.14),(32 198213.52),(33 201054.11),(34 203614.58),(35 205735.73),(36 208235.06),(37 209874.28),(38 211286.38),(39 212846),(40 215205.19),(41 217873.19),(42 220850.88),(43 223510.19),(44 225958.6),(45 227771.42),(46 229370.17),(47 231472.84),(48 233698.83),(49 235254.27),(50 237840.39),(51 240654.31),(52 243751.58),(53 246562.2),(54 250122.11),(55 253632.03),(56 257039.97),(57 259692.81),(58 261905.73),(59 262687.75),(60 262348.22),(61 261741.94),(62 261194.7),(63 260698.23),(64 260076.39),(65 259606.94),(66 258890.56),(67 259031.44),(68 259728.6),(69 261051.97),(70 263086.4),(71 264331.75),(72 264691.8),(73 265096.2),(74 263638.53),(75 262072.4),(76 259937.73),(77 258294.19),(78 256280.31),(79 254676.61),
(1 5149.6357),(2 15426.198),(3 28228.45),(4 41666.93),(5 55222.28),(6 68315.24),(7 80872.6),(8 93194.92),(9 104226.67),(10 114489.89),(11 123771.78),(12 131723.47),(13 138842.84),(14 144593.16),(15 150913.45),(16 157153.42),(17 163666.3),(18 169566.94),(19 175774.92),(20 181781.31),(21 187298.77),(22 192258.97),(23 196663.7),(24 200620.02),(25 203825.88),(26 206532.5),(27 209707.06),(28 212859.06),(29 215898.5),(30 219087.9),(31 221192.22),(32 222737.66),(33 224434.2),(34 225370.66),(35 225806.84),(36 225185.89),(37 224705.13),(38 224861.4),(39 224658.2),(40 224694.97),(41 224622.17),(42 224808.44),(43 224496.95),(44 224532.92),(45 224722.64),(46 225595.69),(47 227116.36),(48 228803.06),(49 230959.55),(50 233333.92),(51 236140.83),(52 238632.48),(53 242340.69),(54 247098.69),(55 252633.45),(56 258608.89),(57 264128.16),(58 269371.22),(59 274229.63),(60 277974.34),(61 281017.84),(62 283335.13),(63 284522.03),(64 285429.94),(65 286282.44),(66 287515.97),(67 288789),(68 289268.97),(69 289522.22),(70 289593.97),(71 288880.9),(72 286779.94),(73 285021.47),(74 282777.84),(75 280222.47),(76 276618.63),(77 273020.1),(78 269893.1),(79 266491.56),
(1 5071.054),(2 15026.756),(3 27299.13),(4 40109.53),(5 52876.63),(6 65103.938),(7 76992.38),(8 88484.79),(9 99259.914),(10 109413.76),(11 118363.484),(12 125852.26),(13 132890.42),(14 138715.45),(15 144874.77),(16 149800.69),(17 154377.31),(18 158053.38),(19 161506.69),(20 164915.81),(21 167962.11),(22 171074.63),(23 174452),(24 178060.94),(25 182051.86),(26 186898.89),(27 191156.08),(28 195445.73),(29 199743.5),(30 204032.52),(31 207374.25),(32 210345.47),(33 213403.52),(34 215509.22),(35 217103.78),(36 217553.1),(37 217517.69),(38 217596.67),(39 217684.89),(40 218616.45),(41 219385.97),(42 220546.77),(43 221579.69),(44 222700.61),(45 224167.08),(46 225802.5),(47 227515.77),(48 228758.69),(49 230554.63),(50 232254),(51 234153.03),(52 234967.69),(53 236182.39),(54 237727.72),(55 239584.5),(56 241196.28),(57 242639.48),(58 243580.28),(59 243406.03),(60 244047.75),(61 244553.7),(62 245359.83),(63 246072.7),(64 245718.66),(65 245664.9),(66 245859.77),(67 245321.77),(68 244665.42),(69 244004.75),(70 243660.3),(71 243282.94),(72 242514.3),(73 242779.97),(74 242770.4),(75 242405.03),(76 240536.7),(77 239169.6),(78 238774.61),(79 238272.67),
(1 5104.0825),(2 15208.655),(3 27518.924),(4 40548.008),(5 53518.41),(6 66548.44),(7 79362.055),(8 92434.484),(9 103717.984),(10 114451.59),(11 123663.984),(12 131498.05),(13 138728.52),(14 144745.98),(15 151371.77),(16 157390.08),(17 163048.1),(18 168313.3),(19 173036.3),(20 177326.97),(21 180706.48),(22 183074.36),(23 185315.81),(24 187204.61),(25 189413.03),(26 191623),(27 193455.56),(28 194997.61),(29 196156.72),(30 197497.03),(31 198818.14),(32 200852.89),(33 202221.23),(34 202967.23),(35 204035.97),(36 205307.06),(37 206324.77),(38 207328.28),(39 208865.81),(40 210318.83),(41 211468.4),(42 212760.06),(43 213188.86),(44 213365.56),(45 214187.52),(46 215291.5),(47 216171.47),(48 218155.44),(49 220706.53),(50 223436.63),(51 226819.48),(52 230535.28),(53 233943.23),(54 236846.11),(55 240001.19),(56 243787.3),(57 247025.19),(58 249661.72),(59 251842.67),(60 253217.97),(61 254586.17),(62 255614.78),(63 256155.7),(64 256487.06),(65 257453.92),(66 258076.4),(67 258725.38),(68 259760.31),(69 261274.31),(70 262235.88),(71 262635.72),(72 263326.47),(73 264554.44),(74 266050.4),(75 267511.22),(76 268493.63),(77 269410.53),(78 270040.22),(79 271031.6),
(1 5177.756),(2 15535.444),(3 28357.64),(4 41602.957),(5 54567.785),(6 66904.88),(7 78805.43),(8 90460.77),(9 100436.805),(10 109753.47),(11 118102.07),(12 125295.375),(13 132151.22),(14 137707.28),(15 143430.86),(16 148962.9),(17 154515.05),(18 159120.06),(19 162909.2),(20 165627.08),(21 167972.64),(22 169550.36),(23 170156.69),(24 170049.83),(25 169512.95),(26 169262.64),(27 169591.84),(28 171051.81),(29 172726.42),(30 174417.13),(31 176126.92),(32 178562.31),(33 180742.67),(34 182435.08),(35 184289.16),(36 185973.84),(37 187367.48),(38 188996.22),(39 190576.67),(40 192210.42),(41 193523.47),(42 194200.78),(43 195035.56),(44 195403.58),(45 195737.1),(46 196278.55),(47 196395.47),(48 197037.11),(49 198421.84),(50 199661.72),(51 200551.42),(52 201756.94),(53 202972.78),(54 204307.52),(55 206172.8),(56 207984.88),(57 210155.31),(58 211888.58),(59 213784.9),(60 215206.88),(61 216554.83),(62 218496.39),(63 220220.55),(64 222489.13),(65 224988.88),(66 227461.84),(67 229555.64),(68 230599.88),(69 232012.97),(70 233199.84),(71 234618.92),(72 236887.16),(73 239529.6),(74 241821.61),(75 243240.1),(76 243221.9),(77 242709.72),(78 242389.19),(79 242340.02),
(1 5027.877),(2 15047.244),(3 27178.91),(4 39730.605),(5 52452.332),(6 64247.04),(7 75479.05),(8 86253.96),(9 95014.24),(10 102565.21),(11 108929.36),(12 114646.125),(13 119913.79),(14 124344.89),(15 129225.26),(16 134102.97),(17 139600.8),(18 144979.3),(19 150116.2),(20 154800.36),(21 159227.6),(22 163341.69),(23 166927.7),(24 170510.13),(25 174067.05),(26 177296.23),(27 179977.02),(28 182997.28),(29 185582.19),(30 188490.38),(31 190836.66),(32 193084.02),(33 195144.64),(34 195914.25),(35 196769.05),(36 196886.08),(37 196872.8),(38 197063.5),(39 197763.56),(40 198317.95),(41 198141.78),(42 197884.8),(43 197853.5),(44 197121.17),(45 196529.11),(46 196261.5),(47 196834.5),(48 198539.52),(49 200662.9),(50 202492.45),(51 204331.23),(52 206850.86),(53 209736.47),(54 212134),(55 214321.75),(56 216299.38),(57 218369.48),(58 220074.16),(59 222509.06),(60 224109.56),(61 225140.05),(62 226891.73),(63 228239.95),(64 229212.77),(65 231140.31),(66 232867.6),(67 233625.45),(68 233232.34),(69 233090.05),(70 232634.25),(71 232596.44),(72 232892.84),(73 233643.84),(74 234753.83),(75 235607.77),(76 235826.31),(77 234578.92),(78 233588.23),(79 232134.69),
(1 5030.069),(2 14783.669),(3 26669.361),(4 39007.816),(5 51625.375),(6 63614.8),(7 74908.984),(8 86149.32),(9 95420.9),(10 103765.29),(11 111590.68),(12 118167.82),(13 123807.96),(14 128504.83),(15 132902.31),(16 137096.6),(17 141893.52),(18 146730.98),(19 151686.61),(20 156170.52),(21 160478),(22 164255.83),(23 168283.4),(24 171658.9),(25 175288.45),(26 178447.64),(27 180677.84),(28 183527.34),(29 186139.88),(30 188748.98),(31 190766.39),(32 192469.72),(33 194329.42),(34 195347.31),(35 196374.97),(36 197720.44),(37 198166.47),(38 198823.55),(39 200078.97),(40 201427.63),(41 202631.19),(42 204385.9),(43 206560.23),(44 209311.77),(45 212300.23),(46 215689.77),(47 217828.17),(48 220898.45),(49 223373.66),(50 226440.47),(51 229152.63),(52 231966.38),(53 234907.02),(54 237214.97),(55 238751.78),(56 240468.95),(57 241924.66),(58 243286.22),(59 244570.34),(60 245010.53),(61 245490.08),(62 245921.2),(63 246342.53),(64 246181.19),(65 246450.45),(66 246348.03),(67 244827.08),(68 242899.27),(69 240887.72),(70 238601.98),(71 236650.17),(72 235526.64),(73 234773.3),(74 234593.95),(75 234940.89),(76 234384.44),(77 232371.14),(78 230862.16),(79 229964.83),
(1 4893.354),(2 14585.907),(3 26281.2),(4 38346.965),(5 50335.367),(6 61518.25),(7 72643.414),(8 83909.68),(9 93332.164),(10 102381.73),(11 111127.484),(12 118513.63),(13 125334.04),(14 131082.14),(15 136476.8),(16 141568.55),(17 146763.05),(18 151858.3),(19 156893.81),(20 160868.27),(21 164191.58),(22 167058.89),(23 169813.4),(24 171981.16),(25 174171.5),(26 176720.44),(27 178750.75),(28 180504.06),(29 182382.8),(30 184952.2),(31 187451.28),(32 189976.5),(33 192351.94),(34 194479.53),(35 196279.14),(36 197545.97),(37 198335.6),(38 198887.55),(39 199685.45),(40 200622.33),(41 201570.67),(42 202005.39),(43 201751.53),(44 202415.73),(45 203021.83),(46 204167.6),(47 205218.03),(48 206460.95),(49 207680.7),(50 209114.97),(51 210903.17),(52 211931.97),(53 213473.94),(54 215200.31),(55 216394.3),(56 217187.86),(57 217997.7),(58 218864.25),(59 219807.14),(60 220877.28),(61 220908.02),(62 220739.94),(63 219726.52),(64 218745.1),(65 218447.78),(66 217642.94),(67 216281.7),(68 214560.81),(69 213268.31),(70 212508.4),(71 211028.58),(72 209578.56),(73 208377.97),(74 207851.08),(75 207576.06),(76 207820.23),(77 208171.58),(78 209061.16),(79 209815.52),
(1 4805.135),(2 14226.008),(3 25541.475),(4 37323.2),(5 49029.496),(6 60147.93),(7 71022.1),(8 81506.555),(9 90291.69),(10 98377.11),(11 106005.305),(12 112875.14),(13 119153.95),(14 125111.63),(15 130700.91),(16 135483.56),(17 140248.84),(18 144900.9),(19 149612.03),(20 153909.98),(21 157675.98),(22 160976.22),(23 164386.22),(24 167152.48),(25 169662.23),(26 172007.77),(27 174664.9),(28 177175.36),(29 179628.02),(30 181969.44),(31 183003.14),(32 184677.67),(33 185809.55),(34 186955.69),(35 188407.72),(36 189803.95),(37 191489.42),(38 192980),(39 193625.47),(40 194714.33),(41 195498.33),(42 196441.72),(43 197346.45),(44 199806.94),(45 201247.6),(46 203156.89),(47 205575.25),(48 207927.14),(49 210352.63),(50 212236),(51 214468.88),(52 216420.39),(53 219777.1),(54 223126.52),(55 226391.97),(56 228702.58),(57 230685.25),(58 232542.6),(59 234582.78),(60 235800.6),(61 236422.94),(62 237273.73),(63 238705.22),(64 239625.5),(65 240896.02),(66 241539.7),(67 241047.7),(68 239626.75),(69 238926.19),(70 238055.39),(71 237233.4),(72 236399.31),(73 236165.14),(74 235471.81),(75 234855.17),(76 234135.73),(77 233633.13),(78 233293.25),(79 232718.2),
(1 4654.5483),(2 13630.245),(3 24588.508),(4 35462.54),(5 46131.05),(6 55918.09),(7 65406.61),(8 74383.6),(9 82006.08),(10 89605.53),(11 96335.36),(12 102308.555),(13 108357.016),(14 113955.04),(15 120202.73),(16 125575.76),(17 130955.3),(18 135790.13),(19 140027.05),(20 143729.45),(21 146668.28),(22 149435.36),(23 152529.34),(24 155220.38),(25 158104),(26 161009.55),(27 163573.28),(28 165550.84),(29 167148.66),(30 169145.86),(31 170894.61),(32 172387.53),(33 174790.02),(34 177338.5),(35 180031.36),(36 182171.78),(37 183845.27),(38 185215.1),(39 185760.56),(40 186381.94),(41 187332.72),(42 188984.03),(43 190647.53),(44 191809.77),(45 192916.55),(46 193394.28),(47 194026.89),(48 194662.61),(49 195937.39),(50 197305.58),(51 198680.78),(52 200263.11),(53 200753.33),(54 201435.52),(55 202709.16),(56 203717.19),(57 203999.53),(58 204615.22),(59 206050.06),(60 207609.06),(61 209769.11),(62 212627.27),(63 215111.75),(64 218018.2),(65 220809.64),(66 223244.81),(67 225596.92),(68 228110.02),(69 229946.77),(70 231192.23),(71 231459.9),(72 231362.1),(73 231728.06),(74 232197.08),(75 232259.05),(76 231492.28),(77 231117.88),(78 230767.55),(79 229867.75),
(1 4814.5215),(2 14173.444),(3 25391.21),(4 36737.93),(5 47554.36),(6 57261.574),(7 66816.45),(8 75460.87),(9 82648.8),(10 89465.125),(11 95616.67),(12 101321.984),(13 106374.17),(14 110838.42),(15 114856.95),(16 118626.03),(17 122353.62),(18 125924.91),(19 129287.95),(20 133115),(21 136605.8),(22 140055.39),(23 143219.66),(24 145704.33),(25 147957.23),(26 149964.31),(27 152166.94),(28 153863.17),(29 155125.34),(30 156661.17),(31 158097),(32 159631.4),(33 161122.61),(34 162296.39),(35 163954.83),(36 165795.67),(37 168296.9),(38 170622.47),(39 172132.19),(40 173129.8),(41 174708.78),(42 176583.4),(43 178394.7),(44 179298.23),(45 180516.28),(46 181635.78),(47 182691.56),(48 183950.61),(49 184844.23),(50 185791.2),(51 187333.45),(52 188480.39),(53 188929.58),(54 189007.7),(55 188946.19),(56 188965.52),(57 189021.06),(58 188710.98),(59 188881.27),(60 189247.23),(61 190484.14),(62 192479.9),(63 195275.42),(64 197698.92),(65 200074.69),(66 202021.81),(67 203221.27),(68 204660.1),(69 205052.86),(70 205399.47),(71 205019.17),(72 204607.23),(73 204624.95),(74 205235.08),(75 205842.55),(76 206134.97),(77 206531.52),(78 207244.27),(79 207775.5),
(1 4735.443),(2 13957.662),(3 25043.684),(4 36305.74),(5 47203.29),(6 56911.633),(7 65838.88),(8 74229.01),(9 81146.13),(10 87511.55),(11 93150.95),(12 98178.88),(13 103211.48),(14 108494.65),(15 114178.09),(16 120168.15),(17 126088.41),(18 132103.56),(19 137770.77),(20 142966.1),(21 147957.84),(22 152965.02),(23 157502.42),(24 160800.44),(25 163513.56),(26 165926.72),(27 168141.69),(28 169628.75),(29 170939.78),(30 172047.16),(31 172990.5),(32 173095.53),(33 172052.47),(34 170880.08),(35 170103.06),(36 169550.36),(37 169210.13),(38 169015.47),(39 168837.92),(40 168343.78),(41 168515.14),(42 168892.67),(43 169053.83),(44 168811.25),(45 167990.34),(46 168151.75),(47 168843.7),(48 170324.44),(49 171742.48),(50 173623.14),(51 175637.02),(52 177281.38),(53 178387.92),(54 178977.89),(55 180110.94),(56 180989.7),(57 181998.78),(58 183001.47),(59 183542.05),(60 184487.23),(61 186039.31),(62 187558.33),(63 189707.38),(64 190995.52),(65 192925.33),(66 194329.42),(67 195880.17),(68 196754.17),(69 197089.1),(70 197509.53),(71 197586.86),(72 197731.11),(73 197534.73),(74 197495.47),(75 197642.75),(76 197020.08),(77 197258.86),(78 197304.28),(79 197009.44),
(1 4898.257),(2 14578.771),(3 26027.758),(4 37845.926),(5 49652.76),(6 60505.64),(7 70765.57),(8 80091.086),(9 87807.76),(10 94678.516),(11 100451.25),(12 105159.46),(13 109436.8),(14 113392.74),(15 117361.164),(16 121510.16),(17 125750.12),(18 129554.164),(19 132855.47),(20 135969.4),(21 138811.31),(22 141902.42),(23 144926.4),(24 147338.64),(25 149756.19),(26 151923.3),(27 153353.23),(28 154521.23),(29 155741.58),(30 156331.23),(31 156419.66),(32 156216.31),(33 155915.52),(34 155812.25),(35 156312.61),(36 156498.78),(37 157373.31),(38 158747.47),(39 160648.7),(40 162759.75),(41 165614.03),(42 168252.75),(43 170009.53),(44 171865.08),(45 173074.06),(46 174575.11),(47 176308.25),(48 178152.33),(49 180878.94),(50 184007.97),(51 187822.13),(52 191649.33),(53 194029.05),(54 195218.64),(55 196028.75),(56 196110.1),(57 196703.52),(58 197083.52),(59 198142.22),(60 199336.33),(61 200315.67),(62 201393.47),(63 203219.67),(64 205093.67),(65 206443.11),(66 207513.19),(67 208520.22),(68 209454.25),(69 209970.88),(70 210417.28),(71 210840.98),(72 211352.13),(73 211270.69),(74 210906.47),(75 210935.3),(76 211073.33),(77 210852.33),(78 211207.06),(79 210946.3),
(1 4802.976),(2 14000.747),(3 24997.861),(4 36387.176),(5 47643.19),(6 58233.008),(7 67978.83),(8 76661.266),(9 83750.37),(10 89996.086),(11 95765.62),(12 100497.05),(13 104804.94),(14 108380),(15 112691.555),(16 116390.93),(17 120281.29),(18 123666.14),(19 127630.266),(20 131433.42),(21 134873.22),(22 138163.31),(23 141159.86),(24 143626.66),(25 145896.23),(26 148332.05),(27 149922.63),(28 150626.77),(29 151410.25),(30 152481.97),(31 153333.72),(32 153880.14),(33 154962.73),(34 155642.53),(35 157153.22),(36 158546.9),(37 159984.17),(38 161528.25),(39 164186.02),(40 166137.22),(41 168170.63),(42 169980.86),(43 171622.02),(44 172905.4),(45 174401.47),(46 176199.45),(47 177588.7),(48 179112.7),(49 180744.19),(50 182104.56),(51 183380.44),(52 185482.42),(53 187499.11),(54 188786.8),(55 190256.14),(56 191825.3),(57 193538.19),(58 195023.16),(59 196475.58),(60 197021.16),(61 197599.55),(62 198686.3),(63 199597),(64 199710.06),(65 199758.4),(66 199424.9),(67 198876.16),(68 198969.9),(69 199052),(70 199907.52),(71 200521.19),(72 201444.86),(73 202919.92),(74 203736.25),(75 204364.81),(76 205484.81),(77 206201.31),(78 206777.02),(79 207423.38),
(1 4772.3545),(2 14084.9375),(3 25425.535),(4 37073.973),(5 48671.594),(6 59361.934),(7 68849.74),(8 77582.234),(9 84635.48),(10 90910.07),(11 96369.36),(12 100854.37),(13 104961.8),(14 108389.35),(15 112086.625),(16 115659.56),(17 119254.85),(18 122376.73),(19 125890.71),(20 129731.35),(21 133318.77),(22 137235.28),(23 140919.6),(24 144156.92),(25 147727.78),(26 150323.27),(27 152016.86),(28 153258.78),(29 154076.66),(30 154591.11),(31 155261.66),(32 156070.48),(33 157032),(34 157986.98),(35 159277),(36 161154.72),(37 162673.67),(38 165201.69),(39 168637.78),(40 171840.08),(41 174717.13),(42 176941.55),(43 178253.92),(44 179086.14),(45 180030.28),(46 180276.2),(47 180860.81),(48 181059.69),(49 181011.55),(50 181142.44),(51 181680.33),(52 182043.44),(53 183398.47),(54 184331.27),(55 185258.89),(56 186011.77),(57 186545.77),(58 186972.11),(59 187425.47),(60 187766.72),(61 188026.72),(62 188238),(63 188513.31),(64 188859.84),(65 189798.17),(66 190085.83),(67 191199.03),(68 193406.42),(69 196149.72),(70 200016.48),(71 203377.06),(72 206586.38),(73 209298.8),(74 211685.3),(75 213709.6),(76 215851.61),(77 216712.89),(78 217546.4),(79 218951.58),
(1 4580.6885),(2 13425.975),(3 24409.02),(4 35691.063),(5 46872.06),(6 56923.438),(7 65832.81),(8 74221.805),(9 81393.164),(10 87820.125),(11 93702.85),(12 98939.64),(13 103726.05),(14 108068.164),(15 112429.93),(16 116217.17),(17 120570.945),(18 124557.06),(19 128466.66),(20 131908.5),(21 135215.1),(22 138379.45),(23 140866.42),(24 143013.89),(25 144868.66),(26 145946.39),(27 146446.08),(28 146243.22),(29 145471.55),(30 145181.86),(31 145613.2),(32 146279.92),(33 147047.02),(34 147610.95),(35 148628.63),(36 149613.92),(37 150700.42),(38 152073.22),(39 154038.89),(40 155720.52),(41 157815.8),(42 159954.53),(43 161668.64),(44 163400.97),(45 165511.7),(46 166891.27),(47 168587.48),(48 169636.45),(49 170474.28),(50 172010.89),(51 174029.97),(52 176217.03),(53 177454.8),(54 178709.73),(55 179650.28),(56 180011.5),(57 180383.95),(58 180448.92),(59 179989.16),(60 180295.75),(61 180425.27),(62 180508.63),(63 180068.17),(64 179584.64),(65 178750.36),(66 177283.77),(67 176122.61),(68 176208.8),(69 176282.02),(70 177467.86),(71 179115.94),(72 181079.58),(73 183216.14),(74 185151.25),(75 186577.39),(76 187755.97),(77 188145.05),(78 188217.97),(79 188035.77),
(1 4379.367),(2 12728.81),(3 22844.209),(4 33292.484),(5 43572.383),(6 53044.625),(7 61405.37),(8 69386.37),(9 76057.44),(10 82190.34),(11 87529.414),(12 92260.086),(13 96783.79),(14 100691.63),(15 104806.67),(16 109013.11),(17 112772.516),(18 115694.88),(19 118771.47),(20 121534.85),(21 124033.31),(22 126469.15),(23 128968.25),(24 131005.836),(25 133375.83),(26 135313.95),(27 136622.66),(28 137875.55),(29 138344.39),(30 138472.97),(31 139211.5),(32 140117.23),(33 140655.66),(34 140879.69),(35 141427.8),(36 141997.86),(37 142494.7),(38 143005.14),(39 143968.4),(40 144672.34),(41 145431.27),(42 146263.77),(43 147207.4),(44 148109.47),(45 149319.05),(46 150120.78),(47 150740.25),(48 151393.8),(49 151302.23),(50 151466.45),(51 152929.06),(52 154569.53),(53 155420.81),(54 155829.08),(55 156369.52),(56 156829.31),(57 156804.92),(58 157278.44),(59 157518.95),(60 158442.53),(61 159224.6),(62 160142.83),(63 160731.31),(64 161101.67),(65 161563.94),(66 161832.36),(67 162688.69),(68 163878.2),(69 165259.7),(70 167515.47),(71 169525.86),(72 171054.88),(73 172917.02),(74 174997.56),(75 177068.63),(76 179266.02),(77 180951.16),(78 181948.08),(79 182783.25),
(1 4459.6973),(2 12916.509),(3 23149.547),(4 33439.348),(5 43204.32),(6 51961.773),(7 59604.914),(8 66939.72),(9 72130.37),(10 76738.93),(11 80944.85),(12 84482.25),(13 88050.18),(14 91339.28),(15 94334.56),(16 97135.45),(17 99873.59),(18 102216.62),(19 104828.586),(20 107342.67),(21 109956.05),(22 112165.19),(23 114674.95),(24 116636.32),(25 118912.38),(26 121528.19),(27 123613.44),(28 125377.15),(29 126479.36),(30 127408.41),(31 128609.695),(32 129486.055),(33 130159.05),(34 130692.39),(35 131620.3),(36 132743.1),(37 133787.9),(38 135409.8),(39 137643.95),(40 139935.48),(41 142166.81),(42 144383.5),(43 146573.1),(44 148857.9),(45 150879.77),(46 152568.08),(47 153466.94),(48 153936.17),(49 154587.17),(50 155328.1),(51 156280.69),(52 156840.2),(53 157847.73),(54 159661.16),(55 161681.8),(56 163654.89),(57 165856.44),(58 167778.25),(59 168920.38),(60 169894.86),(61 169427.81),(62 168941),(63 168160.3),(64 167109.95),(65 166252.84),(66 165553.3),(67 165209.67),(68 165218.6),(69 165376.64),(70 166485.88),(71 168626.17),(72 170782.1),(73 173106.95),(74 175488.89),(75 177766),(76 179652.78),(77 180662.81),(78 181097.6),(79 181225.56),
