1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 369041.72),(2 836716.56),(3 1358353.1),(4 3117109.3),(5 5110014.5),(6 6775572),(7 8773903),(8 10661021),(9 12645160),(10 14537360),(11 16246819),(12 18125194),(13 19298642),(14 20808188),(15 22171668),(16 23468026),(17 24780662),(18 26117974),(19 27297250),(20 28697418),(21 30249466),(22 31896570),(23 33680452),(24 35654532),(25 36894704),(26 37920160),(27 38973428),(28 41202384),(29 43120348),(30 45764348),(31 48980084),(32 53266240),(33 58074880),(34 63911044),(35 69657290),(36 75883784),(37 82165880),(38 88525450),(39 95073730),(40 101774790),(41 108692330),(42 115895576),(43 124539480),(44 132329180),(45 140497550),(46 148629620),(47 156931200),(48 165546540),(49 174204210),(50 182929330),(51 191342380),(52 200130300),(53 207815470),(54 214987250),(55 221866290),(56 228742400),(57 235361740),(58 242189490),(59 248708100),(60 256043340),(61 263768620),(62 270857340),(63 278269100),(64 285803170),(65 293399200),(66 300985820),(67 308675600),(68 316280540),(69 323337200),(70 329393820),(71 334637250),(72 339648000),(73 344598000),(74 349418750),(75 354265300),(76 358851740),(77 363374980),(78 367572600),(79 371820030),
(1 225391.97),(2 766914.1),(3 1609935.6),(4 2881605),(5 4487180.5),(6 6361655.5),(7 8450872),(8 10578223),(9 12801602),(10 15128941),(11 17651132),(12 20298700),(13 23337936),(14 26428516),(15 29941594),(16 33641764),(17 37688696),(18 42005410),(19 46612332),(20 50879120),(21 55207080),(22 59742348),(23 64371764),(24 69117680),(25 73761944),(26 78444376),(27 83028830),(28 88347120),(29 93000590),(30 97831680),(31 102838310),(32 108143100),(33 113758800),(34 119890110),(35 125759896),(36 131785576),(37 137766900),(38 143554510),(39 149352660),(40 155209120),(41 161149060),(42 167236770),(43 174318980),(44 180655500),(45 187085220),(46 193488670),(47 199850780),(48 206395540),(49 212700480),(50 218793980),(51 224560980),(52 231169400),(53 236201570),(54 240487710),(55 244189060),(56 247248940),(57 249888180),(58 253042480),(59 255374380),(60 258328580),(61 261298300),(62 263882800),(63 265814700),(64 267465260),(65 268313810),(66 268621820),(67 268683970),(68 268492450),(69 268022100),(70 267161550),(71 265885950),(72 264671900),(73 263526780),(74 262052580),(75 260498080),(76 258857810),(77 257172510),(78 255461250),(79 253352910),
(1 275914.5),(2 1030656.5),(3 2205023),(4 3938831.3),(5 6083264.5),(6 8566444),(7 11364735),(8 14510227),(9 17957966),(10 21677814),(11 25633226),(12 29845744),(13 34386588),(14 39102456),(15 44063892),(16 49100460),(17 54241524),(18 59325428),(19 64169148),(20 68458650),(21 72467770),(22 76277110),(23 79875230),(24 83199800),(25 86346490),(26 89363430),(27 92136376),(28 94536360),(29 96555784),(30 98222600),(31 99541384),(32 100669016),(33 101853224),(34 103118150),(35 104512104),(36 105976380),(37 107556710),(38 109073816),(39 110419510),(40 111773380),(41 113148390),(42 114629160),(43 116129880),(44 117602910),(45 119116840),(46 120571176),(47 121972184),(48 123327450),(49 124728150),(50 126157950),(51 127782104),(52 129684376),(53 131593624),(54 133368450),(55 134721260),(56 135721070),(57 136487220),(58 137405440),(59 138353020),(60 139368460),(61 140388670),(62 141711230),(63 142859260),(64 143564340),(65 143841780),(66 143798100),(67 143687410),(68 143551710),(69 143535660),(70 143918750),(71 144630770),(72 145834130),(73 147402770),(74 149147250),(75 151067420),(76 152928910),(77 154519400),(78 156007180),(79 157080780),
(1 316650),(2 1207066.3),(3 2601437),(4 4570874),(5 6963763.5),(6 9742683),(7 12887249),(8 16323506),(9 20074930),(10 24247436),(11 28827074),(12 33749580),(13 38676268),(14 43701764),(15 48590650),(16 53186576),(17 57518324),(18 61388224),(19 64804188),(20 67769800),(21 70457220),(22 72948660),(23 75303780),(24 77377370),(25 79225380),(26 80947490),(27 82524590),(28 83914520),(29 85455070),(30 87188820),(31 89126820),(32 91207970),(33 93228870),(34 94969960),(35 96571780),(36 98009770),(37 99366270),(38 100487816),(39 101354456),(40 102199544),(41 102885390),(42 103475610),(43 103924264),(44 104391480),(45 104884720),(46 105481416),(47 106045880),(48 106658470),(49 107533680),(50 108626616),(51 110046664),(52 111835940),(53 113908760),(54 116274150),(55 118805980),(56 121603640),(57 124642820),(58 127839930),(59 131276960),(60 134780670),(61 138201600),(62 141296320),(63 144059700),(64 146289500),(65 147970080),(66 149206580),(67 150294670),(68 151473390),(69 152748210),(70 154211070),(71 155637620),(72 156981380),(73 158141520),(74 159102900),(75 159626540),(76 159946420),(77 159861340),(78 159404370),(79 158516430),
(1 339049.1),(2 1281488),(3 2752689.8),(4 4779610),(5 7238414.5),(6 10036438),(7 13055663),(8 16182039),(9 19449624),(10 22952966),(11 26684738),(12 30577262),(13 34453316),(14 38370384),(15 42193664),(16 45910268),(17 49504836),(18 52914652),(19 55980740),(20 58663120),(21 61110800),(22 63483556),(23 65704210),(24 67692050),(25 69343816),(26 70775910),(27 72033060),(28 73207736),(29 74488640),(30 75954230),(31 77576136),(32 79250000),(33 80851740),(34 82312296),(35 83494230),(36 84327240),(37 84770250),(38 84745970),(39 84231670),(40 83441864),(41 82466950),(42 81507150),(43 80592504),(44 79778360),(45 79120264),(46 78666296),(47 78378650),(48 78313120),(49 78651980),(50 79387176),(51 80541140),(52 82033360),(53 83761320),(54 85720680),(55 87714350),(56 89788500),(57 91877680),(58 94126856),(59 96444580),(60 98754424),(61 101093920),(62 103460000),(63 105552650),(64 107303420),(65 108574520),(66 109456850),(67 109951560),(68 110222710),(69 110290850),(70 110210584),(71 109801680),(72 109038310),(73 108000440),(74 106669260),(75 105004730),(76 103264940),(77 101550824),(78 99948080),(79 98433416),
(1 319776.66),(2 1174579),(3 2447758),(4 4171687.3),(5 6194797.5),(6 8414634),(7 10715629),(8 12956402),(9 15237440),(10 17546142),(11 19866560),(12 22117536),(13 24252800),(14 26335764),(15 28394630),(16 30399334),(17 32332192),(18 34197948),(19 35892852),(20 37552936),(21 39201180),(22 40806676),(23 42195870),(24 43381584),(25 44263830),(26 44898440),(27 45304148),(28 45573464),(29 45895092),(30 46301028),(31 46857690),(32 47505540),(33 48144424),(34 48634104),(35 48875492),(36 48776300),(37 48295828),(38 47480600),(39 46367716),(40 45058412),(41 43685068),(42 42325896),(43 41139350),(44 40068124),(45 39201400),(46 38558904),(47 38111092),(48 37931496),(49 38016490),(50 38322520),(51 38831810),(52 39370744),(53 39939050),(54 40462376),(55 40887800),(56 41210536),(57 41385530),(58 41499624),(59 41686416),(60 41989080),(61 42578124),(62 43465580),(63 44630430),(64 45923864),(65 47286668),(66 48608330),(67 49813012),(68 50854080),(69 51720280),(70 52275260),(71 52452284),(72 52272576),(73 51863708),(74 51169510),(75 50284310),(76 49337400),(77 48436148),(78 47688344),(79 47159800),
(1 351465.63),(2 1306036),(3 2731540.5),(4 4536581),(5 6599420.5),(6 8771298),(7 10936090),(8 13002981),(9 15122351),(10 17292376),(11 19455064),(12 21436380),(13 23274174),(14 24897396),(15 26301834),(16 27414316),(17 28252354),(18 28896566),(19 29413602),(20 30038380),(21 30676628),(22 31287214),(23 31761320),(24 32018356),(25 32019712),(26 31843452),(27 31495928),(28 31084372),(29 30736508),(30 30439886),(31 30218738),(32 30015042),(33 29826912),(34 29652898),(35 29465404),(36 29260462),(37 29004088),(38 28655928),(39 28193788),(40 27603254),(41 26840178),(42 25962988),(43 25046360),(44 24145710),(45 23298456),(46 22576974),(47 22051410),(48 21770716),(49 21648598),(50 21646156),(51 21685118),(52 21689516),(53 21628852),(54 21439936),(55 21123012),(56 20727304),(57 20466270),(58 20505428),(59 20774568),(60 21265364),(61 21889888),(62 22732460),(63 23732162),(64 24720450),(65 25699660),(66 26749068),(67 27927000),(68 29225462),(69 30612928),(70 31920334),(71 33082546),(72 34130040),(73 35163310),(74 36124416),(75 37004700),(76 37873892),(77 38642920),(78 39298720),(79 39803204),
(1 406086.94),(2 1558013.8),(3 3288391.5),(4 5417737),(5 7808606.5),(6 10299888),(7 12639060),(8 14751797),(9 16781334),(10 18765590),(11 20570968),(12 22098102),(13 23273990),(14 24161734),(15 24740224),(16 25001026),(17 24958170),(18 24733408),(19 24353292),(20 23926890),(21 23491082),(22 23117838),(23 22795282),(24 22541406),(25 22319656),(26 22070850),(27 21757210),(28 21380610),(29 21014052),(30 20614056),(31 20221614),(32 19863930),(33 19615254),(34 19537214),(35 19619610),(36 19797548),(37 20024158),(38 20220864),(39 20269656),(40 20108162),(41 19764014),(42 19288918),(43 18814722),(44 18381282),(45 18043898),(46 17827870),(47 17790466),(48 17933384),(49 18183488),(50 18508854),(51 18803484),(52 18963502),(53 19038296),(54 18922862),(55 18609726),(56 18193870),(57 17701584),(58 17248210),(59 16974774),(60 16973562),(61 17186134),(62 17660410),(63 18435070),(64 19540638),(65 20923276),(66 22432934),(67 23936260),(68 25486080),(69 27103642),(70 28677676),(71 30124708),(72 31423638),(73 32578172),(74 33523386),(75 34359332),(76 35083690),(77 35664284),(78 36122284),(79 36488904),
(1 439701.06),(2 1686292.3),(3 3556306),(4 5874942),(5 8295058),(6 10717640),(7 12848624),(8 14484373),(9 15681870),(10 16565161),(11 17208668),(12 17716670),(13 18208632),(14 18574244),(15 18847278),(16 19016012),(17 19146286),(18 19265124),(19 19319806),(20 19282920),(21 19206534),(22 19084102),(23 18967364),(24 18918352),(25 18970242),(26 19095782),(27 19220992),(28 19316938),(29 19376410),(30 19396688),(31 19314484),(32 19111250),(33 18883870),(34 18741734),(35 18656932),(36 18617330),(37 18618852),(38 18582328),(39 18476236),(40 18202124),(41 17719034),(42 17030966),(43 16220273),(44 15403580),(45 14668303),(46 14129537),(47 13852506),(48 13853630),(49 14186202),(50 14732971),(51 15454581),(52 16251708),(53 16974718),(54 17581850),(55 18013274),(56 18267964),(57 18409904),(58 18523132),(59 18433734),(60 18202228),(61 18015926),(62 18117978),(63 18468484),(64 18995290),(65 19827670),(66 20990204),(67 22253466),(68 23379090),(69 24254400),(70 24939538),(71 25564672),(72 26112076),(73 26465368),(74 26619376),(75 26657316),(76 26582786),(77 26495266),(78 26473216),(79 26551506),
(1 451300.06),(2 1692991.6),(3 3482928),(4 5671307),(5 7915483.5),(6 9915319),(7 11444251),(8 12449173),(9 13075440),(10 13459323),(11 13695179),(12 13900073),(13 14230841),(14 14694547),(15 15198005),(16 15622489),(17 16009278),(18 16385010),(19 16766652),(20 17159190),(21 17630724),(22 18125226),(23 18675522),(24 19284408),(25 19881852),(26 20437120),(27 20903096),(28 21195306),(29 21254226),(30 21061046),(31 20670492),(32 20163620),(33 19668488),(34 19285616),(35 19017762),(36 18825060),(37 18732488),(38 18686966),(39 18625180),(40 18488064),(41 18265416),(42 17964550),(43 17569042),(44 17118876),(45 16684256),(46 16343998),(47 16184196),(48 16214766),(49 16429636),(50 16761995),(51 17162776),(52 17529688),(53 17904840),(54 18165838),(55 18309526),(56 18305610),(57 18199434),(58 18168482),(59 18284938),(60 18417078),(61 18531588),(62 18691752),(63 19048856),(64 19540968),(65 20067772),(66 20667286),(67 21430528),(68 22308274),(69 23115460),(70 23666822),(71 24009020),(72 24230710),(73 24271222),(74 24130208),(75 23845602),(76 23393584),(77 22817284),(78 22196644),(79 21634218),
(1 521342.66),(2 1954991.1),(3 3916774.3),(4 6063394.5),(5 8074440.5),(6 9737050),(7 10786426),(8 11202698),(9 11264898),(10 11302430),(11 11407791),(12 11556278),(13 11765473),(14 12194425),(15 12908431),(16 13759238),(17 14580156),(18 15241537),(19 15765020),(20 16242874),(21 16718705),(22 17150282),(23 17541538),(24 17899256),(25 18194596),(26 18405556),(27 18456994),(28 18337724),(29 18073468),(30 17633830),(31 17042744),(32 16406020),(33 15909461),(34 15578868),(35 15391391),(36 15258929),(37 15152071),(38 15086237),(39 15072207),(40 15035004),(41 14972187),(42 14869856),(43 14752151),(44 14639052),(45 14459693),(46 14255386),(47 14051821),(48 13910906),(49 13870061),(50 13907910),(51 14041620),(52 14204326),(53 14407477),(54 14530024),(55 14572627),(56 14514567),(57 14398400),(58 14274844),(59 14130136),(60 13925187),(61 13764428),(62 13693005),(63 13695417),(64 13816588),(65 14049550),(66 14297242),(67 14497959),(68 14739530),(69 15101263),(70 15535187),(71 15920179),(72 16104853),(73 16122005),(74 16043034),(75 15875049),(76 15554543),(77 15053790),(78 14422869),(79 13860053),
