1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 415088.47),(2 715406),(3 672857.94),(4 1377117.1),(5 1898820.4),(6 1923019),(7 2692187),(8 3335809),(9 3421406.8),(10 4308936.5),(11 5077335.5),(12 5171869.5),(13 5990478.5),(14 6552760.5),(15 6636549.5),(16 7417922),(17 7772368),(18 7603728),(19 8138608),(20 8513947),(21 8515874),(22 9251637),(23 9856340),(24 10165148),(25 11060336),(26 11930531),(27 12518224),(28 13535557),(29 14577903),(30 15538637),(31 17103232),(32 18735594),(33 20012130),(34 21818470),(35 23830610),(36 25667896),(37 27983774),(38 30647174),(39 33219062),(40 36516850),(41 40241404),(42 43991820),(43 48144164),(44 52687164),(45 56845108),(46 61276720),(47 65982340),(48 70322300),(49 74590390),(50 79456390),(51 83558500),(52 87838180),(53 91942300),(54 95144024),(55 98536744),(56 102025370),(57 105381304),(58 109222170),(59 113469944),(60 117252350),(61 121332456),(62 125672060),(63 129634180),(64 133212630),(65 136599660),(66 139377620),(67 142052850),(68 144819460),(69 147309180),(70 150283920),(71 152883780),(72 155328080),(73 157776080),(74 160695550),(75 163710400),(76 166469140),(77 169531180),(78 172541150),(79 174956720),
(1 338112.75),(2 621457.4),(3 762676.9),(4 1481879),(5 2042301.3),(6 2414677.8),(7 3377218.5),(8 4168241.5),(9 4710276),(10 5897915.5),(11 6807371),(12 7448314.5),(13 8625140),(14 9254927),(15 9847150),(16 10824847),(17 11188218),(18 11535438),(19 12109106),(20 12342176),(21 12480160),(22 13039731),(23 13394263),(24 13565504),(25 14180141),(26 14688976),(27 15055088),(28 15789837),(29 16538134),(30 17378862),(31 18690816),(32 19985632),(33 21317596),(34 22837564),(35 24302436),(36 25713462),(37 27348822),(38 28882342),(39 30341136),(40 32246432),(41 34005280),(42 35805240),(43 37875816),(44 39862800),(45 41802824),(46 44214544),(47 46374264),(48 48498730),(49 51082304),(50 53598470),(51 55714764),(52 58125836),(53 60333096),(54 61837464),(55 63723404),(56 65478548),(57 66851944),(58 68771890),(59 70389730),(60 71444190),(61 72947290),(62 74130696),(63 75122410),(64 76514024),(65 77711630),(66 78272264),(67 79226300),(68 79980910),(69 80110860),(70 80587540),(71 80992260),(72 81046240),(73 81785550),(74 82595110),(75 83111850),(76 84200220),(77 85292370),(78 86255420),(79 87690510),
(1 272159.34),(2 761979.94),(3 1412772.6),(4 2500787.8),(5 3675849),(6 4943498),(7 6580408),(8 8160830.5),(9 9639335),(10 11284384),(11 12713764),(12 13935349),(13 15251895),(14 16297195),(15 17240568),(16 18281520),(17 19089128),(18 19866656),(19 20720250),(20 21459168),(21 22172078),(22 23014730),(23 23749658),(24 24468926),(25 25334194),(26 26162400),(27 26771130),(28 27394570),(29 28038322),(30 28631614),(31 29529056),(32 30412166),(33 31117990),(34 31994198),(35 32861536),(36 33480106),(37 34165984),(38 34724316),(39 35296284),(40 36036868),(41 36781776),(42 37474004),(43 38305756),(44 39193250),(45 39987784),(46 40989350),(47 41885216),(48 42908384),(49 44095696),(50 45282124),(51 46327680),(52 47527760),(53 48745310),(54 49734530),(55 50890210),(56 51937908),(57 52910540),(58 54061684),(59 55164676),(60 56000156),(61 56939310),(62 57767700),(63 58392160),(64 59296364),(65 60238844),(66 60898348),(67 61988588),(68 63196380),(69 63895332),(70 64731276),(71 65547060),(72 66032500),(73 66866496),(74 67881570),(75 68528264),(76 69307780),(77 70248730),(78 70831390),(79 71682780),
(1 229044.33),(2 810446.1),(3 1680717.3),(4 2879354.3),(5 4310266),(6 5948915.5),(7 7816136),(8 9814847),(9 11861899),(10 13892652),(11 15861243),(12 17755454),(13 19615674),(14 21435240),(15 23166848),(16 24854876),(17 26490558),(18 27964288),(19 29337872),(20 30574442),(21 31751222),(22 32881106),(23 33971948),(24 34995584),(25 35929132),(26 36844732),(27 37419590),(28 37788944),(29 38226270),(30 38718304),(31 39476744),(32 40470604),(33 41288988),(34 42166450),(35 43092050),(36 43884296),(37 44628280),(38 45084480),(39 45518436),(40 45997796),(41 46478028),(42 46938772),(43 47550772),(44 48182636),(45 48772760),(46 49525716),(47 50279290),(48 51236904),(49 52372160),(50 53368740),(51 54406970),(52 55474810),(53 56429200),(54 57375724),(55 58302390),(56 59046252),(57 59891150),(58 60736264),(59 61445510),(60 62013624),(61 62544130),(62 62893824),(63 63273536),(64 63678610),(65 63929970),(66 64087908),(67 64165490),(68 64065590),(69 63872468),(70 63659856),(71 63332496),(72 62992110),(73 62921104),(74 62905116),(75 63002284),(76 63070840),(77 63049870),(78 62904156),(79 62820936),
(1 208114.61),(2 755314.56),(3 1615442.5),(4 2778267.8),(5 4202218),(6 5822083.5),(7 7627806.5),(8 9641023),(9 11724310),(10 13885459),(11 16109597),(12 18327898),(13 20499398),(14 22715366),(15 24892136),(16 27029882),(17 29159554),(18 31188690),(19 33084270),(20 34941864),(21 36665784),(22 38239024),(23 39865260),(24 41383950),(25 42850980),(26 44216348),(27 45271548),(28 46011444),(29 46689776),(30 47432336),(31 48222480),(32 49084864),(33 49944576),(34 50734276),(35 51610932),(36 52380970),(37 52940456),(38 53384972),(39 53860412),(40 54228400),(41 54672692),(42 55339710),(43 55988944),(44 56743576),(45 57684380),(46 58638028),(47 59660772),(48 60785188),(49 61819240),(50 62681228),(51 63578148),(52 64230460),(53 64636904),(54 64950924),(55 65035612),(56 64838210),(57 64698856),(58 64480024),(59 64320988),(60 64158068),(61 64035068),(62 63857348),(63 63713732),(64 63421976),(65 63020764),(66 62576476),(67 61984510),(68 61233164),(69 60654490),(70 60255044),(71 59805976),(72 59542824),(73 59393348),(74 59254260),(75 59343804),(76 59511244),(77 59679684),(78 59992576),(79 60257960),
(1 275460.56),(2 1049177),(3 2306020.8),(4 3973781.3),(5 5993482.5),(6 8296918.5),(7 10883701),(8 13698997),(9 16656010),(10 19658712),(11 22667242),(12 25738764),(13 28741206),(14 31919900),(15 34991016),(16 38059304),(17 41012788),(18 43951148),(19 46603580),(20 49095110),(21 51474490),(22 53449788),(23 55354164),(24 56998484),(25 58425640),(26 59933580),(27 61243736),(28 62385560),(29 63571616),(30 64471896),(31 65092492),(32 65755990),(33 66282520),(34 66574988),(35 66741350),(36 66636012),(37 66238676),(38 65601150),(39 64826316),(40 63625812),(41 62283010),(42 60925620),(43 59461416),(44 58059350),(45 56876056),(46 55622828),(47 54410120),(48 53137724),(49 51800056),(50 50475080),(51 49153750),(52 47892524),(53 46657484),(54 45461600),(55 44383610),(56 43361804),(57 42501028),(58 41780510),(59 41313824),(60 40977730),(61 40832680),(62 40831640),(63 41045384),(64 41404350),(65 41891256),(66 42459464),(67 43112230),(68 43817030),(69 44708640),(70 45683136),(71 46642104),(72 47811812),(73 48878970),(74 49947812),(75 51127450),(76 52086636),(77 53052724),(78 54114420),(79 54910068),
(1 245448.4),(2 924719.06),(3 1977775.8),(4 3383251.5),(5 5053096.5),(6 6897749.5),(7 8926343),(8 11077234),(9 13276639),(10 15428319),(11 17509478),(12 19578384),(13 21623490),(14 23671756),(15 25599022),(16 27563710),(17 29479084),(18 31222434),(19 32841336),(20 34239210),(21 35405660),(22 36340204),(23 37128100),(24 37756220),(25 38275424),(26 38853696),(27 39338640),(28 39819824),(29 40303500),(30 40751804),(31 41232080),(32 41609360),(33 41926730),(34 42078250),(35 42105764),(36 42075176),(37 41829500),(38 41428696),(39 41019024),(40 40496324),(41 39986370),(42 39687932),(43 39550000),(44 39539880),(45 39722172),(46 39959230),(47 40161820),(48 40571000),(49 41087324),(50 41609900),(51 42187324),(52 42723668),(53 43215770),(54 43713064),(55 44045340),(56 44238440),(57 44387570),(58 44380070),(59 44293430),(60 44036116),(61 43604264),(62 43095336),(63 42480890),(64 41676604),(65 40679436),(66 39571350),(67 38541256),(68 37552840),(69 36695596),(70 35914424),(71 35301570),(72 34799344),(73 34331430),(74 33912900),(75 33730916),(76 33622130),(77 33744860),(78 34151910),(79 34684530),
(1 388434.6),(2 1487954.6),(3 3195134.5),(4 5417784),(5 8049945.5),(6 10944835),(7 14043479),(8 17229316),(9 20374482),(10 23276212),(11 25998694),(12 28610926),(13 31051108),(14 33502462),(15 35885040),(16 38188824),(17 40323668),(18 42148350),(19 43642932),(20 44846260),(21 45763508),(22 46328404),(23 46788276),(24 47084776),(25 47071384),(26 47054556),(27 46922950),(28 46520420),(29 46093324),(30 45598196),(31 44941440),(32 44037836),(33 43019380),(34 41877732),(35 40752764),(36 39569776),(37 38416816),(38 37433636),(39 36560104),(40 35853800),(41 35363284),(42 35072376),(43 35047756),(44 35290572),(45 35820390),(46 36620364),(47 37586780),(48 38788610),(49 40293064),(50 41896560),(51 43506420),(52 45029400),(53 46416052),(54 47557230),(55 48393668),(56 48936388),(57 49164060),(58 49100930),(59 48877404),(60 48394630),(61 47574020),(62 46460228),(63 45048776),(64 43456680),(65 41607436),(66 39631308),(67 37667756),(68 35827464),(69 34136600),(70 32458942),(71 30881306),(72 29436178),(73 28189370),(74 27207786),(75 26560960),(76 26220562),(77 26163276),(78 26347424),(79 26867702),
(1 268941.13),(2 998284),(3 2093304.5),(4 3476078),(5 5051808),(6 6746036),(7 8550710),(8 10386982),(9 12185837),(10 13905086),(11 15509019),(12 16997378),(13 18388996),(14 19757528),(15 21080420),(16 22457914),(17 23807714),(18 25179376),(19 26546698),(20 27889362),(21 29137540),(22 30365560),(23 31495612),(24 32555994),(25 33596980),(26 34492896),(27 35238012),(28 35722244),(29 36092904),(30 36334450),(31 36413516),(32 36328268),(33 36203464),(34 36007660),(35 35746400),(36 35480148),(37 35128170),(38 34633284),(39 34168540),(40 33688424),(41 33158174),(42 32744000),(43 32418948),(44 32046618),(45 31719748),(46 31367416),(47 30900762),(48 30473550),(49 30119072),(50 29819138),(51 29624400),(52 29485008),(53 29367168),(54 29345954),(55 29361766),(56 29329852),(57 29245320),(58 29238844),(59 29311838),(60 29377400),(61 29383164),(62 29381478),(63 29387640),(64 29390564),(65 29464742),(66 29523078),(67 29507186),(68 29492296),(69 29413034),(70 29131698),(71 28748120),(72 28384726),(73 28040976),(74 27728474),(75 27456092),(76 27123538),(77 26808410),(78 26590674),(79 26421528),
(1 294210.72),(2 1107825.4),(3 2365337),(4 3973387.5),(5 5805335),(6 7740012.5),(7 9751310),(8 11757236),(9 13665404),(10 15400064),(11 16945332),(12 18360786),(13 19619938),(14 20743622),(15 21683776),(16 22525592),(17 23143512),(18 23640286),(19 24040828),(20 24327464),(21 24552160),(22 24815544),(23 25100490),(24 25467482),(25 25863376),(26 26253480),(27 26643538),(28 26918970),(29 27149098),(30 27453884),(31 27682474),(32 27867810),(33 28129664),(34 28324682),(35 28573906),(36 29001338),(37 29378588),(38 29787120),(39 30360392),(40 30896470),(41 31413888),(42 31992590),(43 32536302),(44 33016036),(45 33472310),(46 33756984),(47 33761936),(48 33688750),(49 33495374),(50 33017792),(51 32440072),(52 31760732),(53 31036836),(54 30334222),(55 29681448),(56 28965902),(57 28259704),(58 27680770),(59 27151570),(60 26733472),(61 26383982),(62 26127058),(63 26010302),(64 25914302),(65 25872948),(66 25818094),(67 25590656),(68 25312172),(69 24959026),(70 24461326),(71 23926204),(72 23455770),(73 22996136),(74 22576654),(75 22200128),(76 21860938),(77 21571026),(78 21383494),(79 21287794),
(1 319555.88),(2 1205347.1),(3 2579214.8),(4 4327256.5),(5 6272622),(6 8265319.5),(7 10243706),(8 12147681),(9 13993114),(10 15754803),(11 17399866),(12 19075482),(13 20744494),(14 22318216),(15 23840852),(16 25289666),(17 26642412),(18 27884266),(19 28985558),(20 29877842),(21 30548926),(22 31080998),(23 31489908),(24 31841852),(25 32085346),(26 32188544),(27 32110472),(28 31951266),(29 31721006),(30 31453740),(31 31179398),(32 30793548),(33 30365854),(34 29953008),(35 29569106),(36 29248240),(37 29003594),(38 28827332),(39 28722338),(40 28698948),(41 28646546),(42 28578406),(43 28406874),(44 28069214),(45 27620066),(46 27031320),(47 26321762),(48 25636126),(49 24963762),(50 24291900),(51 23684178),(52 23121344),(53 22633484),(54 22261148),(55 21997500),(56 21852844),(57 21848376),(58 21876152),(59 21882684),(60 21922562),(61 21967544),(62 22051376),(63 22246668),(64 22499704),(65 22783744),(66 23057182),(67 23334454),(68 23631848),(69 23933186),(70 24183638),(71 24443886),(72 24648056),(73 24761462),(74 24785908),(75 24813980),(76 24790440),(77 24733168),(78 24674376),(79 24650006),
